OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,SHAPE_Length
903,2018,CT6804-00_01,Weekeepeemee River-01,"From mouth at confluence with Nonewaug River, above Pomeraug River (DS of Jacks Bridge Road crossing), Woodbury, US to headwaters in marsh (just US of Bergman Hill Road crossing, east of intersection with Todd Hill Road), Morris.",9.61,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,50735.7179677961
904,2018,CT6804-04_01,Wood Creek (Bethlehem)-01,"From mouth at confluence with Weekeepeemee River (just DS of Guilds Hollow Road (Route132) crossing), US to headwaters at Zieglers Pond outlet dam (just US of Carmel Hill Road crossing), Bethlehem.",3.27,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,17286.4351705836
905,2018,CT6805-02_01,Good Hill Brook (Woodbury)-01,"Mouth at outlet into Hesseky Meadow Pond (Hesseky Brook) DS Old Grassy Hill Rd crossing, US to HW US Route 317 crossing and parallel Tophet Rd, Woodbury.",2.98,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,15752.9375293044
906,2018,CT6806-00_01,Transylvania Brook (Southbury)-01,"From mouth at confluence with Pomperaug River (just DS of East Flat Hill Road crossing), US to confluence with Spruce Brook (just US side of Southbury Training School STP), Southbury.",1.6,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8459.78448854436
907,2018,CT6806-00_02,Transylvania Brook (Southbury)-02,"Confluence Spruce Brook (just US side of Southbury Training School STP), US to Gravel Pit Pond outlet dam (US of South Britian Road (Route 172) crossing), Southbury.",0.32,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,1666.02418127335
908,2018,CT6806-00_03,Transylvania Brook (Southbury/Woodbury/Roxbury)-03,"From inlet to Gravel Pit Pond (northern side), Southbury, US to headwaters, Roxbury (near Woodbury town border).",3.81,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,20101.4469035235
909,2018,CT6900-00_01,Naugatuck River (Derby/Seymour)-01,"Mouth Housatonic River (DS RailRoad crossing), Derby, US Rimmon (Tingue) outlet dam (US Broad Street crossing, and just DS Route 8 crossing), Seymour.",6.15,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,32470.1475834299
910,2018,CT6900-00_02,Naugatuck River (Seymour/Waterbury)-02,"From Rimmon (Tingue) outlet dam (just DS of Route 8 crossing), Seymour, US to confluence with Hopeville Pond Brook, just US of Waterbury WPCF. (Segment includes Wtby, Naug & Beacon Falls WPCFs, & dredge holes in river between Rts 42 & 67 in Beacon Falls)",11.26,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,59472.0032207863
911,2018,CT6900-00_03,Naugatuck River-03,"From confluence with Hopeville Pond Brook, just US of Waterbury WPCF, US to confluence with Steele Brook (west side of Route 8, at Route 73 connection), Waterbury.",3.52,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,18584.327933613
912,2018,CT6900-00_04,Naugatuck River-04,"From confluence with Steele Brook (west side of Route 8, at Route 73 connection), Waterbury, US to sewage leak from pipe under river (near old bridge abutment) along Chase River Road, Watertown/Waterbury town border.",1.65,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8731.38540490545
913,2018,CT6900-00_05,Naugatuck River (Waterbury/Thomaston)-05,"US side sewage leak from pipe under river (near old bridge abutment) along Chase River Road, Watertown/Waterbury town border, US to confluence  Thomaston WPCF outfall (just US confuence Branch Brook), Thomaston.",4.46,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,23525.228170983
914,2018,CT6900-00_06,Naugatuck River-06,"From confluence with Thomaston WPCF outfall (just US of confuence with Branch Brook), Thomaston, US to confluence with Spruce Brook (west side of Route 8), Litchfield/Harwinton town border.",9,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,47513.8610968814
915,2018,CT6900-00_07,Naugatuck River-07,"From confluence with Spruce Brook (west side of Route 8), Litchfield/Harwinton town border, US to confluence with Torrington WPCF (just US of bend north of plant), Harwinton/Torrington town border.",2.71,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,14329.9838103079
916,2018,CT6900-00_08,Naugatuck River-08,"From confluence with Torrington WPCF (just US of bend, north of plant), Harwinton/Torrington town border, US to headwaters at confluence of East and West Branches of Naugatuck River (just US of East Albert Street crossing), Torrington.",1.36,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7166.3215247995
917,2018,CT6900-01_01,Gulf Stream (Torrington/Litchfield)-01,"Mouth at confluence Naugatuck River DS Park Avenue crossing, Torrington, US along Route 202 through Litchfield to HW at unnamed pond US Highland Avenue crossing, Torrington.",5.1,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,26821.4553753488
918,2018,CT6900-18_01,Jericho Brook-01,"From mouth at confluence with Naugatuck River, Thomaston/Watertown town border, US to US-side of Route 8 crossing, Watertown.",0.07,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,387.758184357532
919,2018,CT6900-18_02,Jericho Brook-02,"From US-side of Route 8 Crossing (end of segment-01), US to headwaters at Jericho Brook Pond outlet dam (parallel to Nova Scotia Road), Watertown.",1.44,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,7605.30936093609
920,2018,CT6900-22_01,Great Brook (Waterbury)-01,"From mouth at confluence with Naugatuck River (east bank, DS of West Liberty Street crossing), US to Great Brook Reservoir at Belleview Lake outlet dam (Reservoir in 2 sections, split bt Lakewood Drive), Waterbury. Most of segment in culvert under city.",1.98,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,10475.0848469009
921,2018,CT6900-27_01,Spruce Brook (Beacon Falls)-01,"From mouth at confluence with Naugatuck River (DS of Cold Springs Road crossing), Naugatuck/Beacon Falls town border, US to headwaters (south of Andrew Mountain Road), Naugatuck.",2.82,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,14888.7086293714
922,2018,CT6900-28_01,Hockanum Brook (Beacon Falls)-01,"From mouth at confluence with Naugatuck River (just DS of Main Street (Route 42) crossing), Beacon Falls, US to headwaters at Simpson Lake outlet dam (parallel to Beacon Road (Route 42)), Bethany.",3.17,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,16713.2042865538
923,2018,CT6900-31_01,Hemp Swamp Brook (Beacon Falls/Oxford)-01,"Mouth at confluence Naugatuck River DS Lopus Road and RR crossings parallel to Route 42 bridge crossing, Beacon Falls, US through Matthies Park to HW at unnamed pond southeast of Route 42 at Chestnut Tree Hill Road intersection, Oxford.",1.8,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,9647.6046870065
924,2018,CT6900-37_01,Kinneytown Brook (Seymour)-01,"From mouth at confluence with Naugatuck River (DS of Route 8 crossing), US to first Tributary on East, Seymour.",0.89,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4700.48032866209
925,2018,CT6900-40_01,Beaver Brook (Ansonia)-01,"Confluence with Naugatuck River, just DS of Route 115 crossing, US to Quillinian Reservoir outlet, Ansonia.",1.23,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6511.55123358813
926,2018,CT6900-40_02,Beaver Brook (Ansonia)-02,"Inlet of Quillinian Reservoir, Ansonia, US to Middle Reservoir outlet, just US of Route 313 crossing, Seymour. ",1.1,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,Yes,5824.96965510871
927,2018,CT6901-00_01,Hall Meadow Brook (Torrington)-01,"Mouth at confluence with Hart Brook, above West Branch Farmington River, just US of Route 272 crossing, US to Hall Meadow Brook Reservoir outlet (dam), Torrington.",0.42,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,2205.06117851346
928,2018,CT6901-00_02,Hall Meadow Brook (Torrington)-02,"Hall Meadow Brook Reservoir inlet (parallel to Route 272), Torrington, US to Goshen/Norfolk town line (parallel to Route 272).",3.16,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,16667.6610653976
929,2018,CT6901-00_03,Hall Meadow Brook (Norfolk)-03,"Goshen/Norfolk town line (parallel to Route 272), US to HW, US of Meekertown Road crossing, Norfolk.",3.65,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,19282.3996603929
930,2018,CT6901-03_01,Unnamed tributary Hall meadow Brook (Goshen/Norfolk)-01,"Mouth at confluence Hall Meadow Brook DS Route 272 crossing through farm fields ditch, Goshen, US to HW in forested area US of Bruey Road crossing, Norfolk.",2.8,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,14832.4188236191
931,2018,CT6902-00_01,Hart Brook-01,"From mouth at confluence with Hall Meadow Brook, above West Branch Naugatuck River (just US of Norfolk Road (Route 272) crossing), US to Reuben Hart Reservoir outlet dam, Torrington.",0.64,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,Yes,3397.75627762431
932,2018,CT6902-02_01,Jakes Brook (Torrington)-01,"Mouth on Hart Brook, just DS of Route 272 crossing, US to HW near East Street, Goshen.",3.05,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,16091.7986333814
933,2018,CT6903-00_01,Nickelmine Brook (Torrington)-01,"From mouth at confluence with West Branch Naugatuck River-03 (just DS of Norfolk Road crossing, US to Allen Dam Reservoir INLET (US of University Drive crossing), Torrington. ",1.13,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5944.49218427988
934,2018,CT6903-00_02,Nickelmine Brook (Torrington)-02,"From Allen Dam Reservoir INLET (end of segment-01), Torrington, US to Hatchaluchi Reservoir INLET (beginning of segment-03), Goshen.  ",2.61,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,13797.6946405602
935,2018,CT6903-00_03,Nickelmine Brook (Goshen)-03,"From inlet to Hatchaluchi Reservoir, US to HW (parallel to East Street), Goshen.  ",1.71,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,9045.5293012532
936,2018,CT6903-02_01,Lovers Lane Brook-01,"From mouth at confluence with Nickel Mine Brook (just DS of Goshen Road (Route 4) crossing), US to headwaters (marsh US of Weed Road crossing), Torrington.",2.89,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,15236.4857643043
937,2018,CT6904-00_01,West Branch Naugatuck River-01,"From mouth at confluence with East Branch Naugatuck River, above Naugatuck River (US of East Albert Street crossing), US to Old Brass Mill Pond outlet dam (1st impoundment on river), just US of Church Street crossing, Torrington.",0.97,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5114.84159191892
938,2018,CT6904-00_02,West Branch Naugatuck River-02,"From Old Brass Mill Pond outlet dam (1st impoundment on river), just US of Church Street crossing, US through impoundment to inlet at Wolcott Avenue crossing, Torrington.",0.46,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,2428.30047976484
939,2018,CT6904-00_03,West Branch Naugatuck River-03,"From inlet to impoundment at Wolcott Avenue crossing (head of Old Brass Mill Pond), US to Stillwater Pond outlet dam (just US of Brass Mill Dam Road crossing), Torrington.",2.1,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,11072.9867268354
940,2018,CT6904-00_04,West Branch Naugatuck River-04,"From inlet to Stillwater Pond (DS of Norfolk Road (Route 272) crossing, pond is on east side of road), US to headwaters at confulence of Hart Brook and Hall Meadow Brook (US of Norfolk Road (Route 272) crossing), Torrington.",1.15,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6068.58816569845
941,2018,CT6905-00_01,East Branch Naugatuck River-01,"From mouth at confluence with West Branch Naugatuck River, above Naugatuck River (just DS of Franklin Drive crossing), US to North Elm Street Road (Route 4) crossing, Torrington.",1.33,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7046.70867187077
942,2018,CT6905-00_02,East Branch Naugatuck River-02,"From North Elm Street Road (Route 4) crossing, Torrington, US to headwaters at Lake Winchester outlet dam (just US of West Road crossing), Winchester.",7.67,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,40498.0277001154
943,2018,CT6906-00_01,Spruce Brook-01,"From mouth at confluence with Naugatuck River (DS from RailRoad crossing, on west bank), US to confluence with Jefferson Hill Brook, Litchfield.",0.27,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,1432.88941314922
944,2018,CT6906-00_02,Spruce Brook-02,"From confluence with Jefferson Hill Brook, US to East Litchfield Road crosssing, Litchfield.",1.31,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6900.95788155626
945,2018,CT6906-01_01,Jefferson Hill Brook-01,"From mouth at confluence with Spruce Brook, US to headwaters (US of Buell Road crossing near East Litchfield Road), Litchfield.",2.58,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,13600.7354245963
946,2018,CT6907-00_01,Rock Brook (Harwinton)-01,"Mouth on Leadmine Brook, just DS from Hollow Road crossing, Harwinton, US to HW, near Cotton Hill Road, New Hartford.",6.29,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,33211.6892587058
947,2018,CT6908-00_01,Leadmine Brook-01,"Mouth at Naugatuck River (US from railroad crossing of Naugatuck River), Thomaston, US to confluence Rock Brook (just US from South Road crossing), Harwinton.",2.76,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,14561.9226745001
948,2018,CT6909-00_01,Northfield Brook (Thomaston)-01,"Mouth at confluence Naugatuck River DS Main Street crossing, US along Route 254 to outlet of Northfield Brook Lake (flood control ACOE) below dam between Route 254 on west and Litchfield Street on east (just above confluence with NNT), Thomaston.",1.5,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,7657.5563543949
949,2018,CT6910-00_01,Branch Brook-01,"From mouth at confluence with Naugatuck River (DS of Route 8 crossing), US to Black Rock Dam outlet (along south side of Route 109), Watertown-Thomaston.",2.06,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,10863.357175695
950,2018,CT6910-00_02,Branch Brook-02,"From Black Rock Dam outlet (along south side of Route 109), US to Wigwam Reservoir outlet dam, Watertown-Thomaston.",1.91,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,10061.3907469525
951,2018,CT6910-03_01,Pitch Brook (Morris/Litchfield)-01,"Mouth at INLET to Pitch Reservoir just DS of Chestnut Hill Road crossing, Morris, US to HW between Chestnut Hill and East Chestnut Hill Roads, above Highmark Road intersection, Litchfield.",1.92,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,10128.1785045388
952,2018,CT6911-00_01,Hancock Brook (Waterbury)-01,"From mouth at confluence with Naugatuck River (segment-04) DS of Huntingdon Avenue and RailRoad crossings, US to Hancock Pond outlet dam (between Sheffield Street and RailRoad), Waterbury.",1.06,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5605.08923867806
953,2018,CT6912-00_03,Steele Brook-03,"From INLET of Heminway Pond (DS of Route 6 crossing), Watertown, US to headwaters (in marsh US of Killorin Road and Litchfield Road (Route 63) crossing area).",3.59,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,18973.3119254311
954,2018,CT6914-00_01,Mad River (Waterbury)-01,"From mouth at confluence with Naugatuck River (behind Roller Magic, off of Harvester Road), US to Route 69 crossing (US of I84 crossing, exit 22 area, and just US of Brass City Mall), Waterbury.",1.77,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9371.23795722702
955,2018,CT6914-00_02,Mad River (Waterbury)-02,"From Route 69 crossing (US of I84 crossing, exit 22 area, and just US of Brass City Mall), US to confluence with Beaver Pond Brook, just US of I84 crossing (Scovill Pond no longer exists), Waterbury.",1.01,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5327.69037844361
956,2018,CT6914-00_03a,Mad River (Waterbury)-03a,"From confluence with Beaver Pond Brook, (just US of I84 crossing and DS of Plank Road crossing, in former Scovill Ponds section), Waterbury, US to confluence with Lily Brook (CT6914-06 Gazetteer, and called Finch Brook in NHD), Wolcott.",3.46,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,18252.835809182
957,2018,CT6914-00_03b,Mad River (Waterbury)-03b,"From confluence with Lily Brook (CT6914-06 Gazetteer, and called Finch Brook in NHD), US to Scoville Reservoir outlet dam (US of Nichol Road, parallel to Wolf Hill Road), Wolcott.",0.74,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,3912.16725915796
958,2018,CT6916-00_01,Hop Brook (Naugatuck)-01,"Mouth at confluence Naugatuck River (DS of Bridge Street (Route 68) crossing and RailRoad crossing), Naugatuck, US to Hop Brook Lake outlet dam (flood control area along eastern side of Curch Street (Route 63)), Naugatuck/Waterbury town line.",1.44,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7626.10024443155
959,2018,CT6916-00_02,Hop Brook (Waterbury/Middlebury/Watertown)-02,"INLET to Hop Brook Lake (ACOE flood control area, enterance on Route 63), Waterbury, US to west under Route 63 and under I84 continuing to HW US of Old Watertown Road crossing, Middlebury.",7.97,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,42060.3151845061
960,2018,CT6916-05_01,Goat Brook (Middlebury)-01,"Mouth at confluence Hop Brook DS Tucker Hill Road crossing near intersection Chase Road, US along Route 64 then Charcoal Avenue to HW at wetland on southwest side of Charcoal Avenue at Breakneck Hill Road intersection, Middlebury.",1.8,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,9586.40604167431
961,2018,CT6916-09_01,Shattuck Brook (Middlebury/Naugatuck)-01,"Mouth at confluence Hop Brook DS Route 63 crossing in Hopbrook Dam Park, Middlebury, US to Town of Naugatuck Water Company property (water class change A to AA) just US of Northridge Road crossing, Naugatuck.",0.8,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4351.50618832364
962,2018,CT6917-00_01,Long Meadow Pond Brook-01,"From mouth at confluence with Naugatuck River (DS of Elm Street crossing and RailRoad crossing), US to outlet of Naugatuck Ice Company Pond Dam (just US of Rubber Avenue crossing), Naugatuck.",0.94,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,4937.81752007397
