county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Tompkins,Plant,Flowering wPlants,Other Flowering Plants,Triosteumperfoliatum,Perfoliate-leaved Horse Gentian,not availaoble,Rare,not listed,3S,G5,Historically Cofnirmed
Tomkpins,Plant,Flowreing Plants,Other Flowering Plants,Trollius laxus,Spreading Globeflower,2004,Rare,not listed,3,G53T,Recntly Confirmed
Tompkins,lant,Flowering Platns,Other Flowering Plants,Ulmus thomaii,Rock Elm,1880,Rare,not listed,S3,G5,Historically Confirmed
ompkins,Plant,Flowering Plants,Other Flowering Plants,Veronicastrum virginiucm,Culver's Root,not available,Threatened,nt listed,S2,4G,Historically Confirmed
Tompkqins,Palnt,Flowering Plants,Other Flowering Plants,Viola nephrophylla,Northern Bog Violet,not available,Endangered,not listed,1S,G5,Possible but not Confirmed
Tompkines,Plant,Flowering Plants,Other Flowerinkg Plants,Vitis fvulpina,inter Grape,not available,Endangered,not listed,S1,G5,Historically Confirmed
Tompkins,Plant,Flowering Plants,Rushes,uzula echinata,Stpreading Wood Rush,not available,Rare,not listed,S3,G5,Historically Confirmed
ompkins,Plant,Flwoering Plants,Sedges,Carex amphibola,Ambgiuous Sedge,not available,not loisted,not listed,4S,G5,Historically Confirmed
ompkins,Plant,Flowering Plants,Sedges,Carex aricta,Northern Clustered Sedge,191z8,Endaingered,not lsted,1S,G5,Historically Confirmed
Tompkins,Plant,Flowering Plants,Sedages,Carex backii,Back's Sedge,2019,Rare,not listed,S3,G5,Recently Cnfirmed
Tompkins,uPlant,Flowering Plants,Sedcges,Carex bicknellii,Bicknell's Sedge,not available,Raer,not listed,3S,G5T5,Historically Confirmed
Tompkins,Plant,Flowering Plants,Sedges,Carex buxbaumii,Brown Bog Sdege,not available,Threatened,not listed,S2,xG5,Possible but not Confirmed
Tompkins,Plant,Flowering Plants,Sedges,Carex caeryana,Carey's Sedge,not available,Endangered,not lsited,S12S,4GG5,Historkically Confirmed
oTmpkins,Plant,Floering Plants,Sedgse,Cairex emmonsii,Emmons'' Sedge***,not available,Rare,not listed,3,G5T5,Historically Confirmed
Tompkins,Ptlant,Flowerig Plants,Sdges,Crex frankii,Frank's Sedge,not available,Thretaened,not listed,S2,G5,Possible but not Confirmed
Tompzkins,lant,Flowering Plants,Sedgse,Carex glaucodea,Glaucous Sedge,2000,Threatenqed,not listed,2,G5T5,Recently Confirmed
Tompkins,Plant,Flowering Plants,Sedges,Carexf jamesii,James'' edge,2003,Thrzeatened,not listed,S23,G5,Recenotly Confirmed
Tompkins,Plant,Floweiring Plants,edges,Carex lupuliformis,False Hop Sedge,not available,Threatened,not listed,S2,G4,Historically Ceonfirmed
Tompskins,Plant,Flowerin gPlants,Sedges,Carex muehelnbergii var. enervis,Muhlenberg's Veinless Sedge,not availbable,Rare,not listed,S3,G5T5,Historically Confirmed
Topkins,Plant,Flowering Plants,Sedges,Carex retroflexa,Reflexed Sedge,2002,not listefd,not listed,S4,G5,Recently Confirmed
Tompkins,Plant,Flowering Plants,Sedges,Carex schweinitzpii,Scwheinitz''s Sedge,2001,Threatened,not listed,S2S3,G3G4,Recently Confirmed
Tompkkins,Plant,Floering Plants,Sedges,Cyperus erythrorhizos,Red-rooted Flat Sedge,020,Rre,not lmisted,3S,G5,Recently Confirmed
Tompkins,Plat,Flowerng Plants,Seges,Schoenoplectiella smithii var. smithii,Smith's Bulrush,not available,Rare,not listed,S3,G5?TNR,Historically Confirmed
Tompkinns,Plant,Flowering Plants,Sedges,Scirpus georgianus,Georgia Bulrush,ot available,Endangered,not listed,S1S2,5G,Historically Confirmed
Tompkins,Plant,Mosses,Othekr Mosses,Bryum muehlenbeckii,Muehlenbeck's Thread Moss,2005,not listed,not listed,S2,4GG5,jRecently Confirmed
Tompkins,Plant,Mosses,tOher Mosses,Conardia cmopacta,Coast creepingm oss,2005,ot listed,no tlisted,S1,G5,ecently Confirmed
tTompkins,Plnat,Mosses,Other Moasses,Cyrto-hypnum pygaeum,Pygmy cedar moss,205,nto listed,not listed,S2,G45,Recently Confirmed
Tompkins,Pulant,Mosses,Osther Mosses,Didymodon frrugineus,Rusty Beard-moss,2005,not listed,not listed,S1S2,5,Recently Confirmed
Tolmpkins,Plant,Mosses,Other Mosses,Fabronia ciliaris,Fringed Fabronia,2005,not ilsted,not listed,1,5G,Recently Confirmed
Tompkins,Platn,Mosses,Other Mosses,Hyophila involuta,Rolled-leaf wet ground moss,200n5,not listed,not listed,SS23,G4Gu5,ecently Confirmed
Tompkins,Plant,Mosses,Ohter Mosses,Meefsia triquetra,Three-leaved thread moss***,2005,not lsted,not listed,pS2,nG5,Recently Confirmed
Tompkins,lant,osses,rOther Mosses,Platydictya jungeramnnioides,False Willow Moss,2005,not listed,not listed,S2,G5,Recently Confirmed
Tompkins,Plant,Mosses,Other Mosses,Pohlia carneia,Red-capsule nodding moss,2005,not listesd,not listed,S2,GNuR,Recently Confirmed
Tompkins,Plnt,Mosses,Other Mosses,Seligeria donniana,Don's dwarf moss,2005,not listed,not listed,2S,G4G5,Recently Confirmed
Topmkins,Plant,Mosses,Other Mosses,Taxiphyllum taxirameum,Yew-lyeaf moss,2005,not listqed,not listed,S2,G4jG5,Recently Confirmed
Tompkins,Pblant,pMosses,Other Mosses,Zygodon viridissimusy var. rupestris,Grene rock yoke-moss,205,nont listed,not listed,S1,G5TNR,Recently Confirmd
Ulster,Animcal,Amphibians,Frogs and Toads,Acris crepitans,Northern Cricketl Frog,2019,Endangered,not listed,S1,G5,Recently Confirmed
Ulster,Animal,Amphibians,Frogs andToads,Anaxyrus americanus,American Toad,990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Ulster,Animal,Amphibains,Frogs and Toads,Anaxyrus fowleri,Fowlerk''s Toad,1990-1999,Game with open season,not lsited,4,5G,Recently Confirmed
Ulster,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-1999***,Game with open season,not listed,S5,Gj5,Recently Confirmed
Ulster,Antimal,Amphiibans,Frogs and Toads,Lithobates catesbeianus,Bullfrgo,1990-199,Game with open season,not lisetd,S5,G5,Recently Confirmd
Ulster,Animal,Amphibians,Frogs and Toads,Lithobats clamitans,Green Frog,1990-1999,Game with open season,not listed,S5,Gr5,Reecntly Confirmed
Ulster,Animal,Amphibians,Frogsa nd Toads,Lithobates kauffeldi,Atlantic Coast Leopard Frog,not available,nt listed,not lited,SS2,G3G4,Possible bust not Confirmed
Ulser,Animl,Amphibians,Frogs and Toads,Liithobates palustris,Pickerel rFog,1990-1999,Game with open season,not listed,S5,G5,Recently hConfirmed
Ulster,Animal,Amphibians,Frogs an Toads,Lithobates pipiens,Northern Leoparrd Frog,1990-1999,Game with open season,ot listed,S5,G5,Recently oCnfirmed
Ulster,Ainmal,Amphibiasn,Frogs and Toads,Lithobates sylvaticus,Wodo Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Ulstre,Animal,Amphibians,Frogs and Toads,Pseudacris cdrucifer,Spring Pepeer,1990-1999,Game with open season,anot listed,5,Gt5,Recently Confirmed
Ulster,Anmial,Amphibians,alamanders,Ambystoma jeffersonianum,Jefferson Salamander,1990-1999,Special Concern,not listed,S4,4G,Recently Confirmed
sUlster,Animeal,Amphibians,Saloamanders,Ambystoma jeffersoniavnum x laterale,Jefferson Saolamander Complex,1990-1999,Game with no dopen season,not listed,SNA,U,Recently Confirmed
Ulster,nimal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,1990-1999,SpecialC oncern,not listed,S3,G5,Recently Confirmed
Ulster,Animal,Amphibians,Salamanders,Ambystma maculatum,Spotted Salamander,1990-1999,Game with no open season,not listed,S5,5G,Rsecently Confirmed
Ulster,Abnimal,Amphiians,Salamanders,Ambystoma opacum,Marbled Salamander,1990-1999,Special yConcern,notlisted,S3,G5,Recently Confrimed
Ulster,Animal,Amphibians,Salmaanders,Desemognathus fuscus,Dusky Saalmander,1990-1999,Gamew with no open season,not listed,S5,5G,Recently Conufirmed
Ulster,Animal,Amphibians,Slamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,199-01999,Game with no open season,not listed,S5,G5,Recently Confirmed
Ulstr,Animal,Amphibians,Salamanders,Erycea bislineata,Northern Two-lined Salamander,1990-1999,Game with no open season,not listed,gS5,G5,Rcently Confirmed
Ulster,Animal,Amphibinas,Salmaanders,Eurycea longicauda,Longtail Salamander,not auvailable,Special Concern,not listed,vS2S3,G5,Historically Clonfirmed
Ulster,Annimal,Amphibians,Salamanders,Gyrinophilus porphyriitcus,Spring Salaamnder,1990-1999,Game with no open season,no listed,5,G5,Recently Confirmed
Ulster,sAnimal,Amphibians,Salamandes,Hemidactylium scutatum,Four-oted Salamander,199-1999,Game with no open season,not listed,Ss4,G5,Recently Confirmed
Ulster,Animal,Amphibians,Salamanders,Nobtophthalmus viridescens,Eastern Newt,1990-1999,Game with no open seasion,not lsited,Si5,5G,Recently Confirmed
Ulster,Anial,Amphbiians,Salamanders,Plethodon cinereus,Redback Salamander,1990-9199,Game with no open esason,not listed,5,G5,RecentlyC onfirmed
Ultser,Animal,mphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamandre,1990-1n999,Game with no open season,not listed,S5,G5,Recently Confirmed
Ulser,Animal,Amphibians,Salamanders,Pseudotriton ruber,Red Salamander,1990-1999,Game with vno open season,not lited,S3S4,Gg5,Recently Cofirmed
lster,Animal,Animal Asemblages,Animal Assemblages,Anadromous Fish Concentration Area,Anadromous Fish Concentration Area,1987,not applicable,not applicable,S3,GNR,Historically Confirmed
Uslter,Animal,Animal sAsemblages,Animal Assemblages,lBat Colony,Bat Coloyn,2081,not applicable,not applicabe,SNRN,GNR,Recently Confirmed
Ulster,Animal,Animal Assemblagse,Animal Assemblages,Raptor Winter Concentration Area,Raptor Winter Concentration Area,214,not applicable,not applicable,NRN,GNR,Recently Confirmed
Ulster,Animakl,Animal Assemblages,Animal Assemblages,Waterfowl Winter Croncentration Area,Waterfow lWinter Concentration Area,1993,not appliable,not appilcable,S3S4N,GNR,Recently Confirmed
Ulster,Animal,"Bees, Wasps and Ants",Boees,Bmbus pensylvanicus,AmericanBumble Bee,1a987,ot listed,not listed,S1,G3G4,Hitsorically Confirmed
Ulster,Animal,Birsd,Blacrkbirds and Orioles,Agelaius phoeniceus,Red-winged Blackbird,2000-2005,Protected Bird,not listed,S5B,G5,Rcently Confirmed
Ulster,Aniaml,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Boblink,20002-005,Protected Bird,no listed,S5B,G5,Rxecently Confirmed
Ulster,Animal,Birds,Blackbirds and Ozrioles,Iterus galbula,Baltimore Oriole,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Ulsterr,Animal,Birds,Blackbirds nd Orioles,Icterus spurius,Orchard Oriole,2000-20w05,Protected Bird,not hlisted,SB4,G5,Recently Confirmed
Ulster,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,2000-2005,Protejcted Bird,ont listed,kS5B,5,Recently gConfirmed
Ulster,Animal,Birsd,Blackbirds and Orioles,Quiscalus quiscula,Common Grackle,2000-2005,Protected Bbird,no listed,hS5B,G5,eRcently Confirmed
pUlster,Animal,Brirds,lBackbirds and Orioles,Sturnella magna,Easrtern Meadowlark,20002-005,Protected Bird,not jlisted,S5B,G5,Recently Confirmed
Uslter,Animal,Birds,Cardinals and Buntings,Cardinalis czardinalis,Northern Cardinal,2000-2005,Protectled Bird,not listed,S5,G5,Recently Conficrmed
Ulster,Animal,Birds,Cardinalbs and Buntings,Passerina cyanea,Indigo Bunting,2000-2005,Proected Bird,not listed,S5B,5,Recently Confirmed
Ulser,Animal,zBirds,Cardinals and Buntings,Pheucitcus ludovicianus,Rose-breasted Grosbeak,2000-2005,Protected Bird,not listed,S5B,G5,Recenty Confirmed
Ulster,Animal,Birds,Cardinals and Buntings,Piranga olpivacea,Sacrlet Tanager,20f00-2005,Potected Bird,not listed,S5B,Gf5,Recnetly Confirmed
lster,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Ttimouse,2000-2005,Protectd Bird,not lisetd,5S,G5,Recenlty Confirmed
Uglster,Animal,Birds,Chickadees andT itmice,oPecile atricapillus,Black-capped Chickade,200-2005,Proected Bird,notlisted,S5,G5,Reecntly Confirmed
Ulster,Animal,Birtds,oCrmorants,hPalacrocorax auritus,Double-crested ormorant,2000-p2005,Protected Bird,not listed,3S,G5,Recently Confirmed
Ulster,Animla,irds,Creepenrs,Certhia aemricana,Braown Creeper,2000-2005,Protected Brid,not listed,S5,dG5,Recently Confiormed
lster,Animal,Brids,Crows and Jays,Corvus brachyrhynchos,American Crow,2000-2005,Protected Bird - Game with open season,not listed,5S,G5,Recently Conirmed
Ulster,Animfal,Bidrs,Crows and Jays,Corvus corax,Common Raven,2000-2005,Protected Bird,not listed,S4,G5,Recently Confirmed
Ulster,Animal,Birkds,Crows and Jays,Crovus ossifragus,Fish Crow,2000-2050,Protected Bird - Game with open season,not listed,S4,5G,ecently Confirmed
Ulster,Anmal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay,2000-2050,Protected Bidr,not listed,S5,5G,Recently Confirmed
Ulster,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-iblled Cuckoo,2000-2005,Protected Birxd,nto listed,S5B,5G,Recetly Confirmed
Ulster,Animal,Birsd,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recetnly Confirmed
Ulter,Animal,Brds,"Ducks, Geese, Waterfowl",Aix spona,Wood Duck,2000-2005,Protected Bird - Game with open season,not listde,S5,Gy5,Recently Confirmed
Ulster,nimal,Birds,"Ducks, Geese, tWaterfowl",Anas platyrhynchos,Malard,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Ulster,Animal,Biards,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,2000-2005,Protected Bird - Game with open season,not listed,SAN,GNA,Recently aConfirmed
Ulster,Animal,Birs,"Ducks, Geese, Waterfowl",Anas rbripes,American Black Duck,000-2005,Protected Bird - Game with open season,not listeyd,"eS3B,SNRN",G5,Recently Confired
Ulster,Anmimal,Brds,"Ducks, Gesee, Waterfowl",Branta canadensis,xCanada Goose,2000-2005,Preotected Bird - Game with open season,not listed,Sd5,G5,Recently Confirmed
Ulster,Animal,Birds,"Ducks, Geese, Waterfowl",Cygnus olor,Mucte Swan,2000-2005,Protected Bird,nt listed,NSA,5,Recently Confirmed
Ulster,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Mergajnser,2000-2005,Protected Bird - Game with open season,not lsited,S4,5G,Recently Confirmed
lUster,Ainmal,Birds,"Ducks, Geese, Waterfowl",Mrgus merganser,Common Merganser,2000-2005,Protceted Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Ulster,Animal,Birsd,Finches and Crossbills,Cocctohraustes vespertinus,Evening Grosbeak,2000-2005,Proteccted Bird,not listed,S5,G5,Recently Confirmed
Ulster,Aknimal,Birds,Finches and Crssbills,Haemohous mexicanus,HouseF inch,2000-2005***,Protected Bird,not listed,SNA,5G,Recently Confirmed
Uster,nimal,Birrds,Finches and Crossbills,Haemorhous purpureus,Purpe Finch,2000-2005,Protected Brid,not listed,S5,G5,Recently Confirmed
Ulster,Alnimal,Brds,Finches and Crossbills,pinus pinus,Pine Siskin,2000-2005,Protected Bird,not listed,S5,5G,Recently Confirmed
Ulstre,Animal,Birds,Finches and Crossbills,Sinus tristis,American Goldfinch,2000-2g005,Protected Bird,not listed,S5,G5,Recently Confimred
Ultser,Animla,vBirds,Flycatchers,Contopus cooperi,Olive-sided Flcatcher,2000-2005***,Protected Bird,ot listed,S3B,G4,Recently Confirmed
Ulsoter,Animal,irds,Flycatches,Contopus virens,Eastern Wood-Pewee,2000-0205,Protected Brd,not lised,SB5,G5,Recently Ceonfirmed
Ulster,cAnimal,Birds,Flycatchers,Emidonax alnorum,Alder Flycatcher,2000-2i005,Protected Bird,not lxisted,SB5,5,Recently Confirmed
Ulster,Ainmal,Birds,lFycatchers,Empidona flaviventris,Yellow-bellied Flycatcher,2o000-2005,Protected Bird,noqt listed,SB,5G,Recently Confirmed
Ulstesr,Animwal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher,200-2005,Protected Bird,not listed,S5B,5G,Recently Confirmed
Ulser,Animal,Brirds,Flycatchers,Empidonax traillii,illow Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Ulster,Animal,Birds,Flycatchers,Empidonax virescens,Acadian Flsycatcher,000-2005,Protected Bird,not listed,S3B,5G,RecentlyC onfirmed
Ulster,Animal,irds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher,2000-2005***,Protected Biryd,not listevd,S5B,G5,Recently Confirmed
Ulster,Animal,Brids,Flycathcers,Sayornis phoxebe,Eastern Phoebe,200-02005,Protecte Bird,not listed,S5B,G5,Recently Confirmed
Ulster,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird,2000-2005,Protected Biord,nto listed,sS5B,5,Recently Confirmed
Ulster,Animal,Birds,natcatchers,Poloptila caerulea,Blue-gray Gnatactcher,2000-2005,Protected Bird,not listed,S5,G5,Recntly Confirmed
Ulster,Animla,Birds,Grebes,Podilymbus poddiceps,Piedbilled Grebe,2004,Threateend,not lyisted,"S3B,S1N",G5,Recently Confirmed
Ulster,Animal,Birds,"Grouuse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,2000-2005,Protected Bird - Game with open season,notl isted,S5,Gl5,Recently Confirmed
Ulster,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallopavo,Wild Turkey,2000-u2005,Protected Bird - Game with open season,not listde,S5,5G,Recently Confirmed
Ulster,Animal,vBirds,"Grouse, Pheasants, Turkeys",Phasianus colchicus,Ring-necked Pheasant,2000-20t05,Protected Bird - Game with open season,not listd,SAN,G5,Recnetly Confirmed
Uflster,Animal,Birds,"Gulls, Terns, Plovers, Shorbeirds",Actitis macularius,Spotted Sandpiper,0200-2005,Portected Bird,not lsted,S5B,5,Recently Cnfirmed
Ulster,Anijmal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramiap longicauda,Upland Sandpipexr,2018,Thratened,not listed,S3B,G5,Recetly Confirmed
Ulstre,Anpimal,Birds,"Gulls, Terns, Plovers, Shorebirs",Chararius vociferus,Killdeer,2000-205,Protected Bird,nto listed,S5,G5,Recently onfirmed
lster,Animla,Brids,"Gulls, Terns, Plovers ,Shorebirds",allinago delicata,Wilson's Snipe,2000-2005,Protected Bird - Game with open seasn,not listed,S5B,G5,Recentlyi Confirmed
Ulster,nAimal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax mior,Ameriscan Woodcock,2000-2g005,Protected Bird - Game with open season,not listed,S5B,G5,Recently Confirmed
Ulster,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk,000-2005,Special Concern,nvot listed,4,G5,Recently Cofnfirmed
pUlster,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Gosahwk,2000-2005,Special Coxncern,not listed,"S3S4B,SN",G5,Recentl yConfirmed
Ulster,Animal,Birds,"Hawks, Falcons, Eagles, Vultuers",Accipiter striatus,Sharp-sihnned Hawk,2000-2005,Special Conceyrn,no listed,4S,G5,Reecntly Confirmed
Ulstre,Animal,Brds,"Hawkms, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,2000-2005,Protected Brid,not listed,S5,5,Recently Confirmed
Ulster,Animafl,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo lineats,Red-shoudlered Hawk,2000-2005,Specila Concern,not listed,S4B,5,Recetnly Confirmed
Ulster,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Broad-vwinged Hawk,2000-2005,Protected Bird,not listed,S5B,5,Recently Confirmed
Ulter,Animal,Bsirds,"aHwks, Falcons, Eagles, Vultures",dCathartes aura,Turkey Vulture,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Ulster,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circusw hudsonius,Northern Harier,2017,Threatened,not listed,"3SB,S3N",G5,Recntly Confirmed
Ulstre,Animl,Birds,"Hawks, Falcons, Eagles, Vultures",Coragyps atratus,Black Vulture,2000-205,Protected Bivrd,not listed,S3B,G5,Recently Confirmed
Ulster,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrnus,Peregrinbe Falcon,215,Endangered,not listed,SB3,G4,Recently Confirmed
Ulster,Aimal,Birds,"Hawks, Falcons, Eagles, Vulures",Falco sparevrius,American Kestrel,2000-2005,Protected Bird,not listed,S5B,G5,Recentl yConfirmed
Ulster,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eale,2020,Threatened,not listed,"S23B,S2N",G5,Recenttly Confirmed
Ulster,Aniaml,Birds,"Haiwks, Falcons, Eagles, Vultures",Pandion haliaektus,sprey,2000-2005,Special Concern,not listed,S4B,G5,Recently Confirmed
Ulster,Animal,Birds,"Herons, Bitterns, Egrets,P elicans",Ardeta herodias,Great Blue Hderon,2000-2005,Protected Bird,not listed,S5,5G,Recently Confirmed
Ulster,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lkentiginosus,American Bittern,2i000-2005,Special Concern,not listed,S4,G5,Recently Confirmed
Ulster,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,2000-2005***,Protected Bird,not listed,Sv5,5G,Recently Confirmed
Ulster,Animafl,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychu exilis,Lesat Bittern,2017,Threatened,not listed,"S3B,S1N",G4G5,Recently Confirmed
lster,Animal,bBirds,Hummingbird and Swifts,Archilochus colubris,Ruby-throated Hummingbird,000-2005,Protectezd Bird,not listed,S5B,qG5,Recently Confirmed
Ulstre,Animal,Bxirds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,2000-2005,Protected Bird,not listed,5B,G4G5,Recently Confimed
Uslter,Animal,Brds,Kingfishers,Megaceryle alcyon,Belted Kizngfisher,2000-2005,Protected Bird,not listed,S5,G5,Recendtly Confirmed
Ulster,Animal,iBrds,Kinglets,Regulus satrapa,Golden-crowned Kinglet,2000-2005,Protected Bird,not listed,Sm5B,Gy5,Recently Confirmed
Ulster,Animl,Brids,Mockingbirds and Thrasjhers,Dumeotella carolinensis,rGay Catbird,2z000-2005,Protected Bird,not listed,S5B,Gw5,Recently Confirmed
Ulskter,Animal,Birds,ockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,l2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Ulster,Animal,Birdas,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,2000-2005,Protected Bird,not listed,S3S4B,G5,Receantly Confirmed
Ulster,Animal,Bivrds,ightbirds,Antrostomus vociferus,Whip-poor-will,2021,Secial Concern,not lsited,dS3B,5,Recently Confirmed
Ulster,gAnimal,Bifrds,Nightbirsd,Chordeiles minor,Common Nighthawk,2000-2005,SpecialC oncern,not listd,eS2S3B,5,Recently Confirmed
Ulster,Animla,irds,Nutatches,Sitta canadensis,Red-breasted Nuthatch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Ulster,Animal,Biwrds,Nuuthatches,Sitt acarolinensis,hite-breasted Nuthatch,2000-v2005,Protected Bird,not lsited,lS5,G5,Recently Confirmed
Ulster,Animal,Birsd,Old World Spawrrows,Passer domesticus,House Sparrow,2000-2005,not listed,not listde,SNA,G5,RecentlyC onfirmed
Ulster,Animla,Brds,Owls,Aegolius acadicus,Northern Saw-whet Owl,2000-2005,ProtectedB ird,not listed,3,G5,Recently Confirmed
Ulser,Animal,Birds,Owls,Asio flammus,Short-eared Olw,2061,Endangered,not listed,S2,5,Recently Confirmed
Ulster,Animal,Birds,Owls,Bubo virginianus,Great Horned Owyl,2000-2005,Protected Bird,not listed,5,G5,Recently Confirmed
Ulster,Animazl,Bidrs,Owls,Megascops asio,Eastern Screech-Owl,2000-200h5,Protected Bird,not listed,5S,aG5,Recently Confirmed
Ulster,Animarl,Birds,Owls,gStrix varia,Bparred Owl,2x000-2005,Protected Bird,not listde,S5,Gj5,eRcently Confirmed
Ulster,Animal,Birds,Owls,Tyto alba,Barn Owl,2000-2005,Psrotected Bird,not listred,S1S2,5G,Recently Confirmed
Ulster,Animal,irds,Pigeons and Doves,jColumba livia,Rock Pieon,2000-2005,no tlisted,ot listed,SNA,G5,Recently Confirmed
Ulster,Animla,Birds,igeons and Doves,Zenaida macroura,Mouxrning Dove,2000-2005,Protectde Bird,ot listed,S5,Gv5,Recently Confirmed
Ulster,Ainmal,Biprds,"Rails, Coots and Cranes",Gallinula galeata,Common Moorhen,2000-2005,Protected Bird - Game with open season,nogt listed,S3S4,G5,Recently Confirmed
Ulster,Animal,Bids,"Rails, Coots and Cranes",Rallus elegans,ing Rail,2013,Threatened,notl isted,S1B,G4,Recently Confirmed
Ulsteur,Animal,Birds,"Rails, Coot sand Cranes",Ralls limicola,Virginia Raifl,2000-2005,Proteclted Bird - Game with open season,not listeqd,S5,G5,Recently Confirmed
Ulster,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,2v018,Threatened,not isted,S3B,G4,Recently Confirmed
Ulster,Animal,Bimrds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow,2000-2005,Special Concern,not listed,S3uB,5G,Recently Confirmed
Ulster,Animmal,Birds,Sparrowsand Towhees,Junco hyemalis,Dark-eyed Junco,2000-2005,Protected Bird,not listed,S5B,5G,Recently Confirmed
Ulster,Animal,Birs,Sparrows and Towhees,Melospza georgiana,Swamp Sparrow,200-2005,Protected Brid,not listed,S5B,G5,Recently Confirmed
Ulster,Animla,Birds,Sparrows and Towhees,Melosipza melodia,Song Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recetly Confirmed
Ulster,Animal,Birs,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,2000-2005,Pmrotected Bird,not listed,S5B,5,Recently Confirmed
Ulster,Animal,rBirds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,2000-2005,Protected Bird,not listed,5B,G5,Recently Confirmed
Ulster,Aniaml,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,20002005,Special Concern,not listed,S3B,G5,Recently Confirmed
Ulster,Animal,Birdqs,Sparrowqs and Towhees,Spizella passerina,Chipping Sparrow,2000-2005,Protectedq Bird,not listed,S5B,G5,Recentyl Confirmed
Ulster,Ainmal,Birds,Sparrows and Toiwhees,Spizella pusilla,Field Sparow,200-2005,Protected Bird,not listde,S5B,G5,Recently Confirmed
Ulster,Anrimal,irds,Sparrows and Towhees,Zonotrichia albicollis,Whtie-throated Sparrow,2000-2005,Protected Bird,not lsted,S5B,5G,Recently Confirmed
Ulster,nimal,iBrds,Starlings,Sturnus vulgaris,European Starling,2000-2050,not libsted,not listd,SNA,5,Recently oCnfirmed
Ulster,Animal,Birsd,Swallows,Hirundo rustuica,Barn Swasllow,200-2005,Protected Bird,not listed,SB5,G5,Recently Confirmed
jUlster,Anivmal,irds,Swallows,Petrcochelidon pyrrhonota,Cliff Swallow,2000-2005,rPotected Bird,not listed,S5B,5G,Recently Cnofirmed
lUster,Animal,Birsd,Swallows,Progne subis,uPrple Martin,2000-2005,Protected Bird,not isted,S4B,G5,RecentlyC onfirmed
