ID,Q1a_Service_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Promote_diversity/inclusiveness,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Are_emp_ethical-way_conduct_business,Q1l_Sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_of_streets-neighborhood,Q2b_Condition_of_sidewalks-neighborhood,Q2c_Maint_of_private_property-neighbor,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_of_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q3_Most_emphasis,Q3_2nd_emphasis,Q4_Condition_of_your_neighborhood,Q5_Public_safety_concern,Q6_Services/Facility_uses-past_12_mo,Q6_2nd,Q6_3rd,Q6_4th,Q6_5th,Q6_6th,Q6_7th,Q6_8th,Q6_9th,Q6_10th,Q6_11th,Q6_12th,Q6_13th,Q6_14th,Q6_15th,Q6_Other,Q7a_Quality_of_large_parks,Q7b_Recreation_centers,Q7c_Swimming_pools_and_programs,Q7d_Outdoor_athletic_fields,Q7e_Programs_for_youth,Q7f_Programs_for_adults,Q7g_City_golf_courses,Q7h_Tempe_history_museum,Q7i_Library_facilities,Q7j_Disability_access-prog/fac,Q8_Most_emphasis-programs,Q8_2nd_-_programs,Q9a_Library_services,Q9b_Condition_of_streets,Q9c_Condition/clarity_st_signs,Q9d_Local_transit_service,Q9e_Traffic_flow_streets,Q9f_Walking/biking_paths,Q9g_Availability_of_information,Q9h_Enforces_property_maint_codes,Q9i_Landscape_maint-st/sidewalks,Q9j_Appearance_of_residential_property,Q9k_Appearance_commercial_property,Q9l_Cleanliness_city_streets,Q9m_Residential_trash_collection,Q9n_Recycling_services,Q9o_Bulky_item_pick_up/removal_svc,Q9p_Water_service,Q9q_Local_polices_services,Q9r_Enforcement_of_traffic_laws,Q9s_Local_fire_services,Q9t_Efforts_to_prevent_crims,Q9u_Recreation_prot/svcs,Q9v_Maintenance_city_parks,Q10_Most_emphasis-city_services,Q10_2nd-city_services,Q10_3rd-city_services,Q11_Social/human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Most_emphasis-social/human_svcs,Q12_2nd-social/human_svcs,Q12_3rd-social/human_svcs,Q13_Use_to_get_information_about_city,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_receive_info,Q13a_2nd_preference,Q13a_3rd_preference,Q14a_Contacted_the_city_past_12_mo,Q14b_How_easy_city_was_to_contact,Q14c_Way_you_were_treated,Q14d_Accuracy_of_information_given,Q14e_How_quickly_responded,Q14f_How_ell_issue_handled,Q15_City's_top_priority_next_year,Q15_2nd_priority,Q15_3rd_priority,Q15_4th_priority,Q15_5th_priority,Q18a_Years_lived_in_Tempe,Q18b_What_is_your_age,Q18c_Gender,Q18d_Used_public_transit_past_yr,Q18e_Are_you_full-time_student,Q18f_Own_or_rent,Q18g_Does_home_have_alley,Q18h_Highest_level_of_education,Q18i_Describe_your_home,Q18j_Have_cable_TV,Q18_j_Have_Smart_Phone,Q18-j_Internet_access-home,Q18k_Visited_downtown_during_past_yr,Q18l_Race/ethnicity,Q18l_2nd,Q18l_3rd,Q18l_4th,Q18l_5th,Zip,OBJECTID
601,5,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,E,D,3,,3,4,5,8,11,14,,,,,,,,,,,4,4,3,4,4,4,4,5,5,5,A,E,5,3,4,4,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,O,T,J,99,,,,,,,,,8,,,1,2,7,9,10,,,,,,7,9,10,2,,,,,,1,4,,,,5,3,2,2,2,2,1,2,1,1,1,1,1,3,,,,,85282,600
602,4,4,5,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,3,3,2,C,G,3,,3,4,10,11,12,,,,,,,,,,,,5,4,4,5,4,4,4,4,4,4,A,F,4,3,3,4,4,4,4,3,4,4,3,3,3,3,2,3,4,4,4,4,4,4,L,T,G,99,,,,,,,,,99,,,4,7,10,,,,,,,,4,7,10,1,4,4,4,4,4,1,4,,,,5,9,2,2,2,1,1,2,1,1,2,1,1,4,,,,,85282,601
603,9,3,3,3,3,4,9,9,9,9,9,9,9,9,3,4,2,2,3,9,2,D,C,3,,11,,,,,,,,,,,,,,,,4,3,2,3,9,9,9,9,9,9,C,D,9,4,3,4,4,9,9,2,3,2,3,4,3,3,3,3,3,4,9,3,3,9,J,T,H,99,,,,,,,,,9,1,5,5,,,,,,,,,,5,6,7,2,,,,,,6,11,,,,1,1,1,1,1,2,1,3,1,2,1,1,1,3,,,,,85281,602
604,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,4,,2,3,6,7,10,11,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,Z,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,99,,,,,,,,,99,,,4,9,10,,,,,,,,99,,,1,4,4,4,4,4,99,,,,,5,5,1,2,2,1,1,2,1,2,2,2,1,4,,,,,85281,603
605,4,4,4,9,5,4,9,4,4,4,9,4,2,4,5,5,4,4,4,4,4,E,G,4,,3,4,11,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,4,9,A,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,T,P,Q,99,,,,,,,,,99,,,2,5,7,8,9,,,,,,5,8,9,2,,,,,,7,8,,,,5,3,1,1,2,1,2,5,1,1,1,1,1,3,,,,,85284,604
606,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,3,9,5,2,3,F,G,3,,2,3,4,7,10,11,13,,,,,,,,,,4,4,4,4,5,5,9,5,5,9,A,,5,4,5,4,4,5,5,9,4,4,4,4,5,5,5,5,5,9,5,5,5,4,D,E,,99,,,,,,,,,99,,,5,8,9,,,,,,,,9,5,,2,,,,,,4,6,,,,4,1,2,1,2,2,2,5,1,2,2,1,1,3,,,,,85283,605
607,9,4,4,3,5,4,3,3,9,9,9,3,3,9,4,4,4,9,4,9,4,E,C,4,,6,11,,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,9,9,I,F,9,4,4,3,4,9,3,9,3,4,4,4,4,4,9,4,3,3,9,3,9,9,Q,R,J,99,,,,,,,,,7,4,2,99,,,,,,,,,,6,3,8,2,,,,,,99,,,,,4,1,1,1,2,2,2,5,2,2,2,2,1,3,,,,,85282,606
608,4,2,3,3,4,3,3,3,3,3,3,3,3,3,2,2,1,9,1,1,1,E,F,1,,2,13,,,,,,,,,,,,,,,3,3,3,3,9,4,3,3,4,3,C,,4,3,3,9,3,9,2,9,2,2,3,2,9,9,9,3,3,3,3,2,4,2,T,I,J,99,,,,,,,,,99,,,2,9,,,,,,,,,6,2,9,2,,,,,,2,6,,,,1,1,2,2,1,2,2,2,1,2,2,1,2,3,,,,,85281,607
609,4,4,4,3,3,4,4,3,3,3,3,3,4,3,4,4,4,3,4,4,4,A,E,4,,2,3,5,8,13,14,,,,,,,,,,,4,3,3,4,4,9,3,9,3,3,A,D,3,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,4,4,4,4,4,4,Q,H,P,99,,,,,,,,,99,,,5,7,8,,,,,,,,8,7,5,2,,,,,,9,11,,,,5,1,1,2,2,2,2,3,1,1,1,1,1,3,,,,,85284,608
610,5,4,5,4,4,3,4,4,4,4,4,4,4,9,4,4,4,3,3,5,4,E,D,4,,3,11,,,,,,,,,,,,,,,5,9,9,9,9,9,9,9,9,9,Z,,9,4,5,5,5,5,3,9,3,3,4,4,5,5,5,5,9,5,9,9,9,4,T,,,99,,,,,,,,,99,,,10,,,,,,,,,,99,,,2,,,,,,3,8,,,,1,1,2,1,1,2,1,3,1,2,1,1,1,3,,,,,85282,609
611,3,4,3,9,3,4,1,4,4,2,3,4,2,1,5,5,4,4,4,5,4,E,G,5,,3,4,6,10,11,12,,,,,,,,,,,4,4,9,9,9,3,9,9,4,9,Z,,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z,,,99,,,,,,,,,99,,,1,5,7,9,,,,,,,6,8,3,1,2,4,3,4,3,3,,,,,5,3,2,1,2,1,1,2,1,1,1,1,1,3,,,,,85283,610
612,4,5,5,4,4,4,4,3,3,3,3,4,3,3,4,4,4,4,3,4,4,Z,,4,,2,3,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,E,I,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,Z,,,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,1,3,3,3,3,3,3,9,10,12,,5,3,1,2,2,1,1,2,1,1,2,2,2,3,,,,,85282,611
613,5,5,5,4,4,4,3,3,3,3,9,9,3,9,4,2,3,9,3,3,5,B,F,4,,4,15,,,,,,,,,,,,,,TSC PROGRAM                   ,9,9,9,9,9,9,9,9,9,9,Z,,9,3,5,9,3,4,5,4,4,3,4,4,5,5,5,4,5,5,9,5,9,9,Z,,,99,,,,,,,,,99,,,5,,,,,,,,,,99,,,2,,,,,,3,10,,,,5,2,2,1,2,1,2,5,1,2,2,1,1,3,,,,,85284,612
614,3,3,3,3,3,3,9,2,2,1,9,3,1,2,2,2,2,9,2,3,2,G,E,3,,2,3,4,15,,,,,,,,,,,,DOG PARK                      ,9,9,2,3,3,2,3,3,1,1,I,C,3,2,2,9,1,3,2,1,2,3,2,1,3,2,1,3,9,2,9,3,3,4,Z,,,99,,,,,,,,,99,,,1,4,,,,,,,,,99,,,1,1,1,1,3,1,3,,,,,4,2,2,2,2,1,2,3,1,1,2,1,2,3,,,,,85284,613
615,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,9,4,4,4,C,A,4,,99,,,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,9,9,A,,9,4,4,3,4,4,4,3,3,3,4,4,5,5,5,4,4,4,4,4,9,4,B,,,99,,,,,,,,,4,3,2,5,8,,,,,,,,,99,,,1,4,4,4,4,4,9,,,,,4,2,2,1,2,1,2,5,1,1,1,1,1,5,,,,,85281,614
616,5,4,5,4,5,4,5,5,4,5,5,5,4,5,4,5,3,9,4,4,5,C,A,4,,2,3,4,11,,,,,,,,,,,,,5,9,9,9,9,9,9,9,5,9,A,B,5,4,5,5,5,5,5,3,4,3,4,4,5,5,9,5,5,4,5,4,9,5,K,T,,99,,,,,,,,,99,,,8,9,,,,,,,,,6,1,8,2,,,,,,2,7,,,,1,2,1,1,2,2,2,3,1,1,1,1,1,3,,,,,85281,615
617,4,4,4,3,5,3,9,9,9,2,9,3,5,3,2,4,4,9,3,3,5,E,F,3,,2,3,4,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,9,E,E,5,3,3,4,3,4,4,4,4,4,4,4,5,5,4,5,5,2,5,2,5,5,D,U,C,2,3,,,,,,,,3,2,9,5,7,9,10,,,,,,,5,,,2,,,,,,4,11,,,,1,1,2,1,1,1,2,5,1,2,1,1,1,3,4,,,,85283,616
618,3,4,4,9,3,2,9,9,3,3,2,3,4,3,2,9,3,2,2,9,3,E,A,4,,2,3,5,11,14,,,,,,,,,,,,4,9,9,9,9,9,9,9,9,9,E,E,9,2,3,2,2,4,4,3,4,3,3,4,4,4,3,4,3,2,4,2,9,4,U,V,K,99,,,,,,,,,6,7,9,1,7,9,,,,,,,,7,1,9,1,4,4,4,4,4,8,9,,,,1,1,2,2,1,2,1,3,1,1,1,2,1,4,,,,,85282,617
619,4,2,4,4,4,4,2,4,4,4,4,4,5,5,4,4,2,2,4,3,4,B,C,4,,2,3,4,5,,,,,,,,,,,,,4,5,9,9,9,3,9,4,4,2,C,G,4,4,4,5,5,4,4,2,3,2,3,3,5,5,5,5,5,5,5,4,4,4,L,V,A,2,3,,,,,,,,7,8,,5,7,9,,,,,,,,7,9,,1,3,4,3,3,3,2,4,,,,5,2,2,1,2,1,1,4,1,2,1,2,1,3,4,,,,85282,618
620,4,4,5,4,5,4,3,4,4,2,9,4,4,4,4,3,4,4,4,4,4,A,F,4,,2,4,11,14,,,,,,,,,,,,,4,4,3,9,9,9,9,9,4,9,A,C,4,3,3,3,2,4,3,3,2,4,4,2,4,4,4,2,4,4,4,2,3,2,T,Q,S,99,,,,,,,,,99,,,5,7,9,,,,,,,,7,9,,1,4,4,3,4,4,99,,,,,5,3,1,1,2,1,2,3,1,2,1,1,1,4,,,,,85283,619
621,4,3,3,2,1,4,3,3,3,4,1,3,3,4,1,1,1,3,4,1,3,C,B,2,,2,3,4,7,9,10,11,13,,,,,,,,,2,2,1,2,3,3,3,9,4,9,C,A,9,2,4,1,1,2,3,1,2,1,2,3,5,4,4,5,3,1,5,4,3,1,J,I,H,99,,,,,,,,,99,,,4,5,10,,,,,,,,99,,,1,4,4,4,4,2,4,11,,,,4,2,1,2,2,1,1,4,1,1,1,1,1,3,4,,,,85281,620
622,5,5,5,5,4,4,4,5,5,4,5,4,4,4,4,4,4,4,3,3,1,G,F,9,,3,4,11,,,,,,,,,,,,,,4,4,5,2,9,4,9,4,5,3,D,J,5,4,4,4,4,4,4,4,4,4,4,3,3,1,9,4,5,1,5,4,5,5,N,R,T,99,,,,,,,,,9,2,3,8,,,,,,,,,,8,,,1,,4,4,4,9,5,,,,,3,4,2,1,2,2,2,2,2,1,1,2,1,3,4,,,,85281,621
623,5,5,5,4,5,4,3,5,4,4,5,5,4,5,4,4,2,4,4,5,5,E,C,3,,2,3,4,6,11,14,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,G,I,5,5,4,5,4,5,5,2,5,2,5,5,5,5,5,5,5,5,5,4,5,5,T,H,J,99,,,,,,,,,3,4,9,4,8,,,,,,,,,8,,,1,5,5,5,5,5,1,2,,,,3,2,2,1,2,1,1,3,1,1,1,1,1,3,4,,,,85281,622
624,3,4,5,9,4,2,5,9,9,9,9,9,9,9,4,2,4,4,2,4,2,E,B,3,,2,3,4,9,10,11,14,,,,,,,,,,4,9,2,3,9,9,9,9,4,4,B,E,5,4,4,9,4,9,4,9,2,4,3,3,5,5,3,4,5,3,9,3,9,3,I,,,99,,,,,,,,,99,,,1,4,5,9,,,,,,,1,9,5,1,3,5,3,4,5,6,8,,,,3,1,2,2,2,1,1,3,1,1,1,2,1,3,4,,,,85281,623
625,4,4,4,2,4,4,2,2,2,2,2,2,2,2,4,4,3,4,4,4,4,C,E,4,,2,11,,,,,,,,,,,,,,,4,4,4,4,4,4,3,4,4,4,E,E,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,99,,,,,,,,,8,4,7,7,9,,,,,,,,,9,7,1,2,,,,,,2,11,,,,3,4,2,2,2,2,1,3,1,2,1,2,1,3,4,,,,85282,624
626,4,4,4,2,4,4,2,3,3,2,4,3,1,2,2,4,3,3,4,3,2,A,G,4,,2,3,4,5,8,10,11,12,13,14,,,,,,,3,4,9,3,4,2,4,3,4,9,F,E,4,3,3,3,2,4,1,4,4,4,4,4,4,4,3,2,4,4,5,4,4,3,G,P,E,7,,,,,,,,,99,,,5,7,9,,,,,,,,5,9,7,1,4,3,2,2,1,6,7,,,,3,2,2,1,2,1,1,3,1,2,1,1,1,4,,,,,85283,625
627,4,4,4,3,3,4,3,2,1,1,1,1,2,2,4,4,4,4,4,4,4,E,C,4,,2,3,4,11,13,14,,,,,,,,,,,4,3,3,4,4,3,3,4,4,4,E,E,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,99,,,,,,,,,2,8,9,1,2,3,7,9,10,,,,,99,,,2,,,,,,99,,,,,3,5,1,2,2,2,1,3,1,2,1,2,1,3,4,,,,85282,626
628,2,3,4,4,4,3,1,3,3,1,1,1,3,1,3,2,3,3,3,3,3,E,A,3,,3,8,14,,,,,,,,,,,,,,9,3,9,9,9,3,9,9,4,3,F,J,4,2,2,4,3,9,1,1,1,1,1,3,3,3,9,1,3,3,3,3,3,3,G,P,U,99,,,,,,,,,9,8,3,2,4,5,,,,,,,,2,5,6,1,3,3,2,2,2,6,11,,,,3,4,2,1,2,1,1,2,1,2,1,2,1,3,4,,,,85282,627
629,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,2,A,F,4,,2,3,4,11,,,,,,,,,,,,,4,4,4,4,4,4,9,4,2,4,I,A,2,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,4,4,4,4,Q,H,N,4,8,9,,,,,,,2,4,9,2,3,5,6,7,8,9,10,,,6,8,3,2,,,,,,1,9,,,,3,3,2,1,2,1,1,3,1,2,1,2,1,3,4,,,,85282,628
630,4,3,4,4,4,4,4,4,3,3,4,4,2,3,3,3,2,2,4,3,3,B,D,2,,3,6,11,,,,,,,,,,,,,,4,9,9,9,9,3,9,4,4,9,A,I,4,3,3,4,3,4,3,1,1,2,3,4,4,4,4,4,9,2,9,4,3,4,I,H,R,99,,,,,,,,,99,,,1,2,3,4,5,6,7,8,9,10,2,5,7,1,4,5,5,5,4,2,11,,,,3,3,2,1,2,1,1,3,1,1,1,1,1,3,4,,,,85283,629
631,5,5,5,4,5,4,4,4,4,4,4,4,5,5,5,2,5,4,4,5,4,G,E,5,,2,3,4,12,,,,,,,,,,,,,5,5,9,9,4,4,9,5,5,9,A,I,5,4,4,4,4,5,5,3,3,3,4,4,4,4,9,4,4,4,4,4,5,5,T,S,D,99,,,,,,,,,99,,,1,4,5,6,8,9,,,,,5,6,8,1,4,4,4,1,1,4,7,,,,3,4,2,1,2,1,2,4,1,1,1,2,1,2,3,,,,85281,630
632,5,2,4,4,5,4,5,5,5,4,4,4,4,5,4,4,3,3,4,4,3,D,G,4,,2,3,,,,,,,,,,,,,,,4,4,9,9,4,4,9,4,4,9,E,J,4,4,4,4,3,4,4,4,4,4,2,4,5,5,5,5,5,3,5,4,4,4,T,K,V,99,,,,,,,,,99,,,1,2,,,,,,,,,99,,,1,4,4,4,3,4,3,7,,,,3,3,2,1,2,1,1,2,1,1,1,1,1,3,4,,,,85281,631
633,4,5,5,2,5,5,5,2,4,2,5,4,4,5,5,5,4,5,5,9,4,E,A,4,,2,3,4,11,13,,,,,,,,,,,,5,9,9,9,4,4,9,4,4,9,I,A,4,4,3,2,2,4,3,3,3,4,4,4,5,5,5,4,5,3,5,4,4,5,D,F,Q,99,,,,,,,,,9,2,7,5,6,,,,,,,,,5,6,,1,2,5,5,5,5,9,11,,,,3,3,2,1,2,1,1,2,1,1,1,1,1,3,4,,,,85282,632
634,4,4,4,4,4,4,3,4,3,4,3,3,3,3,4,4,3,4,4,4,4,C,E,4,,2,3,4,7,11,12,14,,,,,,,,,,5,9,9,9,9,9,4,9,4,9,A,G,4,4,4,4,2,4,4,2,4,3,3,3,3,4,3,3,3,3,3,3,3,4,E,H,D,99,,,,,,,,,9,6,2,5,,,,,,,,,,99,,,2,,,,,,2,6,,,,3,1,1,1,2,1,2,3,2,2,1,1,1,4,,,,,85281,633
635,4,3,4,4,4,4,3,4,4,5,4,5,5,5,4,4,3,4,4,4,4,F,C,4,,2,,,,,,,,,,,,,,,,5,4,3,3,3,4,4,3,5,9,E,F,5,5,5,5,4,5,4,3,5,4,4,4,5,5,5,5,5,5,5,5,4,5,H,L,J,99,,,,,,,,,99,,,1,5,,,,,,,,,1,5,7,1,5,5,5,5,5,4,10,,,,3,3,2,1,2,1,1,4,1,1,1,1,1,3,4,,,,85282,634
636,4,5,5,5,5,4,5,5,5,4,3,5,4,4,4,4,2,4,4,4,2,G,C,4,,2,4,6,8,14,,,,,,,,,,,,4,3,3,3,5,2,3,4,4,4,F,E,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,99,,,,,,,,,99,,,2,4,5,8,10,,,,,,5,,,2,,,,,,3,8,,,,3,3,2,1,2,1,1,2,1,1,1,1,1,3,4,,,,85281,635
637,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,4,4,4,3,4,3,E,A,5,,11,,,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,5,9,E,E,5,4,5,9,5,9,5,5,5,5,5,5,5,5,5,4,4,4,9,5,9,4,R,B,P,99,,,,,,,,,7,4,3,4,5,7,9,10,,,,,,5,7,9,1,5,5,5,5,5,5,,,,,1,1,1,2,1,1,1,1,1,1,1,2,1,3,4,,,,85282,636
638,4,3,3,2,3,3,5,1,1,3,2,3,2,3,4,4,4,2,3,3,3,D,A,3,,2,3,4,9,10,11,13,14,,,,,,,,,3,3,3,3,3,3,3,4,4,3,J,J,4,4,5,3,2,3,3,3,3,2,3,3,2,2,3,3,4,4,3,3,4,3,Z,,,99,,,,,,,,,99,,,2,4,,,,,,,,,3,6,5,1,4,4,4,4,4,2,7,,,,3,2,1,2,2,2,1,1,1,1,1,1,1,3,4,,,,85281,637
639,4,4,5,9,4,4,3,1,1,1,9,9,1,1,4,4,4,4,4,5,4,B,B,4,,4,11,,,,,,,,,,,,,,,3,3,9,3,9,3,3,3,4,3,E,E,4,4,4,9,3,4,4,9,4,4,4,4,4,4,4,1,4,3,5,4,3,4,Z,,,99,,,,,,,,,9,6,4,1,4,5,7,9,,,,,,1,7,9,1,4,4,4,4,4,1,5,,,,3,3,1,2,2,1,2,3,1,2,1,2,1,3,4,,,,85283,638
640,2,2,2,1,3,3,3,1,1,1,1,3,1,1,4,4,2,3,3,3,2,C,G,2,,2,3,4,5,8,,,,,,,,,,,,3,3,1,3,9,9,9,9,9,9,C,E,9,4,4,3,1,1,2,1,3,1,1,4,2,4,4,3,2,1,5,1,3,2,F,H,E,1,2,3,4,5,6,7,8,9,99,,,5,7,10,,,,,,,,5,6,8,1,4,3,2,2,2,8,12,,,,3,2,2,1,2,1,1,4,1,1,1,2,1,3,4,,,,85281,639
641,4,4,4,2,4,4,3,1,1,1,2,2,1,1,2,4,2,4,4,4,3,A,C,4,,2,4,8,11,12,,,,,,,,,,,,4,4,9,4,4,4,9,9,4,4,B,I,4,2,4,4,4,4,2,1,4,1,4,4,4,4,4,2,4,4,5,9,4,4,B,H,J,99,,,,,,,,,99,,,2,3,5,6,8,9,10,,,,99,,,1,3,4,5,4,4,3,11,,,,4,3,2,2,2,2,1,3,1,1,1,1,1,3,4,,,,85283,640
642,4,4,4,2,4,3,1,2,1,1,2,3,1,1,4,4,3,5,3,3,4,E,F,3,,2,3,4,5,6,11,12,14,,,,,,,,,4,4,9,9,9,3,9,5,4,9,H,A,4,4,4,3,4,4,3,3,4,3,4,4,4,4,4,3,3,3,4,2,3,2,T,Q,V,99,,,,,,,,,4,7,9,4,7,,,,,,,,,99,,,1,2,2,9,3,3,2,8,,,,3,4,1,1,2,1,1,4,1,1,1,1,1,3,4,,,,85282,641
643,4,4,2,2,3,4,3,2,1,1,1,3,9,2,4,4,3,4,4,4,4,C,G,4,,2,3,4,12,15,,,,,,,,,,,,4,9,9,3,9,4,9,3,4,3,E,E,3,4,4,4,4,4,4,2,2,1,3,4,4,4,9,3,9,3,9,3,9,4,J,H,I,99,,,,,,,,,99,,,2,5,9,10,,,,,,,99,,,1,4,4,3,3,3,8,12,,,,3,3,1,1,2,1,1,4,1,2,1,1,1,3,4,,,,85283,642
644,3,3,2,2,3,3,2,1,1,1,2,1,1,1,4,3,3,3,3,4,4,E,E,4,,3,4,,,,,,,,,,,,,,,4,9,9,3,3,3,9,9,4,9,J,E,3,3,3,2,2,4,3,3,3,3,3,3,4,4,4,1,3,3,3,3,3,3,O,,G,2,3,7,8,,,,,,2,3,,7,,,,,,,,,,99,,,1,3,3,3,3,3,3,11,,,,3,4,1,2,2,1,2,4,1,1,1,1,2,3,4,,,,85283,643
645,5,5,4,5,5,5,4,3,2,2,2,4,1,5,5,4,4,4,4,5,5,E,E,5,,3,14,,,,,,,,,,,,,,,4,4,3,3,3,3,3,3,5,4,E,E,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,99,,,,,,,,,2,9,1,1,2,7,9,10,,,,,,7,9,10,2,,,,,,6,8,,,,3,4,1,1,2,2,2,4,1,1,1,1,1,3,4,,,,85283,644
646,4,1,1,3,3,4,4,1,1,1,4,4,3,3,1,3,2,1,4,2,4,A,B,4,,2,3,4,5,6,7,10,11,12,13,14,,,,,,3,3,3,3,3,3,3,3,3,3,E,E,3,1,4,4,4,4,4,2,1,3,3,1,4,4,4,4,4,4,4,4,4,3,B,B,B,99,,,,,,,,,7,9,4,1,2,5,8,,,,,,,8,1,6,1,3,4,4,4,4,4,10,,,,4,3,1,2,2,1,2,3,1,1,1,1,1,3,4,,,,85283,645
647,5,5,5,5,5,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,F,G,3,,2,3,4,6,11,,,,,,,,,,,,5,3,3,5,4,4,4,5,5,3,E,E,5,4,5,5,5,5,4,3,2,2,3,4,5,5,5,4,4,4,4,4,4,5,Z,,,2,,,,,,,,,2,9,3,5,6,7,8,9,10,,,,,5,7,8,1,5,5,5,5,5,2,11,,,,3,2,2,1,2,1,1,2,1,1,1,1,1,3,4,,,,85281,646
648,5,4,4,3,3,3,4,4,4,3,4,4,3,3,4,2,4,1,3,3,3,D,F,3,,2,3,7,,,,,,,,,,,,,,4,3,3,4,2,3,3,3,2,4,E,I,2,4,2,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,A,C,U,99,,,,,,,,,9,3,7,2,3,7,10,,,,,,,99,,,1,4,4,4,4,4,6,8,,,,3,3,2,1,2,1,1,2,1,1,1,2,1,3,4,,,,85283,647
649,4,4,4,9,4,4,3,9,3,3,3,3,3,3,4,4,2,4,4,4,4,C,F,4,,2,3,6,14,,,,,,,,,,,,,4,3,3,3,4,4,3,4,4,3,B,G,5,4,4,3,4,4,3,2,4,4,4,4,5,5,5,4,4,4,4,4,4,4,H,R,E,99,,,,,,,,,99,,,2,3,9,10,,,,,,,2,3,10,2,,,,,,6,,,,,3,4,2,2,2,1,1,4,1,1,1,1,1,3,4,,,,85283,648
650,5,5,5,4,4,4,4,4,4,5,4,4,4,5,3,4,4,1,3,4,4,E,D,4,,2,7,,,,,,,,,,,,,,,4,3,9,9,9,9,9,4,4,9,E,C,4,3,4,4,4,4,4,9,3,3,3,4,3,4,9,4,4,4,4,3,9,9,H,U,Q,99,,,,,,,,,7,9,2,99,,,,,,,,,,99,,,2,,,,,,8,12,,,,4,2,2,1,2,1,1,4,1,1,1,2,1,3,4,,,,85283,649
651,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,4,4,2,2,2,1,G,E,3,,2,14,,,,,,,,,,,,,,,5,9,9,5,9,5,9,9,5,9,E,E,5,4,5,5,5,5,5,9,2,2,2,5,5,5,5,5,5,5,5,9,5,5,Z,,,99,,,,,,,,,99,,,7,8,9,,,,,,,,8,2,9,2,,,,,,6,,,,,3,1,1,1,2,1,1,4,1,1,1,1,1,3,4,,,,85282,650
652,5,4,4,4,4,4,3,3,3,9,9,5,3,9,4,4,3,3,4,4,3,E,B,4,,99,,,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,5,9,A,F,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,9,9,9,9,4,I,D,N,99,,,,,,,,,99,,,5,8,,,,,,,,,5,8,,2,,,,,,99,,,,,4,1,2,1,2,1,1,3,1,2,2,1,1,3,4,,,,85282,651
