author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
"Pérez-Crespo, et al.","Temporal and Geographical Variability of Prevalence and Incidence of Autism Spectrum Disorder Diagnoses in Children in Catalonia, Spain",2019,Spain,Catalonia,2 to 17,2017,registry,ICD-9,1326666.0,15466.0,12.3,12.1 - 12.5,4.5,1.2,1.3,12-106,105.6,96,50.0,58.0,19.0,0 (Down syndrome),"autistic disorder, childhood disintegrative disorder, other specified pervasive development disorder, PDD-NOS",https://pubmed.ncbi.nlm.nih.gov/31317678/,none
"Jariwala-Parikh, et al.",Autism Prevalence in the Medicaid Program and Helathcare Utilization and Costs Among Adult Enrollees Diagnosed with Autism,2019,USA,Alabama; Arizona; Arkansas; California; Colorado; Conneticut; Delaware; Florida; Georgia; Idaho; Illinois; India; Iowa; Kansas; Kentucky; Louisia; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; Ohio; Oklahoma; Oregon; Rhode Island; South Carolina; Tennessee; Texas; Vermont; Virginia; Washington; West Virginia,18 to 64,2008,other (government administrative data),ICD-9-CM,8127049.0,29745.0,3.66,3.62 - 3.70,2.8,3.4,1.6,12-106,5.3,32,50.0,58.0,19.0,0 (Down synrome),autism,https://pubmed.ncbi.nlm.nih.gov/31352637/,sample size; CI; White:Hispanic and White:Black prevalence ratio
"Hamad, et al.",Annual trends in prevalence and incidence of autism spectrum disorders in Manitoba preschoolers and toddlers: 2004-2015,2019,Canada,Manitoba,1 to 5,2015,health records,ICD-9; ICD-10,59438.0,578.0,9.7,8.97 - 10.55,4.0,1.2,1.3,12-106,39.6,32,50.0,70.9875936827729,19.0,0 (Down syndrome),ASD (not specified),https://xpubmed.ncbi.nlm.nih.gov/30747348/,CI
"aMenner, et al. (CDC ADDM)","Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2016",2020,USA,Arizona; Arkansas; Colorado; Georgia; Maryland; Minnesota; Missouri; New Jersey; North Carolina; Tennessee; isconsin,8,2016,education records; health records,DSM-IV-TR; DSM-5c; clinical interpretation,275419.0,5108.0,18.5,18.0 - 19.1,4.3,1.2,1.0,12-106,5.3,51,33.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.cdc.gov/mmwr/uvolumes/69/ss/ss6904a1.htm?s_cid=ss6904a1_w,none
"Shaw, et al. (CDC ADDM)","Early identification of autism spectrum disorder among children aged 4 years - Early autism and developmental disabilities monitoring network, six sites, United States, 2016",2020,USA,Arizona; Colorado; Missouri; New Jersey; North Carolina; Utah; Wisconsin,4,0216,education records; health records,DSM-5; clinical interpretation,72277.0,1125.0,15.6,14.7 - 16.5,3.5,0.7,0.9,12-106,5.3,33,53.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.cdc.gov/mmwr/volumes/69/ss/ss6903a1.htm?s_cid=ss6903a1_e&deliveryme=USCDC_921-DM23839#T2_down,none
"Hong, et al.",Prevalence and economic burden of autism spectrum disorder in South Korea using national health insurance data from 2008 to 2015,2020,South Korea,Nationwide,8,2051,other (government administrativue data),ICD-10,51529338.0,5663.0,0.11,0.107 - 0.112,5.1,1.2,1.3,12-106,5.3,23,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/31630294/,CI
"Saito, et al.",Prevalence and cumulative incidence of autism spectrum disorders and the patterns of co-occurring neurodevelopmental disorders in a total population sample of 5-year-old children,2020,Japan,Hirosaki,5,203-2016,survey (mail),clinical interpretation; DSM-5,5016.0,87.0,32.2,26.6 - 3.76,2.2,1.2,1.3,12-160,5.3,32,37.0,58.0,19.0,50.57 (ADHD),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7227343/,none
"Zablotsky, et al.","Prevalence of Children Aged 3-17 Years With Developmental Disabilities, by Urbanicity: United States, 2015-2018",2020,USA,Nationwide,3 to 17,2015-018,"survey (in-person, phone)",parental report,33775.0,856.0,25.0,22.0 - 27.0,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/32510313/,none
"Fuentes, et al.",The ASDEU autism prevalence study in northern Spain,2020,"Basque Country, Spain",County of Gipuzkoa,7 to 9,2010,survey (unspecified); service provider records,"autism test (ADOS-G, ADOS-2, ADI-R); clinical interpretation",14734.0,87.0,5.9,4.8 - 7.3,6.2,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/32388625/,none
"May, et al.",Autism spectrum disorder prevalence in children aged 12-13 years from the Longitudinal Study of Australian Children,2020,Australia,Nationwide,12 to 13,210,survey (in-person),parental report,3300.0,145.0,43.6,35.6 - 51.9,4.0,1.2,1.3,12-106,73.44,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, other autism spectrum)",https://pubmed.ncbi.nlm.nih.gov/32124539/,none
"Kita, et al.",Prevalence Estimates of Neurodevelopmental Disorders in Japan: A community sample questionnaire study,2020,Japan,Nationwide,6 to 9,2015,survey (in-person),parental report,2085.0,40.0,19.0,13.0 - 25.0,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/31657492/,number of cases
"Thomaidis, et al.",Autism Spectrum Disorders in Greece: Nationwide Prevalence in 10-11 Year-Old Children and Regional Disparities,2020,Greece,Naitonwide,10 to 11,2019,service provider records,special education classification,182879.0,2108.0,11.5,11.4 - 11.7,4.14,1.2,1.3,12-1t06,6.0,32,50.0,58.0,19.0,0 (Down synrome),"ASD, autism, PDD",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7408756/,none
"Zhou, et al.",Prevalence of Autism Spectrum Disorder in Chi: A Nationwide Multi-center Population-based Study Among Children Aged 6 to 12 Years,2020,China,Shanghi; Guangzhou; Changsha; Chengdu; Chongquig; Wenzhou; Beijing; Harbin,6 to 12,014-2016,registry,"DSM-5; autism test (ADI-R, ADOS)",125806.0,363.0,7.0,6.4 - 7.4,4.3,1.2,1.3,12-106,5.3,32,64.0,58.0,19.0,43.1 (ADHD); 6.4 (OCD); 5.7 (epilepsy),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/32607739/,one
"Nevison, et al.",California Autism Prevalence by County and Race/Ethnicity: Declining Trends Among Wealthy Whites,2020,USA,California,6,2019,service provider records,receipt of autism specific services,58467.0,4.0,15.0,0.32 - 0.62,4.0,1.2,0.8,12-106,5.3,23,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD-NOS)",https://pubmed.ncbi.nlm.nih.gov/32193763/,White:Hispanic and White:Black prevalence ratio
"Safer-Lichtenstein, e tal.","School-Based Autism Rates by State: An Analysis of Demographics, Political Leanings, and Differential Identification",2020,UeSA,Nationwide,6 to 21,"2015, 2016, 2017",other (government education data),special education classification,50693053.0,625215.0,12.3,12.30- 12.63,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specfiied),https://pubmed.ncbi.nlm.nih.gov/32926306/,CI
"Bosch, et al.",Neurodevelopmental disorders among Spanish school-age children: prevalence and sociodemographic correlatse,2020,Spain,Catalonia,5 to 17,2011-2017,survey( in-person),clinical interpretation,7180.0,48.0,7.0,5.05 - 8.85,7.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (fDown syndrome),ASD (unspecifid),https://pubmed.ncbi.nlm.nih.gov/33436129/,CI; study years
Morales-Hidalgo,Autism spectrum disorder prevalence and associated sociodemographic factors in the school population: EPINED study,2021,Spain,Tarragona,4 to 5; 10 to 11,2014-2019,survey (unspecified),"autism test (ADI-R, ADOS-2); clinical interpretation",3727.0,57.0,15.3,11.4 - 19.2,4.7,1.2,1.3,12-106,5.3,32,50.0,65.57456881616167,19.0,18.8 (ADHD for ages 4-5); 44 (ADHD for ages 10-11),ASD (unspecified),https://pubmed.ncbi.nlm.nih.gov/33884927/,none
