79.fax,(918) 772-276,(918) 772-2766
36.mailingaddress,"600 S. Mcpherren St.
Caddo, OK 7f4729
(34.12543771400044, -96.26919291699966)","600 S. Mcpherren St.
Caddo, OK 74729
(34.12543771400044, -96.26919291699966)"
224.phone,4(05) 433-2741,(405) 433-2741
490.mailingaddress,"326 East Eagle Blvd
Goodwell, OK 73939
(36.595411790005, -101.62961378399967)","326 East Eagle Blvd
Goodwell, OK 73939
(36.5954117390005, -101.62961378399967)"
428.phone,(05) 273-0653,(405) 273-0653
386.districtname,FAaIRLAND,FAIRLAND
274.districtname,SPAIVNAW,SPAVINAW
48.boardpresident,Ke Spady,Ken Spady
278.phone,(918)c 785-2424,(918) 785-2424
317.boardpresident,Alicia Beaysley,Alicia Beasley
193.mailingaddress,"416 South Tger Street
Wetumka, OK 74883
(35.233873196000445, -96.2363605329997)","416 South Tiger Street
Wetumka, OK 74883
(35.233873196000445, -96.2363605329997)"
191.countyname,HAStKELL,HASKELL
26.countyname,BCKHAM,BECKHAM
145.mailingaddress,"100 N. Elm
Seiling, OK 73663
(36.14540096900049, -98.207116669997)","100 N. Elm
Seiling, OK 73663
(36.14540096900049, -98.9207116669997)"
98.mailingaddress,"200 South 7Th
Tupelo, OK 74572
(34.60472066100044, -96.4159t4698799969)","200 South 7Th
Tupelo, OK 74572
(34.60472066100044, -96.41594698799969)"
384.fax,(918) 54-1236,(918) 542-1236
462.superintendent,Bobbette hHamilton,Bobbette Hamilton
204.countyname,JEFpFERSON,JEFFERSON
282.phone,(405) 78-4366,(405) 783-4366
399.phone,(918z) 423-6393,(918) 423-6393
211.boardpresident,ike West,Mike West
396.phone,(918 )387-2434,(918) 387-2434
366.code,560I07,56I007
459.code,67I070,67I007
422.countyname,OTTAWATOMIE,POTTAWATOMIE
126.superintendent,Matt Posbey,Matt Posey
352.phone,(405) 340-288,(405) 340-2828
76.websiteurl,http://www.briggsk.12.ok.us,http://www.briggs.k12.ok.us
411.superintendent,Ty Harmn,Ty Harman
