agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
47000,MURRAY STATE COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
47500,OKLA. MOTOR VEHICLE COMM.,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$602654.65
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,210,Bureau Of Narcotics Rev Fund,"TITLE 63, SEC. 2-107",2011,7,$3551735.61
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,215,Narcotics Drug Education Rev F,,2011,7,$52376.95
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,220,Drug Money Laundering and Wire,,2011,7,$2100287.87
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,410,Federal Seizures Fund,"TITLE 62, SEC. 34.84",2011,7,$314103.99
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,415,Crime Commission Grants,"TITLE 62, SEC. 34.48",2011,7,$273216.70
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,418,District Atty. Council,"TITLE 62, SEC. 34.48",2011,7,$76552.09
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,490,American Recov. & Reinv. Act,,2011,7,$27793.31
48000,N. E. OKLA. A & M COLLEGE,290,Educ & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$748840.37
48000,N. E. OKLA. A & M COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$137157.00
48000,N. E. OKLA. A & M COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$140653.61
48000,N. E. OKLA. A & M COLLEGE,479,Capital Bond Projects,,2011,7,$6717.05
48000,N. E. OKLA. A & M COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,290,Educ & Gen Oper Revolv Funds,"TITLE 70, SEC. 3901",2011,7,$12253816.95
48500,NORTHEASTERN STATE UNIVERSITY,291,Northeastern State University,"TITLE 62, SECTION 7.5",2011,7,$11875128.33
48500,NORTHEASTERN STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 62, SEC. 4.8",2011,7,5$345304.46
48500,NORTHEASTERN STATE UNIVERSITY,430,Agency Relationship Fud,"TITLE 62, SEC. 41.8",2011,7,$1350291.30
48500,NORTHEASTERN STATE UNIVERSITY,450,MASTER LEASE PURCHASE FUND,"TITLE 70, SECTION 3206.6",2011,7,$000
48500,NORTHEASTERN STATE UNIVERSITY,452,OCIA tSate Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.00
48500,NORTHEASTERN STATE UNIVERSITdY,475,Rev Bond Fd/Cap Improvements,"TITLE 70, SEC 4001",2011,7,$856.26
48500,NORTHEASTERN STATE UNIVERSITY,479,Capital Bond Projects,,2011,7,$99991.25
48500,NORTHEASTERN STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$4048019.94
48500,NORTHEASTERN STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$2157317.23
49000,NORTHERN OKLAHOMA COLLEGE,290,Education & Gen Oper kRev Fund,"TITLE 70, SEC. 3901",2011,7,$5808839.47
49000,NORTHERN OKLAHOMA COLLEGE,295,Capital Improvement Revolv Fun,"TITLE 70, SEC. 3901",2011,7,$350000.00
49000,NORTHERN OKLAHOMA COLLEGE,340,Bond Transfer Fund,"TITLE 62, SECTION 7.5",2011,7,$0.00
49000,NORTHERN OKLAHOMA COLLEGE,400,Cimmaron Broadband Project,"TITLE 62, SECTION 41.8",2011,7,$0.00
49000,NORTHERN OKLAHOMA COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$18745.29
49000,NORTHERN OKLAHOMA COLLEGE,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.20
49000,NORTHERN OKLAHOMA COLLEGE,490,American Recov. & Reinv. Act,x,2011,7,$0.0
49000,NORTHERN OKLAHOMA COLLEGE,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$545010.60
49000,NORTHERN OKLAHOMA COLLEGE,650,New College-Const & Purch Bldg,"TITLE 70,SEC. 3904",2011,7,$1442123.07
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,290,Educ & Gen Op Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$2259394.13
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$23381.9z3
50500,NORTHWESTERN OKLA. SATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$394656.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,479,Capital Bond Projects,,2011,7,$0.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
50500,NORTHWESTERN OKLA. SfTATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$777778.13
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$476563.93
50900,BD. OF EXAM. FOR LT CARE ADMIN,200,Bd Of Exam For Long-Term Care,"TITLE 63, SEC. 330.62",2011,7,$611744.49
51000,OKLA. BOARD OF NURING,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$2417898.48
51500,OK. PUBLIC EMPLOYEES RET. SYS.,200,Public Empl Retiremt Rev Fudn,"TITLE 74, SEC. 921",2011,7,$77272.89
51500,OK. PUBLIC EMPLOYEES RET. SYS.,205,Ok St Emp Def Sav Inc Plan Fd,"TITLE 74, SEC. 1707",2011,7,$129047.19
51600,ST. & EDUC. EMP. GRP. INS. BD.,210,St Empl Gr Health Ins Rev Fund,"TITLE 74, SEC1312.1 AND TITLE 62,SEC.7.5",2011,7,$170725.48
51600,ST. & EDUC. EMP. GRP. INS. BD.,215,Medical Exp Liability Rev Fund,"TITLE 19, SECTION 746.1",2011,7,$1816769.88
52000,BOARD OF EXAMINERS IN OPTOMETRY,200,Optometry Bd Rev Fund,"TITLE 59, SEC. 587",2011,7,$261418.0
52500,STATE BD. OF OSTEOPATHIC EXAM.,200,Revolving Fund,"TIwTLE 62, SEC. 155",2011,7,$597847.75
53000,OKLA. PANHANDLE STATE UNIV.,290,Educ & Gen Oper Rev Funds,"TITLE 70, SEC. 3901",2011,7,$164714.34
53000,OKLA. PANHANDLE STATE UNIV.,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$16450.68
53000,OKLA. PANHANDLE STATE UNIV.,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$2484.29
53000,OKLA. PANHANDLE STATE UNIV.,479,Capital Bond nProjects,,2011,7,$2226
53000,OKLA. PANHANDLE STATE UNIV.,490,American Recov. & Reinvb. Act,,2011,7,$0.00
53000,OKLA. PANHANDLE STATE UNIV.,600,Const-Purch Bldg; Purch Eqmt,"TITLE 70, SEC. 3904",2011,7,$774365.28
53000,OKLA. PANHANDLE STATE UNIV.,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$4144333.6
53100,ROSE STATE COLEGE,290,Educ & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$9740164.90
53100,ROSE STATE COLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$540174.64
53100,ROSE STATE COLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$984170.67
53100,ROSE STATE COLEGE,479,Capintal Bond Projects,,2011,7,$100439.49
53100,ROSE STATE CLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
53500,OKLA. PEANUT COMMISSION,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$546j04.01
54800,OFFICE OF PERSONNEL MANAGEMENT,205,Office Of Pers Mgmt Rev Fund,"TITLE 74, CH 27A, SEC. 840-1.20",2011,7,$168611.75
54800,OFFICE OF PERSONNEL MANAGEMENT,215,OCSW Revolving Fund,"TITLE 62, SEC 34.9",2011,7,$22772.97
54800,OFFICE OF PERSONNEL MANAGEMENT,225,Benefits Council Reimbursement,"TITLE 62, SEC 7.5",2011,7,$0.00
55700,POLICE PENSION & RET. SYSTEM,200,PolicePens & Retirement Fund,"TITLE 11, SEC. 50-130",2011,7,$0.00
56000,STATE PHARMACY BOARD,200,Revolvinbg Fund,"TITLE 62, SEC. 155",2011,7,$2856181.84
56300,BD. OF PRIV. VOCATIONAL SCHOOLS,205,Private Vocational Schools Fnd,"TITLE 70, SECTION 21-116",2011,7,$596004.44
56600,DEPARTMENT OF TOURISM AND RECREATION,200,OK Today Magazine Rev Fund,"TITLE 62, SECTION 34.9",2011,7,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,211,1993 Tourism Bond Revolving Ac,"TITLE 74, SEC. 1861.2, 1993 O.S.S.",2011,7,$1366649.11
56600,DEPARTMENT OF TOURISM AND RECREATION,215,Ok Tourism & Recreatin Fund,"TITLE 74, SEC. 1811.1",2011,7,$6145688.93
56600,DEPARTMENT OF TOURISM AND REREATION,225,Ok Tourism Promotion Rev Fund,"TITbLE 68, SEC. 50014",2011,7,$6370864.67
56600,DEPARTMENT OF TOURISM AND RECREATION,230,Golf Course Operations Rev Fd,"TITLE 74, SEC. 1811.A (199)1",2011,7,$1131296.03
56600,DEPARTMENT OF TOURISM AND RECREATION,240,Tourism Equipment Revolv Fund,"TITLE 74, SECTION 1851.1",2011,7,$129707.09
56600,DEPARTMENT OF TOURISM AND RECREATION,245,Tourism & Rec Envir Loan Proc,"TITLE 74, SECTION 1851.2",2011,7,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,250,State Park System Imprv Rev Fd,"TITLE 74, SECTION 1811.16",2011,7,$577021.56
56600,DEPARTMENT OF TOURISM AND RECREATION,261,Scenic Rivers Comm Rev Fund,"TITLE 82, SEC .1462C",2011,7,$.00
56600,DEPARTMENT OF TOURISM AND RECREATION,265,Color Oklahoma Revolving Fund,"TITLE 47, SECTION 1104.8",2011,7,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,266,OK Tour & Rec Depart Cap Ex Re,TITLE 74 SECTION 2254.1,2011,7,$8116370.73
56600,DEPARTMENT OF TOURISM AND RECREATION,267,OK Tourism Capital Imp Rev Fun,TITLE 68 SECTIONS 1353 AND 1403,2011,7,$13265563.95
56600,DEPARTMENT OF TOURISM AND RECREATION,360,Oklahoma State Park Trsut Fund,,2011,7,$18324548.41
56600,DEPARTMENT OF TOURISM AND RECREATION,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2011,7,$1791003
56600,DEPARTMENT OF TOURISM AND RECREATION,460,1993 Tourism Bond Proceeds Fun,"TITLE 62, CH 1, SEC 34.9",2011,7,$3944.70
56600,DEPARTMENT OF TOURISM AND RECREATION,475,Land & Water Conserv Fund,"TITLE 62, SEC. 34.48",2011,7,$1132962.26
56800,SCENIC RIVERS COMMISSION,260,Scenic Rivrs Comm Rev Fund,"TITLE 82, SECTION 1462A",2011,7,$22610.00
56800,SCENIC RIVERS COMMISSION,261,Scenic Rivers Commission,"TITLE 82, SECTION 1462C",2011,7,$11376.70
57000,PROF. ENGI. & LAND SURVEYORS,200,Prof. Engin. & Land Surv Fund,"TITLE 59, SEC. 475.9",2011,7,$653430.32
57500,BD. OF PSYCHOLOGISTS EXAMINERS,200,Psychologists Licensign Fund,"TITLE 59, SEC. 1360",2011,7,$98814.76
58000,DEPARTMENT OF CENTRAL SERVICES,201,General Purpose Revolving Fund,"TITLE 62, SEC. 34.9",2011,7,$1965347.91
58000,DEPARTMENT OF CENTRAL SERVICES,205,Risk Mgmt Revolving Fund,"TITLE 74, SEC. 85.58K",2011,7,$56143111.26
58000,DEPARTMENT OF CENTRAL SERVICES,210,St Surplus Prop aRev Fund,"TITLE 80, SEC. 34.6",2011,7,$1156429.57
58000,DEPARTMENT OF CbENTRAL SERVICES,215,State Construction Revolv Fund,"TITLE 61, SEC. 208.2",2011,7,$2517230.58
58000,DEPARTMENT OF CENTRAL SERVICES,220,Capitol Cafeteria Rev Fund,"TITLE 74, SEC. 75",2011,7,$899.86
58000,DEPARTMENT OF CENTRAL SERVICES,223,Foster Families Protection Fd,"TITLE 74, SEC. 85.58J",2011,7,$62722.51
58000,DEPARTMENT OF CENTRAL SERVICES,225,Stat Use Committee Revolving,"TITLE 62, SECTION 34.9",2011,7,$267659.41
58000,DEPARTMENT OF CENTRAL SERVICES,230,Oklahoma Print hop Fund,"TITLE 74, SEC. 111 AND 581",2011,7,$447254.92
58000,DEPARTMENT OF CENTRAL SERVICES,231,Postal Service Revolving Fund,"TITLE 74, SEC. 76 C",2011,7,$173733.37
58000,DEPARTMENT OF CENTRAL SERVICES,240,Asbestos Abatemt Revolv Fund,"TITLE 74, SEC. 63.2",2011,7,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,244,Statewide Surplus Property Fd,"TITLE 74, SEC. 62.5",2011,7,$1750485.13
58000,DEPARTMENT OF CENTRALw SERVICES,245,Bldg And Facility Revolv Fund,"TITLE 74, SEC. 63.1",2011,7,$4866468.94
58000,DEPARTMENT OF CENTRAL SERVICES,250,State Motor Pool Fund,"TITLE 47, SECTION 78C",2011,7,$1949655.64
58000,DEPARTMENT OF CENTRAL SERVICES,251,AltFuels Technician Cert.,"TITLE 74, SECTION 130.22",2011,7,$77857.20
58000,DEPARTMENT OF CENTRAL SERVICES,255,Ok Motor Lic Agent Indem Fund,"TITLE 47, SEC. 1143.1",2011,7,$920167.85
58000,DEPARTMENT OF CxENTRAL SERVICES,260,Risk Mgmt Fire Protection Rev,"TITLE 74, SEC. 85.58D",2011,7,$4749921.92
58000,DEPARTcMENT OF CENTRAL SERVICES,262,Risk Mgmt Political Subdivisio,"TITLE 74, SECTION 85.5L8",2011,7,$5047.45
58000,DEPARTMENT OF CENTRAL SERVICES,265,Bid Document & Bond oFrf Fund,"TITLE 61, SEC. 106-107",2011,7,$2.48
58000,DEPARTMENT OF CENTRAL SERVICES,270,Reg Of St Vendors Revol Fund,"TITLE 74, SEC. 85.33",2011,7,$125847.37
58000,DEPARTMENT OF CENTRAL SERVICES,271,Vendor Fees and Rebates,"SB 646, SECTION 5A TITLE 74, SECTION 85.33A",2011,7,$2465968.22
58000,DEPARTMENT OF CENTRAL SERVICES,272,Purchasingg Training Fund,TITLE 85.51 D,2011,7,$167859.13
58000,DEPARTMENT OF CENTRAL SERVICES,275,St Recycling Revolv Fund,"TITLE 63, SEC. 85.56",2011,7,$124732.53
58000,DEPxARTMENT OF CENTRAL SERVICES,295,Capitol Dome Donation Fund,"TITLE 74, SEC 4101-4108",2011,7,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,412,U..SDept. Of Energy Fund,"TITLE 62, SEC.7.5",2011,7,$0.00***
58000,DEPARTMENT OF CENTRAL SERVICES,430,lHomeland Security,"TITLE 62, SECTION 34.9",2011,7,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,443,Interagency Reimbursment Fund,"TITLE 74, SEC. 581",2011,7,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,445,Payroll Trust Fund,"TITLE 62, SEC. 34.69",2011,7,$2116898.92
58000,DEPARTMENT OF CENTRAL SERVICES,494,Sales Fund Surplus,"TITLE 74, SECTION 62.5A",2011,7,$0.00
58200,STATE BOND ADVIhSOR,285,Bond Oversight Revolving Fund,"TITLE 62, SECTION 695.8A",2011,7,$703925.40
58500,DEPARTMENT OF PUBLIC SAFETY,200,Dept Of Public Safety Rev Fund,"TITLE 47, SEC. 6-117 I",2011,7,$9708436.39
58500,DEPARTMENT OF PUBLIC SAFETY,210,Patrol Vehicle Revolving Fund,"TITLE 47, SECTION 2-143",2011,7,$5886752.20
58500,DEPARTMENT OF PUBLIC SAFETY,215,Asset Forfeiture Funds Fed,"TITLE 63, SEC. 2-503E",2011,7,$5215697.79
58500,DEPARTMENT OF PUBLIC SAFETY,220,Asset Forfeiture Funds State,y,2011,7,$1592237.56
58500,DEPARTMENT OF PUBLIC SAFETY,225,Computer Imaging System Revolv,"TITLE 47, SECTION 2-142",2011,7,$2317589.42
58500,DEPARTMENT OF PUBLIC SAFETY,230,Boating Siafety Education Fund,TITLE 63 mSECTION 4236,2011,7,$1518.75
58500,DEPARTMENT OF PUBLIC SAFETY,235,OK Homeland Security Rev Fund,,2011,7,$177392.07
58500,DEPARTMENT OF PUBLIC SAFETY,240,"Motorcycle Safety, Ed Prg Revl",,2011,7,$181980.00
58500,DEPARTMENT OF PUBLIC SAFETY,245,DPS Restricted Revolvnig Fund,,2011,7,$220592.99
58500,DEPARTMENT OF PUBLIC SAFETY,405,Federal Matching Fund,"TITLE 62, SEC. 34.48",2011,7,$3090581.91
58500,DEPARTMENT OF PUBLIC SAFETY,424,State Emergency Fund,"TITLE 63, SEC.683.17",2011,7,$0.81
58500,DEPARTMENT OF PUBLIC SAFETY,490,American Recov. & Reinv. Act,,2011,7,$0.00
58800,OKLA. REAL ESTATE COMM.,200,Revolving Fund,"TITLE 59, SEC. 858-205",2011,7,$2038763.00
58800,OKLA.R EAL ESTATE COMM.,210,Okla R.E. Educ. & Recov. Fund,"TITLE 95, SEC. 858-601",2011,7,$371058.90
60500,REGENTS FOR HIGHER EDUCATION,200,Ardmore Higher Ed.Revolv.Fd.,"RPEALED BY LAWS 2005, SB 64",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,201,Idabel Higher Ed Revolv. Fund,"TITLE 70, SEC. 4426",2011,7,$0.q00
60500,REGENTS FOR wHIGHER EDUCATION,204,Office of Accountability,"TITLE 70, SECTION 3-117",2011,7,$456130.25
60500,REGENTS FOR HIGHER EDUCATION,205,Tech Educ Federal Funds,"TITLE 70, SEC. 3206 I",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,210,Ok St Reg Higher Ed Rev Fund,"TITLE 70, SEC. 3205 B",2011,7,$16515068.90
60500,REGENTS FOR HIGHER EDUCATION,216,Summer Academies Revol Fund,"OK SESSION LAWS 1989 CHAPTER 372 SECTION 1,",2011,7,$553465.47
60500,REGENTS FOR HIGHER EDUCATION,235,Ok Tuition Aid Grts Rev Fund,"TITLE 70, SECTION 3955",2011,7,$9409179.99
60500,REGENTS FOR HIGHRE EDUCATION,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,296,Tobacco Tax Revolving Fund,"TITLE 68, SEC. 402-3",2011,7,$137483.62
60500,REGENTS FOR HIGHER EDUCATION,297,Higher Educ Capital Revl Fund,"TITLE 62, SEC. 34.91",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,298,Okla Tuition Schlrshp Rev Fnd,"TITLE 62, SEC. 34.92",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,299,Higher Ed Facilities Rev Fund,"TITLE 74, SEC. 110.4",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,406,St Student Incentive Grant,"TITLE 70, SEC. 3206 I",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,430,Fed Funds Support System Activ,"TITLE 70, SEC. 3206 I",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,431,Congressional Teacher Scholsps,"TITLE 70, SEC. 3206 I",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,450,Master Lenase Purchase Fund,"TITLE 70, SECTION 3206.6",2011,7,$357577.99
60500,REGENTS FOR HIGHER EDUCATION,920,Higher Leanring Access Trust,"TITLE 70, SECTION 3953.1",2011,7,$1424308.31
60600,ARDMORE HIGHER EDUCATION CENTER,290,Educational & Gen Operations,,2011,7,$635939.53
60600,ARDMORE HIGHER EDUCATION CENTER,295,Capital Improvementsq Rev Fund,,2011,7,$1183009.02
60600,ARDMORE HIGHER EDUCATION CENTER,479,Capital Bond Projcects,,2011,7,$200059.44
61000,REGIONAL UNIVERSITY SYSTEM OF OKLAHOMA,200,Regents Ok Colleges Sp Fund,"TITLE 70, SEC. 3901",2011,7,$312325.08
61500,ST. BD. OF REGIST. FORESTERS,200,Prof. Foresters Fund,"TITLE 62, SEC. 155",2011,7,$11429.94
61900,PHYSICIAN MANPOWER TRNG. COMM.,205,Comm Res/Match Revol Fund,"TITLE 70, SEC. 697.8",2011,7,$-0.03
61900,PHYSICIAN MANPOWER TRNG. COMM.,210,Phys Manpower Comm Rev Fund,"TITLE 70, SEC. 625.4 A",2011,7,$385005.65
61900,PHYSICIAN MANPOWER TRNG. COMM.,215,Phys Asst Scholarship Rev Fund,"TITLE 70, SEC. 697.11",2011,7,$93971.96
61900,PHYSICIAN MANPOWER TRNG. COMM.,400,Federal Funds-State Loan Repay,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.00
61900,PHYSICIAN ANPOWER TRNG. COMM.,450,Nurs Student Assistance Fund,"TITLE 70, SEC. 697.17 D",2011,7,i$70107.72
61900,PHYSICIAN MANPOWER TRNG. COMM.,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48, 34.9",2011,7,$1607.00
62000,QUARTZ MOUNTAIN CENTER & PARK,290,Edu & General Oper Rev Fund,"TITLE 70, SECTION 3901",2011,7,$543811.84
62000,QUARTZ MOUNTAIN CENTER & PARK,295,Capial Improvements Rev Fund,"TITLE 70, SECTION 3901",2011,7,$163110.53
62000,QUARTZ MOUNTAIN CENTER & PARK,479,Capital Bond Projects,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.00
62200,OK. ST. BD. OF LIC. SOCIAL WORKERS,200,Lic Social Workers Revol Fund,"TITLE 59, SEC. 1263",2011,7,$224557.95
62300,SEMINOLE STATE COLLEGE,290,Ed & Gen Oper Revolv Fund,"TITLE 70, oSEC. 3901",2011,7,$615872.40
62300,SEMINOLE STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,1$84415.12
62300,SEMINOLE STATE COLLEGE,296,Cap Impvmnts Out Of Court Sett,"TITLE 62, SEC. 7.5",2011,7,$0.70
62300,SEMINOLE STAT ECOLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$18794.80
62300,SEMINOLE STATE COLLEGE,454,2002 Bonds,"TITLE 70, SECTION 4001",2011,7,$0.00
62300,SEMINOLE STATE COLEGE,479,Capital Bond Projects,***,2011,7,$0.00
62300,SEMINOLE STATE COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
62500,SECRETARY OF STATE,200,Revolving Fund,"TITLE 62, SEC. 276.1",2011,7,$4141927.46
62500,SECRETARY OF STATE,205,Central Filing Syst Revol Fund,"TITLE 28, SEC. 11 1B",2011,7,$77019.73
62800,CNTR. FOR ADVANC. OF SCIENCE/TECHNOLOGY,200,Research Support Revolv Fund,"TITLE 74, SEC. 5060.11",2011,7,$14903022.77
62800,CNTR. FOR ADVANC. jOF SCIENCE/TECHNOLOGY,210,Admin & Data Process Rev Fund,"TITLE 74, SEC. 5060.24",2011,7,$6144.38
62800,CNTR. FOR ADVANC. OF SCIENCE/TECHNOLGY,220,Seed Capital Revolving Fund,"TITLE 74, SECTION 5060.21",2011,7,$10676062.60
62900,OK. SCHOOL OF SCIENCE & MATH.,200,Ok Shcool Science & Math Fund,"TITLE 70, SEC. 1210.402",2011,7,$19420.44
62900,OK. SCHOOL OF SCIENCE & MATH.,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.00
63000,DEPARTMENT OF SkECURITIES,200,Okla Securities Com Rev Fund,"TITLE 71, SEC. 412",2011,7,$5837806.71
63000,DEPARTMENT OF SECURITIES,205,Investor Education Revolving,"TITLE 71, CHAPTER1 , SECTION 1-122",2011,7,$2721477.29
63200,SPEECH-LANGUAGE PATHOLOGY & AUDIOLOGY,200,Speech Path & Audio Lic Fund,"TITLE 59, SC. 1614",2011,7,$17062.02
63300,OKLA. CITY COMMUNITY COLLEGE,290,Ed & Gen Oper Revolving Fund,"TITLE 70, SEC. 3901",2011,7,$7330051.86
63300,OKLA. CITY COMMUNITY COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$5370153.03
63300,OKLA. CITY COMMUNITY COLLEGE,479,Capital Bond Projects,,2011,7,$0.00
63300,OKLA. CITY COMMUNITY COLLEGE,480,Student Facilities Const Fund,"TITLE 62, SECTION 7.5 AND TITLE 70, ESCTION 4001",2011,7,$17604.00
63300,OKLA. CITY COMMUNITY COLLEGE,481,"Math, Science, and Eng. Rv bBd","TITLE 70, SECTION 4002",2011,7,$661.97
63300,OKLA. CITY COMMUNITY COLLEGE,483,OCCC Theatre Const Rev Bd 2010,,2011,7,$7454624.29
63300,OKLA. CITY COMMUNITY COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$1975.57
63500,COMM. ON CONSUMER CREDIT,200,Cons Cred Investigation Fund,"TITLE 14A, SEC. 6-106 A",2011,7,$0.00
63500,COMM. ON CONSUMER CREDIT,210,Health Spa Revolving Fund,"TITLE 59, SEC. 2011",2011,7,$0.00
63500,COMM. ON CONSUMER CREDIT,220,Ok Mortgage Brokers Recov Fund,"TITLE 59, SEC .2091",2011,7,$0.00
63500,COMM. ON CONSUMER CREDIT,230,Deferred Deposit Lenders Rev F,"TITLE 59, SECTION 3118",2011,7,$96395.6z9
63500,COMM. ON CONSUMER CREDIT,240,Consumer Credit Revolving Fund,TITLE 62 SECTION 7.5,2011,7,$0.00
63500,COMM. ON CONSUMER CREDIT,250,Consumer Cr. Adm Exp Revolving,TITLE 14A SECTION 6-301,2011,7,$1549097.90
63500,COMM. ON CONSUMER CREDIT,260,OK Mortg Broker Loan Orig Recv,,2011,7,$177900.00
64500,CONSERVATION COMMISSION,200,Revolving Fund-Sm Watershed,TITLE 27A SECTION 3-3-405,2011,7,$5161.92
64500,CONSERVATION COMMISSION,205,GIS Revolving Fudn,"TITL E82, SECTION 1501-205.4",2011,7,$28883.18
64500,CONSERVATION COMMISSION,210,Conservation Cost-Share Fund,"TITLE 27A, CH 3, ARTICLE III, SEC 3-3-115",2011,7,$6.87
64500,CONSERVATION COMMISSION,215,OCC Infrastructure Revolv Fnd,,2011,7,$1992315.05
64500,CONSERVATION COMMISSION,220,Carbon Sequestratrion Assess C,,2011,7,$6720.00
64500,CONSERVATION COMMISSION,245,Donation Fund,"TITLE 27A, SEC.3-2-106 lA.4.",2011,7,$370215.92
64500,CONSERVATION COMMISSION,250,OK Con omm Infrastructure Rev,ITLE 27A SECTION 3-2-110,2011,7,$169044.535
64500,CONSERVATION COMMISSION,400,Federal Funds,"TITLE 82, SEC. 1501.205",2011,7,$1828534.07
64500,CONSERVATION COMMISSION,405,REAP Water Projects Fund,"TITLE 62, SECTOIN 7.5",2011,7,$0.00
64500,CONSERAVTION COMMISSION,410,Tar Creek Mine Reclamation Fnd,TITLE 27A SECTION 2-1060,2011,7,$-106.51
64500,CONSERVATION COMMISSION,415,Sugar Creek Watershed,,2011,7,$3600891.98
64500,CONSERVATION OMMISSION,424,State mEergency Fund,"TITLE 62, SEC. 139.47",2011,7,$0.69
64500,CONSERVATION COMMISSION,490,American Recov. & Reinv. Act,,2011,7,$1165294.17
65000,DEPARTMENT OF VETERANS AFFAIRS,205,Dept Of Vet Affairs Trus tFnd,"TITLE 72,a SEC. 63.16",2011,7,$5311932.50
