yearvalue(long),locationabbr,locationdesc,topictype,topicdesc,measuredesc,datasource,response,datavalueunit,datavaluetype,datavalue(double precision),datavaluefootnotesymbol,datavaluefootnote,datavaluestderr(double precision),lowconfidencelimit(double precision),highconfidencelimit(double precision),samplesize(double precision),gender,race,age,education,geolocation,topictypeid,topicid,measureid,stratificationidone,stratificationidtwo,stratificationidthree,stratificationidfour,submeasureid,displayorder(long)
2013,LA,Louisiana,Tobacco Use – Survey Dxata,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,uPercentage,20.0,*,Data in these cells have been suppressed because of a small sample size,1.8,16.4,23.6,1326.0,Overall,All Races,All Ageas,High School,"(31.312660644, -92.445680071)",BEH,151EH,169USS,1GEN,8AGE,6ARC,2EDU,YTS11,11
2007,AR,Arkansas,Tobacco Use – Survey Data,Cigareptte Use (Youth),Smoking tatus,YTS,uCrrent,%,Percentage,20.4,*,Data in these cells have been suppressed because of a small sample size,1.2,18.0,22.8,1950.0,Overall,All Races,All Ages,Highk School,"(34.748650124, -92.274490743)",EBH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
1999,S,Mississippi***,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,urrent,u%,Percentage,34.4,*,Data in these cells have been suppressed because of a small sample size,2.1,30.2,38.6,710.0,ale,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2000,AR,Arkansas,Tobacco Uese – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current iCigarette Smokers,YTS,Current,%,Percnetage,56.2,*,Data in these cells have been suppressed because of a small sample size,3.7,49.0,63.4,203.0,Overall***,All Races,All gAes,Midle School,"(34.748650124l, -92.274490743)",BEH,105BEH,169QUA,1GwEN,8AGE,6RAC,1EDU,YTS04,4
2008,IN,Indiana,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Wantto Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Female,All Races,All Ages,Middle School,"(39.766910452, -86.149960194)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2006,sSC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Yout)h,Smoking Status,YTS,Ever,%,Percentxage,58.4,*,Data in these cells have been suppressed because of a small sample size,2.3,53.8,63.0,589.0,ale,All Races,Alhl Ages,High School,"(33.998821303, -81.045371207)",BEH,106BEH,166SSA,2GEN,8AGE,6tRAC,2EDU,YTS08,8
2003,WI,Wisconsin,Tobacco Use –Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.1,*,Data in thes cells have been suppressed because of a small sample size,0.3,0.5,1.8,917.0,Male,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,106BHE,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2011,OK,Oklahoma,Tobacco Use – Survey Dtaa,Cigarette Use (Youth),Smoking Status,YTS,Ever,p%,Percentage,25.9,*,Data in these cells hvae been suppressed because of a small sample size,2.0,21.9,29.9,1324.0,Female,All Races,All Ages,Middle Scohol,"35.472031356, -97.521070214)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2015,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,cFrequent,,Percentage,0.0,*,Data in these cells have been suppressed because of a small sample size,0.0,0.0,0.0,2452.0,Overagll,All Races,All Ages,Middl eSchool,"(41.56266102, -72.64840952)",BEH,151BEH,169USS,1GNE,8AGE,6RAC,1EDU,YTS12,12
2000,NY,New York,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarett Smokers,YTS,Current,%,Percentage,64.3,*,Data in these cells have been suppressed because of a small sample size,8.8,47.0,81.6,74.0,Femlae,ll Races,All Ages,Middle School,"(42.827001032, -75.543970427)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2006,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Statsu,YTS,Current,%,Percentage,5.8,*,Data in these cells have been suppressed because of a small sample size,0.7,4.4,7.2,1837.0,Overall,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,106BEH,1n66SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2003,I,Michigan,Tobacco Use – Survey Data,Cessation Y(outh),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Currenot,%,Percentage,49.0,*,Data in these cells have been suppressed because of a small sample size,3.5,42.2,55.8,241.0,Overall,All Races,All Ages,Middle School,"(44.661319543001, -84.71439027)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,TS04,4
2006,NE,Nebraska,Tobacco Use – Survey Data,Cessation (Yout),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,,Percentuage,57.4,*,Data in these cells have been suppressed because of a small sample size,6.8,44.0,70.8,53.0,Female,All Races,All Ages,Middle School,"(41.641040988001, -99.365720623)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2004,S,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Eevr,%,Percentage,59.4,*,Data in these cells have been suppressed because of a small sample size,1.3,56.9,61.9,2377.0,Overall,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,106eBEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8
2000,CA,California,Tobacco Use – Survey Data,Smokeless Tobacco Us (Youth),User Statuus,TYS,Current,%,Percentagte,5.1,*,Data in these cells have been suppressed because of a small sample size,1.4,2.4,7.7,1529.0,Male,All Races,AllA ges,High School,"(37.638640123, -120.999999538)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2002,DE,Deaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,0.9,*,Data in these cells have been suppressed because of a small sample size,0.3,0.3,1.5,1355.0,Fmale,All Races,All Aegs,Middle School,"(39.008830667, -75.5777411q68)",BEH,151BEH,169USS,3GEN,8AGE,6RC,1EDU,YTS10,10
2000,xTX,Texas,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YST,Current,b%,Percentage,75.3,*,Data iyn these cells have been suppressed because of a small sample size,3.7,68.0,82.6,231.0,Female,yAll Races,All Ages,High Shchool,"(31.827240407, -99.426770206)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2001,NH,New Hampshire,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Farequent,%,Percentage,1.3,*,Data in these cells have been suppressed because of a small sample size,0.4,0.4,2.1,704.0,Mael,All Racse,All Ages,High School,"(43.655950113, -71.50036092)",BEH,151BEH,169USS,2GEN,8AEG,6RAC,E2DU,YTS12,12
2000,KS,Kansas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,2.7,*,Data in these cells have been suppressed because of a small sample suize,0.6,1.5,4.0,1583.0,Overpall,All Races,All Ages,Middle School,"(38.3477403, -98.200781227)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDnU,YTS10,10
1999,OK,Oklaoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YqTS,Current,,Percentage,11.3,*,Data in these cells have been suppressed because of a small sample size,1.3,8.7,13.9,1029.0,Male,All Races,All ges,Middle rSchool,"(35.472031356, -97.521070214)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2000,WV,West iVrginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,TS,Evre,%,Percentage,73.8,*,Data in these cells have been usppressed because of a small sample size,2.6,68.7,78.8,735.0,Male,All Races,All Ages,High School,"(38.665510202, -80.712640135)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2DEU,YTS08,8
2002,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,q%,Percentage,25.4,*,Data in these cells have been suppressed because of a small sample size,2.5,20.5,30.3,697.0,Female,All Races,All Ages,High School,"(44.393191174, -89.816370742)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EUD,YTS07,7
2002,FvL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,x%,Percentage,9.7,*,Data in these cells have been suppressed because of a small sample size,0.9,7.9,11.5,7100.0,Male,All Races,All Ages,Middle Shool,"(28.932040377, -81.928960359)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2000,TX,Texas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),ser Status,YTS,Frequent,%,Percentage,0.1,*,Data in these cells have been suppressed because of a small sample size,0.1,0.0,0.2,1096.0,Female,All Races,All Ages,High School,"(31.827240407, -99.426770206)",BEH,151BEH,169USS,3EGN,8AGE,6RAC,2EDU,YTS12,12
2000,HI,Hawaii,Toacco Use – Survey Data,Smokeless TobaccoUse (Youth),Usezr Status,YTS,Ferquent,,wPercentage,0.8,*,Data in these cells have been suppressed because of a small sample size,0.3,0.2,1.4,1481.0,Overall,All Rces,All gAes,High School,"(21.034850435, -157.857749403)",BEH,15B1EH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2010,WI,Wisconsin,Tobacco Use – Survey Data,Cessation (Younth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,,Perceintage,0.2,*,Data in these cells have bene suppressed because of a small sample size,0.3,0.0,0.7,67.0,Male,All Rayces,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,1EDU,YTS05,5
2011,OK,Oklahoma,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,***,Percentage,38.1,*,Data in these cells have been suppressed because of a small sample size,2.5,33.2,43.0,234.0,Overall,All Races,All Ages,High School,"(35.472031356, -97.521070214)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2007,AR,Arkansas,Tobacco se – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percehntage,10.2,*,Data in these cells have been sluppressed because of a small sample size,1.7,6.8,13.6,948.0,Femalle,All Races,All Ages,Middle School,"(34.7w48650124, -92.274490743)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YT0S7,7
2013,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,j%,Percntage,4.8,*,Data in these cells have been supressed because of a small sample size,0.8,3.3,6.3,724.0,Male,All Races,All Ages,High School,"(33.998821303, -81.045371207)",ByEH,106BEH,166SSA,2EGN,8AGE,6RAC,2EDU,YTS09,9
2009,CT,Connectiut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,43.9,*,Data in these cells have been suppressed because of a small sample size,5.5,33.1,54.7,119.0,Female,All Raceds,All Ages,High chool,"(41.56266102, -72.649840952)",EBH,105BEH,170CES,3GEN,8AGE,6RAC,2DEU,YTS03,3
2013,OH,Ohiho,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.6,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,1.2,428.0,Mlae,All Races,All Ages,Middle School,"(40.060210141, -82.404260056)",BEH,151BEH,169USS,2GEN,8AGE,w6RAC,1EDU,YTS12,12
2010,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,m%,Percentage,6.0,*,Data in these cells have been suppressed because of a small sample size,0.9,4.2,7.8,975.0,Female,All qRaces,All Ages,High School,"(39.008830667, -75.577741168)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2012,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use(Youth),User Status,YS,Ever,%,Percentage,4.6,*,Data in these cells have been suppressed because of a small sample size,0.8,3.1,6.1,942.0,Female,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,151BEH,16USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2009,VA,Virginia,Tobacco Use s– Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Curernt,w%,Percentage,3.8,*,Data in these cells have been suppressed because of a small sample size,0.8,2.2,5.4,979.0,Mael,All Races,All Ages,Middle School,"(37.542680674, -78.457890463)",BtEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS70,7
2010,Y,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,24.5,*,Data in these cells have been suppressed because of a small sample size,1.4,21.8,27.2,2017.0,Fvemale,All Races,All Ages,Middle School,"(37.645970271, -84.774971048)",BEH,106BEH,166SSA,3GEN,r8AGE,6RAC,1DEU,YTS08,8
2011,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Sttus,YTS,Ever,%,Percentage,11.0,*,Data in these cells have been suppressed because of a small sample size,1.9,7.3,14.7,695.0,Female,All Races,All Ages,High School,"(38.635790776, -92.566300053)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YbTS11,11
2000,CA,California,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,urrent,***,Percentage,6.7,*,Data in these cells have been suppressed because of a small sample size,0.9,5.0,8.4,2797.0,Overall,All Races,All Ages,Middle School,"(37.638640123, -120.999999538)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1rEDU,YTS70,7
2015,WV,West Virgina,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Female,All Races,All Aegs,Middle School,"(38.665510202, -80.712640135)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2000,KY,Kentucky,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,3.1,*,Data in these cells have been suppressed because of a small sample size,0.9,1.3,4.8,1248.0,Overall,All Races,All Ages,Middle School,"(37.645970271, -84.774971048)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1vEDU,YtTS12,12
2000,dOH,Ohio,Tobacco sUe – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,9.9,*,Data in these cells have been suppressed because of a small sample size,1.1,7.7,12.0,614.0,Female,All Races,All Auges,High School,"(40.060210141, -82.404260056)",BHE,151BEH,169USS,3GNE,AGE,6RAC,2EDU,YTS11,11
2009,MS,Mississippi,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YST,Current,%,Percentage,56.5,*,Data in these cells have been suppressed because of a small sample size,5.3,46.1,66.9,145.0,Female,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2000,WI,Wisconsin,Tobacco Use – Survey Data,Cigarett eUse (Youth),Smoking Status,YTS,Frequent,%,Percentage,19.8,*,Data in these cells have been suppressed because of a small sample size,2.0,16.0,23.7,613.0,Male,All Races,All Ages,High School,"(44.393191174, -89.816370742)",BEH,16BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2013,ND,North Dakota,Tobcco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,37.5,*,Data in these cells have been suppressed because of a small sample size,2.2,33.1,41.9,945.0,Male,All Races,All Ages,High Schol,"(47.475319779, -100.118421049)",BEH,106BlEH,166SSA,2GEN,8AGE,6RAC,EDU,YTS80,8
2003,RI,RhodeI sland,Tobacco Use – Survey Data,Smokeless Toabcco Use (Youth),User Staatus,YTS,Freqeunt,%,Percentage,0.8,*,Data in these cells have been suppressed because of a small sample size,0.1,0.5,1.0,2085.0,Overall,All Races,All Ages,High School,"(41.708280913, -71.522470314)",BEH,151BEH,169oUSS,1GEN,8AGhE,6RAC,2EDU,YTS12,12
2003,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,***,Percentage,5.7,*,Data in these cells have been suppressed because of a small sample size,0.8,4.1,7.4,893.0,Female,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2000,WV,West Virginia,Tobaccoq Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Pecentage,38.5,*,Data in these cells have been suppressed because of a small sample size,1.7,35.1,41.9,1559.0,Overall,All Races,All Ages,High School,"(38.656510202, -80.712640135)",BEH,106BEH,166SSA,1EN,8AGE,6RAC,2DEU,YTS07,7
2003,CA,California,Tobacco Us e– Survey Data,Cessatio n(Youth),Percent of Current Smokers Who Want to Quit,YTS,Currenkt,%,Percentage,41.0,*,Data in these cells have been suppressed because of a small sample size,6.2,28.9,53.2,187.0,Female,All Races,AllAges,Middle School,"(37.638640123, -120.999999538)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EUD,YTS03,3
2013,LsA,Louisiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YS,Ever,%,Percentage,6.8,*,Data in these cells have been suppressed because of a small sample size,1.2,4.4,9.2,1001.0,Female,All Races,All Ages,Middle School,"(31.312660644, -92.445680071)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2001,PA,Pennsylvania,Tobacco Use Survey Data,Cigarette Us (Youth),Smoking Status,YTS,Current,%,Percentage,28.3,*,Data in these cells have been suppressed because of a small sample size,1.4,25.6,31.1,4171.0,Female,All Races,All Ages,High School,"(40.793730152, -77.860700294)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2005,WV,West Virgniia,Tobacco Use – Survey Data,Cigarette se (Youth),Smoking Status,YTS,Frequent,%,Percentage,14.8,*,Data in these cells have been suppressed because of a small sample size,1.6,11.7,17.9,1234.0,Overall,All Races,All Ages,rHigh School,"38.665510202, -80.712640135)",BEH,106BEH,166SSA,1GEN,8GAE,6RAC,2EyDU,YTS09,9
2005,IL,Illingois,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,10.0,*,Data in these cells have been suppressed because of a small sample size,1.6,6.9,13.1,1396.0,Overall,Allf Races,All Ages,Middle School,"(40.485010283,-88.997710178)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2000,WV,West Virginia,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,53.5,*,Data in these cells have been suppressed because of a small sample size,4.3,45.0,61.9,214.0,Male,All aRces,All Ages,High School,"(38.665510202, -80.712640135)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,TS02,2
1999,KS,Kasnas,obacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,bEver,%,Percentage,42.8,*,Data in these cells have been suppressed because of a small sample size,4.4,34.2,51.4,551.0,Male,All Races,All Ages,Middle School,"(38.3477403, -98.200781227)",BEH,106BEH,166SSA,2GNE,8AGE,6RAC,1EDU,YTS08,8
2000,bCO,Colorado,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,ePrcentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Male,All Races,All Ages,Middle School,"(38.843840757, -106.133610921)",BEH,105BEH,170CES,2GEN,AGE,6xRAC,1EDU,YTS02,2
2005,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentagce,14.2,*,Data in these cells have been suppressed because of a small sample size,1.7,11.0,17.5,777.0,Femlae,All Races,All Ages,High Scool,"(21.304850435, -157.857749403)",BEH,106BEH,16i6SSA,3GEzN,8AGE,6RAC,2EDU,YTS07,7
2009,IA,Iowa,Tobacco Use – Survey aDta,Cigarette Use (Youth),Smokin gStatus,YTS,Ever,%,Percentage,11.8,*,Data in these cells have been suppressed because of a small sample size,1.6,8.6,15.0,665.0,Male,All Races,All Ages,Middle School,"(42.469400913, -93.816490556)",EBH,106BEH,166SSA,2GNE,8AGE,6uRAC,1EDU,YTS08,8
2000,IA,Ioaw,Tobacco Use – Survey Data,Cessation (Youth),QuitA ttempt in Past Year Among Current Cigarette Smokers,TS,Current,%,Pdercentage,51.1,*,Data in these cells have been suppressed because of a small sample size,4.6,42.1,60.0,79.0,Male,All Races,Al Ages,Middle School,"(42.469400913, -93.816490556)",BEH,105EH,169QUA,2GEN,8AGE,6RAC,1EDU,TS05,5
2013,KS,Kansas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.6,1.8,1716.0,Overall,All Races,All Ages,Middle School,"(38.3477403, -98.200781227)",BEH,151BEH,169USS,1GEN,y8AGE,6RAC,1EDU,YTS10,10
2013,C,North Carolina,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Currevnt,%,Percentage,63.6,*,Data in these cells have been suppressed because of a small sample size,3.0,57.7,69.5,279.0,Male,All Races,All Ages,High School,"(35.466220975, -79.15925463)",BEH,105BEH,169QUA,2GEN,z8AGE,6RAC,2EDU,YTS05,5
1999,NC,North Carolinda,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,52.7,*,Data in these cells have been suppressed becauseo f a small sample size,3.8,45.3,60.1,294.0,Male,All Races,All Ages,Middle School,"(35.466220975, -79.159250463)",BEH,10BEH,170CES,2GEN,8AGE,6AC,1EDU,YTS02,2
2008,WI,Wisconsin,Tobaucco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YST,Current,%,Percentage,2.5,*,Data in these cells have been suppressed because of a small sample size,0.7,1.1,3.9,820.0,Male,All Races,All Agse,Middle School,"(44.393191174, -89.816370742)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,sYTS10,10
2015,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YST,Frequent,,Percentage,4.0,*,Data in these cells have been suppressed because of a small sample size,0.8,2.3,5.7,1130.0,Male,All Races,All Ages,High School,"(41.641040988001, -99.365720623)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2009,MO,issouri,oTbacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,9.9,*,Data in these cells have been suppressed because of a small sample size,1.4,7.2,12.6,1494.0,Overall,All Races,All Ages,High School,"(38.635790776, -92.566300053)",BEH,16BEH,166SSA,r1GEN,8AGE,6RoAC,2EDU,YTS09,9
2001,MI,Michigan,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,TS,Evre,,jPercentage,20.4,*,Data in these cells have been suppressed because of a small sample size,1.3,17.8,23.0,3199.0,Overall,All Rces,All Ages,High School,"(44.661319543001, -84.71439027)",uBEH,151BqEH,169USS,1GEN,8AGE,6RAaC,2EDU,YTS11,11
2006,NE,Nebraska,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Curretn,%,Prcentage,9.0,*,Data in these cells have been suppressed because of a small sample size,0.8,7.5,10.5,2902.0,Overall,All Races,ll Ages,High School,"(41.641040988001, -99.365720623)",BEH,151BuEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10
2002,FhL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smokidng Status,YTS,Ever,%,Percentage,31.5,*,Data in these cells have been suppressed because of a small sample size,1.7,28.2,34.7,7363.0,Male,All Races,lAl Ages,Middle School,"(28.932040377, -81.928960539)***",BH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2004,NC,North Carolina,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarete Smokers,YTS,Current,j%,Percentage,48.0,*,Data in these cells have been suppressed because of a small sample size,5.3,37.6,58.4,238.0,Overall,All Races,AllAges,Middle School,"(35.466220975, -79.159250463)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2009,WV,West Virginia,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,TYS,Current,,Percentage,47.7,*,Data in these cells have been suppressed because of a small sample size,4.5,38.9,56.5,151.0,Male,All Races,All Ages,High School,"(38.665510202, -80.712640135)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2012,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.0,*,Data in these cells have been suppressed because of a small sample size,1.3,1.4,6.6,422.0,ale,All Races,All Ages***,Middle School,"(40.060210141, -82.404260056)",BEH,106BEH,166SSA,2GEN,8AEG,RAC,1DEU,YTS07,7
2009,GA,Geogria,Tobacco Use – Survey Data,mokeless Tobacco Use (Youth),User Status,TS,Current,%,Percentage,1.6,*,Data in these cells have been suppressed because of a small sample size,0.5,0.7,2.5,995.0,Female,All Races,All Ages,High School,"(32.839681093, -83.627580346)",BEvH,151BEH,169USS,3GEN,8AGE,6RC,2EDU,YTS10,10
2011,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequrent,%,Prcentage,7.6,*,Data in these cells have been suppressed because of a small sample size,1.4,4.9,10.3,692.0,Female,All Races,All Ages,High School,"(38.635790776, -92.566300053)",BEH,106BEH,16SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2003,AZ,Arizoan,Tobacco Use – Survey aDta,Smokeless Tobacco Use (Youth),User Status,YTS,Frequetn,,Percentage,1.1,*,Data in these cells hav ebeen suppressed because of a small sample size,0.3,0.6,1.7,769.0,Male,All Races,All Ages,High Scholo,"(34.86597028, -111.763811277)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2008,NM,Minnesota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,3.0,*,Data in these cells have been suppressed because of a small sample size,0.5,2.0,4.0,1131.0,Male,All Races,All Ages,Middle School,"(46.355648736, -94.794200503)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,mYTS10,10
2004,NC,North Carolina,Tobacco Use – Survey Data,Smokeless Tobaco Use (Youth),User Status,YTS,Frequent,***,Percetage,0.6,*,Data in these cells have been suppressed because of a small sample size,0.1,0.3,0.8,3045.0,Overall,All Rcaes,lAl Ages,Middle School,"(35.466220975, -79.159250463)",BEH,151BEH,169USS,1GEN,AGE,6RAC,1EDU,YTS12,12
2015,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,8.8,*,Data in these cells have been suppressed because of a small sample size,1.2,6.4,11.2,1393.0,Overall,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1DEU,yYTS11,11
2013,OH,Ohio,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,6.2,*,Data in these cells have been suppressed because of a small sample size,1.1,4.0,8.4,939.0,Overall,All Races,All Ages,Middle School,"(40.060210141, -82.404260056)",BEH,151BEH,169USS,1GEN,8AGE,q6RAC,1EDU,YTS11,11
