1164.facilityname,Presbyterian Intercommnity Hospital,Presbyterian Intercommunity Hospital
1417.hai,"Healthcare Assciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
240.facilityname,St. Elizabeth Commuity Hospital,St. Elizabeth Community Hospital
14.county,Los Angels,Los Angeles
1488.facilityname,USCF Medical Center,UCSF Medical Center
1053.hai,"Healthcare Associated Infection, Surgical Site Iunfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
327.county,Los Angeleqs,Los Angeles
527.operativeprocedure,Cesaeran section,Cesarean section
1365.county,lPacer,Placer
1064.statevalue,Califorina,California
1453.operativeprocedure,Thoracic surgey,Thoracic surgery
90.facilityname,"Kaiser Foundation Hospita,l Manteca","Kaiser Foundation Hospital, Manteca"
1078.hai,"Healthcare Associated Infection, Surgical Sitde Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
990.hai,"Healthcare Associated Infection, Surgica lSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
41.hai,"Healthcare Associated Infection, Surgical Sbite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
336.operativeprocedure,Calrdiac surgery,Cardiac surgery
617.statevalue,Californa,California
483.operativeprocedure,esarean section,Cesarean section
1339.statevalue,Californai,California
260.statevalue,mCalifornia,California
596.hai,"Healthcare AssociatedInfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
993.operativeprocedure,Laminectoy,Laminectomy
789.operativeprocedure,rGallbladder surgery,Gallbladder surgery
946.facilityname,Chgildren's Hospital Los Angeles,Children's Hospital Los Angeles
1477.facilityname,Scripps GreenHospital,Scripps Green Hospital
95.operativeprocedure,ppendix surgery,Appendix surgery
206.facilityname,Sn Gabriel Valley Medical Center,San Gabriel Valley Medical Center
1375.facilityname,Memorial Medical Cegnter,Memorial Medical Center
1100.county,San Joaquidn,San Joaquin
913.county,acramento,Sacramento
916.statevalue,aClifornia,California
571.statevalue,Calwifornia,California
700.facilityname,Pomoena Valley Hospital Medical Center,Pomona Valley Hospital Medical Center
715.facilityname,aSn Joaquin Community Hospital,San Joaquin Community Hospital
1354.facilityname,El aCmino Hospital Los Gatos,El Camino Hospital Los Gatos
819.facilityname,"Kaiser Foundation Hosptal, Riverside","Kaiser Foundation Hospital, Riverside"
729.operativeprocedure,Eploratory abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
982.county,Rivwerside,Riverside
1425.statevalue,Californfia,California
519.hai,"Healthcare ssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
779.statevalue,Caliwfornia,California
128.county,Lso Angeles,Los Angeles
793.operativeprocedure,Gallbladder suregry,Gallbladder surgery
507.county,rOange,Orange
1133.hai,"Healthcare Associated Infection, Surgical Siet Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1226.facilityname,Valley Childrens' Hospital,Valley Children's Hospital
43.hai,"Healthcare Associated Infection, uSrgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
593.statevalue,Clifornia,California
157.statevalue,Califrnia,California
1249.facilityname,"aiser Foundation Hospital, San Francisco","Kaiser Foundation Hospital, San Francisco"
915.operativeprocedure,Gallbladder swurgery,Gallbladder surgery
1351.facilityname,Community Regional Medjical Center,Community Regional Medical Center
1073.hai,"Healthcare Associated Infection, Surgical Site nfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1324.operativeprocedure,uSmall bowel surgery,Small bowel surgery
315.operativeprocedure,"Bie duct, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
1154.operativeprocedure,Open reductoin of fracture,Open reduction of fracture
5.statevalue,Califrnia,California
1364.hai,"Healthcare Associated Infection, Surgical Site Infectiosn (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
745.facilityname,Tluare Regional Medical Center,Tulare Regional Medical Center
839.statevalue,Cbalifornia,California
350.facilityname,Valley Cihldren's Hospital,Valley Children's Hospital
370.facilityname,Community Regiona lMedical Center,Community Regional Medical Center
572.county,eMrced,Merced
1477.statevalue,Caliofrnia,California
507.statevalue,alifornia,California
938.statevalue,Claifornia,California
655.statevalue,Califonria,California
1051.facilityname,California Hospital Medical Center - Lows Angeles,California Hospital Medical Center - Los Angeles
462.hai,"Healthcare Associated Infection, Surgical Ste Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
184.operativeprocedure,Apendix surgery,Appendix surgery
967.hai,"Healthcare Associated Infection ,Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
895.statevalue,Cailfornia,California
1001.county,Los Aneles,Los Angeles
209.county,Sn Mateo,San Mateo
372.operativeprocedure,Cesraean section,Cesarean section
1440.statevalue,vCalifornia,California
1139.operativeprocedure,Open reyduction of fracture,Open reduction of fracture
421.facilityname,"Kaiser Foundation Hopital, San Leandro","Kaiser Foundation Hospital, San Leandro"
871.statevalue,Californai,California
772.operativeprocedure,Gallbladder surngery,Gallbladder surgery
926.hai,"Healthcare Associated Infection, Surgical Site Infections( SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
410.county,San Joaqmuin,San Joaquin
985.operativeprocedure,Laminectmy,Laminectomy
533.statevalue,Califonria,California
983.facilityname,Doctors Medical Centuer,Doctors Medical Center
1167.county,Ls Angeles,Los Angeles
609.facilityname,Valleyu Children's Hospital,Valley Children's Hospital
1014.statevalue,Califosrnia,California
1083.county,Sanlta Barbara,Santa Barbara
626.facilityname,Chilrden's Hospital Los Angeles,Children's Hospital Los Angeles
1365.facilityname,"Kaiser Foundatqion Hospital, Roseville","Kaiser Foundation Hospital, Roseville"
1166.operativeprocedure,Oepn reduction of fracture,Open reduction of fracture
946.county,Los Ageles,Los Angeles
1131.facilityname,Lodi Memorail Hospital,Lodi Memorial Hospital
449.hai,"Healthcare Associated Infection, Surgicapl Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1326.operativeprocedure,mall bowel surgery,Small bowel surgery
289.county,Losn Angeles,Los Angeles
973.county,San Berardino,San Bernardino
600.hai,"Healthcare Associated Infection, Surgical Site Infctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1357.hai,"Healtqhcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
275.operativeprocedure,Appendix srgery,Appendix surgery
706.statevalue,Californiea,California
873.county,San Digo,San Diego
1381.facilityname,Rady Children's Hospital - aSn Diego,Rady Children's Hospital - San Diego
1481.hai,"Healthcare Associated Infection, Surgical Site nfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
876.facilityname,Riverside Community Hospitla,Riverside Community Hospital
552.statevalue,alifornia,California
813.facilityname,"Kaiser oFundation Hospital, Fontana","Kaiser Foundation Hospital, Fontana"
523.statevalue,Cfalifornia,California
1144.county,Kerfn,Kern
1227.facilityname,Valley Presbyterian oHspital,Valley Presbyterian Hospital
713.operativeprocedure,Exploratory abdomial srugery (laparotomy),Exploratory abdomial surgery (laparotomy)
1134.operativeprocedure,Open redction of fracture,Open reduction of fracture
631.hai,Healthcare Associated Infection Surgical Site Infections (SSI),"Healthcare Associated Infection, Surgical Site Infections (SSI)"
766.operativeprocedure,Gallbladder sgurgery,Gallbladder surgery
365.county,oLs Angeles,Los Angeles
1110.county,bSan Diego,San Diego
519.statevalue,Californa,California
1041.operativeprocedure,Liver trasnplant,Liver transplant
632.facilityname,Damyeron Hospital,Dameron Hospital
835.facilityname,LAC+USC Meidcal Center,LAC+USC Medical Center
722.facilityname,Scripps Green ospital,Scripps Green Hospital
1257.facilityname,Riveirside University Health System - Medical Center,Riverside University Health System - Medical Center
1162.statevalue,Califorinia,California
1294.statevalue,Califorrnia,California
247.county,oLs Angeles,Los Angeles
1046.operativeprocedure,Open reuction of fracture,Open reduction of fracture
20.operativeprocedure,Appenix surgery,Appendix surgery
1089.facilityname,Highlan dHospital,Highland Hospital
475.operativeprocedure,Cearean section,Cesarean section
379.facilityname,East Los Angelkes Doctors Hospital,East Los Angeles Doctors Hospital
1023.operativeprocedure,Lmainectomy,Laminectomy
1453.statevalue,Califournia,California
381.statevalue,Califoria,California
285.county,Los Anegles,Los Angeles
2.operativeprocedure,Azppendix surgery,Appendix surgery
1168.facilityname,Providence Saint xJohn's Health Center,Providence Saint John's Health Center
116.operativeprocedure,Appendixsurgery,Appendix surgery
618.hai,"Healthcare Associated Infection, Surgical Site Infections (hSSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
331.operativeprocedure,Cardiac surgry,Cardiac surgery
931.operativeprocedure,Hp prosthesis,Hip prosthesis
992.hai,"Healthcare Associated Infection, Surgical Sitbe Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
939.county,Sa Diego,San Diego
1367.statevalue,Califhornia,California
13.operativeprocedure,Appendix surpgery,Appendix surgery
1380.statevalue,Califorunia,California
994.hai,"Healthcare Associated Infection, Surgical Site Inefctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1384.county,sRiverside,Riverside
226.facilityname,Sierra View Medical Centre,Sierra View Medical Center
824.hai,"Healthcare Associted Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
663.county,Sadn Francisco,San Francisco
249.hai,"Healtchare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
174.facilityname,Palomarc Medical Center,Palomar Medical Center
783.operativeprocedure,Gallbladder surgery***,Gallbladder surgery
1140.county,Muarin,Marin
927.statevalue,Clifornia,California
433.facilityname,Long Beach Memorial Medical eCenter,Long Beach Memorial Medical Center
652.facilityname,"Kaiser Foundation Hosital, Downey","Kaiser Foundation Hospital, Downey"
878.hai,"Healthcare Associated Infection, Surgical Site Inefctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1083.statevalue,Calimfornia,California
475.county,Krn,Kern
923.statevalue,Clifornia,California
26.facilityname,Citrus Valley Medical eCnter - QV Campus,Citrus Valley Medical Center - QV Campus
948.statevalue,Californa,California
403.operativeprocedure,Cesarean ksection,Cesarean section
402.operativeprocedure,Cesarean secion,Cesarean section
1202.hai,"Healthcare Associated Infecution, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
809.facilityname,"Kaiser Foundation Hospital and Rehab Center, Vlalejo","Kaiser Foundation Hospital and Rehab Center, Vallejo"
1476.facilityname,Santa Monica - UCLA Medical Center and cOrthopaedic Hospital,Santa Monica - UCLA Medical Center and Orthopaedic Hospital
724.facilityname,Scripps Memorial Hospital - LaJ olla,Scripps Memorial Hospital - La Jolla
928.statevalue,Califorina,California
431.operativeprocedure,eCsarean section,Cesarean section
532.facilityname,California Hospital Medical Ceanter - Los Angeles,California Hospital Medical Center - Los Angeles
1486.county,Plaer,Placer
959.hai,"Healthcare Associated Infection, Surgica lSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
393.operativeprocedure,Cesahrean section,Cesarean section
1126.operativeprocedure,Open reductiown of fracture,Open reduction of fracture
272.statevalue,Califonrnia,California
934.operativeprocedure,Hip protsthesis,Hip prosthesis
1063.statevalue,aClifornia,California
231.facilityname,Sonoar Regional Medical Center,Sonora Regional Medical Center
561.statevalue,Cailfornia,California
1321.statevalue,Cailfornia,California
459.county,Bute,Butte
1349.statevalue,Californoia,California
1129.facilityname,LAC/Olive Vie wUCLA Medical Center,LAC/Olive View UCLA Medical Center
332.county,os Angeles,Los Angeles
1189.facilityname,Santa Clara Valley Medicla Center,Santa Clara Valley Medical Center
1193.hai,"Healthcare Associated Infection, Surgical Site Ifections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
133.operativeprocedure,Apendix surgery,Appendix surgery
1307.statevalue,Califorina,California
288.facilityname,Children's Hospital Los nAgeles,Children's Hospital Los Angeles
401.facilityname,John F. KennedyM emorial Hospital,John F. Kennedy Memorial Hospital
988.statevalue,Camlifornia,California
966.statevalue,Caifornia,California
1359.operativeprocedure,Spinal fuson,Spinal fusion
989.statevalue,Californoia,California
1375.county,Stranislaus,Stanislaus
258.county,Soano,Solano
464.statevalue,Californioa,California
1229.statevalue,Califorrnia,California
1117.facilityname,"Kaiser Foudation Hospital, South Bay","Kaiser Foundation Hospital, South Bay"
1410.hai,"HealthcareAssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
544.statevalue,Califonia,California
1243.operativeprocedure,Rectal surgrey,Rectal surgery
491.facilityname,Scripps Mercyv Hospital,Scripps Mercy Hospital
1147.county,Sahsta,Shasta
606.hai,"Hgealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
861.county,Stanislas,Stanislaus
680.facilityname,Lucile Packard Children's HospitalStanford,Lucile Packard Children's Hospital Stanford
1255.operativeprocedure,Rectal surery,Rectal surgery
1093.facilityname,"Kaiser Foundatlion Hospital and Rehab Center, Vallejo","Kaiser Foundation Hospital and Rehab Center, Vallejo"
1175.operativeprocedure,Open reduction ofy fracture,Open reduction of fracture
812.county,Los Anglees,Los Angeles
1130.statevalue,Californai,California
742.county,Placr,Placer
1080.operativeprocedure,Opecn reduction of fracture,Open reduction of fracture
945.statevalue,Caifornia,California
223.facilityname,Sharqp Memorial Hospital,Sharp Memorial Hospital
909.county,Rivrside,Riverside
552.facilityname,"Kaiser Foundation Hospital, Baldwin aPrk","Kaiser Foundation Hospital, Baldwin Park"
609.statevalue,Califronia,California
951.operativeprocedure,Kidney tranpslant,Kidney transplant
589.hai,"Healthcare Associated Infection, Surgical rSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
762.hai,"Healthcare Assouciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
148.hai,"Healthcare Asociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1485.operativeprocedure,Thoracc surgery,Thoracic surgery
273.facilityname,Valleycare MedicalCenter,Valleycare Medical Center
607.hai,"Healthcare Associated Infcetion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
185.facilityname,Providenc Little Company of Mary Medical Center San Pedro,Providence Little Company of Mary Medical Center San Pedro
655.hai,"Hgealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1423.operativeprocedure,Thoracic sugery,Thoracic surgery
437.hai,"Healthcare Associated Infection, Surgical Site Infeuctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1178.county,Orwange,Orange
397.statevalue,Californai,California
96.facilityname,"aKiser Foundation Hospital, Panorama City","Kaiser Foundation Hospital, Panorama City"
1308.statevalue,Califbornia,California
1075.operativeprocedure,Open reduction of fractue,Open reduction of fracture
1480.hai,"Healthcare Associated Infection, Surgcial Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
119.statevalue,Californai,California
1261.operativeprocedure,ectal surgery,Rectal surgery
1263.facilityname,StanfordH ealth Care,Stanford Health Care
1170.facilityname,Rady Children's Hospital - San Digo,Rady Children's Hospital - San Diego
627.county,rOange,Orange
279.statevalue,Cbalifornia,California
1438.facilityname,"Kaiser oFundation Hospital, Roseville","Kaiser Foundation Hospital, Roseville"
434.statevalue,Califonia,California
1428.operativeprocedure,Thoraci surgery,Thoracic surgery
501.hai,"Healthcare Associated Infection, Surgical Site Infections (SSI)***","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1263.hai,"Healthcar eAssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1007.hai,"Healthcare Associated Infection, Surgical Site Infections (SI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1081.statevalue,Califoria,California
941.operativeprocedure,Hip posthesis,Hip prosthesis
404.operativeprocedure,Cesareansection,Cesarean section
860.county,Lo Angeles,Los Angeles
1195.operativeprocedure,Open reduction of rfacture,Open reduction of fracture
1181.county,Satna Clara,Santa Clara
640.hai,"Helathcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
780.county,Los Angejles,Los Angeles
610.statevalue,Californiwa,California
455.facilityname,Nativdiad Medical Center,Natividad Medical Center
811.county,Lso Angeles,Los Angeles
100.facilityname,"Kaiser Foundation Hospital, Sacramenot","Kaiser Foundation Hospital, Sacramento"
1229.hai,"Healthcare Associated Infection, Surgicl Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
88.operativeprocedure,Appendx surgery,Appendix surgery
134.county,Santta Barbara,Santa Barbara
91.facilityname,"Kaiser Foundation Hospital, Moerno Valley","Kaiser Foundation Hospital, Moreno Valley"
749.facilityname,University of California Davis Mediceal Center,University of California Davis Medical Center
683.hai,"Healthcare Associated Infqection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1277.hai,"Healthcare Associated Infection, Surgical Site Infection (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
751.county,Maderba,Madera
1454.facilityname,Memorial Medicagl Center,Memorial Medical Center
1088.hai,"Hevalthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1341.facilityname,Valleycare Medica lCenter,Valleycare Medical Center
1354.hai,"Heathcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
954.facilityname,City of Hope Helford Cinical Research Hospital,City of Hope Helford Clinical Research Hospital
250.county,Del Nrte,Del Norte
118.operativeprocedure,Ajppendix surgery,Appendix surgery
1259.operativeprocedure,Rectal surgeyr,Rectal surgery
1470.hai,"Healthcare Associate dInfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
156.hai,"Healthcar Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
463.hai,"Healthcare Asociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1474.hai,"Healthcare Associated Infection, Surgical Site Infectoins (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
665.facilityname,"Kaise rFoundation Hospital, Santa Rosa","Kaiser Foundation Hospital, Santa Rosa"
546.hai,"Healthcare Associated Infection, Surgical Site Infections (SS)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
282.facilityname,Whittier Hospital Medical Centekr,Whittier Hospital Medical Center
528.hai,"Healthcarye Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
485.operativeprocedure,Cesraean section,Cesarean section
850.operativeprocedure,Gallbladdre surgery,Gallbladder surgery
1407.operativeprocedure,Thoracic suregry,Thoracic surgery
1138.statevalue,Califonia,California
1089.statevalue,Calfiornia,California
556.county,Alaeda,Alameda
870.facilityname,Providencee Holy Cross Medical Center,Providence Holy Cross Medical Center
1220.county,San Dieo,San Diego
983.county,Stanislaues,Stanislaus
488.county,aSnta Clara,Santa Clara
580.facilityname,Oroille Hospital,Oroville Hospital
1010.operativeprocedure,Laminectoym,Laminectomy
918.hai,"Healthcare Asosciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
315.county,Los Angelse,Los Angeles
1337.hai,"Healthcare Associated Infection, Srgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
998.statevalue,Califovrnia,California
770.hai,"Healthcare Associated Infection, Surgical Site Infections (SS)I","Healthcare Associated Infection, Surgical Site Infections (SSI)"
640.statevalue,Calfiornia,California
238.facilityname,St RoseH ospital,St Rose Hospital
115.hai,"Healthcare Associated Infection, Surgical Site Infections( SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
455.county,Mnterey,Monterey
372.statevalue,Caliofrnia,California
1325.statevalue,Californai,California
255.facilityname,"Sutter Medical Center, Scaramento","Sutter Medical Center, Sacramento"
656.county,lAameda,Alameda
448.hai,"Healthcare Associated Infection, Surgial Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
278.facilityname,Watstonville Community Hospital,Watsonville Community Hospital
869.county,oLs Angeles,Los Angeles
671.facilityname,Kern Meadical Center,Kern Medical Center
753.operativeprocedure,Exploratory abdomial surgery (laparotmomy),Exploratory abdomial surgery (laparotomy)
735.statevalue,Califonia,California
1357.operativeprocedure,Spjinal fusion,Spinal fusion
1203.facilityname,St. Bernardine Medical Cetner,St. Bernardine Medical Center
1249.county,San Fancisco,San Francisco
747.facilityname,UCSF Medical Centher,UCSF Medical Center
595.statevalue,Californa,California
1293.operativeprocedure,Small bowel surgrey,Small bowel surgery
1287.facilityname,John Muir Medical Center -Walnut Creek Campus,John Muir Medical Center - Walnut Creek Campus
1262.hai,"Healthcare Associated Infction, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1014.facilityname,Rady Children's uHospital - San Diego,Rady Children's Hospital - San Diego
359.facilityname,Bakersfield MemorialHospital,Bakersfield Memorial Hospital
644.facilityname,Hazel Hawkins Mmorial Hospital,Hazel Hawkins Memorial Hospital
1468.hai,"Healthcare Associated Infectoion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
880.county,Los Anegles,Los Angeles
84.operativeprocedure,ppendix surgery,Appendix surgery
185.operativeprocedure,Appendixr surgery,Appendix surgery
282.statevalue,kCalifornia,California
472.statevalue,Californcia,California
1467.facilityname,Riverside Community Hosptal,Riverside Community Hospital
1486.hai,"Healthcare Associated Infection, Surgicl Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
360.facilityname,Banner Lssen Medical Center,Banner Lassen Medical Center
503.statevalue,Cwalifornia,California
900.county,San Joaqun,San Joaquin
20.statevalue,alifornia,California
1265.county,San Dieog,San Diego
531.hai,"Helthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
613.facilityname,Adventist Meditcal Center,Adventist Medical Center
1127.county,Orangle,Orange
1429.statevalue,Califohrnia,California
1472.statevalue,Cailfornia,California
562.hai,"Halthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
156.county,San Maeo,San Mateo
177.facilityname,PIH Hosptal - Downey,PIH Hospital - Downey
380.operativeprocedure,Cesaran section,Cesarean section
1330.facilityname,Scrpips Mercy Hospital,Scripps Mercy Hospital
177.statevalue,Californiua,California
836.statevalue,lCalifornia,California
917.county,entura,Ventura
1193.county,SanDiego,San Diego
772.facilityname,Children's Hopital & Research Center Oakland,Children's Hospital & Research Center Oakland
352.operativeprocedure,Cesarean sectibon,Cesarean section
1157.hai,"Healthcare Associated Infection, Surgical Sit eInfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
878.county,Los Aneles,Los Angeles
1471.facilityname,Saint Francis Medicacl Center,Saint Francis Medical Center
188.hai,"Healthcjare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
226.hai,"Healthcare Associated Infection ,Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1345.county,an Bernardino,San Bernardino
286.operativeprocedure,"Bile duct, liver or pancreatic surgeyr","Bile duct, liver or pancreatic surgery"
938.hai,"Healthcare Associatedo Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
511.operativeprocedure,Cesareans ection,Cesarean section
1280.statevalue,Clifornia,California
904.operativeprocedure,Gallbladder surgry,Gallbladder surgery
341.county,SanDiego,San Diego
1368.operativeprocedure,Spial fusion,Spinal fusion
88.statevalue,Caltifornia,California
1272.statevalue,Califmornia,California
857.statevalue,Calfornia,California
1411.statevalue,Claifornia,California
577.statevalue,Califoria,California
113.facilityname,"Kaiser Foundation Hospital, eWst LA","Kaiser Foundation Hospital, West LA"
458.hai,"Healthcare Associated Inftection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
812.operativeprocedure,Gallbladedr surgery,Gallbladder surgery
126.hai,"Healthcare Associated Infection, Surgical Site Infections (SI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
570.hai,"Healthcare Associated Infection, Surgcal Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1218.statevalue,Califorina,California
269.county,Oraneg,Orange
579.facilityname,Orange County lGobal Medical Center,Orange County Global Medical Center
1093.hai,"Healthcare AssociatedI nfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
112.facilityname,"Kaiser Fouxndation Hospital, Walnut Creek","Kaiser Foundation Hospital, Walnut Creek"
1052.hai,"Healthcare ssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
650.hai,"Healthcare Assoicated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
924.operativeprocedure,Gallbltadder surgery,Gallbladder surgery
501.facilityname,St. Bernarndine Medical Center,St. Bernardine Medical Center
50.hai,"Healthcare Associated Infeciton, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
579.county,Oarnge,Orange
191.hai,"Healthcare Associated Inection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
73.facilityname,Highland Hosspital,Highland Hospital
1474.statevalue,Califronia,California
331.facilityname,"sGood Samaritan Hospital, San Jose","Good Samaritan Hospital, San Jose"
328.statevalue,mCalifornia,California
894.facilityname,Sierra View Medical Cener,Sierra View Medical Center
780.statevalue,Calsifornia,California
159.facilityname,Natividad Medical Centzer,Natividad Medical Center
994.county,San Mateco,San Mateo
954.statevalue,Califrnia,California
1186.statevalue,nCalifornia,California
718.facilityname,Santa Barbara Cottag eHospital,Santa Barbara Cottage Hospital
364.operativeprocedure,Cesarean sectin,Cesarean section
1104.county,range,Orange
371.hai,"Healthcare Associated Infection, Surgical Site Ifections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1393.county,Riversie,Riverside
1176.facilityname,Riverside Unjiversity Health System - Medical Center,Riverside University Health System - Medical Center
910.hai,"Healthcare Associated Infection, Surgical Ste Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
511.hai,"Healthcare Associated Infection, Surgical Site Infectionis (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
161.county,Soalno,Solano
34.county,Ventuvra,Ventura
186.operativeprocedure,bAppendix surgery,Appendix surgery
1012.hai,"Helathcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
54.hai,"Healthcare Associated Infection, Surgical Site Infections (SSI)***","Healthcare Associated Infection, Surgical Site Infections (SSI)"
731.statevalue,wCalifornia,California
1429.county,Rivlerside,Riverside
1476.operativeprocedure,Thoracic srugery,Thoracic surgery
287.hai,"Healthcare Associated Infectin, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1200.facilityname,Sonoma ValleyHospital,Sonoma Valley Hospital
1298.statevalue,Califhornia,California
1189.county,Santa Cwlara,Santa Clara
905.facilityname,Sutter Davis Hopital,Sutter Davis Hospital
900.operativeprocedure,Gallbldder surgery,Gallbladder surgery
987.facilityname,"Good Samaritan Hospital, San Jose***","Good Samaritan Hospital, San Jose"
364.statevalue,Caifornia,California
646.facilityname,Hollywood Presbyterian Meddical Center,Hollywood Presbyterian Medical Center
12.statevalue,Caifornia,California
454.statevalue,iCalifornia,California
1068.operativeprocedure,Open reduction o ffracture,Open reduction of fracture
