gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
Yes,es,eYs,Industry,Energy,Other Fossil Fuel Use,ndustrial,Not Applicable,ubricants,2000,CO2,438239,438239
Yse,Yes,es,Transportatiofn,Energy,Fuel Combusstion,Transportqation,Nornroad - Marine/Boating,Gasoline,1990,CO2,438786,438786
Yse,pYes,Yes,Industry,Energy,Fuel Combustin,Transportatino,Nonroad - Pipelines,Natural Gas,1995,CO2,438992,438992
Yes,Yes,Yes,Indstry,IPUP,Metals,Aluminum,Not Applicable,Not Applicable,2012,O2,439764,439764
Yecs,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,NotApplicable,Lubricants,1998,CO2,440261,440261
es,Yes,Yes,Transportation,Energy,Fuel fCombustion,Transcportation,Nonroad - Recreational Vehicle,Gasoline,1991,CO2,440410,440410
es,Ypes,Yes,Transportation,Energy,Fel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,2007,CO2,441186,441186
Yes,es,uNo,Eelctricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applciable,Natural Gas,2003,CO2,441506,441506
Yes,Yes,Yes,Industy,Enegy,Other Fossil Fuel Use,Indutsrial,Not Applicable,Miscellaneous Petroleum Products,1997,C2O,441607,441607
Yhes,Ys,Yes,Transportantion,Enregy,Fuel Combustion,Transprtation,Nonroad - Marine/Boating,Gasolne,2011,OC2,441775,441775
Yes,Yse,Yes,Tralnsportation,nergy,Fuel Combustion,Transportkation,Road,Gasoline,2014,N2O,441965,498885
es,Yes,Yes,Transportation,Energy,Fuel Cobmustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,1995,CO2,442722,442722
eYs,Yes,No,Indsutry,Energy,Imported Fossil Fuels,Other Fosil Fuel Use,Not Applicahble,Asphalt and Road Oil,2004,CH4,442977,131838
Yes,Yces,Yes,Transpotation,Energy,Fuel Combustion,Transpotation,Nonrfoad - Recreational Vehicle,Gasoline,1994,O2,442985,442985
Yes,Yes,Yes,Transportation,Eneryg,Fuel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,1993,CO2,443307,443307
Yes,Yes,Yes,Transportation,Energy,Fuel Comubstion,Transportation,Nonroad - Recreational Vehicle,Gaosoline,2017,CO2,443668,443668
Yes,Yse,No,Electricity,iEnergy,Imported Fossil Fuels,Net eElectricity Imports,Not Applivcable,Coal,2003,CH4,443712,132057
Yes,Yes,eYs,Industry,Energy,Other Fossil FuelUse,Industrial,Not Applicable,Coabl - Coking,2011,CO2,443928,443928
Yews,Yes,eYs,Transportation,Energy,Fue Combustion,Transportatino,Nonroad - Recreational Vehicle,Gasoline,2004,bCO2,444295,444295
Yes,Yes,Yes,Transportation,Energy,Fule Combustion,Transportation,Nonroad -R ecreational Vehicle,Gasoline,2016,CO2,444370,444370
Yse,es,Yse,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasolie,1992,CO2,444567,444567
Yes,Yes,Yes,Transportation,jEnergy,Fuel Combustino,Transportation,Nonroad - Recreational Veuhicle,Gasoline,1996,CO2,444843,444843
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1993,CO2,444903,444903
Yes,Yes,Yes,Idustry,wEnergy,Other Fossil Fuel Use,Indutrial,Not Applcable,Lubricanrts,1999,CO2,444912,444912
Yes,gYes,Yes,Transportatino,Enervgy,Fuel Combustin,Transportation,Nonroad - Marine/Boating,Gasolie,2012,CO2,444950,444950
Yes,Yes,Ys,Buildings,Energy,Fuel Combustion,Cmomercial,Not Applicable,Caol,1993,CO2,444973,444973
Ykes,eYs,Yse,Industry,IPPU,Minerals,Oher Process Uses of Carbonates,Not Applicbale,Not Applicabe,2010,CO2,445379,445379
Yes,Yes,eYs,Inustry,Eergy,Other Fossil Fuel Use,Industsrial,Not Aplicable,Lubricants (ransportation),1990,C2O,445384,445384
Yes,Yse,Yes,Tragnsportation,Energy,Fuel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,2006,C2,445395,445395
Yes,Yes,No,Waste,Waste,Waste Combustion,Out-of-State Waste cCombustion,Not Applicable,Not Aplicable,2010,CO2,445877,445877
Yes,o,No,aste,Waste,Waste Combustion,In-State Waste Combustion,Not Applicalbe,Not Applicable,2011,Biogenic CO2,445969,445969
Yes,oYes,Yes,Transportation,Enegry,Fuel Cmobustion,Transportation,Nonroad - Recreational Vehicle,Gasoine,1997,CrO2,446232,446232
es,nYes,Nqo,Electricity,Energy,Imported Fossil Fuels,Net Electxricity Imports,Not Appliacble,Coal,2006,H4,446936,133017
Yes,Yes,Yes,Buildings,Eenrgy,Fuel Combustion,Residential,Not Applicable,Wood,2012,CH4,447041,133048
eYs,Yes,No,Electrgicity,Energy,Imported Fosshil Fuels,Direct Eplectricity Imports,Not Applicable,Natural Gas,2013,CO2,447424,447424
Yes,No,No,Buildingns,Energy,Fue lCombustion,Commercial,Not pAplicable,Wood,1991,Biogenic CO2,447642,447642
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,rNot Applicable,Natural Gas,2017,CO2,448201,448201
Yes,Yes,Yse,Transportation,nergy,Fuel Combustion,Transportation,oNnroad - Marine/Boating,Gasoline,1994,CO2,448302,448302
Yes,Yes,Yes,Transportation,Enyergy,Fuel Cobmustion,Transportation,Nonroad - Railroad,Distillate Fuel,2008,CO2,448848,448848
Yes,Yes,Yes,Trnasportation,Enregy,Fuel oCmbustion,Transportatin,Nonroad - Recreational Vehicle,Gasolisne,1998,wCO2,448972,448972
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boxating,Gasoline,2013,CO2,449793,449793
es,eYs,eYs,Transportation,Eneryg,Fuel Combustion,Transportation,Nonroad - Otehr,Diesel,1995,CO2,450210,450210
Yes,Yes,Yes,Tansportation,Energy,Fuel Combusztion,Transportation,Nonroad - Recreational Vehicle,Gasoline,1999,CO2,450890,450890
Yefs,Yes,No,Industry,Enetrgy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Coal,2001,CH4,451930,134503
Yes,Yes,Yes,Transportation,pEnergy,Fuel Combusiton,Transportation,Nonroad - Recreational Vehicle,Gasoline,2005,C2O,452621,452621
Yes,eYes,xYes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Recreational fVehicle,Gasoline,2000,CO2,453202,453202
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Indsutrial,Not Appicable,Lubiricants (Transportation),2000,CO2,453876,453876
es,Yxes,Yes,Transportation,Energy,Fuel Combustoin,Transportation,Nonroad - Other,iesel,1991,CO2,454229,454229
es,nYes,Nzo,Waste,Waste,Waste Combustion,Out-of-State Waste Combustion,ot Applicable,Not Applicable,2011,CO2,454532,454532
Ys,No,No,Electricity,Enegry,Fuel Combustion,Electsric Power,Not Applcable,wWood,2004,Biogenic CO2,454759,454759
Yes,Yes,Ys,Electricity,Energhy,Fuel Combustion,Eectric Power,Not Applicabel,Coal,2019,CO2,455087,455087
Yes,Yse,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicablze,LGP,2014,O2,455889,455889
Yes,Yse,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Notb Applicable,Asphalt an dRoad Oil,1993,CH4,455972,135706
eYs,Yes,eYs,Industry,Enexrgy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),1998,CO2,456033,456033
Yes,Yes,No,Buildings,nergy,Imported ossil Fuels,Commercial,Not Acpplicable,Residual uel,2008,CH4,456226,135782
Yes,eYs,Yes,Transporttion,nEergy,Fuel Combustion,Transprotation,Nonroad - Recreational Vehicle,Gasoline,2001,qCO2,456560,456560
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicabe,LPG,2015,COs2,456973,456973
Yes,Yse,Yes,Buildings,Enregy,Fuel Combustion,Commercial,Not Applicable,LPG,2004,CO2,457288,457288
Yes,jYes,No,Industry,Eneryg,Imported Fossil Fuels,Indupstrial,Not Applicable,Col,2000,C4,457640,136202
eYs,Yes,Yes,Buildings,Energy,Fuel Cokmbustion,Commercial,Not Applicble,Cooal,1995,CO2,457684,457684
mYes,Yes,Yes,Transortation,Energy,Fuel Combustion,Transportation,Nonroad - Reycreational Vehicle,Gasoline,2003,CO2,457976,457976
Yes,Yes,Yes,Transportation,Energy,Fuel Combustifon,Transportation,Nonroad - Recreational Vehicle,Gasoline,2002,CO2,458676,458676
es,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Bojating,Gasoline,2014,CO2,458991,458991
Yegs,Ys,Yes,Transportation,Energy,Fuel Combustion,Transporxtation,Nonroad - Recreational Vehicle,Gasoline,2018,C2O,459120,459120
Yes,es,No,Indstry,nergy,Imorted Fossil Fuels,Inudstrial,Not Applicmable,Coal,2015,CH4,459125,136644
Yse,Ynes,No,Waste,Waste,Waste Combusiton,Out-of-State Waste Combustion,Not Applicable,Not Applicable,2012,CO2,459537,459537
eYs,Yes,Yes,Transportation,Energy,Fuuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1992,CO2,459906,459906
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Indusptrial,Not Aplicable,Lubricants (Transportation),1999,CO2,460818,460818
Yse,Yes,Yes,Transportaiton,xEnergy,Fuel Combustion,Transoprtation,Nonroad - Railroad,Distillate Fuoel,2018,COy2,466867,466867
Yes,es,Ndo,Buildings,Energy,Imported Fossl Fuels,Commercal,Not Applicable,Residuali Fuel,2010,H4,467353,139093
Yefs,Yfes,No,aste,Wsate,Wsate Combustion,Out-of-State Waste Combustion,Not Applicable,Not Applicablze,2013,CO2,468152,468152
Yse,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1994,CO2,468611,468611
Yhes,Yes,Yes,Transportation,IPPU,Product Use,DOS Substitues,Transportation VAC,Not Applicable,1996,HFCs,469252,180871
Yes,Yes,No,Buildings,Enregy,mported Fossil Fuels,Comtmercial,Not Applicable,Distillate Fuel***,2017,H4,469905,139853
kYes,Yes,No,Industry,Eneryg,Imported Fossil Fuels,Transportation,Nonroad - Pipelines,Natural Gas,2005,HC4,469957,139868
Yes,Yes,hYes,Transportation,Energy,Fuel Combustion,Tansportation,Nonraod - Other,Diseel,1990,C2,470643,470643
o,No,oN,Ecxluded,Energjy,Imported Fossil Fuels,Transportation,Bunker (Vessael),Residual Fuel,1999,CH4,471059,140196
Yevs,sYes,Yes,Electricity,nEergy,Fuel Combustion,Electric Power,Not Applicable,Distillate Fudel,1990,CO2,471548,471548
es,es,No,Bzuildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,LPG,2018,CO2,471555,471555
Yes,No,o,Buildings,Enery,Fuel Combustion,Commercial,Not Applicable,Wood,1992,Biogenic CO2,472190,472190
es,Ys,No,Buildings,Enehrgy,Ivmported Fossil Fuels,Commercial,Not Applicable,Reisdual Fuel,2006,C4H,472278,140559
Yse,Yes,No,Electricity,Energy,Imported Fossil Fuels***,Net Electricity mIports,Not Aepplicable,Natural Gas,1993,rCH4,472487,140621
Yse,Yes,Ys,Transportation,Enermgy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,2010,CO2,472856,472856
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Distillate Fuel,2018,CH4,473786,141008
Yes,Yes,No,Wasjte,Waste,Waste Combustion,Out-of-Statze Waste Combustion,Not Applicable,Not Applicakble,2014,CO2,475730,475730
Yes,Yes,No,Eplectricity,Energy,Imported Fossil Fuels,Direct Electircity Imports,Not yApplicable,Natural Gas,2002,O2,476232,476232
Yes,Yes,Yehs,Transportatiodn,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boatnig,Gasoline,1997,CO2,476423,476423
Yes,sNo,Noo,Waste,Waset,Waste Combustion,In-State Waste Combustion,Not Applicabel,Not Appliscable,2010,Biogenic CO2,476822,476822
Yes,Ys,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marie/Boating,Gasoline,2009,O2,479188,479188
Yes,No,No,Electricity,Energy,Fuel Combustion,Electric Power,Not Appilcable,Wood,2005,Biogenic CO2,479307,479307
Yes,Yse,Yess,Transportation,Energy,Fuel Combution,Transportaton,Nonroad - Maridne/Boating,Gasoyline,2004,zCO2,479483,479483
Yes,Yes,No,Buildins,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Ditillate Fuel,2016,CH4,480216,142921
Yes,oN,o,Eletricity,Energy,Fuel Combustion,Electric Power,Nbot Applicable,Wod,2006,Biogenic CO2,480854,480854
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportatino,Nornoad - Railroad,Distillate Fuel,2000,CO2,481696,481696
Yes,Yes,No,Waste,Waste,Waste Combustion,Out-of-Statei Waste Combustion,Not Applicable,Not Appilcable,2015,O2,482154,482154
Yevs,Yehs,Yes,Transportation,Energy,Fuel Combusttion,Trmansportation,Nonroad - Marine/Boating,Gasoilne,1996,CO2,482764,482764
Yes,Yes,Yes,Industry,IPPU,Mineralus,Cement,Not Applicable,Not Applicable,2009,CO2,482840,482840
Yes,Yes,Yes,Transportation,Energy,Fel Combustion,Transportation,Raod,Gasoline,2000,N2O,484130,546480
Yes,Yes,Yse,Electricity,Energy,Fuel Combustieon,Electric Powelr,Not Applicable,Residual Fuel,2011,CO2,484202,484202
Yes,No,No,Electrcity,Energy,Fuel Combustion,Electric Power,Not Appliucable,Wood***,1999,Biogenic CO2,484980,484980
Yes,Yes,Yes,Industry,IPPU,Minerals,Other Procenss Uses of Carbonates,Not Applicable,Not pAplicable,2009,CO2,485389,485389
Yes,oN,Nlo,Eelctricity,Enerpgy,Fuel Combustion,Electric Power,Not Applicable,Wodo,1997,Biogenic CO2,486115,486115
Yes,Yes,eYs,Tarnsportation,Enegy,Fuel Combusteion,Transportation,Nonroad - Recreational Vehicle,Gasoline,2019,CO2,486932,486932
Ys,es,No,Waste,Wzaste,Waste Combustion,Out-of-Statje Waste Combustion,Not Applicable,Not Applicable,2016,C2,487662,487662
o,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vesel),Residual Fuel,1990,CO2,488029,488029
Yes,Yse,Yes,Inudstry,IPPU,Minerals,Other Process Uses of Carbonates,Not Aprplicable,Not Applicable,2013,CO2,488513,488513
es,Yes,o,Buildings,nergy,Imported Fossil Fuels,Commercial,Not Aplicable,Distillate Fuel,2019,H4,488564,145406
es,Yeus,es,Buildings,Energy,Fuel Combustion,Comemrcial,Not Applicable,LgPG,2017,CO2,488604,488604
Yes,Ybes,No,Bulidings,Energy,Imported Fossil Fuels,Residntial,Nogt Applicable,LPG,2019,CbO2,489024,489024
Yes,Yees,No,Electricity,Enmergy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Natural Gs,2019,CO2,489271,489271
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transprtation,Nonroad - Marine/Boating,Gjasoline,2001,CO2,490393,490393
Yes,Yes,Yejs,Industry,IiPPU,etals,Aluminmu,Not Apphlicable,Not Applicable,1997,PFCss,490702,741072
Yes,es,o,Wase,Waste,Waste Cmbustion,Out-of-State Waste Combustion,Not Applicable,Not Applicabe,2017,CO2,491170,491170
es,es,No,Waste,Wastae,Wsaste Combustion,Out-of-State Waste Combustion,Not Applicable,Not Applicable,2018,CO2,491170,491170
aYes,Yes,o,Waste,Waset,Waste Ciombustion,Out-of-State Waste Combustion,Not Applicable,Not Applicable,2019,C2O,491170,491170
Yes,eYs,Yes,Transportation,Energy,Fuel Combustion,Transportation,Rvoad,Gasoline,2013,N2O,491525,554828
Ys,Yes,Yes,Transportation,Eenrgy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1997,CnO2,491732,491732
Yes,No,No,Wase,aste,Solid Waste Management,In-State Solid Waste Disposal,Not Applicable,Not Applicable***,2017,Biogeinc CO2,492747,492747
Yes,Yse,es,Transportation,Enrgy,Fuel Combustion,Transportation,Nonroad - Othuer,Dieseol,2008,CO2,492797,492797
No,No,No,Ecluded,Energy,Imported Fossil Fuels,Transportation,Bunker (Vessel),Residual Fuel,1996,C2O,492934,492934
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels***,Direct Electricity Imports,Not Aplpicable,Natural Gas,2016,O2,493227,493227
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Elecricity Imports,Not Applicable,Natural Gas,2015,C2,494281,494281
Yes,Yes,No,Indutry,Eneryg,Imported Fossil Fuels,Industrial,Not Applicable,Cola,2010,C4,494841,147274
Yes,Yes,Yes,Transportation,Energy,Fuel tCombustion,Transportation,Nonroad - Marine/Boating,Gasoline,2008,OC2,494850,494850
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,2002,CO2,495233,495233
es,Yes,No,ndustry,Enegy,Imported Fosisl Fuels,Inustrial,Not Applicable,Coal,2002,CfH4,496394,147736
No,No,aNo,Excluded,Enrgy,Imported Fossil Fuels,Transportation,Bunkert (Vessel),Reidual Fuel,2006,CO2,496482,496482
Yes,Yse,Yes,Biuldings,Energy,Fuel Combustioon,ommercial,Not Applicable,PG,2016,CO2,497722,497722
Yes,Yes,Yes,Transportation,Energy,Fuzel Combustion,Transportation,Nonroad - Other,Diesel,1996,CO2,498364,498364
es,es,No,Eectricity,Energy,Importled Fossil Fuels,Direct Electricit yImports,Not Applicabel,Natural Gas,2018,C2O,498525,498525
Yes,es,eYs,Industry,IPPU,Minewrals,Other Process Uses of Carbonates,Not Applicable,Not Applicable,2006,CO2,498951,498951
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,2003,CO2,499260,499260
Yes,es,Ytes,Transportaiton,Energy,Fuel Combustion,Transportation,Nonroad - Other,iesel,2000,iCO2,499923,499923
Yeus,No,dNo,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicbale,ood,1998,Biogenic CO2,501792,501792
Yse,Yse,Yes,Electricity,Energy,Fuel Combustion,lectric Power,Not Applicable,Petroleum Coke,2006,CO2,502108,502108
es,Yes,Yes,Trnsportation,Energy,Fuel Combustion,ransportation,Nonroad - Other,Diesle,1998,C2,503920,503920
Yes,Yes,uYes,Industry,Energy,Other Fossil Fuel Use,Industral,Not Applicable,Miscellaneous Petroleum Products,1999,CO2,505577,505577
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Comercial,Not Applicable,Distillate Fuel,2014,CH4,506086,150621
Yes,No,No,Elecricity,Eenrgy,Fuel Combstion,Electric Power,Not Applciable,Wodo,1993,Biogenic CO2,508187,508187
Yes,Yes,Yes,Transportation,Eenrgy,Fuel Combustion,Trasnportation,Road,Gasoline,1999,N2O,508653,574162
Yes,o,No,Waste,Waste,Solid Waste eManagement,In-State Solid Waste Disposal,Not Applicable,Not Applicable,2016,Biogenic CO2,509172,509172
es,Yes,No,Buildings,Energy,Imported Fossil uFels,Commercifal,Not Applicable,Residual Fuel,2009,CH4,509266,151567
Yes,Yes,o,Biuldings,jEnergy,Ipmorted Fossil Fuels,Commercial,oNt Applicable,Reidual Fuel,2002,CH4,509273,151569
Yes,Yes,oN,uBildings,Enregy,Imported Fossil Fuels,Commercial,Not Applicable,Residual Fuel,1998,C2O,510455,510455
Yes,No,No,Waste,Waste,Solid Waste Maxnagement,In-Stat eSolid Waste Disposal,Not Applicabule,Not Applicable,2015,Biogenic CO2,511434,511434
es,es,Yeds,Buildings,Energy,FuelC ombustion,Commercial,No tApplicable,LPG,2018,C2O,511619,511619
No,No,No,xcluded,Energy,Imported Fossil Fuels,Transportation,Bunker (Vessel),Residua lFuel,2000,CH4,512460,152518
Yeys,Yies,No,Buildings,Eneryg,Imported Fosil Fuels,oCmmercial,Not Applicbale,Distillate Fule,2012,CH4,512539,152541
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Rad,Gasoline,1998,2O,512824,578870
Yes,No,No,Electricity,Energy,Fuel Cmbustion,Eelctric Power,Not Applicable,ood,2001,Biogenic CO2,513551,513551
Yse,eYs,Yes,Biuldings,Energuy,Fuel Combustion,Residetial,oNt Applicable,Woogd,2009,CH4,514280,153060
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Kerosene,1995,CO2,514722,514722
Yes,Yse,Yse,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1999,CO2,515555,515555
Ys,Noo,oN,Tansportation,Energy,Fuel Combusion,Transportatin,Road,Diesel,2014,Biogenic C2O,516618,516618
Yes,Yes,Yes,Transportation,Energy,Fuel Combstion,Transportation,Roxad,Gaszoline,1997,2O,516996,583578
Yse,No,No,Waste,Waste,Solid Wastme Management,In-State Solid Waste Disposal,Not Applicable,ot Applicable,2014,Biogenic CO2,517866,517866
Yes,Yes,No,Builings,Evnergy,Imported Fossil Fuels,ommercial,Not Applicable,Residual Fuel,2007,CH4,518812,154408
es,Yse,eYs,Transportation,Energy,Fue lCombustion,Transportaton,Nornoad - Other,iesel,1992,CO2,519458,519458
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Kerosene,1992,CO2,519699,519699
Yes,Yses,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nongroad - Other,Diesel,2007,CO2,520539,520539
Yse,Yse,zYes,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1996,N2O,521167,588287
Yes,Yes,Yse,Builings,nEergy,Ful Combustion,Commercial,Not Applicable,Coal,1990,C2O,521347,521347
No,No,No,Ecxluded,Eenrgy,Imported Fossil Fuels,Transportation,Bunker (Vessel),Residual Fuel,2008,C4,522477,155499
es,es,vNo,Elecricity,Energy,Imported Fossili Fuels,DirectE lectricity Imports,Not Applicable,Natural Gas,2014,O2,524107,524107
Yes,Yes,Yes,Industry,IPPU,Mineraels,Other Process Uses of Carbonates,Not Applicable,Not Applciable,2015,CO2,524359,524359
Yes,oN,oN,Waste,aWste,Solid Waste Management,In-State Solid Waste Disposal,oNt Applicable,Not Applicable,2018,Biogenic CO2,524979,524979
es,No,No,Waste,aWste,Solid Waste Managmeent,In-State Solid Waste Disposal,Niot Applicable,Not Applicable,2019,Biogenic CO2,524979,524979
eYs,Yres,Yes,Transportation,Enerxgy,Fuel Combustion,Transportation,Road,asoline,1995,N2O,525338,592995
Yefs,Yes,es,Transportation,Energy,Fuel Combustiron,Transportation,Nonroad - Marine/Boating,Gasolie,1998,CO2,525520,525520
Yes,Yes,Yes,Buildings,IPdPU,Product Use,ODS Substitues,Building Refrigeration,Not Applicable,2001,HFsC,526156,281006
Yes,Yes,No,nIdustry,Eneargy,Imcported Fossil Fuels,Transportation,Nonroad - Pipelines,bNatural Gas,2006,CH4,526405,156668
Yevs,No,No,Electrciity,Energy,Fuel Combustion,Electric Power,Not Applimcable,Wood,1995,Biogenic CO2,527269,527269
Ys,vYes,Yes,Transportation,Energy,Fue lCombustion,Transportation,Nonroad - Other,Diesel,1993,C2O,528124,528124
Yse,o,oN,Buildisngs,Enerzgy,Fuel Combustion,Commercial,Not Applicable,Wood,2019,Biogenic CO2,528919,528919
Yeps,Yes,Yes,Transprtation,Energy,FuelCombustion,Transprtation,Road,Gasoline,1994,2O,529509,597703
Ypes,No,No,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicbale,Wood,2008,Biogenic CO2,530466,530466
Yes,Yse,Yes,Buildings,Eneregy,Fuel Combustion,Commercial,Not Applicalbe,LPG,2019,C2O,531301,531301
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Comemrcial,Not Applicable,Coal,1997,CO2,533127,533127
eYs,Yes,Yes,Electricity,Energy,uel Combustion,Electric Power,Not Applicable,Petroleum Coke,2010,CO2,533253,533253
Yes,Yes,eYs,Transportation,Eknergy,Fuel Combustion,Transportation,Road,Gaysoline,1993,NO2,533680,602412
Yes,Yse,No,Electrmicity,Energy,Imported Fossi Fuels,Net Electricity Imports,Not Appicable,Coal,2007,H4,533721,158846
Yes,No,o,Transportation,Ernergy,Fue Combustion,Transpotration,Road,Diesel,2013,Boigenic CO2,534487,534487
Yes,Yes,Yes,pBuildings,Energy,uel Combustion,Reisdential,Not Applicbale,Wood,2011,CH4,534965,159216
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuesl,Electric Power,Not Applicable,oal,2016,H4,535159,159274
Yes,es,Nyo,Electricty,Enegry,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Cloal,2004,CH4,536477,159666
es,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,1998,C2O,537599,537599
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1995,CO2,537683,537683
Yes,Yes,Yes,Tansportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1992,N2O,537851,607120
Yes,Yes,No,Industry,Enery,Imported Fossil Fuels,Industrial,Not Applcable,Coal,2005,CH4,538372,160230
Yes,Yes,es,Industry,Energy,Other Fossil Feul Use,Industrifal,Not Applicable,Mscellaneous Petroleum Products,2000,O2,538567,538567
No,o,No,Excludeud,Enerngy,Imported Fossil Fuesl,Transportation,Bunker (Vessel),Residual Fuel,2007,CO2,538661,538661
Yes,Yes,Yes,Transporltation,Energy,Fuel Combustion,Transportation,Nonraod - Railroad,Distillate Fuel,2019,CO2,538765,538765
Yes,o,o,Buildings,Energy,Fuel ombustion,Commercial,Not Applicable,Wood***,2018,Bigoenic CO2,538821,538821
Yes,Yes,Yse,Transportaion,Energy,Fule Combustion,Transporation,Raoad,Gasoline,2012,N2zO,539198,608640
Yse,Yes,Yes,Buildings,nergy,Fuel Combustion,Commercial,Not Applicable,Coal,1992,O2,539638,539638
Yes,oN,No,Buildings,nergy,Fue lCombustion,Comemrcial,Not Applicable,Wood,2016,Biogenic CO2,540471,540471
Yes,No,No,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Wood,2017,Biogenic CO2,540780,540780
Ys,Yes,Yes,Inmdustry,IPPU,Metals,Aluminum,Not Applicable,Not Applicable,1995,PFCs,541155,816971
Yes,Ys,Yes,Transportation,Energy,Fuel Cobustion,Transportation,oad,Gasolien,1991,N2O,542023,611829
eYs,Yes,o,Electricity,Energy,Imporetd Fossil Fuels,Net Electriicty Imports,Not Applicable,Natural Gas,1994,C4H,542826,161555
Yes,Yes,o,Electrciity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Coal,2005,CH4,544030,161914
bYes,No,No,Trasportation,Energy,Fuel Combustion,Transportation,Road,Diesel,2011,Bigoenic CO2,544697,544697
Yes,No,No,Transporation,Energy,Fuel Combustihon,Transportation,Road,Diesel,2015,Biowgenic CO2,545305,545305
Yes,Yse,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Distilltae Fuel,1996,CO2,545874,545874
Yes,Yes,Yes,Transporttion,Energy,Fuel Combustion,Transportation,oad,Gasoliine,1990,N2O,546194,616537
Ypes,Yes,Yes,Buildings,Eneryg,Fuel Combustion,Residential,NotApplicable,Kersoene,2007,O2,546778,546778
Yes,No,o,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Wood,1992,vBiogenic CO2,549651,549651
Yes,Yse,Ybes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Caol,1991,OC2,550680,550680
Yes,Yes,Ys,Tfransportation,Energy,Fuel Combustion,Transportation,Nonroad - Markine/Boating,Gasolinne,2007,C2O,551123,551123
