334.address,302 E .6Th,302 E. 6Th
331.code,5-4I002,54-I002
314.boardpresident,John Dillinghm,John Dillingham
523.websiteurl,www.lhatt.cofm,www.lhatt.com
419.websiteurl,www.haileyville.k12.oek.us,www.haileyville.k12.ok.us
497.phone,580) 252-5392,(580) 252-5392
513.websiteurl,www.keuystonerangers.org,www.keystonerangers.org
322.countyname,MUSKOGEE    ***,MUSKOGEE    
113.fax,(580) 342-6436,(580) 342-6463
124.phone,(918) 367-5555***,(918) 367-5555
462.districtname,CATOOSA                      ,CATOOSA                       
197.statevalue,KO,OK
85.address,500 Jourdan Strete,500 Jourdan Street
300.phone,(5i80) 244-3333,(580) 244-3333
299.fax,(580) 8357420,(580) 835-7420
263.address,802 East Vilas Aveneu,802 East Vilas Avenue
99.superintendentsemail,jdaniel@cottonwoodpsw.org,jdaniel@cottonwoodps.org
187.city,Lavperne,Laverne
107.districtname,GEONIMO                      ,GERONIMO                      
384.address,2195 uAnderson Road,2195 Anderson Road
522.websiteurl,www.dbschool.org,www.dbcschool.org
255.fax,(405) 25-82657,(405) 258-2657
392.superintendent,ToddK imrey,Todd Kimrey
124.countyname,CREEK b      ,CREEK       
446.fax,(405y) 383-2449,(405) 383-2449
447.code,3-I117,63-I117
35.fax,(580) 296-2088***,(580) 296-2088
236.fax,(918) 465-36p56,(918) 465-3656
404.superintendentsemail,aven@oakgrove.k12.ok.us,javen@oakgrove.k12.ok.us
242.fax,(918) 65-7843,(918) 653-7843
405.districtname,RIPLEY                        ***,RIPLEY                        
344.websiteurl,ww.hardingfinearts.org,www.hardingfinearts.org
8.address,00 W Chincapin,500 W Chincapin
221.countyname,KAY  a       ,KAY         
42.statevalue,OnK,OK
216.districtname,APANUCKA                     ,WAPANUCKA                     
222.boardpresident,RussellCobb,Russell Cobb
138.fax,(918 )256-2128,(918) 256-2128
81.districtname,HULERT                       ,HULBERT                       
150.address,513  SMain,513 S Main
503.statevalue,wOK,OK
449.countyname,PUHSMATAHA  ,PUSHMATAHA  
140.fax,(918) 434-5652,(918) 434-6552
281.fax,918) 785-2491,(918) 785-2491
30.countyname,BLAIN      ,BLAINE      
211.superintendent,Davigd Duncan,David Duncan
143.statevalue,KO,OK
285.countyname,CMCLAIN     ,MCCLAIN     
288.phone,(40)5 449-3646,(405) 449-3646
5.address,"Rural Route 1, oBx 1795","Rural Route 1, Box 1795"
175.city,Aglex,Alex
522.code,72r-G004,72-G004
418.code,61-I0w02,61-I002
370.superintendentsemail,statum@k12.cmo,statum@k12.com
32.countyname,BRYAN      ,BRYAN       
7.city,Woatts,Watts
131.address,14 S. Elm,144 S. Elm
147.fax,(g580) 995-3101,(580) 995-3101
295.websiteurl,www.holliycreek.org,www.hollycreek.org
199.superintendentsemail,ctblas@stuart.k12.ok.us,tblas@stuart.k12.ok.us
46.code,80-I064,08-I064
150.city,Fxargo,Fargo
129.city,Oilotn,Oilton
223.websiteurl,www.dovezr.k12.ok.us,www.dover.k12.ok.us
103.superintendent,Hooward Hampton,Howard Hampton
435.countyname,POTTWATOMIE,POTTAWATOMIE
471.city,Wekwoka,Wewoka
498.city,Marlwo,Marlow
195.superintendentsemail,gturpin@lmoss.k12.ok.us,gturpin@moss.k12.ok.us
255.code,1-I001,41-I001
283.websiteurl,www.lg.k2.ok.us,www.lg.k12.ok.us
74.boardpresident,Tony Delmedcio,Tony Delmedico
215.superintendent,Jame Miller,James Miller
401.address,475 North Oak Streeot,475 North Oak Street
197.address,210 GrimesS treet,210 Grimes Street
395.superintendentsemail,tgrgay@wyandotte.k12.ok.us,tgray@wyandotte.k12.ok.us
90.address,700 Se First Stdreet,700 Se First Street
313.superintendent,Jtim Ogden,Jim Ogden
407.address,103 Sw N2d,103 Sw 2Nd
351.districtname,ASTEC CHARTESR                ,ASTEC CHARTERS                
173.code,26I002,26-I002
280.code,46-001,46-I001
555.address,01 Custer Rd,401 Custer Rd
227.city,aCshion,Cashion
143.superintendentsemail,scowaly@ridgerunners.net,scoaly@ridgerunners.net
118.superintendentsemail,sbaer@bluejacket.k12.ok.us,sbaker@bluejacket.k12.ok.us
273.superintendent,Roky Burchfield,Rocky Burchfield
549.superintendentsemail,jsparkhurst@lvaschools.net,jsparkhurst@alvaschools.net
381.phone,(918 )336-6804,(918) 336-6804
352.boardpresident,Kirk Hupmhries,Kirk Humphries
6.code,01-C02,01-C032
348.websiteurl,www.harpercharteschools.org,www.harpercharterschools.org
253.superintendentsemail,jturner@arkoma.k12.o.kus,jturner@arkoma.k12.ok.us
333.address,107 West Date Stret,107 West Date Street
391.phone,(918 242-3351,(918) 242-3351
48.websiteurl,http://cement.opsrc.nest/,http://cement.opsrc.net/
128.boardpresident,Jess Mcculluogh,Jess Mccullough
79.websiteurl,www.tenkillerd.k12.ok.us,www.tenkiller.k12.ok.us
170.city,Blanchabrd,Blanchard
310.code,49-I0g64,49-I064
431.superintendent,Cliff Johnsvon,Cliff Johnson
89.superintendent,Earl Dlake,Earl Dalke
