4846.geocodecitylevel,"Lovingtono, NM
(32.943949, -103.34988)","Lovington, NM
(32.943949, -103.34988)"
6992.typeofchangefulltext,Orphaned PSAP no longer considerde a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6935.geocodecitylevel,"Brawley, CA
(32.978688, -115.539429)***","Brawley, CA
(32.978688, -115.539429)"
2028.datelastmodified,1/27/2004,01/27/2004
2996.geocodecitylevel,"Sioux City, IA
(42.49632,3 -96.406436)","Sioux City, IA
(42.496323, -96.406436)"
6775.geocodecitylevel,"Suffield, CT
(41.983549, -2.663124)","Suffield, CT
(41.983549, -72.663124)"
5446.statevalue,Y,KY
8210.geocodecitylevel,"New Boston, MI
(42.162498l, -83.403099)","New Boston, MI
(42.162498, -83.403099)"
6999.psapname,RedL ake Indian Reservation Department Of Public Safety,Red Lake Indian Reservation Department Of Public Safety
8010.county,uBrke,Burke
4094.typeofchangefulltext,"PSAP Name, State, County or City text has bieen modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
7050.city,aPnguitch,Panguitch
5125.datelastmodified,6/05/2013,06/05/2013
1841.city,Pvueblo,Pueblo
2016.statevalue,A,MA
7043.typeofchangefulltext,No Changes have been amde.,No Changes have been made.
7573.psapname,Galion PoliceS tation,Galion Police Station
1324.typeofchangefulltext,No Changes hhave been made.,No Changes have been made.
827.statevalue,NI,IN
497.statevalue,cFL,FL
7662.county,Sahsta,Shasta
5569.datelastmodified,03/04/200g4,03/04/2004
8488.statevalue,OC,CO
8247.psapname,Kig Police Department,King Police Department
6840.psapname,Aberdeen Proving rGound,Aberdeen Proving Ground
5431.county,Stvens,Stevens
4720.city,Pairs,Paris
842.psapname,Topshm Police Department,Topsham Police Department
613.datelastmodified,03/04z/2004,03/04/2004
318.county,Casws,Cass
3983.city,Mtaeo,Mateo
3959.city,Westlakve,Westlake
4799.geocodecitylevel,"Floydada, TX
(33.98553,7 -101.337989)","Floydada, TX
(33.985537, -101.337989)"
5134.typeofchangefulltext,No Changes have eben made.,No Changes have been made.
6418.typeofchangefulltext,No Canges have been made.,No Changes have been made.
5504.city,Minnewuakan,Minnewaukan
2489.datelastmodified,e01/03/2008,01/03/2008
6085.psapname,mHancock R C C,Hancock R C C
2208.statevalue,A,LA
213.city,Bloopmfield,Bloomfield
394.county,arren,Warren
1238.datelastmodified,t05/15/2008,05/15/2008
3758.datelastmodified,03/04/2h004,03/04/2004
3599.county,Frsno,Fresno
6301.typeofchangefulltext,No Changesx have been made.,No Changes have been made.
4607.statevalue,A,LA
7711.city,Corcorna,Corcoran
6132.datelastmodified,12/0/2004,12/06/2004
4089.typeofchangefulltext,Nzo Changes have been made.,No Changes have been made.
511.psapname,Wabasha County Psp,Wabasha County Psap
1478.geocodecitylevel,"Rockledge, FL
(s28.324494, -80.717462)","Rockledge, FL
(28.324494, -80.717462)"
6794.geocodecitylevel,"Weir, S
(33.267309, -89.287898)","Weir, MS
(33.267309, -89.287898)"
3928.psapname,Rockbridge Regional Public Safety Communicatios Center,Rockbridge Regional Public Safety Communications Center
5528.statevalue,SK,KS
1752.typeofchangefulltext,o Changes have been made.,No Changes have been made.
7548.typeofchangefulltext,Orphaned PSAP no loger considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
2352.statevalue,V,WV
2541.county,Bergein,Bergen
3824.datelastmodified,03/04v/2004,03/04/2004
4924.county,Mcplean,Mclean
6110.psapname,Ra County 9-1-1,Ray County 9-1-1
4325.statevalue,LF,FL
5508.statevalue,J,NJ
7537.psapname,Carroll County 91-1,Carroll County 9-1-1
3392.statevalue,YN,NY
2719.statevalue,Y,KY
1781.geocodecitylevel,"Alexandria, LA
(31.2931, -92.4f63284)","Alexandria, LA
(31.2931, -92.463284)"
8437.statevalue,yWY,WY
7685.geocodecitylevel,"Lewis, IA
(41.306738, o-95.083458)","Lewis, IA
(41.306738, -95.083458)"
3275.geocodecitylevel,"Fayettevillie, TN
(35.152246, -86.570587)","Fayetteville, TN
(35.152246, -86.570587)"
4179.datelastmodified,03/04/2040,03/04/2004
4484.psapname,Denton Police tDepartment,Denton Police Department
3552.psapname,Ventura Police Departent,Ventura Police Department
7374.geocodecitylevel,"Oliver Springs, TN
(36.04475 ,-84.342355)","Oliver Springs, TN
(36.04475, -84.342355)"
137.geocodecitylevel,"Hazelwood, MO
(38.78r5254, -90.390119)","Hazelwood, MO
(38.785254, -90.390119)"
5403.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original poting.","PSAP Name, State, County or City text has been modified since the original posting."
8047.county,Palm Beahc,Palm Beach
2805.county,Broomne,Broome
316.city,fEfingham,Effingham
471.geocodecitylevel,"Salisbury, NC
(35.68328, -80.470993)","Salisbury, NC
(35.668328, -80.470993)"
6606.city,bEast Hampton,East Hampton
1614.datelastmodified,03/04/2040,03/04/2004
2040.datelastmodified,05/11/2061,05/11/2016
3884.datelastmodified,0p3/04/2004,03/04/2004
6908.statevalue,X,TX
6577.county,Tehaam,Tehama
1575.city,Middlesboor,Middlesboro
21.statevalue,zWI,WI
1822.statevalue,T,UT
1265.county,Isle OfW ight,Isle Of Wight
3413.city,Cadthlamet,Cathlamet
3621.typeofchangefulltext,Orphaned PSAP no longer conspidered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3574.geocodecitylevel,"Madison, GA
(33.595577, -83.468036)","Madison, GA
(33.595577, -83.468063)"
1345.typeofchangefulltext,No Cahnges have been made.,No Changes have been made.
1719.city,Forrest Citpy,Forrest City
6186.datelastmodified,030/4/2004,03/04/2004
1493.county,Le lFore,Le Flore
4187.psapname,Austin Police Deparment,Austin Police Department
1497.psapname,Rockpot Police,Rockport Police
4141.statevalue,A,CA
526.city,thol,Athol
3896.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filngs.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
163.geocodecitylevel,"Ballwin, MO
(38.595104, -9.544918)","Ballwin, MO
(38.595104, -90.544918)"
4003.county,aHrdeman,Hardeman
6573.datelastmodified,03/04/2h004,03/04/2004
8189.datelastmodified,03/04/200u4,03/04/2004
2678.typeofchangefulltext,"PSAP Name, Sttate, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2851.psapname,Lewisburg Police Deparbtment,Lewisburg Police Department
1011.typeofchangefulltext,Secondary PSAP associated with a Primar PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
3224.geocodecitylevel,"Eagle Butte, SD
(44.997029, -101.f233298)","Eagle Butte, SD
(44.997029, -101.233298)"
7888.statevalue,L,FL
6258.datelastmodified,f06/25/2016,06/25/2016
3335.psapname,Portageville Polic eDepartment,Portageville Police Department
594.statevalue,eWA,WA
5789.psapname,Egg Harbo City,Egg Harbor City
667.datelastmodified,03/04q/2004,03/04/2004
627.datelastmodified,m02/13/2016,02/13/2016
5982.typeofchangefulltext,No Changes have been mdae.,No Changes have been made.
2656.county,Washwington,Washington
4012.statevalue,cMA,MA
1745.psapname,Benton Cunty Sheriffs Office,Benton County Sheriffs Office
1206.city,Prescott***,Prescott
1576.typeofchangefulltext,No cChanges have been made.,No Changes have been made.
6151.psapname,Fort Smibth Ems 9-1-1,Fort Smith Ems 9-1-1
4669.typeofchangefulltext,No Chnges have been made.,No Changes have been made.
6533.typeofchangefulltext,No Changes have bee nmade.,No Changes have been made.
5123.city,Chicgo,Chicago
4563.datelastmodified,030/4/2004,03/04/2004
3507.typeofchangefulltext,"PSAP Name, State, County or City text has been modified sincfe the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
6145.county,Lnin,Linn
3924.county,Lews,Lewis
1096.statevalue,yIL,IL
3576.city,tS Joseph,St Joseph
6929.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answerng point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1987.geocodecitylevel,"Highwood, IL
(42.207067, -87.81699)","Highwood, IL
(42.207067, -87.811699)"
1758.geocodecitylevel,"Gustine, CA
(37.c256923, -121.001402)","Gustine, CA
(37.256923, -121.001402)"
1783.geocodecitylevel,"Port St Joe, FL
(29.809w569, -85.302483)","Port St Joe, FL
(29.809569, -85.302483)"
5122.datelastmodified,3/04/2004,03/04/2004
2838.geocodecitylevel,"Milldegeville, GA
(33.080242, -83.232058)","Milledgeville, GA
(33.080242, -83.232058)"
6999.geocodecitylevel,"Red Lake, MN
(47.876128, w-95.021182)","Red Lake, MN
(47.876128, -95.021182)"
2882.psapname,Csbu Fresno Police Department,Csu Fresno Police Department
5266.datelastmodified,03/04/204,03/04/2004
6140.datelastmodified,0t4/01/2010,04/01/2010
2404.county,annin,Fannin
4600.datelastmodified,04/14/201l4,04/14/2014
1048.psapname,William B mUstead State Park,William B Umstead State Park
7702.typeofchangefulltext,PSAP was added since the original posting of the FCCs Registry.,PSAP was added since the original posting of the FCC Registry.
1892.statevalue,AC,CA
3510.statevalue,CvA,CA
5896.city,Stneham,Stoneham
4083.statevalue,MnS,MS
981.county,avidson,Davidson
256.statevalue,pMI,MI
1895.geocodecitylevel,"Charlestown ,IN
(38.451347, -85.669154)","Charlestown, IN
(38.451347, -85.669154)"
4694.psapname,Houston Amblance Service,Houston Ambulance Service
1952.statevalue,sTX,TX
5436.county,Hayys,Hays
3142.geocodecitylevel,"Many, LA
(31.566976,h -93.479088)","Many, LA
(31.566976, -93.479088)"
4849.geocodecitylevel,"Weston, CT
(41i.200939, -73.380701)","Weston, CT
(41.200939, -73.380701)"
1102.datelastmodified,04/30/204,04/30/2004
4567.psapname,Cnarmel Police Department,Carmel Police Department
4989.datelastmodified,03/40/2004,03/04/2004
7967.city,Vremillion,Vermillion
5529.city,tAmore,Atmore
6542.city,East Oragne,East Orange
3919.datelastmodified,04/192/010,04/19/2010
7950.county,Tularye,Tulare
1026.typeofchangefulltext,No Changes have bene made.,No Changes have been made.
1086.statevalue,OpH,OH
5158.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use th Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
6637.psapname,Smihfield Police Communications,Smithfield Police Communications
8060.city,Fallorn,Fallon
1303.psapname,pFranklin Police,Franklin Police
5674.datelastmodified,03/042/004,03/04/2004
1209.statevalue,YN,NY
5385.datelastmodified,3/04/2004,03/04/2004
3349.datelastmodified,03/4/2004,03/04/2004
7188.county,Mooyd,Moody
6856.county,Faquuier,Fauquier
4414.geocodecitylevel,"Bryan, TX
30.670524, -96.370542)","Bryan, TX
(30.670524, -96.370542)"
6252.city,Old Orchard Beahc,Old Orchard Beach
8413.county,Oklahohma,Oklahoma
6816.psapname,ranby Police,Granby Police
4140.typeofchangefulltext,Orphaned PSAP no longer considered a primry call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
4131.psapname,Allen Polirce Department,Allen Police Department
6458.typeofchangefulltext,"PSAP Name, State, County or City text hasb een modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1986.typeofchangefulltext,No Chagnes have been made.,No Changes have been made.
4414.psapname,Brazos County cd Office,Brazos County Ecd Office
2965.typeofchangefulltext,Orphaned PSAP no longer consiedred a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6171.psapname,Mayville Public Safety,Maryville Public Safety
7245.datelastmodified,1v1/24/2008,11/24/2008
4955.typeofchangefulltext,No Changes have been mande.,No Changes have been made.
2657.datelastmodified,1j1/06/2013,11/06/2013
7765.datelastmodified,07/12/2031,07/12/2013
510.psapname,Us Navy Washngton Naval Yard Rdc,Us Navy Washington Naval Yard Rdc
6907.county,Trrigg,Trigg
7418.county,Crawfjord,Crawford
4052.datelastmodified,10p/10/2014,10/10/2014
2616.statevalue,D,SD
6564.county,iKngs,Kings
8415.statevalue,I,RI
6086.city,Holly Sprinsg,Holly Springs
6448.psapname,Sellersnburg Police,Sellersburg Police
5745.geocodecitylevel,"Durham, NC(35.996948, -78.899023)","Durham, NC
(35.996948, -78.899023)"
2542.city,Gardoen City,Garden City
4831.county,Ndoaway,Nodaway
7358.county,Laburel,Laurel
8332.psapname,Milford Fiare Department,Milford Fire Department
853.psapname,Carrll County Department Of Public Safety,Carroll County Department Of Public Safety
5289.geocodecitylevel,"Greeneville, TN
(36.m162235, -82.831451)","Greeneville, TN
(36.162235, -82.831451)"
6029.statevalue,AG,GA
3474.datelastmodified,03/04/0204,03/04/2004
5326.county,Dval,Duval
4524.typeofchangefulltext,No Changes hav ebeen made.,No Changes have been made.
7444.geocodecitylevel,"New City, NY
(41.147418, -73g.989429)","New City, NY
(41.147418, -73.989429)"
2261.datelastmodified,08/07/20m13,08/07/2013
7597.statevalue,J,NJ
2568.typeofchangefulltext,Orphaned PSAP no longer considered a primary clal taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1097.statevalue,KO,OK
3212.city,Baidr,Baird
4503.datelastmodified,03/4/2004,03/04/2004
5986.statevalue,NT,TN
6573.typeofchangefulltext,No Changes haveo been made.,No Changes have been made.
7915.geocodecitylevel,"Crow Agency,g MT
(45.601525, -107.46135)","Crow Agency, MT
(45.601525, -107.46135)"
2016.county,Essxex,Essex
4158.geocodecitylevel,"Sussex, VA
(36.91p354, -77.281669)","Sussex, VA
(36.91354, -77.281669)"
3525.county,Whitesiyde,Whiteside
7992.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original ptosting.","PSAP Name, State, County or City text has been modified since the original posting."
3058.datelastmodified,1/08/2004,12/08/2004
5075.datelastmodified,05/032/013,05/03/2013
1522.typeofchangefulltext,No Changes fhave been made.,No Changes have been made.
7910.geocodecitylevel,"Wayne, MI
(42.28z0849, -83.3838)","Wayne, MI
(42.280849, -83.3838)"
266.datelastmodified,04/30/h2004,04/30/2004
135.statevalue,ZA,AZ
5843.datelastmodified,03/v10/2011,03/10/2011
1757.city,Evllijay,Ellijay
3735.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in futuer filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
7873.datelastmodified,12/30/2004,12/03/2004
2791.datelastmodified,12/15/206,12/15/2016
591.typeofchangefulltext,PSAP was added ince the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
147.geocodecitylevel,"Malmstrom Af,b MT
(47.509384, -111.190689)","Malmstrom Afb, MT
(47.509384, -111.190689)"
1696.statevalue,JN,NJ
7744.psapname,Marion County Sheriffvs Department,Marion County Sheriffs Department
3379.statevalue,X,TX
2355.city,Decatru,Decatur
1578.city,Yok,York
5625.county,ock,Rock
6693.geocodecitylevel,"Kelso, WA
(46.14463, 122.911411)","Kelso, WA
(46.14463, -122.911411)"
5116.city,edford,Medford
3279.datelastmodified,03/d04/2004,03/04/2004
8098.statevalue,MfS,MS
5807.psapname,SaddleB rook Police Department,Saddle Brook Police Department
8106.psapname,St Martin Parish Sheriff sOffice,St Martin Parish Sheriffs Office
4508.geocodecitylevel,"Yadiknville, NC
(36.134498, -80.659648)","Yadkinville, NC
(36.134498, -80.659648)"
4675.typeofchangefulltext,No Changesw have been made.,No Changes have been made.
6043.city,Fremnot,Fremont
7078.county,Moroe,Monroe
72.county,Yukon-koyukuk Censsu Area,Yukon-koyukuk Census Area
3195.county,Middletsex,Middlesex
5042.typeofchangefulltext,No Changes have een made.,No Changes have been made.
7493.typeofchangefulltext,PSAP was added since the original postin gof the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
1973.typeofchangefulltext,Orphaned PSAP no longer considreed a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
4130.typeofchangefulltext,No Changes haev been made.,No Changes have been made.
6700.typeofchangefulltext,No Changes havebeen made.,No Changes have been made.
486.city,Aurra,Aurora
5554.psapname,North Platte Police Departmet/ Lincoln County,North Platte Police Department/ Lincoln County
7477.geocodecitylevel,"Minocua, WI
(44.211003, -88.437881)***","Minocua, WI
(44.211003, -88.437881)"
6663.datelastmodified,03/04/2s004,03/04/2004
5308.statevalue,O,CO
190.psapname,York PD,York P D
7080.typeofchangefulltext,No Chanes have been made.,No Changes have been made.
3632.typeofchangefulltext,No Changes havel been made.,No Changes have been made.
4681.geocodecitylevel,"Lincoln, IL
(40.148571 ,-89.365188)","Lincoln, IL
(40.148571, -89.365188)"
1237.psapname,Berkeley Police Departmet,Berkeley Police Department
2462.county,Lgoan,Logan
1091.datelastmodified,90/24/2008,09/24/2008
1162.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from usinkg these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
2920.psapname,New Kent County Sherifs Office,New Kent County Sheriffs Office
3748.psapname,Us Air Forec Travis Afb,Us Air Force Travis Afb
5715.city,Elizaebthtown,Elizabethtown
5401.county,Morgna,Morgan
3707.city,Nvorth Providence,North Providence
1158.datelastmodified,03/0/2004,03/04/2004
2056.psapname,Colliervlle Police,Collierville Police
3060.datelastmodified,030/4/2004,03/04/2004
7060.statevalue,cKS,KS
2120.datelastmodified,04/272010,04/27/2010
3977.psapname,White River iTribal Police,White River Tribal Police
5010.statevalue,V,NV
6638.psapname,Us Navy Nwsm Yorktown Ldc,Us Navy Nws Yorktown Ldc
6490.geocodecitylevel,"Losg Angeles, CA
(34.052238, -118.243344)","Los Angeles, CA
(34.052238, -118.243344)"
4165.county,Fairfeld,Fairfield
8049.datelastmodified,07/2/2017,07/24/2017
7841.county,Prekble,Preble
4615.psapname,Brookhaven Police Depatrment,Brookhaven Police Department
4610.county,Oklaoma,Oklahoma
8032.county,Val Vrede,Val Verde
7871.typeofchangefulltext,No Changes have cbeen made.,No Changes have been made.
4035.psapname,Campbell CountySheriffs Office,Campbell County Sheriffs Office
6249.geocodecitylevel,"Vestava, AL
(33.467598, -86.807899)","Vestavia, AL
(33.467598, -86.807899)"
6851.typeofchangefulltext,"PSAP Name, State,County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1263.psapname,Van Buren Couty Central Dispatch,Van Buren County Central Dispatch
4962.geocodecitylevel,"ayce, SC
(33.961486, -81.080225)","Cayce, SC
(33.961486, -81.080225)"
2365.statevalue,A,GA
3555.county,Conecuuh,Conecuh
6413.statevalue,NyD,ND
4297.county,eschutes,Deschutes
6856.geocodecitylevel,"Warrenton, VA
(38.7c13842, -77.795561)","Warrenton, VA
(38.713842, -77.795561)"
5179.county,wMountrail,Mountrail
4834.typeofchangefulltext,No Changes lhave been made.,No Changes have been made.
4302.psapname,Detroit Tcu,Detroit Tcru
6085.city,Ellswrth,Ellsworth
4301.typeofchangefulltext,"PSAP Name, Statte, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2706.city,Ne Lenox,New Lenox
1171.datelastmodified,03/04/0204,03/04/2004
4228.statevalue,KO,OK
2364.datelastmodified,03/0w4/2011,03/04/2011
2825.county,Brgen,Bergen
6901.city,aSnford,Sanford
1609.county,Dwistrict Of Columbia,District Of Columbia
4359.psapname,Ionia County Centrail Dispatch,Ionia County Central Dispatch
8277.typeofchangefulltext,No Changesh ave been made.,No Changes have been made.
4485.statevalue,ShC,SC
143.geocodecitylevel,"Alton, TX
(26.2u8708, -98.313631)","Alton, TX
(26.28708, -98.313631)"
3394.datelastmodified,01/23/2090,01/23/2009
3451.psapname,Perry County 9--1,Perry County 9-1-1
6077.city,aGlesburg,Galesburg
2859.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original postinxg.","PSAP Name, State, County or City text has been modified since the original posting."
5091.statevalue,D,SD
7450.psapname,Sumner County Sheriffs Ofifce,Sumner County Sheriffs Office
7550.statevalue,CD,DC
3136.typeofchangefulltext,"PSAP Name, Sttae, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1156.geocodecitylevel,"Chestertown, MD
(39.211199 -76.06576)","Chestertown, MD
(39.211199, -76.06576)"
5033.county,Franbklin,Franklin
6158.datelastmodified,03g/04/2004,03/04/2004
3008.statevalue,IhL,IL
5807.statevalue,NwJ,NJ
4242.statevalue,SK,KS
1630.city,lAameda,Alameda
6400.city,Peteersburg,Petersburg
2046.city,Canotn,Canton
6215.statevalue,X,TX
7482.datelastmodified,08/15/2071,08/15/2017
4135.psapname,Livingston Police Deparment,Livingston Police Department
1704.geocodecitylevel,"Boulder, COr
(40.015831, -105.27927)","Boulder, CO
(40.015831, -105.27927)"
7919.county,Ulnion,Union
1806.geocodecitylevel,"Lafayett,e LA
(30.22126, -92.018773)","Lafayette, LA
(30.22126, -92.018773)"
4974.statevalue,S,KS
5126.statevalue,TC,CT
3705.city,Matawn,Matawan
2442.psapname,East Providmence Police Fire And Rescue Department,East Providence Police Fire And Rescue Department
4528.typeofchangefulltext,Secondary PSAP associated with a Pimary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
5127.geocodecitylevel,"Fontana CA
(34.102893, -117.435765)","Fontana, CA
(34.102893, -117.435765)"
7514.datelastmodified,05/052014,05/05/2014
7293.city,Homerviille,Homerville
491.geocodecitylevel,"Orofino, ID
(6.480519, -116.257495)","Orofino, ID
(46.480519, -116.257495)"
2142.datelastmodified,05/31/2070,05/31/2007
1915.county,Sclott,Scott
6712.geocodecitylevel,"Augsuta, GA
(33.472494, -81.964397)","Augusta, GA
(33.472494, -81.964397)"
7508.psapname,Gunison Communications Center,Gunnison Communications Center
6031.psapname,Ripo nPolice Department,Ripon Police Department
5418.city,Cmpbell,Campbell
2631.geocodecitylevel,"Libertyville, IpL
(42.282996, -87.953339)","Libertyville, IL
(42.282996, -87.953339)"
3450.datelastmodified,09/15/2050,09/15/2005
2415.city,Welington,Wellington
1681.county,Irwni,Irwin
7753.psapname,Ozaukree County Sheriff,Ozaukee County Sheriff
3802.geocodecitylevel,"Rensselaer,i IN
(40.93654, -87.150735)","Rensselaer, IN
(40.93654, -87.150735)"
8258.psapname,Columbia City Policde Department,Columbia City Police Department
1690.city,egaunee,Negaunee
3472.city,Fremnot,Fremont
1233.county,Madson,Madison
2884.city,Carrollton***,Carrollton
2735.datelastmodified,03/04/201g0,03/04/2010
5971.statevalue,O,CO
6495.geocodecitylevel,"Alexandria, MNh
(45.889471, -95.377529)","Alexandria, MN
(45.889471, -95.377529)"
7653.city,Belmofnt,Belmont
334.psapname,Yolo Emergency Communcations Agency Yeca (woodland),Yolo Emergency Communications Agency Yeca (woodland)
4942.county,olk,Polk
6216.geocodecitylevel,"Franklin Township, NJ
(40.504299, -74.508)4","Franklin Township, NJ
(40.504299, -74.5084)"
2710.typeofchangefulltext,uNo Changes have been made.,No Changes have been made.
6271.geocodecitylevel,"Shenandoah, IA
(40.76598, -95.373851)","Shenandoah, IA
(40.765985, -95.373851)"
7088.datelastmodified,0/04/2004,03/04/2004
6951.datelastmodified,w03/04/2004,03/04/2004
5685.psapname,Gilecs County 9-1-1,Giles County 9-1-1
1549.statevalue,AC,CA
4856.city,Southury,Southbury
1440.county,Brunsswick,Brunswick
7677.datelastmodified,06/50/2009,06/05/2009
2124.typeofchangefulltext,No Changes have been ade.,No Changes have been made.
4828.city,Atyhens,Athens
559.county,Whitldey,Whitley
6551.geocodecitylevel,"Roctklin, CA
(38.792326, -121.23981)","Rocklin, CA
(38.792326, -121.23981)"
6710.statevalue,AV,VA
5813.statevalue,S,KS
7740.typeofchangefulltext,No Changes have bene made.,No Changes have been made.
5102.datelastmodified,03/04/20s04,03/04/2004
5868.statevalue,vNJ,NJ
5278.psapname,Lawrence Polce Department,Lawrence Police Department
7810.statevalue,NI,IN
1119.statevalue,AC,CA
2384.city,Desotto,Desoto
6559.geocodecitylevel,"Dublin, OH
p(40.099562, -83.113812)","Dublin, OH
(40.099562, -83.113812)"
7548.county,Broawrd,Broward
3551.city,Hummboldt,Humboldt
5298.county,Mcdowlell,Mcdowell
6749.county,Robrtson,Robertson
8107.psapname,Eulses Police Department,Euless Police Department
2504.county,St.Louis,St. Louis
2277.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since th original posting.","PSAP Name, State, County or City text has been modified since the original posting."
7046.psapname,Brady PoliceDepartment,Brady Police Department
5353.psapname,BourbonC ounty Sheriffs Office,Bourbon County Sheriffs Office
1366.city,Houstno,Houston
1659.city,Waynkesville,Waynesville
8132.datelastmodified,10/08/208,10/08/2008
6710.datelastmodified,01/03/005,01/03/2005
313.statevalue,X,TX
2014.county,Bervard,Brevard
5352.statevalue,fIL,IL
1092.datelastmodified,03/40/2004,03/04/2004
2282.psapname,Mchenr Police Department,Mchenry Police Department
4474.psapname,Saguvache County Sheriffs Office,Saguache County Sheriffs Office
5510.psapname,San Bernarino Police Department,San Bernardino Police Department
225.geocodecitylevel,"Christiansburg, VA
(37.141026, -80.40951)","Christiansburg, VA
(37.141026, -80.401951)"
122.county,Elis,Ellis
2874.geocodecitylevel,"West Olive,M I
(42.921398, -86.1464)","West Olive, MI
(42.921398, -86.1464)"
4683.datelastmodified,08/19/2106,08/19/2016
7034.psapname,BereaPolice Department,Berea Police Department
2216.datelastmodified,09/09/2104,09/09/2014
4346.statevalue,AG,GA
4137.psapname,Newcastle Police eDpartment,Newcastle Police Department
2140.geocodecitylevel,"Port Huron MI
(42.975041, -82.424522)","Port Huron, MI
(42.975041, -82.424522)"
210.city,Marshawll,Marshall
927.county,Middlesxe,Middlesex
6517.geocodecitylevel,"Brimle, MI
(46.404026, -84.572214)","Brimley, MI
(46.404026, -84.572214)"
770.typeofchangefulltext,No Changes have been ade.,No Changes have been made.
992.county,Wrocester,Worcester
8478.county,Warrlen,Warren
5815.city,Blacksotne,Blackstone
3116.statevalue,dWI,WI
3050.datelastmodified,122/2/2010,12/22/2010
7518.city,Spirngfield,Springfield
5138.typeofchangefulltext,Orphaned PSAP no longer coensidered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3155.city,Ellsorth,Ellsworth
3933.statevalue,wGA,GA
1507.city,Branfod,Branford
8317.county,Rutwherford,Rutherford
2947.psapname,Chp Hq (sacramentto),Chp Hq (sacramento)
2297.typeofchangefulltext,No Changes haveb een made.,No Changes have been made.
8081.city,Indmianapolis,Indianapolis
4140.statevalue,O,CO
7294.city,Bloivar,Bolivar
5744.typeofchangefulltext,Orphaned PSAP no longer considereda  primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
5739.geocodecitylevel,"Kearneysville, WV
(9.3881, -77.885803)","Kearneysville, WV
(39.3881, -77.885803)"
6136.statevalue,YK,KY
2854.city,omerton,Somerton
3890.geocodecitylevel,"eridian, MS
(32.365044, -88.702527)","Meridian, MS
(32.365044, -88.702527)"
7614.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filnigs.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
2457.city,dBoxborough,Boxborough
302.county,Nomble,Noble
2543.psapname,Montgomery Conuty Sheriffs Office,Montgomery County Sheriffs Office
7258.datelastmodified,03/04/204,03/04/2004
2482.county,Cliaborne,Claiborne
8105.datelastmodified,03/042/004,03/04/2004
1269.county,Sonomza,Sonoma
