243.co,40-I16,40-I016
235.boardpresident,Cassey rake,Cassey Drake
105.city,Stenrling,Sterling
18.website,http://tushkak.12.ok.us,http://tushka.k12.ok.us
401.boardpresident,Suzanne Speaxrs,Suzanne Spears
546.superintendent,Larry aPrrish,Larry Parrish
334.distname,GRAHA-MDUSTIN                 ,GRAHAM-DUSTIN                 
263.superintendent,Dr. Miek Simpson,Dr. Mike Simpson
517.superintendentemail,elsie@tulsahonoracadwemy.org,elsie@tulsahonoracademy.org
206.superintendent,Marcus Chpaman,Marcus Chapman
442.website,www.tecmseh.k12.ok.us,www.tecumseh.k12.ok.us
331.coname,OFKUSKEE    ,OKFUSKEE    
454.distname,LEEDcEY                        ,LEEDEY                        
251.address,35069o St Hwy 63,35069 St Hwy 63
75.superintendent,EmmettThompson,Emmett Thompson
150.city,Arett,Arnett
121.superintendent,Jeffk Taylor,Jeff Taylor
347.distname,OKC CHARTER: LIGHHTOUSE OKC   ,OKC CHARTER: LIGHTHOUSE OKC   
487.phone,(918)7 75-2236,(918) 775-2236
199.phone,(580) 482-s7742,(580) 482-7742
535.co,27-I014,72-I014
350.phone,(405) 87-8100,(405) 587-8100
469.co,67-I01,67-I001
542.superintendent,Rcik Peters,Rick Peters
24.coname,BECzKHAM     ,BECKHAM     
149.address,513S Main,513 S Main
475.co,67I-010,67-I010
467.statevalue,KO,OK
245.coname,L FLORE    ,LE FLORE    
382.coname,OSAGE     x  ,OSAGE       
237.statevalue,KO,OK
227.address,63 West Oklahoma Avenue,632 West Oklahoma Avenue
93.website,www.mooreschoolsl.com,www.mooreschools.com
351.statevalue,kOK,OK
30.coname,BLAIN E     ,BLAINE      
271.co,44-I001***,44-I001
198.co,2-I054,32-I054
490.superintendent,Larry G. enson,Larry G. Henson
451.superintendentemail,rerwn@clayton.k12.ok.us,rerwin@clayton.k12.ok.us
185.phone,(b580) 688-3450,(580) 688-3450
502.boardpresident,Mik eRay,Mike Ray
486.fax,(981) 427-6088,(918) 427-6088
67.boardpresident,Suzanne Godoe,Suzanne Goode
439.address,36000 Clea Pond Road,36000 Clear Pond Road
27.website,http://www.erickps.k2.ok.us/,http://www.erickps.k12.ok.us/
283.superintendent,KennyMason,Kenny Mason
466.website,www.foyil.k12.ok.zus,www.foyil.k12.ok.us
337.distname,OKC CHARTER: INDEyPENDENCE MS  ,OKC CHARTER: INDEPENDENCE MS  
232.statevalue,K,OK
414.phone,(918) 42-6265,(918) 423-6265
149.boardpresident,Lindse ySchneider,Lindsey Schneider
147.website,www.seilng.k12.ok.us,www.seiling.k12.ok.us
349.website,www.asteccharterschool.scom,www.asteccharterschools.com
467.website,www.vps.k12.o.kus,www.vps.k12.ok.us
119.superintendent,Tracei Hale,Tracie Hale
434.phone,(05) 275-7435,(405) 275-7435
12.phone,(580)5 96-3391,(580) 596-3391
2.coname,DAIR       ,ADAIR       
459.statevalue,KO,OK
103.fax,(580) 49-3271,(580) 429-3271
190.fax,(918) 768l-3221,(918) 768-3221
57.superintendent,W. Jaon Simeroth,W. Jason Simeroth
256.coname,LINCOLyN     ,LINCOLN     
311.statevalue,KO,OK
544.superintendent,Jason Gostree,Jason Goostree
30.website,http://www.gearyschovols.org/,http://www.gearyschools.org/
300.address,601 School treet,601 School Street
490.boardpresident,Daomn Tucker,Damon Tucker
530.superintendent,rBian Beagles,Brian Beagles
201.distname,ALTUS                        ,ALTUS                         
482.address,475751 State Higway 101,475751 State Highway 101
330.superintendentemail,masonsupt@mason.k1.2ok.us,masonsupt@mason.k12.ok.us
166.address,702 East Rober S. Kerr Boulevard,702 East Robert S. Kerr Boulevard
308.city,Counicl Hill,Council Hill
357.distname,EDMOND                        ***,EDMOND                        
405.website,www.swtillwaterschools.com,www.stillwaterschools.com
270.city,Maritta,Marietta
328.city,South offeyville,South Coffeyville
425.superintendent,Rnady Hughes,Randy Hughes
383.superintendentemail,bbanker@anderosntrojans.org,bbanker@andersontrojans.org
481.superintendentemail,grenolds@brushy.k12.ok.us,greynolds@brushy.k12.ok.us
261.superintendent,Alicia O'donell,Alicia O'donnell
359.superintendent,Joe Kitchekns,Joe Kitchens
194.co,32-I010,32-I001
87.superintendentemail,soperschool@live.ocm,soperschool@live.com
228.coname,rKIOWA       ,KIOWA       
401.fax,(918) 762-2740,(918) 762-2704
414.address,11416 West State Hwy 31,11461 West State Hwy 31
246.phone,(9t18) 969-2491,(918) 969-2491
442.superintendent,om Wilsie,Tom Wilsie
512.distname,KEYSTONE                      ***,KEYSTONE                      
473.phone,(405) 527-5771,(405) 257-5771
284.statevalue,K,OK
247.superintendentemail,gralls@bokdoshe.k12.ok.us,gralls@bokoshe.k12.ok.us
3.superintendent,Aicia Ketcher,Alicia Ketcher
390.coname,OSAGE      ,OSAGE       
513.city,Tbulsa,Tulsa
239.fax,(918) 659-2725,(918) 659-2275
143.website,www.kasasps.com,www.kansasps.com
233.distname,RED OAK                       ***,RED OAK                       
211.superintendent,Lorinda Cahncellor,Lorinda Chancellor
174.statevalue,KO,OK
471.website,www.bowlegs.k1.ok.us,www.bowlegs.k12.ok.us
57.city,Yukocn,Yukon
291.coname,MCCURTAIN  ,MCCURTAIN   
25.superintendent,Rick Garriosn,Rick Garrison
126.fax,(91)8 352-4379,(918) 352-4379
173.coname,GRADY    r   ,GRADY       
290.phone,(580) 286-961,(580) 286-3961
304.distname,RYAL                         ,RYAL                          
314.phone,918) 478-2474,(918) 478-2474
22.coname,BEAVER      ***,BEAVER      
473.city,Wewhoka,Wewoka
422.distname,CROWDR                       ,CROWDER                       
301.superintendentemail,efberts@battiest.k12.ok.us,eberts@battiest.k12.ok.us
351.address,5401 Northwest 40Th Strevet,5401 Northwest 40Th Street
259.address,214 East CarlHubbell Boulevard,214 East Carl Hubbell Boulevard
172.statevalue,KO,OK
480.superintendent,Biill London,Bill London
212.address,1300 ast Main Street,1300 East Main Street
161.co,25-I02,25-I002
144.superintendent,Bud Simmons***,Bud Simmons
253.fax,(918) 8753353,(918) 875-3353
279.address,521 Se 1St Sdt.,521 Se 1St St.
278.superintendentemail,dpullen@osgeelementary.com,dpullen@osageelementary.com
405.phone,(405) 533-63j00,(405) 533-6300
416.statevalue,K,OK
6.fax,(98) 696-7240,(918) 696-7240
494.superintendentemail,gcoffman@marlow.k12o.k.us,gcoffman@marlow.k12.ok.us
241.distname,HAVENER                      ,HEAVENER                      
184.city,Granitae,Granite
42.statevalue,OiK,OK
193.website,http://www.keota.k12.ok.us/***,http://www.keota.k12.ok.us/
196.co,2-I035,32-I035
365.co,55-K001***,55-K001
113.city,Randeltt,Randlett
247.boardpresident,Max Caruver,Max Carver
371.distname,TWIN HILLS    z                ,TWIN HILLS                    
347.phone,405) 600-7038,(405) 600-7038
500.superintendentemail,steve.baidr@straight.k12.ok.us,steve.baird@straight.k12.ok.us
121.boardpresident,Wesley Fishre,Wesley Fisher
254.website,http://www.whiterck.k12.ok.us,http://www.whiterock.k12.ok.us
288.statevalue,OnK,OK
250.phone,t(918) 567-2259,(918) 567-2259
502.co,7t0-I008,70-I008
302.boardpresident,Tim Moeyr,Tim Moyer
205.fax,(580) 437-246,(580) 437-2246
482.co,68-C005,68-C050
429.city,Aad,Ada
123.phone,(918) 3675555,(918) 367-5555
358.city,Oklahoma Citay,Oklahoma City
165.phone,(405) 238-645k3,(405) 238-6453
55.fax,(405) 22-5651,(405) 262-5651
141.statevalue,K,OK
513.statevalue,KO,OK
297.phone,(580) 933-732,(580) 933-7232
101.superintendent,Dx Trent,Dax Trent
300.boardpresident,Randy Wadtkins,Randy Watkins
470.distname,WEWOKA                        ***,WEWOKA                        
378.city,Henrmyetta,Henryetta
514.statevalue,K,OK
419.coname,PITTSBURG g  ,PITTSBURG   
333.boardpresident,Jena Waylanxd,Jena Wayland
493.phone,(58)0 439-2900,(580) 439-2900
23.website,http://wwwn.turpinps.org,http://www.turpinps.org
421.address,900 Suth Hwy 113,900 South Hwy 113
25.superintendentemail,garrisonr@elkityschools.com,garrisonr@elkcityschools.com
231.distname,SNDYER                        ,SNYDER                        
317.superintendentemail,ike.Garde@mpsi20.org,Mike.Garde@mpsi20.org
108.coname,CMOANCHE    ,COMANCHE    
159.fax,(58)0 864-7644,(580) 864-7644
226.boardpresident,Eaerl Ogletree,Earl Ogletree
170.superintendent,Mike Spraks,Mike Sparks
216.fax,(580) 36-3970,(580) 362-3970
125.website,jhttp://www.moundsps.com,http://www.moundsps.com
357.statevalue,kOK,OK
443.fax,(40) 273-6818,(405) 273-6818
10.phone,(918) 775-3264,(918) 775-2364
158.fax,(580 )493-2273,(580) 493-2273
281.city,alina,Salina
72.fax,(918) 458-0674,(918) 458-0647
124.superintendent,Steve Wldvogel,Steve Waldvogel
259.superintendent,Jeffrey S. Prjuitt,Jeffrey S. Pruitt
316.fax,(918) 687-074,(918) 687-0074
545.fax,(580)m 562-4847,(580) 562-4847
432.co,62-I37,62-I037
400.superintendentemail,cballengeyr@jennings.k12.ok.us,cballenger@jennings.k12.ok.us
253.city,Akroma,Arkoma
412.address,485 Frikn Rd,485 Frink Rd
413.coname,PITTSBURG   ***,PITTSBURG   
509.fax,(580) 568-2129,(580) 568-2219
23.superintendentemail,kcuster@turipnps.org,kcuster@turpinps.org
110.fax,(580) 597-3344***,(580) 597-3344
12.address,412 East 5Th Stret,412 East 5Th Street
254.phone,(405 964-3428,(405) 964-3428
245.website,thtp://www.panama.k12.ok.us/,http://www.panama.k12.ok.us/
29.coname,BLAINE   j   ,BLAINE      
531.distname,UNION                        ,UNION                         
508.phone,(580) 66-5268,(580) 667-5268
252.distname,HOWE                         ,HOWE                          
29.address,1021 N. eWigle,1021 N. Weigle
264.address,106 North aMgnolia St,106 North Magnolia St
229.fax,(580) 846-5h266,(580) 846-5266
232.coname,LAITMER     ,LATIMER     
325.statevalue,K,OK
374.boardpresident,Jery Webster,Jerry Webster
234.distname,BUFFAL VALLEY                ,BUFFALO VALLEY                
483.phone,(918)8 75-3668,(918) 875-3668
526.distname,BIXBY                        ,BIXBY                         
85.statevalue,ObK,OK
520.fax,(m918) 834-3352,(918) 834-3352
511.co,71-I29,71-I249
351.superintendent,Fred Rhodoes,Fred Rhodes
85.address,604 N. Th St.,604 N. 7Th St.
447.superintendentemail,CLYNNUBLLARDSUPT@HOTMAIL.COM,CLYNNBULLARDSUPT@HOTMAIL.COM
425.address,200 East Adoams,200 East Adams
241.boardpresident,Danny Yanedll,Danny Yandell
348.city,Okahoma City,Oklahoma City
467.address,26501 S 4110 Rd.,26501 S. 4110 Rd.
540.boardpresident,Sahne Cameron,Shane Cameron
460.website,clearemore.k12.ok.us,claremore.k12.ok.us
277.boardpresident,StephanieB eck,Stephanie Beck
60.website,http://www.mustagps.org,http://www.mustangps.org
456.fax,(58)0 497-3373,(580) 497-3373
140.statevalue,KO,OK
403.boardpresident,isa Gomez,Lisa Gomez
431.boardpresident,Linda Townysend,Linda Townsend
384.superintendent,MooreBeverly,Moore Beverly
501.website,http://www.yarbrough.k12o.k.us,http://www.yarbrough.k12.ok.us
364.co,55J-001,55-J001
360.statevalue,OoK,OK
107.website,www.lawptonps.org,www.lawtonps.org
424.address,200 est Grand,200 West Grand
425.boardpresident,tSephanie Giacomo,Stephanie Giacomo
254.address,334998 East 101k0 Road,334998 East 1010 Road
431.fax,(580) 265-536,(580) 265-4536
421.city,ndianola,Indianola
390.distname,PUE                          ,PRUE                          
483.fax,(918) 875-3021,(918) 875-3201
504.superintendentemail,dfaulkne@hookerpublicschools.net,dfaulkner@hookerpublicschools.net
366.statevalue,OxK,OK
516.distname,UTLSA CHARTER: COLLEGE BOUND  ,TULSA CHARTER: COLLEGE BOUND  
501.address,8 Mi S On Hwy 5,8 Mi S On Hwy 95
429.boardpresident,odd Boone,Todd Boone
304.co,49-003,49-C003
305.address,1130v74 S 4110 Rd ,113074 S 4110 Rd 
242.boardpresident,Laur aPitsco,Laura Pitsco
506.fax,(50) 349-2531,(580) 349-2531
430.superintendent,liff Johnson,Cliff Johnson
300.superintendent,David Hakwins,David Hawkins
314.fax,(91)8 478-8533,(918) 478-8533
459.boardpresident,Robyn Dnnis,Robyn Dennis
121.phone,(91a8) 224-4952,(918) 224-4952
199.boardpresident,Wyane Cain,Wayne Cain
492.distname,DUNCAN                        ***,DUNCAN                        
333.statevalue,K,OK
45.boardpresident,Charlote Myers,Charlotte Myers
313.fax,(918) 482-3436,(918) 482-3346
419.city,Kioaw,Kiowa
310.superintendentemail,gary.jones@sulphurwk12.org,gary.jones@sulphurk12.org
383.superintendent,Bett Banker,Brett Banker
101.superintendentemail,dtrent@flowremound.k12.ok.us,dtrent@flowermound.k12.ok.us
290.distname,FOREST GROVE                 ,FOREST GROVE                  
284.distname,NEWCASTLE     y                ,NEWCASTLE                     
89.fax,(580) 544-2w972,(580) 544-2972
367.address,1160S  Douglas Blvd,1160 S Douglas Blvd
31.fax,(580) 886j-3501,(580) 886-3501
130.website,ww.wkellyvilleschools.org,www.kellyvilleschools.org
427.website,www.vanoss.k12.ok.us***,www.vanoss.k12.ok.us
174.website,http://wwwa.lex.k12.ok.us/,http://www.alex.k12.ok.us/
177.distname,TUTTLE                       ,TUTTLE                        
482.coname,dSEQUOYAH    ,SEQUOYAH    
110.city,Chatatnooga,Chattanooga
157.statevalue,KO,OK
524.superintendent,Sherry Dukee,Sherry Durkee
280.statevalue,OzK,OK
141.co,21-Ib001,21-I001
402.phone,(918)3 58-2210,(918) 358-2210
503.phone,(580) 888-4285,(580) 888-4258
497.coname,STPEHENS    ,STEPHENS    
423.phone,(918) 48-3777,(918) 548-3777
428.co,62v-I016,62-I016
211.city,MillC reek,Mill Creek
387.superintendentemail,rloggins@barnsdallscheools.org,rloggins@barnsdallschools.org
355.city,Harrha,Harrah
407.superintendentemail,koln.knight@cusing.k12.ok.us,koln.knight@cushing.k12.ok.us
359.website,www.westernheights.k12.ok.su,www.westernheights.k12.ok.us
481.statevalue,OuK,OK
386.fax,(918) 793-061,(918) 793-2061
508.fax,(580) 667-2567,(580) 667-5267
299.address,339 Main t.,339 Main St.
94.superintendentemail,jsianno@norman.k12.ok.us,jsiano@norman.k12.ok.us
386.coname,OSAGE       ***,OSAGE       
123.superintendent,Curtis Shetlon,Curtis Shelton
269.boardpresident,KentFoster,Kent Foster
117.superintendent,Sbhellie Baker,Shellie Baker
403.fax,(918) 352-417,(918) 352-4187
216.city,Newkrk,Newkirk
132.website,ww.drumright.k12.ok.us,www.drumright.k12.ok.us
415.distname,ClARLTON LANDING ACADEMY       ,CARLTON LANDING ACADEMY       
143.coname,DELAWAmRE    ,DELAWARE    
422.city,Crhowder,Crowder
56.city,iPedmont,Piedmont
261.city,Caney,Carney
10.statevalue,lOK,OK
31.superintendentemail,mbakerc@canton.k12.ok.us,bakerc@canton.k12.ok.us
515.co,72-E00m6,72-E006
232.fax,(918) 465-d3086,(918) 465-3086
380.co,5k7-C003,57-C003
466.phone,(918) 3u41-1113,(918) 341-1113
115.website,http://www.ketchumwarrijors.com,http://www.ketchumwarriors.com
208.fax,(58a0) 228-3428,(580) 228-3428
499.city,Otima,Optima
35.distname,COLBERT                      ,COLBERT                       
22.phone,(580) 487-366,(580) 487-3366
34.superintendentemail,rbeen@achilleisd.org,rbeene@achilleisd.org
340.website,http://www.dsagokc.org/,http://www.dsaokc.org/
532.coname,TUSA       ,TULSA       
298.website,http://www.ealgetownisd.org/index.htm,http://www.eagletownisd.org/index.htm
103.superintendentemail,chad.hancec@acheps.org,chad.hance@cacheps.org
174.city,Aslex,Alex
39.phone,(580) 924-126,(580) 924-1276
310.co,50-I00v1,50-I001
54.coname,CANADIA    ,CANADIAN    
298.boardpresident,Rodney Sohrt,Rodney Short
182.co,27-0I95,27-I095
464.distname,INOLA                        ,INOLA                         
291.superintendent,Krut Neal,Kurt Neal
333.coname,OKFUqSKEE    ,OKFUSKEE    
399.statevalue,OcK,OK
87.website,http://www.xsoperschool.com/,http://www.soperschool.com/
398.superintendentemail,rgardkner@aftonschools.net,rgardner@aftonschools.net
268.distname,THACKERVILLE                  ***,THACKERVILLE                  
308.boardpresident,Gary Duvall***,Gary Duvall
76.superintendent,John Corx,John Cox
91.distname,KEYSE                         ,KEYES                         
59.statevalue,K,OK
494.website,www.marlow.k12.ok.ius,www.marlow.k12.ok.us
406.fax,(405) 457-2020,(405) 547-2020
153.address,75 Fifth,705 Fifth
452.boardpresident,oCrey Bouffleur,Corey Bouffleur
86.boardpresident,Glenn Lamzxa,Glenn Lamza
1.coname,ADAR       ,ADAIR       
255.distname,CHANDLER    y                  ,CHANDLER                      
192.boardpresident,Kim Satterfield***,Kim Satterfield
506.statevalue,uOK,OK
31.distname,CANTON                        ***,CANTON                        
213.distname,MILBURN  w                     ,MILBURN                       
198.city,Stuatr,Stuart
79.statevalue,KO,OK
273.distname,FAIRVIEW         e             ,FAIRVIEW                      
475.website,http://www.sasawkaschools.org/,http://www.sasakwaschools.org/
292.co,4-8C023,48-C023
361.fax,(045) 670-8070,(405) 670-8070
450.superintendentemail,spillow@rattank.12.ok.us,spillow@rattan.k12.ok.us
140.distname,OSELEY                       ,MOSELEY                       
256.boardpresident,r. Dan Waters,Dr. Dan Waters
330.statevalue,K,OK
510.statevalue,KO,OK
292.coname,MCCURTAIgN   ,MCCURTAIN   
551.distname,WOODWARD                     ,WOODWARD                      
333.fax,(l405) 786-2625,(405) 786-2625
334.fax,(18) 652-2422,(918) 652-2422
155.distname,GARBER                       ,GARBER                        
267.address,4671 Wolpfac Road,4671 Wolfpac Road
327.statevalue,OhK,OK
88.phone,580) 326-6483,(580) 326-6483
134.city,Tohomas,Thomas
337.statevalue,OvK,OK
42.co,08-I12,08-I012
287.website,wwww.wayne.k12.ok.us,www.wayne.k12.ok.us
405.statevalue,OcK,OK
220.superintendentemail,lsimpson@tonkaaw.k12.ok.us,lsimpson@tonkawa.k12.ok.us
39.address,1323 Waco Stlreet,1323 Waco Street
46.co,0-8I064,08-I064
418.phone,(918) 279-2626,(918) 297-2626
139.superintendentemail,billt@sstelco.com,billyt@sstelco.com
43.coname,CADDO      ,CADDO       
467.distname,VERDIGRIS                     ***,VERDIGRIS                     
185.coname,HARMON  p    ,HARMON      
524.coname,TUSLA       ,TULSA       
299.website,http://www.smithvill.k12.ok.us/,http://www.smithville.k12.ok.us/
20.superintendentemail,skinsey@beaver.k12.o.us,skinsey@beaver.k12.ok.us
251.fax,(918) y567-2842,(918) 567-2842
510.distname,FREDERICK                    ,FREDERICK                     
502.address,801 N. Beavjer,801 N. Beaver
77.coname,CHERKEE    ,CHEROKEE    
472.city,onawa,Konawa
43.superintendent,Cindsy Hackney,Cindy Hackney
440.distname,MACOMB                       ,MACOMB                        
187.boardpresident,D. Rick Olson,Dr. Rick Olson
319.city,Barggs,Braggs
457.website,www.sweetwater.k12.ok.us***,www.sweetwater.k12.ok.us
3.distname,ROKCY MOUNTAIN                ,ROCKY MOUNTAIN                
459.coname,ROGERS      ***,ROGERS      
13.statevalue,OtK,OK
186.statevalue,K,OK
309.website,http://www.hanna.k1.ok.us/,http://www.hanna.k12.ok.us/
218.phone,580) 363-2570,(580) 363-2570
524.superintendentemail,sherry.durakee@sandites.org,sherry.durkee@sandites.org
308.superintendentemail,BDOGLAS@MIDWAY.K12.OK.US,BDOUGLAS@MIDWAY.K12.OK.US
535.website,www.liertyps.org,www.libertyps.org
96.phone,(405) 257-7236,(405) 527-7236
82.coname,CHEROKEE   r ,CHEROKEE    
286.superintendent,A.J.x Brewer,A.J. Brewer
314.statevalue,K,OK
253.phone,(918) 875-333,(918) 875-3353
389.boardpresident,Chrissie Fairewather,Chrissie Fairweather
89.distname,BOISE CITY                    ***,BOISE CITY                    
392.boardpresident,Rikc Peters,Rick Peters
209.coname,JOHNSTNO    ,JOHNSTON    
94.distname,NORMAN         w               ,NORMAN                        
123.fax,(918) 367x-5848,(918) 367-5848
429.address,324 W. 20hT,324 W. 20Th
107.boardpresident,Helena oJhn,Helena John
323.superintendent,Rustin Clargk,Rustin Clark
18.boardpresident,uBennie Evans,Bennie Evans
500.superintendent,Setve Baird,Steve Baird
111.boardpresident,Scott Reed***,Scott Reed
461.co,66-002,66-I002
382.fax,(98) 263-2143,(918) 263-2143
411.co,61-C009***,61-C009
141.address,821 N. Man,821 N. Main
354.superintendentemail,ranettipens@dcsok.org,ranettippens@dcsok.org
472.co,76-I004,67-I004
218.distname,BLACKWELL        a             ,BLACKWELL                     
457.address,11107 North Highway 30***,11107 North Highway 30
430.superintendentemail,sup@latta.k12.ok.us,supt@latta.k12.ok.us
