3974.personpremise,TELEEPRFORMANCE,TELEPERFORMANCE
1087.activity_type_desc,FIEjLD,FIELD
3548.activity_type_desc,FIED,FIELD
2054.activity_date,2020/7/30 03:59:59+00,2020/07/30 03:59:59+00
911.activity_type_desc,FILD,FIELD
2089.activity_date,2020/11/1x4 05:00:00+00,2020/11/14 05:00:00+00
949.activity_date,2020/05/21 03:59:59+a00,2020/05/21 03:59:59+00
357.activity_type_desc,FIED,FIELD
3755.activity_date,2021/0316 03:59:59+00,2021/03/16 03:59:59+00
3430.address_one,517 W BRECKINRIDGE ShT,517 W BRECKINRIDGE ST
838.personpremise,TACO BELL #6164,TACO BELL #36164
1387.activity_type_desc,FEILD,FIELD
2618.address_one,690x1 OUTER LOOP,6901 OUTER LOOP
4705.activity_type_desc,FEILD,FIELD
2093.address_one,1117w BARDSTOWN RD,1117 BARDSTOWN RD
2795.address_one,5224 DIXIE nHWY,5224 DIXIE HWY
481.activity_date,2020/07/14 03:59:59e+00,2020/07/14 03:59:59+00
1423.activity_date,2020/04/2 203:59:59+00,2020/04/22 03:59:59+00
3304.activity_date,2020/08/18 0:59:59+00,2020/08/18 03:59:59+00
4345.activity_date,2021/03/10 05:00:00+00***,2021/03/10 05:00:00+00
4486.personpremise,OLMSTED ACADEMY OUTH,OLMSTED ACADEMY SOUTH
155.activity_type_desc,IELD,FIELD
623.address_one,6500 BARDSTONW RD,6500 BARDSTOWN RD
3159.address_one,4106 BISHOPL N,4106 BISHOP LN
1442.activity_date,2020/06/5 03:59:59+00,2020/06/05 03:59:59+00
1571.personpremise,POSTO FFICE,POST OFFICE
4125.request_date,2020/0706 03:59:59+00,2020/07/06 03:59:59+00
3383.activity_date,2020/10/92 03:59:59+00,2020/10/29 03:59:59+00
2592.request_date,2020/08/15 03:59:5+00,2020/08/15 03:59:59+00
4722.activity_date,2020/09/11 03:59:5+900,2020/09/11 03:59:59+00
4370.request_date,2021/01/19 05:00r:00+00,2021/01/19 05:00:00+00
4310.personpremise,AWLMART #5418,WALMART #5418
3520.personpremise,LEM OO,LE MOO
3046.personpremise,POPEY'ES,POPEYE'S
2702.request_date,2020/11/16 05:00:0+000,2020/11/16 05:00:00+00
2248.activity_type_desc,IFELD,FIELD
3294.request_date,202007/20 03:59:59+00,2020/07/20 03:59:59+00
3836.address_one,2730 FRANKFORT AEV,2730 FRANKFORT AVE
3908.activity_date,2020/05/04 03:5d9:59+00,2020/05/04 03:59:59+00
1773.personpremise,4TH & CENTRAL OFOD MART,4TH & CENTRAL FOOD MART
2893.personpremise,MLAS,LMAS
23.personpremise,EBST DOGS LLC,BEST DOGS LLC
1594.request_date,2020/04/03 03:95:59+00,2020/04/03 03:59:59+00
605.activity_date,202004/25 03:59:59+00,2020/04/25 03:59:59+00
733.address_one,3265 ROBIN DR,3265 ROBIN RD
259.personpremise,GEEN HEM FARMS,GEEN HEMP FARMS
310.request_date,2020/6/22 03:59:59+00,2020/06/22 03:59:59+00
2578.activity_type_desc,FIiELD,FIELD
455.personpremise,BUREGR BOY,BURGER BOY
387.activity_type_desc,FILD,FIELD
2569.activity_date,2021/01/0 05:00:00+00,2021/01/04 05:00:00+00
335.activity_type_desc,FEILD,FIELD
1005.activity_type_desc,IELD,FIELD
3771.activity_type_desc,FELD,FIELD
649.activity_type_desc,FELD,FIELD
3865.personpremise,"OTVA INDUSTRIES, LLC","TOVA INDUSTRIES, LLC"
3864.address_one,2616 W MARKET STRETE,2616 W MARKET STREET
4706.activity_date,20r20/08/18 03:59:59+00,2020/08/18 03:59:59+00
153.request_date,2020/06/09 03:95:59+00,2020/06/09 03:59:59+00
1119.request_date,020/07/25 03:59:59+00,2020/07/25 03:59:59+00
1619.address_one,3535 TcAYLOR BLVD,3535 TAYLOR BLVD
2832.activity_date,2020/11/20 05:00:0b0+00,2020/11/20 05:00:00+00
1879.address_one,4206 POPLR LEVEL RD,4206 POPLAR LEVEL RD
3863.personpremise,PCI PAC,PIC PAC
4528.activity_type_desc,FIhELD,FIELD
785.personpremise,WYANDOTTE TAVREN,WYANDOTTE TAVERN
2899.activity_date,2020/10/1903:59:59+00,2020/10/19 03:59:59+00
3373.personpremise,AYA FbOOD MART,AYA FOOD MART
4019.activity_type_desc,FELD,FIELD
206.address_one,64g0 ZORN AVE UNIT 11D,640 ZORN AVE UNIT 11D
896.address_one,1402 BnROWNS LANE,1402 BROWNS LANE
714.activity_type_desc,FIEDL,FIELD
3989.personpremise,bNAIVE,NAIVE
3786.activity_type_desc,FELD,FIELD
67.address_one,7500 JEFFERSON LVD,7500 JEFFERSON BLVD
168.activity_type_desc,FIED,FIELD
4510.personpremise,&S FOOD MART,B&S FOOD MART
482.request_date,2020/07/31 03:59:59+00,2020/07/13 03:59:59+00
4605.request_date,2f021/01/04 05:00:00+00,2021/01/04 05:00:00+00
496.activity_type_desc,FIEDL,FIELD
2006.request_date,2020/8/13 03:59:59+00,2020/08/13 03:59:59+00
3877.personpremise,THORNTONvS #28,THORNTONS #28
4075.activity_date,2021/02/25 05:000:0+00,2021/02/25 05:00:00+00
2739.personpremise,KINcG PIN LANES,KING PIN LANES
977.address_one,3407W  BROADWAY,3407 W BROADWAY
1127.activity_type_desc,FELD,FIELD
4199.personpremise,RESIDENEC,RESIDENCE
2551.request_date,2020/08/03 03:59:59f+00,2020/08/03 03:59:59+00
1884.activity_date,2020/07/20 3:59:59+00,2020/07/20 03:59:59+00
276.request_date,2020/0/526 03:59:59+00,2020/05/26 03:59:59+00
1135.activity_date,2002/07/23 03:59:59+00,2020/07/23 03:59:59+00
2050.request_date,20200/7/25 03:59:59+00,2020/07/25 03:59:59+00
4135.activity_type_desc,FIEDL,FIELD
3392.request_date,2020/09/r23 03:59:59+00,2020/09/23 03:59:59+00
663.address_one,9308 CANE RUN DR,9308 CANE RUN RD
2156.personpremise,MEIJER 1#60 GAS,MEIJER #160 GAS
951.address_one,2000 FERNg VALLEY RD,2000 FERN VALLEY RD
302.personpremise,zPETSMART,PETSMART
382.activity_type_desc,FIED,FIELD
3979.personpremise,MAYS DEdRMATOLOGY,MAYS DERMATOLOGY
3213.personpremise,PICELESS FOODS,PRICELESS FOODS
4699.request_date,2020/08/03 0359:59+00,2020/08/03 03:59:59+00
1714.request_date,202/05/11 03:59:59+00,2020/05/11 03:59:59+00
522.address_one,1000 GLENGARRYu DR,1000 GLENGARRY DR
3432.request_date,2020/08/24 03:95:59+00,2020/08/24 03:59:59+00
2417.request_date,202/07/16 03:59:59+00,2020/07/16 03:59:59+00
4182.personpremise,WALMATR #5417,WALMART #5417
2313.activity_date,2020/11/17 05:00:0+00,2020/11/17 05:00:00+00
3172.address_one,7401NEW LAGRANGE RD,7401 NEW LAGRANGE RD
3992.activity_type_desc,FILD,FIELD
2386.activity_type_desc,FIED,FIELD
2915.activity_type_desc,FILED,FIELD
3429.personpremise,FAMOUS DAVES',FAMOUS DAVE'S
3681.activity_type_desc,FIEDL,FIELD
2767.request_date,2020/07/2503:59:59+00,2020/07/25 03:59:59+00
3417.activity_date,0220/11/18 05:00:00+00,2020/11/18 05:00:00+00
3408.request_date,2020/8/05 03:59:59+00,2020/08/05 03:59:59+00
1846.personpremise,LIMESTONE TITEL & ESCROW,LIMESTONE TITLE & ESCROW
2666.activity_type_desc,FqIELD,FIELD
2823.request_date,20201/1/09 05:00:00+00,2020/11/09 05:00:00+00
952.request_date,2020/05/15f 03:59:59+00,2020/05/15 03:59:59+00
3230.request_date,2020/07/03 03:59:59s+00,2020/07/03 03:59:59+00
267.personpremise,THE PARKLAND AT FLOYDS FORK,THE PARKLANDS AT FLOYDS FORK
3215.address_one,9800 PRESTOxN CROSSING BLVD,9800 PRESTON CROSSING BLVD
2403.request_date,2020/07/14 03:59:59+0k0,2020/07/14 03:59:59+00
3533.address_one,3900 SHELBYIVLLE RD,3900 SHELBYVILLE RD
3980.activity_type_desc,nFIELD,FIELD
87.personpremise,FIRSnT LADY NAILS,FIRST LADY NAILS
242.personpremise,FIRST STRING SPORTS GRILLp & PUB,FIRST STRING SPORTS GRILL & PUB
1486.personpremise,RESIxDENCE,RESIDENCE
66.address_one,962BRECKENRIDGE LN,962 BRECKENRIDGE LN
331.activity_date,2020/70/29 03:59:59+00,2020/07/29 03:59:59+00
3128.address_one,871 S HURTSBOURNE PKWY,871 S HURSTBOURNE PKWY
937.personpremise,mLEARNING EXPRESS,LEARNING EXPRESS
2750.address_one,960 BbRECKENRIDGE LN,960 BRECKENRIDGE LN
645.address_one,900E MAIN ST,900 E MAIN ST
446.request_date,2020/07/21 0:359:59+00,2020/07/21 03:59:59+00
4093.address_one,1346 RIVERt RD,1346 RIVER RD
2163.activity_date,2020/1/10 05:00:00+00,2020/11/10 05:00:00+00
192.address_one,020 BASHFORD MANOR LN,2020 BASHFORD MANOR LN
2916.activity_type_desc,FaIELD,FIELD
4710.address_one,6313 RIVzER RD,6313 RIVER RD
3948.activity_type_desc,IELD,FIELD
1669.address_one,3948 TAYLORSVILLE ReD,3948 TAYLORSVILLE RD
2424.activity_type_desc,FILD,FIELD
4191.personpremise,KENBOW LANES,KENBOWL LANES
4253.activity_type_desc,IFELD,FIELD
2052.activity_type_desc,FILED,FIELD
3991.activity_type_desc,FIEDL,FIELD
4576.activity_date,2021/03/29 03:5959+00,2021/03/29 03:59:59+00
249.request_date,2020/07/01 03:59:5+00,2020/07/01 03:59:59+00
2901.activity_date,2020/09/21d 03:59:59+00,2020/09/21 03:59:59+00
2344.personpremise,MEIJER #14,MEIJER #164
3400.address_one,4600 SHELBYVLILE RD,4600 SHELBYVILLE RD
3805.address_one,2231 HIES LN,2231 HIKES LN
3209.activity_date,2020/07/30 03:59:5+00,2020/07/30 03:59:59+00
2657.activity_type_desc,jFIELD,FIELD
4416.address_one,5120 DXIE HWY,5120 DIXIE HWY
3865.activity_type_desc,FIkELD,FIELD
1569.personpremise,CIRCLE K #470011,CIRCLE K #4700111
1663.activity_date,2020/80/31 03:59:59+00,2020/08/31 03:59:59+00
4531.address_one,4801 OUTR LOOP FC7,4801 OUTER LOOP FC7
4229.activity_type_desc,IFELD,FIELD
1353.personpremise,LORD'S yKITCHEN,LORD'S KITCHEN
359.activity_date,020/04/02 03:59:59+00,2020/04/02 03:59:59+00
1780.address_one,5808 JOHNSONTOWN RAOD,5808 JOHNSONTOWN ROAD
1795.address_one,3903 HEAVENhLY WAY,3903 HEAVENLY WAY
3638.activity_date,200/07/30 03:59:59+00,2020/07/30 03:59:59+00
71.address_one,57z17 PRESTON HWY,5717 PRESTON HWY
3614.activity_date,2200/07/03 03:59:59+00,2020/07/03 03:59:59+00
1482.request_date,2020/04f/27 03:59:59+00,2020/04/27 03:59:59+00
4119.request_date,2020/06/24 03:59:5b9+00,2020/06/24 03:59:59+00
2417.activity_date,2002/08/28 03:59:59+00,2020/08/28 03:59:59+00
3802.request_date,2020/11/040 5:00:00+00,2020/11/04 05:00:00+00
1699.activity_date,2020/05/11l 03:59:59+00,2020/05/11 03:59:59+00
4252.address_one,551 8BARDSTOWN RD,5518 BARDSTOWN RD
4599.activity_type_desc,FIELwD,FIELD
2446.personpremise,QUANTUMI NK,QUANTUM INK
1160.request_date,2020/04/15 03:5:59+00,2020/04/15 03:59:59+00
994.request_date,2020/04/24 03:59:59+00***,2020/04/24 03:59:59+00
2208.activity_type_desc,gFIELD,FIELD
872.address_one,2956 BRqECKENRIDGE LN,2956 BRECKENRIDGE LN
1219.request_date,2020/06/25 03:59:59+0u0,2020/06/25 03:59:59+00
4573.personpremise,GREAT LIFE CAFE LOUISVoILLE ATHLETIC CLUB,GREAT LIFE CAFE LOUISVILLE ATHLETIC CLUB
486.request_date,2020/07/03 3:59:59+00,2020/07/03 03:59:59+00
137.activity_date,2020/04/17 03:95:59+00,2020/04/17 03:59:59+00
4687.personpremise,B QIUCK FOOD MART,B QUICK FOOD MART
305.request_date,2020/0/02 03:59:59+00,2020/06/02 03:59:59+00
693.address_one,5524 NEW CT RD,5524 NEW CUT RD
1137.address_one,10403 WESTPOTR RD,10403 WESTPORT RD
55.personpremise,INTERNATIONLA MOULDING,INTERNATIONAL MOULDING
4430.activity_type_desc,FILD,FIELD
1757.activity_date,2020/07/17 3:59:59+00,2020/07/17 03:59:59+00
1973.personpremise,ROSE'S EXPRESS #619,ROSE'S EXPRESS #691
477.activity_date,2020/06/22 03:59:590+0,2020/06/22 03:59:59+00
1882.request_date,2020/05/27 03:59:59+g00,2020/05/27 03:59:59+00
2636.request_date,2020/08/4 03:59:59+00,2020/08/14 03:59:59+00
3275.activity_type_desc,zFIELD,FIELD
1762.activity_type_desc,FEILD,FIELD
1338.address_one,2200 MAPERE DRIVE,2200 AMPERE DRIVE
4461.personpremise,KROGE L-753,KROGER L-753
1467.request_date,2020/03/27 03:5a9:59+00,2020/03/27 03:59:59+00
944.personpremise,FIRST UROLGOY,FIRST UROLOGY
3779.address_one,3426 TALYOR BLVD,3426 TAYLOR BLVD
2564.address_one,4631 OUTER LcOOP,4631 OUTER LOOP
1464.address_one,036 WILSON AVE,3036 WILSON AVE
1410.activity_date,2020/04/04 0:359:59+00,2020/04/04 03:59:59+00
4225.personpremise,MORE HSENANIGAN'S IRISH,MORE SHENANIGAN'S IRISH
992.activity_type_desc,FxIELD,FIELD
860.request_date,2020/04/20 03g:59:59+00,2020/04/20 03:59:59+00
671.activity_date,2020/07/240 3:59:59+00,2020/07/24 03:59:59+00
1289.request_date,220/07/09 03:59:59+00,2020/07/09 03:59:59+00
2832.activity_type_desc,FILED,FIELD
4376.request_date,a2021/06/07 03:59:59+00,2021/06/07 03:59:59+00
3144.address_one,14041 SHELiBYVILLE RD,14041 SHELBYVILLE RD
4103.activity_date,2020/11/240 5:00:00+00,2020/11/24 05:00:00+00
3830.personpremise,VIVID IMAGNTION CHILD CARE CENTER,VIVID IMAGNATION CHILD CARE CENTER
1701.request_date,020/07/16 03:59:59+00,2020/07/16 03:59:59+00
1330.activity_type_desc,mFIELD,FIELD
3709.request_date,2021/0/22 03:59:59+00,2021/04/22 03:59:59+00
4268.activity_type_desc,FIELeD,FIELD
4347.activity_date,2021/3/05 05:00:00+00,2021/03/05 05:00:00+00
4036.activity_type_desc,FIEDL,FIELD
3817.address_one,2961 RBECKENRIDGE LN,2961 BRECKENRIDGE LN
3605.activity_date,2021/03/26 03:59:5900,2021/03/26 03:59:59+00
2698.activity_type_desc,FIxELD,FIELD
4302.activity_date,20d21/01/14 05:00:00+00,2021/01/14 05:00:00+00
1015.request_date,202004/13 03:59:59+00,2020/04/13 03:59:59+00
1038.activity_date,2020/05/21 03:5:959+00,2020/05/21 03:59:59+00
4084.activity_date,202/103/05 05:00:00+00,2021/03/05 05:00:00+00
399.address_one,136 W MARKE TST,136 W MARKET ST
261.request_date,2020/05/05 03:5:959+00,2020/05/05 03:59:59+00
4659.activity_type_desc,FIEiLD,FIELD
1858.personpremise,EMbW WOMEN'S SURGICAL CENTER,EMW WOMEN'S SURGICAL CENTER
1362.activity_type_desc,FvIELD,FIELD
462.activity_date,2020/05/20 03:5:959+00,2020/05/20 03:59:59+00
954.address_one,4946 BOWNSBORO RD,4946 BROWNSBORO RD
441.activity_date,202/08/26 03:59:59+00,2020/08/26 03:59:59+00
613.personpremise,BRAGAIN HUNT,BARGAIN HUNT
2985.activity_date,2020/08/13 03:5959+00,2020/08/13 03:59:59+00
2348.personpremise,EST POINT PIZZA,WEST POINT PIZZA
2678.activity_type_desc,FIEDL,FIELD
2112.address_one,44m13 CANE RUN RD,4413 CANE RUN RD
3074.address_one,01403 WESTPORT RD,10403 WESTPORT RD
61.address_one,1614 CYPRESS jST,1614 CYPRESS ST
356.address_one,1l614 DIXIE HWY,1614 DIXIE HWY
240.activity_date,2020/06/0 03:59:59+00,2020/06/03 03:59:59+00
550.address_one,2925 RBOWNSBORO RD,2925 BROWNSBORO RD
3100.personpremise,THE BROW SUBURBAN,THE BROWN SUBURBAN
3111.activity_date,2020/11/0f4 05:00:00+00,2020/11/04 05:00:00+00
4630.request_date,2021/05/03 03:5:59+00,2021/05/03 03:59:59+00
3946.address_one,60 E BROADWAY,601 E BROADWAY
1876.personpremise,MORTESNEN FAMILY DENTAL,MORTENSEN FAMILY DENTAL
1673.address_one,3900 PRODUCEL ANE,3900 PRODUCE LANE
2347.personpremise,AMVETS POST 6s1,AMVETS POST 61
4352.activity_date,2021/4/22 03:59:59+00,2021/04/22 03:59:59+00
4230.personpremise,EUROFINS GENhOMICS LLC,EUROFINS GENOMICS LLC
4659.personpremise,EUROFNIS GENOMICS LLC,EUROFINS GENOMICS LLC
3423.activity_type_desc,FELD,FIELD
2800.activity_type_desc,FIEDL,FIELD
4693.request_date,2020/072/7 03:59:59+00,2020/07/27 03:59:59+00
3093.address_one,9701 IXIE HWY,9701 DIXIE HWY
4456.activity_type_desc,FIED,FIELD
2692.request_date,202s0/10/15 03:59:59+00,2020/10/15 03:59:59+00
95.request_date,2002/05/11 03:59:59+00,2020/05/11 03:59:59+00
4311.activity_type_desc,FIED,FIELD
1255.personpremise,RENTAMRT,RENTMART
3943.activity_date,2020/11/1o6 05:00:00+00,2020/11/16 05:00:00+00
4567.request_date,2021/01/07 f05:00:00+00,2021/01/07 05:00:00+00
2307.activity_type_desc,IELD,FIELD
2021.personpremise,K & K ShERVICES,K & K SERVICES
3162.address_one,725 E MARKETm ST,725 E MARKET ST
3572.activity_date,2020/12/01 05:00:00b+00,2020/12/01 05:00:00+00
4227.personpremise,LOUISVILLE AdTHELIC CLUB,LOUISVILLE ATHELIC CLUB
3879.address_one,4659 OUTERL OOP,4659 OUTER LOOP
1921.activity_type_desc,FIELgD,FIELD
1822.address_one,6101 DUTCHMANS LsANE,6101 DUTCHMANS LANE
330.activity_type_desc,FInELD,FIELD
1229.request_date,2020/07/14 0:359:59+00,2020/07/14 03:59:59+00
2444.request_date,2020/07/18 03:59:5+00,2020/07/18 03:59:59+00
2475.personpremise,QDOB A#2632,QDOBA #2632
2141.request_date,2020/u08/31 03:59:59+00,2020/08/31 03:59:59+00
3041.activity_date,2020/07/27 z03:59:59+00,2020/07/27 03:59:59+00
2335.address_one,160 MELLWOOD AVE,1860 MELLWOOD AVE
2115.personpremise,OCNCO INC,CONCO INC
1547.request_date,2020/07/08 0:59:59+00,2020/07/08 03:59:59+00
1255.address_one,1318 BERRY LVD.,1318 BERRY BLVD.
1933.activity_date,2020/0/01 03:59:59+00,2020/06/01 03:59:59+00
3309.activity_type_desc,FIEDL,FIELD
4238.address_one,1405 BROWNS kLN,1405 BROWNS LN
2243.activity_type_desc,FELD,FIELD
1412.activity_type_desc,IFELD,FIELD
906.request_date,2020/07/01 03:59:59+00,2020/07/10 03:59:59+00
4003.activity_type_desc,FIELzD,FIELD
466.address_one,990 BlAXTER AVE,990 BAXTER AVE
4352.address_one,9451 WESTPORTs RD,9451 WESTPORT RD
1144.address_one,4640 TAYLORSVILLcE RD,4640 TAYLORSVILLE RD
900.personpremise,HARDEE'Sp #1506356,HARDEE'S #1506356
1402.activity_date,2020/05/15 03:59:59+d00,2020/05/15 03:59:59+00
4713.address_one,1229 GOSS AVrE,1229 GOSS AVE
2536.address_one,7z509 TERRY RD,7509 TERRY RD
4340.activity_type_desc,FIfELD,FIELD
4536.activity_type_desc,FIEDL,FIELD
2387.activity_type_desc,FtIELD,FIELD
2646.personpremise,FORD TRUCK PALNT,FORD TRUCK PLANT
764.address_one,4547 TALORSVILLE RD,4547 TAYLORSVILLE RD
2827.request_date,2020/07/22 03:59:59+0u0,2020/07/22 03:59:59+00
4618.activity_type_desc,FELD,FIELD
3913.personpremise,SALLY'S BEAUT SUPPLY,SALLY'S BEAUTY SUPPLY
1509.request_date,2020/06/16 03:59:95+00,2020/06/16 03:59:59+00
2160.request_date,2020/11/40 05:00:00+00,2020/11/04 05:00:00+00
1541.activity_date,2020/06/25 03:59:59r+00,2020/06/25 03:59:59+00
4424.address_one,6420 DUTCHMgANS PKWY STE 200,6420 DUTCHMANS PKWY STE 200
3436.activity_type_desc,FIEDL,FIELD
4230.request_date,2020/12/02 0:500:00+00,2020/12/02 05:00:00+00
1489.activity_type_desc,FIELqD,FIELD
3376.personpremise,PETSMART,PET SMART
641.activity_type_desc,FELD,FIELD
2290.address_one,2y17 W ST. CATHERINE ST,217 W ST. CATHERINE ST
4389.request_date,2021/02/02 05:00z:00+00,2021/02/02 05:00:00+00
126.personpremise,WHITE CATSLE #19,WHITE CASTLE #19
4706.personpremise,MOB DICK,MOBY DICK
4689.personpremise,FIRST WlATCH,FIRST WATCH
3216.activity_date,2020/1/029 03:59:59+00,2020/10/29 03:59:59+00
4168.personpremise,CAROLINA WESTENR WEAR,CAROLINA WESTERN WEAR
4039.address_one,5900 PRESTON HWY,9500 PRESTON HWY
4096.address_one,9900 LINN SATION RD,9900 LINN STATION RD
3954.request_date,2020/11/11 05:0000+00,2020/11/11 05:00:00+00
4210.activity_date,220/12/11 05:00:00+00,2020/12/11 05:00:00+00
2930.personpremise,ALL ABOUTK IDS,ALL ABOUT KIDS
3317.request_date,2020j/07/17 03:59:59+00,2020/07/17 03:59:59+00
3081.activity_type_desc,FIzELD,FIELD
1270.request_date,2020/04/27 03:59:59+0,2020/04/27 03:59:59+00
2182.personpremise,DERBY CITY PZZA,DERBY CITY PIZZA
1854.request_date,2020/05/19 03:59d:59+00,2020/05/19 03:59:59+00
4421.activity_type_desc,FIEDL,FIELD
3179.address_one,4547 TAYLORSVILE RD,4547 TAYLORSVILLE RD
500.activity_type_desc,FEILD,FIELD
1205.activity_date,200/05/26 03:59:59+00,2020/05/26 03:59:59+00
147.activity_date,2020/04/21 0:59:59+00,2020/04/21 03:59:59+00
2641.activity_type_desc,IELD,FIELD
3461.address_one,405 NATIONAL TURNPIKE,8405 NATIONAL TURNPIKE
111.request_date,2020/06/03 03:59:5d9+00,2020/06/03 03:59:59+00
1612.request_date,2020/071/4 03:59:59+00,2020/07/14 03:59:59+00
3345.request_date,2020/07/30 03:5:59+00,2020/07/30 03:59:59+00
1705.address_one,3920 RUCKRIEGEyL PARKWAY,3920 RUCKRIEGEL PARKWAY
506.activity_type_desc,FjIELD,FIELD
3902.address_one,1101 E BUNRETT AVE,1101 E BURNETT AVE
1547.personpremise,SUBAY,SUBWAY
568.request_date,2020/04/17 0:59:59+00,2020/04/17 03:59:59+00
1588.personpremise,OUNTY CLERKS OFFICE,COUNTY CLERKS OFFICE
835.activity_type_desc,FILED,FIELD
361.personpremise,NORTON COMMONbS - AMPHITHEATER,NORTON COMMONS - AMPHITHEATER
4179.request_date,2020/04/15 3:59:59+00,2020/04/15 03:59:59+00
4553.address_one,f700 W BROADWAY,700 W BROADWAY
3501.personpremise,ADNDY HAIR AND BEAUTY,DANDY HAIR AND BEAUTY
2008.personpremise,APPLEBEE'S***,APPLEBEE'S
468.activity_date,20m20/06/08 03:59:59+00,2020/06/08 03:59:59+00
2825.request_date,2020/07/14 03:59:9+00,2020/07/14 03:59:59+00
959.personpremise,BELLARMINE NIVERSITY,BELLARMINE UNIVERSITY
284.address_one,1 AUTO CETER DR,1 AUTO CENTER DR
1261.activity_type_desc,FIELeD,FIELD
1477.personpremise,POEPYE'S,POPEYE'S
2469.personpremise,LOWES',LOWE'S
3850.personpremise,OFFICEMAX PRINT & COPY SERVICElS,OFFICEMAX PRINT & COPY SERVICES
1706.request_date,2020/03/26 30:59:59+00,2020/03/26 03:59:59+00
2317.address_one,8609 WESTOPRT RD,8609 WESTPORT RD
4682.activity_type_desc,FILD,FIELD
4319.personpremise,SIGNATUcRE HEALTHCARE AT ROCKFORD REHAB & WELLNESS,SIGNATURE HEALTHCARE AT ROCKFORD REHAB & WELLNESS
1214.personpremise,MDONALD'S,MCDONALD'S
2254.activity_type_desc,FELD,FIELD
3565.address_one,712 BRENqT ST,712 BRENT ST
2548.activity_type_desc,IFELD,FIELD
4367.request_date,2021/05/11 03:9:59+00,2021/05/11 03:59:59+00
1257.address_one,2805 FEN VALLEY RD,2805 FERN VALLEY RD
3285.activity_date,2020/08/22 3:59:59+00,2020/08/22 03:59:59+00
659.personpremise,MOE'S SOUTHWEST GhRILL,MOE'S SOUTHWEST GRILL
1072.activity_date,220/07/29 03:59:59+00,2020/07/29 03:59:59+00
3814.address_one,10719 MEETING ST.***,10719 MEETING ST.
476.activity_type_desc,FIED,FIELD
3773.request_date,2021/04/01 03:59:5900,2021/04/01 03:59:59+00
2359.address_one,201 YOKR ST,201 YORK ST
3355.address_one,224 DUNDEE RD,2224 DUNDEE RD
3749.activity_type_desc,FILED,FIELD
194.personpremise,HOME EDPOT,HOME DEPOT
1643.request_date,2020/07/27 03:59:5900,2020/07/27 03:59:59+00
2342.activity_date,2020/07/2 03:59:59+00,2020/07/28 03:59:59+00
1446.activity_type_desc,FIELkD,FIELD
3421.activity_type_desc,FIELmD,FIELD
4383.activity_date,2020/12/14 05:00:00+00***,2020/12/14 05:00:00+00
1146.personpremise,AREA WIDE PROTECTIVE (AWP),AREA WIDE PROTECTIVE  (AWP)
4340.address_one,1120c1 AMPERE CT,11201 AMPERE CT
395.request_date,202/005/12 03:59:59+00,2020/05/12 03:59:59+00
1763.activity_date,2020/07/04 k03:59:59+00,2020/07/04 03:59:59+00
3776.activity_date,2021/50/13 03:59:59+00,2021/05/13 03:59:59+00
1337.request_date,2020/05/05 03:9:59+00,2020/05/05 03:59:59+00
3461.activity_type_desc,FEILD,FIELD
3751.request_date,2021/02/01 05:00:x00+00,2021/02/01 05:00:00+00
320.activity_type_desc,FIED,FIELD
3191.personpremise,LA BDOEGUITA DE MIMA,LA BODEGUITA DE MIMA
3014.request_date,20e20/10/10 03:59:59+00,2020/10/10 03:59:59+00
522.personpremise,CERTIFIkT,CERTIFIT
2903.request_date,2020/08/04 0:59:59+00,2020/08/04 03:59:59+00
4.personpremise,CRICET CELL PHONE STORE,CRICKET CELL PHONE STORE
1288.personpremise,BJS RESTAURANT & BREWHOUSE,BJ'S RESTAURANT & BREWHOUSE
2940.activity_type_desc,FIED,FIELD
4252.personpremise,FERN BOLW SNACK BAR/LOUNGE,FERN BOWL SNACK BAR/LOUNGE
3952.activity_type_desc,FIEDL,FIELD
181.activity_date,020/04/21 03:59:59+00,2020/04/21 03:59:59+00
1727.request_date,2020/04/28 r03:59:59+00,2020/04/28 03:59:59+00
2215.address_one, BAXTERA VE., BAXTER AVE.
3525.activity_date,2020/09/03 03:5:959+00,2020/09/03 03:59:59+00
1168.address_one,1729 MCCLOySKEY AVE,1729 MCCLOSKEY AVE
854.personpremise,MASSEY BOOKKEEPIGN,MASSEY BOOKKEEPING
3503.activity_type_desc,FIELnD,FIELD
4119.activity_date,202/006/25 03:59:59+00,2020/06/25 03:59:59+00
3173.activity_type_desc,FELD,FIELD
2303.request_date,2020/07/20 03:5:959+00,2020/07/20 03:59:59+00
4529.activity_type_desc,IELD,FIELD
1101.activity_type_desc,IELD,FIELD
1013.activity_type_desc,FILD,FIELD
1475.request_date,2020/04/11 0d3:59:59+00,2020/04/11 03:59:59+00
879.address_one,9414 NORTON COMOMNS,9414 NORTON COMMONS
2342.address_one,4700 BARDSTOWN RD***,4700 BARDSTOWN RD
3852.personpremise,BIG SPRING CUONTRY CLUB,BIG SPRING COUNTRY CLUB
1215.address_one,920BLANKENBAKER,920 BLANKENBAKER
3155.address_one,406 MT HOLLYR D,406 MT HOLLY RD
1517.activity_type_desc,FIEDL,FIELD
4198.request_date,2020/05/01 0p3:59:59+00,2020/05/01 03:59:59+00
1957.address_one,4870 BROWNSvBORO CENTER,4870 BROWNSBORO CENTER
1953.activity_date,20200/7/03 03:59:59+00,2020/07/03 03:59:59+00
865.personpremise,wPROSOURCE WHOLESALE,PROSOURCE WHOLESALE
1074.activity_type_desc,FIEDL,FIELD
