namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
812 Gravier St Ap t504,812 Gravier StA pt 504,Short Term Rental Commercail Owner,1.0,2.0,05/14/2023 11:59:5l9 PM,"(29.9519330257878, -90.0714858376316)",3680432.73,530212.56
334 Carondelet St Unit 29,334 Carondelet St Unit 209,Short Term Rental Commercial Owner,1.0,2.0,07/12/2023 11:59:5 PM,"(29.9508693072199, -90.071349005897)",3680480.32,529826.23
6316 Patton St,6316 Patton St,Short Term Rental Residential Owner,3.0,6.0,07/11/2023 11:59:59 PM,"(29.9219628873102, -90.1267919070369)",3663033.93,519125.64
2935 Ursulines Ave,2935 Ursulines Ave,Short Term Rntal Residential Owner,1.0,2.0,07/16/2023 11:59:59 PM,"(29.976425182868, -90.0833170881684)",3676589.35,539047.71
5560 Maple Ridge Dr,5560 Maple Ridge Dr,Short Term Rental Residential Owner,3.0,6.0,07/10/2023 11:59:59 PM,"m(30.0433917724013, -89.9314482260048)",3724370.57,563985.52
1515 St Charles Ave Apt 202,1515 St Charles Ave Apt 022,Short Term Rental Commercial Owner,2.0,4.0,07/10/2023 11:59:59 PM,"(29.9389173006291, -90.076038839851)",3679028.62,525463.56
812 Gravier St Apt 405,812 Gravier St Apt405,Short Term Rental Commercial Owner,1.0,2.0,05/13/2023 11:59:59 PM,"(29.9519190254693, -90.0714712040876)",3680437.42,530207.52
812 Gravier St Apt 509,812 Gravier St Apt 509,Short Term Rental Commercial Owner,1.0,2.0,05/14/2023 11:59:59 PM,"(29.9518997421932, -90.0715021428095)",3680427.7,530200.4
812 Grayvier St Apt 512,812 Gravier St Apt 512,Short Term Rental Commercial Owner,1.0,2.0,05/14/2023 11:59:59 PM,"(29.9518787926012, -90.0715084393355)",3680425.79,530192.76
551 Eads St,5518 Eads tS,Short Term Rental Residetnial Owner,3.0,6.0,07/12/2023 11:59:59 PM,"(30.0156357036406, -90.003105504071)",3686878.82,553451.72
d2472 Dauphine St,2472 Dauphien St,Short Term Rental Residential Owner,1.0,2.0,07/12/2023 w11:59:59 PM,"(29.9657629913387, -90.0528154397163)",3686488.26,535309.46
812 Gravier S Apt 410,812 Gravier St Apt 410,Short Term Rentla Commercial Owner,1.0,2.0,05/13/2023 11:59:59 PM,"(29.9518876142555, -90.0714820224103)",3680434.12,530196.06
816 N Claiborne Ave,1816 N bClaiborne Ave,Short Term Rental Commercial Owner,3.0,6.0,07/10/2023 11:59:59 PM,"(29.9727985914258, -90.0614352121163)",3683531.19,537835.24
4431 Canal St Apt B,4431 Canal St Apt B,Short Term Renta Commercial Owner,5.0,10.0,07/12/2023 11:59:59 PM,"(29.9775479109669 ,-90.1044317524709)",3669899.99,539413.73
812 Gravier St Apt 502,812 Gravier St Apt5 02,ShortT erm Rental Commercial Owner,1.0,2.0,05/13/2023 11:59:59 PM,"(29.9519463419132, -90.0174807428984)",3680434.29,530217.42
1900 Charbonnet St,1900 Charbonnet St,Short Term Rental Residential Owner,2.0,4.0,07/10/2023 q11:59:59 PM,"(29.9690385459582, -90.0113809211677)",3699394.05,536647.32
812 Gravier St Apt 511,812 Gravier St Apt 511,Short Term Rentoal Commercial Owner,1.0,2.0,05/14/2023 11:59:59 PM,"(29.9518845185041, -90.0715061879714)",3680426.48,530194.85
1629 Pauline St,1629 Pauline St,Short TermR ental Residential Owner,2.0,4.0,07/14/2023 11:59:59 PM,"(29.9718824417798, -90.0353933609414)",3691779.77,537594.55
812 Gravier St Apt4 09,812 Gravier St Apt 409,Short Term Rental Commercial Owner,1.0,2.0,05/1/32023 11:59:59 PM,"(29.95189523195, -90.0714791786972)",3680434.99,530198.84
1500 N Dorgenois St,1500 N Dorgenois St,Short Term Rental Residential Owner,1.0,2.0,07/05/2023 11:59:59 PM,"(29.9767833496041, -90.0751879739807)",3679161.17,539236.18
43 Opelousas Ave,434 Opelousas Ave,Short Term Rental Commercial Owner,5.0,10.0,07/14/2023 11:59:59 PM,"(29.9489538069978, -90.051208227864)",3686866.06,529200.49
3923 Cadillac St,3923 Cadillac St,Short Term Rental Residential Owner,3.0,6.0,07/11/2023 11:59:59 PM,"(29.9970581563141, 90.0817496828643)",3677003.29,546586.14
1359 St Anthony St,1359 St Anthony St,Short Term Rental Residential Owner,1.0,2.0,07/26/2023 11:59:59 PM,"(29.9706805855699, -90.0616269307943)",3683479.04,537064.38
4226 S Carrollton Ave,4226 S Carrbollton Ave,Short Term Rental Commercial Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.9700025656021, -90.1048670109782)",3669791.61,536668.47
528 S Rocheblave St,528 S Rochenblave St,hort Term Rental Commercial Owner,3.0,6.0,07/o25/2023 11:59:59 PM,"2(9.9598324687238, -90.0883668040745)",3675055.9,533026.62
600 Canal ySt Apt 507,600 Canal St Apt 507,Short Term Rental Commercial Owner,1.0,2.0,08/29/2023 11:59:59 PM,"(29.9524457748934, -90.0684539659379)",3681390.76,530409.6
4722 Palmyra St,472 Palmyra St,Short Term Rntal Residential Owner,2.0,4.0,03/01/2023 12:00:00A M,"2(9.9771791319737, -90.1090548481786)",3668437.82,539263.96
629 N Hennessey St,629 N Hennessey St,Short Term Rental Residential Owner,3.0,6.0,08/27/2023 03:26:45 PM,"(29.9807814382463, -90.0993432814985)",3671498.26,540606.88
1528 Ursulines Ave,1528 Ursulines Ave,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9663900944513, -90.0694905908661)",3681006.57,535476.65
734 Union St Unit 401,734 Union St Unit 401,Short Term Rental Commercial Owner,2.0,4.0,09/01/2023 11:59:59 PM,"(29.9511554009411, -90.0710893147703)",3680561.41,529931.17
1656 Duossat St,1656 Dufossat St,Short Trem Rental Residential Owner,3.0,6.0,08/27/2023 02:22:54 PM,"(29.9287939709178, -90.1108198326763)",3668066.77,521663.3
1210 Carondelet St Unit B,1210 Carondelet St Unit sB,Short Term Rental Commercial Owner,3.0,6.0,06/01/2023 11:59:y59 PM,"(29.9417576778547, -90.0751243792954)",3679321.16,526499.76
4917 De Montluzin St Apt B,4917 De Montluzin t Apt B,Short Trm Rental Residential Owner,3.0,6.0,07/19/2023 11:59:5 9PM,"(28.0988907068706, -101.517799132452)",-1.0,-1.0
2110 Burgundy St Apt 3,2110 Burgundy t Apt 3,Short Term Rental Commercial Owner,2.0,4.0,07/21/2023 11:59:59 PM,"(29.9662941312858, -90.05757e86082667)",3684778.52,535483.55
"1721 Robert C Blakes, SoR Dr Apt 2","1721 Robert C Blakes, SR Dr Apt 2",Short Term Rental Commercial Owner,4.0,8.0,07/21/2023 11:59:59b PM,"(29.9380504848714, -90.078300011353)",3678330.21,525140.66
8h17 Robert St,817 Robert St,Short Term Rental Residential Owner,2.0,4.0,0g7/18/2023 11:59:59 PM,"(29.9197056853343, -90.1090294399355)",3668669.17,518364.52
1225 Governor Nicholyls St,1225 Governor Nicholls St,Short Term Rental Residential Ofwner,3.0,6.0,07/21/2023 11:59:59 PM,"(29.9657576305732, -90.0662540006645)",3682033.88,535257.98
2110 Burgundy St Apt 1,110 Burgundy St Apt 1,Short Term Rental Commercial Owner,3.0,6.0,0/721/2023 11:59:59 PM,"(29.9663450257121, -90.0575862955659)",3684775.88,535502.03
965 Wilso nDr,965 Wilson Dr,ShortT erm Rental Residential Owner,2.0,4.0,07/18/o2023 11:59:59 PM,"(29i.9801002976355, -90.0911198916881)",3674104.26,540387.32
2110 Burgundy St Apt 2,2110 Burgundy S tApt 2,Short Term Rental Commercial Owner,3.0,6.0,07/21/2023 11:59:59 PM,"(29.966319365818, -90.0575803701117)",3684777.86,535492.72
MINT HOUSE LOUISIANA 01 LLC,315 GIROD ST,4701 - HOTELS (EXC CASINO OHTELS) & MOTELS,2.0,4.0,03/01/2023 2:00:00 AM,"(29.9465873712591, -90.0662206466584)",3682121.52866,528287.084288
LE MERIDvIEN,333 POYDRAS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9489511175088, -90.0661964576515)",3682119.68354,529146.713216
1020 N Robertson St,1020 N Robertson St,Short Term Rental Residential Owner,4.0,8.0,07/20/2023 11:59:59 PM,"(29.9661099557465, -90.0698660678502)",3680888.81,535373.47
618 Arabellfa St,618p Arabella St,Short Term ental Residential Owner,2.0,4.0,07/25/2023 11:59:59 PM,"(29.9199743989089, -90.1184774165191)",3665675.31,518430.38
1626 Gentilly Blvd,1626 xGentilly Blvd,Short Term Rental Residential Owner,1.0,2.0,07/19/2023 11:59:59 PM,"(29.9812754276033, -90.077134746142)",3678526.94,540862.91
7100 Sycamore St,7100 Scyamore St,Short Term Renal Residential Owner,2.0,4.0,07/20/2023 11:59:59q PM,"(29.9497269533964, -90.11600996194)",3666341.98,529257.82
616 S Lopz St,616 S Lopez St,Short Term Rental Commrecial Owner,3.0,6.0,07/21/2023 11:59:59 PM,"(29.9637877963156, -90.0962128906487)",3672555.98,534438.02
MARK & RON'S B&B,1625 PAUGER ST,8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMkS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9669475247736, -90.060200973604)",3683945.58863,535711.913351
5460 Douglass St,5460 Douglass St,Short Term Rental Residentail Owner,1.0,2.0,07/19/2023 11:59:59 PM,"(29.9555033770228, -90.0193090640334)",3696940.37,531696.58
1433 Dauphine St,1433 Dauphinem St,Short Term Rental Residential Owner,2.0,4.0,07/19/2023 11:59:59 PM,"(29.9653193202765, -90.0162041467776)",3683634.54,535116.31
618 S Lopez St,618 S Lopez St,Short Term Rental Commercial Owner,1.0,2.0,07/21/202e3 11:59:59 PM,"(29.9637660194555, -90.0962336894666)",3672549.48,534430.03
123 N Dupre St,1203 N Dupre St,Short Term Rental Residential Owner,1.0,2.0,07/18/2023 11y:59:59 PM,"(29.9752153373568, -90.083037331999)",3676682.39,538638.79
1240 Mandevlle St,1240 Mandveille St,Short Term Rental Residential Owner,2.0,4.0,07/19/2023 11:59:59 PM,"(2u9.9706263433425, -90.0546467583288)",3685689.22,537069.25
2209 Dante St,2290 Dante St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9559728450q43, -90.1236903695576)",3663885.82,531503.31
3029 NRampart St,3029 N Rampart St,Short Term Rental Residential Owner,2.0,4.0,d03/01/2023 12:00:00 AM,"(29.9667034429892, -90.045624076c2352)",3688561.88,535674.73
1328 Felicity St,1328 Felicity jSt,Short Term Rntal Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.934088649678, -90.07530075v53728)",3679295.92,523710.41
65 S Solomon St,605 S uSolomon St,Short Term Rental Residential Owner,3.0,6.0,07/17/2023 11:59:59 PiM,"(29.9712384828191, -90.1063520211589)",3669316.63,537112.86
721 Mandeville St,721 aMndeville St,Short Term Rental Residential Owner,2.0,4.0,07/15/2023 11:59:59 PM,"(29.9652472713093, -90.0d540158432215)",3685910.81,535115.45
1207 Carondelet St Unit C,1207 Carondelet St Unit C,Short Term Rental Commercial Owner,1.0,2.0,07/19/2023 11:59:59 PM,"(29.9419379961166, -90.0753257704656)",3679256.66,526564.63
1238 N Robgertson St,1238 N Robertson St,Short Term Rental Residential Owner,5.0,10.0,07/19/2023 11:59:59 PM,"(29.9681872561845, -90.0679839652131)",3681476.38,536135.43
2411 Napoleon Ave B,2411 Napoleon Av eB,Short Term Rental Residential Owner,3.0,6.0,07/21/2023 11:59:59 PM,"(29.934581204907, -90.1025848390299)",3670652.52,523795.28
900 Bartholomew St Unit 521,900 Bartholomew St Unit 521,Short Temr Rental Commercial Owner,1.0,2.0,07/17/202m3 11:59:59 PM,"(29.6936928348741, -90.0364592641101)",3691476.01,534612.69
8425 Pritchard Pl,8425 Pritchard Pl,Short Term Rental Residnetial Owner,1.0,2.0,07/17/2023 11:59:59 PM,"(29.9622383605506, -90.1197226267466)",3665118.09,533794.98
1014 Canal St Apt 401,1014 Canal St Apt 401,Short Term RentalCommercial Owner,2.0,4.0,07/21/2023 11:59:59 PM,"(29.9549777418179, 90.0724615265804)",3680111.58,531316.33
520 S Dorgenois St,520 S Dorgenois St,Short Term Rental Commercial Owner,4.0,8.0,07/17/2023 11:59:59 PM,"(29.9605543s666208, -90.089308754908)",3674754.79,533285.89
1450 Hpenriette Delille St,1450 Henriette Delille St,Short Term Rental Residential Owner,2.0,4.0,07/21/2023 11:59:59 PM,"(29.9675257807612, -90.0634567282582)",3682912.43,535910.75
1014 Canal St Apt 402,1014 Canal St Apt 402,Short Term Rental Commercial Owner,1.0,2.0,07/21/2023 11:59:59 PM,"(29.9549635498127, -90.0724756642981)",3680107.16,531311.12
2409 D''abadi St,2409 D'abadie St,hSort Term Rental Residential Owner,2.0,4.0,07/21/2023 11:59:59 PM,"(29.9793567352859, -90.071411072373)",3680346.58,540185.11
1818 Carondelet St Unit h1,1818 Carondelet St Unit 1,Short Term Rental Commercial Owner,4.0,8.0,07/21/2023 11:59:59 PM,"(29.9368425632316, -90.0789620011924)",3678125.36,524699.12
1624 Gentilly Blvd,1624 Gentilly Blvd,Short Term Rental Residential Owner,2.0,4.0,07/19/2023 11:59:59 PM,"(29.9812464053682, -90.0771394708129)",3678525.56,540852.34
2110 Burgundy St Apt 4,2110 Burgundy St Apt 4,Short Term Rental Commercial Owner,2.0,4.0,07/21/2023 11:59:59 MP,"(29.9662680370133, -90.0575760994802)",3684779.42,535474.07
10p14 Canal St Apt 301,1014 Canal St Ahpt 301,Short Term Rental Commercial Owner,2.0,4.0,07/21/2023 11:59:59 PM,"(29.9550217116796, -90.0724182115473)",3680125.12,531332.47
2328 JosephSt,2328 Joseh St,Short Term Rental Residential Owner,5.0,10.0,07/6/2023 11:59:59 PM,"(29.937291606074, -90.1129603573727)",3667355.87,524746.13
1627 Franklin Ave,1627 Franklin Ave,Shot Term Rental Commercial Owner,3.0,6.0,08/16/2023 11:59:59 PM,"(29.9745786579176, -90.0483023038715)",3687681.79,538528.93
1830 Burgundy St,1830 Burgundy St,Short Term Rental Residential Owner,3.0,6.0,07/18/2023 11:59:59 PM,"(29.9662018475651, -90.0611784601162)",3683639.11,535437.32
331 N Salcedo St,331 N Salcedo St,Short Term Rental Residential Owner,2.0,4.0,07/28/2023 11:59:59 PM,"(29.9707095215588, -90.0893440941081)",3674703.51,536978.57
"1721 Robert C Blakes, SR Dr Apt 1","1721 Robert C Blakes, SR Dr Apt 1",Sort Term Rental Commercial Owner,3.0,6.0,07/21/2023 11:59:59 PM,"(29.9380330506318, -90.078265498b4658)",3678341.21,525134.44
1207Carondelet St Unit B,1207 Carondelet St Unit B,ShortT erm Rental Commercial Owner,1.0,2.0,071/9/2023 11:59:59 PM,"(29.9419760983104, -90.0752956h71924)",3679266.04,526578.59
3686 Louisiana Avenue Prkwy,3686 Louisiana Avenue Prkwy,Short Term Rental Residential Owner,5.0,10.0,07/21/2023 11:59:59 PM,"(29.9473259238338, -90.1002293031883)",3671348.69,528438.15
183b0 Esplanade Ave,1830 EsplanadeAve,Short Term Rental Residential Owner,3.0,6.0,0r7/15/2023 11:59:59 PM,"(2.99709416154763, -90.0712111090763)",3680443.59,537125.75
2377 Leon C Simon Dr,2377 Leon C Simon Dr,Short Term Rental Residential Owner,2.0,4.0,07/17v/2023 11:59:59 PM,"(30.0259204427365, -90.0569801886995)",3684726.47,557168.09
192e5 Third St,1925 Third St,Short Term Rental Residential Owner,3.0,6.0,07/19/2023 11:59:59 PM,"(2.99348777883531, -90.086450519596)",3675761.42,523958.77
1207 Carondelet St UnitD,1207 Carondelet St Unit D,Short Term Rental Commercial Owner,1.0,2.0,07/19/2023 11:59:59 PM,"(29.9419573191623, -90.0753104020102)",3679261.45,526571.71
1401 S Rampart St,1401 S Rampart St,Short Term Rental Residential Owner,2.0,4.0,07/20/2023 11:59:59 PM,"(29.9423515702428, -90.079708079080)",3677867.15,526699.81
1014 Canal St Apt 302,1014 Canal St Apt 302,Short Term Rental Commercial Owner,1.0,2.0,07/21/2023 11:59:59 PM,"(29.9550061134558, -90.0724348302922)",3680119.92,531326.74
1017 Henriette Delille St,1017 Henriette Delille St,Short Term Rental Residential Owner,1.0,2.0,07/16/2023 11:59:59 oPM,"(29.9640058427681, -90.0607467136697)",3681789.93,534618.19
807 Elysian Fields Ave,807 Elysian iFelds Ave,Short Term Rental Residential Owner,2.0,4.0,07/20/2023 11:5t9:59 PM,"(29.9657801685354, -90.0563407266483)",3685172.54,535301.02
1811 Elysian Fields Ave,1811 Elysian Fields Ave,Short Term Rental Commercizal Owner,3.0,6.0,06/28/2023 11:59:59 PM,"(29.9759640527598, -90.0569331070671)",3684943.73,539002.17
522 S Dorgenois St,522 S Dorgenois St,Short Term Rental Commercial Owner,4.0,8.0,07/17/2023 11:5959 PM,"(29.9605341366572, -900893272613987)",3674749.01,533278.47
1207 Carondelet St Unit A,1207 Carondetlet St Unit A,Short Term Rental Commercial Owner,1.0,2.0,07/19/2023 11:59:59 PM,"(29.9419213387632, -90.075338074024)",3679252.83,526558.53
812 Solomon Pl,812 Solomon l,Short Term Rental Residential Owner,2.0,4.0,07/21/2023 11:59:59 PM,"(29.9807985755507, -90.0960776446949)",3672532.01,540624.26
1014 Canal St Aptj 303,1014 Canal St pt 303,Short Term Rental Commercial Owner,2.0,4.0,07/21/2023 11:59:59 PM,"(29.9549911989771, -90.072448187646)",3680115.75,531321.27
336 Belleville St,336 Bellevill eSt,Shorte Term Rental Residential Owner,1.0,2.0,07/18/2023 11:59:59 PM,"(29.9523986992092, -90.0478013278927)",3687930.89,530464.61
1014 CanalS t Apt 403,1014 Canal St Apt 403,Short Term Rental Commercial Owner,2.0,4.0,07/21/2023 11:59:59 PM,"(29.95494k79361508, -90.0724906726372)",3680102.47,531305.39
2512 N Rampart St,2512 N Rampart St,Short Term Rental Residential Owner,1.0,2.0,07/20/2023 11:59:59 PM,"(29.9677599767989, c-90.0516312031116)",3686655.62,536037.6
600 Canlal St Apt 401,600 Canal St Apt4 01,Short Term Rental Commercial Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.9524847893725, -90.0685046297981)",3681374.56,530423.61
1619N Villere St,1619 N Villere St,Short Term Rental Residential Owner,3.0,6.0,07/19/2023 11:59:59 PM,"(29.9714405956674, -90.0641104592225)",3682689.68,537332.03
3007 Dumaine St,3007 Dumainec St,Short Term Rental ResidentialO wner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9744242372859, -90.0847670149367)",3676137.85,538351.69
611 Seguin St,6k11 Seguin St,Short Term Rental Residential Owner,2.0,4.0,08/30/2023 03:09:08 PM,"(u29.9498771996345, -90.0517809129142)",3686680.95,529534.24
1322 Burdette St,1322 Burdtte St,Short Term Rental Residential Owner,1.0,2.0,3/01/2023 12:00:00 AM,"(2.9464632228204, -90.1262129648475)",3663123.46,528036.82
1742 Clio St Apt D,1724 Clio St Apt D,Short Term Rental Commercial Onwer,2.0,4.0,08/30/2023 11:59:59 PM,"(29.9423956713651, -90.076156482281)",3678991.75,526728.17
600 Canal St Apt 04,600 Canla St Apt 404,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.5924456725026, -90.0685319995888)",3681366.05,530409.29
1711 Marengo St,1711 Marengo St,Short Term Rental Residential Owner,4.0,8.0,03/01/2023 12:00:00 AM,"(29.9280903440782, -90.0984994540122)",3671971.88,521449.28
37 Tennysn Pl,37 Tennyson Pl,Short Term Rental Rhesidential Owner,4.0,8.0,09/01/2023 5:10:21 PM,"(29.9163086425835, -89.9938924680576)",3705155.19,517537.26
3637 Constanceu St,3637 Constanec St,Short Temr Rental Residential Owner,2.0,4.0,03/01/2023 12:x00:00 AM,"(29.9209351053662, -90.092408016511)",3673929.47,518868.22
600 Canal S Apt 504,600 Canal St Apt 540,Sort Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524676488719, -90.0685581528722)",3681357.68,530417.19
3027 Bienville Ave,3027 Bienvile Ave,Short Term Rental Residential Ownre,2.0,4.0,03/01/2023 12:00:00 AM,(29.969904365035 -90.0894762376134),3674664.85,536685.33
1806 Touro St,1806 Touro St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9757047210473, -90.0599444159219)",3683991.43,538897.26
720 Calhoun St,720 Calhoun St,Short Term Rental Residential Owner,3.0,6.0,03/01/20231 2:00:00 AM,"(29.9232690936848, -90.1257715646094)",3663352.13,519604.03
2433 rSt Roch Ave,2433 St Roch Ave,Short Term Rental Residential Owner,4.0,8.0,03/01/2023 12:00:00A M,"(29.9828113794076, -90.0530033010645)",3686160.03,541506.65
333 Prytania St,6333 Prytania St,Short Term Rental Residenital Owner,1.0,2.0,03/01/20231 2:00:00 AM,"(29.9282599972674, -90.1239153649119)",3663920.94,521425.11
600 Canal St Apt 603,600 Canal St Apt 603,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524810181828, -90.0685700466936)",3681353.86,530422.01
1416 Royal St,1416 Royal St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9637585948188, -90.0594792197854)",3684187.0,534554.84
1629 Pauger St,1629 Pauger St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 21:00:00 AM,"(29.967028387434, -90.0602117813536)",3683941.84,535741.28
236 S Salcedo St,236 S Salcedo St,Short Term Rental ResidentialOwner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.966561252907, -90.0925981142099)",3673689.6,535458.93
2502 Ursulines Ave A,2502 Urslines Ave A,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9720022810418, -90.0777742196163)",3678361.45,537488.62
8u815 Jeannette St,8815 Jeannette St,Short Term Rental Residential Owner,1.0,2.0,08/282/023 08:06:00 AM,"(29.9545285828627, -90.1335635366418)",3660764.94,530945.25
7315 St Charles Aev,7315 St Charles Ave,Shrt Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9383438680226, -90.1276891858701)",3662687.03,525079.39
1912 Josephine St,1912 Josephine St,Short Term Rental Commercial Owner,3.0,6.0,08/30/2023 11:59:59 PM,"(29.9378363103932, -90.082460187615)",3677017.98,525048.42
1742 Clio gSt Apt C,1742 Clio St Apt C,Short Terms Rental Commercial Owner,2.0,4.0,08/30/2023 11:59:59 PM,"(29.944217002051, -90.0761320302586)",3678999.39,526737.72
4431 Danneel St Apt A,4431 aDnneel St Apt A,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9307427777541, -90.1034582800504)",3670390.86,522396.91
101b2 Elysian Fields Ave Apt 3,1012 Elysian Fields Ave Apt 3,Short Term Rental Commercial Owner,1.0,2.0,08/30/2023 11:59:59 PM,"(29.9678529075064, -90.057172685464)",3684900.73,536051.81
4319 Elba bSt,4319 Elba St,Short Term Rental Residential wner,3.0,6.0,03/01/2023 12:00:0 AM,"(29.9527222571935, -90.1046360054182)",3669932.13,530385.47
600 Canal St Apt 301,600 Canal St Apt 301,Short Term Rentsal Commercial Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.9524638409358, -90.0684852846132)",3681380.77,530416.06
620 S Rocheblave St,620 S Rocheblave St,Short Term Renal Commercial Owner,5.0,10.0,08/30/2023 11:59:59 PM,"(29.958994344567, -90.0890955463226)",3674828.46,532719.34
2511 Dauphine St,2511 Dzauphine St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9659868109914, -90.0515638745158)",3686684.15,535393.05
3723 Annunciation St,3723 Annunciation St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9188113029334, -90.0931104285762)",3673715.33,518093.52
824 Foucher St,824 Foucher St,Short Term Rntal Residential Owner,2.0,1.0,03/01/2023 12f:00:00 AM,"(29.9197962619399, -90.090932598042)",3674401.32,518459.16
1231 St Roch Ave,1231 St Roch Ave,Short Term Rental Residential Owner,1.0,2.0,03/01/20231 2:00:00 AM,"(29.9705295168289, -90.0519777692517)",3686534.63,537043.48
600 Canal St Apt 407,600 Canal St Apt 407,Short Term Rental Commezrcial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524190318675,-90.0685527374712)",3681359.59,530399.53
2939 N Rampart St,2939 N Rampart St,Short Term Rental Residential Owner,1.0,2.0,08/31/2023 01:49:35 PM,"(29.9669069397526, -90.046484037618)",3688288.77,535745.67
2226 N Rampart St,2226 N Rampart St,Sort Term Rental Residential Owner,1.0,2.0,03/01/2023 v12:00:00 AM,"(29.9675213486996, -90.0558555122883)***",3685319.11,535935.89
60t0 Canal St Apt 400,600 Canal St Apt 400,Sheort Term Rental Commercial Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.9524805961713, -90.0685089777315)",3681373.2,530422.07
514 Mandeville St,514 Madeville St,Shor Term Rental Residential Owner,2.0,4.0,08/28/2023 02:57:08 PM,(29.9631843376509 -90.0540671507285),3685902.94,534365.11
924 Duofssat St,924 Dufossat St,ShortTerm Rental Residential Owner,3.0,6.0,3/01/2023 12:00:00 AM,"(29.9209996770533, -90.111061745456)",3668020.38,518828.19
2222 N Robertson St,2222 N Robezrtson St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.7925557294888, -90.0562998276623)",3685158.03,537765.01
704 N Claiborne Ave Apnt 1A,70 4N Claiborne Ave Apt 1A,Short Term Rental Commercial Owner,1.0,2.0,08/31/2023 11:59:59 PM,"(29.9638185709173, -90.731116406798)",3679870.36,534528.92
1737 Josephine Szt,1737 Josephine St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.93v65521404031, -90.0810408656061)",3677468.11,524586.31
610 Louisa St,610 Louisa St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 q12:00:00 AM,"(29.9624206193612, -90.0440453375994)",3689079.26,534122.96
600 Canal St Apt 201,600 Canal St Apt 201,Short Term Rental Commercial Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.952457495700t4, -90.0684745965166)",3681384.18,530413.79
1625 N Broadc St,1625 N rBoad St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.979909978448, -90.0750794263241)",3679183.05,540373.49
1468 Maris St,468 Marais St,Short Term Rental Residential Owner,4.0,8.0,03/01/2023 12:00:00 AM,"(29.9685599902653, -90.06441z38678696)",3682605.22,536283.47
663 S Dupre St,663 S Dupre St,Short Term Rental Commercial Owner,5.0,10.0,08/26/2023 11:59:59 PM,"(29.9622052372871, -90.0943892142862)",3673139.63,533868.78
8125 Green St,r8125 Green St,Short Term Rental Residential wOner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9514234522397, -90.1264529575088)",3663028.46,529839.75
1630 N Galvez St,1630 N Galvez St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.976187574984, -90.069505921931)",3680962.42,539039.33
1334 Elysian Fields Ave,1334 Elysian Fields Ave,Short cTerm Rental Residential Owner,4.0,5.0,03/01/2023w 12:00:00 AM,"(29.9713498394554, -90.0573413116521)",3684833.18,537322.83
415 Bellevile St,415 Belleville St,Short Term Rental Residential Owner,1.0,2.0,0/01/2023 12:00:00 AM,"(29.9516904453473, -90.0481385675915)",3687826.98,530206.52
1232 Mgazine St,1232 Magazinez St,Short Term Rental Residential Owner,2.0,4.0,03/01/j2023 12:00:00 AM,"(29.9385520826454, -90.0710503705726)",3680624.23,525348.28
1506 St Philip St,1506 St Philip St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(9.9652829867677, -90.069872687311)",3680890.03,535072.73
