2290.stlnstlocname,EAST EM ST,EAST ELM ST
894.global_id,94978cf5-c0a0-4afd-be30-47b51e667ade,94978cf5-c0a0-4afd-be30-47b15e667ade
519.stlnstlocname,JORDAN LaA,JORDAN LA
1207.stlnstlocname,NORT HMAIN ST,NORTH MAIN ST
1021.stlnstlocname,NORWICH WESTERxLY RD,NORWICH WESTERLY RD
1035.routeid,8-E,68-E
1056.stlnstlocname,ONTVILLE CONNECTOR,MONTVILLE CONNECTOR
2306.townname,HEBoRON,HEBRON
77.routeid,130E-,130-E
1744.townname,rNORWICH,NORWICH
858.routeid,-S,1-S
2174.xsp,CNT,CONT
1760.routeid,w4-E,4-E
879.townname,DANBURgY,DANBURY
2466.routeid,A-E,1A-E
2553.stlnstlocname,MIDDLE TS,MIDDLE ST
2092.xsp,CNOT,CONT
1274.townname,WsOODBURY,WOODBURY
2107.global_id,312727c-ea88-4cfa-bdce-eacd35e0ba2b,31272f7c-ea88-4cfa-bdce-eacd35e0ba2b
856.xsp,REuV,REV
2062.global_id,3923f8ca-8c08-4814-af1d-ar55543713ffa,3923f8ca-8c08-4814-af1d-a55543713ffa
1602.routeid,67-N,167-N
673.routeid,1S,1-S
593.townname,LYEM,LYME
327.xsp,CNT,CONT
751.global_id,d5a29632-69b4-0468-9bed-a3b3b75c05a3,d5a29632-69b4-4068-9bed-a3b3b75c05a3
458.stlnstlocname,ByLUE HILLS AVE EXT,BLUE HILLS AVE EXT
225.routeid,53u1-W,531-W
510.routeid,3b7-N,37-N
807.stlnstlocname,ROCKY NECKC ONNECTOR,ROCKY NECK CONNECTOR
1662.routeid,e178-E,178-E
1568.xsp,ONT,CONT
1952.global_id,e7f83e47-8679-41aa-a718-44f12c4ad24,e7f83e47-8679-41aa-a718-447f12c4ad24
1816.xsp,CNOT,CONT
2529.xsp,CNT,CONT
793.stlnstlocname,SOMERSR D,SOMERS RD
810.stlnstlocname,SILAS DEANEm HWY,SILAS DEANE HWY
1022.routeid,02-E,20-E
2034.global_id,0faw4787c-ada1-44c6-b88a-b9171fa1473d,0fa4787c-ada1-44c6-b88a-b9171fa1473d
181.townname,OLTON,BOLTON
1523.stlnstlocname,WATER TS,WATER ST
2506.xsp,COT,CONT
2253.stlnstlocname,ONRTH ST,NORTH ST
2201.routeid,8-0E,80-E
1734.routeid,201N-,201-N
1065.routeid,8l1-N,81-N
1701.routeid,3p4-E,34-E
1185.townname,NEWM ILFORD,NEW MILFORD
1963.townname,DANBRY,DANBURY
839.xsp,COvNT,CONT
536.stlnstlocname,MOUNTAI NST,MOUNTAIN ST
1824.stlnstlocname,SUTH MAIN ST,SOUTH MAIN ST
185.stlnstlocname,AIN ST,MAIN ST
2360.global_id,79b3725c-15ca-4d4e-88b7-abc4f553b8zca,79b3725c-15ca-4d4e-88b7-abc4f553b8ca
2282.townname,MANCHESTEeR,MANCHESTER
731.routeid,71-wN,71-N
477.townname,STONINGTtON,STONINGTON
1019.stlnstlocname,RED WHITE SCHOO RD,RED WHITE SCHOOL RD
2283.xsp,LG,LOG
990.global_id,e68c9b7b-a04c-40f3-ab67-cd5610d5a4da,e68c9bb7-a04c-40f3-ab67-cd5610d5a4da
826.global_id,274d95b8-ab75-43c8-9826-4a9a734403c,274d95b8-ab75-43c8-9826-4a9a7344603c
1342.townname,DANfBURY,DANBURY
112.townname,PLAINILLE,PLAINVILLE
408.stlnstlocname,CHARTER DR,CHARTER RD
1056.global_id,f1e0e511-2233-4468-b53tb-605bb419db70,f1e0e511-2233-4468-b53b-605bb419db70
1268.townname,SyTAFFORD,STAFFORD
1296.stlnstlocname,MAIN TS,MAIN ST
2003.routeid,461-S,641-S
383.townname,KILLNGLY,KILLINGLY
2339.stlnstlocname,WASHINGTN AVE,WASHINGTON AVE
2200.townname,DEEP RIVrER,DEEP RIVER
2550.stlnstlocname,FOXONc RD,FOXON RD
1985.global_id,745e5f31-1d4f-4972-90b81-2173d09ffdc,745e5f31-1d4f-4972-90b8-12173d09ffdc
784.townname,NOROFLK,NORFOLK
959.townname,BRiIDGEPORT,BRIDGEPORT
1153.routeid,39N,39-N
72.global_id,040b82c2-186f-449a-cf3-f12972d706b0,040b82c2-186f-449a-9cf3-f12972d706b0
563.xsp,COT,CONT
2495.townname,PUTNM,PUTNAM
2071.xsp,CONhT,CONT
1797.xsp,CNOT,CONT
177.stlnstlocname,SEGAR MOUNiTAIN RD,SEGAR MOUNTAIN RD
1003.townname,ENFIED,ENFIELD
2308.stlnstlocname,DIVISON ST,DIVISION ST
1925.xsp,COTN,CONT
152.global_id,e498141f-cc09-4ef0-97ad-2e138989d8a,e498141f-cc09-4ef0-97ad-27e138989d8a
2572.xsp,COT,CONT
119.routeid,185w-E,185-E
1817.stlnstlocname,TRUMBULLHWY,TRUMBULL HWY
1171.routeid,-4E,4-E
1504.global_id,106c225b-c189-47ab-b7aaa-33420b2181c3,106c225b-c189-47ab-b7aa-33420b2181c3
1236.xsp,CONoT,CONT
1961.routeid,5l24-N,524-N
1714.xsp,zCONT,CONT
2277.global_id,800333fd-01cd-4b6e-b2be-1c6922912102,800333fd-01cd-4b6e-b2be-1c6922921102
2492.townname,HAMEN,HAMDEN
458.xsp,RhEV,REV
223.routeid,5-N,53-N
2549.global_id,8625ec56-6931n-4790-8f2f-e889b844d636,8625ec56-6931-4790-8f2f-e889b844d636
1492.xsp,hCONT,CONT
2213.routeid,527l-N,527-N
1554.stlnstlocname,UNDEbR MOUNTAIN RD,UNDER MOUNTAIN RD
1356.global_id,7b0e4fab-f547-467b-9f4f-e21a4b3bda2d,7b0e4fab-5f47-467b-9f4f-e21a4b3bda2d
256.xsp,CnONT,CONT
1012.routeid,66E-,66-E
677.townname,NEWCANAAN,NEW CANAAN
881.xsp,OCNT,CONT
970.global_id,41b1cdab-0d55-4a4f-956f-adbe2cc535c3,41b1cdab-0d55-4a4f-956f-adbe2cc355c3
1010.global_id,40da8e3a-9aab-44c0-a8f3-5661cddd10b0***,40da8e3a-9aab-44c0-a8f3-5661cddd10b0
2389.xsp,COTN,CONT
600.xsp,CpONT,CONT
75.stlnstlocname,DAYOTN ST,DAYTON ST
1033.global_id,7792c4bd-9772-440f-9b8p5-551daa3164a2,7792c4bd-9772-440f-9b85-551daa3164a2
698.stlnstlocname,COLD SPIRNG RtD,COLD SPIRNG RD
2416.townname,MILFORpD,MILFORD
1100.xsp,COTN,CONT
257.routeid,04-N,604-N
603.global_id,961a8064-d2d4-415b-9a0c-40f8fc064054,691a8064-d2d4-415b-9a0c-40f8fc064054
2158.stlnstlocname,JOH NFITCH BLVD,JOHN FITCH BLVD
177.global_id,303001f9-ee26-4092-a328-33bcb0baaa32b,303001f9-ee26-4092-a328-33bcb0baa32b
547.global_id,f4be2291-0549-487-b25c-a77beaaa0612,f4be2291-0549-4887-b25c-a77beaaa0612
1487.routeid,13l6-N,136-N
2189.stlnstlocname,WESTBROOrK RD,WESTBROOK RD
1979.global_id,d78a38cb-fff0-4682-9b1b-1d5761e8e7c,d78a38cb-fff0-4682-9b1b-1d5761e8e7ac
719.stlnstlocname,BERLIN TPKxE,BERLIN TPKE
2320.xsp,COT,CONT
2252.xsp,CxONT,CONT
1542.global_id,890fe06f-2b83-4e50-a099-bc9ea8e6e7abe,890fe06f-2b83-4e50-a099-bc9ea8e6e7be
1298.routeid,5N-,5-N
1314.townname,IDDLETOWN,MIDDLETOWN
1054.stlnstlocname,WOLCaOTT ST,WOLCOTT ST
1988.xsp,COdNT,CONT
1589.stlnstlocname,NICHOuLS AVE,NICHOLS AVE
2194.routeid,-4E,4-E
431.xsp,fCONT,CONT
70.townname,MIDDLEtFIELD,MIDDLEFIELD
305.routeid,71-N,721-N
955.xsp,COT,CONT
1326.stlnstlocname,BLACKSTONEAVE,BLACKSTONE AVE
308.stlnstlocname,EAST BRrOADWAY,EAST BROADWAY
88.townname,BLOOMFIEDL,BLOOMFIELD
1410.townname,MANSFIEDL,MANSFIELD
2049.global_id,9efcd591-3cg50-4b3b-9b63-9dd5650364d6,9efcd591-3c50-4b3b-9b63-9dd5650364d6
764.stlnstlocname,BILTON D,BILTON RD
1449.stlnstlocname,KENT RpD,KENT RD
929.routeid,6E-,6-E
198.townname,TORRINGTNO,TORRINGTON
1382.stlnstlocname,MIDDLEEX TPKE,MIDDLESEX TPKE
80.stlnstlocname,WINDSO AVE,WINDSOR AVE
736.townname,NROWICH,NORWICH
1418.townname,ASHOFRD,ASHFORD
936.global_id,cf14196e-01d9-4512-bded-b9699cce22a8,cf14196e-0d19-4512-bded-b9699cce22a8
1745.townname,WINDHAxM,WINDHAM
2169.global_id,ad84bcb5-4aac-4331-a0a0-4f70f3243f6,ad84bcb5-4aac-4331-a0a0-4f970f3243f6
669.routeid,-N,1-N
2086.xsp,COTN,CONT
322.global_id,d59d594f-b320-4041-9d41-f819b9abecbu4,d59d594f-b320-4041-9d41-f819b9abecb4
2108.townname,EBRLIN,BERLIN
1048.xsp,ONT,CONT
548.xsp,EV,REV
1703.global_id,1bbd76cb-48e2-41f4-88de-e9b3273589f,1bbd76cb-48e2-41f4-88de-e9b32735891f
1182.townname,KETN,KENT
704.xsp,eCONT,CONT
1160.routeid,69N,69-N
1586.global_id,ac1709e7-8b03-4c36-a9ae-fd8fr88b7dcd9,ac1709e7-8b03-4c36-a9ae-fd8f88b7dcd9
1971.townname,NAUGATCK,NAUGATUCK
1767.stlnstlocname,EDERAL RD,FEDERAL RD
2553.routeid,29-N,229-N
465.xsp,CONaT,CONT
1848.townname,MIDDLETONW,MIDDLETOWN
882.townname,RGANBY,GRANBY
1092.xsp,EV,REV
2122.townname,SEYMdOUR,SEYMOUR
1545.routeid,10-iN,10-N
840.townname,GREENWIpCH,GREENWICH
2210.stlnstlocname,MAIN T,MAIN ST
1858.global_id,cbcf54aa3-6d78-4294-9dbc-26367799f225,ccf54aa3-6d78-4294-9dbc-26367799f225
1169.global_id,6e877661-efb2-42db-a48f-d4fed98a01c9,6e877661-efb2-4d2b-a48f-d4fed98a01c9
1253.global_id,ee7cf45ay-bded-44d2-a2dc-6021a5d68d57,ee7cf45a-bded-44d2-a2dc-6021a5d68d57
421.stlnstlocname,NEW BRITAI AVE,NEW BRITAIN AVE
914.global_id,34f1d362-5594-3459-9661-6f50030bb3d7,34f1d362-5594-4359-9661-6f50030bb3d7
1209.xsp,CONqT,CONT
579.global_id,9d89ea08-7aa9-4387-b55d-72a7ca7acd0,9d89ea08-7aa9-4387-b55d-72a17ca7acd0
1073.xsp,CzONT,CONT
2341.routeid,5N-,5-N
1784.xsp,CNT,CONT
1806.routeid,n44-E,44-E
203.xsp,COT,CONT
2255.routeid,67E-,67-E
1596.routeid,110-N***,110-N
144.stlnstlocname,PROVIDENCE-NEW LONDO TPKE,PROVIDENCE-NEW LONDON TPKE
2369.xsp,ONT,CONT
1927.townname,SEYOMUR,SEYMOUR
1023.townname,GRANYB,GRANBY
346.routeid,07-N,107-N
373.routeid,9b7-N,97-N
886.global_id,9b18f2f3-67c3-493-ab9e-40e0a5ee6030,9b18f2f3-67c3-4903-ab9e-40e0a5ee6030
2152.xsp,dLOG,LOG
186.routeid,4-E,44-E
2581.routeid,5-N,85-N
1086.townname,NEW LONODN,NEW LONDON
2395.townname,CLINTNO,CLINTON
1972.townname,WATERTOkWN,WATERTOWN
1278.townname,MLFORD,MILFORD
475.global_id,fbda7bb-7c22-4e49-99d6-c53f221841d8,fbda7bab-7c22-4e49-99d6-c53f221841d8
1559.routeid,4y5-N,45-N
623.townname,WATERFOxRD,WATERFORD
847.global_id,c295b2b5-3d11-47fe8689-ad7d0eaf5b90,c295b2b5-3d11-47fe-8689-ad7d0eaf5b90
143.global_id,4fed01ee-17c0-b4f48-8ff0-0cabf7fb37a4,4fed01ee-17c0-4f48-8ff0-0cabf7fb37a4
1358.global_id,448b53f9-1fa8-48b5-a4b8-9eeed11a36ea,448b53f9-1af8-48b5-a4b8-9eeed11a36ea
1883.xsp,OG,LOG
1466.routeid,287E-,287-E
515.routeid,4-yW,4-W
1774.global_id,04ba0ed4-6764-4aa2-b805-4d1d674df4ab,04ba0e4d-6764-4aa2-b805-4d1d674df4ab
1148.xsp,LsOG,LOG
608.routeid,1-S,71-S
925.townname,BRIGDEPORT,BRIDGEPORT
136.townname,ETHERSFIELD,WETHERSFIELD
1353.global_id,7eac01f2-8de2-4bc7-9a2e-8c3dceac8655,7eac01f2-8de2-4b7c-9a2e-8c3dceac8655
1897.townname,MADxISON,MADISON
2374.global_id,e4e9a2e0-bac8-4015-aa0a-11e3dc797109,e4e9a2e0-bac8-4015-aa0a-11e3dc791709
491.xsp,COTN,CONT
514.stlnstlocname,EAgST ELM ST,EAST ELM ST
1297.xsp,sLOG,LOG
2172.routeid,61-N,361-N
2263.stlnstlocname,GRIST MILLv RD,GRIST MILL RD
455.routeid,1h84-E,184-E
2219.stlnstlocname,MAIN T,MAIN ST
1875.global_id,9cd4e030-b95a-43c5-b279-afd68bfa785e,c9d4e030-b95a-43c5-b279-afd68bfa785e
1363.global_id,eba62a9c-5220-4b35-9107q-fb290a5b3026,eba62a9c-5220-4b35-9107-fb290a5b3026
695.routeid,136N-,136-N
1843.stlnstlocname,PEAaSE RD,PEASE RD
1792.routeid,832N,832-N
509.routeid,3m7-N,37-N
671.townname,STONINGTnON,STONINGTON
1189.stlnstlocname,ROSPECT DR,PROSPECT DR
2377.townname,ILFORD,MILFORD
1633.xsp,CbONT,CONT
1560.stlnstlocname,HAMMONASSETT CONNECTOcR,HAMMONASSETT CONNECTOR
566.stlnstlocname,UNIVRESITY DR,UNIVERSITY DR
927.stlnstlocname,WATERTONW RD,WATERTOWN RD
926.stlnstlocname,I-84 & RTE 10 CONNETOR,I-84 & RTE 10 CONNECTOR
149.townname,AEST GRANBY,EAST GRANBY
299.stlnstlocname,FRANKLdIN SQUARE,FRANKLIN SQUARE
1205.routeid,71N-,71-N
1044.routeid,20f-E,20-E
2018.routeid,67E-,67-E
2220.routeid,533N-,533-N
1579.xsp,CONpT,CONT
1188.stlnstlocname,LORDSHPI BLVD,LORDSHIP BLVD
1581.xsp,COT,CONT
170.stlnstlocname,NORTHq MAPLE ST,NORTH MAPLE ST
473.xsp,CpONT,CONT
530.xsp,RVE,REV
435.xsp,CtONT,CONT
2173.global_id,5909173-e17f-4e74-b002-75344706237b,59091f73-e17f-4e74-b002-75344706237b
627.global_id,32d4e346-31b5-477a-8af3-0eab2cf99deb,32d4e346-315b-477a-8af3-0eab2cf99deb
71.routeid,418-E,148-E
908.global_id,243a26b6-9ef0-4aa0-9c7e-6f38f0b68f2,243a26b6-9ef0-4aa0-9c7e-6f38f0b682f2
160.xsp,COTN,CONT
1897.xsp,ERV,REV
461.xsp,CmONT,CONT
2145.global_id,c64e0d52-9ed643d0-b3f6-a18a7f372451,c64e0d52-9ed6-43d0-b3f6-a18a7f372451
1508.global_id,ba8e7220-5u840-4fae-8fa7-7cf327e70015,ba8e7220-5840-4fae-8fa7-7cf327e70015
467.global_id,b0989631f0fb-45fd-b228-f71167e9037e,b0989631-f0fb-45fd-b228-f71167e9037e
1798.global_id,5876f1d6-ebf4-44f7-a5da-0fe4f068a0cf,5876f1d6-ebf4-44f7-a5da-0fe4f068a0fc
2573.xsp,CONrT,CONT
1154.stlnstlocname,CORNWALL BRIDGE D,CORNWALL BRIDGE RD
357.stlnstlocname,WEST pMAIN ST,WEST MAIN ST
1842.xsp,COT,CONT
1095.townname,BRDIGEPORT,BRIDGEPORT
766.global_id,5cfa736e-eee0-4199-8c83-115ad45ea09,5cfa736e-eee0-4199-8c83-115ad145ea09
817.routeid,14xA-E,14A-E
2223.townname,ANTON,CANTON
2115.xsp,CNOT,CONT
174.global_id,bfc58892-7fc3-4133-8fcc-d761b819028c,bfc58892-7fc3-4133-8fcc-d761b810928c
592.routeid,424-lN,424-N
11.global_id,af4d57aa-07c3-41dd-9682-3d50ac09b52,af4d57aa-07c3-41dd-9682-3d50abc09b52
674.stlnstlocname,MAIN T,MAIN ST
1219.global_id,b6d69b0c-b396-45e-09d10-d6ee2983ea83,b6d69b0c-b396-45e0-9d10-d6ee2983ea83
1353.xsp,LGO,LOG
870.xsp,CkONT,CONT
2557.routeid,800N-,800-N
2586.stlnstlocname,OLLEGE ST,COLLEGE ST
295.routeid,84-N,846-N
1524.global_id,16319a68-011je-460c-9779-7666e323b28b,16319a68-011e-460c-9779-7666e323b28b
1815.routeid,85-xN,85-N
1741.global_id,d70d81d-2b2c-467e-bfb9-7a35ed19ed25,d70d815d-2b2c-467e-bfb9-7a35ed19ed25
663.townname,NORTH BRAFNORD,NORTH BRANFORD
1864.stlnstlocname,OSTON POST RD,BOSTON POST RD
1789.townname,SAlLEM,SALEM
2397.global_id,6ad61671-a3a7-4373-avfe7-1103f2dbe9bb,6ad61671-a3a7-4373-afe7-1103f2dbe9bb
251.global_id,36569fb5-029b-4f6b-982-c89d23540966,36569fb5-029b-4f6b-98c2-c89d23540966
1485.routeid,313-N,133-N
992.townname,GROOTN,GROTON
1210.xsp,COTN,CONT
201.townname,WINDSOR LOCS,WINDSOR LOCKS
1226.stlnstlocname,RIDGE ST,BRIDGE ST
785.xsp,CNT,CONT
2252.routeid,67-lE,67-E
97.townname,WINHESTER,WINCHESTER
2428.global_id,27a0948-0b1e-4601-8911-d0dc9d68c976,27a09b48-0b1e-4601-8911-d0dc9d68c976
813.routeid,k1-N,1-N
1873.routeid,177N,177-N
212.routeid,1-E,31-E
230.townname,NORTH SOTNINGTON,NORTH STONINGTON
238.global_id,be500a60-59e2-4e1a-8f84-cbd015e7afd,be500a60-59e2-4e1a-8f84-cbd5015e7afd
834.routeid,5S,5-S
1316.townname,WrINDSOR,WINDSOR
208.townname,NORFOK,NORFOLK
2091.townname,GULFORD,GUILFORD
756.xsp,CONjT,CONT
873.stlnstlocname,IRVER RD,RIVER RD
967.townname,GOSHN,GOSHEN
1541.global_id,bed2069-cede-4c0f-a274-5e319a3d6fc0,bedd2069-cede-4c0f-a274-5e319a3d6fc0
1218.stlnstlocname,MIN ST,MAIN ST
556.global_id,a766ecd8-11ce-41d7-833f-asa6a1ae35321,a766ecd8-11ce-41d7-833f-aa6a1ae35321
1423.stlnstlocname,CORMWELL AVE,CROMWELL AVE
2456.routeid,195-eN,195-N
437.global_id,95a97aa73-0289-42c8-a2a9-c7d9c8d8d1bd,9597aa73-0289-42c8-a2a9-c7d9c8d8d1bd
131.routeid,722-N,272-N
1714.stlnstlocname,YMSTIC RD,MYSTIC RD
2474.stlnstlocname,MAI NST,MAIN ST
1284.stlnstlocname,LAKE VIEW TS,LAKE VIEW ST
2509.stlnstlocname,STRATFORD VAE,STRATFORD AVE
2254.townname,SEaYMOUR,SEYMOUR
2263.townname,NORWLK,NORWALK
415.stlnstlocname,GLASTONBURY EXPY,GLASTONBURY EXPWY
1527.stlnstlocname,BOSTONA VE,BOSTON AVE
17.global_id,feb5b047-bdb9-42b8a-f21-1afa0d856de0,feb5b047-bdb9-42b8-af21-1afa0d856de0
1750.xsp,RpEV,REV
765.townname,BEACON FALLS***,BEACON FALLS
325.stlnstlocname,NEW sLONDON RD,NEW LONDON RD
301.xsp,RVE,REV
1937.townname,FRANdKLIN,FRANKLIN
1064.stlnstlocname,CLINTON DR,CLINTON RD
697.stlnstlocname,MIAN ST,MAIN ST
2585.townname,WALLINGFOD,WALLINGFORD
889.stlnstlocname,SPENCER PLINS RD,SPENCER PLAINS RD
414.stlnstlocname,LASTONBURY EXPWY,GLASTONBURY EXPWY
1434.stlnstlocname,STRAITS TKPE,STRAITS TPKE
307.global_id,60bdc94f-3ab3-4775-9eb4-d57300f17e3,60bdc94f-3ab3-4775-9eb4-d57300f175e3
860.townname,AMDEN,HAMDEN
2348.stlnstlocname,EWST ST,WEST ST
264.global_id,8fe3cfa13-28cc-40b9-9023-439b74a9e551,8fe3fa13-28cc-40b9-9023-439b74a9e551
2226.xsp,CONmT,CONT
713.routeid,1v40-E,140-E
2213.xsp,CzONT,CONT
580.global_id,3c4dec3f-54a9-4463-b79c-8c70ad0612be,3c4dec3f-549a-4463-b79c-8c70ad0612be
197.townname,OGSHEN,GOSHEN
841.xsp,OG,LOG
1778.xsp,CsONT,CONT
105.xsp,ONT,CONT
1118.routeid,7-N,17-N
1641.townname,GLASTONBaURY,GLASTONBURY
1059.xsp,ONT,CONT
1783.global_id,36a7df9-6d3d-4543-97e6-7cad0aa0f72e,036a7df9-6d3d-4543-97e6-7cad0aa0f72e
1376.stlnstlocname,WESlT RD,WEST RD
222.townname,EAST HARTFRD,EAST HARTFORD
1921.global_id,ce499342-7ead-4117-8419ce71975522cb,ce499342-7ead-4117-8419-ce71975522cb
1214.townname,NEW iCANAAN,NEW CANAAN
512.xsp,COTN,CONT
2502.routeid,1-N,71-N
2029.routeid,13a0-E,130-E
2143.xsp,CNT,CONT
2414.stlnstlocname,KIGNS HIGHWAY EAST,KINGS HIGHWAY EAST
2542.townname,NORWAzLK,NORWALK
1613.xsp,RVE,REV
584.routeid,b6-E,6-E
155.stlnstlocname,NE LITCHFIELD ST,NEW LITCHFIELD ST
2235.townname,DANBgURY,DANBURY
2499.stlnstlocname,THOMPSON HILL D,THOMPSON HILL RD
760.routeid,153-N,135-N
1308.global_id,a70824f-5ded-4763-b48c-7e31fe1da07e,da70824f-5ded-4763-b48c-7e31fe1da07e
2445.routeid,10-N,100-N
1034.routeid,68w-E,68-E
1250.xsp,RV,REV
1344.townname,PLANIVILLE,PLAINVILLE
263.routeid,-N,5-N
2184.townname,SOMRES,SOMERS
854.xsp,COT,CONT
297.xsp,ERV,REV
472.townname,WEST HAiRTFORD,WEST HARTFORD
2100.xsp,REjV,REV
1581.global_id,9991b2c4-3441-4c00b-24b-da4f64460447,9991b2c4-3441-4c00-b24b-da4f64460447
1287.global_id,f4a91264-bdb2-4e75-b312-acde5c049c1c,f4a91264-bd2b-4e75-b312-acde5c049c1c
2197.townname,FAMRINGTON,FARMINGTON
1074.stlnstlocname,WESTAVON RD,WEST AVON RD
939.global_id,490e0891-e245-46ea-81d6-5dc9cc4f2b42,490e0819-e245-46ea-81d6-5dc9cc4f2b42
2560.townname,KILLIGNWORTH,KILLINGWORTH
2456.global_id,0730c8e1-b51c-44d-bfb7-6abd457793f0,0730c8e1-b51c-44d8-bfb7-6abd457793f0
1014.townname,MIDDLEFILD,MIDDLEFIELD
2253.xsp,COsNT,CONT
1222.global_id,a9cf7a17-7c90-48da-870b-2212620a38f6,a9cf7a71-7c90-48da-870b-2212620a38f6
1371.routeid,82-kW,82-W
393.global_id,f503f02b-6f99-4b20-bc92-1dd9115d8299***,f503f02b-6f99-4b20-bc92-1dd9115d8299
1611.routeid,5N-,5-N
22.global_id,149cf3a3-e3ec-45d9-9cec2852bfed4af8,149cf3a3-e3ec-45d9-9cec-2852bfed4af8
238.stlnstlocname,ASHINGTON ST,WASHINGTON ST
1943.stlnstlocname,OAK BLUFzF AVE,OAK BLUFF AVE
2525.xsp,CNT,CONT
1128.xsp,CeONT,CONT
355.townname,WEST hHAVEN,WEST HAVEN
756.stlnstlocname,MERIDEN DR,MERIDEN RD
1422.routeid,160-tE,160-E
2195.routeid,-4E,4-E
2336.xsp,OG,LOG
2404.townname,NASONIA,ANSONIA
754.global_id,d9df8b5a-073a-43ca-a061-9eddf23dideb6,d9df8b5a-073a-43ca-a061-9eddf23ddeb6
1742.stlnstlocname,MIDDLEBURY D,MIDDLEBURY RD
637.global_id,10d50de2-3897-4ea1-acb4-3ad56302adbb,10d50de2-8397-4ea1-acb4-3ad56302adbb
2316.xsp,COyNT,CONT
2579.stlnstlocname,WEST MAN ST,WEST MAIN ST
51.routeid,154N-,154-N
247.stlnstlocname,qSTONY HILL RD,STONY HILL RD
365.stlnstlocname,WEST lPUTNAM AVE,WEST PUTNAM AVE
1233.townname,ENW CANAAN,NEW CANAAN
939.xsp,ONT,CONT
2535.xsp,ONT,CONT
896.routeid,177N,177-N
2535.global_id,48fb770-bb98-458a-ba3c-1bfcbbb04d80,48fb7709-bb98-458a-ba3c-1bfcbbb04d80
398.routeid,1q37-N,137-N
576.stlnstlocname,COLT HYW,COLT HWY
2103.townname,WASHINGON,WASHINGTON
2075.global_id,e50f05ab-0d96-483p8-94bd-4c4d7a534f23,e50f05ab-0d96-4838-94bd-4c4d7a534f23
387.stlnstlocname,EW CANAAN AVE,NEW CANAAN AVE
2040.stlnstlocname,BUTT SBRIDGE RD,BUTTS BRIDGE RD
912.townname,NORWIHC,NORWICH
489.routeid,j202-N,202-N
736.routeid,2-W,82-W
75.townname,NEWg HAVEN,NEW HAVEN
382.stlnstlocname,BROAD BROOK DR,BROAD BROOK RD
1376.townname,ELINGTON,ELLINGTON
2555.global_id,a4c6f42f-861c-4243ba8b-a53925395ed9,a4c6f42f-861c-4243-ba8b-a53925395ed9
2039.routeid,6E-,6-E
1864.global_id,51b5ef89-a60144c5-a899-cbf50c85071d,51b5ef89-a601-44c5-a899-cbf50c85071d
370.global_id,4516caeh4-db33-4488-a149-312ff7398402,4516cae4-db33-4488-a149-312ff7398402
1665.routeid,4-vE,4-E
1164.global_id,f77ba0b1-e1ce-466a-973-6b163562f55d,f77ba0b1-e1ce-466a-9d73-6b163562f55d
2406.stlnstlocname,CHESETR ST,CHESTER ST
1920.global_id,1d1799he7-00b0-4d43-bf54-8257cfdca75a,1d1799e7-00b0-4d43-bf54-8257cfdca75a
2393.stlnstlocname,WEST PTUNAM AVE,WEST PUTNAM AVE
2308.xsp,CONaT,CONT
833.townname,AST WINDSOR,EAST WINDSOR
1902.townname,NORTH STNINGTON,NORTH STONINGTON
2505.global_id,05af7926-d265-4cea8c87-25ec2ca2af6d,05af7926-d265-4cea-8c87-25ec2ca2af6d
2400.routeid,165x-E,165-E
1657.routeid,71-N,17-N
668.global_id,fae0a5b1-695a-43x3c-8ab0-79f5788e7c9a,fae0a5b1-695a-433c-8ab0-79f5788e7c9a
1535.townname,WEST HATRFORD,WEST HARTFORD
1086.global_id,07124e38-4514-4d51-b4b3-15e0d867acec,07124e38-4514-4d51-b4b3-15ed0867acec
2414.townname,FAIFIELD,FAIRFIELD
1408.global_id,d2393a46-88ca-4c05-b0e2-af6b444985b94,d2393a46-88ca-4c05-b0e2-f6b444985b94
2230.townname,PLYMOTH,PLYMOUTH
674.xsp,ONT,CONT
1811.global_id,3dce0046-9f66-4c77-b007-e71e1a27f0a8,3dce0046-9f66-4c77-b007-e71e1a2f70a8
1618.townname,STRATFRD,STRATFORD
1879.routeid,94-N,49-N
1243.routeid,222N-,222-N
1893.stlnstlocname,BOSTON POST RbD,BOSTON POST RD
376.global_id,c5f2f87f-e333-45d9-8057-9be1ebfe113b,c5f2f87f-e333-45d9-8057-9eb1ebfe113b
1144.stlnstlocname,BANeK ST,BANK ST
1597.stlnstlocname,LEBANON AdVE,LEBANON AVE
1676.routeid,18-6N,186-N
674.townname,CHElSHIRE,CHESHIRE
232.global_id,a9b3a378-3087-4552-aae3-b3f150141d1f,a9b3a378-3087-4552-aea3-b3f150141d1f
1340.global_id,f90b5f5e-5ef8-44c0b86e-fb40dd3b514b,f90b5f5e-5ef8-44c0-b86e-fb40dd3b514b
2296.xsp,ONT,CONT
158.townname,LEBAONN,LEBANON
326.townname,COLHESTER,COLCHESTER
1661.stlnstlocname,OUTH MAIN ST,SOUTH MAIN ST
510.global_id,ef29be1e-fa8-493d-9f19-49facb490889,ef29be1e-fa98-493d-9f19-49facb490889
289.global_id,19096d44-d2e2-4de2-9efpc-1e46a28fad7e,19096d44-d2e2-4de2-9efc-1e46a28fad7e
1973.routeid,3-N,63-N
1924.townname,WASHINGTOeN,WASHINGTON
