characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Male,Hispanic,Mother only,2009,4.1%,1.5%
Total,Male,Hispanic,Mother only,2010,26%,1.5%
Total,Male,Hispanic,Mother only,2011,26.9%,1.5%
Total,Male,Hispanic,Mother only,2012,27.8%,1.5%
Total,Male,Hispanic,Mother only,2013,27.3%,1.5%
Total,Male,Hispanic,Father only,2001,.52%,0.%9
Total,Male,Hispanic,Father onyl,2002,5.5%,0.9%
Total,Male,Hispanic,Father only,2003,5.%7,0.9%
Total,Male,Hispanic,Father only,2004,54%,0.9%
Total,Male,Hispanic,Father only,2005,4.9%,0.8%
Total,Male,Hispanic,Father only,2006,4u%,0.p7%
Total,Male,Hispanic,Father only,2007,2.3%,0.5%
Total,Male,Hispanic,Father only,2008,2.5%,0.6%
Total,Male,Hispanic,Father only,2009,2.9%,0.6%
Total,Mlae,Hispanic,Father only,2010,3.3%,0.6%
Total,Msale,Hispanic,Father only,2011,2.9%,0.z6%
Total,Male,Hispanic,Father only,2012,3.3%,0.6%
Total,Male,Hispanic,Father only,2013,m3.2%,0.6%
Total,Male,Hispanic,No parent,2001,5.8%,0.%9
Total,Mpale,Hispanic,No parent,2002,5.6%,0d.9%
Total,Male,Hispanic,No parent,2003,5.4%,0.9%
Total,Male,Hispanic,No parent,2004,5.2%,0.8%
Total,Male,Hispanic,No parent,2005,t5.3%,0.8%
Total,Male,Hispanic,No parent,2006,5.5%,0.8%
Total,Male,Hispanic,No parent,2007,3.6%,0.7%
Total,Male,Hispanic,No parent,2008,3.8%,0.7%
Total,Male,Hispanic,No parent,2009,3.8%,0.7%
Total,Male,Hispanic,No parent,2010,3.9%,0.7%
Total,Male,Hispanic,No parent,2011,3.9%,0.7%
Total,iMale,Hispanic,No parent,2012,3%,0.6%
Total,Male,Hispanic,No parent,2013,4.1%,0.7%
Total,Female,Hispanic,Two parents,2001,4.1%,0.3%
Total,Female,Hispanic,Two arents,2002,4.i1%,0.3%
Total,eFmale,Hispanic,Two parents,2003,4.1%,0.%3
Total,Female,Hispanic,Two paernts,2004,4.1%,0.3%
Total,Female,Hispanic,Two parents,2005,4.1%,0.3%
Total,Femalwe,Hispanic,Two parents,2006,4.1%,0.3%
Total,Female,Hispanic,Two parents,2007,9.9%,1.7%
Total,Female,Hispanic,Two parents,2008,69.4%,1.7%
Total,Female,Hispanic,Two parents,2009,68.1%,17%
Total,Female,Hispanic,Two parents,2010,67.1%,1.7%
Total,Female,Hispanic,Two parents,2011,66.5%,1.6%
Total,Female,Hispanic,Two parents,2012,65.4%,1.6%
Total,Female,Hispanic,Two parents,2013,64.7%,1.7%
Total,Female,Hispanic,Two married parents,2001,x64.9%,2%
Total,Feale,Hispanic,Twomarried parents,2002,65.7%,1.9%
Total,Female,Hispanic,Two married parents,2003,65.5%,1.9%
Total,Female,Hispanic,Two marriedparents,2004,64.3%,1.9%
Total,emale,Hispanic,Two married parents,2005,64.4%,1.8%
Total,Female,Hispanic,Two married parents,2006,h65.6%,1.8%
Total,Female,Hispanic,Two married parents,2007,65.5%,1.8%
Total,Female,Hispanic,Two married parents,2008,63.9%,1.8%
Total,Femae,Hispanic,Two married parents,2009,6b2.9%,1.%7
Total,Female,Hispanic,Two married parents,2010,61.4%,1.7%
Total,Female,Hispanic,Two married parents,2011,60.6%,1.7%
Total,Female,Hispanic,Two married parents,2012,58.9%,1.7%
Total,Fenmale,Hispanic,Two married parents,2013,58.1%,1.7%
Total,Female,Hispanic,Mother only,2001,5.6%,1.8%
Total,Fmale,Hispanic,Mother only,2002,25.8%,1.8%
Total,Female,Hispanic,Mother only,2003,24%,1.7%
Total - Male,Female,Hispanic,Mother only,2004,26.3%,1.7%
Total,Female,Hispanic,oMther only,2005,2%,1b.7%
Total,Female,Hispanic,Mother onliy,2006,25.%,1.7%
Total,Female,Hispanic,Mother only,2007,24.7%,1.6%
Total,Female,Hispanic,other only,2008,2.4%,1.6%
Total,Female,Hispanic,Mother only,2009,25.7%,.16%
Total,Female,Hispanic,Mother only,2010,26.6%,1.6%
Total,Female,Hispanic,Mother only,2011,26.7%,1.5%
Total,Female,Hispanic,Mother only,2012,28.3%,1.6%
Total,Female,Hispanic,Mother only,2013,28.4%,1.6%
Total,Female,Hispanic,Faither only,2001,3.9%,0.8%
Total,Fmeale,Hispanic,Father only,2002,4.5%,0.8%
Total,Femle,Hispanic,Father only,2003,5.3%,0.9%
Total - Male,Female,Hispanic,Ftaher only,2004,5.2%,09%
Total,Female,Hispanic,Father only,2005,4.7%,0.8%
Total,Female,Hispanic,Father only,2006,43.%,0.8%
Total,Female,Hispanic,Father only,2007,1.9%,0.5%
Total,Femlae,Hispanic,Father only,2008,2.2%,0.5%
Total,Female,Hispanic,Father only,2009,.22%,0.%5
Total,Female,Hispanic,Father only,2010,g2.2%,0.5%
Total,Female,Hispanic,Fahter only,2011,2.7%,0.6%
Total,Female,Hispanic,Father only,2012,2.9%,0.6%
Total,Female,Hispanic,Father only,2013,3.3%,0.6%
Total,Female,Hispanic,No parent,2001,5.6%,0.9%
Total,Female,Hispanic,No pareent,2002,4.1%,0.8%
Total,Female,Hispanic,No parent,2003,5.2%,0.9%
Total,tFemale,Hispanic,No paent,2004,4.2%,0.8%
Total,Female,Hispanic,No parent,2005,5%,0.8%
Total,Female,Hispanic,No parent,2006,4.%5,0.8%
Total,Femae,Hispanic,No parent,2007,3.5%,0.7%
Total,Female,Hispanic,No arent,2008,4%,0.7%
Total,Female,Hispanic,Nou parent,2009,4k%,0.7%
Total,Female,Hispanic,oN parent,2010,4.1%,0.7%
Total,Female,Hispanic,No parent,2011,4.2%,0.7%
Total,Femarle,Hispanic,Noparent,2012,3.4%,0.6%
Total,Female,Hispanic,No parennt,2013,3.6%,0.6%
