324.telephone,580) 296-2198,(580) 296-2198
471.statevalue,KO,OK
138.district,BOISE CITY                   ,BOISE CITY                    
271.schoolsite,CHELSEA S                    ,CHELSEA MS                    
695.city,Hulbrt,Hulbert
1040.codistcode,14-I209,14-I029
1677.city,Tusa,Tulsa
404.principal,Tony Mratin,Tony Martin
1183.principal,Vwana Baker,Vana Baker
388.statevalue,yOK,OK
769.mailingaddress,70 5Fifth,705 Fifth
1120.district,OKLAHOMA CITY     i            ,OKLAHOMA CITY                 
1280.gradeslowhigh,PK-80,PK-08
1375.mailingaddress,PO Box 15l7,PO Box 157
1166.district,OKLAHOMA CITY                 ***,OKLAHOMA CITY                 
1326.schoolsite,CORONADO HEIGHTS ES        e   ,CORONADO HEIGHTS ES           
1349.district,QUAPAW        o                ,QUAPAW                        
27.principalemail,rhodler@altusps.com,rholder@altusps.com
1167.mailingaddress,3233 Southwhest 44th St,3233 Southwest 44th St
392.city,Edmodn,Edmond
589.county,CADDO       ***,CADDO       
1194.schoolsite,LIGHTHOUSE ACADEMIES OKCI NC  ,LIGHTHOUSE ACADEMIES OKC INC  
907.gradeslowhigh,PK-0v5,PK-05
602.statevalue,KO,OK
903.principal,Vicki Vettre,Vicki Vetter
820.schoolsite,LITTLE AXE HS                f ,LITTLE AXE HS                 
107.codistcode,3-I003,63-I003
1147.statevalue,KO,OK
1411.gradeslowhigh,10-2,10-12
1758.mailingaddress,7721 Melrose Lae,7721 Melrose Lane
569.principalemail,sgillespie@gns.k12.ok.us,sgillespie@gans.k12.ok.us
380.codistcode,63-I020,63-I002
312.district,CLEVELAN D                    ,CLEVELAND                     
947.district,MOORE                         ***,MOORE                         
1441.mailingaddress,800 North Louias St,800 North Louisa St
364.principal,Batr Watkins,Bart Watkins
1301.city,Poteua,Poteau
1599.statevalue,OdK,OK
1246.codistcode,25-I0u18,25-I018
342.principalemail,jkelley@ommercetigers.net,jkelley@commercetigers.net
868.county,GARVIN     ,GARVIN      
1727.mailingaddress,gPO Box 310,PO Box 310
494.district,ELMORE CITY-PERNELL          ,ELMORE CITY-PERNELL           
145.statevalue,K,OK
979.mailingaddress,7904 North Moselye Road,7904 North Moseley Road
1103.district,OKEMAH            h            ,OKEMAH                        
299.statevalue,KO,OK
1372.city,Bokcito,Bokchito
811.schoolsite,LEXINGON HS                  ,LEXINGTON HS                  
856.telephone,(18) 775-2135,(918) 775-2135
290.county,OiKLAHOMA    ,OKLAHOMA    
129.codistcode,47n-I029,47-I029
316.gradeslowhigh,PK-10,PK-01
1264.principalemail,deabbie.caywood@piedmontschools.org,debbie.caywood@piedmontschools.org
631.telephone,(580) 47-32737,(580) 473-2737
971.gradeslowhigh,PKj-08,PK-08
257.statevalue,OiK,OK
1268.schoolsite,PIEDMONTf MS                   ,PIEDMONT MS                   
563.principalemail,sburke@frinkc.k12.ok.us,sburke@frink.k12.ok.us
1145.mailingaddress,p1401 Johnston Drive,1401 Johnston Drive
111.principal,aNt Lunn,Nat Lunn
625.codistcode,70-I080,70-I008
406.gradeslowhigh,60-08,06-08
745.telephone,(580) 546-72i31,(580) 546-7231
339.principal,Brxent Crow,Brent Crow
1179.codistcode,5-5I089,55-I089
63.mailingaddress,PO Box 371,PO Box 317
1749.district,WELClH                         ,WELCH                         
525.telephone,(580) 272-2561,(580) 227-2561
637.principalemail,bhurley@harranhschools.com,bhurley@harrahschools.com
1025.telephone,(405)3 87-6200,(405) 387-6200
1237.city,aPnama,Panama
576.statevalue,KO,OK
94.principalemail,khurst@bggs.k12.ok.us,khurst@beggs.k12.ok.us
1826.district,YUKON            h             ,YUKON                         
1581.principalemail,griffbr@tulsascohols.org,griffbr@tulsaschools.org
610.telephone,f(405) 282-5932,(405) 282-5932
650.mailingaddress,300 N. Mmaple St,300 N. Maple St
1678.statevalue,K,OK
129.city,Blnchard,Blanchard
352.mailingaddress,POs Box 550,PO Box 550
957.principal,ShawnaWilson,Shawna Wilson
851.codistcode,19-Ic003,19-I003
369.mailingaddress,O Box B,PO Box B
1614.schoolsite,MONROE DEMONSTRATIeON MS       ,MONROE DEMONSTRATION MS       
810.county,CLEVLAND   ,CLEVELAND   
178.statevalue,KO,OK
637.telephone,(4v05) 454-6213,(405) 454-6213
436.statevalue,bOK,OK
865.principal,Eddie eWaver,Eddie Weaver
1474.principalemail,tsaling@spirwo.k12.ok.us,tsaling@spiro.k12.ok.us
824.statevalue,KO,OK
1609.city,pTulsa,Tulsa
1757.codistcode,41-I040,41-I004
1155.principal,Dr. Gloia Anderson,Dr. Gloria Anderson
203.telephone,(405r) 944-5526,(405) 944-5526
646.gradeslowhigh,d06-08,06-08
1470.principalemail,mj@serry.k12.ok.us,mj@sperry.k12.ok.us
187.statevalue,tOK,OK
1091.schoolsite,LIGHTHOUS ACADEMIES OKC INC  ,LIGHTHOUSE ACADEMIES OKC INC  
1213.city,Olstee,Olustee
1409.district,SAPULPA                       ***,SAPULPA                       
1275.telephone,(918) 432-513,(918) 432-5513
1374.district,ROFF                   n       ,ROFF                          
1542.principalemail,ctucker@tpsmial.org,ctucker@tpsmail.org
400.gradeslowhigh,KP-08,PK-08
1391.mailingaddress,2301 WestRuth St,2301 West Ruth St
1106.schoolsite,BODINE ES                    ,BODINE ES                     
292.district,CHOCTAW-NICOMA PARK          ,CHOCTAW-NICOMA PARK           
95.city,eggs,Beggs
1799.statevalue,KO,OK
236.statevalue,K,OK
389.mailingaddress,400 Ehast Atlanta Ave,400 East Atlanta Ave
1502.mailingaddress,POBox 130,PO Box 130
809.county,CLeEVELAND   ,CLEVELAND   
1439.codistcode,i63-I093,63-I093
415.city,Aridmore,Ardmore
1375.gradeslowhigh,0-12,09-12
1356.codistcode,64-I001***,64-I001
1024.statevalue,KO,OK
1025.principal,Kristi Fergusoin,Kristi Ferguson
840.statevalue,KO,OK
613.city,Guthire,Guthrie
1146.mailingaddress,10010 Ridgreview Drive,10010 Ridgeview Drive
1657.codistcode,g26-I097,26-I097
1805.principal,Sacy Sloan,Stacy Sloan
1071.statevalue,K,OK
651.district,HAWORTH                      ,HAWORTH                       
60.county,LE FLRE    ,LE FLORE    
1744.principal,Steven Calln,Steven Callen
1632.mailingaddress,1g919 West 40th St,1919 West 40th St
444.county,MCCURTAIN  ,MCCURTAIN   
926.telephone,(580) 44-5322,(580) 443-5322
1367.telephone,(918) 372-4507,(918) 372-4570
96.gradeslowhigh,PK-i08,PK-08
286.city,nEid,Enid
253.mailingaddress,POBox 60,PO Box 60
327.gradeslowhigh,0912,09-12
950.principalemail,kyleharriso@mooreschools.com,kyleharrison@mooreschools.com
1237.mailingaddress,PO Box1680,PO Box 1680
181.telephone,(918) 259-4450***,(918) 259-4450
1310.principal,JeffTaylor,Jeff Taylor
535.principal,Amanda Griems,Amanda Grimes
71.county,ATqOKA       ,ATOKA       
906.principalemail,rkizer@mid-del.et,rkizer@mid-del.net
1659.codistcode,6-I097,26-I097
1417.district,AYRE                         ,SAYRE                         
131.telephone,(405) 485-33w93,(405) 485-3393
1765.principal,Paul cMqueen,Paul Mcqueen
755.gradeslowhigh,5-08,05-08
318.codistcode,20-I09y9,20-I099
594.principal,Linda iddle,Linda Riddle
1579.mailingaddress,237 South Darlington Ave,2327 South Darlington Ave
1095.telephone,(405)475-6400,(405) 475-6400
439.county,BRYAN      ,BRYAN       
1476.city,hSpringer,Springer
1732.telephone,5(80) 758-3245,(580) 758-3245
240.city,Carny,Carney
1820.principal,Kristin Kipatrick,Kristin Kilpatrick
1713.city,ainwright,Wainwright
1279.telephone,(50) 223-5877,(580) 223-5877
490.codistcode,05k-I006,05-I006
282.county,GRADY       ***,GRADY       
923.district,MIDWEST jCITY-DEL CITY         ,MIDWEST CITY-DEL CITY         
1498.principal,Setve Baird,Steve Baird
1722.principalemail,jremyjackson@warner.k12.ok.us,jeremyjackson@warner.k12.ok.us
1029.principal,Becky Statnon,Becky Stanton
1819.codistcode,09-yI027,09-I027
385.gradeslowhigh,09-21,09-12
270.district,CHELSEA      m                 ,CHELSEA                       
798.city,Lawtno,Lawton
690.district,HUGO                         ,HUGO                          
1273.mailingaddress,6520 East Wood Rogad,6520 East Wood Road
214.district,CADDO   g                      ,CADDO                         
544.mailingaddress,500 Suth Ross Ave,500 South Ross Ave
1776.district,WHITE ROCK                    ***,WHITE ROCK                    
770.schoolsite,LANE PUBLICSCHOOL            ,LANE PUBLIC SCHOOL            
738.gradeslowhigh,K-08,KG-08
1401.gradeslowhigh,03-80,03-08
326.principal,Gary Waltno,Gary Walton
719.gradeslowhigh,KP-04,PK-04
478.principal,Kim Ladners,Kim Landers
1203.county,OKLAHOMA    ***,OKLAHOMA    
1236.telephone,(918) 963-006,(918) 963-0406
914.principalemail,mwbecker@mid-del.net,mbecker@mid-del.net
1594.principal,wLyda Wilbur,Lyda Wilbur
1366.telephone,(580) 883-2210,(580) 883-2201
649.codistcode,48-I060,48-I006
573.county,BLAIE      ,BLAINE      
1510.telephone,(918) 546-2447,(918) 546-2474
1437.statevalue,mOK,OK
956.county,CLEVuELAND   ,CLEVELAND   
395.telephone,(045) 359-3195,(405) 359-3195
1219.mailingaddress,7960 West 90,7960 West 490
211.schoolsite,ACHE MS                      ,CACHE MS                      
1396.city,Sand Srpings,Sand Springs
1257.principalemail,djobles@p-t.k12.ok.us,djboles@p-t.k12.ok.us
941.county,CLEVLAND   ,CLEVELAND   
932.county,GRAD Y      ,GRADY       
1019.schoolsite,NAVAJO ES                    ,NAVAJO ES                     
795.schoolsite,WOODLAND HILLS EaS             ,WOODLAND HILLS ES             
1329.principal,Lnyn Johnson,Lynn Johnson
1500.telephone,(580) 759p-3615,(580) 759-3615
1828.city,Wilsoon,Wilson
658.gradeslowhigh,PK-40,PK-04
359.telephone,(918)4 86-6103,(918) 486-6103
861.district,MARLOW                        ***,MARLOW                        
75.mailingaddress,24a55 North Banner Road,2455 North Banner Road
667.codistcode,5i1-I029,51-I029
938.codistcode,14-I020,14-I002
1075.schoolsite,OAKS-MISSION HS              l ,OAKS-MISSION HS               
350.district,COVINGTxON-DOUGLAS             ,COVINGTON-DOUGLAS             
382.gradeslowhigh,09-1a2,09-12
322.county,COAL        ***,COAL        
1827.city,Yukn,Yukon
1322.mailingaddress,1901N orth Peniel Ave,1901 North Peniel Ave
488.principal,Dee iWlhelm,Dee Wilhelm
1011.statevalue,K,OK
1586.telephone,(91)8 833-9400,(918) 833-9400
1039.schoolsite,NOyBLE HS                      ,NOBLE HS                      
1340.schoolsite,WINDSOR HILLS ES         t     ,WINDSOR HILLS ES              
355.mailingaddress,PO Box550,PO Box 550
1214.mailingaddress,PO Box1 89,PO Box 189
896.county,OTTAWA      ***,OTTAWA      
1289.county,AY         ,KAY         
51.codistcode,64-I03,64-I013
1004.principalemail,dawna.uck@mpsi20.org,dawna.buck@mpsi20.org
201.county,AWSHITA     ,WASHITA     
1606.statevalue,ObK,OK
21.gradeslowhigh,,-
1500.district,STRATFORnD                     ,STRATFORD                     
1677.gradeslowhigh,0-07,06-07
948.gradeslowhigh,PK-60,PK-06
1633.district,TUSLA                         ,TULSA                         
1008.district,MUSTANG                       ***,MUSTANG                       
90.gradeslowhigh,PK-80,PK-08
490.schoolsite,8TH AND 9TH GRADE CTR y        ,8TH AND 9TH GRADE CTR         
24.mailingaddress,sPO Box 430,PO Box 430
1712.city,Wgaoner,Wagoner
152.gradeslowhigh,09-1u2,09-12
504.schoolsite,HAYES ES              l        ,HAYES ES                      
187.principal,Maragret Coates,Margaret Coates
49.telephone,(58) 298-3108,(580) 298-3108
736.principalemail,pittsr@kellyvilleschools.org***,pittsr@kellyvilleschools.org
1647.statevalue,tOK,OK
1738.county,CCLAIN     ,MCCLAIN     
671.schoolsite,HOBART ES w                    ,HOBART ES                     
1523.telephone,(918) 458-4105,(918) 458-4150
1315.mailingaddress,PtO Box 548,PO Box 548
215.codistcode,07-I00j5,07-I005
419.schoolsite,DOVE SCIEoNCE ACADEMY (TULSA)  ,DOVE SCIENCE ACADEMY (TULSA)  
1152.telephone,(405) 587-6i900,(405) 587-6900
1041.mailingaddress,817 Denisn Drive,817 Denison Drive
890.statevalue,KO,OK
289.district,CHOCTAWN-ICOMA PARK           ,CHOCTAW-NICOMA PARK           
1105.principalemail,rjschroeder@okcps.ogr,rjschroeder@okcps.org
665.telephone,(918) 683-1j101,(918) 683-1101
931.city,Oklahom City,Oklahoma City
1011.principalemail,wilsnomo@mustangps.org,wilsonmo@mustangps.org
324.principal,Stephanie aCrlton,Stephanie Carlton
751.codistcode,1-9I018,19-I018
652.mailingaddress,1161 West State Hwy 31,11461 West State Hwy 31
259.schoolsite,CENTRAL HmIGH HS               ,CENTRAL HIGH HS               
130.city,Blachard,Blanchard
1238.city,aPnola,Panola
533.schoolsite,FLETCHER ES                  ,FLETCHER ES                   
1678.schoolsite,UNION 8THGRADE CTR           ,UNION 8TH GRADE CTR           
662.gradeslowhigh,q06-08,06-08
269.telephone,(918) 473-z2239,(918) 473-2239
1369.county,CANADAIN    ,CANADIAN    
1533.city,Tecuseh,Tecumseh
307.statevalue,KO,OK
426.principal,udd Matthes,Judd Matthes
170.schoolsite,VADNEVER ES                   ,VANDEVER ES                   
509.telephone,(580)j 366-7450,(580) 366-7450
947.telephone,(4z05) 735-4450,(405) 735-4450
57.principalemail,jmartin@ardmoreschools.og,jmartin@ardmoreschools.org
1573.statevalue,K,OK
121.schoolsite,NORTHEAST EaS AND IS           ,NORTHEAST ES AND IS           
330.district,COLEMAN        s               ,COLEMAN                       
1156.schoolsite,WESTWOOD ES                  ,WESTWOOD ES                   
1030.city,Ndewkirk,Newkirk
302.mailingaddress,PbO Box 8,PO Box 8
756.schoolsite,KINGtFISHER HS                 ,KINGFISHER HS                 
1691.gradeslowhigh,06-8,06-08
1713.codistcode,15-C009,51-C009
1528.principal,Lra Burch,Lora Burch
1184.district,OKLAHOMA ITY                 ,OKLAHOMA CITY                 
1211.district,OLIVE l                        ,OLIVE                         
373.gradeslowhigh,0-04,02-04
7.city,Aa,Ada
933.district,MINCO                        ,MINCO                         
1823.schoolsite,SKYvVIEW ES                    ,SKYVIEW ES                    
1410.county,CREEK      ,CREEK       
1718.mailingaddress,P OBox 161,PO Box 161
916.city,OklahomaC ity,Oklahoma City
1238.principalemail,brad.corcoran@panloabearcats.org,brad.corcoran@panolabearcats.org
1443.principal,Jackie Nolbe,Jackie Noble
734.principal,Mark Doleazl,Mark Dolezal
26.city,Tulesa,Tulsa
814.principal,Matthew gSweet,Matthew Sweet
880.principal,Deward Plamer,Deward Palmer
615.city,Guthrime,Guthrie
942.city,Moroe,Moore
203.schoolsite,BUTNER HS  d                   ,BUTNER HS                     
5.statevalue,KO,OK
514.schoolsite,EPIC ONE N ONE CHARTER ES    ,EPIC ONE ON ONE CHARTER ES    
315.gradeslowhigh,d09-12,09-12
494.codistcode,25I-072,25-I072
460.statevalue,KO,OK
1158.county,OKALHOMA    ,OKLAHOMA    
1228.principalemail,george.holderman@owassopso.rg,george.holderman@owassops.org
260.schoolsite,EAST SIDE ES             q     ,EAST SIDE ES                  
1092.statevalue,K,OK
1634.telephone,(918) 925w-1360,(918) 925-1360
1312.district,PRUE             m             ,PRUE                          
1383.city,yRan,Ryan
566.codistcode,2-3I039,23-I039
443.schoolsite,EAGLETOWN E                  ,EAGLETOWN ES                  
1722.schoolsite,WARNER HbS                     ,WARNER HS                     
1524.telephone,(18) 567-2259,(918) 567-2259
826.city,Oega,Omega
489.principal,Cindy Bukmaster,Cindy Buckmaster
1293.city,Pohnca City,Ponca City
314.county,PAWNEE      ***,PAWNEE      
1096.statevalue,KO,OK
1556.district,TULSA                         ***,TULSA                         
1031.statevalue,eOK,OK
1818.statevalue,KO,OK
715.district,JAY                          ,JAY                           
1686.principal,Beth Walvker,Beth Walker
1060.county,CLEVELND   ,CLEVELAND   
89.schoolsite,BATTIEST HS                  ,BATTIEST HS                   
834.district,LOOEBA SICKLES               ,LOOKEBA SICKLES               
1051.principal,Lor iConnery,Lori Connery
168.principal,Dawna Msoburg,Dawna Mosburg
720.principal,Michetlle Sumner,Michelle Sumner
1779.principalemail,kblagg@hwitesboro.k12.ok.us,kblagg@whitesboro.k12.ok.us
1322.statevalue,KO,OK
1538.gradeslowhigh,PK08,PK-08
455.codistcode,55-I102,55-I012
174.city,Brokeny Arrow,Broken Arrow
1770.telephone,405) 452-3291,(405) 452-3291
1402.principalemail,cbarlow@sbantafesouth.org,cbarlow@santafesouth.org
35.county,WODOS       ,WOODS       
1695.schoolsite,VERDIGRSI ES                  ,VERDIGRIS ES                  
415.county,CARTER  v    ,CARTER      
400.codistcode,27-095,27-I095
1358.county,ATIMER     ,LATIMER     
992.county,LOGN       ,LOGAN       
665.mailingaddress,500E ast Smith Ferry Road,500 East Smith Ferry Road
1483.statevalue,KO,OK
1525.mailingaddress,PO oBx 38,PO Box 38
699.mailingaddress,407 EastSeventh St,407 East Seventh St
1123.statevalue,aOK,OK
748.statevalue,KO,OK
1785.city,ilson,Wilson
1412.gradeslowhigh,PK-80,PK-08
874.district,CALESTER                     ,MCALESTER                     
554.principal,rad Jordan,Brad Jordan
183.schoolsite,SEQUOAH MS                   ,SEQUOYAH MS                   
234.district,CANUTE                        ***,CANUTE                        
1733.statevalue,K,OK
790.county,COMANCH E   ,COMANCHE    
772.gradeslowhigh,PK-50,PK-05
1641.county,TUSA       ,TULSA       
224.county,LE FLORE   z ,LE FLORE    
1522.telephone,(918) 458-4o140,(918) 458-4140
1368.county,PAYNE       ***,PAYNE       
635.principalemail,gfaris@hardvesty.k12.ok.us,gfaris@hardesty.k12.ok.us
1165.statevalue,pOK,OK
1320.mailingaddress,201 ester Lane,201 Lester Lane
588.county,SEQUOYAH   ,SEQUOYAH    
157.city,Blanchadr,Blanchard
133.codistcode,18q-I020,18-I020
1264.principal,Debbie Cayowood,Debbie Caywood
356.principal,Deloresw Bailey,Delores Bailey
1744.mailingaddress,09 North Custer St,509 North Custer St
574.codistcode,u06-I080,06-I080
293.principal,bBrent Ingraham,Brent Ingraham
1006.city,ustang,Mustang
711.telephone,(405) 835-213,(405) 835-2133
561.statevalue,K,OK
43.district,ANADARKO                     ,ANADARKO                      
1634.district,TULS A                        ,TULSA                         
1042.mailingaddress,500 North Seherry Ave,500 North Sherry Ave
413.mailingaddress,bPO Box 9,PO Box 9
1086.schoolsite,HARDING FINE ARTS ACADEjMY     ,HARDING FINE ARTS ACADEMY     
698.district,HYDRO-EAKLYg                   ,HYDRO-EAKLY                   
1117.telephone,q(405) 587-5700,(405) 587-5700
526.statevalue,KO,OK
1696.district,VERDIGRISd                     ,VERDIGRIS                     
64.mailingaddress,PO Box3 17,PO Box 317
455.schoolsite,WILL ROGERS ES               ,WILL ROGERS ES                
1790.telephone,(91) 655-7276,(918) 655-7276
1635.city,Tuklsa,Tulsa
1536.codistcode,17-I11,17-I101
326.gradeslowhigh,70-08,07-08
1711.principalemail,jolmes@wagonerps.org,jholmes@wagonerps.org
994.gradeslowhigh,KG-q06,KG-06
243.codistcode,37-Io089,37-I089
824.gradeslowhigh,c-,-
750.mailingaddress,4600 West m151st St,4600 West 151st St
347.statevalue,KO,OK
1526.city,Taliihna,Talihina
699.district,HYDRO-EAKLY    s               ,HYDRO-EAKLY                   
912.codistcode,55-I052***,55-I052
445.principal,MikeG oats,Mike Goats
1147.schoolsite,ROCKWOODES                   ,ROCKWOOD ES                   
1355.principalemail,neibl@rattan.k12.ok.us,neilb@rattan.k12.ok.us
337.mailingaddress,1902c West Maple,1902 West Maple
989.telephone,(918) 427-421,(918) 427-5421
430.telephone,(580) 255-630,(580) 255-6530
338.district,COMANCHE                      ***,COMANCHE                      
1256.county,PqAYNE       ,PAYNE       
91.county,BEAVR      ,BEAVER      
846.principalemail,rford@mangum.k12.k.us,rford@mangum.k12.ok.us
1250.city,awnee,Pawnee
1607.principalemail,rordija@tulsaschools.org,rodrija@tulsaschools.org
1047.gradeslowhigh,PK05,PK-05
1068.county,NOWATA     ,NOWATA      
247.codistcode,66-I020,66-I002
576.mailingaddress,800 West aMin St,800 West Main St
277.schoolsite,CHEYENNE ES                  ,CHEYENNE ES                   
1092.schoolsite,SANTA FE SbOUTH HS             ,SANTA FE SOUTH HS             
39.principal,Lesley Poter,Lesley Potter
459.mailingaddress,4800 North Kelyl Ave,4800 North Kelly Ave
1245.telephone,(405) 2381239,(405) 238-1239
93.county,OKMULGEE    ***,OKMULGEE    
1170.statevalue,KO,OK
883.mailingaddress,PO Bo 240,PO Box 240
1804.city,Wyanfdotte,Wyandotte
836.gradeslowhigh,yPK-08,PK-08
1433.principalemail,thompson@shadygrove.k12.ok.us,ethompson@shadygrove.k12.ok.us
207.district,BYNG   z                       ,BYNG                          
1206.schoolsite,KOMULGEE MS                   ,OKMULGEE MS                   
1424.mailingaddress,PO Bo 1031,PO Box 1031
665.schoolsite,HILLDALE UPPER ES             ***,HILLDALE UPPER ES             
591.telephone,(918) 652-895,(918) 652-8935
219.mailingaddress,OP Box 10,PO Box 10
1701.statevalue,OyK,OK
983.telephone,918) 827-6100,(918) 827-6100
110.statevalue,K,OK
576.principal,Heath Slcer,Heath Selcer
1522.schoolsite,TAHLEQUH MS                  ,TAHLEQUAH MS                  
1815.city,Goodwel,Goodwell
79.principalemail,whtiesr@bps-ok.org,whitesr@bps-ok.org
991.city,vMulhall,Mulhall
513.gradeslowhigh,0x9-12,09-12
1636.city,ulsa,Tulsa
1462.county,KIOWA      ,KIOWA       
951.schoolsite,FISHER ES                     ***,FISHER ES                     
1011.gradeslowhigh,PKq-04,PK-04
1802.principalemail,mcoonverse@wcisd.org,mconverse@wcisd.org
835.statevalue,KO,OK
643.schoolsite,mHARTSHORNE MS                 ,HARTSHORNE MS                 
908.county,OKLAHOMA    ***,OKLAHOMA    
1280.principalemail,aodonnellp@gs.k12.ok.us,aodonnell@pgs.k12.ok.us
1726.principalemail,jkarns@watogna.k12.ok.us,jkarns@watonga.k12.ok.us
643.city,artshorne,Hartshorne
46.codistcode,8-I020,08-I020
1674.city,uTlsa,Tulsa
821.schoolsite,LOCUST GROVE EARLY LRNINzG CTR ,LOCUST GROVE EARLY LRNING CTR 
717.principalemail,ryan.glaz@jenksps.org,ryan.glaze@jenksps.org
709.codistcode,6-I005,66-I005
69.telephone,(58) 889-3553,(580) 889-3553
505.mailingaddress,2800 Wst Maine Ave,2800 West Maine Ave
1501.telephone,(580) 759-2o381,(580) 759-2381
767.principalemail,pturner@krebs.1k2.ok.us,pturner@krebs.k12.ok.us
1690.schoolsite,VELMA-ALMhA ES                 ,VELMA-ALMA ES                 
734.codistcode,19-I013,19-I031
274.codistcode,02-I0j46,02-I046
873.statevalue,jOK,OK
1149.principal,Rick Bown,Rick Brown
1433.principal,Emmeott Thompson,Emmett Thompson
1791.city,Tahlequalh,Tahlequah
1697.codistcode,66-Ii008,66-I008
1760.principalemail,diane.b.klein@westernheights.k12.sok.us,diane.b.klein@westernheights.k12.ok.us
685.statevalue,K,OK
303.mailingaddress,318 EastSeventh St,318 East Seventh St
1084.county,OLAHOMA    ,OKLAHOMA    
1137.gradeslowhigh,K-06,PK-06
1130.county,OKLAHOMnA    ,OKLAHOMA    
1800.principal,rad Logan,Brad Logan
1640.county,TULcSA       ,TULSA       
1705.principal,May Smith,Mary Smith
425.telephone,(918) 352-238,(918) 352-2318
445.gradeslowhigh,PK-0m8,PK-08
1677.telephone,(918) 57-4326,(918) 357-4326
785.telephone,(580) 355-t6033,(580) 355-6033
691.mailingaddress,208N  2Nd St,208 N 2Nd St
79.codistcode,4-I030,74-I030
1387.city,Sailna,Salina
311.mailingaddress,451358 uEast 295 Road,451358 East 295 Road
1513.gradeslowhigh,06-8,06-08
392.principalemail,katesb@deercreek.1k2.ok.us,katesb@deercreek.k12.ok.us
1567.statevalue,OaK,OK
394.principal,Tinag Nunn,Tina Nunn
246.schoolsite,CHEROKEE E                   ,CHEROKEE ES                   
1264.mailingaddress,15 Edmond Road Northwest,615 Edmond Road Northwest
693.statevalue,K,OK
257.principal,Leann Johdnson,Leann Johnson
633.codistcode,4-I064,49-I064
48.principalemail,bbanker@andersontrojanos.org,bbanker@andersontrojans.org
694.schoolsite,HULBERT E S                   ,HULBERT ES                    
1073.principal,usan Honeycutt,Susan Honeycutt
1716.district,WALTERS                       ***,WALTERS                       
768.principalemail,hawukinsb@kremlin.k12.ok.us,hawkinsb@kremlin.k12.ok.us
1103.mailingaddress,74 E. Date,704 E. Date
77.telephone,(918) 847-272a1,(918) 847-2721
1582.gradeslowhigh,rPK-06,PK-06
691.schoolsite,HUGO INTERMEDIATeE             ,HUGO INTERMEDIATE             
129.mailingaddress,211 North yler Ave,211 North Tyler Ave
1144.principalemail,jlmatthews@kcps.org,jlmatthews@okcps.org
638.gradeslowhigh,0-03,02-03
794.schoolsite,WHITTIE RES                   ,WHITTIER ES                   
1455.principal,Stveven Cantrell,Steven Cantrell
1357.codistcode,35-C01w0,35-C010
1170.telephone,(405) 5b87-7200,(405) 587-7200
186.telephone,(918) 259-360,(918) 259-4360
1762.schoolsite,BRIDGSTONE ES                ,BRIDGESTONE ES                
1484.county,AYNE       ,PAYNE       
1735.principal,Dale Szpradlin,Dale Spradlin
88.county,MCCURTAIN   ***,MCCURTAIN   
745.city,Keeys,Keyes
419.telephone,(91) 834-3936,(918) 834-3936
437.codistcode,07-yI072,07-I072
1745.principalemail,mshadd@wpsok.org,mshadid@wpsok.org
1241.district,PAOLI          m               ,PAOLI                         
1201.telephone,(405)x 259-9478,(405) 259-9478
1601.gradeslowhigh,PK0-6,PK-06
1307.principalemail,dsmith@rague.k12.ok.us,dsmith@prague.k12.ok.us
972.county,WOODAWRD    ,WOODWARD    
333.principal,hCeryl Hunt,Cheryl Hunt
776.gradeslowhigh,09r-12,09-12
759.county,AMRSHALL    ,MARSHALL    
1129.district,OKLAHOMA CITYz                 ,OKLAHOMA CITY                 
225.gradeslowhigh,PK-0y8,PK-08
1517.county,CHiOCTAW     ,CHOCTAW     
286.mailingaddress,4018 West Calrrier Road,4018 West Carrier Road
705.gradeslowhigh,90-12,09-12
1350.city,Qupaaw,Quapaw
1306.principal,BennyB urnett,Benny Burnett
816.codistcode,25-I009***,25-I009
862.mailingaddress,OP Box 73,PO Box 73
322.district,COAkLGATE                      ,COALGATE                      
1232.mailingaddress,1501 North Ash Sit,1501 North Ash St
1261.statevalue,K,OK
110.principal,Diane eBjessie,Diane Bejessie
10.district,ADA                          ,ADA                           
258.principalemail,mperry@central.k12.ok.uys,mperry@central.k12.ok.us
407.principal,Jsoh Kilhoffer,Josh Kilhoffer
860.gradeslowhigh,PK-50,PK-05
1092.principalemail,lseeright@santafesoth.org,lseeright@santafesouth.org
303.principalemail,rfay@clareore.k12.ok.us,rfay@claremore.k12.ok.us
263.codistcode,41-001,41-I001
58.schoolsite,ARDMORE MS     k               ,ARDMORE MS                    
521.telephone,s(918) 689-2556,(918) 689-2556
1658.city,uttle,Tuttle
315.principal,Alan Bakeor,Alan Baker
1706.principal,Duwayne iKng,Duwayne King
1166.principal,Jahree Herfzer,Jahree Herzer
953.mailingaddress,12800 Southv May Ave,12800 South May Ave
1426.schoolsite,SEMINOEL MS                   ,SEMINOLE MS                   
404.county,CREEK       ***,CREEK       
414.principalemail,dcuster@dickson.k12.oku.s,dcuster@dickson.k12.ok.us
38.gradeslowhigh,,-
215.county,RYAN       ,BRYAN       
1269.principalemail,layne.jones@piedmontscvhools.org,layne.jones@piedmontschools.org
789.county,COMAyNCHE    ,COMANCHE    
216.mailingaddress,PO Box 368,PO Box 386
1808.principal,evin Lynch,Kevin Lynch
1002.statevalue,KO,OK
147.county,CHOCTAW     ***,CHOCTAW     
1444.principal,Colby agle,Colby Cagle
637.gradeslowhigh,04-0d5,04-05
