907.operativeprocedure,Hinp prosthesis,Hip prosthesis
714.facilityname,MercyM edical Center Mt. Shasta,Mercy Medical Center Mt. Shasta
425.statevalue,Clifornia,California
309.facilitytype,"Community, >25 0Beds","Community, >250 Beds"
1036.statevalue,Califonia,California
835.hospitalcategoryriskadjustment,Acute Care Hospitakl,Acute Care Hospital
353.facilityname,Community Hospital of The Montere yPeninsula,Community Hospital of The Monterey Peninsula
563.hospitalcategoryriskadjustment,Acute Cae Hospital,Acute Care Hospital
882.operativeprocedure,Openreduction of fracture,Open reduction of fracture
493.statevalue,Caifornia,California
470.hospitalcategoryriskadjustment,AcuteCare Hospital,Acute Care Hospital
830.statevalue,Caliornia,California
806.county,San Berpnardino,San Bernardino
206.statevalue,alifornia,California
1108.county,Los Angefles,Los Angeles
979.statevalue,aClifornia,California
493.operativeprocedure,pen reduction of fracture,Open reduction of fracture
19.operativeprocedure,STATE OF CALIFORNIA POOLED DATA - Thoracic surgrey,STATE OF CALIFORNIA POOLED DATA - Thoracic surgery
604.county,Aslameda,Alameda
1129.hai,Surgical SiteI nfections (SSI),Surgical Site Infections (SSI)
141.facilityname,"Kaiser Foundation Hospitalz, Roseville","Kaiser Foundation Hospital, Roseville"
584.hospitalcategoryriskadjustment,Acuet Care Hospital,Acute Care Hospital
103.operativeprocedure,Cesarean sectoin,Cesarean section
544.hai,Surgical Site Infbections (SSI),Surgical Site Infections (SSI)
628.facilityname,"John Muir Medical Cener, Walnut Creek Campus","John Muir Medical Center, Walnut Creek Campus"
225.statevalue,Cealifornia,California
349.statevalue,Calfornia,California
1088.county,Los Angewles,Los Angeles
789.facilitytype,"Community, >250B eds","Community, >250 Beds"
837.hospitalcategoryriskadjustment,Acute yCare Hospital,Acute Care Hospital
863.hai,Surgcal Site Infections (SSI),Surgical Site Infections (SSI)
975.facilitytype,"Community, >250 Besds","Community, >250 Beds"
403.facilityname,"Good aSmaritan Hospital, San Jose","Good Samaritan Hospital, San Jose"
1005.hai,Surgicval Site Infections (SSI),Surgical Site Infections (SSI)
644.statevalue,Californbia,California
632.hai,Surgical Site Infections (SSIb),Surgical Site Infections (SSI)
68.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
1082.yearvalue,200H1,2020H1
677.county,San Francissco,San Francisco
681.county,Sran Mateo,San Mateo
34.yearvalue,2020aH1,2020H1
384.county,Monterley,Monterey
205.facilitytype,"Community, >250 Besd","Community, >250 Beds"
339.facilityname,Cildren's Hospital at Mission,Children's Hospital at Mission
291.yearvalue,20k20H1,2020H1
1047.yearvalue,202e0H1,2020H1
605.facilityname,UCSF Benioff Children's Hospital Oaklnd,UCSF Benioff Children's Hospital Oakland
409.county,Satna Cruz,Santa Cruz
565.hospitalcategoryriskadjustment,Acute Cae Hospital,Acute Care Hospital
267.statevalue,Calinfornia,California
598.facilityname,Sierra tView Medical Center,Sierra View Medical Center
834.yearvalue,2002H1,2020H1
263.hai,Surgical Site lInfections (SSI),Surgical Site Infections (SSI)
914.yearvalue,2020nH1,2020H1
586.hospitalcategoryriskadjustment,Acute Carse Hospital,Acute Care Hospital
772.facilitytype,Major Teahing,Major Teaching
485.facilitytype,"Community, <125 Bkeds","Community, <125 Beds"
371.hai,Surgical Site Infection s(SSI),Surgical Site Infections (SSI)
880.yearvalue,20201H,2020H1
777.hospitalcategoryriskadjustment,Ascute Care Hospital,Acute Care Hospital
704.facilityname,Sequsoia Hospital,Sequoia Hospital
837.statevalue,Cailfornia,California
620.facilitytype,"Comumnity, >250 Beds","Community, >250 Beds"
445.statevalue,Calfornia,California
631.operativeprocedure,Laminectoy,Laminectomy
551.facilitytype,"Community, <12 Beds","Community, <125 Beds"
451.county,Sant Clara,Santa Clara
135.statevalue,Califonria,California
513.facilityname,UC San Diego Health Hilalcrest,UC San Diego Health Hillcrest
607.county,Alaemda,Alameda
1020.facilitytype,"Community, 125-250 Besd","Community, 125-250 Beds"
1165.facilityname,Ronald Reagan CLA Medical Center,Ronald Reagan UCLA Medical Center
198.yearvalue,20201,2020H1
209.facilityname,Marian Raegional Medical Center,Marian Regional Medical Center
310.hai,Surgical Site Inzfections (SSI),Surgical Site Infections (SSI)
834.facilityname,Riverside University Health System  Medical Center,Riverside University Health System - Medical Center
263.yearvalue,2h020H1,2020H1
205.facilityname,Los Robls Hospital & Medical Center,Los Robles Hospital & Medical Center
77.operativeprocedure,All proceudres,All procedures
819.operativeprocedure,All proccedures,All procedures
607.operativeprocedure,Exploratory abdominal surgerdy (laparotomy),Exploratory abdominal surgery (laparotomy)
117.yearvalue,202H01,2020H1
268.operativeprocedure,Gallbladder surery,Gallbladder surgery
679.hai,Surgical Site Infectinos (SSI),Surgical Site Infections (SSI)
174.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
750.operativeprocedure,Cesarean secion,Cesarean section
1045.hai,Surgical Site Infectyions (SSI),Surgical Site Infections (SSI)
989.operativeprocedure,Rectl surgery,Rectal surgery
1086.county,Los Aneles,Los Angeles
1008.facilityname,Santa Monica - UCLA Medical Center andl Orthopaedic Hospital,Santa Monica - UCLA Medical Center and Orthopaedic Hospital
797.county,Sjan Bernardino,San Bernardino
917.county,Sn Francisco,San Francisco
305.facilitytype,ajor Teaching,Major Teaching
342.statevalue,Calfornia,California
409.yearvalue,202H01,2020H1
153.facilitytype,Pedatric,Pediatric
922.statevalue,Califpornia,California
101.hai,Surgical Site Infecctions (SSI),Surgical Site Infections (SSI)
952.operativeprocedure,Gallbadder surgery,Gallbladder surgery
358.statevalue,Califoria,California
589.facilitytype,Criical Access,Critical Access
438.county,Santa Cara,Santa Clara
755.statevalue,Cdalifornia,California
1064.facilitytype,Majo Teaching,Major Teaching
864.county,Rievrside,Riverside
13.facilitytype,Major Teacehing,Major Teaching
462.facilitytype,Pedinatric,Pediatric
1188.facilitytype,Pediatwric,Pediatric
226.yearvalue,220H1,2020H1
264.facilitytype,"Comumnity, >250 Beds","Community, >250 Beds"
191.operativeprocedure,Open reductjion of fracture,Open reduction of fracture
641.hai,Surgical Site xInfections (SSI),Surgical Site Infections (SSI)
1190.hai,Surgical Site Infections SSI),Surgical Site Infections (SSI)
358.hospitalcategoryriskadjustment,Acute Care Hosipital,Acute Care Hospital
549.statevalue,Clifornia,California
290.operativeprocedure,Spinal fsuion,Spinal fusion
192.facilityname,"Community Memorial Homspital, San Buenaventura","Community Memorial Hospital, San Buenaventura"
124.hai,Surgial Site Infections (SSI),Surgical Site Infections (SSI)
1132.county,Los cAngeles,Los Angeles
29.hai,Sugical Site Infections (SSI),Surgical Site Infections (SSI)
1043.statevalue,Caliornia,California
1097.facilityname,Methodist Hospital of Southearn California,Methodist Hospital of Southern California
14.yearvalue,020H1,2020H1
194.facilityname,Lompboc Valley Medical Center,Lompoc Valley Medical Center
508.county,Impeiral,Imperial
356.yearvalue,n2020H1,2020H1
357.statevalue,Claifornia,California
722.operativeprocedure,Spipnal fusion,Spinal fusion
1044.yearvalue,2002H1,2020H1
688.hai,Surgical Ste Infections (SSI),Surgical Site Infections (SSI)
497.statevalue,Califonria,California
201.hai,Surical Site Infections (SSI),Surgical Site Infections (SSI)
889.operativeprocedure,Gallblader surgery,Gallbladder surgery
275.statevalue,Caliofrnia,California
594.operativeprocedure,esarean section,Cesarean section
990.yearvalue,200H1,2020H1
1074.yearvalue,x2020H1,2020H1
51.hospitalcategoryriskadjustment,AcuteC are Hospital,Acute Care Hospital
575.facilityname,Bakersfield Memorial Hospitl,Bakersfield Memorial Hospital
903.yearvalue,20201,2020H1
754.facilitytype,"Community, <y125 Beds","Community, <125 Beds"
791.hai,Surgicl Site Infections (SSI),Surgical Site Infections (SSI)
719.hospitalcategoryriskadjustment,cAute Care Hospital,Acute Care Hospital
890.facilityname,"Kaiser Foundation Hospital, Orange Conuty, Anaheim","Kaiser Foundation Hospital, Orange County, Anaheim"
846.facilityname,"Kaiser Foundatio Hospital, Riverside","Kaiser Foundation Hospital, Riverside"
1001.facilityname,Cears-Sinai Marina Del Rey Hospital,Cedars-Sinai Marina Del Rey Hospital
200.facilitytype,"Communiyt, >250 Beds","Community, >250 Beds"
1110.operativeprocedure,All procedures***,All procedures
1173.statevalue,Calfornia,California
543.statevalue,Califonia,California
908.county,San Bernairdino,San Bernardino
733.operativeprocedure,Exploratory abdominal surgery (laparotoym),Exploratory abdominal surgery (laparotomy)
714.facilitytype,Critickal Access,Critical Access
755.county,an Bernardino,San Bernardino
1023.operativeprocedure,All parocedures,All procedures
716.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
595.facilitytype,"Community,<125 Beds","Community, <125 Beds"
976.hai,Srugical Site Infections (SSI),Surgical Site Infections (SSI)
402.hospitalcategoryriskadjustment,Acute aCre Hospital,Acute Care Hospital
935.facilityname,"Kaiser Foundatio nHospital, San Diego","Kaiser Foundation Hospital, San Diego"
525.operativeprocedure,Appndix surgery,Appendix surgery
1035.facilitytype,"Ctommunity, >250 Beds","Community, >250 Beds"
607.yearvalue,20201H,2020H1
230.operativeprocedure,Exploratory abdomianl surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
851.facilitytype,Mjaor Teaching,Major Teaching
1178.county,Los Angees,Los Angeles
643.county,Aalmeda,Alameda
653.hai,Surgical Site Infectiosn (SSI),Surgical Site Infections (SSI)
701.facilityname,"California Pacific Medical Center, Vapn Ness Campus","California Pacific Medical Center, Van Ness Campus"
741.operativeprocedure,Cesarean setcion,Cesarean section
727.facilitytype,"Community, 125-250 Bneds","Community, 125-250 Beds"
988.county,Los rAngeles,Los Angeles
68.facilitytype,"Community, >250e Beds","Community, >250 Beds"
251.facilityname,AMC Anaheim Regional Medical Center,AHMC Anaheim Regional Medical Center
691.hospitalcategoryriskadjustment,Acute Care Hopsital,Acute Care Hospital
109.facilityname,Sutter Tracy Community Hospitla,Sutter Tracy Community Hospital
61.statevalue,Califonia,California
1007.yearvalue,200H1,2020H1
478.operativeprocedure,Alfl procedures,All procedures
655.yearvalue,2002H1,2020H1
741.facilityname,St. Elizabeth Cohmmunity Hospital,St. Elizabeth Community Hospital
395.yearvalue,202H01,2020H1
712.statevalue,Californa,California
641.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
4.hospitalcategoryriskadjustment,Acute Care Hosfpital,Acute Care Hospital
291.facilityname,LAC/HarborU CLA Medical Center,LAC/Harbor UCLA Medical Center
834.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
85.county,Stanismlaus,Stanislaus
209.statevalue,Cailfornia,California
281.facilityname,LAC/yHarbor UCLA Medical Center,LAC/Harbor UCLA Medical Center
946.facilityname,"California Hospital Medical Center, Los Agneles","California Hospital Medical Center, Los Angeles"
440.county,Snata Clara,Santa Clara
465.statevalue,Cailfornia,California
1082.facilityname,Providence Cedars-Sinai Tarzan Medical Center,Providence Cedars-Sinai Tarzana Medical Center
597.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
284.statevalue,alifornia,California
378.hai,Surgical Site Infectons (SSI),Surgical Site Infections (SSI)
481.facilityname,"Kaiser Foundation Hospital,Z ion","Kaiser Foundation Hospital, Zion"
495.operativeprocedure,Cesarean sectiodn,Cesarean section
539.county,Mendoicno,Mendocino
45.hai,Surgical Site Inferctions (SSI),Surgical Site Infections (SSI)
572.facilitytype,"Community, >t250 Beds","Community, >250 Beds"
860.hospitalcategoryriskadjustment,Acukte Care Hospital,Acute Care Hospital
154.county,Sacraemnto,Sacramento
182.hai,Surgical Site Infectionjs (SSI),Surgical Site Infections (SSI)
190.hai,Surgical gSite Infections (SSI),Surgical Site Infections (SSI)
98.statevalue,Caliofrnia,California
664.yearvalue,202H1,2020H1
922.operativeprocedure,Gallbladder surgery***,Gallbladder surgery
245.operativeprocedure,Small bwel surgery,Small bowel surgery
638.facilitytype,Mjor Teaching,Major Teaching
182.statevalue,Caliofrnia,California
436.facilitytype,"Community, >25l0 Beds","Community, >250 Beds"
708.county,Lawssen,Lassen
109.hai,urgical Site Infections (SSI),Surgical Site Infections (SSI)
427.facilitytype,Peditaric,Pediatric
37.operativeprocedure,Lamiectomy,Laminectomy
990.facilityname,Children's Hospitawl Los Angeles,Children's Hospital Los Angeles
941.yearvalue,2e020H1,2020H1
246.facilitytype,Majorf Teaching,Major Teaching
606.facilitytype,Poediatric,Pediatric
508.hai,Surgical Siet Infections (SSI),Surgical Site Infections (SSI)
446.operativeprocedure,Open reduction of fratcure,Open reduction of fracture
979.operativeprocedure,Cardiac suregry,Cardiac surgery
780.county,Ingyo,Inyo
231.hai,Sugical Site Infections (SSI),Surgical Site Infections (SSI)
408.yearvalue,220H1,2020H1
770.yearvalue,200H1,2020H1
314.facilitytype,"Commnuity, 125-250 Beds","Community, 125-250 Beds"
292.county,Los Anglees,Los Angeles
213.county,entura,Ventura
574.statevalue,Califonria,California
285.county,oLs Angeles,Los Angeles
1003.county,Los Aneles,Los Angeles
724.hai,Surgical Site Infections (SSIr),Surgical Site Infections (SSI)
308.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
471.facilityname,"Rady Children's Hospital, San Diiego","Rady Children's Hospital, San Diego"
891.hospitalcategoryriskadjustment,Acute Care Hosiptal,Acute Care Hospital
187.facilitytype,MajorT eaching,Major Teaching
998.yearvalue,202H01,2020H1
554.yearvalue,202H1,2020H1
700.operativeprocedure,Gallbladder surgeyr,Gallbladder surgery
303.county,Los Angkeles,Los Angeles
688.county,Sa nMateo,San Mateo
189.county,Ventuura,Ventura
305.facilityname,LAC+USCf Medical Center,LAC+USC Medical Center
379.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
467.hospitalcategoryriskadjustment,Acute CareHospital,Acute Care Hospital
776.hai,Surgical Site Ivnfections (SSI),Surgical Site Infections (SSI)
139.hospitalcategoryriskadjustment,Aycute Care Hospital,Acute Care Hospital
1100.operativeprocedure,All procdures,All procedures
376.facilityname,Natividad Medical Cener,Natividad Medical Center
655.hai,Surgical Stie Infections (SSI),Surgical Site Infections (SSI)
587.hospitalcategoryriskadjustment,Acute are Hospital,Acute Care Hospital
1071.operativeprocedure,Open redzuction of fracture,Open reduction of fracture
856.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
391.hospitalcategoryriskadjustment,pAcute Care Hospital,Acute Care Hospital
705.hai,Surgical Site Infections (SS),Surgical Site Infections (SSI)
1006.facilitytype,Major Taching,Major Teaching
222.yearvalue,20201H,2020H1
205.statevalue,Ctalifornia,California
400.yearvalue,2020Hm1,2020H1
1123.operativeprocedure,Epxloratory abdominal surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
888.hospitalcategoryriskadjustment,Actue Care Hospital,Acute Care Hospital
1187.facilitytype,Pediaric,Pediatric
1044.facilitytype,Majr Teaching,Major Teaching
821.operativeprocedure,Cearean section,Cesarean section
847.hospitalcategoryriskadjustment,Acute aCre Hospital,Acute Care Hospital
1110.county,Ls Angeles,Los Angeles
52.yearvalue,020H1,2020H1
170.facilitytype,Pedaitric,Pediatric
289.county,Loxs Angeles,Los Angeles
431.operativeprocedure,Retal surgery,Rectal surgery
542.county,Sonmoa,Sonoma
44.statevalue,Cailfornia,California
1166.county,Los Angelse,Los Angeles
794.statevalue,Calfiornia,California
711.facilitytype,"Community, 2>50 Beds","Community, >250 Beds"
613.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
602.facilityname,UCSwF Benioff Children's Hospital Oakland,UCSF Benioff Children's Hospital Oakland
278.yearvalue,020H1,2020H1
859.county,Oranmge,Orange
263.statevalue,Caliornia,California
948.facilitytype,Mahjor Teaching,Major Teaching
414.statevalue,Calvifornia,California
173.statevalue,Califrnia,California
985.yearvalue,200H1,2020H1
1020.yearvalue,2020gH1,2020H1
784.operativeprocedure,Colon surgeyr,Colon surgery
210.statevalue,Cailfornia,California
890.hospitalcategoryriskadjustment,Aute Care Hospital,Acute Care Hospital
164.county,Muerced,Merced
882.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
1159.facilitytype,Major Teachign,Major Teaching
739.county,Tnehama,Tehama
856.facilityname,"Kaiser Foundation Hosptial, Modesto","Kaiser Foundation Hospital, Modesto"
839.facilityname,"Southwest Healthcare Sysbtem, Wildomar","Southwest Healthcare System, Wildomar"
122.statevalue,Californai,California
1160.hai,Surgical Sit Infections (SSI),Surgical Site Infections (SSI)
1056.yearvalue,2x020H1,2020H1
208.facilityname,Mairan Regional Medical Center,Marian Regional Medical Center
1098.facilityname,Methodimst Hospital of Southern California,Methodist Hospital of Southern California
733.statevalue,Caflifornia,California
679.operativeprocedure,Openreduction of fracture,Open reduction of fracture
1018.hai,Surigcal Site Infections (SSI),Surgical Site Infections (SSI)
304.hai,Surgical Site Infesctions (SSI),Surgical Site Infections (SSI)
381.statevalue,Califgornia,California
31.yearvalue,202v0H1,2020H1
878.hai,Surcgical Site Infections (SSI),Surgical Site Infections (SSI)
1032.yearvalue,20201,2020H1
794.yearvalue,020H1,2020H1
122.yearvalue,020H1,2020H1
161.county,Frzesno,Fresno
119.hospitalcategoryriskadjustment,Acutec Care Hospital,Acute Care Hospital
956.hospitalcategoryriskadjustment,Acuute Care Hospital,Acute Care Hospital
817.hospitalcategoryriskadjustment,Aecute Care Hospital,Acute Care Hospital
947.yearvalue,20201H,2020H1
177.yearvalue,0220H1,2020H1
469.yearvalue,200H1,2020H1
86.hai,Surgical Ste Infections (SSI),Surgical Site Infections (SSI)
490.hospitalcategoryriskadjustment,Acut eCare Hospital,Acute Care Hospital
26.hai,Surgical Site Infections S(SI),Surgical Site Infections (SSI)
266.operativeprocedure,Cesareazn section,Cesarean section
409.statevalue,Calirfornia,California
29.county,Sacramenot,Sacramento
835.hai,Surgical Sie Infections (SSI),Surgical Site Infections (SSI)
1105.statevalue,Caleifornia,California
106.operativeprocedure,Galljbladder surgery,Gallbladder surgery
443.operativeprocedure,Colon urgery,Colon surgery
81.facilitytype,"Community, >250B eds","Community, >250 Beds"
1013.yearvalue,20201,2020H1
402.facilitytype,"Communty, >250 Beds","Community, >250 Beds"
607.facilityname,UCSF Benioff Children's Hospial Oakland,UCSF Benioff Children's Hospital Oakland
813.operativeprocedure,Ope nreduction of fracture,Open reduction of fracture
893.yearvalue,202n0H1,2020H1
464.county,San Dielgo,San Diego
589.hai,urgical Site Infections (SSI),Surgical Site Infections (SSI)
814.statevalue,Californai,California
339.county,Oarnge,Orange
335.hospitalcategoryriskadjustment,Acute are Hospital,Acute Care Hospital
920.facilityname,UCSF Meddical Center at Mission Bay,UCSF Medical Center at Mission Bay
919.facilitytype,Major Teachng,Major Teaching
716.operativeprocedure,lAl procedures,All procedures
1167.yearvalue,200H1,2020H1
112.yearvalue,200H1,2020H1
686.yearvalue,020H1,2020H1
897.hospitalcategoryriskadjustment,Acute CareHospital,Acute Care Hospital
950.facilitytype,Major Teacing,Major Teaching
82.statevalue,Californisa,California
195.statevalue,Califvornia,California
104.facilityname,San Joaquin Genera Hospital,San Joaquin General Hospital
1165.yearvalue,2002H1,2020H1
926.hospitalcategoryriskadjustment,Acute Care Hhospital,Acute Care Hospital
336.statevalue,Califcornia,California
71.statevalue,Califorina,California
688.facilityname,MillsPeninsula Medical Center,Mills-Peninsula Medical Center
1127.hai,Surgical Site lInfections (SSI),Surgical Site Infections (SSI)
196.hai,Surgiical Site Infections (SSI),Surgical Site Infections (SSI)
569.yearvalue,2002H1,2020H1
493.county,San Dniego,San Diego
454.yearvalue,2002H1,2020H1
321.facilityname,rovidence St. Jude Medical Center,Providence St. Jude Medical Center
832.yearvalue,202H1,2020H1
815.yearvalue,2020Hh1,2020H1
213.hai,Surgical Site Inyfections (SSI),Surgical Site Infections (SSI)
114.facilityname,St. Joseph's Medical Center O fStockton,St. Joseph's Medical Center Of Stockton
419.county,Santia Clara,Santa Clara
581.hai,Srugical Site Infections (SSI),Surgical Site Infections (SSI)
135.hai,Surgical Sie Infections (SSI),Surgical Site Infections (SSI)
1108.hai,Surgical Site Infections(SSI),Surgical Site Infections (SSI)
744.operativeprocedure,Open reduction of fractrue,Open reduction of fracture
299.hospitalcategoryriskadjustment,Acue Care Hospital,Acute Care Hospital
296.facilityname,LAC/Oliv eView UCLA Medical Center,LAC/Olive View UCLA Medical Center
1071.hospitalcategoryriskadjustment,Acute Care Hosiptal,Acute Care Hospital
1105.hai,Sugical Site Infections (SSI),Surgical Site Infections (SSI)
889.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
551.operativeprocedure,Apendix surgery,Appendix surgery
367.yearvalue,20201,2020H1
289.operativeprocedure,Small bowelsurgery,Small bowel surgery
242.hai,Surgical Site Infections (SS),Surgical Site Infections (SSI)
1050.hospitalcategoryriskadjustment,Acute Care Hfospital,Acute Care Hospital
342.hai,Surgical Site Infections (SI),Surgical Site Infections (SSI)
423.facilityname,Lucile Pacrkard Children's Hospital Stanford,Lucile Packard Children's Hospital Stanford
41.statevalue,Califonria,California
528.facilitytype,Majro Teaching,Major Teaching
118.statevalue,Calilfornia,California
630.facilityname,"John Muir Medicl Center, Walnut Creek Campus","John Muir Medical Center, Walnut Creek Campus"
837.facilitytype,"Cmomunity, <125 Beds","Community, <125 Beds"
478.county,San iego,San Diego
870.facilitytype,"Cmmunity, <125 Beds","Community, <125 Beds"
61.facilitytype,"Comunity, >250 Beds","Community, >250 Beds"
60.facilitytype,"Community, >25 Beds","Community, >250 Beds"
816.hospitalcategoryriskadjustment,Acuet Care Hospital,Acute Care Hospital
1175.yearvalue,2j020H1,2020H1
657.yearvalue,e2020H1,2020H1
459.hai,Surgicla Site Infections (SSI),Surgical Site Infections (SSI)
250.hai,Surgical Site Infections (SI),Surgical Site Infections (SSI)
746.operativeprocedure,Appendix surgeyr,Appendix surgery
615.yearvalue,220H1,2020H1
1063.hai,Surgical Site Infectios (SSI),Surgical Site Infections (SSI)
45.operativeprocedure,Exploratory nabdominal surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
778.county,San Bernradino,San Bernardino
1184.facilitytype,Pediartic,Pediatric
774.hai,Srgical Site Infections (SSI),Surgical Site Infections (SSI)
314.hospitalcategoryriskadjustment,Aucte Care Hospital,Acute Care Hospital
146.operativeprocedure,Gallbladder sufrgery,Gallbladder surgery
598.statevalue,Calmifornia,California
1177.operativeprocedure,All prcedures,All procedures
27.facilityname,Sutter Auburn Faithr Hospital,Sutter Auburn Faith Hospital
786.facilityname,San Atnonio Regional Hospital,San Antonio Regional Hospital
414.operativeprocedure,Gafllbladder surgery,Gallbladder surgery
395.operativeprocedure,Spinal fuison,Spinal fusion
743.facilityname,Adventist Health anxd Rideout,Adventist Health and Rideout
901.county,aSn Bernardino,San Bernardino
932.facilityname,"Kaiser Foundation Hosital, San Diego","Kaiser Foundation Hospital, San Diego"
142.facilitytype,Majo rTeaching,Major Teaching
789.hai,Surgicl Site Infections (SSI),Surgical Site Infections (SSI)
17.facilityname,Lucile Packard Children's Hospital Satnford,Lucile Packard Children's Hospital Stanford
680.yearvalue,2020He1,2020H1
1013.operativeprocedure,Open reductiosn of fracture,Open reduction of fracture
214.hospitalcategoryriskadjustment,Aute Care Hospital,Acute Care Hospital
687.county,an Mateo,San Mateo
162.hospitalcategoryriskadjustment,Acute Care ospital,Acute Care Hospital
97.facilityname,Sutter Roseville Medical Centesr,Sutter Roseville Medical Center
435.hai,Srugical Site Infections (SSI),Surgical Site Infections (SSI)
317.statevalue,dCalifornia,California
744.statevalue,Californifa,California
799.hai,Surgical Site Infectinons (SSI),Surgical Site Infections (SSI)
1011.statevalue,Claifornia,California
903.operativeprocedure,Cesarean sectin,Cesarean section
779.hospitalcategoryriskadjustment,Criticual Access Hospital,Critical Access Hospital
311.facilitytype,"Community, <125 dBeds","Community, <125 Beds"
386.yearvalue,2020sH1,2020H1
1165.operativeprocedure,Liver transplnat,Liver transplant
429.yearvalue,2200H1,2020H1
931.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
511.operativeprocedure,Al procedures,All procedures
376.yearvalue,20m20H1,2020H1
889.hai,Surgical SiteI nfections (SSI),Surgical Site Infections (SSI)
116.hospitalcategoryriskadjustment,Acute Carwe Hospital,Acute Care Hospital
464.operativeprocedure,Exploratory abdominal siurgery (laparotomy),Exploratory abdominal surgery (laparotomy)
827.statevalue,Cazlifornia,California
422.yearvalue,202H01,2020H1
902.hai,Surgical Sit eInfections (SSI),Surgical Site Infections (SSI)
679.facilityname,"Kaiser Foundation Hospital, San Frabncisco","Kaiser Foundation Hospital, San Francisco"
152.facilitytype,Peditric,Pediatric
147.yearvalue,2002H1,2020H1
1099.facilitytype,"Commcunity, >250 Beds","Community, >250 Beds"
798.operativeprocedure,Small bowel sjurgery,Small bowel surgery
774.yearvalue,20201H,2020H1
573.operativeprocedure,Appendrix surgery,Appendix surgery
805.facilitytype,Major Teachig,Major Teaching
7.facilitytype,Mjaor Teaching,Major Teaching
860.yearvalue,0220H1,2020H1
645.yearvalue,202H1,2020H1
172.facilitytype,Peditric,Pediatric
142.county,Placr,Placer
439.statevalue,Calfiornia,California
437.statevalue,Calfiornia,California
1140.hospitalcategoryriskadjustment,Acute Care ospital,Acute Care Hospital
934.county,SanDiego,San Diego
88.facilityname,"Kaiser Foundatxion Hospital, South Sacramento","Kaiser Foundation Hospital, South Sacramento"
1065.facilityname,"Kaiser Founadtion Hospital, Downey","Kaiser Foundation Hospital, Downey"
1156.statevalue,Califortnia,California
147.statevalue,alifornia,California
846.statevalue,Callifornia,California
1129.statevalue,Califorjnia,California
383.facilitytype,"oCmmunity, >250 Beds","Community, >250 Beds"
85.hospitalcategoryriskadjustment,Acute Caer Hospital,Acute Care Hospital
506.facilitytype,Major Teachig,Major Teaching
43.yearvalue,2m020H1,2020H1
296.yearvalue,020H1,2020H1
656.facilitytype,Majr Teaching,Major Teaching
516.operativeprocedure,Thoracicsurgery,Thoracic surgery
1173.facilitytype,Mjaor Teaching,Major Teaching
234.operativeprocedure,Spinal fusoin,Spinal fusion
691.statevalue,Cailfornia,California
418.hai,Surgical Site Infcetions (SSI),Surgical Site Infections (SSI)
887.facilitytype,Majorj Teaching,Major Teaching
378.hospitalcategoryriskadjustment,Acuwte Care Hospital,Acute Care Hospital
634.operativeprocedure,Sinal fusion,Spinal fusion
302.statevalue,Californipa,California
407.facilityname,"Good Samariatn Hospital, San Jose","Good Samaritan Hospital, San Jose"
20.operativeprocedure,All prcoedures,All procedures
234.statevalue,uCalifornia,California
334.yearvalue,u2020H1,2020H1
312.county,Orane,Orange
545.facilityname,Providence Queen of the Valley Medical Centr,Providence Queen of the Valley Medical Center
294.county,Los Anglees,Los Angeles
1164.facilitytype,Major eaching,Major Teaching
1045.facilitytype,Major Teachbing,Major Teaching
718.hai,Surgical Sie Infections (SSI),Surgical Site Infections (SSI)
931.facilityname,CSF Medical Center at Mission Bay,UCSF Medical Center at Mission Bay
681.hai,Surgical Site Infectinos (SSI),Surgical Site Infections (SSI)
514.hai,Surgical SiteInfections (SSI),Surgical Site Infections (SSI)
1128.hai,Surgical Site Infectons (SSI),Surgical Site Infections (SSI)
912.hai,Surgical zSite Infections (SSI),Surgical Site Infections (SSI)
121.facilitytype,Major Teacihng,Major Teaching
446.hai,Surgical Site Infections w(SSI),Surgical Site Infections (SSI)
1003.hospitalcategoryriskadjustment,AcuteCare Hospital,Acute Care Hospital
407.facilitytype,"Cnommunity, >250 Beds","Community, >250 Beds"
274.yearvalue,200H1,2020H1
902.operativeprocedure,kCardiac surgery,Cardiac surgery
381.operativeprocedure,Open reduction of farcture,Open reduction of fracture
338.hai,Surgical Site Infectins (SSI),Surgical Site Infections (SSI)
525.hospitalcategoryriskadjustment,Criitcal Access Hospital,Critical Access Hospital
