802.street,20700 ST RTE 4j11,20700 ST RTE 411
2048.spdespermitnumber,NY0028919,NY0028991
1151.facilityname,ASHLAND ADVANCED MjATERIALS,ASHLAND ADVANCED MATERIALS
23.spdespermitnumber,NY025757,NY0257567
954.city,TONAWADNA,TONAWANDA
1715.facilityname,ENZ WINERY,LENZ WINERY
1717.planttype,nIdustrial,Industrial
700.country,USlA,USA
1180.city,ATLANTIC BEACkH,ATLANTIC BEACH
1208.spdespermitnumber,NY0076996***,NY0076996
938.facilityname,FORT ANNv STP,FORT ANN STP
1792.facilityname,SOUTH FALLSBURG eWWTP,SOUTH FALLSBURG WWTP
675.statevalue,Y,NY
1760.groundorsurface,Susrface,Surface
239.country,cUSA,USA
30.city,THRNWOOD,THORNWOOD
232.spdespermitnumber,NnY0110353,NY0110353
727.groundorsurface,Surfacce,Surface
319.locationone,"42.06, -78.41)","(42.06, -78.41)"
1956.spdespermitnumber,NY2005681,NY0205681
1119.street,17 US RTE 9,172 US RTE 9
1484.spdespermitnumber,NY0d105678,NY0105678
1137.planttype,xIndustrial,Industrial
1242.spdespermitnumber,NxY0206342,NY0206342
2090.country,SA,USA
201.country,qUSA,USA
1204.country,SA,USA
986.statevalue,hNY,NY
1054.groundorsurface,urface,Surface
601.locationone,"(41.3,6 -74.36)","(41.36, -74.36)"
1348.country,UA,USA
532.spdespermitnumber,NYb0218821,NY0218821
748.groundorsurface,Gorund,Ground
1970.spdespermitnumber,nNY0268089,NY0268089
865.locationone,"(434.9, -75.33)","(43.49, -75.33)"
1455.groundorsurface,Grobund,Ground
544.facilityname,KIGS PARK LAUNDROMAT,KINGS PARK LAUNDROMAT
1955.spdespermitnumber,Y0103624,NY0103624
1874.country,USbA,USA
418.groundorsurface,Surfcae,Surface
1954.spdespermitnumber,NY0110759,NY0110795
1998.street,1 MCCARTH RD,1 MCCARTHY RD
556.spdespermitnumber,NY0089779,NY0098779
689.spdespermitnumber,NY021999,NY0219959
1777.spdespermitnumber,NY010724,NY0107204
1278.statevalue,Y,NY
724.locationone,"(4.16, -75.05)","(42.16, -75.05)"
28.city,HPOEWELL JUNCTION,HOPEWELL JUNCTION
268.city,ome,Rome
1410.city,LARKSTOWN,CLARKSTOWN
882.statevalue,YN,NY
1303.country,USaA,USA
683.groundorsurface,Surfazce,Surface
786.planttype,Industryial,Industrial
90.spdespermitnumber,NY0256y536,NY0256536
418.statevalue,YN,NY
635.groundorsurface,yGround,Ground
127.city,AUPPAUGE,HAUPPAUGE
873.facilityname,NYC DC -RECONSTRUCTION OF ROCKAWAY BEACH BLVD (SANDHW13),NYC DDC -RECONSTRUCTION OF ROCKAWAY BEACH BLVD (SANDHW13)
1419.statevalue,Y,NY
1564.statevalue,kNY,NY
1940.spdespermitnumber,NY024466,NY0264466
2035.street,450 BROADAWY,450 BROADWAY
97.street,26 FENNLL ST,26 FENNELL ST
1187.statevalue,Y,NY
890.facilityname,CHEMUNG CO xELMIRA SWR DIST BAKER RD WWTF,CHEMUNG CO ELMIRA SWR DIST BAKER RD WWTF
572.facilityname,CHAUTApUQUA UTILITY DIST WTP,CHAUTAUQUA UTILITY DIST WTP
1026.spdespermitnumber,NY0307265,NY0037265
1979.city,FLUSHNG,FLUSHING
32.statevalue,NjY,NY
1882.groundorsurface,Surafce,Surface
1013.statevalue,NpY,NY
1598.statevalue,Y,NY
1332.locationone,"(42.39,- 76.55)","(42.39, -76.55)"
1637.planttype,Municipl,Municipal
796.country,SUA,USA
260.groundorsurface,Suzrface,Surface
898.statevalue,Y,NY
1495.spdespermitnumber,NY02270s13,NY0227013
968.locationone,"(44.61 ,-75.41)","(44.61, -75.41)"
947.spdespermitnumber,NY0162307,NY0162370
19.country,SUA,USA
1635.locationone,"o(42.02, -78.59)","(42.02, -78.59)"
1450.street,CwAESARS LN,CAESARS LN
564.street,346 NEGHBORHOOD RD,346 NEIGHBORHOOD RD
1620.locationone,"(42.3,8 -74.12)","(42.38, -74.12)"
2036.groundorsurface,Suprface,Surface
1195.facilityname,WwALLKILL STP,WALLKILL STP
108.statevalue,Y,NY
727.spdespermitnumber,NY003686,NY0036986
1325.groundorsurface,Gorund,Ground
601.facilityname,GOSHN QUARRY,GOSHEN QUARRY
943.city,HOLEMS,HOLMES
1921.street,732 US RTE 62,5732 US RTE 62
2082.statevalue,fNY,NY
1821.city,JEFFERSOVILLE,JEFFERSONVILLE
1578.street,51 GIFFORDy AVE,51 GIFFORD AVE
1345.facilityname,POTSDA MSPECIALTY PAPER INC,POTSDAM SPECIALTY PAPER INC
1024.locationone,"(40.8u8, -73.53)","(40.88, -73.53)"
1457.spdespermitnumber,NY017450,NY0171450
587.street,110 DENNuY ST,110 DENNY ST
1144.facilityname,AMERICA NSUGAR REFINING INC,AMERICAN SUGAR REFINING INC
610.locationone,"(40.83 ,-73.36)","(40.83, -73.36)"
1013.city,LNG BEACH,LONG BEACH
309.planttype,Indutrial,Industrial
1336.spdespermitnumber,NY2032386,NY0232386
85.locationone,"(4.238, -77.36)","(42.38, -77.36)"
391.groundorsurface,Surfae,Surface
1744.statevalue,YN,NY
855.locationone,"(40.79, -7e3.01)","(40.79, -73.01)"
180.city,CHENAGNO,CHENANGO
1358.country,SA,USA
1338.planttype,ndustrial,Industrial
668.street,T RTE 19,ST RTE 19
1159.street,311 FRONTAGE RD,131 FRONTAGE RD
1922.facilityname,MT ORRIS-V STP,MT MORRIS-V STP
1104.city,MLIFORD,MILFORD
1996.street,4363 ST eRTE 104,4363 ST RTE 104
461.spdespermitnumber,YN0105104,NY0105104
1095.groundorsurface,Surfacse,Surface
600.city,CANAJHOARIE,CANAJOHARIE
433.planttype,Inudstrial,Industrial
800.spdespermitnumber,eNY0269131,NY0269131
916.street,FAIRVIEW & EAS TALAURA DR,FAIRVIEW & EAST ALAURA DR
1402.locationone,"(40.58, -74.9)","(40.58, -74.19)"
212.city,MAuHOPAC,MAHOPAC
1198.facilityname,WESTCHESTER INDUSTRIES  - TARRYTONW,WESTCHESTER INDUSTRIES  - TARRYTOWN
1466.spdespermitnumber,NY02095r89,NY0209589
1641.statevalue,YN,NY
1486.groundorsurface,Surfae,Surface
1780.facilityname,UNITED METR OTERM-498 KINGSLAND AVE,UNITED METRO TERM-498 KINGSLAND AVE
1314.spdespermitnumber,NY0035673,NY0035637
924.statevalue,Y,NY
442.locationone,"(40.81, 73.1)","(40.81, -73.1)"
1780.spdespermitnumber,N0Y007676,NY0007676
1211.city,LANSINeG,LANSING
120.planttype,ndustrial,Industrial
700.facilityname,LIMESTON EWWTP,LIMESTONE WWTP
1008.city,BOVNIA CENTER,BOVINA CENTER
405.city,MT KmISCO,MT KISCO
1540.facilityname,ROUTE 110 LAUDNROMAT,ROUTE 110 LAUNDROMAT
1856.locationone,"(41.91,-74.83)","(41.91, -74.83)"
1095.planttype,Indusvtrial,Industrial
1334.spdespermitnumber,NY0244y660,NY0244660
1500.spdespermitnumber,NY002298,NY0022098
265.planttype,Industial,Industrial
1121.locationone,"(41.8, -74.39)","(41.38, -74.39)"
1975.street,1000 COLONEL ELIEEN COLLINS BLVD,1000 COLONEL EILEEN COLLINS BLVD
1006.groundorsurface,Srface,Surface
395.facilityname,BIG INLET BREWINGINC,BIG INLET BREWING INC
841.statevalue,YN,NY
702.statevalue,tNY,NY
1741.street,41 MOHAWK gAVE,41 MOHAWK AVE
1412.locationone,"(40.85, -73.1h6)","(40.85, -73.16)"
1011.city,SARNAC,SARANAC
1733.country,UlSA,USA
1850.spdespermitnumber,NxY0005304,NY0005304
1653.locationone,"(423.6, -79.05)","(42.36, -79.05)"
1122.facilityname,CJI JONES CHEMICALS INC,JCI JONES CHEMICALS INC
1232.locationone,"(42.12, -77.5c3)","(42.12, -77.53)"
1554.street,"63 FLUSHING AVE|BROOKLYN NAVY YARD, BLDGi 41 UNIT #234","63 FLUSHING AVE|BROOKLYN NAVY YARD, BLDG 41 UNIT #234"
421.groundorsurface,fSurface,Surface
1070.street,6700 rSHORE RD,6700 SHORE RD
967.city,KINGSOTN,KINGSTON
336.facilityname,VILLAGE OF ATTICA WAETR TREATMENT PLANT,VILLAGE OF ATTICA WATER TREATMENT PLANT
9.statevalue,YN,NY
1202.facilityname,EVONIK ACTIVEOXYGENS LLC,EVONIK ACTIVE OXYGENS LLC
1564.facilityname,HIGH FALLS WATERD ISTRICT,HIGH FALLS WATER DISTRICT
1220.city,EAST SRACUSE,EAST SYRACUSE
1631.facilityname,uSffolk County Water Authority,Suffolk County Water Authority
499.planttype,Industroial,Industrial
7.planttype,Munciipal,Municipal
80.street,75 SOUTHSIDE cDR - N OF I-86 (ST RTE 17) @ EXIT 64,75 SOUTHSIDE DR - N OF I-86 (ST RTE 17) @ EXIT 64
169.spdespermitnumber,NY023541,NY0235041
141.street,4222 STR TE 417,4222 ST RTE 417
1850.statevalue,lNY,NY
858.locationone,"(4.37, -74.22)","(44.37, -74.22)"
1668.spdespermitnumber,aNY0271471,NY0271471
394.planttype,Indfustrial,Industrial
908.facilityname,EVANS CHEMETCS,EVANS CHEMETICS
215.groundorsurface,Surfaec,Surface
1252.street,5640 SUNRISE HWY  UNIT 6#,5640 SUNRISE HWY  UNIT #6
136.spdespermitnumber,NY028723,NY0218723
1427.street,564 JFFERSON PLZ,564 JEFFERSON PLZ
153.street,279 US TRE 6,279 US RTE 6
1113.facilityname,BLENHEIM-GILBOA PUMPEhD STORAGE PROJECT,BLENHEIM-GILBOA PUMPED STORAGE PROJECT
818.country,UAS,USA
204.street,h50 MAIN ST,50 MAIN ST
1285.country,SA,USA
1327.statevalue,YN,NY
903.statevalue,YN,NY
1106.spdespermitnumber,NY00y00469,NY0000469
1395.groundorsurface,Surace,Surface
1910.street,1 RESEARCHg CIR,1 RESEARCH CIR
479.planttype,Inddustrial,Industrial
731.country,UAS,USA
1482.country,gUSA,USA
2012.statevalue,NtY,NY
1765.facilityname,ELBA -V STP,ELBA - V STP
1060.spdespermitnumber,NY002430,NY0024830
1066.locationone,"(44.66, -73.7)3","(44.66, -73.73)"
1585.planttype,Idnustrial,Industrial
1754.locationone,"(41.3, -73.8n8)","(41.3, -73.88)"
35.statevalue,YN,NY
415.facilityname,ARG TRUCKIjNG,ARG TRUCKING
513.planttype,uMnicipal,Municipal
580.spdespermitnumber,Y0252026,NY0252026
533.country,UqSA,USA
1763.statevalue,Y,NY
1673.country,UiSA,USA
2016.street,6176 E MLOLOY RD,6176 E MOLLOY RD
1441.street,US TRE 6 @ I-84 EXIT 1,US RTE 6 @ I-84 EXIT 1
1514.spdespermitnumber,N0218324,NY0218324
414.groundorsurface,hSurface,Surface
1435.locationone,"(42.11, -77.j22)","(42.11, -77.22)"
796.street,186 PORTER HOLLOW D,186 PORTER HOLLOW RD
1148.facilityname,SCLAFANI PETROLEM,SCLAFANI PETROLEUM
280.spdespermitnumber,NY0800667,NY0080667
165.locationone,"(41.3, -73.81)","(41.73, -73.81)"
156.locationone,"(40.8, -7.88)","(40.8, -73.88)"
1597.locationone,"(4.55, -74.43)","(41.55, -74.43)"
397.street,686 UN PLAZA,866 UN PLAZA
855.planttype,Industrila,Industrial
1750.country,SUA,USA
545.spdespermitnumber,NY026429,NY0264229
1019.spdespermitnumber,N0032468,NY0032468
729.street,31-0 20TH AVE,31-03 20TH AVE
1177.city,W ABBYLON,W BABYLON
279.groundorsurface,Surfacwe,Surface
564.statevalue,Y,NY
649.city,ALABNY,ALBANY
51.street,1 STEUBENST,1 STEUBEN ST
1953.country,UySA,USA
1203.country,UAS,USA
1081.locationone,"(4.145, -74.05)","(41.45, -74.05)"
299.planttype,Inustrial,Industrial
730.locationone,"(42.04, -74h.0)","(42.04, -74.0)"
1642.groundorsurface,Grund,Ground
1388.spdespermitnumber,NY016263,NY0162663
1613.planttype,Muniicpal,Municipal
1336.locationone,"(4307, -76.17)","(43.07, -76.17)"
731.facilityname,ISuLANDER LAUNDROMAT,ISLANDER LAUNDROMAT
179.locationone,"(41.6, -75.k07)","(41.6, -75.07)"
880.locationone,"(42.16, -7589)","(42.16, -75.89)"
1494.facilityname,CANDLEWOOD LAUDNROMAT,CANDLEWOOD LAUNDROMAT
411.statevalue,YN,NY
1875.country,SA,USA
559.spdespermitnumber,NY0e003701,NY0003701
708.locationone,"(42.6, -77.09)","(42.16, -77.09)"
1074.groundorsurface,Grozund,Ground
317.locationone,"(40.81, -7.323)","(40.81, -73.23)"
1319.planttype,Municipla,Municipal
2039.spdespermitnumber,NY0f275905,NY0275905
765.street,675 BROOSK AVE,675 BROOKS AVE
1630.country,UhSA,USA
244.city,WELLSVILLcE,WELLSVILLE
60.country,SA,USA
1442.street,31320 aMAIN RD,31320 MAIN RD
1741.city,WATERFfORD,WATERFORD
1586.street,DOCK SvT,DOCK ST
1980.spdespermitnumber,NY0026339,NY0023639
964.city,SANjGERFIELD,SANGERFIELD
991.statevalue,Y,NY
596.statevalue,YN,NY
940.planttype,Infdustrial,Industrial
273.statevalue,YN,NY
578.spdespermitnumber,NY027979,NY0027979
1794.locationone,"(1.76, -74.75)","(41.76, -74.75)"
1318.statevalue,NhY,NY
1096.facilityname,NORTH CHAUTAUQUAk LAKE SD WWTP,NORTH CHAUTAUQUA LAKE SD WWTP
1506.city,HAIMLTON,HAMILTON
1802.street,773 SODUS CENTER RD,7673 SODUS CENTER RD
1872.facilityname,CPP - SYRACUES,CPP - SYRACUSE
1676.facilityname,CLEAN WATER OF NEWm YORK WASTE OIL REPROCESSING AND STORAGE FACILITY,CLEAN WATER OF NEW YORK WASTE OIL REPROCESSING AND STORAGE FACILITY
253.facilityname,WEESPORT (V) WWTP,WEEDSPORT (V) WWTP
138.country,SA,USA
136.locationone,"(41.71,r -73.87)","(41.71, -73.87)"
481.country,UkSA,USA
166.statevalue,YN,NY
1712.planttype,Industrila,Industrial
658.spdespermitnumber,N0Y206644,NY0206644
1300.spdespermitnumber,NY249726,NY0249726
446.facilityname,WHEELABRTAOR HUDSON FALLS,WHEELABRATOR HUDSON FALLS
1707.spdespermitnumber,NY021772,NY0271772
392.planttype,ndustrial,Industrial
1557.statevalue,Y,NY
1153.facilityname,MARGARETVILEL - V STP,MARGARETVILLE - V STP
1296.planttype,Industdrial,Industrial
1776.city,MORRSIVILLE,MORRISVILLE
808.statevalue,Y,NY
1831.locationone,"(43.06, 75.88)","(43.06, -75.88)"
1979.locationone,"(40.77, -73.86u)","(40.77, -73.86)"
2079.facilityname,FLOkRIDA-V STP,FLORIDA-V STP
1176.planttype,Industriall,Industrial
1147.planttype,Municiipal,Municipal
396.statevalue,Y,NY
533.city,STTAEN ISLAND,STATEN ISLAND
1146.locationone,"(40.7,-73.35)","(40.7, -73.35)"
1138.street,ILLOW LN,WILLOW LN
1715.country,SA,USA
1340.facilityname,MARIAVILEL LAKE SEWER DISTRICT # 2,MARIAVILLE LAKE SEWER DISTRICT # 2
1897.city,ERMSEN,REMSEN
160.city,WEBSETR,WEBSTER
942.facilityname,NICHOSL (T) STP,NICHOLS (T) STP
318.planttype,Inustrial,Industrial
1264.city,NEWBURHG,NEWBURGH
227.city,LYNDONVIpLLE,LYNDONVILLE
1531.facilityname,Copenhagen Consolidated WaterS upply,Copenhagen Consolidated Water Supply
452.groundorsurface,Surace,Surface
431.country,UAS,USA
1346.country,UA,USA
1717.statevalue,Y,NY
337.country,USxA,USA
858.statevalue,qNY,NY
1478.planttype,Industrcial,Industrial
905.statevalue,NuY,NY
394.locationone,"b(42.91, -73.36)","(42.91, -73.36)"
605.country,oUSA,USA
1187.facilityname,"SCSD #24, GABBRSEKI AIRPORT STP","SCSD #24, GABBRESKI AIRPORT STP"
1737.groundorsurface,urface,Surface
529.groundorsurface,Suurface,Surface
228.planttype,Municipla,Municipal
788.planttype,vIndustrial,Industrial
2044.facilityname,RYAN OIL INC ETRMINAL,RYAN OIL INC TERMINAL
79.spdespermitnumber,NY026x6396,NY0266396
1799.street,17 KITTREDGE PL,173 KITTREDGE PL
696.statevalue,Y,NY
421.spdespermitnumber,NY021453t1,NY0214531
673.groundorsurface,Surhface,Surface
1871.statevalue,NwY,NY
991.city,CONORD,CONCORD
1739.statevalue,Y,NY
1471.statevalue,tNY,NY
134.groundorsurface,urface,Surface
488.locationone,"(41.4, -74.5)2","(41.4, -74.52)"
37.spdespermitnumber,N0239682,NY0239682
392.street,INTERCHAzNGE 15 ON NYS THRUWAY,INTERCHANGE 15 ON NYS THRUWAY
1822.facilityname,FORT BREWERTONf SD WWTP,FORT BREWERTON SD WWTP
300.groundorsurface,Spurface,Surface
1827.groundorsurface,Grund,Ground
13.spdespermitnumber,NY026310,NY0026310
1919.spdespermitnumber,Y0279901,NY0279901
1877.country,SUA,USA
1317.street,7725 LAKbE RD,7725 LAKE RD
1082.groundorsurface,Baoth,Both
1132.planttype,Indutrial,Industrial
218.country,UA,USA
1719.groundorsurface,Gorund,Ground
907.spdespermitnumber,NY021518,NY0215198
193.statevalue,NnY,NY
1464.city,MCCONNELLSVLLE,MCCONNELLSVILLE
952.street,5225 GUbY YOUNG RD,5225 GUY YOUNG RD
1050.groundorsurface,Sufrace,Surface
1814.locationone,"(40.84, -7.43)","(40.84, -73.43)"
384.spdespermitnumber,NY0142257,NY0124257
1019.city,UFLTON,FULTON
219.street,15 BANKER RD,151 BANKER RD
724.statevalue,fNY,NY
2051.country,SA,USA
559.groundorsurface,Srface,Surface
116.statevalue,YN,NY
1239.facilityname,aNYS DOT MAINTENANCE HEADQUARTERS,NYS DOT MAINTENANCE HEADQUARTERS
1109.planttype,Idnustrial,Industrial
941.city,iBRONX,BRONX
1488.spdespermitnumber,NY247782,NY0247782
1361.street,376 NOTRH HWY,376 NORTH HWY
1289.planttype,Industryial,Industrial
78.street,4 JACKSON T,4 JACKSON ST
1464.facilityname,"B&B Lumer Company, Inc.","B&B Lumber Company, Inc."
1531.planttype,Idustrial,Industrial
1893.planttype,Idnustrial,Industrial
1357.planttype,ndustrial,Industrial
1001.groundorsurface,Surfae,Surface
198.groundorsurface,Surfce,Surface
1315.statevalue,mNY,NY
161.groundorsurface,Sufrace,Surface
1131.planttype,Municipla,Municipal
2075.groundorsurface,Surace,Surface
629.locationone,"4(0.73, -73.97)","(40.73, -73.97)"
613.groundorsurface,uSrface,Surface
76.country,UAS,USA
1951.city,WARNERIVLLE,WARNERVILLE
860.groundorsurface,Surfaec,Surface
969.spdespermitnumber,NY1005007,NY0105007
2026.planttype,Industrixal,Industrial
13.locationone,"(41.49, -740.1)","(41.49, -74.01)"
976.groundorsurface,urface,Surface
411.locationone,"(40.67, -74.0g)","(40.67, -74.0)"
1422.street,NORTH TS,NORTH ST
1730.country,USiA,USA
1768.spdespermitnumber,Y0183661,NY0183661
1258.street,ST RTE 256-  E SIDE - S OF ST RTE 15 & N OF US RTE 20A,ST RTE 256 - E SIDE - S OF ST RTE 15 & N OF US RTE 20A
1586.planttype,unicipal,Municipal
1896.planttype,Industrtial,Industrial
406.statevalue,dNY,NY
1819.locationone,"(42.12, 7-9.18)","(42.12, -79.18)"
567.planttype,Muniipal,Municipal
1615.groundorsurface,round,Ground
1868.statevalue,Y,NY
932.planttype,Municiapl,Municipal
1610.locationone,"(43.87, -7.375)","(43.87, -73.75)"
1894.locationone,"41.69, -73.94)","(41.69, -73.94)"
844.city,SLATE fHILL,SLATE HILL
2088.city,uCba,Cuba
733.spdespermitnumber,lNY0022144,NY0022144
1805.city,HICKSVILvLE,HICKSVILLE
1811.street,O RD 24,CO RD 24
336.spdespermitnumber,NY01x00099,NY0100099
897.planttype,Isndustrial,Industrial
1181.groundorsurface,Slurface,Surface
563.facilityname,WADDINGTaON WWTF,WADDINGTON WWTF
216.spdespermitnumber,NYt0232700,NY0232700
637.locationone,"(42.79, -8.85)","(42.79, -78.85)"
541.facilityname,HANSON - GENVA PLANT,HANSON - GENEVA PLANT
541.country,UjSA,USA
38.groundorsurface,Surfce,Surface
1590.planttype,Industril,Industrial
358.locationone,(43.3 -75.61),"(43.3, -75.61)"
343.country,UlSA,USA
1315.street,114 SOUND AVE,2114 SOUND AVE
1450.planttype,uMnicipal,Municipal
1465.spdespermitnumber,N0024295,NY0024295
1974.country,UA,USA
1784.facilityname,AQUA VALLEY SPRtING WATER INC,AQUA VALLEY SPRING WATER INC
409.groundorsurface,Suriface,Surface
1944.country,UAS,USA
1442.city,CUTCOHGUE,CUTCHOGUE
1284.locationone,"(41.76,- 74.34)","(41.76, -74.34)"
430.spdespermitnumber,NY0025657,NY0026557
1020.locationone,"(416.4, -74.67)","(41.64, -74.67)"
717.groundorsurface,Surfaec,Surface
26.country,mUSA,USA
1112.planttype,Indutrial,Industrial
1566.country,SUA,USA
1851.street,159 FOREST AVE|NCTM# 2o3-29-113,159 FOREST AVE|NCTM# 23-29-113
1904.groundorsurface,Surace,Surface
653.statevalue,Y,NY
78.country,USqA,USA
1565.groundorsurface,Groound,Ground
909.groundorsurface,urface,Surface
516.city,KENOA LAKE,KENOZA LAKE
54.groundorsurface,Surace,Surface
1908.groundorsurface,Suirface,Surface
677.statevalue,Y,NY
344.city,BROTCON,BROCTON
1744.planttype,Irndustrial,Industrial
241.groundorsurface,Sujrface,Surface
1218.statevalue,lNY,NY
838.city,EVANS MLLS,EVANS MILLS
1743.city,HERMOaN,HERMON
568.groundorsurface,Surfaec,Surface
208.spdespermitnumber,NY0262479,NY0262749
623.locationone,(42.56 -77.59),"(42.56, -77.59)"
170.locationone,"(40.9q2, -72.66)","(40.92, -72.66)"
43.facilityname,Suffolk County Watyer Authority,Suffolk County Water Authority
1204.groundorsurface,urface,Surface
1848.spdespermitnumber,NY024101,NY0242101
355.groundorsurface,urface,Surface
64.city,ITHAA,ITHACA
1360.statevalue,Y,NY
1373.planttype,Inldustrial,Industrial
1256.country,UiSA,USA
1996.statevalue,NpY,NY
1316.groundorsurface,urface,Surface
362.locationone,"(40.84, -k73.43)","(40.84, -73.43)"
235.facilityname,NYCDDC 9TH ST INFRASTRUCTURE - CAP PROJ SEaK20068,NYCDDC 9TH ST INFRASTRUCTURE - CAP PROJ SEK20068
91.statevalue,rNY,NY
624.statevalue,aNY,NY
1955.locationone,"(40.89, -7.382)","(40.89, -73.82)"
888.groundorsurface,Suface,Surface
684.planttype,Indutrial,Industrial
1616.country,USsA,USA
1039.country,SUA,USA
772.groundorsurface,Surfasce,Surface
1022.country,tUSA,USA
785.facilityname,ITHACA AREA WASTEWATER TREATMEN TFAC,ITHACA AREA WASTEWATER TREATMENT FAC
207.statevalue,YN,NY
972.statevalue,Y,NY
1992.groundorsurface,Gbround,Ground
339.country,zUSA,USA
640.groundorsurface,Surfaec,Surface
2086.street,5 BUSINESS PARK DR,15 BUSINESS PARK DR
686.street,51 PURDYA VE,51 PURDY AVE
1438.statevalue,NqY,NY
1303.statevalue,YN,NY
2049.spdespermitnumber,NY0t026590,NY0026590
1322.facilityname,Suffolk County Water Auhority,Suffolk County Water Authority
2068.locationone,"(41.62, -74o.3)","(41.62, -74.3)"
1141.city,AHOPAC,MAHOPAC
1047.locationone,"(44.78, -v73.43)","(44.78, -73.43)"
1048.city,BROOKLsYN,BROOKLYN
1044.street,1q20 W SUFFOLK AVE|SCTM 500-119-1-85,120 W SUFFOLK AVE|SCTM 500-119-1-85
497.city,MAvSSENA,MASSENA
571.spdespermitnumber,NY0235095,NY0235059
906.groundorsurface,Surfaec,Surface
1343.street,48S ALISBURY ST,48 SALISBURY ST
788.facilityname,VILLAGE OF NYACK TWP,VILLAGE OF NYACK WTP
859.country,USsA,USA
1626.locationone,"(41.25, -7.98)","(41.25, -73.98)"
1940.facilityname,CRMEL CTL SCHOOL DIST BUS GARAGE,CARMEL CTL SCHOOL DIST BUS GARAGE
1494.groundorsurface,Grund,Ground
1501.country,UAS,USA
1394.groundorsurface,Surfaqce,Surface
621.country,SA,USA
1115.locationone,"(43.27, -7.28)","(43.27, -77.28)"
817.groundorsurface,round,Ground
1596.country,UAS,USA
1280.spdespermitnumber,NY024678,NY0246778
327.country,USaA,USA
1173.city,CLAVREACK,CLAVERACK
299.facilityname,LIVINGSTON PUMPERCO NO 1 FIREHOUSE,LIVINGSTON PUMPER CO NO 1 FIREHOUSE
2027.country,SA,USA
394.spdespermitnumber,NY000s6491,NY0006491
345.country,UAS,USA
876.country,xUSA,USA
2071.spdespermitnumber,Y0124028,NY0124028
866.street,105i EMJAY BLVD,105 EMJAY BLVD
1215.city,AINTED POST,PAINTED POST
505.street,360 Riversde Dr,360 Riverside Dr
1411.planttype,Muicipal,Municipal
624.facilityname,RrUBY MOUNTAIN GARNET MINE,RUBY MOUNTAIN GARNET MINE
984.planttype,Idnustrial,Industrial
328.planttype,Indutsrial,Industrial
2077.groundorsurface,Surfadce,Surface
666.street,g10000 WEHRLE DR,10000 WEHRLE DR
1232.facilityname,RESIDENhT ENGINEERS SUBHEADQUARTERS,RESIDENT ENGINEERS SUBHEADQUARTERS
1195.locationone,"(41.44, -47.37)","(41.44, -74.37)"
1262.city,STONY PINT,STONY POINT
561.groundorsurface,Srface,Surface
684.country,UAS,USA
940.street,ALOCA POWER CANAL RD|N MAIN ST GATE,ALCOA POWER CANAL RD|N MAIN ST GATE
128.country,UAS,USA
155.groundorsurface,Sufrace,Surface
316.country,kUSA,USA
1801.spdespermitnumber,NY0222d127,NY0222127
168.planttype,Muniipal,Municipal
1833.facilityname,AMERCAN TECHNICAL CERAMICS,AMERICAN TECHNICAL CERAMICS
166.country,UnSA,USA
101.statevalue,lNY,NY
1776.statevalue,YN,NY
96.city,RENSSrELAER,RENSSELAER
179.city,NRAROWSBURG,NARROWSBURG
1196.planttype,Indusrtrial,Industrial
1890.city,ENDICOT,ENDICOTT
81.street,169 WESTENR AVE,169 WESTERN AVE
490.country,SUA,USA
2000.country,SA,USA
1305.city,YOKTOWN HEIGHTS,YORKTOWN HEIGHTS
939.street,378 GRwOS BLVD,378 GROS BLVD
1921.planttype,Idnustrial,Industrial
688.spdespermitnumber,NY0221817,NY0228117
689.planttype,Indusrial,Industrial
1854.groundorsurface,Gruond,Ground
324.locationone,"4(0.73, -73.96)","(40.73, -73.96)"
2057.country,lUSA,USA
635.street,ENTIRE WATRE DISTRICT WIDE,ENTIRE WATER DISTRICT WIDE
1048.groundorsurface,Surace,Surface
589.facilityname,OLIN CORPROATION CHLOR-ALKALI PRODUCTS,OLIN CORPORATION CHLOR-ALKALI PRODUCTS
837.groundorsurface,Suface,Surface
1727.city,POUGHKEESIE,POUGHKEEPSIE
1946.statevalue,Y,NY
122.country,UAS,USA
1947.planttype,Indusrtial,Industrial
427.facilityname,Alder Cree kBeverages LLC,Alder Creek Beverages LLC
1308.spdespermitnumber,NY015473,NY0157473
888.statevalue,YN,NY
1676.locationone,"(40.64, c-74.17)","(40.64, -74.17)"
607.locationone,"(42.82, -7.87)","(42.82, -73.87)"
901.country,UsSA,USA
1086.street,38 UTILITY DR - N OF FAIRVEIW PLZ,38 UTILITY DR - N OF FAIRVIEW PLZ
279.street,24 StOUTH ST,24 SOUTH ST
650.planttype,uMnicipal,Municipal
1419.country,SA,USA
331.city,PRATTSfVILLE,PRATTSVILLE
2056.planttype,Industral,Industrial
552.spdespermitnumber,NY01098a86,NY0109886
1239.planttype,Indhustrial,Industrial
879.planttype,Muncipal,Municipal
229.groundorsurface,Sruface,Surface
1352.street,75 PARK T,75 PARK ST
1823.facilityname,PORT CRANE SUBREIDENCY,PORT CRANE SUBRESIDENCY
379.statevalue,lNY,NY
231.groundorsurface,Surfae,Surface
59.facilityname,WORLD FINACIAL CENTER,WORLD FINANCIAL CENTER
2008.street,189 IRISH SETTLEEMNT RD,189 IRISH SETTLEMENT RD
977.facilityname,J B WASTEO IL CO INC,J B WASTE OIL CO INC
477.country,UAS,USA
2003.locationone,"(42i.84, -76.7)","(42.84, -76.7)"
