code,category,description,size,total_inventory,price,sale_price,sale_end_date
80365,PORT/SHERRY/DESSERT/VERMOUTH,Fairbanks Sherry,750ML,0,7.99,NULL,NULL
70071,CORDIALS,John DeKuyper & Sons 03 Premium Orange Liqueur,750ML,0,16.99,NULL,NULL
29213,IMPORTED BOTTLE,ALVINNE BARREL AGED PODGE 16.90Z,16.9Z,0,14.99,NULL,NULL
189979,FRANCE,Chateau Haut Selve Graves Bordeaux Blend,750ML,0,32.99,NULL,NULL
306557,FRANCE,GERARD BERTRAND PICPOUL DE PINET,750ML,2,16.99,NULL,NULL
28534,DOMESTIC CAN,Saucony Creek North Ramp Stout  - 6 Pack,12.0Z,0,14.99,NULL,NULL
68847,DOMESTIC CAN,EPIC BIG BAD BAPTIST 6/4 CANS - 4 Pack,12.0Z,0,44.99,NULL,NULL
9199,IMPORTED BOTTLE,Hitachino Nest Real Ginger Ale,24.0Z,0,11.99,NULL,NULL
23570,DOMESTIC BOTTLE,Laughing Dog The Dogfather - 4 Pack,22.0Z,0,47.99,NULL,NULL
376949,AMERICAN RED,HAYES RANCH CAB,750ML,13,11.99,NULL,NULL
30060,DOMESTIC BOTTLE,Breckenridge Twenty Five,25.0Z,0,19.99,NULL,NULL
10610,DOMESTIC BOTTLE,Lagunitas A Little Sumpin' Sumpin' - 12 Pack,12.0Z,0,21.99,NULL,NULL
167685,CORDIALS,MR BOSTON CREME DE MENTHE GREEN 1L,1LTR,10,7.99,NULL,NULL
327506,AMERICAN RED,De Loach Pinot Noir,750ML,0,35.99,NULL,NULL
353522,AMERICAN TABLE,Linganore Wine Cellars Aria White Blend,750ML,0,14.99,NULL,NULL
29194,IMPORTED BOTTLE,Piraat Triple Hop,750ML,0,19.99,NULL,NULL
146285,ITALY,Livio Felluga Colli Orientali del Friuli Pinot Grigio,750ML,24,35.99,NULL,NULL
428175,OTHER WINE,Hakutsuru Plum Wine Red Blend,750ML,0,18.99,NULL,NULL
369411,AMERICAN RED,The Other Guys Leese Fitch Merlot,750ML,18,14.99,NULL,NULL
310037,AMERICAN WHITE,Peirano Estate Vineyards The Other Rare White Blend,750ML,0,16.99,NULL,NULL
351722,OTHER WINE,Shumi Winery Zigu Red Blend,750ML,0,25.99,NULL,NULL
320089,AMERICAN RED,Grochau Cellars Commuter Cuvee Pinot Noir,750ML,0,22.99,NULL,NULL
301949,FRANCE,Chateau Les Terrasses de Bouey Bordeaux Blend,750ML,0,11.39,NULL,NULL
40371,AMERICAN RED,Ferrari Carano Zinfandel,750ML,0,25.99,NULL,NULL
166333,ITALY,Roscato Teroldego,750ML,0,14.99,NULL,NULL
81577,WINE CANS,DARK HORSE CAL ROSE CAN,375ML,0,6.99,NULL,NULL
237004,FRANCE,Chateau Larroque Blanc Sauvignon Blanc,750ML,0,16.99,NULL,NULL
40896,AUSTRALIA,Oxford Landing Shiraz,750ML,0,13.99,NULL,NULL
350858,CORDIALS,Pisa Nut Liqueur,750ML,0,32.99,NULL,NULL
75612,AMERICAN RED,HACIENDA CAB,750ML,0,7.99,NULL,NULL
77746,BEER,STELLA LIBERTE NA 4/6 NR - 6 Pack,11.2Z,0,11.99,NULL,NULL
166740,LIQ BASED RTD,Canteen Watermelon Vodka Soda - 6 Pack,355ML,0,12.99,NULL,NULL
202088,ASIA,Sho Chiku Bai Classic Junmai Sake,180ML,0,3.19,NULL,NULL
73670,RUM,Captain Morgan Silver Spiced Rum,1.75L,6,26.99,NULL,NULL
73558,SPECIALTY,WhipperSnapper Oregon Spirit Whiskey,1L,0,35.99,NULL,NULL
12139,AMERICAN RED,AVA Grace Vineyards Rare Red Blend,750ML,0,10.99,NULL,NULL
22601,DOMESTIC CAN,Caldera IPA - 24 Pack,12.0Z,0,56.99,NULL,NULL
329495,FRANCE,CH HAUT BARAIL BLC,750ML,0,10.49,NULL,NULL
25047,IMPORTED BOTTLE,St. Bernardus Abt 12 - 1 Pack,6L,0,279.99,NULL,NULL
14036,KOSHER,Barkan Classic Chardonnay,750ML,83,11.99,NULL,NULL
238718,ITALY,VILLA JOLANDA HAPPY HOLIDAY SPUM EXTRA SEC   750ML,750ML,33,16.99,NULL,NULL
301981,FRANCE,CH GRAND ROUSEAU,750ML,0,11.39,NULL,NULL
166870,AMERICAN TABLE,DAILYS POPTAILS VARIETY PK - 12 Pack,100ML,0,19.99,NULL,NULL
89384,AMERICAN RED,Chappellet Cervantes Mountain Cuvee Bordeaux Blend,750ML,0,39.99,NULL,NULL
429996,SPAIN/PORTUGAL,Joao Portugal Ramos Vila Santa Rare Red Blend,750ML,0,11.99,NULL,NULL
348151,AMERICAN RED,Old Woodhouse Red Blend Merlot,750ML,0,9.99,NULL,NULL
82870,AMERICAN WHITE,Seaglass Sauvignon Blanc,750ML,414,12.99,NULL,NULL
46322,ITALY,Tiamo Organic Venezia Pinot Grigio,750ML,0,15.99,NULL,NULL
10413,AMERICAN WHITE,Murphy Goode Chardonnay,750ML,548,13.99,10.99,11/30/2022
81712,AMERICAN RED,Intrinsic Wine Co. Cabernet Sauvignon,750ML,2,23.99,NULL,NULL
44813,GREECE,Kotrotsos Erasmios Moschofilero,750ML,0,19.99,NULL,NULL
86207,AMERICAN TABLE,Carlo Rossi Rhine White Blend,4L,17,17.99,NULL,NULL
333536,AMERICAN RED,Black Ink Wines Rare Red Blend,750ML,0,9.49,NULL,NULL
29680,BOURBON/RYE,Hillrock Solera Aged Bourbon Whiskey,750ML,0,132.99,NULL,NULL
10164,DOMESTIC CAN,JUNESHINE MIDNIGHT PAINKILLER 4/6 CANS - 6 Pack,12.0Z,0,16.99,NULL,NULL
27535,IMPORTED BOTTLE,Monty Python's Holy Grail Black Knight's Reserve - 2 Pack,16.9Z,0,35.99,NULL,NULL
11618,AMERICAN RED,La Catrina Sangria Red Blend,750ML,0,13.99,NULL,NULL
47538,CHAMPAGNE/SPARKLING,Mumm Napa Blanc de Blancs Methode Traditionelle Chardonnay,750ML,0,28.99,NULL,NULL
301570,ITALY,Villa Anna Chianti DOCG Sangiovese,750ML,0,8.99,NULL,NULL
79879,CORDIALS,Chila Orchata Cinnamon Cream Rum,750ML,0,18.99,NULL,NULL
42184,AMERICAN RED,McManis Family Vineyards Pinot Noir,750ML,0,14.99,NULL,NULL
241744,AMERICAN RED,ROCKLIN RANCH P/NOIR,750ML,0,13.99,NULL,NULL
70908,IRISH WHISKEY,WRITERS TEARS MARSALA CASK IRISH,750ML,0,75.99,NULL,NULL
75456,CORDIALS,Luxardo Amaro Abano Liqueur,750ML,0,23.99,NULL,NULL
337516,SPAIN/PORTUGAL,Cosecheros y Criadores Buenas Tempranillo,750ML,0,11.99,NULL,NULL
43766,CORDIALS,DeKuyper Luscious Pomegranate Pleasure Liqueur 1L,1L,0,22.99,NULL,NULL
90603,DOMESTIC CAN,Miller Genuine Draft Can - 30 Pack,12.0Z,0,33.99,NULL,NULL
22647,IMPORTED BOTTLE,St. George Beer Premium Lager,330ML,0,1.99,NULL,NULL
48039,RUM,Mount Gay Black Barrel Rum,750ML,0,189.99,NULL,NULL
312898,AMERICAN WHITE,10 SPAN CHARD,750ML,0,11.49,NULL,NULL
58068,PORT/SHERRY/DESSERT/VERMOUTH,Gonzalez Byass Tio Pepe Fino Muy Seco Palomino,750ML,0,26.99,NULL,NULL
341022,SPAIN/PORTUGAL,Vina Otano Viura,750ML,0,11.99,NULL,NULL
332693,ITALY,TESTA CABERNET SAUVIGNON,750ML,0,9.59,NULL,NULL
341193,FRANCE,FONTANELLES CHARD,750ML,0,8.99,NULL,NULL
64821,AMERICAN WHITE,SBRAGIA HOME RANCH CHARD 15/750ML,750ML,0,14.99,NULL,NULL
85082,KOSHER,Covenant Syrah,750ML,0,28.99,NULL,NULL
434442,NEW ZEALAND,Walnut Block Collectables Sauvignon Blanc,750ML,0,19.99,NULL,NULL
21975,IMPORTED BOTTLE,Green's Discovery Gluten Free Amber Ale,500ML,0,7.99,NULL,NULL
97950,IMPORTED BOTTLE,Samuel Smith's Winter Welcome Ale,18.7Z,0,5.99,NULL,NULL
72494,CHILE,Casa Lapostolle Grand Selection Sauvignon Blanc,750ML,0,18.99,NULL,NULL
428876,KOSHER,Zion Dolev Dry Red Cabernet Sauvignon,750ML,0,13.99,NULL,NULL
315753,FRANCE,Domaine des Rouet Chinon Cabernet Franc,750ML,0,21.99,NULL,NULL
81595,AMERICAN RED,Beringer Vineyards Main & Vine Red Crush Red Blend,750ML,0,10.99,NULL,NULL
79739,CORDIALS,Yukon Jack Canadian Liqueur 100 Proof,1.75L,5,26.99,NULL,NULL
351532,OTHER WINE,"Rubin Car Lazar Red Blend, Prokupac, Vranac, Merlot",750ML,0,14.69,NULL,NULL
333636,SOUTH AFRICA,RIEBEEK MER,750ML,0,10.99,NULL,NULL
352224,VODKA,Valentine Vodka,750ML,0,38.99,NULL,NULL
201120,KOSHER,DALTON FUME S/BLC,750ML,0,19.49,NULL,NULL
326147,ITALY,Tiamo Provincia di Pavia IGT Barbera,750ML,0,15.99,NULL,NULL
5398,IMPORTED BOTTLE,Duvel Belgian Golden Ale - 4 Pack,11.0Z,0,21.99,NULL,NULL
324127,FRANCE,Les Trois Couronnes Cotes du Rhone Red Southern Rhone Blend,750ML,0,11.49,NULL,NULL
243298,VODKA,Frankly Organic Pomegranate Vodka,750ML,115,24.99,NULL,NULL
307756,ITALY,Terrae Palmae Di Sardegna Vermentino di Sardegna,750ML,0,11.99,NULL,NULL
75167,AMERICAN WHITE,Beringer Vineyards Founders' Estate Sauvignon Blanc,750ML,0,11.99,NULL,NULL
68497,PORT/SHERRY/DESSERT/VERMOUTH,Presidential 20 Year Old Tawny Red Port,750ML,0,53.99,NULL,NULL
308572,AMERICAN WHITE,Carmel Road Unoaked Chardonnay,375ML,0,13.99,NULL,NULL
315484,ITALY,Cavit Collection Delle Venezie IGT Merlot,187ML,0,2.99,NULL,NULL
195103,SPAIN/PORTUGAL,Dominio de Eguren Protocolo Tempranillo,750ML,12,9.99,NULL,NULL
42487,CHAMPAGNE/SPARKLING,Ruinart Brut Blanc de Blancs Champagne,750ML,0,109.99,NULL,NULL
350026,ITALY,Carlo & Sylvia Moscato D'Asti Muscat Blanc a Petits Grains,750ML,0,11.69,NULL,NULL
13374,VODKA,Stoli Ohranj Vodka,1.75L,0,29.99,NULL,NULL
92207,DOMESTIC CAN,SCHLITZ MALT 12/24OZ CAN - 12 Pack,24.0Z,0,24.99,NULL,NULL
336583,ITALY,Conti Beretta Cherubi Rose Delle Venezie IGT Cabernet Sauvignon,750ML,0,7.69,NULL,NULL
369284,OTHER WINE,Santiago Queirolo Gran Vino Borgona,750ML,0,11.49,NULL,NULL
73362,VODKA,Menage A Trois Vodka,750ML,0,19.99,NULL,NULL
342081,NEW ZEALAND,Wairau River Pinot Noir,750ML,0,22.99,NULL,NULL
351146,IMPORTED BOTTLE,�vyturys Baltijos - 4 Pack,16.9Z,0,11.99,NULL,NULL
238062,AMERICAN WHITE,Flat Top Hills Cellars Sauvignon Blanc,750ML,35,14.99,NULL,NULL
31054,FRANCE,E. Guigal Cotes du Rhone Red Southern Rhone Blend,750ML,17,19.99,NULL,NULL
70930,VODKA,Three Olives Triple Shot Espresso Vodka,1L,0,27.99,NULL,NULL
48553,CORDIALS,DeKuyper Burst Cactus Juice Margarita Schnapps,1L,0,11.99,NULL,NULL
339092,PORT/SHERRY/DESSERT/VERMOUTH,Maynard's 10 Years Old Aged Tawny Porto Red Port,750ML,0,27.99,NULL,NULL
70271,RUM,Coruba Coconut Rum,750ML,0,10.49,NULL,NULL
240569,ITALY,Montefresco Montepulciano D'Abruzzo DOC,750ML,0,8.99,NULL,NULL
99740,IMPORTED BOTTLE,Molson Golden - 12 Pack,12.0Z,0,15.99,NULL,NULL
27958,DOMESTIC BOTTLE,Abita Lemon Wheat - 6 Pack,12.0Z,0,11.99,NULL,NULL
313495,ITALY,Santero Moscato & Strawberry Muscat,750ML,0,15.99,NULL,NULL
29947,VODKA,Boru Vodka,750ML,0,12.99,NULL,NULL
77736,DOMESTIC CAN,YUENGLING FLIGHT 15/24OZ CANS,24.0Z,0,2.99,NULL,NULL
238588,SPAIN/PORTUGAL,Isaac Fernandez Selection Acentor Tempranillo,750ML,0,15.99,NULL,NULL
68453,DOMESTIC CAN,LAGUNITAS IPA 2/12 CANS - 12 Pack,12.0Z,0,22.99,NULL,NULL
11509,CORDIALS,DeKuyper Signature Creme De Menthe White Liqueur,1L,0,10.99,NULL,NULL
166480,LIQ BASED RTD,Cutwater Lime Tequila Margarita - 4 Pack,12.0Z,8,11.99,NULL,NULL
88052,KOSHER,Rashi Joyvin Red Cabernet Sauvignon,750ML,5,9.99,NULL,NULL
336937,VODKA,Pearl Vodka,1L,0,14.99,NULL,NULL
44080,AMERICAN WHITE,LAGARIA P/GRIG,1.5L,12,27.99,NULL,NULL
359258,SPECIALTY,Sugarlands Jim Tom Hendrick's Unaged Rye Moonshine,750ML,8,18.99,NULL,NULL
342335,ITALY,Garofoli Serra del Conte Verdicchio Dei Castelli di Jesi Classico,750ML,0,14.99,NULL,NULL
41017,BRANDY/COGNAC/GRAPPA,Courvoisier V.S.O.P Fine Cognac,750ML,261,50.99,NULL,NULL
327386,KOSHER,Lanzur Sauvignon Blanc,750ML,0,13.99,NULL,NULL
72661,VODKA,CIROC VODKA   SUMMER CITRUS,1.75L,263,56.99,NULL,NULL
395846,NEW ZEALAND,Momo Sauvignon Blanc,750ML,0,17.99,NULL,NULL
307179,AMERICAN WHITE,Sycamore Lane Cellars Pinot Grigio,1.5L,0,12.99,NULL,NULL
307787,KOSHER,Bartenura Rosso Toscano Toscana IGT Sangiovese,750ML,0,9.99,NULL,NULL
42064,CORDIALS,Bols Triple Sec Liqueur 76 Proof,1L,0,8.99,NULL,NULL
47203,CORDIALS,Hiram Walker Amaretto & Cognac Liqueur,1L,0,14.99,NULL,NULL
26887,IMPORTED BOTTLE,SCHNEIDER AVENTINUS BA 6/25.4 0Z NR,25.4Z,0,20.99,NULL,NULL
24595,IMPORTED BOTTLE,Lindemans Kriek,12.0Z,0,8.99,NULL,NULL
79731,PORT/SHERRY/DESSERT/VERMOUTH,Cinzano Extra Dry Vermouth White Blend,750ML,0,10.99,NULL,NULL
16527,ITALY,Pio Cesare Barolo Nebbiolo,750ML,0,69.99,NULL,NULL
173282,AMERICAN WHITE,BARNARD GRIFFIN CHARD,750ML,0,18.99,NULL,NULL
56219,FRANCE,Chateau Gravas Sauternes Sauvignon Blanc,375ML,0,17.49,NULL,NULL
77785,DOMESTIC CAN,DOGFISH HEAD BLUE HEN PILSNER 2/12 CAN - 12 Pack,12.0Z,0,19.99,NULL,NULL
319259,AMERICAN BLUSH/ROSE,Canyon Road White Zinfandel,1.5L,0,10.99,NULL,NULL
43781,FRANCE,CH TOUR D'AURON,750ML,0,16.99,NULL,NULL
347640,CANADIAN/BLENDED WHISKEY,Cask & Crew Blended Rye Whiskey,50ML,0,1.99,NULL,NULL
18505,DOMESTIC CAN,SAM ADAMS LOVE CONQUERS ALE 4/6 CANS - 6 Pack,12.0Z,-6,10.99,NULL,NULL
70865,GIN,Blackwoods 2012 Vintage Dry Gin,750ML,0,36.99,NULL,NULL
42481,TEQUILA,Coa de Jima Silver Tequila 1.75L,1.75L,0,46.99,NULL,NULL
31356,AMERICAN RED,Freemark Abbey Bosche Cabernet Sauvignon,750ML,3,216.99,NULL,NULL
238668,AMERICAN RED,MOSS ROXX ANCIENT VINES ZINF   750ML,750ML,2,22.99,NULL,NULL
309746,ITALY,Contadi Castaldi Brut Franciacorta Chardonnay,750ML,0,29.99,NULL,NULL
410934,ITALY,Coltibuono RS Chianti Classico DOCG Sangiovese,375ML,0,10.99,NULL,NULL
44869,AUSTRALIA,Glaetzer Wallace Shiraz,750ML,2,33.99,NULL,NULL
311026,ITALY,Cantina Nalles & Magre Niclara Punggl Alto Adige   Sudtirol Pinot Grigio,750ML,0,22.99,NULL,NULL
42302,BRANDY/COGNAC/GRAPPA,Pierre Ferrand Ambre Cognac,750ML,139,46.99,NULL,NULL
172162,FRANCE,Alain Geoffroy Beauroy Chablis Beauroy Chardonnay,750ML,0,43.99,NULL,NULL
11452,CANADIAN/BLENDED WHISKEY,Jackson Morgan Peppermint Mocha Liqueur,750ML,0,23.99,NULL,NULL
367884,BOURBON/RYE,SAGAMORE SPIRIT RYE BARREL 110,750ML,82,54.99,NULL,NULL
241746,WINE CANS,19 Crimes Hard Chard Aluminum Can Chardonnay,375ML,112,7.99,NULL,NULL
14206,ASIA,Takara Kinsen Plum Original,750ML,0,10.99,NULL,NULL
13728,DOMESTIC BOTTLE,True Respite Funky Manhattan,500ML,1,11.99,NULL,NULL
166242,ARGENTINA,Clos de los Siete Rare Red Blend,750ML,0,21.99,NULL,NULL
24338,DOMESTIC BOTTLE,Schlafly Pumpkin Ale - 6 Pack,12.0Z,0,16.99,NULL,NULL
125709,BRANDY/COGNAC/GRAPPA,Paul Masson VSOP Grande Amber Brandy 375ML,375ML,0,6.99,NULL,NULL
424013,PORT/SHERRY/DESSERT/VERMOUTH,Romariz Fine Ruby Red Port,750ML,0,14.49,NULL,NULL
346055,VODKA,Rock Town Grapefruit Vodka,750ML,0,14.49,NULL,NULL
76565,SPECIALTY,Woodford Reserve Distiller's Select Kentucky Straight Malt Whiskey,750ML,153,37.99,NULL,NULL
29861,DOMESTIC BOTTLE,Anderson Valley The Kimmie The Yink & The Holy Gose - 6 Pack,12.0Z,0,15.99,NULL,NULL
26082,COOLERS,Verdi Peach Sparkletini - 6 Pack,187ML,0,19.99,NULL,NULL
336487,FRANCE,Chateau Grand Billard Sauvignon Blanc,750ML,0,14.99,NULL,NULL
46573,TEQUILA,Don Roberto Reposado Tequila,750ML,0,50.99,NULL,NULL
43958,AMERICAN WHITE,Willamette Valley Vineyards Pinot Gris,750ML,11,19.99,NULL,NULL
239752,WINE CANS,Crafters Union Can Rose Blend,375ML,0,5.99,NULL,NULL
89800,AMERICAN TABLE,Arbor Mist Strawberry White Zinfandel,750ML,0,6.99,NULL,NULL
328843,CHAMPAGNE/SPARKLING,LaLuca Prosecco Glera,750ML,0,16.99,NULL,NULL
48708,BOURBON/RYE,Charred Oak Hand Crafted Rye Whiskey 80 Proof,750ML,0,54.99,NULL,NULL
56057,SCOTCH,Mcclelland's Lowland Single Malt Scotch Whisky,750ML,0,24.99,NULL,NULL
340173,ITALY,CO.CO.RA S.C. Niro Montepulciano D'Abruzzo DOC,750ML,0,16.99,NULL,NULL
14890,IMPORTED BOTTLE,DELIRIUM DELIRIA 6/4 330ML CANS - 4 Pack,330ML,0,33.99,NULL,NULL
326601,AMERICAN RED,Emmolo Merlot,750ML,0,58.99,NULL,NULL
238520,FRANCE,Bouchard Pere et Fils Vigne de L'Enfant Jesus Greves Beaune Premier Cru Pinot Noir,750ML,10,149.99,NULL,NULL
71827,VODKA,Beluga Gold Line Noble Vodka,750ML,9,105.99,NULL,NULL
319632,AMERICAN RED,Thorny Rose Rare Red Blend,750ML,0,9.49,NULL,NULL
80281,KOSHER,Hagafen Clearwater Ranch Riesling,750ML,3,26.99,NULL,NULL
351766,ARGENTINA,Santa Julia Tintillo Bonarda,750ML,0,13.99,NULL,NULL
48548,BRANDY/COGNAC/GRAPPA,Bistra Slivovitz Serbian Plum Brandy,750ML,1,19.99,NULL,NULL
351902,ARGENTINA,Finca La Celia Reserva Malbec,750ML,0,18.99,NULL,NULL
335733,RUM,Picaroon Gold Rum,750ML,0,38.99,NULL,NULL
160350,SPAIN/PORTUGAL,Bodegas Muga Rosado Garnacha,750ML,0,18.99,NULL,NULL
239586,AMERICAN TABLE,BUZZBALLZ CHILLERS PEACH 24/CS   187ML,187ML,1,4.99,NULL,NULL
10669,CANADIAN/BLENDED WHISKEY,Johnny Smoking Gun Whiskey,750ML,0,53.99,NULL,NULL
71623,VODKA,Smirnoff Vodka 100 Proof,200ML,0,4.99,NULL,NULL
29560,DOMESTIC CAN,Stillwater Yacht Dry Hopped Session Lager - 4 Pack,16.0Z,0,13.99,NULL,NULL
338701,CHILE,Vina San Esteban Rio Alto Reserva Estate Bottled Cabernet Sauvignon,750ML,0,8.49,NULL,NULL
232658,FRANCE,Atlantique Sauvignon Blanc,750ML,0,9.99,NULL,NULL
12955,IMPORTED BOTTLE,Aecht Schlenkerla Helles Lagerbier,16.9Z,0,4.99,NULL,NULL
6181,IMPORTED BOTTLE,Samuel Smith Organic Pale Ale,18.7Z,0,5.99,NULL,NULL
120200,FRANCE,Foncalieu Les Fontanelles Sauvignon Blanc,750ML,0,7.99,NULL,NULL
67385,OTHER WINE,Vampire Vineyards Pinot Grigio,750ML,0,10.49,NULL,NULL
48706,ITALY,Cavit Collection Moscato Delle Venezie IGT Muscat,750ML,0,11.99,NULL,NULL
70915,IRISH WHISKEY,THE IRISHMAN IRISH CREAM,750ML,0,17.99,NULL,NULL
25224,AMERICAN RED,Beaulieu Vineyard Cabernet Sauvignon,750ML,0,33.99,NULL,NULL
84631,AMERICAN RED,1000 Stories Bourbon Barrel Aged Zinfandel,750ML,11,18.99,NULL,NULL
46218,IRISH WHISKEY,Paddy Old Irish Whiskey,1L,0,26.99,NULL,NULL
29204,IMPORTED BOTTLE,Piraat Triple Hop - 4 Pack,11.2Z,0,26.99,NULL,NULL
40911,SPAIN/PORTUGAL,Bodegas Emilio Moro Tempranillo,750ML,0,33.99,NULL,NULL
42687,SOUTH AFRICA,Fleur du Cap Bergkelder Selection Sauvignon Blanc,750ML,0,10.99,NULL,NULL
37869,AMERICAN WHITE,Raymond Vineyard & Cellar Reserve Selection Chardonnay,750ML,0,29.99,NULL,NULL
365908,VODKA,Nikita Corn Vodka 1.75L,1.75L,6,19.99,NULL,NULL
354341,FRANCE,Badet Clement & Co Beau Chene Pinot Noir,750ML,0,11.99,NULL,NULL
23929,DOMESTIC BOTTLE,Heavy Seas Prosit!,22.0Z,0,5.99,NULL,NULL
32031,AMERICAN WHITE,KISTLER SONOMA MT CHARD,750ML,0,86.99,NULL,NULL
50091,CORDIALS,Carolans Irish Cream Liqueur,750ML,259,15.99,NULL,NULL
84705,AMERICAN RED,Cocobon Zinfandel,750ML,0,8.99,NULL,NULL
74978,CORDIALS,Caravedo Acholado Pisco,750ML,0,28.99,NULL,NULL
45250,BRANDY/COGNAC/GRAPPA,Hiram Walker Apricot Flavored Brandy,200ML,0,3.99,NULL,NULL
23652,IMPORTED BOTTLE,Scaldis Refermentee,25.4Z,0,14.99,NULL,NULL
167304,SPAIN/PORTUGAL,PORTAL FIDALGO ALVARINTO,750ML,5,15.99,NULL,NULL
403385,FRANCE,VIGNEAU CHEVREAU VOUV SEC   750ML,750ML,0,18.99,NULL,NULL
48377,FRANCE,Matthias et Emile Roblin Ammonites Sancerre Sauvignon Blanc,750ML,0,54.99,NULL,NULL
347319,DOMESTIC BOTTLE,Two Roads Espressway - 6 Pack,12.0Z,0,15.99,NULL,NULL
79740,PORT/SHERRY/DESSERT/VERMOUTH,Cinzano Vermouth Rosso Red Blend,750ML,1,10.99,NULL,NULL
48020,NULL,STORE SPECIAL LIQUOR 750ML,750ML,0,0.49,NULL,NULL
95613,IMPORTED CAN,Foster's Premium Ale,25.4Z,0,2.99,NULL,NULL
144460,AMERICAN WHITE,Heitz Cellar Chardonnay,750ML,0,41.99,NULL,NULL
241662,AMERICAN RED,Meiomi Cabernet Sauvignon,750ML,306,21.99,NULL,NULL
353628,FRANCE,Pamponete Grapefruit Rose Rose Blend,750ML,8,9.79,NULL,NULL
16838,DOMESTIC CAN,NB VOODOO RANGER JUICE FORCE 4/6 CANS - 6 Pack,12.0Z,0,13.99,NULL,NULL
51349,CORDIALS,KeKe Beach Key Lime Pie Cream Liqueur,750ML,0,24.99,NULL,NULL
332970,CHILE,Frenesi Wild Berries Rare White Blend,750ML,0,7.99,NULL,NULL
26176,DOMESTIC CAN,Samuel Adams Octoberfest Can - 12 Pack,12.0Z,0,20.99,NULL,NULL
328627,SCOTCH,Arran 10 Year Old Single Malt Scotch Whisky,750ML,0,49.99,NULL,NULL
46669,ITALY,Lorenzo Begali Amarone Della Valpolicella Classico Valpolicella Blend,750ML,0,45.99,NULL,NULL
300313,CHAMPAGNE/SPARKLING,Caposaldo Brut Prosecco Glera,750ML,0,15.99,NULL,NULL
14411,DOMESTIC CAN,DESTIHL TOUCH OF HAZE 4/6 CANS - 6 Pack,12.0Z,0,20.99,NULL,NULL
347945,AMERICAN TABLE,Line 39 Excursion Red Blend,750ML,31,10.99,NULL,NULL
233114,BOURBON/RYE,Six & Twenty 5 Grain Bourbon Whiskey,750ML,0,56.99,NULL,NULL
86067,AMERICAN RED,Big Red Productions The Big Red Monster Rare Red Blend,750ML,0,23.99,NULL,NULL
329765,AMERICAN RED,The Seeker Cabernet Sauvignon,750ML,0,12.99,NULL,NULL
37176,VODKA,Hangar 1 Kaffir Lime Vodka,750ML,12,28.99,NULL,NULL
332972,CHILE,Frenesi Wild Berries Rare White Blend,750ML,0,7.99,NULL,NULL
43468,AMERICAN WHITE,Kiona Chenin Blanc,750ML,0,15.99,NULL,NULL
315416,AMERICAN RED,The Seeker Pinot Noir,750ML,0,11.49,NULL,NULL
302858,SPAIN/PORTUGAL,Anecoop Casa L'Angel Cabernet Sauvignon,750ML,0,12.49,NULL,NULL
333484,ITALY,San Lorenzo Trebbiano d'Abruzzo,750ML,0,10.99,NULL,NULL
337474,CHILE,Villasenor Kenos Cabernet Franc,750ML,0,7.69,NULL,NULL
351067,KOSHER,ALTOONA HILLS SHZ,750ML,0,9.39,NULL,NULL
346446,AMERICAN RED,KENWOOD SIX RIDGES P/NOIR,750ML,10,21.99,NULL,NULL
337191,AMERICAN WHITE,The Seeker Chardonnay,750ML,0,12.99,NULL,NULL
311333,CHILE,Vina San Esteban In Situ Gran Reserva Cabernet Sauvignon,750ML,0,13.49,NULL,NULL
342141,ITALY,Santa Sofia Valpolicella Classico DOC Valpolicella Blend,750ML,0,10.49,NULL,NULL
327152,GERMANY,The Seeker Qualitatswein Riesling,750ML,0,9.79,NULL,NULL
311477,AMERICAN WHITE,Elk Run Cold Friday Vineyard Pinot Gris,750ML,0,11.99,NULL,NULL
232452,SPAIN/PORTUGAL,Bodegas Vinsacro Dioro Rioja Red Blend,750ML,0,16.49,NULL,NULL
322925,AMERICAN RED,Sonoma Oaks Pinot Noir,750ML,0,10.79,NULL,NULL
335405,AMERICAN WHITE,Sola Chardonnay,750ML,0,10.69,NULL,NULL
47650,CANADIAN/BLENDED WHISKEY,Corsair Wry Moon Unaged Rye Whiskey,750ML,0,37.99,NULL,NULL
11451,CANADIAN/BLENDED WHISKEY,Louthan Baltimore Oak Aged Corn Whiskey,750ML,0,32.99,NULL,NULL
153451,ITALY,Fonterosso Riserva Chianti Chianti Blend,750ML,0,14.49,NULL,NULL
100927,SPAIN/PORTUGAL,Cristalino (Jaume Serra) Extra Dry Traditional Method Cava Blend,750ML,0,10.79,NULL,NULL
342139,ITALY,Santa Sofia Valpolicella Classico DOC Valpolicella Blend,750ML,0,16.99,NULL,NULL
46151,PORT/SHERRY/DESSERT/VERMOUTH,Moncao Danaide Tinto Cao,750ML,0,8.99,NULL,NULL
232062,AMERICAN WHITE,The House of Independent Producers Dionysus Vineyard Chardonnay,750ML,0,12.69,NULL,NULL
83102,AMERICAN RED,Woodwork Cabernet Sauvignon,750ML,0,12.99,NULL,NULL
74840,SCOTCH,Black Bull 12 Year Old Blended Scotch Whisky,750ML,0,71.99,NULL,NULL
85891,AMERICAN RED,Slow Press Wines Oak Barrel Aged Cabernet Sauvignon,750ML,0,12.99,NULL,NULL
337389,AMERICAN WHITE,Linden Hardscrabble Chardonnay,375ML,0,21.99,NULL,NULL
