1383.facilityname,Riverside Community Hosiptal,Riverside Community Hospital
989.facilityid,6.0000002E7,140000187
699.facilityname,Parkvie Community Hospital Medical Center,Parkview Community Hospital Medical Center
1193.county,San Diergo,San Diego
715.facilityid,2.400001E8,120000411
561.county,Sant Clara,Santa Clara
753.county,cAlameda,Alameda
130.facilityid,2.400001E8,70001349
363.facilityname,California Hospidtal Medical Center - Los Angeles,California Hospital Medical Center - Los Angeles
1394.facilityname,"St. Joseph Hospital, Oragne","St. Joseph Hospital, Orange"
910.facilityname,Tulasre Regional Medical Center,Tulare Regional Medical Center
1052.county,SanFrancisco,San Francisco
646.facilityid,4.0000122E7,930000065
952.facilityid,3.0000122E7,30000113
868.facilityid,9.30000114E8,930000123
626.facilityid,1.40000012E8,930000034
1194.facilityid,2.400001E8,90000025
741.county,Saceramento,Sacramento
542.facilityid,9.30000002E8,70000139
262.county,San Digo,San Diego
1360.facilityname,John Muir Medical eCnter - Walnut Creek Campus,John Muir Medical Center - Walnut Creek Campus
526.facilityid,9.3000007E8,930000151
1342.county,Venura,Ventura
1131.county,San Joaquisn,San Joaquin
234.facilityid,9.3000007E8,250000507
1002.facilityid,4.0000122E7,120000342
847.county,El orado,El Dorado
698.facilityname,Pacifi cAlliance Medical Center,Pacific Alliance Medical Center
309.county,Huboldt,Humboldt
862.facilityid,9.3000004E8,70000146
1397.facilityname,Sutter Rosjeville Hospital,Sutter Roseville Hospital
1428.facilityname,untington Memorial Hospital,Huntington Memorial Hospital
679.facilityname,Lofs Robles Hospital & Medical Center,Los Robles Hospital & Medical Center
280.facilityid,9.30000005E8,930000028
322.county,os Angeles,Los Angeles
1369.county,Los Angegles,Los Angeles
1296.facilityname,"Kaiser vFoundation Hospital, Roseville","Kaiser Foundation Hospital, Roseville"
1347.facilityname,Childrens Hospital & Research Center Oakland,Children's Hospital & Research Center Oakland
400.facilityid,9.30000012E8,930000026
1263.county,Santa Claa,Santa Clara
121.facilityid,9.30000034E8,930000047
1256.facilityid,9.30000004E8,80000023
848.county,Los Angelegs,Los Angeles
114.facilityid,6.3001296E8,930000290
1257.county,Rvierside,Riverside
552.facilityid,3.0000122E7,930001543
681.facilityid,6.0000074E7,110000021
395.facilityid,6.0000002E7,250000012
1322.facilityid,9.30000008E8,930000162
1311.facilityname,Lucile Packard Children'sH ospital Stanford,Lucile Packard Children's Hospital Stanford
584.county,uLos Angeles,Los Angeles
1451.facilityname,Loma Linda Universty Medical Center,Loma Linda University Medical Center
371.county,Coontra Costa,Contra Costa
256.facilityid,9.30000034E8,30000134
1153.county,San Bernardinlo,San Bernardino
1166.county,Lso Angeles,Los Angeles
1430.facilityname,John Muir Medical Center - Walut Creek Campus,John Muir Medical Center - Walnut Creek Campus
152.facilityid,1.40000425E8,30000127
58.facilityid,9.30001543E8,60000058
438.facilityid,9.30000012E8,110000953
1315.facilityid,3.0000117E7,930000111
851.county,Shasat,Shasta
1343.facilityname,White eMmorial Medical Center,White Memorial Medical Center
1332.facilityid,1.40000012E8,250000344
1038.facilityid,4.0000122E7,220000019
1260.county,Snata Clara,Santa Clara
1097.county,Aalmeda,Alameda
1098.facilityid,4.0000122E7,40000949
965.facilityid,9.30000034E8,80000023
1118.facilityid,9.30000114E8,30000133
1221.facilityname,UC San Diego Health Hillcrest -v Hillcrest Medical Center,UC San Diego Health Hillcrest - Hillcrest Medical Center
756.county,Los Anglees,Los Angeles
852.county,aScramento,Sacramento
1479.county,San Dieogo,San Diego
1091.facilityid,3.0000117E7,930000026
141.facilityid,9.30000008E8,40000110
422.facilityid,2.40000082E8,70001355
314.facilityid,9.30000114E8,50000280
1445.county,Los Angles,Los Angeles
1004.county,San Bernardiano,San Bernardino
79.county,Riverisde,Riverside
300.county,Saznta Clara,Santa Clara
93.facilityid,9.30000004E8,630013398
1179.facilityid,6.3001296E8,40000126
831.facilityid,9.30000005E8,120000342
1121.facilityid,2.400001E8,140000190
1226.facilityname,Valley Children's Hopital,Valley Children's Hospital
1064.county,San Benardino,San Bernardino
1015.facilityid,9.30000004E8,250000050
1400.facilityname,University of CaliforniaI rvine Medical Center,University of California Irvine Medical Center
1205.county,umboldt,Humboldt
1280.county,San oaquin,San Joaquin
1108.county,Pacer,Placer
633.facilityid,9.30000034E8,30000122
581.facilityid,6.0000002E7,630013873
1325.county,Sanp Bernardino,San Bernardino
49.facilityname,Antelope Valley Hospital,El Centro Regional Medical Center
345.facilityid,9.3000007E8,70001357
275.facilityid,1.40000012E8,630010957
764.facilityid,6.0000074E7,240000001
763.facilityid,1.40000012E8,120000338
1450.facilityname,Loma Lintda University Children's Hospital,Loma Linda University Children's Hospital
997.facilityid,6.3001296E8,80000144
510.facilityid,9.30000034E8,110000049
408.facilityid,9.30000005E8,40000949
947.facilityname,Loma Linda University Children's Hosital,Loma Linda University Children's Hospital
1054.facilityid,9.3000004E8,60000006
1425.facilityname,"Good Samaritan Hospita, San Jose","Good Samaritan Hospital, San Jose"
181.facilityid,9.30000004E8,80000147
1365.county,Placre,Placer
402.facilityid,9.30000005E8,140000187
1006.facilityid,9.3000007E8,70001349
728.county,Venura,Ventura
700.facilityid,6.0000074E7,930000123
485.facilityid,9.30000012E8,120000411
942.county,San ernardino,San Bernardino
391.county,os Angeles,Los Angeles
1224.facilityid,9.30000008E8,30000113
1183.county,San Brenardino,San Bernardino
839.facilityid,6.0000074E7,50000018
887.county,Santa Clakra,Santa Clara
783.facilityid,1.40000012E8,240000082
1290.facilityid,9.3000007E8,930000074
1126.facilityname,Kern Medical pCenter,Kern Medical Center
1143.facilityid,6.3001296E8,30000124
156.facilityid,3.0000135E7,220000017
1065.county,Monteery,Monterey
941.facilityid,6.0000074E7,140000797
1398.facilityname,UCSF Medcal Center,UCSF Medical Center
1212.county,ontra Costa,Contra Costa
20.county,Almaeda,Alameda
844.county,Hhumboldt,Humboldt
395.county,Rivqerside,Riverside
1377.county,Orane,Orange
640.facilityid,6.3001296E8,110000008
1184.facilityid,6.3001296E8,930000125
330.county,Ornage,Orange
612.county,Los aAngeles,Los Angeles
799.county,Oange,Orange
1238.facilityname,Earl & Lordaine Miller Children's Hospital,Earl & Loraine Miller Children's Hospital
1058.facilityid,9.3000004E8,60000007
919.county,San Benardino,San Bernardino
1190.facilityid,1.40000425E8,930000049
246.facilityid,9.30000005E8,240000104
782.facilityid,2.40000082E8,930000040
1414.facilityname,Children's Hospitcal of Orange County,Children's Hospital of Orange County
1084.facilityid,6.0000002E7,70000153
268.facilityid,1.40000425E8,30000113
982.county,Riveerside,Riverside
1126.county,gKern,Kern
968.facilityid,2.400001E8,250000507
951.county,San Farncisco,San Francisco
914.county,LosA ngeles,Los Angeles
390.county,lLos Angeles,Los Angeles
1155.facilityid,9.30000005E8,240000037
720.county,Los Angelse,Los Angeles
1242.county,os Angeles,Los Angeles
1020.county,Satna Clara,Santa Clara
714.facilityid,9.30000005E8,240000053
1314.county,Ls Angeles,Los Angeles
423.county,Lo Angeles,Los Angeles
46.facilityname,den Medical Center,Eden Medical Center
616.facilityname,Antelop Valley Hospital,Antelope Valley Hospital
928.facilityid,3.0000117E7,930000034
966.facilityname,Santa Monica - UCLA Medical Center and Orthopaedci Hospital,Santa Monica - UCLA Medical Center and Orthopaedic Hospital
332.facilityid,7.0000139E7,930000026
1329.county,oLs Angeles,Los Angeles
336.facilityid,9.3000007E8,630015551
776.facilityid,4.0000122E7,240000003
458.county,Orahnge,Orange
403.facilityid,3.0000117E7,110000011
1441.facilityname,"Kaiser Foundation Hosital, Santa Clara","Kaiser Foundation Hospital, Santa Clara"
1160.county,Lors Angeles,Los Angeles
1467.county,Rivreside,Riverside
1146.county,Sisiyou,Siskiyou
451.facilityid,9.30000002E8,930000096
926.facilityid,9.30000034E8,140000011
1155.county,nyo,Inyo
1211.county,Del Nrte,Del Norte
1468.facilityname,Rivrside University Health System - Medical Center,Riverside University Health System - Medical Center
1282.facilityid,1.40000012E8,140000183
1251.county,Kren,Kern
1389.county,Snoma,Sonoma
1271.county,Los Angieles,Los Angeles
875.facilityname,Ridgecrest Regoinal Hospital,Ridgecrest Regional Hospital
1047.facilityname,Anelope Valley Hospital,Antelope Valley Hospital
127.facilityid,7.0000139E7,60000025
673.facilityname,LACOlive View UCLA Medical Center,LAC/Olive View UCLA Medical Center
660.facilityid,9.30000082E8,30001370
1178.county,Oange,Orange
273.facilityname,Valeycare Medical Center,Valleycare Medical Center
1348.facilityname,Childen's Hospital at Mission,Children's Hospital at Mission
1223.county,Menocino,Mendocino
819.facilityid,4.0000122E7,250000707
1014.county,San Dieog,San Diego
628.facilityid,6.0000002E7,930000132
738.facilityname,"Skt. Mary Medical Center, Long Beach","St. Mary Medical Center, Long Beach"
673.county,Lso Angeles,Los Angeles
1138.facilityid,9.30000012E8,240000005
252.facilityname,Adventist Medical Center,Sutter Delta Medical Center
1204.county,eThama,Tehama
307.facilityid,4.0000122E7,60000073
169.facilityid,3.0000122E7,230000014
1312.facilityname,Mercy Medical Center Reddng,Mercy Medical Center Redding
1083.county,Santa Barrbara,Santa Barbara
585.facilityid,6.0000002E7,80000023
209.facilityname,Beverly Hospital,San Mateo Medical Center
1489.county,aScramento,Sacramento
417.facilityid,6.3001296E8,220000010
828.facilityid,9.30000012E8,140000190
583.county,os Angeles,Los Angeles
667.facilityid,3.0000117E7,30000133
1297.facilityid,6.0000002E7,30000130
493.county,Sna Diego,San Diego
390.facilityid,9.30000008E8,930000093
150.facilityid,9.30000005E8,230000012
1111.facilityid,1.40000012E8,220000008
985.county,rOange,Orange
531.facilityname,Bakersfeild Memorial Hospital,Bakersfield Memorial Hospital
902.facilityname,"St.j Mary Medical Center, Apple Valley","St. Mary Medical Center, Apple Valley"
932.county,Alamea,Alameda
1189.facilityid,1.40000425E8,70000149
645.county,Aameda,Alameda
927.county,os Angeles,Los Angeles
1413.facilityname,Children's Hospitgal Los Angeles,Children's Hospital Los Angeles
167.facilityid,6.0000011E7,930000105
1195.county,San iDego,San Diego
975.county,Los Ageles,Los Angeles
1320.facilityid,9.3000004E8,70000133
775.county,Orannge,Orange
498.facilityname,South Coast Global Medical Centr,South Coast Global Medical Center
728.facilityname,Simi Valley Hospital & Health Car Services,Simi Valley Hospital & Health Care Services
970.facilityid,6.3001296E8,70001357
1361.county,oLs Angeles,Los Angeles
1039.county,Ls Angeles,Los Angeles
570.facilityname,Los Angeles Commdunity Hospital,Los Angeles Community Hospital
1209.facilityid,9.30000008E8,70001357
1337.facilityname,University of Califonria Davis Medical Center,University of California Davis Medical Center
981.county,Frresno,Fresno
730.county,Orage,Orange
192.facilityid,1.40000012E8,110000045
56.facilityid,1.40000425E8,110000008
1162.county,Roiverside,Riverside
242.facilityid,4.0000122E7,110000067
619.facilityname,Banner Lassen Medicl Center,Banner Lassen Medical Center
589.county,Lso Angeles,Los Angeles
1493.county,Lsos Angeles,Los Angeles
177.facilityid,7.000015E7,930000052
1341.county,Aljameda,Alameda
937.facilityid,3.0000117E7,930000128
1207.county,San Bernarqdino,San Bernardino
650.facilityname,John Muir Mediacl Center - Walnut Creek Campus,John Muir Medical Center - Walnut Creek Campus
305.facilityid,3.0000117E7,40000111
1374.facilityname,Lucile PackardC hildren's Hospital Stanford,Lucile Packard Children's Hospital Stanford
960.facilityid,9.30000012E8,930000912
491.county,Sqan Diego,San Diego
26.county,Los Anglees,Los Angeles
861.county,Stanislauxs,Stanislaus
1101.facilityid,7.0000139E7,630011959
868.county,LosA ngeles,Los Angeles
279.facilityid,1.20000409E8,60000016
840.facilityid,6.3001296E8,930000095
351.facilityid,9.30000005E8,930000191
122.facilityid,9.3000007E8,30000139
347.county,San Difego,San Diego
1202.facilityname,"Siouthwest Healthcare System, Wildomar","Southwest Healthcare System, Wildomar"
323.facilityid,6.0000074E7,220000019
1074.county,Alaemda,Alameda
1264.facilityid,9.30000004E8,30000151
849.facilityid,9.30000004E8,30000123
1133.facilityname,LomaL inda University Medical Center,Loma Linda University Medical Center
259.county,San Joaquni,San Joaquin
742.facilityname,Sutter Roseville Hospitla,Sutter Roseville Hospital
1410.facilityname,Cedars-Sinai MedicalC enter,Cedars-Sinai Medical Center
1068.county,Riversdide,Riverside
525.county,Lso Angeles,Los Angeles
1313.facilityid,9.30000082E8,30000127
674.facilityid,6.0000002E7,60000040
310.facilityid,9.30000004E8,250000049
233.facilityname,Barton Memorial Hospital,Southern California Hospital at Culver City
51.facilityid,1.40000012E8,230000013
804.county,San Dego,San Diego
576.facilityid,6.0000002E7,930000111
1487.county,an Diego,San Diego
1289.county,aLos Angeles,Los Angeles
626.county,vLos Angeles,Los Angeles
498.county,Oange,Orange
434.facilityname,Los Robles Hospital & MedicalCenter,Los Robles Hospital & Medical Center
1036.county,aMdera,Madera
834.facilityname,LAC/lOlive View UCLA Medical Center,LAC/Olive View UCLA Medical Center
756.facilityid,1.40000012E8,930000191
1491.county,Madear,Madera
229.facilityid,2.400001E8,110000056
1350.county,Orbange,Orange
1142.county,Stanvislaus,Stanislaus
1022.facilityid,9.30000008E8,140001268
1364.county,Orangke,Orange
467.facilityname,Presbyterian sIntercommunity Hospital,Presbyterian Intercommunity Hospital
1222.county,San Fracisco,San Francisco
301.facilityid,3.0000122E7,60000038
1489.facilityname,University of Caliornia Davis Medical Center,University of California Davis Medical Center
1312.county,Shasat,Shasta
1205.facilityid,9.30000005E8,110000067
1320.county,Santa Claar,Santa Clara
955.facilityid,6.0000074E7,930000032
1386.county,Snata Barbara,Santa Barbara
894.county,uTlare,Tulare
1027.facilityid,6.0000027E7,110000067
1109.facilityid,9.30000002E8,30000130
697.facilityid,4.0000122E7,60000073
107.facilityid,9.30000004E8,110000508
190.facilityid,9.30000005E8,110000041
199.facilityid,4.0000122E7,60000063
1464.county,Stan Diego,San Diego
821.county,Sadn Diego,San Diego
1065.facilityname,Community Hosptial of The Monterey Peninsula,Community Hospital of The Monterey Peninsula
1165.county,Los Angelkes,Los Angeles
197.facilityid,6.3001296E8,250000050
436.county,Mbadera,Madera
186.facilityid,9.30000012E8,930000081
676.facilityid,3.0000117E7,240000027
615.facilityname,Anahbeim Global Medical Center,Anaheim Global Medical Center
1440.county,Soan Francisco,San Francisco
44.facilityid,1.40000012E8,930001709
915.facilityid,9.30000005E8,40000129
867.county,Riveside,Riverside
535.facilityid,4.0000122E7,140000014
477.county,Riversidoe,Riverside
1281.facilityid,1.40000425E8,930001709
1414.county,Orafnge,Orange
169.county,Butte***,Butte
61.facilityid,2.400001E8,930000059
1408.facilityname,California Hosptial Medical Center - Los Angeles,California Hospital Medical Center - Los Angeles
1148.facilityname,Goleta Valley Cottage Hospital,Mercy San Juan Medical Center
393.facilityid,2.400001E8,930000062
963.county,erced,Merced
1400.county,Orane,Orange
1254.facilityid,9.30000002E8,60000060
1344.county,Ornage,Orange
1099.county,Los Angelse,Los Angeles
73.facilityid,6.0000002E7,140000034
546.facilityname,Enloe Medical Center - Espalnade,Enloe Medical Center - Esplanade
