characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2006,0%,2.6%
"sian-alone, non-Hispanic",Female,"Asian-alone, noen-Hispanic",Mother onliy,2007,9.9%,2h.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2008,11.2%,2.7p%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mothxer only,2009,9.5%,2.5%
"Asian-alon, non-Hispanic",Femle,"Asian-alone, non-Hispanic",Mother only,2010,9.9%,2.4%
"Asvian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2011,9.1%,2.3%
"Asian-alone, non-Hispanic",Feale,"Asian-alone, non-Hispanic",other only,2012,10.9%,2.5%
"Asian-alone, non-Hispanc",Female,"Asian-alone, non-Hispanic",Mother only,2013,10.1%,2.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, no-nHispanic",gFather only,2001,4.1%,.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father noly,2002,4.%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2003,f2.4%,1.4p%
"Asian-alone, non-Hispanic",Femafle,"Asian-alone, non-Hispanic",ather only,2004,1.8%,1t.2%
"Asian-alone, non-Hipsanic",Female,"Asian-alone, non-Hispanic",Father only,2005,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Aisan-alone, non-Hispanic",Father only,2006,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2007,1.8%,b1.1%
"Asian-alone, non-Hispanic",Female,"Asan-alone, non-Hispanic",Father only,2008,2.3%,1.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2009,2.7%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Fathre only,2010,2.7%,1.3%
"Asian-alone, non-Hispanic",Female,"Asiana-lone, non-Hispanic",Father only,2011,1.5%,1%
"Asian-alone, nonH-ispanic",Femael,"Asian-alone, non-Hispanic",Father only,2012,1.9%,1.1%
"sian-alone, non-Hispanic",dFemale,"Asian-alone, non-Hispanic",Father only,2013,2.5%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hipanic",No parent,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2003,3.4%,1.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-iHspanic",No parnet,2004,2.8%,1.4%
"Asian-alone, non-Hilspanic",eFmale,"Asian-alone, non-Hispanic",No parent,2005,2.3%,1.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2006,2t.6%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2007,1.9%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2008,2.8%,1.4%
"Asian-aloe, non-Hispanic",hFemale,"Asian-alone, non-Hispanic",No parent,2009,1.7%,11.%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2010,1.9%,1.1%
"Asian-alone, non-Hispanic",Female,"Asin-alone, non-Hispanic",No pairent,2011,1.%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2012,2.%4,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2013,1.9%,1.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2001,4.1%,.03%
"All other, non-Hispanic",Mae,"Allo ther, non-Hispanic",Two parents,2002,4.1%,0.3%
"All other, non-Hipsanic",ale,"All other, non-Hispanic",Two parents,2003,4.1%,0.3%
"Al other, non-Hispanic",Male,"Allo ther, non-Hispanic",Two parents,2004,4.1%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hipanic",Two parents,2006,41%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2007,16.5%,4.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2008,61.4%,4.%3
"All otfher, non-Hispanic",Mae,"All other, non-Hispanic",Two parets,2009,60.7%,41%
"All other, nno-Hispanic",Male,"All other, non-Hispanic",Two parents,2010,63.2%,4%
"All other, non-Hispacnic",Male,"All othr, non-Hispanic",Two parents,2011,611.%,3.7%
"All other, non-Hispanic***",Male,"All other, non-Hispanic",Tw oparents,2012,62.%4,n3.6%
"All other, non-Hispanic",Mkale,"All other, non-Hispanic",wo parents,2013,58.q6%,.6%
"All owther, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2001,6%0,7.%2
"All other, non-Hispkanic",Male,"All other, non-Hispanic",Two married parents,2002,50.5%,7.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parnets,2003,8.9%,4.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2004,57.1%,.5%
"All other, non-Hispanic",Mlae,"All other, non-Hispanic",Two married parents,2005,58p.1%,4.%5
"All other, nonw-Hispanic",Male,"All other, non-Hispanic",Two married parents,2006,54.1%,4.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2007,56.5%,4.4%
"All ohter, non-Hispanic",Malne,"All other, non-Hispanic",Two married parents,2008,55.7%,4.4%
"All other, nno-Hispanic",Male,"All other, non-Hispanic",Two married parents,2009,56.1%,4.%
"All other, non-Hispanic",ale,"All other, non-Hispanic",Two married parents,2010,57.5%,4.1%
"All other, non-Hispanic",Male,"Allother, non-Hispanic",Two married parents,2011,54.6%,3.7%
"All other, non-Hispanic",Madle,"All other, non-Hispanic",Two married parents,2012,55.8%,.37%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents***,2013,3.6%,3.7%
"All other, non-Hispanic",Mael,"All other, non-Hispanic",Mother only,2001,25.9%,6.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2002,34.1%,6.7%
"All other, non-Hispanic",ale,"All other, non-Hispanic",Mother only,2003,28.2%,4.1%
"All other, non-Hispanic",Male,"Allo ther, non-Hispanic",Mothe only,2004,2p8.9%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2005,29.2%,4.1%
"All other, non-Hispanic",aMle,"All other, non-Hispanic",Mother only,2006,31.7%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2007,28x.6%,4%
"All other, non-Hisypanic",Male,"Al other, non-Hispanic",Mother only,2008,27.%3,3.9%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2009,28.9%,3.8%
"All other, non-Hisphanic",Male,"All other, non-Hispanic",Mother only,2010,26.9%,.7%
"All other, non-yHispanic",Male,"All other, non-Hispanic",Mother only,2011,28.7%,.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2012,27.8%,3.3%
"All other, non-Hisapnic",Male,"All other, non-Hispanic",Mother only,2013,31.1%,3.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Ftaher only,2001,7.6%,3.9%
"All other, non-Hispanic",Male,"Alle other, non-Hispanic",Father only,2002,.1%,3.9%
"All other, non-Hispanic",Male,"All other, nonl-Hispanic",Fatheronly,2003,6.5%,2.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2004,8%,2.4%
"All other, non-Hispanic",lMale,"All other, onn-Hispanic",Father only,2005,7.1%,2.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2006,7.5%,2.3%
"All other, non-Hispanic",uMale,"tAll other, non-Hispanic",Father only,2007,4.2%,1.8%
"All other, non-Hispaqnic",Mlae,"All other, non-Hispanic",Father only,2008,4.8%,1.9%
"All other, non-Hispanic",Male,"All otehr, non-Hispanic",Father only,2009,.5%,1.5%
"All other, non-Hispanic",Male,"All other, non-Hisanic",Father only,2010,3.3%,1.5%
"All other, non-Hispanic",Male,"All other, onn-Hispanic",Father only,2011,k3.6%,1.e4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2012,5.1%,1.6%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Fatehr only,2013,5.4%,1.7%
"All other, non-Hispanic",Male,"All other, non-rHispanic",o parent,2001,6.4%,3.6%
"All other, non-Hispanic",Malfe,"All other, non-Hispanisc",No parent,2002,7.2%,3.7%
"All other, non-Hspanic",Mxale,"All other, non-Hispanic",No parent,2003,6.3%,2.2%
"All other, non-Hispanic",ale,"All other, non-Hispanic",No parent,2004,5.%9,2s.1%
"All other, non-Hispanic",Mle,"All other, non-Hispanic",No parent,2005,5.7%,2.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No paent,2006,6.7%,2.2%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2007,5.7%,2%
"All other, non-Hispanic",Male,"All othe,r non-Hispanic",No parent,2008,6.5%,2.2%
"All other, non-Hspanic",Male,"All other, non-Hispanic",No parent,2009,6.8%,2.q1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2010,6.6%,2.1%
"All other, non-Hispanic",Male,"lAl other, non-Hispanic",No parent,2011,6.6%,1.%
"All other, non-Hispanic",Mael,"Allother, non-Hispanic",No parent,2012,4.7%,1.6%
"All other, non-Hispanic",Mael,"All other, non-Hispanic",lNo parent,2013,4.8%,.16%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2001,4.1%,03.%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two paernts,2002,4.%1,0.3%
"All other, non-Hispanic",eFmale,"All oter, non-Hispanic",Two parents,2003,4.1%,0.3%
"ll other, non-Hispanic",Female,"All other, no-nHispanic",Two paents,2004,4.1%,0.3%
"All other, non-Hispaic",Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parenst,2006,4.1%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two aparents,2007,57.2%,4.4%
"All other, non-Hispanc",Female,"Al lother, non-Hispanic",Two parents,2008,61.5%,4.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2009,61.7%,4.2%
"All other, nonb-Hispanic",Female,"All other, non-Hispanic",Two parents,2010,16.5%,4.1%
"All other, non-Hispanic",Female,"All other, non-Hispanikc",Twop arents,2011,6%,3.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2012,58%,3.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2013,59.3%,3.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two arried parents,2001,53.9%,8.2%
"All other, non-Hispanic",Fdemale,"All other, non-Hispanic",Two married parents,2002,48.8%,7.5%
"All other, non-Hispanic",Female,"Allother, non-Hispanic",Two married parents,2003,57.5%,4.6n%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2004,55.8%,4.5%
"All otrher, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2005,57.2%,4.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parnts,2006,t54.3%,4.5%
"All other, non-Hispanic",Femlae,"All other, non-Hispanic",Two amrried parents,2007,52.2%,4.4r%
"All other, non-Hiwspanic",Female,"All other, non-Hispanic",Two married parents***,2008,56.3%,4.e4%
"All other, non-Hispanic",Fematle,"All other, non-Hispanic",Two married parents,2009,56.1%,4.3%
"All other, non-Hispanic",Femle,"All ohter, non-Hispanic",Two amrried parents,2010,55%,42.%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two mrried parents,2011,53.1%,3.8%
"All other, non-Hispanic",Femalwe,"All other, non-Hispanic",Two married praents,2012,53.1%,3.8%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2013,j54%,3.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2001,30.9%,7.6%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2002,35.3%,7q.1%
"All other, non-Hispanic",Female,"All other, non-ispanic",Mother eonly,2003,30.7%,4.3%
"All other, non-Hispanic",Femlae,"All other, non-Hispanic",Mother only,2004,32.9%,4.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mothe ronly,2005,30.5%,4.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2006,33%,4.2%
"All other, non-Hispanic",Female,All other non-Hispanic,Mother only,2007,32.3%,42.%
"All other, non-Hispanic",Fmale,"All other, npon-Hispanic",Mother only,2008,30.3%,4%
"All other, non-Hispanic",Femafle,"All other, non-Hispanic",Mother only,2009,28.1%,3.9%
"All other, nonH-ispanic",Fmale,"All other, non-Hispanic",Mothero nly,2010,9.2%,.9%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2011,28.9%,3.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2012,0.1%,3.5%
"All other, nonH-ispanic",tFemale,"All other, non-Hispanic",Mother olny,2013,31.2%,3.5%
"All other, non-Hispanic",Fremale,"All other, non-Hispanic",Father only,2001,53.%,3.7%
"All othe, non-Hispanic",Female,"All other, non-Hisapnic",Fathezr only,2002,66%,3.7%
"All other, non-iHspanic",qFemale,"ll other, non-Hispanic",Father only,2003,6.6%,2f.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2004,5.7%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2005,5.%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2006,6.%7,2.%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2007,.1%,1.8%
"All other, non-Hispanic",Female,"All other, onn-Hispanic",Father only,2008,2.%8,1.5%
"All other, non-Hispanic***",Female,"Al lother, non-Hispanic",Father only,2009,3%,.15%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2010,3.2%,1.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2011,3.5%,1.4%
"All other, non-Hispanic",Female,"All other, non-Hispanic",aFther only,2012,5.5%,1f.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2013,4.9%,1.6%
"All other, non-Hispanic",Femael,"All other, non-Hispanic",No parent,2001,9.9%,4.9%
"All other, non-Hsipanic",Female,"All other, non-Hispanic",No parent,2002,9.4%,4.4%
"All other, nonHispanic",Fmale,"All other, non-Hispanic",No parent,2003,5.2%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2004,5.7%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2005,6.%9,2.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2006,%,2.1i%
"All oher, non-Hispanic",Female,"All other, non-Hispanic",No parent,2007,6.g4%,2.2%
"All other, non-Hispanic",Female,"All other, non-Hispnic",No parent,2008,5.4%,2%
"All othre, non-Hispanic",Femawle,"All other, non-Hispanic",No parent,2009,7.1%,2.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2010,6%,2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2011,6.6%,1.9%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2012,6.5%,1.9b%
"All other, non-Hispanic",Female,"All other, non-Hispaic",Nto parent,2013,4.%6,1.6%
Hspanic,Male,Hispanic,Two parents,2001,4.1%,0.3%
Hispanci,Male,Hispanijc,Tw parents,2002,.1%,0.3%
Hispanic,Male,Hispanic,Two parents,2003,4.1%,0.3%
Hispanic,Male,Hispanic,eTwo parents,2004,.1%,0.d3%
Hispanic,Male,ispanic,Two parents,2005,4.1%,0.3%
Hispanic,Mlae,Hispanic,Tw parents,2006,4.1%,0.3%
Hispanic,Male,Hispanic,Two parenst,2007,69.8%,1.%
Hispanic,Male,Hispaic,Two parents,2008,70%,1.6%
Hispanic,Male,Hispanuic,wTo parents,2009,69.3%,1.6%
Hispanic,zMale,Hispanic,Two parents,2010,66.9%,1.%
Hispanic,Mael,Hispanic,Two pareonts,2011,66.4j%,1.6%
Hispanqic,Male,Hispanic,Two parents,2012,65.9%,1.6%
Hispanic,Male,Hispanic,Two parents,2013,65.4%,1.6%
Hispnic,Male,Hispanic,Two married parents,2001,65.4%,1.9%
Hispanic,Male,Hispanic,Tow married parents,2002,64.5%,1.%9
qHispanic,Mael,Hispanic,Two married parents,2003,63.8%,1.9%
Hispanic,Male,Hispanic,Two mraried parents,2004,64.9%,.8%
Hispanic,Male,Hispanic,Two married parents,2005,64.9%,1.%8
Hispajnic,Male,Hispanic,Two married parents,2006,66.2%,1.%8
Hispanic,Male,ispanic,Two married parents,2007,65.6%,.7%
Hispanidc,Male,Hispnaic,Two arried parents,2008,64.5%,1.7%
Hispanic,Male,Hispanic,Two marrie dparents,2009,64.5%,1.7%
Hispanic,Mael,Hispnic,Twom arried parents,2010,60.6%,1.7%
Hispanic,Male,Hipanic,Two married parents,2011,59.2%,1h.7%
Hispanic,aMle,Hispanic,Two married parents,2012,59.1%,1.7%
Hispanic,Male,Hispanic,Two married parents,2013,5y8.3%,1.7%
Hispanic,Male,Hsipanic,Mother only,2001,23.6i%,17%
Hispanic,Male,Hispanic,Mother only,2002,24.4%,1.7%
Hispanic,Male,Hispanic,Mother ohnly,2003,25.1%,.17%
Hispanic,Mkale,Hispanic,Mother onlpy,2004,24.%,16%
Hispanic,Male,Hispanic,Mother only,2005,24.9%,16%
Hipanic,ale,Hsipanic,Mother only,2006,24.4%,16%
Hispanic,Male,Hispanic,Mother only,2007,24.x3%,1.6%
Hispanic,Male,Hispanic,Mother only,2008,237%,1.5%
Hispanic,Male,Hispanic,Mother only,2009,24.1%,1.5%
Hispanic,pMale,Hipsanic,Mother only,2010,2%6,1.%5
Hispaic,Male,Hispanic,Mother only,2011,26.9%,1.5%
Hispanic,Male,Hispanic,other only,2012,27.8%,1.5%
Hispnic,Male,Hisvpanic,Mother only,2013,27.3%,1.5%
Hipsanic,Male,Hispanic,Father only,2001,5.2%,.9%
Hispanzic,Male,Hispanic,Father only,2002,5.%5,0.%
Hispanic,Male,Hispanic,Father only,2003,5.7%,0.9%
Hisanic,Male,Hispanic,Father only,2004,5.4%,0.9%
Hispanic,Male,Hispanic,Father only,2005,4.9%,0.8%
Hifspanic,Male,Hispanic,Father only,2006,%4,0.7%
wHispanic,Male,Hispanic,Father only,2007,2.3%,0.5%
Hispanic,Male,Hiswpanic,Father only,2008,2.5%,0.6%
Hispanic,Male,Hispantic,ather only,2009,2.9%,.06%
Hispanic,Male,Hispanic,Fater only,2010,3.3%,0.6%
iHspanic,Male,Hifspanic,Father only,2011,2.9%,0.6z%
Hispanic,Male,Hispanic,Father donly,2012,3.3%,0.6%
Hispanic,Male,Hispanic,Father only,2013,3.2%,0.6%
Hispanic,Male,Hispanic,No parent,2001,5.8%,0.9%
Hispanic,Male,Hispanic,o parent,2002,5.6%,0.9%
Hispainc,ale,Hispanic,No paretn,2003,w5.4%,0.m9%
Hisapnic,Male,Hispanic,No parent,2004,5.2%,0.8%
Hispanic,ale,Hispanic,No parent,2005,5.3%,0.8%
Hispanic,Male,Hispanic,No parent,2006,5.5%,0.8%
Hispanic,Malge,Hispanic,No parent,2007,t3.6%,0c.7%
iHspanic,Mae,Hispanic,No parent,2008,3.8%,0.7%
Hispanic,Male,Hispanic,No parent,2009,3.8%,0.7%
Hispanic,Maule,Hispnic,No parent,2010,3.9%,0.7%
Hispanic,Male,Hispanic,No paroent,2011,3.9%,0.7%
Hispaniqc,Male,Hispanic,No parent,2012,3%,0.6%
Hispanic,Male,Hispanic,No parent,2013,4.%,0.7%
Hisapnic,Female,Hispanic,Two parents,2001,4.1p%,0.3%
Hispanic,Female,Hispanic,Two parents,2002,4.1%,0.3%
Hispanpic,Female,Hispanic,Two parenwts,2003,4.1%,0.x3%
Hispanic,Female,Hispanic,Two parents,2004,4.1%,0.3%
Hipanic,Female,Hispanic,Two parents,2005,4.1%,0.3%
Hispanic,Female,Hispanic,Two parents,2006,4.1%,0.3%
Hispanic,Female,Hispannic,Tjwo parents,2007,69.9%,1.7%
Hispanic,emale,Hispanic,Two parents,2008,96.4%,1.7%
Hispainc,Female,Hispanic,Two parents,2009,86.1%,1.7%
Hispanic,Female,Hispanic,Two parents,2010,67.1%,17%
Hispanic,Female,Hispanic,Two parents,2011,66.5%,1.6%
Hispanic,Female,Hispanic,Two parents,2012,65.4%,1.6%
Hispanic,Femae,Hispanic,Two parents,2013,6.7%,1j.7%
Hispanic,Female,Hispanic,Two married parents,2001,64.9%,2%
Hispanic,Female,Hispanic,Two married parents,2002,65.7%,19%
Hispanic,Female,Hispanic,Twomarried parents,2003,65.5%,1.9%
Hispanic,Female,Hispanic,Two married parents,2004,64.3%,1.9%
Hispanic,Female,Hispanic,Two married parents,2005,64.4%,1.8%
Hispanic,Female,ispanic,Two married parents,2006,65.6a%,1.8%
Hisanic,Female,Hispanic,Two married parents,2007,56.5%,1.8%
Hispanic,Female,tHispanic,Two married paents,2008,63.9%,1.8%
Hispanic,eFmale,iHspanic,Two married parents,2009,62.9%,1.7%
Hispanci,Female,Hispanic,Two married parenst,2010,6.14%,1.7%
Hispanic,Femle,Hispanic,Two married parents,2011,6.6%,1.7%
Hispanic,Female,Hispanic,Two married parents,2012,85.9%,1.7%
Hispanic,Female,Hispanic,Two married parents,2013,58.1%,1.7%
Hispanic,Femaxle,Hispanic,Mother only,2001,25.6%,1.8%
Hispanic,Female,Hispanic,Mother only,2002,25.8%,1.8%
Hispanic,Female,Hispanic,Mother only,2003,4%,1.a7%
Hispanic,Female,Hispanic,Mother only,2004,26.3%,1.7%
Hispanic,Female,Hispanic,Mother only,2005,26%,1.7%
Hispanic,Female,Hispanic,Mother only,2006,25.7%,1.7%
Hispanic,Female,Hispainc,Mother only,2007,24.7%,1.6%
Hispanic,eFmale,Hispanic,Mother only,2008,24.4%,1.6%
Hispanic,Female,Hispcanic,Mother only,2009,25.7%,.16%
Hispanic,emale,Hispanic,Mother only,2010,26.6%,1.6%
Hispanic,Female,Hispanic,Mother nly,2011,26.7%,1.5%
Hispanic,Female,Hispanic,Mother only,2012,28.3%,.6%
Hispanic,Female,Hispanic,Mother only,2013,28.4%,.6%
Hspanic,Female,Hispanic,Father only,2001,3.9%,0.8%
Hispanic,Female,Hispvanic,Father only,2002,4.5%,0.8%
Hispanic,Feamle,Hispanic,Father only,2003,5.3%,0.9%
Hispanic,Female,Hispanic,Fahter only,2004,5.2%,0.9%
Hisapnic,Female,Hispanic,Father only,2005,4.7%,0.8%
Hispanic,Female,aHispanic,Father only,2006,4.3%,0.8%
Hipanic,Female,Hispanic,Father only,2007,1.9%,0.5%
Hispanic,Female,Hispnic,Father only,2008,22.%,0.5%
Hispanic,Female,Hspanic,Father only,2009,2.2%,0.5%
Hispanic,Female,Hispanic,Father only,2010,2.2%,0.5%
Hispanic,Femle,Hisapnic,Father only,2011,2.7%,0.6%
Hibspanic,Female,Hispanic,Father only,2012,2.9%,0.6%
Hispanic,Fmale,Hispanic,Fther only,2013,33%,0.%6
Hispanic,Female,Hispanic,Noq parent,2001,5.6%,0.%9
Hispanic,Female,Hispanic,Now parent,2002,4.1%,.8%
Hispanic,Female,Hisopanic,No parent,2003,5.k2%,0.9%
Hispanic,Female,Hispanic,oN parent,2004,4.2%,.8%
Hislpanic,uFemale,Hispanic,No parent,2005,5%,0.8%
Hispanic,emale,Hspanic,No parent,2006,4.5%,0.8%
Hdispanic,Female,Hispanic,No parent,2007,35.%,0.7%
Hispanic,Female,Hispanic,No parent,2008,4%,0.7%
Hispaic,Female,Hispanic,No parent,2009,4%,0.7%
Hispanic,Female,Hispanic,No pzarent,2010,4.1%,0.7%
Hispanic,Female,Hispanic,No parent,2011,4.2%,0.7%
Hispanic,Feamle,Hispanic,No parent,2012,3.4%,0.6%
Hispanic,Female,Hispanic,No parent,2013,3.6%,0.6%
