4721.zip,744471217,74447-1217
6005.csa,48,548
2593.sldl,36404,36044
3427.nmcnty,Ruherford County,Rutherford County
4270.csa,3i80,380
600.locale,11***,11
6280.sldl,3q4006,34006
6311.street,7891 Pine Boulevard,7891 Pines Boulevard
6320.cbsa,8060,38060
1771.cnty,i26047,26047
5040.csa,***,N
1450.csa,***,N
918.csa,49q6,496
476.statevalue,AC,CA
6664.cnty,6061,36061
2210.nmcnty,Monrris County,Morris County
505.stfip,6,06
3714.namevalue,Danvile Community College,Danville Community College
2266.cd,303,3503
2546.cd,6324,3624
2936.cbsa,4c9660,49660
5601.cbsa,2d9820,29820
5730.city,Burbnak,Burbank
6684.nmcbsa,"Rockfod, IL","Rockford, IL"
5833.street,"410 E Bell Road, Suite G100***","410 E Bell Road, Suite G100"
1060.statevalue,L,IL
3160.nmcnty,Lackqawanna County,Lackawanna County
5504.stfip,81,18
1378.schoolyear,2021d-2022,2021-2022
103.cd,0047,0407
6030.zip,2037-1005,92037-1005
6654.cnty,30935,39035
5923.locale,1y2,12
2159.sldu,3t3015,33015
6556.cbsa,1820,13820
2288.schoolyear,021-2022,2021-2022
715.nmnecta,xN,N
1686.city,eBrrien Springs,Berrien Springs
4885.namevalue,Northeaster Seminary,Northeastern Seminary
4145.namevalue,Cloyd's Beauty Scghool 3 Inc,Cloyd's Beauty School 3 Inc
4999.city,Colorado Sprins,Colorado Springs
1355.locale,1v3,13
1620.necta,7150,71650
1761.statevalue,I,MI
6614.locale,y41,41
2211.sldu,34053,34035
579.nmcnty,Larimexr County,Larimer County
1242.cd,194,1904
5252.schoolyear,2021-202e2,2021-2022
1427.necta,***,N
2149.street,6201 Enterprise Rd,2601 Enterprise Rd
287.zip,9111-6400,91711-6400
5296.zip,441j36,44136
2088.csa,,N
6163.stfip,9,49
802.cnty,12110,12101
5681.nmcbsa,"Washington-Arlingtoen-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV"
3669.nmcsa,,N
666.locale,12,21
532.stfip,0n6,06
6220.nmcsa,"TylerJ-acksonville, TX","Tyler-Jacksonville, TX"
1714.sldl,2608,26098
1065.cnty,7187,17187
1618.csa,18,148
68.nmcbsa,bN,N
3839.street,6000 16th Avoe SW,6000 16th Ave SW
3268.locale,2,22
5001.nmcnty,Hidalgo Couny,Hidalgo County
561.nmcnty,Stnaislaus County,Stanislaus County
445.stfip,60,06
353.street,1 Harpslt Street,1 Harpst Street
1829.nmcsa,"Mankato-New Ulm, MpN","Mankato-New Ulm, MN"
2044.street,01 College Ave,101 College Ave
210.necta,,N
3103.sldu,4k2015,42015
6538.sldl,10509,15009
6555.nmcnty,Lo sAngeles County,Los Angeles County
2165.sldu,3019,23019
517.cd,0063,0603
1029.statevalue,L,IL
5852.nmnecta,rN,N
788.cnty,12101,12011
6292.necta,qN,N
6713.nmcsa,"Houson-The Woodlands, TX","Houston-The Woodlands, TX"
6234.sldl,39037,39073
4876.nmcnty,Eri County,Erie County
1444.cd,203,2203
4680.stfip,8,48
4709.locale,2,12
6293.nmcsa,"Dertoit-Warren-Ann Arbor, MI","Detroit-Warren-Ann Arbor, MI"
5243.nmnecta,vN,N
442.cbsa,4170,41740
3454.statevalue,pTN,TN
600.sldu,08r010,08010
6417.locale,2,12
3263.sldl,4159,42159
3848.statevalue,WsA,WA
3151.cnty,4201,42101
34.schoolyear,2012-2022,2021-2022
4611.cd,368,3618
4550.city,Tekwsbury,Tewksbury
4534.sldl,40206,42006
1181.locale,1,41
1774.nmnecta,,N
6511.nmcsa,"Chicago-Napervile, IL-IN-WI","Chicago-Naperville, IL-IN-WI"
649.stfip,9,09
5550.namevalue,Paulh Mitchell the School-Normal,Paul Mitchell the School-Normal
6589.schoolyear,2021t-2022,2021-2022
2986.csa,s538,538
523.statevalue,AC,CA
2792.stfip,9,39
5533.nmcsa,"New York-Newark ,NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
1608.cbsa,4460,14460
421.city,zSan Jacinto,San Jacinto
833.nmcbsa,"Tampa-St. Petersburgf-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL"
4071.cbsa,41908,41980
5080.city,Huntingtson,Huntington
1735.sldl,2603x4,26034
122.nmcbsa,"Phoenix-Mesa-Chndler, AZ","Phoenix-Mesa-Chandler, AZ"
6690.cd,005,0805
4756.necta,nN,N
4716.nmcbsa,"Richmon,d VA","Richmond, VA"
4495.locale,11***,11
1138.csa,58,258
6665.cd,4802,4820
5946.cnty,08095,08059
1525.nmcbsa,aN,N
4370.statevalue,jTX,TX
519.cbsa,31j080,31080
5009.sldu,0602,06022
5012.sldl,44016***,44016
4680.nmcnty,Bxar County,Bexar County
1902.namevalue,Chris Beauty Ckollege,Chris Beauty College
1418.statevalue,A,LA
2599.necta,mN,N
4136.statevalue,I,MI
1430.nmcnty,East Baton Roge Parish,East Baton Rouge Parish
3184.namevalue,Pennsylvania Sttae System of Higher Education-Central Office,Pennsylvania State System of Higher Education-Central Office
4301.cnty,m06037,06037
5881.street,8484 Wilshre Blvd Suite #730,8484 Wilshire Blvd Suite #730
6447.cd,1037,1307
4855.csa,34q8,348
1347.sldl,20059,20095
3950.nmnecta,tN,N
3943.statevalue,IW,WI
2371.schoolyear,2021b-2022,2021-2022
105.street,1x08 N. 40th Street,108 N. 40th Street
4397.sldu,40817,48017
4647.schoolyear,221-2022,2021-2022
2373.stfip,6,36
4346.zip,14210-0207,14210-2007
1152.sldl,21033***,21033
568.nmcbsa,"Denver-Aurora-Lackewood, CO","Denver-Aurora-Lakewood, CO"
6416.nmcsa,"San JuanB-ayamón, PR","San Juan-Bayamón, PR"
5533.necta,757l00,75700
5739.sldl,33157,33517
5625.sldu,4501u9,45019
343.zip,9p2647-2710,92647-2710
5653.necta,eN,N
4300.nmcbsa,"Cumbeqrland, MD-WV","Cumberland, MD-WV"
48.nmnecta,yN,N
5159.sldu,4013,48013
2541.city,Morrisille,Morrisville
6025.cnty,060n13,06013
1254.statevalue,AI,IA
5047.cbsa,44700***,44700
3845.statevalue,AW,WA
6745.street,76 Unviersity Drive,76 University Drive
663.cnty,2513,25013
4923.schoolyear,20212-022,2021-2022
5638.nmcsa,"Miami-Port St. Lucie-Fort Laudderdale, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
2348.nmcbsa,"Bufflao-Cheektowaga, NY","Buffalo-Cheektowaga, NY"
2299.cnty,36010,36001
3939.nmnecta,,N
5803.street,4021 S 700n E Ste 400,4021 S 700 E Ste 400
1353.schoolyear,202e1-2022,2021-2022
5173.stfip,d06,06
2617.nmcnty,Rowan Cqounty,Rowan County
208.namevalue,Associated Technical College-Los Angeles***,Associated Technical College-Los Angeles
504.cbsa,31800,31080
3093.nmcnty,Erie Couunty,Erie County
4707.statevalue,ZA,AZ
397.zip,93j710,93710
4956.namevalue,Pima MedicalInstitute-Colorado Springs,Pima Medical Institute-Colorado Springs
2019.nmnecta,***,N
3244.street,1940 Perrlysville Avenue,1940 Perrysville Avenue
2043.city,Coulmbia,Columbia
2925.cd,916,3916
628.nmnecta,"Norwich-New London-Westeryly, CT-RI","Norwich-New London-Westerly, CT-RI"
2363.namevalue,Continental School of Beauty uClture-Rochester,Continental School of Beauty Culture-Rochester
5703.cd,j4816,4816
1767.cbsa,tN,N
2024.nmcbsa,"tJefferson City, MO","Jefferson City, MO"
4020.cd,298,7298
5498.statevalue,CN,NC
988.nmcsa,"Chicago-Naperville,l IL-IN-WI","Chicago-Naperville, IL-IN-WI"
558.city,Berkeey,Berkeley
3465.nmcbsa,"Nahsville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN"
2669.cnty,3712e7,37127
128.stfip,50,05
572.schoolyear,221-2022,2021-2022
856.nmcsa,"Atlant--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
1992.sldu,92030,29030
3613.necta,,N
4520.stfip,9,39
3508.sldu,4801,48001
2585.nmcnty,Richmond Counyt,Richmond County
2145.statevalue,V,NV
1625.street,50 Oaklad St,50 Oakland St
1313.nmcsa,,N
6741.cbsa,1500,21500
6058.necta,,N
2852.statevalue,H,OH
2355.cbsa,3562e0,35620
5577.nmcsa,"Toledo-FindlayTiffin, OH","Toledo-Findlay-Tiffin, OH"
6400.namevalue,Wongu University of Oriental xMedicine,Wongu University of Oriental Medicine
6650.statevalue,N,IN
4181.locale,34,43
5013.cnty,47e065,47065
3438.nmcnty,Lauderdale Counyt,Lauderdale County
4195.statevalue,xMI,MI
6435.namevalue,Virginia University of Integrative Medciine,Virginia University of Integrative Medicine
164.cbsa,2220,22220
2521.zip,107f08,10708
2865.sldl,3975,39075
1471.nmcnty,Caddco Parish,Caddo Parish
3221.sldu,4239,42039
6042.cd,603,0603
3769.csa,458,548
2289.locale,2r1,21
2367.statevalue,YN,NY
2625.sldu,3729,37029
1173.nmcsa,"Fort Wayne-Huntigton-Auburn, IN","Fort Wayne-Huntington-Auburn, IN"
52.sldu,0d1015,01015
2801.locale,23,32
3779.schoolyear,2021-2202,2021-2022
1034.statevalue,L,IL
5594.namevalue,Northwest School of Wooden Boat Buiding,Northwest School of Wooden Boat Building
5957.nmcnty,rie County,Erie County
1346.street,1845 N.Fairmount,1845 N. Fairmount
5517.nmnecta,***,N
2904.sldu,39005***,39005
4914.namevalue,Texas Barber College - Branc hCampus #1,Texas Barber College - Branch Campus #1
3822.namevalue,Highlizne College,Highline College
1741.cbsa,42340,24340
469.nmcbsa,"Los Angles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA"
4199.city,Sarn Diego,San Diego
5971.cnty,2667,26067
4775.schoolyear,2021-202,2021-2022
1382.stfip,1,21
6343.nmcbsa,"Nashvile-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN"
174.nmnecta,,N
4409.stfip,m48,48
634.stfip,g09,09
251.zip,95221,92521
3791.schoolyear,2021-s2022,2021-2022
2580.sldu,36093,36039
1684.street,614 W Supaerior,614 W Superior
5131.cd,0672,0627
3421.nmcsa,gN,N
554.cnty,00683,06083
856.sldl,13r075,13075
4852.schoolyear,2021-202l2,2021-2022
2301.nmcsa,tN,N
6491.locale,12,21
5140.stfip,3f6,36
5403.cnty,0665,06065
6087.cbsa,3830,38300
1361.sldl,20119,21019
5672.zip,49592,94592
4210.statevalue,A,MA
1120.statevalue,xIL,IL
6819.nmcbsa,"Knxoville, TN","Knoxville, TN"
194.cnty,05y131,05131
5744.sldl,1p5006,15006
5332.namevalue,rend Setters School,Trend Setters School
6367.city,Nwe York,New York
2265.sldl,53018,35018
6354.stfip,74,47
3762.necta,wN,N
5497.namevalue,MediaTech Institute-Huston,MediaTech Institute-Houston
351.cbsa,4160,41860
1798.nmcsa,"Detroit-Warren-Ann Arbo, MI","Detroit-Warren-Ann Arbor, MI"
2993.cnty,41050,41005
4150.stfip,7,47
4594.street,z3804 W Douglas,3804 W Douglas
4882.necta,***,N
4483.nmcsa,"Pohenix-Mesa, AZ","Phoenix-Mesa, AZ"
4880.nmnecta,tN,N
1122.cd,1781,1718
3831.locale,12,21
3362.necta,lN,N
3359.nmcbsa,"Aberdeesn, SD","Aberdeen, SD"
5523.cd,302,3202
992.nmnecta,nN,N
2105.csa,,N
1064.nmnecta,***,N
103.cbsa,38006,38060
2727.statevalue,DN,ND
5680.nmcnty,Cameorn County,Cameron County
5324.zip,52025,52205
2015.cbsa,21840,28140
1948.nmcsa,"Kansask City-Overland Park-Kansas City, MO-KS","Kansas City-Overland Park-Kansas City, MO-KS"
935.nmcbsa,"Urban Honoulu, HI","Urban Honolulu, HI"
2643.nmnecta,,N
900.schoolyear,2021-2a022,2021-2022
4934.cbsa,3o5620,35620
3011.csa,4s40,440
2966.schoolyear,20212022,2021-2022
5712.schoolyear,2021-0222,2021-2022
3373.nmnecta,,N
1027.city,East Poria,East Peoria
3502.cnty,48y113,48113
2310.nmcnty,Kings oCunty,Kings County
3531.necta,***,N
3147.sldl,421u87,42187
6827.cnty,4891,48491
549.schoolyear,2021-202,2021-2022
4811.cd,2210,2201
6377.city,Airlway Heights,Airway Heights
6002.statevalue,AG,GA
5462.namevalue,FortisCollege-Dothan,Fortis College-Dothan
4078.stfip,7f2,72
798.city,Niecville,Niceville
864.namevalue,Atlanta Metropolsitan State College,Atlanta Metropolitan State College
5461.cnty,0059,06059
2797.stfip,93,39
4060.nmcsa,nN,N
4617.zip,17117,11717
5316.statevalue,DiE,DE
537.namevalue,Concorde Career College-San Bwernardino,Concorde Career College-San Bernardino
3852.cd,5035,5305
2988.street,502T exas Ave,502 Texas Ave
650.street,200 John Downeyl Dr,200 John Downey Dr
6015.statevalue,N,TN
478.cnty,0l6073,06073
6285.nmcsa,"PhoenixMesa, AZ","Phoenix-Mesa, AZ"
1212.cd,1910,1901
3575.sldl,4800s3,48003
6409.sldl,55078***,55078
5669.sldl,53092,53029
5075.schoolyear,2201-2022,2021-2022
1376.cnty,2111,21111
76.statevalue,bAZ,AZ
2444.nmnecta,***,N
685.nmnecta,rN,N
5485.necta,,N
3556.nmnecta,yN,N
5716.nmcnty,Ada Couny,Ada County
1933.sldu,28043,28034
4400.statevalue,MwN,MN
2178.cd,3032,3302
2740.nmcnty,SiouxC ounty,Sioux County
3523.sldu,40803,48003
5883.zip,78560-4081,78560-4018
468.cnty,0065,06065
3554.sldl,f48082,48082
2152.nmcnty,Hillborough County,Hillsborough County
3676.cbsa,36206,36260
2577.nmcbsa,"New York-Newark-Jesey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
6602.csa,386,368
5342.zip,5069,45069
6031.locale,2a2,22
1966.sldl,4d8099,48099
3957.locale,1v2,12
4999.csa,,N
4896.stfip,3,13
6192.locale,y13,13
5663.nmcbsa,"Ndew York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
2901.zip,45t674,45674
6790.sldu,06006***,06006
2244.nmcsa,"New Ynork-Newark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
6648.city,Durhaam,Durham
675.city,iddletown,Middletown
472.locale,12,21
6173.statevalue,RP,PR
5893.nmcsa,"Morgantown-Fairmcont, WV","Morgantown-Fairmont, WV"
3034.schoolyear,2h021-2022,2021-2022
5691.locale,1,11
1025.nmcbsa,"Champign-Urbana, IL","Champaign-Urbana, IL"
2950.city,Latwon,Lawton
2411.stfip,63,36
5532.stfip,6,06
5775.schoolyear,2021-20p22,2021-2022
4556.nmcbsa,"Memphis, T-MS-AR","Memphis, TN-MS-AR"
4336.cnty,2e5017,25017
4507.nmnecta,wN,N
6488.necta,***,N
3146.nmcbsa,"Lebanotn, PA","Lebanon, PA"
991.cbsa,16n980,16980
3011.street,260m00 SE Stark St,26000 SE Stark St
132.namevalue,Lyno College,Lyon College
1328.necta,tN,N
3998.zip,0061c4-4045,00614-4045
5944.namevalue,Medical Caree Institute,Medical Career Institute
3055.street,50E . Butler Pike,50 E. Butler Pike
5187.street,919 w Norotn Ave,919 w Norton Ave
4978.statevalue,A,CA
6428.sldu,2018,12018
5410.nmnecta,,N
2458.cbsa,10508,10580
503.schoolyear,202-12022,2021-2022
4214.street,1900 Springlak Drive,1900 Springlake Drive
6173.cbsa,32d420,32420
2527.nmcbsa,"New York-Newark-Jersey City, NY-N-JPA","New York-Newark-Jersey City, NY-NJ-PA"
5548.cbsa,6980,16980
1590.locale,2m1,21
56.nmcnty,Montgomery uCounty,Montgomery County
905.statevalue,AG,GA
3706.city,Nqorfolk,Norfolk
2193.cd,403,3403
3320.sldu,54040,45040
5415.cd,001,0801
3324.city,Blubffton,Bluffton
189.nmnecta,,N
4623.locale,12,21
510.csa,38,348
1129.zip,6006-7398,60067-7398
134.schoolyear,t2021-2022,2021-2022
4951.nmcnty,Clark Counrty,Clark County
1260.city,Cedar wFalls,Cedar Falls
6463.statevalue,AG,GA
5331.sldu,62019,26019
3237.city,Swrthmore,Swarthmore
2805.statevalue,H,OH
5853.namevalue,Relay Graduate cShool of Education - California,Relay Graduate School of Education - California
2019.cbsa,82140,28140
1928.nmcbsa,"Gulfport-Bilotxi, MS","Gulfport-Biloxi, MS"
4826.csa,38j0,380
6497.sldu,4b8021,48021
5864.schoolyear,2021-222,2021-2022
878.stfip,31,13
4717.statevalue,L,FL
5724.sldl,04082,04028
5132.city,Capitol Heyights,Capitol Heights
3713.zip,24422-100c0,24422-1000
193.cd,0s502,0502
1346.cd,u2004,2004
3757.csa,yN,N
2350.nmnecta,,N
2326.stfip,t36,36
5394.sldl,05a094,05094
6222.schoolyear,2201-2022,2021-2022
892.statevalue,A,GA
1918.zip,39307-5810,39307-5801
2252.namevalue,Seton Hlal University,Seton Hall University
204.schoolyear,2021-2022***,2021-2022
612.cbsa,393r80,39380
3614.street,955 Univerity Blvd,955 University Blvd
1711.nmcnty,Macom County,Macomb County
480.cd,065r2,0652
646.city,New ondon,New London
1223.street,70 7th St SE,700 7th St SE
1336.nmcnty,Crawford oCunty,Crawford County
431.sldl,06025,06052
2888.locale,1c3,13
6045.zip,65804-4414***,65804-4414
368.nmnecta,***,N
1864.locale,31,13
5474.schoolyear,20212-022,2021-2022
3899.sldu,h54008,54008
940.nmcsa,***,N
4150.cbsa,28490,28940
108.cnty,00413,04013
3558.cbsa,14220,12420
1967.csa,82,482
1607.nmcnty,Suffolk Couny,Suffolk County
188.street,60 W FulbrightA venue,60 W Fulbright Avenue
3010.stfip,1,41
4829.namevalue,Universimty of Connecticut-Waterbury Campus,University of Connecticut-Waterbury Campus
260.street,"8011 University Aveneu, Suite A-2","8011 University Avenue, Suite A-2"
1781.locale,r12,12
253.nmnecta,nN,N
6730.cd,402,0402
4715.locale,2,12
2907.cbsa,w45780,45780
4431.sldu,36032,36023
1765.locale,21,12
6768.locale,q23,23
739.locale,12,21
1623.city,Ahmerst,Amherst
6447.cnty,s13135,13135
3710.locale,11***,11
3355.sldl,4603l4,46034
2897.nmcbsa,"Sandusyk, OH","Sandusky, OH"
4968.stfip,20,02
707.nmnecta,***,N
899.city,Grbiffin,Griffin
2808.cd,903,3903
4765.statevalue,fNY,NY
6560.necta,gN,N
4160.nmnecta,,N
3085.nmcsa,"Philadelphia-Readin-Camden, PA-NJ-DE-MD","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
5608.nmcbsa,"Jakson, TN","Jackson, TN"
3780.street,y99 Thomas Nelson Drive,99 Thomas Nelson Drive
3986.nmcsa,"San Juan-Baymón, PR","San Juan-Bayamón, PR"
5236.sldl,36072,36027
2691.nmcnty,Hertfor dCounty,Hertford County
1652.nmnecta,"Boston-Camhbridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH"
4294.namevalue,Southwest Technology Cenetr,Southwest Technology Center
2869.cd,390i3,3903
5300.sldl,51037,51073
6540.sldu,060t07,06007
2221.city,Unino,Union
1603.cd,u2504,2504
1433.nmcsa,,N
4123.locale,2,32
3139.necta,,N
6073.nmcnty,Dalla sCounty,Dallas County
6287.statevalue,E,NE
1200.schoolyear,2021-2022***,2021-2022
3438.nmcbsa,***,N
560.sldu,00626,06026
5758.nmcnty,Cook Couny,Cook County
6188.necta,***,N
3379.cd,4w702,4702
6755.cd,42k06,4206
2268.street,17 Schepps Blvd,417 Schepps Blvd
3298.cd,4530,4503
2122.stfip,1,31
3648.schoolyear,2021-222,2021-2022
6468.necta,kN,N
164.stfip,5,05
3246.city,Falls Creek***,Falls Creek
2683.csa,264,246
493.sldl,0602j7,06027
1849.cd,7207,2707
1626.city,Bston,Boston
3813.street,"9930x Evergreen Way, Building Y","9930 Evergreen Way, Building Y"
285.csa,48,488
1684.cd,2640,2604
6733.stfip,7,17
4234.street,5600 Roswell Rd NE Ste u10,5600 Roswell Rd NE Ste 10
6489.zip,447x18-3674,44718-3674
1366.necta,hN,N
3973.zip,82240-16p99,82240-1699
3409.schoolyear,2021-202,2021-2022
1888.zip,56258-5486,56258-5468
638.necta,73405,73450
85.street,165 North Stadium Avenue,615 North Stadium Avenue
582.street,16000 E CentreuTech Pky,16000 E CentreTech Pky
1613.zip,02459-237,02459-2237
149.cnty,5123,05123
6307.statevalue,L,FL
3396.sldu,470i14,47014
6339.nmcbsa,"uma, AZ","Yuma, AZ"
263.nmcnty,San Diego Cunty,San Diego County
4027.statevalue,R,PR
609.statevalue,OC,CO
6121.nmcnty,oFairfax County,Fairfax County
493.csa,488***,488
3348.schoolyear,201-2022,2021-2022
6581.sldl,6004,16004
6185.necta,kN,N
4182.nmcsa,"Columbia-Orangeburg-Newbery, SC","Columbia-Orangeburg-Newberry, SC"
6079.cbsa,3520,35620
5848.necta,tN,N
4699.sldu,72050,72005
4840.nmcbsa,"San Juan-Bayamón-Cayguas, PR","San Juan-Bayamón-Caguas, PR"
26.nmnecta,wN,N
4221.stfip,27,72
3806.locale,3,13
331.cnty,0609,06019
6315.csa,,N
2664.cbsa,8980,48980
342.nmcbsa,"San Jose-Sunnyvale-aSnta Clara, CA","San Jose-Sunnyvale-Santa Clara, CA"
5950.cd,3160,3610
6512.stfip,4r8,48
3402.cd,47m07,4707
4050.schoolyear,0221-2022,2021-2022
6341.cd,106,2106
3365.cd,46f00,4600
5840.csa,4s06,406
4513.stfip,3l4,34
2471.nmcbsa,"Albany-Schenectady-rToy, NY","Albany-Schenectady-Troy, NY"
6588.csa,300***,300
6.sldu,01012,01021
3652.nmcnty,Cache Counyt,Cache County
3906.street,201 West King Street***,201 West King Street
2562.nmnecta,***,N
5134.cnty,720w03,72003
4229.locale,12,21
281.city,oSantee,Santee
819.nmnecta,eN,N
1402.schoolyear,2021-2202,2021-2022
3441.schoolyear,2021-2q022,2021-2022
926.schoolyear,20t21-2022,2021-2022
4392.zip,92108-407,92108-4407
3947.cd,550m7,5507
3898.statevalue,VW,WV
4218.nmcsa,"Miami-Port St. rLucie-Fort Lauderdale, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
4180.csa,oN,N
3482.sldu,8014,48014
5193.statevalue,Y,NY
1286.sldl,2055,20055
2136.nmcnty,Frontlier County,Frontier County
2409.nmnecta,***,N
3782.statevalue,A,VA
6698.namevalue,Paulw Mitchell the School-San Jose,Paul Mitchell the School-San Jose
3344.cnty,45019,45091
3611.nmcsa,"aSn Antonio-New Braunfels-Pearsall, TX","San Antonio-New Braunfels-Pearsall, TX"
2399.nmcnty,Broome Cocunty,Broome County
1457.namevalue,Siant Joseph Seminary College,Saint Joseph Seminary College
3148.locale,1,21
2893.nmcsa,"Cleveland-Akron-Canotn, OH","Cleveland-Akron-Canton, OH"
4737.cnty,2400s3,24003
2150.statevalue,V,NV
3060.stfip,4z2,42
283.nmnecta,aN,N
5219.schoolyear,2021-f2022,2021-2022
5549.cbsa,16908,16980
1494.csa,,N
226.cnty,60079,06079
3763.city,Wnedell,Wendell
3524.cbsa,mN,N
3942.stfip,55***,55
5571.city,Flushnig,Flushing
5247.sldl,10401,10041
6845.nmcnty,Camen County,Camden County
4974.stfip,d04,04
634.statevalue,T,CT
5462.cd,e0102,0102
3121.nmcnty,Delaware Couty,Delaware County
3324.necta,zN,N
677.cbsa,353h00,35300
5527.sldl,1888,18088
617.cbsa,9740,19740
3934.namevalue,Milwaukee Area Technica lCollege,Milwaukee Area Technical College
1423.street,615w City Park Avenue,615 City Park Avenue
6695.zip,10977***,10977
2534.sldu,3604v4,36044
1448.city,Monrxoe,Monroe
1064.nmcsa,,N
5859.city,Temeculxa,Temecula
2997.sldu,14022,41022
4249.zip,70336-9117,73036-9117
263.csa,,N
5834.cnty,4011,49011
5747.necta,***,N
2638.cd,3701,3710
6812.necta,7150,71950
3272.sldu,4406,44006
5129.cd,307,3407
1218.zip,52001r-3198,52001-3198
6441.csa,u400,400
2438.schoolyear,201-2022,2021-2022
3377.csa,eN,N
6159.cnty,1863,18163
646.cbsa,35e980,35980
5424.csa,76,176
6734.schoolyear,2021-222,2021-2022
1918.sldl,20882,28082
2052.namevalue,Stevens-The Institute of Busines & Arts,Stevens-The Institute of Business & Arts
6701.cd,4180,4810
6318.cbsa,33100***,33100
2636.sldu,30744,37044
5380.zip,2878,28078
3154.necta,,N
428.nmcbsa,"Los Angels-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA"
2360.necta,***,N
6429.cd,638,0638
5348.cd,417,4817
4650.necta,zN,N
2788.necta,jN,N
2618.nmcsa,aN,N
5286.nmcnty,FranklinCounty,Franklin County
1922.statevalue,S,MS
4308.nmcsa,"Chicago-Napervile, IL-IN-WI","Chicago-Naperville, IL-IN-WI"
663.zip,010221153,01022-1153
2634.city,Fayetfteville,Fayetteville
6268.cbsa,4740,41740
2542.cd,3260,3620
5129.zip,7083,07083
4311.locale,1,11
2661.sldl,37034,37043
2365.zip,14583,14853
6798.sldl,1940,19040
5767.necta,,N
4806.csa,***,N
3016.street,3201 Cacmpus Drive,3201 Campus Drive
1179.schoolyear,021-2022,2021-2022
832.nmcsa,***,N
523.schoolyear,2021-202t2,2021-2022
5627.namevalue,Strayer Uninversity-Texas,Strayer University-Texas
663.street,1984 estover Road,1984 Westover Road
4899.nmnecta,,N
6661.city,Moknroe,Monroe
4452.nmnecta,wN,N
1156.nmcnty,St. Joseph Couty,St. Joseph County
5353.cbsa,8420,28420
1226.stfip,9,19
2600.namevalue,Souht Piedmont Community College,South Piedmont Community College
1660.sldu,25208,25028
4831.necta,7v1950,71950
5793.nmcsa,"Cape Coral-Fort Myers-Naples, L","Cape Coral-Fort Myers-Naples, FL"
2772.necta,***,N
6231.namevalue,K & G 5 Sar Barber College,K & G 5 Star Barber College
6699.cd,49q02,4902
4674.cnty,34y007,34007
5795.schoolyear,2021-v2022,2021-2022
3214.nmnecta,wN,N
256.zip,94033,94303
4861.sldu,0531,05031
976.nmcsa,"Chicago-Naperville, IL-INWI","Chicago-Naperville, IL-IN-WI"
543.schoolyear,021-2022,2021-2022
600.csa,***,N
4417.sldl,47406,47046
1352.csa,336***,336
5461.csa,38,348
5035.nmcnty,Baaymón Municipio,Bayamón Municipio
3782.cbsa,4c0060,40060
2391.city,fJamaica,Jamaica
2791.cbsa,18w140,18140
4970.zip,d87107-1642,87107-1642
2147.street,99g9 Tahoe Blvd.,999 Tahoe Blvd.
2192.namevalue,Brookdal Community College,Brookdale Community College
4540.sldu,29e032,29032
2023.nmnecta,,N
1937.sldu,20845,28045
4371.sldu,40815,48015
5254.cnty,1889,18089
1567.nmcbsa,"Bosto-nCambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH"
4722.schoolyear,2021-20v22,2021-2022
4229.stfip,9,39
2413.street,24 East 120th treet,24 East 120th Street
5120.statevalue,MbI,MI
4121.nmcbsa,"Hoston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX"
3445.sldl,4725,47025
656.stfip,90,09
3447.necta,,N
2276.csa,fN,N
4329.nmcnty,Brevard oCunty,Brevard County
5694.cd,402,4402
6465.nmnecta,***,N
1620.street,27 Garden treet,27 Garden Street
5475.nmcbsa,"Washington-Arlington-Alexandra, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV"
5510.csa,3d48,348
109.cbsa,iN,N
5475.nmcnty,Disrtict of Columbia,District of Columbia
5768.schoolyear,2021-2022***,2021-2022
3040.zip,95t765,95765
3661.cbsa,1620,16260
2829.sldu,h39018,39018
1449.city,Mindejn,Minden
101.cbsa,8060,38060
2333.locale,11***,11
6085.cd,8431,4831
772.statevalue,FkL,FL
6271.sldl,7083,47083
672.cd,c0901,0901
2829.csa,14,184
1531.nmcbsa,"Baltimore-Columbia-Towsn, MD","Baltimore-Columbia-Towson, MD"
6204.nmcnty,Miami-Dnade County,Miami-Dade County
3870.cd,4502,5402
5528.locale,1,21
