1125.address,z2655 Iberville St,2655 Iberville St
2299.namevalue,1108 Henriett Delille St,1108 Henriette Delille St
1017.type,Szhort Term Rental Commercial Owner,Short Term Rental Commercial Owner
773.address,4127 Camp St,4217 Camp St
455.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9329080227936, -90.0725549836185)"
1150.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9593606745007, -90.0684049404374)"
1476.expirationdate,03/01/2023 12:00:00 MA,03/01/2023 12:00:00 AM
2263.expirationdate,03/01/2023 12:000:0 AM,03/01/2023 12:00:00 AM
2524.type,Short Term Rentla Residential Owner,Short Term Rental Residential Owner
917.type,Short Term Rental esidential Owner,Short Term Rental Residential Owner
44.expirationdate,06/06/2023 1v1:59:59 PM,06/06/2023 11:59:59 PM
1147.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9409201218296, -90.0744571369549)"
1665.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9693864827183, -90.0720616161758)"
279.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9318662807755, -90.073035767351)"
2236.type,Short Term Renta Commercial Owner,Short Term Rental Commercial Owner
1276.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9737125502586, -90.0828228408989)"
1455.locationvalue,"(29.9397085402145, -90.0769715356914)","(29.9505349863467, -90.1051000170307)"
1609.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9326617991661, -90.1047994964778)"
1213.locationvalue,"(29.9409105746801, -90.0673505685156)","(30.0946255291455, -89.7670573024888)"
295.type,Short Term Rental Residental Owner,Short Term Rental Residential Owner
1538.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9165454061545, -90.1070949623833)"
687.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9538143719881, -90.0729985743263)"
70.expirationdate,03/20/2023 115:9:59 PM,03/20/2023 11:59:59 PM
2762.address,427 ESPLANADEAVE,427 ESPLANADE AVE
1264.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9669941515134, -90.0445150757299)"
123.type,hort Term Rental Commercial Owner,Short Term Rental Commercial Owner
25.expirationdate,02/15/2023 11:59:59w PM,02/15/2023 11:59:59 PM
1401.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9585637282188, -90.0883865825106)"
1865.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9353128806252, -90.0723046318246)"
1786.namevalue,812G ravier St Apt 406,812 Gravier St Apt 406
1398.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9655871629457, -90.0498411881917)"
935.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9249660997811, -90.0837496958841)"
69.expirationdate,03/212/023 11:59:59 PM,03/21/2023 11:59:59 PM
1318.namevalue,1216 NL opez St Apt 1A,1216 N Lopez St Apt 1A
2458.type,Short Term Rental Commercial Ownre,Short Term Rental Commercial Owner
1758.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9740287427453, -90.0950206242711)"
1043.expirationdate,06/08/2023 1v1:59:59 PM,06/08/2023 11:59:59 PM
524.namevalue,1614 Gentillmy Blvd,1614 Gentilly Blvd
1047.locationvalue,"(29.9453933043394, -90.049996322177)","(29.96547601031, -90.0491081919331)"
1338.locationvalue,"(29.9327357007606, -90.0727235818619)","(30.0546375467808, -89.9489673297567)"
2625.locationvalue,"(29.9235318310612, -9.01249244266097)","(29.9235318310612, -90.1249244266097)"
948.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.92655587723, -90.0802805942176)"
1647.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9485075157807, -90.0671746007679)"
2054.type,Short Term Retnal Residential Owner,Short Term Rental Residential Owner
157.namevalue,710 Baronne St Appt 205,710 Baronne St Apt 205
813.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9212439341465, -90.0975407247146)"
596.type,Short Term Rental Commecial Owner,Short Term Rental Commercial Owner
1691.locationvalue,"(29.9452594846043, -90.0747577308854)","(30.051089307577, -89.9696065597606)"
1679.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9809279708857, -90.0927305652335)"
364.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.951021216711, -90.0711540118799)"
1123.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9631302659615, -90.0584189898241)"
369.type,Sihort Term Rental Residential Owner,Short Term Rental Residential Owner
263.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9165608972751, -90.1177110155308)"
338.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9497032946106, -90.1279812433406)"
204.locationvalue,"(29.9580154964913, -90.0871467011987)","(28.0988907068706, -101.517799134252)"
549.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9515126500001, -90.0728704592045)"
872.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9302134134506, -90.1203476978083)"
1497.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9291183637873, -90.1053432100998)"
685.namevalue,38 Fnotainebleau Dr,38 Fontainebleau Dr
1344.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9691803110598, -90.1046567711191)"
793.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9797744385789, -90.0701992251311)"
2364.address,334 Carondelt St Unit 408,334 Carondelet St Unit 408
1361.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9635437074305, -90.0586525042877)"
76.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9695456048789, -90.0615639211484)"
2741.namevalue,1026 Jsephine St,1026 Josephine St
162.namevalue,828 Gpirod St Apt 605,828 Girod St Apt 605
1594.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9521410489736, -90.0710256083409)"
2575.expirationdate,03/01/2023 12:00:0 AM,03/01/2023 12:00:00 AM
1811.type,Short Term Renmtal Residential Owner,Short Term Rental Residential Owner
473.expirationdate,11/17/2023 11:59:59m PM,11/17/2023 11:59:59 PM
626.namevalue,822 Valence St***,822 Valence St
55.address,463 S Dupre St,643 S Dupre St
2435.locationvalue,"(29.9679521971811,a -90.0712469060146)","(29.9679521971811, -90.0712469060146)"
1210.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9848222365174, -90.0741809086276)"
2262.type,Shorct Term Rental Residential Owner,Short Term Rental Residential Owner
504.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9469791658913, -90.0703063787111)"
467.address,705 Camp St Apbt 403,705 Camp St Apt 403
765.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9705653836421, -90.0512866699319)"
542.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9583315004966, -90.1245458833608)"
168.expirationdate,05/11/2023 11:9:59 PM,05/11/2023 11:59:59 PM
762.namevalue,2114 Jackson ve,2114 Jackson Ave
1570.locationvalue,"(29.9680599417833, -90.0624712921575)","(29.948808184219, -90.1350091437284)"
2709.namevalue,2369 Anunnciation St,2369 Annunciation St
1890.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9642188047582, -90.0653327198382)"
2491.locationvalue,"(29.983449198925, t-90.0758696173341)","(29.983449198925, -90.0758696173341)"
1382.locationvalue,"(29.9477103063624, -90.0733695134786)","(29.9597278460871, -90.0706243139188)"
1229.expirationdate,08/24/2023 115:9:59 PM,08/24/2023 11:59:59 PM
2003.locationvalue,"(29.950869307219,9 -90.071349005897)","(29.9508693072199, -90.071349005897)"
1271.locationvalue,"(29.9280167627574, -90.0751408186039)","(29.9367801836335, -90.0747742993464)"
710.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9624093411982, -90.0940562653819)"
2750.type,aShort Term Rental Residential Owner,Short Term Rental Residential Owner
2620.locationvalue,"(29.964665833946, -90.03658u41929694)","(29.964665833946, -90.0365841929694)"
377.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9627907980921, -90.0576065708806)"
1792.type,Short Term Rentdal Residential Owner,Short Term Rental Residential Owner
2416.locationvalue,"(29.93796557256, -90.0766795950315)","(29.93796557256, -90.0766759950315)"
1081.type,Short Term Rlental Commercial Owner,Short Term Rental Commercial Owner
847.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9345734196994, -90.1010288530123)"
749.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9675311930302, -90.0557987875747)"
824.locationvalue,"(29.9362238388348, -90.0993604988315)","(29.974397306269, -90.1085136150647)"
1646.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9269541736942, -90.0787845509312)"
1155.locationvalue,"(29.9412293969983, -90.0432492047549)","(29.9804967619687, -90.0745994134344)"
1571.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9217817801701, -90.0899825820797)"
217.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9679277329307, -90.0917975505273)"
511.address,2702p Chartres St,2702 Chartres St
778.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9452771909151, -90.0526512660934)"
2569.locationvalue,"(29.945806907846, -90.0661743226733)","(29.9458086907846, -90.0661743226733)"
1601.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9847837492782, -90.0606803891375)"
1369.namevalue,PARISIAN CUORTYARD INN,PARISIAN COURTYARD INN
234.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9477380315426, -90.0733355962519)"
1360.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9255391969266, -90.012032011228)"
1788.type,Short TermR ental Residential Owner,Short Term Rental Residential Owner
506.locationvalue,"(29.9689363252531, -90.0551921852486)","(29.9170330741967, -90.103870272117)"
840.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9254578517266, -90.1038750352918)"
1086.locationvalue,"(29.9606030466068, -90.0892656704537)","(30.0179185662422, -89.9814818181382)"
516.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9320809745753, -90.074790998204)"
1893.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9669857649718, -90.1014002264642)"
2324.address,1217 Baronne Smt,1217 Baronne St
1694.address,5221 Hawthorne Pxl,5221 Hawthorne Pl
124.namevalue,2709 Dryades tS,2709 Dryades St
887.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9754353794409, -90.0592304283193)"
330.expirationdate,03/01/2023 12:0:000 AM,03/01/2023 12:00:00 AM
846.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.968256932924, -90.0293714322717)"
277.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9411357639047, -90.1272600676733)"
1688.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9458084782313, -90.0661522529324)"
985.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9663185677014, -90.0626226512112)"
136.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9633860900035, -90.0507036831149)"
373.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.940737544752, -90.0691838300797)"
2609.type,Short Ter mRental Residential Owner,Short Term Rental Residential Owner
1835.expirationdate,02/27/2023 11:59:59 MP,02/27/2023 11:59:59 PM
2069.expirationdate,07/21/2023 11:59:5 PM,07/21/2023 11:59:59 PM
639.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9804691548487, -90.0704099657759)"
104.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9718720054666, -90.0886616921032)"
1543.type,4701 - HOTELS (EXC CASINO HOTELS) & MOTuELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1226.namevalue,1727 Henriette elille St,1727 Henriette Delille St
304.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9245766206097, -90.075540961638)"
2605.address,424 TricouSt,424 Tricou St
1026.expirationdate,06/08/2023 11:59:59 MP,06/08/2023 11:59:59 PM
2433.y,522277.92,522179.92
2772.address,1109 Erato tS,1109 Erato St
1915.namevalue,ROYAL BARRACS GUEST HOUSE,ROYAL BARRACKS GUEST HOUSE
600.namevalue,1479 N rPieur St,1479 N Prieur St
816.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9322117072216, -90.067616187483)"
227.address,312 Hamilton St,3912 Hamilton St
1106.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.921737025924, -90.0937050859594)"
966.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.952986469442, -90.1152893156587)"
2178.expirationdate,07/25/2023 11:59:59 M,07/25/2023 11:59:59 PM
2775.address,2536 Beienville Ave,2536 Bienville Ave
556.x,3685585.39,3685523.39
619.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9515134707438, -90.1193484694863)"
1218.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9665202720511, -90.0559414604206)"
2104.type,Short Term Rental Residenjtial Owner,Short Term Rental Residential Owner
871.address,8141 S Chippewa St,1841 S Chippewa St
131.address,4110 Piedmont rD,4110 Piedmont Dr
2673.type,hSort Term Rental Residential Owner,Short Term Rental Residential Owner
42.expirationdate,0/11/2023 11:59:59 PM,01/11/2023 11:59:59 PM
1322.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9707120178271, -90.1050274123127)"
951.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9501677630464, -90.0688720792649)"
1230.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9456773905422, -90.0714662624026)"
2094.type,Shoxrt Term Rental Residential Owner,Short Term Rental Residential Owner
1682.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9776546255901, -90.0873781422018)"
1205.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9341001903618, -90.0719769054101)"
942.expirationdate,08/09/2023 11:59:59 MP,08/09/2023 11:59:59 PM
325.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9415755683842, -90.0733164661112)"
231.namevalue,1325 Nucnez St,1325 Nunez St
1324.expirationdate,03/01/2203 12:00:00 AM,03/01/2023 12:00:00 AM
2245.namevalue,933 NVillere St,933 N Villere St
2223.y,35.0,-1.0
2129.type,Short Term Rental Residetnial Owner,Short Term Rental Residential Owner
1315.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9320038113027, -90.0745353793166)"
501.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9702268378075, -90.0685099159636)"
2708.locationvalue,"(29.966235009823, -90.0697726379707)","(29.966235090823, -90.0697726379707)"
921.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9723790589301, -90.0793319827393)"
99.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9510922469741, -90.0716785218728)"
180.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9945915120626, -90.0573394305239)"
1456.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9424275080081, -90.0760520064883)"
1839.address,3127 St Claude Ave,3217 St Claude Ave
488.expirationdate,09/11/2023 10:04:57 M,09/11/2023 10:04:57 AM
692.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9644923882642, -90.0821337014123)"
727.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9643555637116, -90.0727070065467)"
1920.namevalue,OUGAINVILLEA HOUSE,BOUGAINVILLEA HOUSE
1596.expirationdate,0424/2023 11:59:59 PM,04/24/2023 11:59:59 PM
736.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9215248350319, -90.1194949353389)"
1616.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9803238660568, -90.0416276327046)"
276.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9378523622051, -90.0815401948254)"
882.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9701790020386, -90.0417908849611)"
1423.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9636697316265, -90.0361492307224)"
759.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9495262020441, -90.1021040073444)"
1874.namevalue,RENAISSANCE ARTS HTOEL,RENAISSANCE ARTS HOTEL
575.namevalue,900 Barthoolomew St Unit 319,900 Bartholomew St Unit 319
451.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9698347732931, -90.0875439634506)"
1165.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9691538700578, -90.062030870737)"
1531.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9544949700263, -90.0663499824243)"
914.address,1312 Barracks pSt,1312 Barracks St
1680.type,Short Term Rental Remsidential Owner,Short Term Rental Residential Owner
1611.address,3800 S Saratoga vSt,3800 S Saratoga St
1777.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9679926212517, -90.0953084444741)"
407.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9838176236154, -90.044438660997)"
1045.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9392302416666, -90.0732314921582)"
2023.type,Short Term Retnal Residential Owner,Short Term Rental Residential Owner
1023.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9696122849464, -90.0509558759487)"
1188.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9650900065246, -90.0670874029049)"
1050.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9260035887011, -90.0087966475818)"
1419.address,535 GRAVIR ST,535 GRAVIER ST
1519.type,Short Term Rental Residential Ownre,Short Term Rental Residential Owner
1405.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.966738514146, -90.052472926262)"
35.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9327309324472, -90.0727052350259)"
1481.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9657493732, -90.0414420635821)"
1810.address,81 2Gravier St Apt 402,812 Gravier St Apt 402
902.locationvalue,"(29.9397085402145, -90.0769715356914)","(29.9704661821912, -90.0793248210092)"
1030.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9517274553824, -90.102374098532)"
1505.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9633055414144, -90.0451039265449)"
786.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9205845179855, -90.1030449718852)"
1771.locationvalue,"(29.9436221825203, -90.0784593414273)","(30.0066297975822, -90.031814993349)"
1414.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9637047358987, -90.0561796136561)"
403.type,Short Term Rental Residetial Owner,Short Term Rental Residential Owner
1913.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9477298559466, -90.0632882153656)"
1244.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9520196603249, -90.0649236154977)"
1309.namevalue,2814 Ocjtavia St,2814 Octavia St
431.type,Short Term Rental Commercial Owneur,Short Term Rental Commercial Owner
210.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9670838149049, -90.1015099669304)"
1076.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.968018651292, -90.0623731174793)"
2372.locationvalue,"(30.007l6344652522, -90.1142302814185)","(30.0076344652522, -90.1142302814185)"
1789.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.920507935179, -90.0941248449794)"
550.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9504423057539, -90.067906304783)"
1201.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9721567376458, -90.0887342605973)"
1807.address,134 S Swcott St,134 S Scott St
751.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9198290681908, -90.103636381046)"
820.type,Short Term Rbental Residential Owner,Short Term Rental Residential Owner
827.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.93892154815, -90.0759298078268)"
1554.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9636491621112, -90.036288778775)"
1766.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9623304119093, -90.0417299829632)"
1162.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9223227117779, -90.102786427602)"
1877.locationvalue,"(29.9717143374146, -90.0884046281747)","(29.9523525883641, -90.0712055731135)"
2675.locationvalue,"(29.9511022548481, a-90.0717270583049)","(29.9511022548481, -90.0717270583049)"
1060.type,4701 - HOTELS (EXC CASINO HOTLS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
444.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9702268378075, -90.0685099159636)"
490.expirationdate,11/71/2023 11:59:59 PM,11/17/2023 11:59:59 PM
1210.address,2826 Castiglioen St,2826 Castiglione St
2265.namevalue,4204 Fbontainebleau Dr,4204 Fontainebleau Dr
1345.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9524336925213, -90.0685130144125)"
134.type,Short Term Rentalw Commercial Owner,Short Term Rental Commercial Owner
1044.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9760886586886, -90.0807303489508)"
342.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9738243637627, -90.061893239964)"
970.expirationdate,04/17/2023 11:59:59 MP,04/17/2023 11:59:59 PM
2747.type,Short Term Rental Commmercial Owner,Short Term Rental Commercial Owner
1925.type,4703 - BED & BREAKFAS TINNS,4703 - BED & BREAKFAST INNS
1635.expirationdate,03/01/2023 12:0:000 AM,03/01/2023 12:00:00 AM
1243.address,2512 Verben aSt,2512 Verbena St
704.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9400276849211, -90.0762899749195)"
415.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9824351095372, -90.1019859696348)"
906.namevalue,1412 ourbon St,1412 Bourbon St
2346.namevalue,3431 sChartres St Unit 7,3431 Chartres St Unit 7
2572.locationvalue,"(29.9241544485q725, -90.0963817043575)","(29.9241544485725, -90.0963817043575)"
60.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9671244420776, -90.0572472559387)"
1039.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.925855590756, -90.0295058733106)"
1336.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9524387369226, -90.0685371401827)"
593.namevalue,2826e St Louis St,2826 St Louis St
940.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9501297410493, -90.0688302458494)"
1669.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9572993395706, -90.0683973333859)"
1899.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9636373284825, -90.0362516332075)"
1584.namevalue,843 aCrondelet St,843 Carondelet St
258.x,77.0,-1.0
1779.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9641772247466, -90.0706702321647)"
862.locationvalue,"(29.9861617021688, -90.0616040310795)","(29.9226845990142, -90.0753637042294)"
1577.locationvalue,"(29.94521586214, -90.0748345709834)","(29.9456573200694, -90.0995731003971)"
264.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9295196567876, -90.0904545756832)"
938.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9621530108794, -90.0417619764514)"
782.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9680220506775, -90.0624688374961)"
643.locationvalue,"(29.9452594846043, -90.0747577308854)","(30.1510112214579, -89.7378028164056)"
1703.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9708463658874, -90.073692121332)"
481.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9386923890836, -90.0995764169515)"
65.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9626418798905, -90.0971525269372)"
1988.type,4703 - BED & BREAKFfAST INNS,4703 - BED & BREAKFAST INNS
1575.type,Short Term Rental Residiential Owner,Short Term Rental Residential Owner
95.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9779385551837, -90.095514601558)"
2523.address,4915M agazine St,4915 Magazine St
2103.address,600 Canal tS Apt 404,600 Canal St Apt 404
1558.type,4703 - BDE & BREAKFAST INNS,4703 - BED & BREAKFAST INNS
397.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9623516206639, -90.0799796596297)"
2030.address,158 Ursulines Ave,1528 Ursulines Ave
2130.type,Short TermR ental Residential Owner,Short Term Rental Residential Owner
1274.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9378656558607, -90.0824723630531)"
1924.namevalue,HSTEVA,HOSTEVA
2122.locationvalue,"(29.9307427777541, -90.103458q2800504)","(29.9307427777541, -90.1034582800504)"
1069.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9700364064294, -90.1011652435331)"
2433.x,3679252.22,3679222.22
229.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9510989674852, -90.0717025631216)"
127.locationvalue,"(29.9314269620729, -90.0734543476571)","(30.0227777172931, -90.0577233309152)"
1599.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9555785257454, -90.1015205368919)"
1127.type,Sort Term Rental Residential Owner,Short Term Rental Residential Owner
68.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9586147368508, -90.088319341405)"
1615.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9454640008538, -90.1049138896844)"
737.address,4e615 Dart St,4615 Dart St
988.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.966129689607, -90.0807966076225)"
1444.type,4701 - HOTELS (EXC CASINO OTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
2152.type,Short Term Rental Resvidential Owner,Short Term Rental Residential Owner
22.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9452481568876, -90.0748212171431)"
719.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9662703064343, -90.060093414886)"
2000.expirationdate,05/14/2023 11:59:59 MP,05/14/2023 11:59:59 PM
2414.namevalue,451 Grod St Apt 400,451 Girod St Apt 400
2517.expirationdate,03/01/202 12:00:00 AM,03/01/2023 12:00:00 AM
247.type,hSort Term Rental Commercial Owner,Short Term Rental Commercial Owner
1221.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9789189934598, -90.0937396918966)"
465.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9412200648331, -90.0724340882182)"
977.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9249182140596, -90.0838241072338)"
1643.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9682029305198, -90.0494737472103)"
1466.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9616987714164, -90.0570917988922)"
73.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9388496615006, -90.0807093580153)"
1241.namevalue,5116 Mandeville St,1516 Mandeville St
610.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9674989960424, -90.0655622825085)"
740.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9376340327424, -90.1303348862722)"
563.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9166581903657, -90.1083027507153)"
1491.address,1504 N Prieur wSt,1504 N Prieur St
1595.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9571400149523, -90.1187460474542)"
1352.expirationdate,0/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
586.x,3684821.85,3684783.85
2648.type,Shotr Term Rental Residential Owner,Short Term Rental Residential Owner
954.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9680176641316, -90.0591172082819)"
1277.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9806761001286, -90.0509292273345)"
1494.expirationdate,03/01/2023 12:0000 AM,03/01/2023 12:00:00 AM
865.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9718865181178, -90.0629174265496)"
796.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9733636500304, -90.0780958442078)"
1311.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9524503322156, -90.0684989401954)"
1232.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9524566144287, -90.0684916289111)"
76.expirationdate,07/28/2023 11:59:59 MP,07/28/2023 11:59:59 PM
366.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9716896503244, -90.0410113191648)"
1372.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9519116076011, -90.071494887469)"
694.locationvalue,"(29.9714405956674, -90.0641104592225)","(30.0073723315153, -90.0822081885993)"
1180.type,Short Term Rental ommercial Owner,Short Term Rental Commercial Owner
407.namevalue,2529 Port tS,2529 Port St
624.expirationdate,05/24/2203 11:59:59 PM,05/24/2023 11:59:59 PM
764.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9511149813526, -90.071620318848)"
