namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
1140 Esplanade Ave,1140 Esplanade Ave,Short Term Rental Residential Owner,3.0,6.0,09/11/2023 01:34:23 PM,"(92.9663844482864, -90.0645626612869)",3682566.87,535491.84
4502 N Rampart Srt,4502 N Rampart St,Short Term Rental Commercial Owner,3.0,6.0,09/14/2023 11:59:59 PM,"(29.9631985868449, -90.0308718428603)",3693310.18,534484.03
5413 Thalia St,4513 Thalia St,Short Term Rental Commercial Owner,1.0,2.0,09/11/2023 11:59:59 PM,"(29.9563339317844, -90.1041832592857)",3670061.41,531700.35
530 Louisa St,530 Louisa St,Short Term Rental Commercial Owner,5.0,10.0,06/22/2023 11:59:59 PM,"(29.9618038372661, -90.0441732257863)",3689041.29,533898.22
725 ANTONINE ST,725 ANTONINE ST,Short Term Rental Residentqial Owner,3.0,6.0,09/12/2023 11:3307 AM,"(28.0988907068706, -101.517799134252)",23.0,45.0
1107 Tchoupitoulas St,1107 Tchoupitoulas St,Short Term Rental Commercial Owner,1.0,2.0,09/12/2023 11:59:59 PM,"(29.9402303092827, -90.0672651035741)",3681816.31,525971.77
2011 N Claiborne Ave,2011 N Claiborne Ave,Short Term Rental Commercial Owner,3.0,6.0,08/16/2023 11:59:59 PM,"(29.9735667525382, -90.0593460824318)",3684189.5,538121.92
5000 Cartier Avenue,5000 Cartier Avenue,Short Term Rental Residential Owner,2.0,4.0,09/11/2023 07:49:19 AM,"(28.0988907068706, -101.517799134252)",61.0,60.0
2009 N Claiborne Ave,2009 N Claiborn eAve,Short Term Rental Commercial Owner,3.0,6.0,08/16/202311:59:59 PM,"(29.9735633044082, -90.0593847561108)",3684177.27,538120.53
2835 Ap Tureaud Ave,2835 Ap Tureaud Ave,Short Term Rental Residential Owner,5.0,10.0,09/15/2023 03:46:13 PM,"(29.9869030699576, -90.0675895740239)",3681526.07,542942.59
3308 Carondelet St Apt A,3308 Carondelet St Apt A,Short Term Rental Commercial Owner,2.0,4.0,09/09/2023 11:59:59 PM,"(29.9294720136756, -90.0909597514847)",3674354.57,521977.52
3624 Magazine St Apt 202,3624 Magazine St Apt 202,Short Term Rental Commercial Owner,1.0,2.0,09/13/2023 11:59:59 PM,"(29.921629467075, -90.0922316554992)",3673982.6,519121.32
701 Bartholomew St,701 Bartholomew St,Short Term Rental Residential Owner,1.0,2.0,09/12/2023 12:53:33 PM,"(29.9615405736336, -90.0365290546067)",3691462.77,533829.8
WYNDHAM GARDEN HOTEL,10100 I 10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",71.0,5.0
3624 Magazine St Apt 201,3624 Magazine St Apt 201,Short Term Rental Commercial Owner,1.0,2.0,09/13/2023 11:59:59 PM,"(29.9216555235248, -90.0922418757046)",3673979.26,519130.76
3616 Magazine St Apt 201,3616 Magazine St Apt 201,Short Term Renta lCommercial Owner,2.0,4.0,09/13/2023 11:59:59 PM,"(29.9217436267965, -90.0920779448641)",3674030.84,519163.36
3726 onstance St,3726 Constance St,Short Term Rental Residential Owner,1.0,2.0,09/12/2023 10:30:57 AM,"(29.92o0410057461, -90.0937011091653)",3673521.93,518672.86
242 Orleans Ave,427 Orleans Ave,Short Term Rental Commercial Owner,3.0,6.0,09/12/2023 11:59:59 PM,"(29.9689989382271, -90.0798196836677)",3677725.8,536389.4
2377 N Villere St,2377 N Villere St,Short Term Rental Residential Owner,2.0,4.0,09/11/2023 01:58:40 PM,"(29.971940189308, -90.0526303940239)",3686322.24,537556.99
2312 St Louis St,2312 St Louis St,Short Term Rental Commercial Ownre,3.0,6.0,09/12/2023 11:59:59 PM,"(29.9660374311144, -90.0806611987079)",3677471.14,535309.57
3302 Constance St,3302 Constance St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9223423886851, -90.0873719528188)",3675519.15,519397.27
2425 CHARTRES ST LLC,2425 CHARTRES ST,4703 - BED & BREAKFAST IaNNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9638807987302, -90.0533403827539)",3686130.22671,534620.938694
1116 N Miro St,1116 N Miro St,Short Term Rental Residential Owner,2.0,4.0,09/11/2023 09:51:34 PM,"(29.9712406635012, -90.0753716126647)",3679125.16,537220.01
6222 Pontchartrain Blvd,6222 Pontchartrain Blvd,Short Term Rental Residential Owner,2.0,4.0,0301/2023 12:00:00 AM,"(30.0045903297159, -90.116048222919)",3666117.92,549208.19
5029 Magazine St,5029 Magazine St,Short Term Rental Commercial Owner,2.0,4.0,09/15/2023 11:59:59 PM,"(29.9205874708945, -90.1099100712855)",3668386.79,518682.19
2017 N Claiborne Ave,2017 N Claiborne vAe,Short Term Rental Commercial Owner,5.0,10.0,09/12/2023 11:59:59 PM,"(29.9735790429245, -90.0591782671061)",3684242.58,538126.98
4616 S Robertson St,4616 S Rmobertson St,Short Term Rental Residential Owner,1.0,2.0,09/12/2023 04:26:30 PM,"(29.9359184397681, -90.1058882063969)",3669601.06,524270.72
COURTYARD BY MARRIOTT #1MK-[H/P],300 JULIA ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9445026510975, -90.0662564458014)",3682118.57461,527528.878975
THE HOTEL MODERN,936 SAINT CHARLES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9437047691426, -90.0719741938121)",3680311.02203,527218.761855
723 Louisa St,723 Louisa St,Short Term Rental Residential Owner,2.0,4.0,09/13/2023 01:162:7 PM,"(29.9635676786277, -90.0434286718446)",3689269.82,534542.27
RE NEW ORLEANS PROPERTY MANAGEMENT,1531 URSULINES AVE,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9665894708311, -90.069428245708)",3681025.50997,535549.368454
5835 Lafaye St,5835 Lafaye St,Short Term Rental Residential Owner,2.0,4.0,09/11/2023 05:14:54 PM,"(30.0193003021028, -9.00492253220892)",3687207.32,554788.16
2423 Orleans Ave,2423 Orleans Ae,Short Term Rental Commercial Owner,3.0,6.0,09/12/2023 11:59:59 PM,"(29.9689473471002, -90.0797560259483)",3677746.16,536370.86
1731 Third St 1B,1731 Third S 1B,Short Term Rental Residential Oewner,2.0,4.0,09/09/202307:07:12 AM,"(29.9334985519049, -90.0853627519072)",3676111.4,523460.98
625 Pelican Ave,625 Pelican Ave,Short Term Rental Residential Owner,3.0,6.0,09/12/2023 09:05:50 AM,"(29.9531388895877, -90.0490952140695)",3687518.14,530729.83
9027 Olive St,9027 Olive St,Short Term Rental Residential Owner,3.0,6.0,09/12/2023 08:31:21 AM,"(29.9696640034124, -90.1207831113255)",3664753.73,536491.68
3812 Bienville Ave,3812 Bienville Ave,Short Term Rental Commercial Owner,3.0,6.0,09/14/2023 11:59:59 PM,"(29.9742530979586, -90.0965016587297)",3672423.47,538242.62
703 Bartholomew St,703 Bartholomew St,Short Term Rental Residential Owner,1.0,2.0,09/12/2023 12:54:04 PM,"(29.9615810500629, -90.0365203171274)",3691465.37,533844.55
2424 Lapeyrouse St,2424 Lapeyrouse St,Short Term Rental Residential Owner,1.0,2.0,09/14/2023 09:50:29 AM,"(29.9777855765808, -90.073339008153)",3679751.52,539686.06
3624 Cleveland Ave,3624 Cleveland Ave,Short Term Rental Residential Owner,2.0,4.0,09/12/2023 08:09:33 AM,"(29.9706870615063, -90.0973801221302)",3672159.34,536942.87
3205 Conti St,3205 Conti St,Short Term Rental Commercial Owner,3.0,6.0,09/15/2023 11:59:59 PM,"(29.9714255456356, -90.0898195221318)",3674550.16,537237.31
7015 Green St,7015 Green St,Short Term Rental Residential Owner,2.0,4.0,09/10/2023 07:57:13 AM,"(29.9457380458305, -90.118393425341)",3665698.58,527856.29
3704 Clpematis St Apt A,3704 Clematis St Apt A,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9968111122092, -90.0533375702828)",3685997.35,546595.65
334 Carondelet St Unit 404,334 Carondelet St Unit 404,Short Term Rental Commercial Owner,1.0,2.0,08/25/2023 11:59:59 PM,"(29.950972895826, -90.0711708545927)",3680536.32,529864.52
4618 S Robertson St,4618 S Robertson St,Short Term Rental Residential Owner,2.0,4.0,09/12/2023 04:27:23 PM,"(29.9359141474256, -90.1059351148827)",3669586.22,524269.0
3137 Dumaine St,3137 Dumaine St,Short Term Rental Residential Owner,1.0,2.0,09/13/2023 10:23:45 AM,"(29.9758299521178, -90.0868577684838)",3675470.44,538849.11
3616 Magazine St Apt 101,3616 Magazine St Apt 101,Short Term Rental Commercial Owner,2.0,4.0,09/13/2023 11:59:59 PM,"(29.9217710600891, -90.0920912732984)",3674026.51,519173.29
4201 Iris St,4201 Iris St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(30.0016937385022, -90.0522750213543)",3686313.82,548374.92
4816 Ryal St,48d16 Royal St,Short Term Rental Residential Owner,1.0,2.0,09/09/202 11:08:13 AM,"(29.9589886500435, -90.0261256283231)",3694767.43,532939.26
2634 Ursulines Ave,2634 Ursulines Ave,Short Term Rental Residential Owner,2.0,4.0,09/11/2023 12:48:18 PM,"(29.9732750671261, -90.0795896731773)",3677781.61,537945.16
1908 Cambronne St,1908 CambronneSt,Short Term Rental Residential Owner,2.0,4.0,09/14/2023 11:46:02 AM,"(29.9546593545981, -90.1269596116522)",3662855.63,531014.76
6654 Fleur-De-Lis Dr,6654 Fleur-De-Lis Dr,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(30.0134368841695, -90.1184518665145)",3665323.06,552417.09
2836 Aubry St,2836 Aubry St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.983449198925, t-90.0758696173341)",3678918.77,541657.77
2431 Iberville St,2431 Iberville St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.964809531959, -90.0837039221254)",3676512.62,534852.54
535 Bouny St,535 Bouny St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9497594515336, -90.0530838998058)",3686268.81,529486.81
1427 Chartres St,1427 Chartres St,Short Term Rental Residential Owner,5.0,10.0,03/01/2023 12:00:00 AM,"(29.9633461060185, -90.0586396796352)",3684454.49,534407.8
5761 Woodlawn Pl,5671 WoodlawnPl,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9937154108918, -90.1114462239716)",3667616.62,545269.13
3321 Delachaise St,3321 Delachaise St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9440938478095, -90.0996062292125)",3671558.66,527264.97
1222 St Anthony St,1222 St Anthony St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9687785345334, -90.0616847503394)",3683468.41,536372.52
711 S Peters St Apt 101,711 S Peters St Apt 101,Short Term Rental Commercial Owner,2.0,4.0,10/23/2023 11:59:59 PM,"29.94591820656, -90.0659955628554)",3682195.5,528044.54
1142 Marais St,1142 Marais St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9661619312934, -90.0673966458338)",3681670.47,535401.0
3421 Royal St,3421 Roayl St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9625836702214, -90.0411410470172)",3689998.18,534192.61
1085 ohn Churchill Chase St Apt 202,1085 John Churchill Chase St Apt 202,Short Term Rental Commercial Owner,1.0,2.0,08/25/2023 11:59:59 PM,"(29.9411778882279, -90.0700441206019)",3680932.39,526306.63
2753 Jasmine St,2753 Jasmine St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(30.0012102815401, -90.0465050142341)",3688142.04,548219.58
1570 N Dorgenois St,1570 N DorgenoisSt,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9779783709133, -90.0740019916647)",3679531.86,539674.86
73 N Park Pl,73 N Park Pl,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9927408789092, -90.1040181751554)",3669971.65,544939.9
2048 Felicity St,2048 Felicity St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.94045206784, -90.0824445856776)",3677008.05,525999.61
1811 Columbus St,1811 Columbus St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9726046009226, -90.0692352982459)",3681062.47,537737.37
2105 Erato St,2105 Erato St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9435882241894, -90.0797752423416)",3677840.96,527149.27
1824 Bienville Ave,1824 Bienville Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9616665237642, -90.0779610393874)",3678343.48,533729.5
711 S Peters St Apt 203,711 S Peters St Apt 203,Short Term Rental Commercial Owner,2.0,4.0,10/23/2023 11:59:59 PM,"(29.9458739362436, -90.0660331651377)",3682183.77,528028.31
2826 Constance St,2826 Constance St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9249194696425, -90.082390853608)",3677086.73,520351.58
536 S Rocheblave St,536 S Rocheblave St,Short Term Rental Commercial Owner,3.0,6.0,10/22/2023 11:59:59 PM,"(29.9596840105104, -90.0884903399787)",3675017.37,532972.21
722 Weiblen Pl,722 Weiblen Pl,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9861648832998, -90.1091451240205)",3668374.33,542531.23
300m8 Toulouse St,008 Toulouse St,Short Term Rental Commercial Owner,2.0,4.0,10/24/2023 11:59:59 PM,"(29.9717072668062, -90.0872797428112)",3675353.15,537348.49
316 S Salcedo St,316 S Salcedo St,Short Term Rental Residential Owner,1.0,2.0,10/24/2023 03:17:34 PM,"(29.9660380838047, -90.0930840577617)",3673537.8,535267.02
2303 Leonidas St,2303 Leonidas St,Short Term Rental Residential Owner,5.0,10.0,03/01/2023 1r2:00:00 AM,"(29.9584120437792, -90.1256476522642)",3663256.69,532383.76
711 S Peters St Apt 309,711 S Peters St Apt 309,Short Term Rental Commercial Owner,2.0,4.0,10/23/2023 11:59:59 PM,"(29.9458082504698, -90.0661286045262)",3682153.81,528004.09
3917 Elysian Fields Ave,3917 Elysian Fields Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/202 12:00:00 AM,"(29.9983460195327, -90.0587087901549)",3684291.03,547134.85
THE BRANDYWINE BY SEXTANT,888 BARONNE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9450103481091, -90.0740271996016)",3679655.63592,527686.366719
706 General Taylor St,706 General Taylor St,Short Term Rental Residential Owner,2.0,4.0,10/26/2023 08:28:17 AM,"(29.9194957436697, -90.0946651777673)",3673220.14,518337.08
1017 Fourth St Unit C,1017 ourth St Unit C,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9263030321256,-90.0810564044856)",3677503.92,520859.31
3648 Timber Bluff,3648 Timber Bluff,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",86.0,24.0
815 Jackson Ave,815 Jackson Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9275855013121, -90.0748038635905)",3679479.27,521347.36
4915 Magazine St,4915M agazine St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.920483870761, -90.108402246889)",3668864.82,518649.62
3108 Annunciation St,3108 Annunciation St,Short Term Rentla Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9217643058904, -90.0837621247894)",3676664.89,519199.51
1529 Dumaine Sdt,1529 Dumaine St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9649340401282, -90.0708383096266)",3680585.69,534942.47
2505 Upperline St,2505 Upperline St,Short Term Rental Commercial Owner,3.0,6.0,10/26/2023 11:59:59 PM,"(29.93511727279, -90.1071580070144)",3669202.01,523975.08
2334 Napoleon Ave,2334 Napoleon Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9341157306386, -90.1031642537916)",3670470.82,523624.44
202 Baronne St,2020 Baronne St,Short Term Rental Residential Owner,1.0,2.0,10/25/2023 08:59:07 AM,"(29.9369684006616, -90.0809967742771)",3677480.42,524737.83
4854 Magazine St,4854 Maagzine St,Short Term Rental Commercial Owner,4.0,8.0,10/2/2023 11:59:59 PM,"(29.9202107243866, -90.1076270140596)",3669111.45,518552.92
1404 Magazine St,4104 Magazine St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9361305091227, -90.0718096976498)",3680393.44,524465.06
429 Exposition Blvd,429 Exposition Blvd,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9211323553661, -90.1278710050532)",3662695.29,518820.03
219 N Tonti St,219 N Tonti St,Short Term Rental Residential Owner,3.0,2.0,03/01/2023 12:00:00 AM,"(29.9647680086989, -90.0830844972308)",3676708.91,534839.58
4824 Prytania St,4824 Prytania St,Short Term Rental Commercial Owner,3.0,6.0,10/23/2023 11:59:59 PM,"(29.924388016462, -90.10728d65953566)",3669203.03,520073.09
1913 Fourth St,1913 Fourth St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9342629856788, -90.0871457126701)",3675543.67,523732.81
2225 Iberville St,2225 Iberville St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9635173303786, -90.0819723506447)",3677066.01,534388.63
711 S Peters S Apt 210,711 S Peters St Apt 210,Short Term Rental Commercial Owner,1.0,2.0,10/23/2023 11:59:59 PM,"(29.9458725987994, -90.0661798265833)",3682137.33,528027.31
7621 BurtheS t,7621 Burthe St,Short Term Rental Residetial Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.942360609828, -90.1283137295771)",3662473.87,526537.95
1804 Lapeyrouse St,1804 Lapeyrouse St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9739366069969, -90.0677324220572)",3681532.93,538226.99
419 Bellecastle St,419 Bellecastle St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9162118195598, -90.1122104982552)",3667675.05,517083.27
4856 Magazine St,4856 Magazine St,Short Term Rental Commercial Owner,4.0,8.0,10/26/2023 11:59:59 PM,"(29.9202135639867, -90.1076808989503)",3669094.37,518553.77
711 S Peters St Apt 312,711 S Peters St Apt 312,Short Term Rental Commercial Owner,1.0,2.0,10/23/203 11:59:59 PM,"(29.9458102629625, -90.0661947962912)",3682132.84,528004.59
1085 John Churchill Chase St Apt 204,1085 John Churchill Chase St Apt 204,Short Term Rental Commercial Owner,2.0,4.0,08/25/2023 11:59:59 PM,"(29.9412041542478, -90.070035894176)",3680934.89,526316.21
2127 N RampartS t,2127 N Rampart St,Short Term Rental Commercial Owner,3.0,6.0,10/21/2023 11:59:59 PM,"(29.9676392431346, -90.0573070294943)",3684859.06,535973.64
2105 Columbus St,2105 Columbus St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9743494570519, -90.071520907056)",3680331.86,538363.89
2453 N Roman St Apt A,2543 N Roman St Apt A,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9761744392012, -90.0510414260482)",3686808.11,539099.5
2000 Barracks St,2000 Barracks St,Short Term Rental Residential Owner,3.0,6.0,03/01/203 12:00:00 AM,"(29.9706323790027, -90.0720142482842)",3680190.55,537010.5
1516 N Broad St,1516 N Broad St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9778509968608, -90.076292382537)",3678807.27,539620.58
1085 John Churchill Chase St Atp 102,1085 John Churchill Chase St Apt 102,Short Term Rental CommercialOwner,2.0,4.0,08/25/2023 11:59:59 PM,"(29.9411815023503, -90.0700625150546)",3680926.55,526307.88
7710 Jeannette St,7710 Jeannette St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9468717702556, -90.1245036996289)",3663663.19,528191.09
2018 Brutus St,2018 Brutus St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(30.0067093947906, -90.0639857135744)",3682587.1,550157.56
1007 Fourth St,1007 Fourth St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9260697734296, -90.0810502702702)",3677506.79,520774.51
2465 Dauphine St,2465 Dauphine St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9659193896376, -90.0524318361931)",3686409.61,535365.46
1004 Verret St,1004 Verret St,Short Term Rental Commercial Owner,2.0,4.0,08/23/2023 11:59:59 PM,"(29.9453414183886, -90.04998290608)",3687268.8,527891.24
910 Pleasant St,910 Pleasant St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9220330356258, -90.086433999064)",3675817.48,519288.01
1230 N Galvez St Apt 1B,1230 N Galvez St Apt 1B,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9715571451867, -90.0736278409552)",3679675.98,537341.16
3671 Tchoupitoulas St,3671 Tchoupitoulas St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9179771128916, -90.0921012640173)",3674038.29,517793.64
1085 John Churchill Chase St Apt 203,1085 John Churchill Chase St Apt 203,Short Term Rental Commercial Owner,1.0,2.0,08/25/2023 11:59:59 PM,"(29.9411927410987, -90.0700386910142)",3680934.05,526312.05
520 Bordeaux St,520 Bordeaux St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9172824012489, -90.1059681165087)",3669648.34,517493.7
9520 Palm St,9v520 Palm St,Shor tTerm Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.973979221918, -90.1233593669672)",3663923.2,538052.26
1833 N Rampart St,1833 N Rmapart St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00p AM,"(29.9673897877469, -90.0606406917493)",3683804.58,535871.19
831 Opelousas Ave,831 Opelousas Ave,Short Term Rental Commercia Owner,5.0,10.0,10/23/2023 11:59:59 PM,"(29.9484596963761, -90.047402189173)",3688073.35,529034.32
4216 S Johnson St,4216 S Johnson St,Short Term Rental Residential Owner,4.0,8.0,03/01/2023 12:00:00 AM,"(29.9440450159537, -90.1020113206471)",3670797.18,527239.02
1020 Race St Apt 2,1020 Race St Apt 2,Short Term Rental Commercial Owner,2.0,4.0,10/23/2023 11:59:59 PM,"(29.9341362841875, -90.0719066403176)",3680370.72,523739.55
1022 Race St Apt 3,1022 Race St Apt 3,Short Term Rental Commercial Owner,2.0,4.0,10/23/2023 11:59:59 PM,"(29.9341203891401, -90.0719697355377)",3680350.8,523733.55
223 S Salcedo St,223 S Salcedo St,Shrt Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9669865183263, -90.0927681155515)",3673634.1,535612.99
1212 Alvar St,1212 Alvar St,Short Term Rental Residential Owner,2.0,4.0,10/25/2023 08:43:15 AM,"(29.9671464880933, -90.0360975193289)",3691576.33,535869.86
1822 Bienville Ave,1822 Bienville Ave,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9616517927039, -90.0779446756931)",3678348.72,533724.2
1118 N Prieur St,1118 N Prieur St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9694559743583, -90.0727590106983)",3679959.46,536580.12
711 S Peters St Apt 311,711 S Peters t Apt 311,Short Term Rental Commercial Owner,2.0,4.0,10/23/2023 11:59:59 PM,"(29.945806907846, -90.0661743226733)",3682139.33,528004.09
630 S Rendon St,630 S Rendon St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9639638819725, -90.0972463711305)",3672237.06,534540.52
1085 John Churchill Chase St Apt 201,1085 John Churchill Chase St Apt 201,Short Term Rental Commercial Owner,1.0,2.0,08/25/2023 11:59:59 PM,"(29.941164476944, -90.0700482313766)",3680931.14,526301.91
3919 Coliseum St,3919 Coliseum St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9241544485q725, -90.0963817043575)",3672658.11,520025.28
2826 Baronne St,2826 Baronne St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9322319666134, -90.0878215674762)",3675337.64,522991.93
1809 Camp St,1809 Camp St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9329191938626, -90.0744796313849)",3679560.66,523288.01
1825 Pauger St,1825 Pauger St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:0 AM,"(29.9689017446435, -90.0603432393669)",3683892.65,536422.04
3725 Annunciation St,3725 Annunciation St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9188192004532, -9m0.0931634603163)",3673698.5,518096.21
1663 N Villere St,1663 N Vilere St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9713723229505, -90.0630767839969)",3683017.22,537310.83
5721 Burgundy St,5721 Burgundy St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9587394115642, -90.0148734086119)",3698331.39,532889.45
1365 Constance St,1365 Constance St,Short Term Rental Residential Owner,5.0,10.0,03/01/2023 12:00:00 AM,"(29.9365822018886, -90.0707036890753)",3680741.92,524633.17
641 Congress St,641 Congress St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9621563236409, -90.0399797060816)",3690367.65,534041.36
1328 Clara St,1328 Clara St,Shrt Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.946214313426, -90.0859826430789)",3675864.73,528082.76
5k29 Napoleon Ave,529 Napoleon Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.917681698264, -90.1009091446434)",3671249.34,517656.1
3021 De Soto St,3021 De Soto St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9784631330005, -90.0833046981213)",3676584.86,539818.89
1727 Clio St,1727 Clio St,Short Term Rental Commercial Owner,4.0,8.0,10/13/2023 11:59:59 PM,"(29.9424808952421, -90.0756617165522)",3679148.1,526760.88
430 Eighth St,430 Eighth St,Short Term Rental Commercial Owner,5.0,10.0,10/27/2023 11:59:59 PM,"(29.9200843512261, -90.0822630463915)",3677146.41,518593.8
1202 Camp St,1202 Camp St,Short Term Rental Residential Owner,5.0,10.0,03/01/2023 12:00:00 AM,"(29.9394276904207, -90.0721465088741)",3680273.57,525662.86
4643 Dart St,4643 Dart St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9565063415556, -90.1073328943063)",3669063.4,531752.36
4416 S Carrollton Ave,4416 S Carrollton Ave,Short Term Rental Commercial Owner,3.0,6.0,09/20/2n023 11:59:59 PM,"(29.971464180582, -90.1035272997845)",3670210.07,537204.52
1240 Magazine St,1240 Magazine St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9384142446171,s -90.0710954030913)",3680610.52,525298.0
1121 Terpsichore St,1121 Terpsichore St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9365262603638, -90.0724119303347)",3680201.12,524606.87
