1624.mailingaddress,b3101 West Edison St,3101 West Edison St
149.schoolsite,BOWLEGS HS                    ***,BOWLEGS HS                    
1630.district,TULSA                     r    ,TULSA                         
1352.statevalue,KO,OK
323.statevalue,bOK,OK
1604.principal,Rebecca Baocn,Rebecca Bacon
104.mailingaddress,6721 Northwest 42NdSt,6721 Northwest 42Nd St
1058.schoolsite,IRVING MS                     ***,IRVING MS                     
678.principalemail,aestes@hollis.k12.oku.s,aestes@hollis.k12.ok.us
1079.city,Okarcfhe,Okarche
705.county,COMANHCE    ,COMANCHE    
1101.mailingaddress,204W . Date,204 W. Date
1189.city,Okblahoma City,Oklahoma City
1608.mailingaddress,1110 East 45th Palce,1110 East 45th Place
175.statevalue,KO,OK
1174.telephone,(405x) 587-4200,(405) 587-4200
676.county,UHGHES      ,HUGHES      
1123.gradeslowhigh,PjK-06,PK-06
405.county,OKMaULGEE    ,OKMULGEE    
296.principal,Donna Pillqars,Donna Pillars
1600.county,TULSA      ,TULSA       
153.city,Marolw,Marlow
829.county,CRATER      ,CARTER      
154.principalemail,jvines@braydoyle.k12o.k.us,jvines@braydoyle.k12.ok.us
1299.schoolsite,PORUM ES                      ***,PORUM ES                      
472.mailingaddress,w215 West Danforth Road,215 West Danforth Road
785.schoolsite,RIDGECREST ES        i         ,RIDGECREST ES                 
387.schoolsite,DAIDSON HS                   ,DAVIDSON HS                   
203.schoolsite,BUTNER HSg                     ,BUTNER HS                     
1252.principal,Boqbby Miller,Bobby Miller
1282.city,Pocoal,Pocola
232.telephone,(580) 886-251,(580) 886-2251
308.codistcode,6k6-I001,66-I001
324.telephone,(580) 26-2198,(580) 296-2198
793.telephone,(580) 355-6197***,(580) 355-6197
580.telephone,(918) 32-9500,(918) 322-9500
268.city,Cehcotah,Checotah
928.district,MILL CREEK                   ,MILL CREEK                    
508.county,GARFIEkLD    ,GARFIELD    
1144.statevalue,KO,OK
1664.gradeslowhigh,KP-05,PK-05
457.district,EDMOND                        ***,EDMOND                        
1314.city,Pyror,Pryor
457.telephone,(405) 340-970,(405) 340-2970
268.telephone,(k918) 473-5912,(918) 473-5912
696.district,HULBERT                       ***,HULBERT                       
1610.mailingaddress,646 South 73rd East Ave,6646 South 73rd East Ave
84.statevalue,qOK,OK
1473.statevalue,KO,OK
1518.schoolsite,SEQUOYAH ES            k       ,SEQUOYAH ES                   
832.district,LONE WOFL                     ,LONE WOLF                     
410.principalemail,bdaugge@deweyk12.org,badugge@deweyk12.org
993.district,MUSKOGEE                t      ,MUSKOGEE                      
1270.principalemail,jedelen@pioneerk8.k12.okus,jedelen@pioneerk8.k12.ok.us
1222.principalemail,jodi.james-gilliland@owaussops.org,jodi.james-gilliland@owassops.org
197.telephone,(98) 522-4803,(918) 522-4803
519.telephone,(918) 689-682,(918) 689-2682
787.mailingaddress,501 Northwest Woodridge Drve,501 Northwest Woodridge Drive
902.district,MIDWEST CITY-DE CITY,MIDWEST CITY-DEL CITY
895.schoolsite,WILSONi ES                     ,WILSON ES                     
807.gradeslowhigh,09-21,09-12
1407.district,SAPULPA                      ,SAPULPA                       
572.codistcode,06-I008,06-I080
1477.principalemail,sfehring@sterling.k12.okz.us,sfehring@sterling.k12.ok.us
825.county,KINGFSIHER  ,KINGFISHER  
255.schoolsite,CENTRAL ES         j           ,CENTRAL ES                    
780.city,uLawton,Lawton
364.county,OLGAN       ,LOGAN       
1224.schoolsite,HAYWARD SMITH ES              ***,HAYWARD SMITH ES              
321.mailingaddress,2 West Cjedar,2 West Cedar
1083.county,OKLAHOA    ,OKLAHOMA    
773.gradeslowhigh,060-8,06-08
1651.schoolsite,TURNER HS                 k    ,TURNER HS                     
928.schoolsite,MILL CREEK ES                ,MILL CREEK ES                 
420.principalemail,sclne@dover.k12.ok.us,scline@dover.k12.ok.us
499.gradeslowhigh,PK-oPK,PK-PK
161.mailingaddress,20 N. Main,420 N. Main
1283.schoolsite,POCOLAH S                     ,POCOLA HS                     
274.city,Cheroke,Cherokee
1495.gradeslowhigh,PK-4,PK-04
739.telephone,(918) 966-314t1,(918) 966-3141
301.codistcode,4-I092,44-I092
736.statevalue,KO,OK
1741.district,WEATHERFORD   s                ,WEATHERFORD                   
56.city,Admore,Ardmore
1445.mailingaddress,1001 orth Kennedy St,1001 North Kennedy St
521.mailingaddress,17l17 W. Jm Bailey Hwy,1717 W. Jm Bailey Hwy
738.schoolsite,KENWOOiD PUBLIC SCHOOL         ,KENWOOD PUBLIC SCHOOL         
49.district,ANLERS                       ,ANTLERS                       
1126.district,OKLAHOMA CITY                ,OKLAHOMA CITY                 
1086.codistcode,55E-010,55-E010
37.statevalue,KO,OK
1826.gradeslowhigh,06-80,06-08
837.district,LUKFATA        c               ,LUKFATA                       
1755.district,WELSLTON                      ,WELLSTON                      
407.mailingaddress,PO Bo 790,PO Box 790
1366.telephone,(580) 883-2201***,(580) 883-2201
1050.city,Noman,Norman
1759.gradeslowhigh,PK-40,PK-04
341.schoolsite,ALEXANDER ES                 ,ALEXANDER ES                  
52.statevalue,KO,OK
495.principalemail,jskiles@empireschool.org,jskiles@empireschools.org
1371.principalemail,rcordell@rcokcreekisd.net,rcordell@rockcreekisd.net
1216.county,ROGERS  e    ,ROGERS      
1615.telephone,(918) 33-9700,(918) 833-9700
1419.statevalue,KO,OK
1425.principal,Mihcele Sneed,Michele Sneed
858.principal,Brandi Naylro,Brandi Naylor
761.schoolsite,KINTA HS                     ,KINTA HS                      
381.county,OTTAWATOMIE,POTTAWATOMIE
540.city,Fort Cbob,Fort Cobb
1341.telephone,(405u) 787-3660,(405) 787-3660
72.statevalue,OiK,OK
227.statevalue,KO,OK
1267.city,Pedmont,Piedmont
972.gradeslowhigh,0z9-12,09-12
818.codistcode,1-I070,14-I070
12.mailingaddress,PO Bcox 197,PO Box 197
1432.principalemail,steve.johnson@lsequoyaheagles.net,steve.johnson@sequoyaheagles.net
973.mailingaddress,O Box 80,PO Box 80
863.principalemail,rbrown@maryetta.k1.2ok.us,rbrown@maryetta.k12.ok.us
1813.mailingaddress,315 East Chicagro,315 East Chicago
160.principalemail,vgroom@bristow.k12.ok.ums,vgroom@bristow.k12.ok.us
692.codistcode,e12-I039,12-I039
1135.telephone,(405) 587-600,(405) 587-5600
888.codistcode,41-I05,41-I095
1173.gradeslowhigh,v09-12,09-12
1096.codistcode,5-E002,55-E002
748.principal,Cragi Garner,Craig Garner
1504.statevalue,OuK,OK
1634.principalemail,martielt@ulsaschools.org,martiel@tulsaschools.org
131.codistcode,d47-I029,47-I029
1583.city,Tuylsa,Tulsa
1061.schoolsite,HWITTIER MS                   ,WHITTIER MS                   
582.district,GLENPOOL                   l   ,GLENPOOL                      
1749.district,WELCH                         ***,WELCH                         
742.gradeslowhigh,6-08,06-08
1748.mailingaddress,PO Box 18e9,PO Box 189
1673.county,TUSA       ,TULSA       
224.gradeslowhigh,09-1j2,09-12
1819.telephone,(405)j 354-6601,(405) 354-6601
273.gradeslowhigh,PcK-05,PK-05
1393.mailingaddress,POBox 970,PO Box 970
204.city,dAa,Ada
925.county,OLKAHOMA    ,OKLAHOMA    
674.county,EL FLORE    ,LE FLORE    
1248.mailingaddress,1700 yLnn Ave,1700 Lynn Ave
358.principalemail,xgary.ellis@cowetaps.org,gary.ellis@cowetaps.org
893.mailingaddress,12 G St Northeast,129 G St Northeast
361.schoolsite,COLYE HS                      ,COYLE HS                      
1437.telephone,(80) 938-2222,(580) 938-2222
469.district,EDMOND                        ***,EDMOND                        
694.codistcode,11-I106,11-I016
983.gradeslowhigh,09y-12,09-12
1180.principal,Jonh Kirk Wilson,John Kirk Wilson
1004.mailingaddress,320 East Shawnee Road,3200 East Shawnee Road
1595.mailingaddress,1132 North oVandalia Ave,1132 North Vandalia Ave
1290.city,Pnca City,Ponca City
587.telephone,(91)8 489-5587,(918) 489-5587
803.statevalue,K,OK
491.statevalue,K,OK
969.schoolsite,WESTMOORE HS      e            ,WESTMOORE HS                  
490.mailingaddress,222 West Broadway Ae,222 West Broadway Ave
278.county,ROER MILLS ,ROGER MILLS 
1510.telephone,(91)8 546-2474,(918) 546-2474
1617.codistcode,72-I01,72-I001
1081.gradeslowhigh,P-K08,PK-08
432.schoolsite,MARK TWAIfN ES                 ,MARK TWAIN ES                 
462.codistcode,55-I021,55-I012
1480.county,HASKELL    g ,HASKELL     
820.principalemail,carriet.ucker@littleaxeps.org,carrie.tucker@littleaxeps.org
1590.schoolsite,MARSAHLL ES                   ,MARSHALL ES                   
1545.statevalue,KO,OK
531.statevalue,OqK,OK
1464.gradeslowhigh,9-12,09-12
1598.mailingaddress,213 8East 48th St North,2138 East 48th St North
1113.gradeslowhigh,PK-e06,PK-06
998.statevalue,K,OK
1367.county,PAYNE      ,PAYNE       
1534.gradeslowhigh,0i9-12,09-12
409.district,DeEWEY                         ,DEWEY                         
627.principal,achel Collins,Rachel Collins
155.county,RGADY       ,GRADY       
500.schoolsite,COOLIDGE S                   ,COOLIDGE ES                   
632.gradeslowhigh,PK-m08,PK-08
1741.schoolsite,WEATHERFORDe EAST ES           ,WEATHERFORD EAST ES           
176.mailingaddress,01 East Omaha St,301 East Omaha St
1524.principal,Cindly Buchanan,Cindy Buchanan
213.schoolsite,CACHE HS        m              ,CACHE HS                      
1388.schoolsite,LIBERTY ES                   ,LIBERTY ES                    
1084.mailingaddress,4091 N Lincoln Blvd,4901 N Lincoln Blvd
4.district,ACHILEL                       ,ACHILLE                       
1164.city,Oklahomal City,Oklahoma City
332.district,COLLINSVILLE                 ,COLLINSVILLE                  
557.principal,iKay Cabaniss,Kay Cabaniss
1816.mailingaddress,Rt. 1 Box 13,Rt. 1 Box 31
1478.codistcode,1-6I003,16-I003
103.principal,Reuen Bellows,Reuben Bellows
339.codistcode,69-I00t2,69-I002
1388.telephone,(918) 775-7441,(918) 775-4741
921.county,OKLAHOAM    ,OKLAHOMA    
1223.gradeslowhigh,PK-b05,PK-05
1093.principal,Michael Fiigueroa,Michael Figueroa
1593.codistcode,7-I001,72-I001
1151.statevalue,OoK,OK
119.telephone,(918) 636-2669,(918) 366-2669
1657.mailingaddress,PO Bo x780,PO Box 780
148.county,fSEMINOLE    ,SEMINOLE    
1131.codistcode,55-I08t9,55-I089
1626.telephone,(918) 7468500,(918) 746-8500
709.district,INOLA                        ,INOLA                         
1563.principal,Elaine Buton,Elaine Buxton
1769.gradeslowhigh,yPK-08,PK-08
386.schoolsite,DAVIDSON ES       m            ,DAVIDSON ES                   
381.city,Dael,Dale
1736.schoolsite,WAYNE E                      ,WAYNE ES                      
1421.telephone,(850) 922-7381,(580) 922-7381
420.gradeslowhigh,K-08,PK-08
304.statevalue,K,OK
663.statevalue,K,OK
236.county,CADDO      ,CADDO       
635.telephone,(58)0 888-4258,(580) 888-4258
935.statevalue,K,OK
461.codistcode,55-rI012,55-I012
367.statevalue,iOK,OK
1507.statevalue,K,OK
1190.principalemail,mfigueroa@santafesoubth.org,mfigueroa@santafesouth.org
1192.schoolsite,DOVE SCIENCE ACADEMYE S (OKC) ,DOVE SCIENCE ACADEMY ES (OKC) 
731.mailingaddress,275W  Main,275 W Main
1422.statevalue,OuK,OK
729.gradeslowhigh,PfK-08,PK-08
117.county,TULSA       ***,TULSA       
1413.codistcode,67-010,67-I010
1237.telephone,(918) 63-2215,(918) 963-2215
1078.principal,Cinda Schaeefr,Cinda Schaefer
104.codistcode,55I088,55-I088
1417.telephone,(580 )928-5578,(580) 928-5578
1607.district,TUSA                         ,TULSA                         
777.principalemail,labell@latwonps.org,labell@lawtonps.org
310.telephone,(918 569-4156,(918) 569-4156
750.mailingaddress,4600 West d151st St,4600 West 151st St
800.codistcode,1-6I008,16-I008
1089.schoolsite,INDEPENDENC CHARTER MS       ,INDEPENDENCE CHARTER MS       
685.principalemail,ed@hominy.k12.okl.us,ed@hominy.k12.ok.us
740.codistcode,1-I043,31-I043
904.codistcode,55-yI052,55-I052
1676.schoolsite,THOMASl JEFFERSON ES           ,THOMAS JEFFERSON ES           
1046.telephone,(405) 366-59w04,(405) 366-5904
1159.principalemail,smarshjall-armstron@okcps.org,smarshall-armstron@okcps.org
51.mailingaddress,21t9 Ne A St,219 Ne A St
522.telephone,(91) 676-3224,(918) 676-3224
155.mailingaddress,2209 East Soone Road,2209 East Sooner Road
1712.codistcode,7-I019,73-I019
214.statevalue,K,OK
1376.principalemail,lwigigns@rolandschools.org,lwiggins@rolandschools.org
419.county,TULAS       ,TULSA       
1179.codistcode,55l-I089,55-I089
1157.schoolsite,WHEELERw ES                    ,WHEELER ES                    
858.county,LOVE       ,LOVE        
156.mailingaddress,2209 East Sooner Raod,2209 East Sooner Road
1485.telephone,4(05) 533-6390,(405) 533-6390
977.schoolsite,ORRISON MS                   ,MORRISON MS                   
29.gradeslowhigh,PKu-04,PK-04
681.schoolsite,HOLLY CREEK PUBLIC SCHOtOL     ,HOLLY CREEK PUBLIC SCHOOL     
793.district,LAWTON                        ***,LAWTON                        
207.district,BYNG                          ***,BYNG                          
1691.gradeslowhigh,0-608,06-08
371.codistcode,60-067,60-I067
491.city,Elk Ciyt,Elk City
1829.schoolsite,ZION PUBLIC SCOHOL            ,ZION PUBLIC SCHOOL            
335.city,Colwlinsville,Collinsville
676.city,Holdenvilel,Holdenville
1826.principalemail,diaa.lebsack@yukonps.com,diana.lebsack@yukonps.com
494.statevalue,OyK,OK
517.telephone,580) 526-3203,(580) 526-3203
843.schoolsite,MADILL ES       l              ,MADILL ES                     
572.gradeslowhigh,KP-05,PK-05
308.county,ROGERS  m    ,ROGERS      
699.city,Hydo,Hydro
202.principal,Melisa Walden,Melissa Walden
761.district,KINTA                         ***,KINTA                         
1.telephone,(405) 99m0-2282,(405) 990-2282
1124.telephone,(405) 587-r5800,(405) 587-5800
762.statevalue,tOK,OK
1091.principal,manda Kissling,Amanda Kissling
670.gradeslowhigh,0k9-12,09-12
815.gradeslowhigh,P-K05,PK-05
1194.mailingaddress,P OBox 130,PO Box 130
260.principalemail,lhart@chandler.k12.hok.us,lhart@chandler.k12.ok.us
1223.mailingaddress,1501 North Ah St,1501 North Ash St
24.principal,Mizchael James,Michael James
1492.principalemail,mlkea@stilwellk12.org,mlea@stilwellk12.org
26.schoolsite,ALLEN-BOWDEN PULIC SCHOOL    ,ALLEN-BOWDEN PUBLIC SCHOOL    
259.district,CENTRLA HIGH                  ,CENTRAL HIGH                  
336.city,Collinosville,Collinsville
1516.principal,Casy Reed,Casey Reed
199.statevalue,K,OK
1268.telephone,(405)3 73-1315,(405) 373-1315
1638.principal,Chelsea Vanaccore,Chelsea Vanacore
52.city,rAapaho,Arapaho
437.principalemail,lis.awhitley@durantisd.org,lisa.whitley@durantisd.org
1781.schoolsite,WpICKLIFFE PUBLIC SCHOOL       ,WICKLIFFE PUBLIC SCHOOL       
1349.principalemail,jdawson@quapawv.k12.ok.us,jdawson@quapaw.k12.ok.us
1213.principalemail,bdruryy@olustee.k12.ok.us,bdrury@olustee.k12.ok.us
400.county,GRATN       ,GRANT       
1229.county,TwULSA       ,TULSA       
1425.codistcode,6e7-I001,67-I001
784.county,COMANCE    ,COMANCHE    
1656.principal,Barr ySimpson,Barry Simpson
723.district,JENKS                         ***,JENKS                         
900.county,MCINTtOSH    ,MCINTOSH    
1258.county,PAYNE      ,PAYNE       
528.statevalue,KO,OK
1481.district,STIGLER                       ***,STIGLER                       
518.principalemail,jkelly@ericps.k12.ok.us,jkelly@erickps.k12.ok.us
762.district,KIOWA                        ,KIOWA                         
1703.telephone,(580) 99m5-4251,(580) 995-4251
543.statevalue,KO,OK
285.city,Endi,Enid
303.principalemail,rfay@claremore.k12.ok.s,rfay@claremore.k12.ok.us
1550.district,TISHOMNIGO                    ,TISHOMINGO                    
100.codistcode,72-Iz010,72-I010
426.principalemail,jmatthes@drumrijght.k12.ok.us,jmatthes@drumright.k12.ok.us
1262.district,PnERRY                         ,PERRY                         
1231.telephone,(918) 272-6247,(918) 272-6274
987.statevalue,KO,OK
683.county,OSAGE       ***,OSAGE       
461.telephone,(405) 340-22g70,(405) 340-2270
401.gradeslowhigh,***,-
823.principalemail,cgraves@l.gk12.ok.us,cgraves@lg.k12.ok.us
912.county,OKLAHOMAk    ,OKLAHOMA    
974.statevalue,OnK,OK
358.telephone,(981) 486-4474,(918) 486-4474
315.codistcode,59I006,59-I006
1521.district,TAHLEQUAH                     ***,TAHLEQUAH                     
1037.statevalue,pOK,OK
1300.city,orum,Porum
1376.codistcode,8-I005,68-I005
1804.gradeslowhigh,K-05,PK-05
1657.codistcode,26-097,26-I097
675.district,HOLDENVILLE    c               ,HOLDENVILLE                   
288.city,Chotcaw,Choctaw
645.county,MUSKOGEE   a ,MUSKOGEE    
1044.schoolsite,JEFFERSON ES                  ***,JEFFERSON ES                  
557.principalemail,kcabaniss@fredeickbombers.net,kcabaniss@frederickbombers.net
482.city,Elin,Elgin
1666.district,UNwION                         ,UNION                         
1467.codistcode,63C-032,63-C032
1147.county,OKLAHOAM    ,OKLAHOMA    
393.schoolsite,PRAIRIE VAL EES               ,PRAIRIE VALE ES               
776.statevalue,K,OK
634.schoolsite,HARDESTY ES                  ,HARDESTY ES                   
1801.codistcode,84-I039,48-I039
223.codistcode,40-jI017,40-I017
500.statevalue,KO,OK
1585.schoolsite,LANIERE S                     ,LANIER ES                     
1151.principal,Sndy Jackson,Sandy Jackson
734.codistcode,19-jI031,19-I031
430.statevalue,K,OK
1073.schoolsite,OAKDALE PUBLIC SCHOOL         ***,OAKDALE PUBLIC SCHOOL         
1560.codistcode,2-I001,72-I001
1311.schoolsite,PRUE ES                       ***,PRUE ES                       
1140.schoolsite,PARMELEE ES                  ,PARMELEE ES                   
1772.principal,Pat Henslye,Pat Hensley
1106.telephone,(405) 5872500,(405) 587-2500
1493.principalemail,dgirdner@stilwellki12.org,dgirdner@stilwellk12.org
125.codistcode,36-0I45,36-I045
701.county,CCURTAIN   ,MCCURTAIN   
1769.city,Wetumska,Wetumka
1074.schoolsite,OAKS-MIlSSION ES               ,OAKS-MISSION ES               
188.district,BROKEN ARROW                  ***,BROKEN ARROW                  
97.telephone,(918) 69-7181,(918) 696-7181
636.county,AOKA       ,ATOKA       
1379.county,GRADY       ***,GRADY       
1709.codistcode,73-I091,73-I019
578.principal,TammyL ane,Tammy Lane
393.principalemail,andersonm@deercreek.k2.ok.us,andersonm@deercreek.k12.ok.us
1548.city,Tpton,Tipton
785.statevalue,KO,OK
868.county,GARVNI      ,GARVIN      
55.district,ARDMORE                       ***,ARDMORE                       
811.principalemail,dmcclain@lexington.k12.ko.su,dmcclain@lexington.k12.ok.su
16.statevalue,K,OK
1669.codistcode,7-I009,72-I009
869.telephone,(8t88) 806-5330,(888) 806-5330
181.county,TULSA      ,TULSA       
1614.principalemail,smithki5@tulsaschoosl.org,smithki5@tulsaschools.org
145.schoolsite,BeOSWELL ES                    ,BOSWELL ES                    
477.principalemail,mbrower@elrenops.rog,mbrower@elrenops.org
266.city,Cehcotah,Checotah
1139.principalemail,cpayne@okcps.org,rcpayne@okcps.org
67.schoolsite,ASTE CCHARTER MS              ,ASTEC CHARTER MS              
1340.statevalue,KO,OK
1687.city,da,Ada
1459.gradeslowhigh,09-v12,09-12
1687.schoolsite,VANOSS HS                     ***,VANOSS HS                     
849.county,CREEK w      ,CREEK       
930.city,Olahoma City,Oklahoma City
1396.principalemail,karen.biggs@sandites.orsg,karen.biggs@sandites.org
224.county,LE FLOE    ,LE FLORE    
1283.county,LE FOLRE    ,LE FLORE    
321.gradeslowhigh,P-06,PK-06
1530.codistcode,63-0I92,63-I092
28.principal,Cehryl Anderson,Cheryl Anderson
725.principal,Josep Pierce,Joseph Pierce
484.statevalue,OvK,OK
533.principalemail,sbute@rfletcherschools.org,sbuter@fletcherschools.org
1136.city,Nicholas Hills,Nichols Hills
1485.city,Stillwather,Stillwater
1042.principal,T Bell,Ty Bell
623.schoolsite,NORTH PARKw ES                 ,NORTH PARK ES                 
1619.codistcode,72I-001,72-I001
535.statevalue,jOK,OK
1091.mailingaddress,496 South Santa Fe,4906 South Santa Fe
579.principal,Chad Sper,Chad Speer
443.statevalue,OrK,OK
1602.mailingaddress,724 N Birminham,724 N Birmingham
1252.schoolsite,PAWNEE HS     o                ,PAWNEE HS                     
950.statevalue,KO,OK
331.telephone,(580) 93y7-4418,(580) 937-4418
1613.statevalue,K,OK
1168.county,OKLAOMA    ,OKLAHOMA    
127.district,BLAIR                 p        ,BLAIR                         
926.city,Mlburn,Milburn
1317.gradeslowhigh,10-21,10-12
431.principalemail,koree.wilkerson@duvncanps.org,koree.wilkerson@duncanps.org
61.principal,Cyal alden,Cyal Walden
42.telephone,(405) 224-4071,(405) 224-4017
1293.principalemail,dilbet@pqcps.us,dilbet@pcps.us
1243.district,PAULS VALLEY                 ,PAULS VALLEY                  
1252.telephone,918) 762-3676,(918) 762-3676
525.principalemail,mvma@uroraok.org,mvm@auroraok.org
898.gradeslowhigh,09-21,09-12
2.schoolsite,ABLE CHARTER ScCHOOL 9TH-12TH  ,ABLE CHARTER SCHOOL 9TH-12TH  
503.principalemail,jbrainey@eindk12.org,jbrainey@enidk12.org
981.mailingaddress,8087 Esat 134 Road,8087 East 134 Road
683.codistcode,57-I083,57-I038
70.gradeslowhigh,60-08,06-08
102.county,TLUSA       ,TULSA       
45.city,mAnadarko,Anadarko
503.codistcode,24-I507,24-I057
714.principal,arvin Stockton,Marvin Stockton
485.mailingaddress,222 West Broadwy Ave,222 West Broadway Ave
285.county,GAFIELD    ,GARFIELD    
853.county,CREEK      ,CREEK       
129.district,BLANCHARD                    ,BLANCHARD                     
1789.gradeslowhigh,PK08,PK-08
395.statevalue,KO,OK
588.codistcode,68-uI006,68-I006
1035.statevalue,KO,OK
768.district,KREMLIN-HILLSDALE            ,KREMLIN-HILLSDALE             
484.city,Elgni,Elgin
1130.statevalue,xOK,OK
1714.statevalue,tOK,OK
1084.principal,Knuni Yilmaz,Kanuni Yilmaz
873.district,MCALESTER                     ***,MCALESTER                     
1332.telephone,(405) 789s-7068,(405) 789-7068
601.principal,Listkena Prickett,Listena Prickett
233.gradeslowhigh,0e9-12,09-12
1078.statevalue,yOK,OK
1745.principal,MarkShadid,Mark Shadid
490.county,BgECKHAM     ,BECKHAM     
1277.schoolsite,PLAINVIlEW INTERMEDIATE ES     ,PLAINVIEW INTERMEDIATE ES     
1715.city,Watlers,Walters
1003.principalemail,pegg.jones@mpsi20.org,peggy.jones@mpsi20.org
1040.city,Nrman,Norman
982.city,Mfounds,Mounds
1049.codistcode,4-I029,14-I029
1764.statevalue,K,OK
1829.principal,JoeyO 'neal,Joey O'neal
1035.schoolsite,KATHERINE I. DAILY aES         ,KATHERINE I. DAILY ES         
1459.district,SMITVHILLE                    ,SMITHVILLE                    
1043.district,NORMAN            a            ,NORMAN                        
1729.city,Wtts,Watts
517.city,rEick,Erick
170.telephone,(918) 25m9-4490,(918) 259-4490
1508.schoolsite,STROUD HS                  b   ,STROUD HS                     
815.mailingaddress,42 Sw 8Th,402 Sw 8Th
754.principalemail,kkaxdavy@kingfisher.k12.ok.us,kkadavy@kingfisher.k12.ok.us
291.schoolsite,oJAMES GRIFFITH INTERMEDIATE ES,JAMES GRIFFITH INTERMEDIATE ES
1282.schoolsite,POCLA MS                     ,POCOLA MS                     
1666.mailingaddress,8506 E. 61fst,8506 E. 61st
169.schoolsite,qARROWHEAD ES                  ,ARROWHEAD ES                  
1814.principalemail,bros@yale.k12.ok.us,brose@yale.k12.ok.us
1214.county,OGERS      ,ROGERS      
1485.county,PAYNE       ***,PAYNE       
702.district,IDAEBL                        ,IDABEL                        
587.county,SpEQUOYAH    ,SEQUOYAH    
1085.gradeslowhigh,***,-
483.city,Elginn,Elgin
190.mailingaddress,108 Wes tFifth St,108 West Fifth St
1083.telephone,(405c) 524-9762,(405) 524-9762
1793.county,OSAGqE       ,OSAGE       
666.statevalue,K,OK
855.county,CwANADIAN    ,CANADIAN    
186.city,Brken Arrow,Broken Arrow
1642.district,TULSA CHARTER: COLELGIATE HALL,TULSA CHARTER: COLLEGIATE HALL
43.schoolsite,ANADARKO EAST ES f             ,ANADARKO EAST ES              
206.gradeslowhigh,PK-n03,PK-03
1657.telephone,(405) 3812486,(405) 381-2486
1249.county,OSAGE       ***,OSAGE       
1257.principalemail,djbole@p-t.k12.ok.us,djboles@p-t.k12.ok.us
1225.gradeslowhigh,PK-50,PK-05
726.city,yJones,Jones
1613.codistcode,72-I00p1,72-I001
1451.principalemail,jg.atwood@siloisd.org,j.atwood@siloisd.org
66.mailingaddress,PO Bo x168,PO Box 168
232.county,BLAIN      ,BLAINE      
674.district,HODGEN           j             ,HODGEN                        
1740.principalemail,meriwetm@waynoka.k12.okus,meriwetm@waynoka.k12.ok.us
1821.codistcode,09-I207,09-I027
764.principalemail,wilsonk@konawa.k12.ok.vus,wilsonk@konawa.k12.ok.us
841.county,POTTAWTOMIE,POTTAWATOMIE
888.schoolsite,MEEKER MS                     ***,MEEKER MS                     
600.statevalue,KO,OK
999.statevalue,KO,OK
1327.city,klahoma City,Oklahoma City
1416.gradeslowhigh,PK-0k5,PK-05
1394.statevalue,KO,OK
43.county,CADDO      ,CADDO       
696.codistcode,11u-I016,11-I016
806.principalemail,ddanielson@eledey.k12.ok.us,ddanielson@leedey.k12.ok.us
1590.county,TULSA       ***,TULSA       
1295.district,POND CREEK-HUNTE R            ,POND CREEK-HUNTER             
299.mailingaddress,P OBox 969,PO Box 969
952.principalemail,kevinmcelroym@ooreschools.com,kevinmcelroy@mooreschools.com
1507.schoolsite,STROUD MS                    ,STROUD MS                     
234.principal,Josh Woodosn,Josh Woodson
104.statevalue,K,OK
374.city,Cuhing,Cushing
1388.district,SALLISAW                     ,SALLISAW                      
1284.city,onca City,Ponca City
1312.principal,Tom Scuklly,Tom Scully
1156.principalemail,drobertson@okcps.org,sdrobertson@okcps.org
1365.principalemail,bowers@ringwood.k12.ok.us,dbowers@ringwood.k12.ok.us
195.mailingaddress,POr Box 130,PO Box 130
1041.codistcode,14w-I029,14-I029
1545.gradeslowhigh,u10-12,10-12
215.mailingaddress,PO Box 18,PO Box 128
773.statevalue,KO,OK
88.gradeslowhigh,P-K08,PK-08
316.principalemail,janalyn.taylor@clintonokschool.sorg,janalyn.taylor@clintonokschools.org
1398.mailingaddress,POg Box 970,PO Box 970
1185.principalemail,ruthie.rayner@wvacajdemy.com,ruthie.rayner@wvacademy.com
373.city,ushing,Cushing
845.schoolsite,MADILL HS                     ***,MADILL HS                     
1139.county,OKLAHOMaA    ,OKLAHOMA    
1748.principal,Kizm Hall,Kim Hall
1474.city,Sipro,Spiro
929.district,MILL REEK                    ,MILL CREEK                    
1723.gradeslowhigh,PK-5,PK-05
772.county,PONTOsTOC    ,PONTOTOC    
1551.district,TISHOMINGO                    ***,TISHOMINGO                    
200.principalemail,davisl@bfdck12.ok.us,davisl@bfdc.k12.ok.us
264.gradeslowhigh,PK08,PK-08
1658.mailingaddress,PO Bxo 780,PO Box 780
925.statevalue,OrK,OK
1468.principalemail,cmidgley@sapvinawok.net,cmidgley@spavinawok.net
759.principal,Brena Foster,Brenda Foster
731.county,DELWAARE    ,DELAWARE    
1526.principal,Maria Cardne,Maria Carden
1824.schoolsite,INDEPEuNDENCE ES               ,INDEPENDENCE ES               
1092.statevalue,KO,OK
1182.telephone,405) 587-8800,(405) 587-8800
785.county,COMbANCHE    ,COMANCHE    
363.telephone,(45) 969-2227,(405) 969-2227
1418.telephone,(580) 98-5576,(580) 928-5576
1156.city,Oklahoma Ctiy,Oklahoma City
1037.principal,athan Gray,Nathan Gray
788.principalemail,ddehaven@lawtovnps.org,ddehaven@lawtonps.org
796.statevalue,OqK,OK
