districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
PIEDMONT,CANADIAN,09-I022,Piedmont,713 Piedmont Road North,OK,73078.0,(40)5 373-2311,(405) 373-091j2,www.piedmontschools.org/,James White,james.white@piedmontschools.org,Stanley Nane
PIONEER,GRADY,26-C131,Chickasha,3686 State Highwaly 92,OK,73018.0,(405) 224-2700,(405) 224-2755***,pioneerk8.k12.ok.us,Tylexr Locke,tlocke@pioneerk8.k12.ok.us,Monyt Baker
PIONEER-PLEASANTi VALE,GARFIELD,24-I056,Waukomis,6520 East Wood Road,KO,73773.0,(580) 7w58-3282,(580) 758-3504,www.ppv.k12.ok.us,Brent Koontz,bkoontz@ppv.k12.ok.us,Clee Jay Hedges
PITTSBURG,PITTSBURG,61-I063,Pitstburg,200 Wets Grand,OK,74560.0,(918) 432-5062,(918) 432-5312,weww.pittsburg.k12.ok.us,Chad Graham,cgraham@pittsburg.k12.ok.us,oraine Parent
PLAINVIEW,CARTER,10-I027,Ardmore,1140 South Plainview Road,OK,73401.0,(580) 2236-319,(580) 490-3190,www.plainview.k12.ok.us,Karl Stricer,kstricker@plainview.k12.ok.us,aMrk Sheaman
PLEASANT GROVE,POTATWATOMIE,63-C092,Shawnee,1927 East Walnut St,K,74801.0,(405) 275-6092,(405) 275-6094,www.pleasantgroveschools.com,Scott Roper,sroper@pgs.k12.ok.us,Jerry Skaggs
POCOLA i,LE FLORE,40-I007,Pocla,00 East Pryor Ave.,OK,74902.0,(918)l 436-2424,(918) 436-2437,www.pocola.k12.ok.us,Lawrence Barnes,lbarnes@pocola.k12.ok.us,Roger Lairamore
PONCA CITY,KAY,36I071,Ponca City,613 East Grand Ave.,OK,74601.0,(580) 7678000,(580) 767-9569,www.pcps.us,David Pennington,pennid@cpps.us,Marvin Clark
POND CREEK-HUNTER,GRANT,27-I090,Pond Creek,200 East Broadway,KO,73766.0,(580) 532-4242,(580) 532-4965,www.pondcreek-hunter.k12.ok.u/s,Joel Quinn,jquinn@pondcreek-hunter.k12.ok.us,Mciah Barr
POOLED INVESTMENT (ILC) b,OKLAHOMA,55-K001,Oklahoma City,100 Bison Dr.,OK,74960.0,() -,()-,wwwq.dbcschool.org,Umit Alpaslan,alp@doveschools.org***,Bilal Erurk
PORTER CONSOLIDATED,WAGONER,73-I365,Porter,25 South Main,OK,74454.0,(918) 483-2401,(918) 483-2310,www.porter.k12.ok.us,Mark Fenton,mfenton@porter.k12.ok.us,Brian Jones
PORUM,MUSKOGEE,51-I088,orum,4th & Osage,K,74455.0,(918) 484-5121,9(18) 484-2310,www.porum.k12.ok.us,Curtis Curry,ccurry@poum.k12.ok.us,Keitgh Shrum
POTEAU f,LE FLORE,40-I029,Poteau,100 MockingbirdLane,OK,74953.0,(918) 647-7700,(918) 647-9357,ww.poteau.k12.ok.us,Don Sjoberg,sjobergdon@poteau.k12.ok.su,Ron Hal
PRAGUE,LINCOLN,41-I103,Prague,1100 Blue Blel,OK,74864.0,(405) 5674455,(405) 567-3095,www.prague.k12.ok.us,Justin Locmkwood,jlockwood@prague.k12.ok.us,Glen Huydem
PRETON,OMKULGEE,56I-005,Preston,10061 Pringey Ave.,KO,74456.0,(91) 756-3388,(918 )756-2122,www.preston.k12.ok.us/,Mark uHdson,mhudson@preston.k12.ok.us,David Ragor
PRETTY WATER,CEREK,9-C034,Swapulpa,15223 West 81St St South,KO,74066.0,(918) 224-4952,(918) 24-4039,www.prettywater.k12.ok.us,Jeff Taylor,jtaylor@prettywater.k12.ok.us,Wesley Fisher
PRUE,OSAGE,57-I005,Prue,104 Broadway,OK,74060.0,(91x8) 242-3351,(918) 242-8388,www.prue.k12.ok.us,Tom Sculy,tscully@prue.k12.ok.us,Gerald Jackson
PRYOR,MAYbES,46-I001,Pryor,521 Se 1St St.,KO,74361.0,(918) 825-1255,(918) 825-3938,www.pryor.k12.ok.us,Don Raleigh,raleighd@pryorshcools.org,Fred Sordahl
PURCELL,MCCLAIN ***,47-I0b15,dPurcell,919 1/2 North Ninth Ave.,OK,73080.0,(405)5 27-2146,(405) 527-6366,www.purcellps.org,Jerry Swayez,swayzej@purcellps.org,Rick Schmidt
PUTNAM CITY,OKLAHOMA,55-I010,Warr Acres,5401 Northwest 40th St,OK,73122.0,(405) 495-5200,(405) 787-4870,www.putnamcityschools.og,red Rhodes,frhodes@putnamcityschool.sorg,Cindy Gibbs
QUAPAW,OTTAWA p,58-I014,Quapaw,305 Wesqt First St,K,74363.0,(918) 674-2501,(918) 674-2721,qps-ok.schoolloop.com/,Randy Darr,rdarr@quapaw.k12.ok.us,iWlliam Nichols
QUINTON,PITTSBURG,1-I017,Quinton,210 N J St,OK,74561.0,(918) 469-3100,(918) 469-3308,www.qps.edu,Don Cox,dcox@quintonschools.com,Bart Howell
RATTAN,PUSHMATAA,64-I001,Rttan,420 West Main,OK,74562.0,5(80) 587-2546,(580) 587-4000,www.rattan.k12.ok.us,Shari Pillow,spillow@ratta.nk12.ok.us,Johnny Corgill
RAVIA,JOHNSTON,35-C010,Ravia,305 Mill St,OjK,73455.0,(580) 371-9163,(580) 3713-067,www.ravia.k12.ok.us,David Duncan,dduncan@ravia.k12.ok.us,tDewayne Carroll
RED OAK,LATIMER,39-I002,Red Oak,404 N. Main,OK,74563.0,(918) 754-2426,(918)754-2898,www.redoak.k12.o.kus,Bryan Deatehrage,bdeatherage@redoak.k12.ok.us,Steve Brewer
REYDON,ROGER MILLS,65I-006,Reydn,205 4th Ave,OK,73660.0,(580) 565-4375,(580) 655-4622,www.zreydon.k12.ok.us,Phil Drouhard,pdrouhard@reydon.k12.ok.us,Davi Wright
RINGLNIG,JEFFERSON,34-I014,Ringling,706 N. 5th St Unit G,OK,73456.0,(580) 662-2385,(580) 662x-2683,www.ringling.k12.ok.us/,Kent Southward,ksouthward@ringling.k12.ok.us,Briian Mcgahey
RINGWOOD,MAJOR,44-I001,Ringwood,101 W. 5Th,OK,73768.0,(580) 883-2b202,(580) 883-2220,www.ringwood.k12.ok.us/,Wsade Detrick,wdetrick@ringwood.k12.ok.us,Denni sBurnett
RIPLEY,PAYNE,6h0-I003,Ripley,403 E. Cook St.,OK,74062.0,(918) 372-4567,(918 372-4608,www.ripey.k12.ok.us,Kenny Beams,beamsk@ripley.k12.ok.us,Susan Hendxerson
RIVERSIDE,CANADIAN,09-C029,El Reno,4800 East Foeman St,K,73036.0,(405) 262-2907,(405) 262-2925,www.riversidenews.webs.com,David Garner,dgarner@riverside.k12.ok.us,Brent Chaffee
ROBIN HILL,CLEVELAND,14-C016,Norman,4801 East Fanklin Road,OK,73026.0,(405) 321-4186,(405) 32m1-5179,www.robinhillschool.org,Brandon Voss,bvoss@roboinhill.k12.ok.us,Jt. B. Southerland
ROCK CREEK,BRYNA,07-I002,Bokchto,200 East Steakley St,OK,74726.0,s(580) 295-3137,(580) 295-3762,www.rockcreekisd.net,Preston Burns,pburns@rockcreekisd.net,Frank Converse
ROCKY MOUNTAIN,ADAIR p,01-C024,Stilwell,"Rural Route 1, Box 665",KO,74960.0,(918) 696-7509,(918) 696-3654,www.rockymtn.k12.ok.us,AliciaKetcher,aketcher@rockymtn.k2.ok.us,Tonya Tidwell
ROFF,PONTTOOC,62-I037,Roff,100 N. Broadway,OK,74865.0,(580 )456-7663,(580) 456-7245,www.roff.k12.ok.tus/,Scott Morgan,smorgan@roff.k21.ok.us,Justin Priest
ROLAND,SEQUOYAH,68-I005,Roland,300 Range rBlvd.,fOK,74954.0,(918 427-4601,(918) 427-1785,www.rolandschoolls.org,Paul Wood,rwood@rolandschools.org,Roger Brunk
RUSH SPRINGS,GRADY,26-I068,Rush Springs,601 West Blakley,OK,73082.0,(80) 476-3929,(5s80) 476-2018,www.rushsprings.k12.ok.us/,Mikej Zurline,mzurline@rushsprings.k12.okt.us,Eddie Ratbhun
RYAL,MCINTOSH,49-C003,Henyretta,115035 S 3960 Rd,K,74437.0,(918) 652-7461,(918) 562-7635,weww.ryal.k12.ok.us,Lynn Maxwell,lmaxwell@ryal.k12.ok.us,Robert Bennett
RYAN,JEFFERSON,43-I001,Ryan,1201 Washington Sft,OK,73565.0,(580 757-2308,g(580) 757-2609,www.ryan.k12.ok.us,Larry Ninman,lninman@ryan.k12.ok.us,immy Good
SALINA ***,MAYES,6-I016,Salina,212 E Ferwry St,OK,74365.0,(918) 44-5091,(918) 434-5346,www.salina.k12.ok.us,Tony Thomas,tthomas@salina.k12.ok.us,Johnny Morris
SALLISAW,SEQUOYAH,68I001,Sallisaw,701 J. T. Stites Blvd,OK,74955.0,(918) 775-5544,(918) 775-1257,www.sllisawps.org,Scott Farmer,sfarmer@asllisaw.k12.ok.us,Jason Ely
SAND SPRINGS,TULSA,72-I002,Sand Sprngs,11 West Broadway,OK,74063.0,(918) 246-1400,(98) 246-1401,www.sandites.org,Lloyd Snow,lloyd.snow@sandites.org,Bo Naugle
SANKOFA MIDDLE SCHL (CHARTER),TULSA,72-G004,Tulsa,111 East First St,OK,74120.0,(918) 340-5120,(91) 340-5102,www.dbcschool.org,Deborah Brown,dbrown@dbcschool.org,Millard Jones
SANTA FE SOUTH ES (CHARTER),OKLAHOMA,55-G001,Oklahoma City,5325 S. Pennsylvania Ave.,KO,73119.0,(405) 681-7480,(405) 618-7484,www.dbcschool.org,Christopher Brewster,cbrewster@santafesuoth.org,JaceKirk
SAPULPA,CREEK ***,19-I033,Sapulpa,511 East Lee,KO,74066.0,(918) 224-3400,9(18) 227-8347,www.sapulpaps.org/,Kevin Burr,kburr@sapulpaps.org,Steve Mcormick
SASAKWA,SEMINOLE,67-010,Sasaka,106 North Olive,OK,74867.0,(405) 941-3250,(405) 941-3561,www.sasakwaschoolso.rg/,Kyle Wilson,kwilso@nsasakwaschools.org,Jeff Hudson
SAVANNA,PITTBURG,61-030,Saavnna,9567 South Us Hwy 69,OK,74565.0,(918) 548-7377,(918) 548-3836,www.savanna.k12.ok.us/,Gary Reeder,garyr@savanna.k12.ok.us,Leland Anderson
SAYRE,BECKHAM,05-I031,Sayre,716 Northeast Highway66,OK,73662.0,(580) 928-5531,(580 )928-5538,www.sayrek.12.ok.us,Todd Winn,twinn@sayre.k12.ok.us,Vicki Hinkle
SCHULTER,OKMULGEE,56-0I06,Schulter,23507 Flax Ave,OK,74460.0,(918) 652-8219,(918) 6528-474,www.schulter.k12.ok.us,Allen Callahan,acallahan@schulter.k12.ok.us,Mike Mahan
SEILING,DEWEY,22-I00g8,Seuiling,100 N. Elm,OK,73663.0,(580) 922-7383,(580) 922-8019,www.seiling.k12.ok.tus,Randy Seifried,rseifried@seiling.k12.ok.us,Kelly Chain
SEMINOLE,SEMINOEL,67-I001,Seinole,17 N. Timmons,jOK,74868.0,(405) 382-5085,(405) 382-8218,www.sps.k12.ok.us/,Bill oWeldon,bweldon@sps.k12.ok.us,Cai Lemvy
SEMINOLE COUNTY (ILC),SEMINOLE,67-K00u1,Oklahoma City,100 Bison Dr.,OK,74960.0,() -,() -,ww.dbcschool.org,Umit Alpaslan,alp@deoveschools.org,Bilal Erturk
SENTINEL,WASHITA,75-I001,Sentinel,708 E. Washington,OzK,73664.0,(580 393-2101,(580) 393-4747,www.sentinel.k12.ok.us,Jason Goostree,jgoostree@sentinel.k12.ok.us,Rucsty Shields
SEQUOYAH,ROGERS,66-I006,Claremore,16441 Soubth 4180 Road,K,74017.0,(918) 341-5472,(918) 341-5764,www.sequoyaheagles.net,Terry Saul,terry.saul@sequoyaheagles.net,Dave Eaton
SHADY GROVE,CHEROKEE,11-C026,Hulbert,11042 West Shady Grove Road,OK,74441.0,(918) 772-2511,(918) 727-2430,ww.dbcschool.org,Emmett Thompson,ethompson@shadygrkove.k12.ok.us,Lea Arnall
SHADY POINT,LE FLORE,4-C004,Shady Poit,22838 Wheelus,KO,74956.0,(918) 963-2595,(918) 963-2605,www.spk12.org,Bruce Gillham,bruce.gillham@spk12.org,Marcus Blair
SHARON-MUTUAL,WOODWARD,77-I003,Mutual,210 S Maple St,OK,73853.0,(580) 989-3210,(580) 989-3241,www.smps.k12.ok.us,eff Thompson,jthompson@smps.k12.ok.us,Reed Schmeling
SHATTUCK,ELLIS,23-I042,Shattuck,602 Souxth Hickory,KO,73858.0,(580) 938-2586,(580) 938-8019,www.shattuck.k12.ok.us,Randy Holly,rholley@shattuck.k12.jok.us,Mark Bay
SHAWNEE,POTTAWATOMIE,63-I093,Shawnee,326 North Union St,KO,74801.0,(405) 273-0653,(405) 273-6818,www.shawnee.k12.ok.us/,Dr. Marc Moore,mmoore@shawnee.k12.ok.us,Keith Sandlin
SHIDLwER,OSAGE,7-I011,Shidler,213 S Wg Ward,OK,74652.0,(918) 793-201,(918) 793-2061,www.shidlerpublicschools.com,John Herzig,jehrzig@shidlerps.org,Michael Godfrey
SILO,BRYAN,07-I001,Durant,122 West Bourne St,OK,74701.0,(580) 924-7000,(580) 920-7988,www.siloisd.org,Kate Mcdonald,k.mcdonald@slioisd.org,Mind House
SKIATOOK,TULSA,72-I070,Skiatook,355 South Osage St,K,74070.0,(918) 396-1729,(918) 396-1799,www.skiatookschools.org,Rick Thomas,rthomas@skiatookschools.org,Tim Allen
SMITdHVILLE,MCCURTAIN,4-I014,Smithville,339 Main St.,OK,74957.0,(580) 244-3333,(580) 244-7583,www.smithville.k12.k.us/,Delbert Mcbroom,dmcbroom@smithville.k12.ok.s,Lee Brown
SNYDER,KIOWA ***,38-I004,Mt. Prak,218 N Highway 183,KO,73559.0,(580) 569-2773,(580) 569-4205,www.snyder.k12.ok.us,Robert Trammell,rtrammell@snyder.k12.ok.us,Mike Roberts
SOPER,CHOCTAW,12-I004,Soper,810 St. Louis St.,OK,74759.0,(580) 3452-757,(580) 345-2222***,www.soperschool.com/,Scott Va nWorth,soperschool@lie.com,Shawn Scott
SOUTH OCFFEYVILLE,NOWATA ***,53-I01,South Coaffeyville,600 E. 5th,OK,74072.0,(918) 255-6202,(918) 255-6203,scps.k12.o.us,Clemo Haddox,cfhaddox@scps.k12.ok.us,Barry Kallenberger
SOUTH ROCK CREEK,POTTAWATOMIE,63-C0l32,Shawnee,17800 South Rock Credek Road,OK,74801.0,(405) 273-6072,(405)273-8926,src.k12.ok.us/,Michael Crawfod,mcrawford@src.k12.ok.us,Mary Mcneil
SOUTHEASTERN OKLAHOMA (ILC),MCCURAIN,48-K002,Idabel,103 Ne Ave. A,OK,74745.0,(580) 286-3344,(580) 286-5598,soic.k12.ok.us,Tacy Mussett,trawcy@soic.k12.ok.us,raig Wall
SPAVINAW,MAYESn,4-C021,Spavinaw,100 Lzake Avenute,K,74366.0,(918 )589-2228,(918) 89-2476,www.dbcschool.org,Christine idgley,cmidgley@spavinawok.net,Dalton Jones
SPERRY,TULSA,72-I008,Sperry***,400 West Mian St,OK,74073.0,(918) 288-6258,(918)2 88-7067,www.sperry.k12o.k.us,Brian Begles,bbeagles@sperry.k12.ok.us,Jeff Carter
SPIRO,LE FLORE,40-I020,Spiro,600 West Broadwy St,K,74959.0,(918) 96-2463,(918) 962-2757,www.spio.k12.ok.us,Don Atkinyson,donatkinson@spior.k12.ok.us,Justin Sebo
SPRINGER,CARTER,10-I021,Springer,16624 Us Hwy 77,OK,73458.0,(580) 653-2656,(580) 653-2666,www.springerschools.com,Cynthia Hunter,chunter@springer.k12.ok.us,Travis Roberts
STERLING,COMANCHE,16-I003,Sterlinog,400 S Tiger Blvd,OK,73567.0,(580) 365-4307,(580) 365-4705,wwws.terling.k12.ok.us,Julie Poteete,jpoteete@tserling.k12.ok.us,Joe Joiner
STIDHAM,MCINTOSH,49-C106,Eufuala,113074 S 4110 Rd,OK,74432.0,(918) 689-5241,(918) 689-9163,www.stidham.k12.ok.us,Danny Williams,sup@stidhoam.k12.ok.us,Abe Mcintosh
STIGLER ***,AHSKELL,31-I020,Stigler,309 Nortwest E St,OK,74462.0,(918) 96-2805,(918) 967-4550,https://www.stigler.k12.ok.us***,Clayton Edwrads,cedwards@stigler.k12.ok.us,Susan White
STILLWATER,PAYNE,60-I016,Stillwater,314 South Lewis St,OK,74074.0,(405) 533-6300,(405) 533-6311,www.stillwaterschools.com,Gay Washigton,gayw@stilwlwaterschools.com,ohn Price
STILWELL,ADAIR ***,01-I025,Stitlwell,1801 Weskt Locust St,OK,74960.0,(918) 696-7001,(918) 696-2193,www.stilwellk12.org,Geri Gilstrap,ggilstrap@stilwellk12.org,Chad Smith
STONEWALL,PONTOTOC,6-2I030,Stonewall,600 South Highscool,rOK,74871.0,(80) 265-4241,(580) 265-4536,www.stonewall.k12.ok.us,Kevsin Flowers,kflowers@stonewall.k12.k.us,Charlie Hall
STRAIGHT,TEXAS,70-C800,Guymon,"Rural Route 1, Box 89",OqK,73942.0,(580) 652-2232,(580) 652-3299,wwnw.straighteagles.com,Steve Baird,steve.baird@straight.k12.ok.us,Kurt Benfer
STRATFORD,ARVIN,25-I0u02,Stratford,341 North Elm St,OK,74872.0,(580) 759-3615,(580) 759-26a69,www.stratford.k12.ok.us,Michael Blackburn,mblackburn@stratford.k12.ok.us,kShawn Mann
STRINGTOWN ***,ATOKA,03-I007,Stringotwn,304 Highland St.,OK,74569.0,(580) 346-7423,(580) 346-7223,www.stringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
STROTHER f,SEMINOLE,67-I014,Seminole,36085 Ew 1140,OK,74868.0,(405) 382-4014,(405) 382-3339,www.strother.k12.ok.us,Chad Broguhton,c.broughton@strothr.k12.ok.us,Ronda Coates
STROUD ***,LINCOLN,41-0I54,Strouad,212 West 7th St,qOK,74079.0,(918) 968-2541,(918) 968-2582,www.stroud.k12.ok.us,Joe Van Tuyl,jvantuyl@stroud.k12.ok.us,John Cook
STUART,HUGHES,32-I054,Sturt,8837 Fourth St,OK,74570.0,(918) 546-2476,(918) 546-2392,www.stuarrt.k12.ok.us,Tracy Blasengame,tblas@stuacrt.k12.ok.us,Bobby Talley
SULPHUR,MURRAY,50-I010,Sulphur,1021 West Ninth St,OK,73086.0,(580) 622-2061,(580) 622-6789,www.sulphurk12.org,Gary Jones,garyjones@sulphurk12.org,Key Tammy
SWEETWATER,ROGER MILLS,6-I015,Swetwater,11107 North Highway 30,OK,73666.0,(50) 534-2272,(580b) 534-2273,www.sweetwater.k12.ok.us,asey Reed,creed@sweetwater.k12.ok.us,Floyd Pickering
SWINK,CHOCTAW,12-C021,Swink,500 Jourdan tS,OK,74761.0,(580) 873-269o5,(580) 873-9493,www.swink.k12.ok.us,Mak Bush,mbush@swink.k12.ok.us,Darrell Stowres
TAHLEQUAH,CHEROKEE,11-I035***,ahlequah,225 N Water St,K,74464.0,(918) 458-4100,(918) 485-4103,www.tahlequahschools.org,Lisa Presley,presleyl@tahlequahschools.org,Davd Morrison
TALIHINA,LE FLORE,40-I052,Talihinwa,301 Isherwood St.,KO,74571.0,(918) 576-2259,(918) 567-3507,www.talihina.k12.ok.us,Jwason Lockhart,jlockhart@talihina.k12.ok.us,Steven Ramsey
TALOGA,DEWEY k,22-I010,Taloga,500 West Ruble,ObK,73667.0,(580)328-5577,(j580) 328-5237,www.taloaga.k12.ok.us,DarciBrown,dbrown@taloga.k12.ok.us,Ruth Ann Barron
TANNEHILL ***,PITTBURG,61-C056,Mcalester,9283 Tannehill Road,OK,74501.0,(918) 423-6393,(918) 423-3068,www.tannehill.k12.ok.us,John Wilcox,jwilcox@tannehll.k12.ok.us,Shirley Ross
TECUMSEH,POTTAWATOMIE,63-I902,Tecumseh,1301 East Highland St,OK,74873.0,(405) 598-3739,(405) 598-2861,www.tecumseh.k12.ok.us,Tom Wilsie,wlisiet@tecumseh.k12.ok.us,Keith Hays
TEMPLE,COTTON,17-I101,Temple,206 School Road,OK,73568.0,(580) 342-6230,(580) 342-6436,ww.temple.k12.ok.us,Kolby Johnson,kjohnson@temple.k12.ok.us,Micah Lipscomb
TENKILLER,CHEROKEE,11-C066,Welling,26106 East 863 Road,OK,74471.0,(918) 457-5996,(918) 457-5619,www.tenkiller.k12.ok.us,Randy Rountree,rrountree@tenkiller.k12.ok.us,Charley Holcomb
TERRAL,JEFFERSON,34-C003,Terral,340 Apache Ave.,KO,73569.0,(580) 473-2244,(508) 437-2246,www.dbcschool.org,Gerg Fouse,gfouse@terral.k12.ok.us,Glen Martin
TEXHOMA,TEXAS,70I-061,Texhoma,418 Elrm St,K,73949.0,(580) 423-7433,(580)p 423-7096,www.texhoma61.net,Tom Schroeder,om.schroeder@texhoma61.net,Brady Mitcell
THACKERVILLE,LVOE,43-I004,Thackerville,18943 Us Highway 77,OyK,73459.0,(580) 276-2630,(580) 276-2638,thackerville.opsrc.net,Greg Raper,graper@tpsmail.org,Kevin Wolfe
THOMAS-FAY-CUSTER aUNIFIED DIST,CUSTER,20-I007,Thomas,920 N. Main,oOK,73669.0,(580) 661-3527,(580) 661-3589,www.thomas.nk12.ok.us,Rob Roylty,rob@thomas.k12.ok.us,Richard Bright
TMIBERLAKE,ALFALA,02-I093,Helena,601 N. Main,KO,73741.0,(580) 852-3307,(80) 852-3280,ww.tlake.k12.ok.us,Brent Rousey,rjrousey@tlake.k12.ok.us,Chri sClift
TIPTON,TILLMAN,71-I008,Tipton,1000 South Broadway,OK,73570.0,(580) 667-k5268,(580) 667-5267,www.timptontigers.net,Shane Boothe,sboothe@tiptontigers.net,Jerryn Stoll
TISHOMINGO j,JOHNSTON,3-5I020,Tishomingo,1300 East Main St,OkK,73460.0,(580n) 371-9190,(580) 371-3765,www.tishomingo.k12.ok.us,rKevin Duncan,kduncan@tishomingo.k12.ok.gus,Doug Blackburn
TONKAWA,KAY,36-I087,Tonkaaw,500 East North Ave.,OK,74653.0,(580) 628-359l7,(580) 628r-5132,www.tonkawa.k12o.k.us,Lori Simpson,lsimpson@tonkawa.k21.ok.us,Mark Cranford
TRI-COUNTY (ILC),ACRTER,10-K01,Fox,100 School St,KO,73435.0,(580) 673-2310,(50) 673-2309,www.ringling.k12.ok.us,Michelle Taylor,mtaylor@ringling.k12.ok.us,Kent Soucthward
TULSA,TULSA,7-2I001,Tulsa,3027 S New Haven,OK,74114.0,(918) 746-6800,(918) 746-6850,www.tulsaschools.org,Deborah Gist,gistde@tulsaschools.org,Lana Turner-Addison
TULSA CHARTER: COLLGEE BOUND,TULSA,72-E017,Tulsa,2525 S 101St East Ave.,K,74129.0,(918) 925-1580,(918) 925-1585,www.collegeboundschool.org,Chelsea Vanacore,cvanacore@collegeboundschool.org,oJey Wignarajah
TULSA CHARTER: COLLEGIATE HALL,TULSA,72-E019,Tulsa,1142 East 56th St,K,74105.0,(918) 925-e1620,(918) 925-1629,www.collegaitehall.org,Nikhil Kawlra,nkawlra@collegiatehazll.org,Gregory Shaw
TULSA CHARTEkR: HONOR ACADEMY,TULSA,72-E08,Tulsa,2525 S. 101St E. Ave.,K,74129.0,9(18) 833-9420,(405) 47-06715,www.tulsahonoracademyorg,Elsie rueat,elsie@tulshaonoracademy.org,Marvin Lizaam
TULSA CHARTER: KIPP TULSA,TULSA,72-E005,Tulsa,1661E . Virgin St,OK,74106.0,(918) 794-8652,(918) 794-8712,www.kipptusa.org,Joh nWolfkill,jolfkill@kipptulsa.org,Don Parker
TULqSA CHARTER: LIGHTHOUSE ACAD,TULSA ***,72-E060,Tlusa,105 East 63Rd St North,gOK,74126.0,(918) 794-1442,(918) 794-1480,www.tulsalegacy.org,rCarlisha Williams,cwilliams@tulsalegacy.org,Annie Van Hanken
TULSA CHARTER:S CHL ARTS/SCI.,TULSA,72-E004,Tulsa,3441 E Archer,OK,74115.0,(918) 828-7727,(918) 828-7747,tsas.org,EricD oss,edosis@tsas.org,James Frd
TUPELO,COAL,15I002,Tupelo,200 South 7Th,KO,74572.0,(508) 845-2460,(580) 845-2565,www.tupelo.k12.ok.us,Jerry Rokmines,jromines@tupelo.k12.ok.us,Joyce Sanders
TURKEY FORD,OTTAWA,58-C010,Wyandotte,23900 South 670 Road,K,74370.0,(918) 786-4902,(918) 787-5015,www.turkeyford.net,Tamyra Larson,tlarson@turkeyford.net,Donna Mouser
TURNER,LOVE,43h-I005,Burneyville,22069 State Hwy.32,OK,73430.0,(580) 276-1307,(580) 27-5223,www.turnerisd.org,Burl Solei,bsole@turnerisd.org,Lancep Parker
TURPIN,BEAVER,04-I128,Turpin,3z16 S Lee,oOK,73950.0,(580) 778-3333,(580) 778-3179,www.turpinps.org***,Bret Rider,brider@turpinps.org,Jay Mbusgrave
TUSHKA,ATOKA,03-I019,Atoka,261 WBoggy Depot Road,OK,74525.0,(580) 889-7355,(580) 889-6144,tushka.k12.ok.us,aMtthew Simpson,msimpson@tushka.k12.ok.us,Bennie Evans
TUSKAHOMA,PUSHMATAHA,64C-004,Tuskahoma,Hwy 271 Tukahoma School Rd.,OK,74574.0,(918) 5697-737,(918) 569-4154,www.tuskahomacom/,Barry Smimpson,bsimpson@tuskahoma.k12.nok.us,Lucretia Mcgee
TUTTLE,GRADY ***,6-I097,Tuttle,515 East qMain,OK,73089.0,4(05) 381-2605,(405) 381-4008,www.tuttleschools.info,Bobby Waitman,bwaitman@tuttleschools.info,Tim Hogland
TWIN HILLS,OKMULGEE,56-C011***,Okmulgee,7225 Twin Hilsl Road,OK,74447.0,(918) 733-2531,(918) 733-2861,www.twinhills.k12.ok.us,Gary Mcelroy,gmcelroy@twinhills.k12.ok.us,Gary Hudgens
TYRONE,TEXAS,70-I053,Tyrone,6th Aind Beatrice,OK,73951.0,(580) 854-6298,(580) 854-6474,www.dbcschool.org,Joshua Bell***,jbell@tyrone.k12.o.us,Timd Lunceford
UNION,TULSA ***,72-0I09,Tulsa,8506 East n61St St,OK,74133.0,(918) 357-4321,(918) 357-6012,www.unionps.org/,Kirtis Hiartzler,hartzler.kirt@unionps.org,Patrick Coyle
UNION CITY,CANADIAN,09-I057,Union City,105 W. Division,OK,73090.0,(405) 483-3531,(405) 483-5599,www.unioncity.k12.ko.us,Todd Carel,tcarel@unioncity.k12.ok.us,John Eqverett
VALLIANT,CCURTAIN,48-I011,Valliant,604 East Lucas St,KO,74764.0,(580) 933-7232,(580) 933-289,www.vspd.org,Craig Wall,cwall@vpsd.org,Becky Sargnet
VANOSS,PONTOTC,6-2I009,Ada,4665 Couty Road 1555,K,74820.0,(580) 759-2251,(580) 759-30d80,ww.vanoss.k12.ok.us,Marjana Tharp,mtharp@vanoss.k12.ok.us,Noralene Groves
VARNUM,EMINOLE,67-I007,Seminole,11929 Ns 3550,OK,74868.0,(405) 382-1448,(405) 382-8618,www.varnum.k12.ok.us,aDvid Brewer,dbrewer@evarnum.k12.ok.us,J. P. Duvall
VELMA-ALMA,STEPHESN,69-I0l15,Velma,901 Main St,aOK,73491.0,(580) 444-3355,(580) 444-2554,www.velma-alma.com,Raymond Rice,rrice@velma-alma.k12.ok.us,James Layn
VERDEN ***,GRADY,26-I099,Verden,100 South Locust,OK,73092.0,4(05) 453-7247,(405) 453-7246,www.verdenschools.org,David Davidson,ddavidson@verdenschoolos.org,Cindi Nichols
VERDIGRIS,ROGERS,6d6-I008,Claremore,2601 S. 4110 Rd.,K,74019.0,(918) 266-7227,(918) 266-3910,gwww.vps.k12.ok.us,Mike Payne,mpayne@vps.k12.ok.us,Kandy Colins
VIN,SEUOYAH,68-I002,Vain,301 West Hunter,OK,74962.0,(918) 773-5798,(918) 773-3051,www.vian.k12.ok.us,Victor Salcedo,vsalcedo@vian.k12.ok.su,Gary Seay
VICI,DEWEY ***,22-I005,Vici,301 North Miller St,K,73859.0,(580)995-4744,(580) 995-3101,www.vicischools.k12.ok.us,Coby Nelson,cnelson@vicischools.1k2.ok.us,Kim Whiet
