districtname,countyname,code,city,address,statevalue,zip,phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
POCOLA,LE FLORE,40-I007,Pocola,600 East Pryor Ave.,OK,74902.0,(918) 436-2424,(918) 436-2437,www.pocola.k12.ok.us,Lawrence Barnes,lbarnes@pocola.k12.ok.us,Roger Lairamore
PONCA CITY,KAY,36-I071,Ponca City,613 East Grand Ave.,OK,74601.0,(580) 767-8000,(580) 767-9569,www.pcps.us,David Pennington,pennid@pcps.us,Marvin Clark
POND CREEK-HUNTER,GRANT,27-I090,Pond Creek,200 East Broadway,OK,73766.0,(580) 532-4242,(580) 532-4965,www.pondcreek-hunter.k12.ok.us/,Joel Quinn,jquinn@pondcreek-hunter.k12.ok.us,Micah Barr
POOLED INVESTMENT (ILC),OKLAHOMA,55-K001,Oklahoma City,100 Bison Dr.,OK,74960.0,() -,() -,www.dbcschool.org,Umit Alpaslan,alp@doveschools.org,Bilal Erturk
PORTER CONSOLIDATED,WAGONER,73-I365,Porter,125 South Main,OK,74454.0,(918) 483-2401,(918) 483-2310,www.porter.k12.ok.us,Mark Fenton,mfenton@porter.k12.ok.us,Brian Jones
PORUM,MUSKOGEE,51-I088,Porum,4th & Osage,OK,74455.0,(918) 484-5121,(918) 484-2310,www.porum.k12.ok.us,Curtis Curry,ccurry@porum.k12.ok.us,Keith Shrum
POTEAU,LE FLORE,40-I029,Poteau,100 Mockingbird Lane,OK,74953.0,(918) 647-7700,(918) 647-9357,www.poteau.k12.ok.us,Don Sjoberg,sjobergdon@poteau.k12.ok.us,Ron Hall
PRAGUE,LINCOLN,41-I103,Prague,1100 Blue Bell,OK,74864.0,(405) 567-4455,(405) 567-3095,www.prague.k12.ok.us,Justin Lockwood,jlockwood@prague.k12.ok.us,Glen Hydem
PRESTON,OKMULGEE,56-I005,Preston,10061 Pringey Ave.,OK,74456.0,(918) 756-3388,(918) 756-2122,www.preston.k12.ok.us/,Mark Hudson,mhudson@preston.k12.ok.us,David Reagor
PRETTY WATER,CREEK,19-C034,Sapulpa,15223 West 81St St South,OK,74066.0,(918) 224-4952,(918) 224-4039,www.prettywater.k12.ok.us,Jeff Taylor,jtaylor@prettywater.k12.ok.us,Wesley Fisher
PRUE,OSAGE,57-I050,Prue,104 Broadway,OK,74060.0,(918) 242-3351,(918) 242-3888,www.prue.k12.ok.us,Tom Scully,tscully@prue.k12.ok.us,Gerald Jackson
PRYOR,MAYES,46-I001,Pryor,521 Se 1St St.,OK,74361.0,(918) 825-1255,(918) 825-3938,www.pryor.k12.ok.us,Don Raleigh,raleighd@pryorschools.org,Fred Sordahl
PURCELL,MCCLAIN,47-I015,Purcell,919 1/2 North Ninth Ave.,OK,73080.0,(405) 527-2146,(405) 527-6366,www.purcellps.org,Jerry Swayze,swayzej@purcellps.org,Rick Schmidt
PUTNAM CITY,OKLAHOMA,55-I001,Warr Acres,5401 Northwest 40th St,OK,73122.0,(405) 495-5200,(405) 787-4870,www.putnamcityschools.org,Fred Rhodes,frhodes@putnamcityschools.org,Cindy Gibbs
QUAPAW,OTTAWA,58-I014,Quapaw,305 West First St,OK,74363.0,(918) 674-2501,(918) 674-2721,qps-ok.schoolloop.com/,Randy Darr,rdarr@quapaw.k12.ok.us,William Nichols
QUINTON,PITTSBURG,61-I017,Quinton,210 N J St,OK,74561.0,(918) 469-3100,(918) 469-3308,www.qps.edu,Don Cox,dcox@quintonschools.com,Bart Howell
RATTAN,PUSHMATAHA,64-I001,Rattan,420 West Main,OK,74562.0,(580) 587-2546,(580) 587-4000,www.rattan.k12.ok.us,Shari Pillow,spillow@rattan.k12.ok.us,Johnny Corgill
RAVIA,JOHNSTON,35-C010,Ravia,305 Mill St,OK,73455.0,(580) 371-9163,(580) 371-3067,www.ravia.k12.ok.us,David Duncan,dduncan@ravia.k12.ok.us,Dewayne Carroll
RED OAK,LATIMER,39-I002,Red Oak,404 N. Main,OK,74563.0,(918) 754-2426,(918) 754-2898,www.redoak.k12.ok.us,Bryan Deatherage,bdeatherage@redoak.k12.ok.us,Steve Brewer
REYDON,ROGER MILLS,65-I006,Reydon,205 4th Ave,OK,73660.0,(580) 655-4375,(580) 655-4622,www.reydon.k12.ok.us,Phil Drouhard,pdrouhard@reydon.k12.ok.us,David Wright
RINGLING,JEFFERSON,34-I014,Ringling,706 N. 5th St Unit G,OK,73456.0,(580) 662-2385,(580) 662-2683,www.ringling.k12.ok.us/,Kent Southward,ksouthward@ringling.k12.ok.us,Brian Mcgahey
RINGWOOD,MAJOR,44-I001,Ringwood,101 W. 5Th,OK,73768.0,(580) 883-2202,(580) 883-2220,www.ringwood.k12.ok.us/,Wade Detrick,wdetrick@ringwood.k12.ok.us,Dennis Burnett
RIPLEY,PAYNE,60-I003,Ripley,403 E. Cook St.,OK,74062.0,(918) 372-4567,(918) 372-4608,www.ripley.k12.ok.us,Kenny Beams,beamsk@ripley.k12.ok.us,Susan Henderson
RIVERSIDE,CANADIAN,09-C029,El Reno,4800 East Foreman St,OK,73036.0,(405) 262-2907,(405) 262-2925,www.riversidenews.webs.com,David Garner,dgarner@riverside.k12.ok.us,Brent Chaffee
ROBIN HILL,CLEVELAND,14-C016,Norman,4801 East Franklin Road,OK,73026.0,(405) 321-4186,(405) 321-5179,www.robinhillschool.org,Brandon Voss,bvoss@roboinhill.k12.ok.us,J. B. Southerland
ROCK CREEK,BRYAN,07-I002,Bokchito,200 East Steakley St,OK,74726.0,(580) 295-3137,(580) 295-3762,www.rockcreekisd.net,Preston Burns,pburns@rockcreekisd.net,Frank Converse
ROCKY MOUNTAIN,ADAIR,01-C024,Stilwell,"Rural Route 1, Box 665",OK,74960.0,(918) 696-7509,(918) 696-3654,www.rockymtn.k12.ok.us,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,Tonya Tidwell
ROFF,PONTOTOC,62-I037,Roff,100 N. Broadway,OK,74865.0,(580) 456-7663,(580) 456-7245,www.roff.k12.ok.us/,Scott Morgan,smorgan@roff.k12.ok.us,Justin Priest
ROLAND,SEQUOYAH,68-I005,Roland,300 Ranger Blvd.,OK,74954.0,(918) 427-4601,(918) 427-1785,www.rolandschools.org,Paul Wood,rwood@rolandschools.org,Roger Brunk
RUSH SPRINGS,GRADY,26-I068,Rush Springs,601 West Blakley,OK,73082.0,(580) 476-3929,(580) 476-2018,www.rushsprings.k12.ok.us/,Mike Zurline,mzurline@rushsprings.k12.ok.us,Eddie Rathbun
RYAL,MCINTOSH,49-C003,Henryetta,115035 S 3960 Rd,OK,74437.0,(918) 652-7461,(918) 652-7635,www.ryal.k12.ok.us,Lynn Maxwell,lmaxwell@ryal.k12.ok.us,Robert Bennett
RYAN,JEFFERSON,34-I001,Ryan,1201 Washington St,OK,73565.0,(580) 757-2308,(580) 757-2609,www.ryan.k12.ok.us,Larry Ninman,lninman@ryan.k12.ok.us,Timmy Good
SALINA,MAYES,46-I016,Salina,212 E Ferry St,OK,74365.0,(918) 434-5091,(918) 434-5346,www.salina.k12.ok.us,Tony Thomas,tthomas@salina.k12.ok.us,Johnny Morris
SALLISAW,SEQUOYAH,68-I001,Sallisaw,701 J. T. Stites Blvd,OK,74955.0,(918) 775-5544,(918) 775-1257,www.sallisawps.org,Scott Farmer,sfarmer@sallisaw.k12.ok.us,Jason Ely
SAND SPRINGS,TULSA,72-I002,Sand Springs,11 West Broadway,OK,74063.0,(918) 246-1400,(918) 246-1401,www.sandites.org,Lloyd Snow,lloyd.snow@sandites.org,Bo Naugle
SANKOFA MIDDLE SCHL (CHARTER),TULSA,72-G004,Tulsa,111 East First St,OK,74120.0,(918) 340-5120,(918) 340-5102,www.dbcschool.org,Deborah Brown,dbrown@dbcschool.org,Millard Jones
SANTA FE SOUTH ES (CHARTER),OKLAHOMA,55-G001,Oklahoma City,5325 S. Pennsylvania Ave.,OK,73119.0,(405) 681-7480,(405) 681-7484,www.dbcschool.org,Christopher Brewster,cbrewster@santafesouth.org,Jace Kirk
SAPULPA,CREEK,19-I033,Sapulpa,511 East Lee,OK,74066.0,(918) 224-3400,(918) 227-8347,www.sapulpaps.org/,Kevin Burr,kburr@sapulpaps.org,Steve Mccormick
SASAKWA,SEMINOLE,67-I010,Sasakwa,106 North Olive,OK,74867.0,(405) 941-3250,(405) 941-3561,www.sasakwaschools.org/,Kyle Wilson,kwilson@sasakwaschools.org,Jeff Hudson
SAVANNA,PITTSBURG,61-I030,Savanna,9567 South Us Hwy 69,OK,74565.0,(918) 548-3777,(918) 548-3836,www.savanna.k12.ok.us/,Gary Reeder,garyr@savanna.k12.ok.us,Leland Anderson
SAYRE,BECKHAM,05-I031,Sayre,716 Northeast Highway 66,OK,73662.0,(580) 928-5531,(580) 928-5538,www.sayre.k12.ok.us,Todd Winn,twinn@sayre.k12.ok.us,Vicki Hinkle
SCHULTER,OKMULGEE,56-I006,Schulter,23507 Flax Ave,OK,74460.0,(918) 652-8219,(918) 652-8474,www.schulter.k12.ok.us,Allen Callahan,acallahan@schulter.k12.ok.us,Mike Mahan
SEILING,DEWEY,22-I008,Seiling,100 N. Elm,OK,73663.0,(580) 922-7383,(580) 922-8019,www.seiling.k12.ok.us,Randy Seifried,rseifried@seiling.k12.ok.us,Kelly Chain
SEMINOLE,SEMINOLE,67-I001,Seminole,617 N. Timmons,OK,74868.0,(405) 382-5085,(405) 382-8281,www.sps.k12.ok.us/,Bill Weldon,bweldon@sps.k12.ok.us,Cai Levy
SEMINOLE COUNTY (ILC),SEMINOLE,67-K001,Oklahoma City,100 Bison Dr.,OK,74960.0,() -,() -,www.dbcschool.org,Umit Alpaslan,alp@doveschools.org,Bilal Erturk
SENTINEL,WASHITA,75-I001,Sentinel,708 E. Washington,OK,73664.0,(580) 393-2101,(580) 393-4747,www.sentinel.k12.ok.us,Jason Goostree,jgoostree@sentinel.k12.ok.us,Rusty Shields
SEQUOYAH,ROGERS,66-I006,Claremore,16441 South 4180 Road,OK,74017.0,(918) 341-5472,(918) 341-5764,www.sequoyaheagles.net,Terry Saul,terry.saul@sequoyaheagles.net,Dave Eaton
SHADY GROVE,CHEROKEE,11-C026,Hulbert,11042 West Shady Grove Road,OK,74441.0,(918) 772-2511,(918) 772-2430,www.dbcschool.org,Emmett Thompson,ethompson@shadygrove.k12.ok.us,Lea Arnall
SHADY POINT,LE FLORE,40-C004,Shady Point,22838 Wheelus,OK,74956.0,(918) 963-2595,(918) 963-2605,www.spk12.org,Bruce Gillham,bruce.gillham@spk12.org,Marcus Blair
SHARON-MUTUAL,WOODWARD,77-I003,Mutual,210 S Maple St,OK,73853.0,(580) 989-3210,(580) 989-3241,www.smps.k12.ok.us,Jeff Thompson,jthompson@smps.k12.ok.us,Reed Schmeling
SHATTUCK,ELLIS,23-I042,Shattuck,602 South Hickory,OK,73858.0,(580) 938-2586,(580) 938-8019,www.shattuck.k12.ok.us,Randy Holley,rholley@shattuck.k12.ok.us,Mark Bay
SHAWNEE,POTTAWATOMIE,63-I093,Shawnee,326 North Union St,OK,74801.0,(405) 273-0653,(405) 273-6818,www.shawnee.k12.ok.us/,Dr. Marc Moore,mmoore@shawnee.k12.ok.us,Keith Sandlin
SHIDLER,OSAGE,57-I011,Shidler,213 S Wg Ward,OK,74652.0,(918) 793-2021,(918) 793-2061,www.shidlerpublicschools.com,John Herzig,jherzig@shidlerps.org,Michael Godfrey
SILO,BRYAN,07-I001,Durant,122 West Bourne St,OK,74701.0,(580) 924-7000,(580) 920-7988,www.siloisd.org,Kate Mcdonald,k.mcdonald@siloisd.org,Mindy House
SKIATOOK,TULSA,72-I007,Skiatook,355 South Osage St,OK,74070.0,(918) 396-1792,(918) 396-1799,www.skiatookschools.org,Rick Thomas,rthomas@skiatookschools.org,Tim Allen
SMITHVILLE,MCCURTAIN,48-I014,Smithville,339 Main St.,OK,74957.0,(580) 244-3333,(580) 244-7583,www.smithville.k12.ok.us/,Delbert Mcbroom,dmcbroom@smithville.k12.ok.us,Lee Brown
SNYDER,KIOWA,38-I004,Mt. Park,218 N Highway 183,OK,73559.0,(580) 569-2773,(580) 569-4205,www.snyder.k12.ok.us,Robert Trammell,rtrammell@snyder.k12.ok.us,Mike Roberts
SOPER,CHOCTAW,12-I004,Soper,810 St. Louis St.,OK,74759.0,(580) 345-2757,(580) 345-2222,www.soperschool.com/,Scott Van Worth,soperschool@live.com,Shawn Scott
SOUTH COFFEYVILLE,NOWATA,53-I051,South Coffeyville,600 E. 5th,OK,74072.0,(918) 255-6202,(918) 255-6230,scps.k12.ok.us,Clemo Haddox,cfhaddox@scps.k12.ok.us,Barry Kallenberger
SOUTH ROCK CREEK,POTTAWATOMIE,63-C032,Shawnee,17800 South Rock Creek Road,OK,74801.0,(405) 273-6072,(405) 273-8926,src.k12.ok.us/,Michael Crawford,mcrawford@src.k12.ok.us,Mary Mcneil
SOUTHEASTERN OKLAHOMA (ILC),MCCURTAIN,48-K002,Idabel,103 Ne Ave. A,OK,74745.0,(580) 286-3344,(580) 286-5598,soic.k12.ok.us,Tracy Mussett,tracy@soic.k12.ok.us,Craig Wall
SPAVINAW,MAYES,46-C021,Spavinaw,100 Lake Avenute,OK,74366.0,(918) 589-2228,(918) 589-2476,www.dbcschool.org,Christine Midgley,cmidgley@spavinawok.net,Dalton Jones
SPERRY,TULSA,72-I008,Sperry,400 West Main St,OK,74073.0,(918) 288-6258,(918) 288-7067,www.sperry.k12.ok.us,Brian Beagles,bbeagles@sperry.k12.ok.us,Jeff Carter
SPIRO,LE FLORE,40-I002,Spiro,600 West Broadway St,OK,74959.0,(918) 962-2463,(918) 962-2757,www.spiro.k12.ok.us,Don Atkinson,donatkinson@spiro.k12.ok.us,Justin Sebo
SPRINGER,CARTER,10-I021,Springer,16624 Us Hwy 77,OK,73458.0,(580) 653-2656,(580) 653-2666,www.springerschools.com,Cynthia Hunter,chunter@springer.k12.ok.us,Travis Roberts
STERLING,COMANCHE,16-I003,Sterling,400 S Tiger Blvd,OK,73567.0,(580) 365-4307,(580) 365-4705,www.sterling.k12.ok.us,Julie Poteete,jpoteete@sterling.k12.ok.us,Joe Joiner
STIDHAM,MCINTOSH,49-C016,Eufaula,113074 S 4110 Rd,OK,74432.0,(918) 689-5241,(918) 689-9163,www.stidham.k12.ok.us,Danny Williams,sup@stidham.k12.ok.us,Abe Mcintosh
STIGLER,HASKELL,31-I020,Stigler,309 Northwest E St,OK,74462.0,(918) 967-2805,(918) 967-4550,https://www.stigler.k12.ok.us,Clayton Edwards,cedwards@stigler.k12.ok.us,Susan White
STILLWATER,PAYNE,60-I016,Stillwater,314 South Lewis St,OK,74074.0,(405) 533-6300,(405) 533-6311,www.stillwaterschools.com,Gay Washington,gayw@stillwaterschools.com,John Price
STILWELL,ADAIR,01-I025,Stilwell,1801 West Locust St,OK,74960.0,(918) 696-7001,(918) 696-2193,www.stilwellk12.org,Geri Gilstrap,ggilstrap@stilwellk12.org,Chad Smith
STONEWALL,PONTOTOC,62-I030,Stonewall,600 South Highschool,OK,74871.0,(580) 265-4241,(580) 265-4536,www.stonewall.k12.ok.us,Kevin Flowers,kflowers@stonewall.k12.ok.us,Charlie Hall
STRAIGHT,TEXAS,70-C080,Guymon,"Rural Route 1, Box 89",OK,73942.0,(580) 652-2232,(580) 652-3299,www.straighteagles.com,Steve Baird,steve.baird@straight.k12.ok.us,Kurt Benfer
STRATFORD,GARVIN,25-I002,Stratford,341 North Elm St,OK,74872.0,(580) 759-3615,(580) 759-2669,www.stratford.k12.ok.us,Michael Blackburn,mblackburn@stratford.k12.ok.us,Shawn Mann
STRINGTOWN,ATOKA,03-I007,Stringtown,304 Highland St.,OK,74569.0,(580) 346-7423,(580) 346-7223,www.stringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
STROTHER,SEMINOLE,67-I014,Seminole,36085 Ew 1140,OK,74868.0,(405) 382-4014,(405) 382-3339,www.strother.k12.ok.us,Chad Broughton,c.broughton@strother.k12.ok.us,Rhonda Coates
STROUD,LINCOLN,41-I054,Stroud,212 West 7th St,OK,74079.0,(918) 968-2541,(918) 968-2582,www.stroud.k12.ok.us,Joe Van Tuyl,jvantuyl@stroud.k12.ok.us,John Cook
STUART,HUGHES,32-I054,Stuart,8837 Fourth St,OK,74570.0,(918) 546-2476,(918) 546-2329,www.stuart.k12.ok.us,Tracy Blasengame,tblas@stuart.k12.ok.us,Bobby Talley
SULPHUR,MURRAY,50-I001,Sulphur,1021 West Ninth St,OK,73086.0,(580) 622-2061,(580) 622-6789,www.sulphurk12.org,Gary Jones,gary.jones@sulphurk12.org,Key Tammy
SWEETWATER,ROGER MILLS,65-I015,Sweetwater,11107 North Highway 30,OK,73666.0,(580) 534-2272,(580) 534-2273,www.sweetwater.k12.ok.us,Casey Reed,creed@sweetwater.k12.ok.us,Floyd Pickering
SWINK,CHOCTAW,12-C021,Swink,500 Jourdan St,OK,74761.0,(580) 873-2695,(580) 873-9493,www.swink.k12.ok.us,Mark Bush,mbush@swink.k12.ok.us,Darrell Stowers
TAHLEQUAH,CHEROKEE,11-I035,Tahlequah,225 N Water St,OK,74464.0,(918) 458-4100,(918) 458-4103,www.tahlequahschools.org,Lisa Presley,presleyl@tahlequahschools.org,David Morrison
TALIHINA,LE FLORE,40-I052,Talihina,301 Isherwood St.,OK,74571.0,(918) 567-2259,(918) 567-3507,www.talihina.k12.ok.us,Jason Lockhart,jlockhart@talihina.k12.ok.us,Steven Ramsey
TALOGA,DEWEY,22-I010,Taloga,500 West Ruble,OK,73667.0,(580) 328-5577,(580) 328-5237,www.taloga.k12.ok.us,Darci Brown,dbrown@taloga.k12.ok.us,Ruth Ann Barron
TANNEHILL,PITTSBURG,61-C056,Mcalester,9283 Tannehill Road,OK,74501.0,(918) 423-6393,(918) 423-3068,www.tannehill.k12.ok.us,John Wilcox,jwilcox@tannehill.k12.ok.us,Shirley Ross
TECUMSEH,POTTAWATOMIE,63-I092,Tecumseh,1301 East Highland St,OK,74873.0,(405) 598-3739,(405) 598-2861,www.tecumseh.k12.ok.us,Tom Wilsie,wilsiet@tecumseh.k12.ok.us,Keith Hays
TEMPLE,COTTON,17-I101,Temple,206 School Road,OK,73568.0,(580) 342-6230,(580) 342-6463,www.temple.k12.ok.us,Kolby Johnson,kjohnson@temple.k12.ok.us,Micah Lipscomb
TENKILLER,CHEROKEE,11-C066,Welling,26106 East 863 Road,OK,74471.0,(918) 457-5996,(918) 457-5619,www.tenkiller.k12.ok.us,Randy Rountree,rrountree@tenkiller.k12.ok.us,Charley Holcomb
TERRAL,JEFFERSON,34-C003,Terral,340 Apache Ave.,OK,73569.0,(580) 437-2244,(580) 437-2246,www.dbcschool.org,Greg Fouse,gfouse@terral.k12.ok.us,Glen Martin
TEXHOMA,TEXAS,70-I061,Texhoma,418 Elm St,OK,73949.0,(580) 423-7433,(580) 423-7096,www.texhoma61.net,Tom Schroeder,tom.schroeder@texhoma61.net,Brady Mitchell
THACKERVILLE,LOVE,43-I004,Thackerville,18943 Us Highway 77,OK,73459.0,(580) 276-2630,(580) 276-2638,thackerville.opsrc.net,Greg Raper,graper@tpsmail.org,Kevin Wolfe
THOMAS-FAY-CUSTER UNIFIED DIST,CUSTER,20-I007,Thomas,920 N. Main,OK,73669.0,(580) 661-3527,(580) 661-3589,www.thomas.k12.ok.us,Rob Royalty,rob@thomas.k12.ok.us,Richard Bright
TIMBERLAKE,ALFALFA,02-I093,Helena,601 N. Main,OK,73741.0,(580) 852-3307,(580) 852-3280,www.tlake.k12.ok.us,Brent Rousey,rrousey@tlake.k12.ok.us,Chris Clift
TIPTON,TILLMAN,71-I008,Tipton,1000 South Broadway,OK,73570.0,(580) 667-5268,(580) 667-5267,www.tiptontigers.net,Shane Boothe,sboothe@tiptontigers.net,Jerry Stoll
TISHOMINGO,JOHNSTON,35-I020,Tishomingo,1300 East Main St,OK,73460.0,(580) 371-9190,(580) 371-3765,www.tishomingo.k12.ok.us,Kevin Duncan,kduncan@tishomingo.k12.ok.us,Doug Blackburn
TONKAWA,KAY,36-I087,Tonkawa,500 East North Ave.,OK,74653.0,(580) 628-3597,(580) 628-5132,www.tonkawa.k12.ok.us,Lori Simpson,lsimpson@tonkawa.k12.ok.us,Mark Cranford
TRI-COUNTY (ILC),CARTER,10-K001,Fox,100 School St,OK,73435.0,(580) 673-2310,(580) 673-2309,www.ringling.k12.ok.us,Michelle Taylor,mtaylor@ringling.k12.ok.us,Kent Southward
TULSA,TULSA,72-I001,Tulsa,3027 S New Haven,OK,74114.0,(918) 746-6800,(918) 746-6850,www.tulsaschools.org,Deborah Gist,gistde@tulsaschools.org,Lana Turner-Addison
TULSA CHARTER: COLLEGE BOUND,TULSA,72-E017,Tulsa,2525 S 101St East Ave.,OK,74129.0,(918) 925-1580,(918) 925-1585,www.collegeboundschool.org,Chelsea Vanacore,cvanacore@collegeboundschool.org,Joey Wignarajah
TULSA CHARTER: COLLEGIATE HALL,TULSA,72-E019,Tulsa,1142 East 56th St,OK,74105.0,(918) 925-1620,(918) 925-1629,www.collegiatehall.org,Nikhil Kawlra,nkawlra@collegiatehall.org,Gregory Shaw
TULSA CHARTER: HONOR ACADEMY,TULSA,72-E018,Tulsa,2525 S. 101St E. Ave.,OK,74129.0,(918) 833-9420,(405) 470-6715,www.tulsahonoracademy.org,Elsie Urueat,elsie@tulsahonoracademy.org,Marvin Lizama
TULSA CHARTER: KIPP TULSA,TULSA,72-E005,Tulsa,1661 E. Virgin St,OK,74106.0,(918) 794-8652,(918) 794-8712,www.kipptulsa.org,John Wolfkill,jwolfkill@kipptulsa.org,Don Parker
TULSA CHARTER: LIGHTHOUSE ACAD,TULSA,72-E006,Tulsa,105 East 63Rd St North,OK,74126.0,(918) 794-1442,(918) 794-1480,www.tulsalegacy.org,Carlisha Williams,cwilliams@tulsalegacy.org,Annie Van Hanken
TULSA CHARTER: SCHL ARTS/SCI.,TULSA,72-E004,Tulsa,3441 E Archer,OK,74115.0,(918) 828-7727,(918) 828-7747,tsas.org,Eric Doss,edoss@tsas.org,James Ford
TUPELO,COAL,15-I002,Tupelo,200 South 7Th,OK,74572.0,(580) 845-2460,(580) 845-2565,www.tupelo.k12.ok.us,Jerry Romines,jromines@tupelo.k12.ok.us,Joyce Sanders
TURKEY FORD,OTTAWA,58-C010,Wyandotte,23900 South 670 Road,OK,74370.0,(918) 786-4902,(918) 787-5015,www.turkeyford.net,Tamyra Larson,tlarson@turkeyford.net,Donna Mouser
TURNER,LOVE,43-I005,Burneyville,22069 State Hwy.32,OK,73430.0,(580) 276-1307,(580) 276-5223,www.turnerisd.org,Burl Solie,bsolie@turnerisd.org,Lance Parker
TURPIN,BEAVER,04-I128,Turpin,316 S Lee,OK,73950.0,(580) 778-3333,(580) 778-3179,www.turpinps.org,Bret Rider,brider@turpinps.org,Jay Musgrave
TUSHKA,ATOKA,03-I019,Atoka,261 W Boggy Depot Road,OK,74525.0,(580) 889-7355,(580) 889-6144,tushka.k12.ok.us,Matthew Simpson,msimpson@tushka.k12.ok.us,Bennie Evans
TUSKAHOMA,PUSHMATAHA,64-C004,Tuskahoma,Hwy 271 Tuskahoma School Rd.,OK,74574.0,(918) 569-7737,(918) 569-4154,www.tuskahoma.com/,Barry Simpson,bsimpson@tuskahoma.k12.ok.us,Lucretia Mcgee
TUTTLE,GRADY,26-I097,Tuttle,515 East Main,OK,73089.0,(405) 381-2605,(405) 381-4008,www.tuttleschools.info,Bobby Waitman,bwaitman@tuttleschools.info,Tim Hogland
TWIN HILLS,OKMULGEE,56-C011,Okmulgee,7225 Twin Hills Road,OK,74447.0,(918) 733-2531,(918) 733-2861,www.twinhills.k12.ok.us,Gary Mcelroy,gmcelroy@twinhills.k12.ok.us,Gary Hudgens
TYRONE,TEXAS,70-I053,Tyrone,6th And Beatrice,OK,73951.0,(580) 854-6298,(580) 854-6474,www.dbcschool.org,Joshua Bell,jbell@tyrone.k12.ok.us,Tim Lunceford
UNION,TULSA,72-I009,Tulsa,8506 East 61St St,OK,74133.0,(918) 357-4321,(918) 357-6012,www.unionps.org/,Kirtis Hartzler,hartzler.kirt@unionps.org,Patrick Coyle
UNION CITY,CANADIAN,09-I057,Union City,105 W. Division,OK,73090.0,(405) 483-3531,(405) 483-5599,www.unioncity.k12.ok.us,Todd Carel,tcarel@unioncity.k12.ok.us,John Everett
VALLIANT,MCCURTAIN,48-I011,Valliant,604 East Lucas St,OK,74764.0,(580) 933-7232,(580) 933-7289,www.vpsd.org,Craig Wall,cwall@vpsd.org,Becky Sargent
VANOSS,PONTOTOC,62-I009,Ada,4665 County Road 1555,OK,74820.0,(580) 759-2251,(580) 759-3080,www.vanoss.k12.ok.us,Marjana Tharp,mtharp@vanoss.k12.ok.us,Noralene Groves
VARNUM,SEMINOLE,67-I007,Seminole,11929 Ns 3550,OK,74868.0,(405) 382-1448,(405) 382-8618,www.varnum.k12.ok.us,David Brewer,dbrewer@varnum.k12.ok.us,J. P. Duvall
VELMA-ALMA,STEPHENS,69-I015,Velma,901 Main St,OK,73491.0,(580) 444-3355,(580) 444-2554,www.velma-alma.com,Raymond Rice,rrice@velma-alma.k12.ok.us,James Layn
VERDEN,GRADY,26-I099,Verden,100 South Locust,OK,73092.0,(405) 453-7247,(405) 453-7246,www.verdenschools.org,David Davidson,ddavidson@verdenschools.org,Cindi Nichols
VERDIGRIS,ROGERS,66-I008,Claremore,26501 S. 4110 Rd.,OK,74019.0,(918) 266-7227,(918) 266-3910,www.vps.k12.ok.us,Mike Payne,mpayne@vps.k12.ok.us,Kandy Collins
VIAN,SEQUOYAH,68-I002,Vian,301 West Hunter,OK,74962.0,(918) 773-5798,(918) 773-3051,www.vian.k12.ok.us,Victor Salcedo,vsalcedo@vian.k12.ok.us,Gary Seay
VICI,DEWEY,22-I005,Vici,301 North Miller St,OK,73859.0,(580) 995-4744,(580) 995-3101,www.vicischools.k12.ok.us,Coby Nelson,cnelson@vicischools.k12.ok.us,Kim White
VINITA,CRAIG,18-I065,Vinita,114 South Scraper St,OK,74301.0,(918) 256-6778,(918) 256-5617,www.vinitahornets.com,Kelly Grimmett,grimmekd@vinitahornets.com,Jandra Mayer-Ward
WAGONER,WAGONER,73-I019,Wagoner,308 Ne 2Nd St,OK,74467.0,(918) 485-4046,(918) 485-8710,www.wagonerps.org,Randy Harris,rharris@wagonerps.org,Brenda Barney
WAINWRIGHT,MUSKOGEE,51-C009,Wainwright,115 E. Walnut,OK,74468.0,(918) 474-3484,(918) 474-3744,www.dbcschool.org,Jim Ogden,wainwright.ps@lycos.com,Ron Watson
WALTERS,COTTON,17-I001,Walters,418 South Broadway St,OK,73572.0,(580) 875-2568,(580) 875-2831,www.blued.org,Jimmie Dedmon,jldedmon@waltersps.org,Scott Reed
WANETTE,POTTAWATOMIE,63-I115,Wanette,503 Vestal Ave.,OK,74878.0,(405) 383-2656,(405) 383-2449,www.wanette.k12.ok.us,Crystal Shaw,cshaw@wanette.k12.ok.us,Kelly Teague
WAPANUCKA,JOHNSTON,35-I037,Wapanucka,502 S. Choctaw,OK,73461.0,(580) 937-4466,(580) 937-4801,wpss.k12.ok.us,Max Rowland,mrowland@wpss.k12.ok.us,Jeff Baxter
WARNER,MUSKOGEE,51-I074,Warner,1012 5th Ave.,OK,74469.0,(918) 463-5171,(918) 463-2542,www.warner.k12.ok.us,David Vinson,davidvinson@warner.k12.ok.us,Dale Wiggins
WASHINGTON,MCCLAIN,47-I005,Washington,101 East Kerby,OK,73093.0,(405) 288-6190,(405) 288-6214,www.washington.k12.ok.us,A.J. Brewer,ajbrewer@washington.k12.ok.us,Jason Hendrix
WATONGA,BLAINE,06-I042,Watonga,1021 N. Weigle,OK,73772.0,(580) 623-7364,(580) 623-7370,www.watongapublicschools.com,Bill Seitter,billseitter@watonga.k12.ok.us,Joyce Lucas
