2432.namelsad,Census Tact 1104.01,Census Tract 1104.01
2750.mtfcc,G5002,G5020
700.namelsad,Census Tract 04,Census Tract 40
3180.funcstat,,S
3126.namelsad,Census Tratc 12,Census Tract 12
3465.funcstat,wS,S
2074.li_cor_dac,LCI,LIC
861.mtfcc,5G020,G5020
470.funcstat,mS,S
3911.funcstat,,S
4172.funcstat,,S
49.li_cor_dac,Bjoth,Both
1058.funcstat,***,S
4683.namelsad,Census Trat 741.09,Census Tract 741.09
3236.funcstat,,S
637.funcstat,,S
1370.mtfcc,Gl5020,G5020
2593.li_cor_dac,LIeC,LIC
2461.mtfcc,5020,G5020
3185.mtfcc,G50i20,G5020
1964.mtfcc,G50b20,G5020
2924.mtfcc,G5002,G5020
850.namelsad,Census Tract 039.02,Census Tract 5039.02
4194.namelsad,Census Tract446.05,Census Tract 446.05
262.namelsad,ensus Tract 103,Census Tract 103
1573.namelsad,Census Tracxt 1542.02,Census Tract 1542.02
964.li_cor_dac,LCI,LIC
4160.li_cor_dac,DzAC,DAC
4530.namelsad,Census Trat 5025,Census Tract 5025
1312.namelsad,Census Tract1325.01,Census Tract 1325.01
534.li_cor_dac,LC,LIC
2648.mtfcc,G020,G5020
513.li_cor_dac,LCI,LIC
3427.funcstat,mS,S
3213.namelsad,Census Traact 4010,Census Tract 4010
3911.mtfcc,5020,G5020
483.namelsad,ensus Tract 70,Census Tract 70
633.mtfcc,5020,G5020
2531.li_cor_dac,Bth,Both
1987.funcstat,***,S
3756.mtfcc,5020,G5020
2599.funcstat,aS,S
2155.namelsad,Cnesus Tract 54,Census Tract 54
2827.mtfcc,xG5020,G5020
1471.namelsad,Census Tract 530.102,Census Tract 5301.02
2201.namelsad,ensus Tract 755.12,Census Tract 755.12
2147.mtfcc,G5z020,G5020
881.funcstat,hS,S
3974.funcstat,***,S
102.mtfcc,G5002,G5020
2347.funcstat,***,S
1752.namelsad,CensusTract 433.12,Census Tract 433.12
2252.funcstat,bS,S
2306.namelsad,Census Tract 74b6.01,Census Tract 746.01
1969.li_cor_dac,IC,LIC
2465.mtfcc,5020,G5020
3332.namelsad,Census Tract f404,Census Tract 404
1892.namelsad,yCensus Tract 3.03,Census Tract 3.03
1584.namelsad,Census Trac 478.02,Census Tract 478.02
2936.mtfcc,G500,G5020
3543.li_cor_dac,LIbC,LIC
4419.mtfcc,5020,G5020
3678.mtfcc,G520,G5020
1423.li_cor_dac,Botqh,Both
1528.namelsad,Census Trcat 14,Census Tract 14
992.namelsad,CensusTract 4024.05,Census Tract 4024.05
333.funcstat,rS,S
3776.mtfcc,Gl5020,G5020
918.mtfcc,5G020,G5020
354.mtfcc,G020,G5020
178.funcstat,hS,S
4262.namelsad,Cenuss Tract 11.01,Census Tract 11.01
1280.li_cor_dac,Botmh,Both
759.namelsad,Cenus Tract 1061.14,Census Tract 1061.14
1140.namelsad,Census Tract 2121.1,Census Tract 2121.01
4525.namelsad,Census rTact 4820.02,Census Tract 4820.02
664.mtfcc,G500,G5020
945.li_cor_dac,Boht,Both
4525.funcstat,rS,S
3041.funcstat,oS,S
2526.namelsad,Census Trct 263.01,Census Tract 263.01
4601.funcstat,,S
958.mtfcc,G5002,G5020
1256.li_cor_dac,ILC,LIC
4632.funcstat,eS,S
3636.funcstat,***,S
3818.li_cor_dac,LCI,LIC
742.funcstat,jS,S
1862.mtfcc,G520,G5020
1648.mtfcc,5020,G5020
4224.funcstat,hS,S
301.li_cor_dac,Bosth,Both
967.mtfcc,G5c020,G5020
4333.funcstat,oS,S
2879.funcstat,***,S
3426.funcstat,***,S
3634.li_cor_dac,Bogth,Both
1635.mtfcc,wG5020,G5020
1664.li_cor_dac,oth,Both
3240.namelsad,Census Tratc 27.05,Census Tract 27.05
2743.funcstat,***,S
2997.funcstat,***,S
3450.mtfcc,vG5020,G5020
3647.mtfcc,G520,G5020
3264.mtfcc,G50a20,G5020
460.mtfcc,G50z20,G5020
3912.mtfcc,G500,G5020
207.li_cor_dac,ADC,DAC
990.namelsad,Census Tract 2401.01,Census Tract 2410.01
1576.namelsad,Census Tarct 313.02,Census Tract 313.02
3826.li_cor_dac,oBth,Both
927.li_cor_dac,Botuh,Both
323.li_cor_dac,ILC,LIC
822.funcstat,oS,S
1026.li_cor_dac,ILC,LIC
4034.mtfcc,G020,G5020
3827.namelsad,Cenus Tract 8.26,Census Tract 8.26
1866.li_cor_dac,mBoth,Both
4252.funcstat,***,S
1935.li_cor_dac,LCI,LIC
4181.namelsad,Census lTract 38.03,Census Tract 38.03
1250.funcstat,dS,S
4192.funcstat,nS,S
2933.li_cor_dac,IC,LIC
3749.mtfcc,G5002,G5020
1107.funcstat,,S
13.mtfcc,G0520,G5020
4096.mtfcc,G502u0,G5020
1794.funcstat,***,S
3810.funcstat,***,S
229.namelsad,Census Tract 10420,Census Tract 104.20
1461.li_cor_dac,DAgC,DAC
4610.li_cor_dac,LIzC,LIC
2021.funcstat,***,S
3018.mtfcc,G0520,G5020
940.namelsad,ensus Tract 1021.03,Census Tract 1021.03
3103.mtfcc,G500,G5020
2443.namelsad,Census Tract755.14,Census Tract 755.14
1859.funcstat,,S
4489.funcstat,***,S
505.li_cor_dac,ILC,LIC
4345.namelsad,Census Tracat 2.03,Census Tract 2.03
4602.funcstat,***,S
3989.namelsad,Censusj Tract 5436.02,Census Tract 5436.02
1995.mtfcc,G50s20,G5020
1649.mtfcc,G500,G5020
1012.funcstat,***,S
45.funcstat,***,S
1765.funcstat,sS,S
2891.mtfcc,G0520,G5020
3712.mtfcc,5020,G5020
2513.funcstat,bS,S
3526.funcstat,***,S
996.mtfcc,G5002,G5020
705.mtfcc,G502b0,G5020
3200.funcstat,,S
743.mtfcc,G50r20,G5020
2028.li_cor_dac,DAkC,DAC
2501.li_cor_dac,LIdC,LIC
3226.mtfcc,Gp5020,G5020
2583.li_cor_dac,mBoth,Both
1532.funcstat,***,S
2936.funcstat,,S
4182.funcstat,rS,S
2260.mtfcc,G5j020,G5020
4626.mtfcc,5G020,G5020
3112.funcstat,gS,S
3057.mtfcc,Gl5020,G5020
1794.li_cor_dac,LCI,LIC
1557.li_cor_dac,LCI,LIC
1432.funcstat,***,S
2345.funcstat,wS,S
2971.mtfcc,G5002,G5020
1279.namelsad,eCnsus Tract 4333.05,Census Tract 4333.05
1877.li_cor_dac,IC,LIC
787.funcstat,***,S
4030.mtfcc,G5002,G5020
1677.funcstat,***,S
2509.namelsad,Census Tratc 74.03,Census Tract 74.03
1685.li_cor_dac,Bth,Both
2176.namelsad,Census Tract 3130,Census Tract 1330
2157.funcstat,***,S
65.li_cor_dac,ILC,LIC
485.funcstat,,S
4518.namelsad,Cnsus Tract 110.02,Census Tract 110.02
934.funcstat,,S
640.funcstat,kS,S
4319.funcstat,iS,S
1272.funcstat,***,S
1306.mtfcc,oG5020,G5020
2716.namelsad,Cenus Tract 71,Census Tract 71
1946.funcstat,,S
1531.li_cor_dac,LIzC,LIC
3341.funcstat,***,S
4240.namelsad,Cnesus Tract 425.07,Census Tract 425.07
825.mtfcc,G502c0,G5020
1473.li_cor_dac,pBoth,Both
4074.funcstat,cS,S
1101.namelsad,Census Tract l2007.05,Census Tract 2007.05
3369.li_cor_dac,ILC,LIC
1336.namelsad,Census Tyract 1210.10,Census Tract 1210.10
855.funcstat,,S
982.funcstat,tS,S
2351.funcstat,,S
4709.mtfcc,5020,G5020
4154.li_cor_dac,Boh,Both
1883.mtfcc,G0520,G5020
4729.funcstat,***,S
765.li_cor_dac,IC,LIC
3974.namelsad,Census Tract 76n.04,Census Tract 76.04
3976.li_cor_dac,LCI,LIC
2217.funcstat,jS,S
3138.mtfcc,Gy5020,G5020
998.funcstat,bS,S
2409.funcstat,nS,S
470.namelsad,Census Trac t14,Census Tract 14
3892.li_cor_dac,Bohth,Both
115.funcstat,***,S
218.li_cor_dac,dBoth,Both
4618.funcstat,pS,S
2758.funcstat,,S
4027.mtfcc,hG5020,G5020
4627.funcstat,,S
2867.namelsad,Censsu Tract 7.03,Census Tract 7.03
4064.funcstat,kS,S
4503.li_cor_dac,LC,LIC
2059.funcstat,cS,S
4080.namelsad,Ceynsus Tract 5344.04,Census Tract 5344.04
2466.mtfcc,G5002,G5020
3115.funcstat,eS,S
3371.mtfcc,G0520,G5020
2185.funcstat,tS,S
2492.mtfcc,5020,G5020
4251.li_cor_dac,Btoh,Both
2273.li_cor_dac,AC,DAC
4077.li_cor_dac,oth,Both
4207.li_cor_dac,oth,Both
1472.mtfcc,5020,G5020
2285.li_cor_dac,LC,LIC
4566.namelsad,CensusTract 5535.02,Census Tract 5535.02
3752.mtfcc,Gg5020,G5020
2089.funcstat,,S
2235.funcstat,,S
3065.funcstat,***,S
1684.namelsad,Censuos Tract 2282.20,Census Tract 2282.20
1147.mtfcc,5020,G5020
2810.funcstat,xS,S
148.namelsad,eCnsus Tract 34,Census Tract 34
4424.li_cor_dac,ILC,LIC
4215.namelsad,Ckensus Tract 6036,Census Tract 6036
4278.namelsad,Cepnsus Tract 412.01,Census Tract 412.01
3300.funcstat,vS,S
3260.funcstat,hS,S
2133.li_cor_dac,Bxoth,Both
4449.funcstat,,S
3201.namelsad,Cnsus Tract 203.07,Census Tract 203.07
1229.funcstat,***,S
2061.funcstat,,S
3160.namelsad,Cecnsus Tract 9805.01,Census Tract 9805.01
1797.funcstat,,S
1053.li_cor_dac,Boht,Both
4011.li_cor_dac,Bobth,Both
2394.funcstat,tS,S
319.namelsad,Census Trac t31.05,Census Tract 31.05
2939.li_cor_dac,Bokth,Both
2496.namelsad,Censsu Tract 637.02,Census Tract 637.02
2797.funcstat,tS,S
1766.funcstat,,S
841.li_cor_dac,ILC,LIC
956.mtfcc,zG5020,G5020
106.mtfcc,G0520,G5020
4239.namelsad,Census oTract 6032,Census Tract 6032
2452.mtfcc,5020,G5020
4667.mtfcc,G500,G5020
794.li_cor_dac,LeIC,LIC
2836.mtfcc,G5200,G5020
2984.li_cor_dac,oBth,Both
3665.li_cor_dac,Boht,Both
2103.mtfcc,aG5020,G5020
4421.funcstat,,S
3628.li_cor_dac,DCA,DAC
4000.funcstat,***,S
2102.funcstat,iS,S
2189.mtfcc,G5002,G5020
664.funcstat,xS,S
49.namelsad,CensusTract 5308.01,Census Tract 5308.01
2259.namelsad,Census Trcat 452.22,Census Tract 452.22
2139.funcstat,jS,S
1372.mtfcc,G5002,G5020
151.mtfcc,G0520,G5020
3231.funcstat,***,S
314.mtfcc,G5200,G5020
1662.li_cor_dac,LC,LIC
858.li_cor_dac,dLIC,LIC
409.mtfcc,G5002,G5020
4478.mtfcc,5G020,G5020
1072.li_cor_dac,LC,LIC
269.funcstat,cS,S
1492.mtfcc,G50i20,G5020
3601.li_cor_dac,LqIC,LIC
4270.funcstat,kS,S
343.li_cor_dac,oth,Both
2292.funcstat,kS,S
430.funcstat,***,S
2753.mtfcc,G020,G5020
3565.namelsad,Cgensus Tract 100.13,Census Tract 100.13
21.funcstat,oS,S
3665.namelsad,Censu sTract 1211.02,Census Tract 1211.02
3639.namelsad,Chensus Tract 185.10,Census Tract 185.10
811.funcstat,***,S
1421.funcstat,,S
2436.funcstat,eS,S
3352.funcstat,,S
2672.mtfcc,G502x0,G5020
249.li_cor_dac,ILC,LIC
4245.li_cor_dac,IC,LIC
396.li_cor_dac,LC,LIC
3372.namelsad,Census Tract 401203,Census Tract 4012.03
4268.namelsad,Censous Tract 8,Census Tract 8
1960.namelsad,Census Tact 2509,Census Tract 2509
938.namelsad,Census Tract 1200.03,Census Tract 1200.30
4456.li_cor_dac,LC,LIC
3776.li_cor_dac,Bojth,Both
368.namelsad,xCensus Tract 1343.06,Census Tract 1343.06
3484.funcstat,***,S
11.namelsad,Census Tract 1832b.20,Census Tract 1832.20
2986.namelsad,Census Tract 3303,Census Tract 33.03
1266.funcstat,bS,S
1127.mtfcc,G5n020,G5020
1037.namelsad,ensus Tract 1236.01,Census Tract 1236.01
3847.li_cor_dac,LC,LIC
2285.namelsad,Census Tract 901.209,Census Tract 9012.09
1071.funcstat,cS,S
2920.namelsad,Census Trxact 199.03,Census Tract 199.03
2805.namelsad,Celnsus Tract 5032.07,Census Tract 5032.07
1139.mtfcc,uG5020,G5020
1616.funcstat,xS,S
2585.namelsad,Censu Tract 10.01,Census Tract 10.01
4598.mtfcc,5020,G5020
2906.mtfcc,G5200,G5020
4274.funcstat,,S
4052.li_cor_dac,LCI,LIC
66.funcstat,,S
3225.funcstat,,S
2402.namelsad,Cnesus Tract 22,Census Tract 22
974.funcstat,bS,S
892.namelsad,Census Tratc 4058,Census Tract 4058
1793.li_cor_dac,Bojth,Both
852.namelsad,Census Traczt 9411,Census Tract 9411
2465.namelsad,Census Tract 1160.03,Census Tract 1106.03
3115.mtfcc,G50n20,G5020
1300.li_cor_dac,Boht,Both
3025.li_cor_dac,IC,LIC
1622.namelsad,Census Tract2 377.20,Census Tract 2377.20
2092.li_cor_dac,LCI,LIC
1020.funcstat,,S
2320.mtfcc,G5y020,G5020
863.li_cor_dac,oth,Both
727.mtfcc,Gm5020,G5020
2818.mtfcc,5020,G5020
1347.mtfcc,G502h0,G5020
2059.namelsad,Cenus Tract 104.10,Census Tract 104.10
2564.li_cor_dac,oth,Both
1623.mtfcc,5020,G5020
2478.li_cor_dac,IC,LIC
3021.mtfcc,G500,G5020
3250.namelsad,Census mTract 1032,Census Tract 1032
1388.mtfcc,G502q0,G5020
3873.funcstat,***,S
3745.li_cor_dac,IC,LIC
2706.namelsad,Census ract 1101.11,Census Tract 1101.11
4336.funcstat,wS,S
2950.funcstat,,S
4162.namelsad,Census Tract 154b3.04,Census Tract 1543.04
2618.li_cor_dac,LCI,LIC
3919.li_cor_dac,Btoh,Both
3815.namelsad,Censusb Tract 22.01,Census Tract 22.01
2087.funcstat,yS,S
445.li_cor_dac,LCI,LIC
1723.funcstat,,S
2280.namelsad,Censusa Tract 10.02,Census Tract 10.02
4201.li_cor_dac,Boh,Both
2793.namelsad,Census rTact 5035.06,Census Tract 5035.06
4293.mtfcc,G5002,G5020
2115.li_cor_dac,IC,LIC
3164.namelsad,Censtus Tract 315.02,Census Tract 315.02
3679.li_cor_dac,IC,LIC
4257.li_cor_dac,IC,LIC
2137.namelsad,Census xTract 9801,Census Tract 9801
2638.mtfcc,G502c0,G5020
1726.funcstat,***,S
2925.mtfcc,G50b20,G5020
2342.li_cor_dac,Btoh,Both
1409.namelsad,Census Tract z5348.03,Census Tract 5348.03
1858.li_cor_dac,DCA,DAC
2870.li_cor_dac,qLIC,LIC
4533.li_cor_dac,oth,Both
3321.mtfcc,Gy5020,G5020
1691.namelsad,Census Trcat 2288,Census Tract 2288
4737.li_cor_dac,Boht,Both
2.mtfcc,G50b20,G5020
857.mtfcc,5020,G5020
2118.li_cor_dac,LCI,LIC
1819.li_cor_dac,Boht,Both
3943.namelsad,Ccensus Tract 1201.05,Census Tract 1201.05
2592.li_cor_dac,Bsoth,Both
1319.funcstat,lS,S
2519.namelsad,Census Tractk 4326,Census Tract 4326
3337.namelsad,Census Tract 18f5.16,Census Tract 185.16
3957.mtfcc,G020,G5020
3511.namelsad,Censsus Tract 91.07,Census Tract 91.07
3147.mtfcc,G50v20,G5020
1415.mtfcc,G520,G5020
649.mtfcc,5020,G5020
2078.namelsad,Cenlsus Tract 303.01,Census Tract 303.01
4149.namelsad,ensus Tract 4377.02,Census Tract 4377.02
4654.li_cor_dac,oth,Both
2110.funcstat,***,S
4291.li_cor_dac,LImC,LIC
3770.mtfcc,5020,G5020
1770.namelsad,Census Tract 11.t01,Census Tract 11.01
2442.mtfcc,G0520,G5020
4358.li_cor_dac,Bth,Both
3150.namelsad,Census ract 3108,Census Tract 3108
2386.namelsad,Cjensus Tract 876.02,Census Tract 876.02
3152.mtfcc,G5200,G5020
1714.mtfcc,G520,G5020
411.funcstat,nS,S
2624.mtfcc,G502t0,G5020
3964.funcstat,gS,S
1959.namelsad,Census Tract 401,Census Tract 4101
3734.namelsad,Census Tract 19s02.02,Census Tract 1902.02
4601.namelsad,Census Tract 5358.01,Census Tract 5538.01
4432.li_cor_dac,Boht,Both
1242.namelsad,Census Tract 4651.02,Census Tract 4615.02
4338.namelsad,Census Tracrt 441.03,Census Tract 441.03
3424.namelsad,Census Tract5 03.01,Census Tract 503.01
634.funcstat,,S
1525.namelsad,Census mTract 8,Census Tract 8
2826.namelsad,Cesus Tract 5032.10,Census Tract 5032.10
2139.mtfcc,5G020,G5020
163.namelsad,Censs Tract 4620.01,Census Tract 4620.01
1653.funcstat,,S
2281.mtfcc,5G020,G5020
3414.funcstat,,S
715.namelsad,Census Tract g10.01,Census Tract 10.01
1773.mtfcc,G5b020,G5020
1516.mtfcc,5G020,G5020
2813.namelsad,Census Tract k1.03,Census Tract 1.03
3202.mtfcc,G5002,G5020
2956.namelsad,Census Trac t4,Census Tract 4
3645.mtfcc,G5002,G5020
890.namelsad,Census Tract p445.15,Census Tract 445.15
2809.funcstat,eS,S
2794.funcstat,bS,S
2800.li_cor_dac,IC,LIC
232.mtfcc,5G020,G5020
1480.mtfcc,G502z0,G5020
4175.li_cor_dac,LCI,LIC
4476.mtfcc,G520,G5020
2773.mtfcc,G5200,G5020
1178.funcstat,***,S
784.namelsad,Censs Tract 4040,Census Tract 4040
2606.li_cor_dac,yLIC,LIC
150.mtfcc,G5200,G5020
3797.namelsad,Cesus Tract 52.04,Census Tract 52.04
368.mtfcc,G5002,G5020
2619.mtfcc,Gh5020,G5020
2009.namelsad,Cenuss Tract 320.28,Census Tract 320.28
310.namelsad,Cenpsus Tract 6,Census Tract 6
3805.li_cor_dac,oth,Both
2206.mtfcc,G020,G5020
1706.funcstat,aS,S
3792.li_cor_dac,Btoh,Both
831.li_cor_dac,IC,LIC
395.namelsad,Censu Tract 2169,Census Tract 2169
3606.funcstat,dS,S
4171.funcstat,***,S
94.mtfcc,G50q20,G5020
551.namelsad,Census Tract 439,Census Tract 4379
1491.funcstat,***,S
381.li_cor_dac,Boht,Both
2455.li_cor_dac,Botqh,Both
1719.mtfcc,G50h20,G5020
4524.mtfcc,5020,G5020
4090.mtfcc,G502v0,G5020
795.mtfcc,G0520,G5020
3630.li_cor_dac,eLIC,LIC
4688.funcstat,***,S
2813.funcstat,cS,S
4641.mtfcc,5020,G5020
904.namelsad,Census Tract 151.04,Census Tract 1512.04
2746.li_cor_dac,Bdoth,Both
3881.mtfcc,5020,G5020
15.mtfcc,G5002,G5020
40.mtfcc,G5002,G5020
688.funcstat,vS,S
2774.funcstat,***,S
2467.funcstat,***,S
3302.namelsad,Censu sTract 185.07,Census Tract 185.07
755.funcstat,rS,S
3764.mtfcc,5020,G5020
4573.funcstat,,S
3005.funcstat,***,S
2197.li_cor_dac,LC,LIC
3439.li_cor_dac,Bth,Both
4559.funcstat,,S
2122.funcstat,,S
2763.funcstat,,S
2034.li_cor_dac,Boht,Both
2470.namelsad,Censusw Tract 1.02,Census Tract 1.02
335.namelsad,Censusd Tract 1972,Census Tract 1972
4551.namelsad,Censs Tract 25.02,Census Tract 25.02
3656.namelsad,Czensus Tract 1837.01,Census Tract 1837.01
3254.mtfcc,G50r20,G5020
1202.funcstat,***,S
2825.namelsad,Census Tract 5p010,Census Tract 5010
2780.funcstat,***,S
707.funcstat,tS,S
3567.funcstat,,S
2073.funcstat,fS,S
4705.funcstat,,S
2207.li_cor_dac,LC,LIC
2284.mtfcc,G500,G5020
3192.mtfcc,G020,G5020
1902.li_cor_dac,LC,LIC
961.funcstat,uS,S
737.mtfcc,G5002,G5020
486.namelsad,Census Trac t72,Census Tract 72
1116.mtfcc,G020,G5020
1173.mtfcc,G502q0,G5020
3252.namelsad,eCnsus Tract 9106.01,Census Tract 9106.01
3485.namelsad,Census Trct 181,Census Tract 181
3370.funcstat,,S
872.mtfcc,eG5020,G5020
1479.namelsad,Census Tract 5356g.06,Census Tract 5356.06
751.li_cor_dac,eBoth,Both
4663.li_cor_dac,Boeth,Both
844.funcstat,,S
2153.mtfcc,G5j020,G5020
4117.namelsad,Cnesus Tract 47.02,Census Tract 47.02
1022.mtfcc,G500,G5020
3645.funcstat,,S
3130.li_cor_dac,LxIC,LIC
1715.funcstat,vS,S
2199.li_cor_dac,Btoh,Both
2469.funcstat,,S
630.mtfcc,G020,G5020
3920.namelsad,ensus Tract 5769.04,Census Tract 5769.04
1974.funcstat,,S
4712.namelsad,Census ract 5.02,Census Tract 5.02
2554.mtfcc,G50m20,G5020
3731.namelsad,Censsu Tract 107.04,Census Tract 107.04
3277.mtfcc,G502w0,G5020
87.funcstat,pS,S
2498.funcstat,***,S
4467.li_cor_dac,ILC,LIC
584.namelsad,Census Trauct 109,Census Tract 109
3391.namelsad,ensus Tract 122,Census Tract 122
3422.funcstat,,S
3055.mtfcc,G520,G5020
3988.li_cor_dac,IC,LIC
3074.mtfcc,G5p020,G5020
1132.funcstat,iS,S
2914.namelsad,CensusTract 9.04,Census Tract 9.04
4103.funcstat,tS,S
2883.namelsad,Censuzs Tract 139,Census Tract 139
4369.namelsad,Census Tact 464.04,Census Tract 464.04
2327.funcstat,nS,S
3767.funcstat,***,S
2373.funcstat,kS,S
2505.li_cor_dac,LIeC,LIC
3268.namelsad,Census Tracpt 5763.02,Census Tract 5763.02
874.funcstat,***,S
1597.mtfcc,G5n020,G5020
1710.mtfcc,G5200,G5020
2222.mtfcc,5020,G5020
1253.mtfcc,G0520,G5020
2684.li_cor_dac,Bth,Both
3006.namelsad,Cenuss Tract 99.01,Census Tract 99.01
2538.funcstat,***,S
4564.mtfcc,G020,G5020
3913.li_cor_dac,LCI,LIC
4008.namelsad,Census Trwact 3650.03,Census Tract 3650.03
3355.funcstat,***,S
1908.li_cor_dac,IC,LIC
3812.namelsad,Census Tract 402406,Census Tract 4024.06
2352.mtfcc,G520,G5020
159.funcstat,,S
3415.li_cor_dac,ADC,DAC
239.mtfcc,G5002,G5020
3483.mtfcc,5020,G5020
43.mtfcc,G50b20,G5020
3638.mtfcc,G5002,G5020
2673.li_cor_dac,IC,LIC
4685.mtfcc,5020,G5020
4499.namelsad,eCnsus Tract 479.01,Census Tract 479.01
2968.li_cor_dac,oBth,Both
3503.namelsad,ensus Tract 185.15,Census Tract 185.15
863.mtfcc,G020,G5020
2036.funcstat,aS,S
238.mtfcc,pG5020,G5020
1562.namelsad,Census Tract 5526.02***,Census Tract 5526.02
3947.funcstat,,S
2236.funcstat,,S
3133.li_cor_dac,IC,LIC
4341.li_cor_dac,Boath,Both
3694.namelsad,Cesnus Tract 5004.04,Census Tract 5004.04
1137.namelsad,Censu Tract 1107,Census Tract 1107
1331.mtfcc,eG5020,G5020
131.mtfcc,uG5020,G5020
253.li_cor_dac,Botzh,Both
4140.li_cor_dac,Botjh,Both
3037.mtfcc,G5v020,G5020
4612.funcstat,,S
4011.funcstat,eS,S
2698.mtfcc,G5002,G5020
100.funcstat,,S
1168.funcstat,***,S
4473.namelsad,Census Tract 420,Census Tract 402
1681.li_cor_dac,Boh,Both
4310.namelsad,Census Tract 40t35.01,Census Tract 4035.01
1054.mtfcc,G0520,G5020
1537.funcstat,***,S
4354.funcstat,cS,S
1627.namelsad,iCensus Tract 2383.10,Census Tract 2383.10
1388.funcstat,***,S
309.mtfcc,uG5020,G5020
4628.li_cor_dac,IC,LIC
4711.mtfcc,5020,G5020
4428.namelsad,Czensus Tract 28.02,Census Tract 28.02
4262.funcstat,,S
3905.li_cor_dac,LIyC,LIC
1574.namelsad,Census Tract 150305,Census Tract 1503.05
3403.li_cor_dac,LC,LIC
3059.li_cor_dac,LCI,LIC
227.li_cor_dac,Boht,Both
2101.funcstat,***,S
670.namelsad,Census Tract84.01,Census Tract 84.01
2967.namelsad,Censu Tract 3201,Census Tract 3201
1068.li_cor_dac,IC,LIC
629.mtfcc,G5x020,G5020
2119.li_cor_dac,LCI,LIC
584.li_cor_dac,LmIC,LIC
1173.li_cor_dac,oBth,Both
3760.mtfcc,G520,G5020
3032.li_cor_dac,Boht,Both
1405.namelsad,eCnsus Tract 4224,Census Tract 4224
1633.mtfcc,Gi5020,G5020
2372.funcstat,***,S
3338.mtfcc,G502g0,G5020
1269.namelsad,Census Tradct 4824.01,Census Tract 4824.01
3188.namelsad,CensusT ract 4075,Census Tract 4075
1546.mtfcc,G50y20,G5020
2644.mtfcc,Ge5020,G5020
4503.namelsad,Cnesus Tract 5037.11,Census Tract 5037.11
3755.funcstat,nS,S
3544.namelsad,Cenzsus Tract 111.01,Census Tract 111.01
2200.funcstat,***,S
858.mtfcc,G020,G5020
2320.namelsad,CensusTract 42.03,Census Tract 42.03
3158.mtfcc,G5002,G5020
1994.mtfcc,G020,G5020
834.funcstat,,S
2937.mtfcc,5G020,G5020
3570.funcstat,fS,S
4118.namelsad,Census ract 55.10,Census Tract 55.10
1964.funcstat,,S
2369.li_cor_dac,pBoth,Both
4647.li_cor_dac,Boh,Both
989.funcstat,sS,S
1395.li_cor_dac,IC,LIC
1808.namelsad,Census Tract 1593,Census Tract 1953
3675.funcstat,kS,S
2582.funcstat,***,S
4281.funcstat,lS,S
3932.funcstat,***,S
4129.li_cor_dac,IC,LIC
867.mtfcc,G520,G5020
1619.li_cor_dac,LC,LIC
3750.li_cor_dac,Btoh,Both
1201.mtfcc,5020,G5020
4446.mtfcc,qG5020,G5020
4366.li_cor_dac,ILC,LIC
941.mtfcc,5020,G5020
416.funcstat,jS,S
3000.li_cor_dac,oBth,Both
3643.namelsad,Census Tract36.01,Census Tract 36.01
2329.funcstat,,S
411.li_cor_dac,Boht,Both
1269.funcstat,sS,S
1478.li_cor_dac,Btoh,Both
3213.funcstat,***,S
1567.funcstat,sS,S
3792.namelsad,Census Tract 4042.0f1,Census Tract 4042.01
4057.li_cor_dac,LIxC,LIC
1898.mtfcc,G50f20,G5020
377.namelsad,Ceensus Tract 2133.10,Census Tract 2133.10
2389.mtfcc,G5k020,G5020
1421.namelsad,Cnesus Tract 6001,Census Tract 6001
790.mtfcc,G5g020,G5020
1542.namelsad,Census Tract 5306.10,Census Tract 5306.01
2253.mtfcc,5G020,G5020
2011.namelsad,Census Tract 223,Census Tract 232
3553.namelsad,Census Tract 120.0v2,Census Tract 120.02
3260.namelsad,ensus Tract 1322,Census Tract 1322
3775.mtfcc,G50i20,G5020
3542.mtfcc,5G020,G5020
4213.namelsad,Cengsus Tract 6034,Census Tract 6034
2688.mtfcc,dG5020,G5020
2229.funcstat,***,S
1192.namelsad,Censusl Tract 1316,Census Tract 1316
3110.namelsad,Census Trat 2042,Census Tract 2042
3301.namelsad,Cenus Tract 34.01,Census Tract 34.01
1095.namelsad,Census Tract 4334.3,Census Tract 4334.03
3379.namelsad,Census Tract 026.02,Census Tract 206.02
105.li_cor_dac,oth,Both
4598.funcstat,kS,S
4377.li_cor_dac,LCI,LIC
3632.mtfcc,G5200,G5020
3616.namelsad,Census Tract 6150,Census Tract 6105
1850.mtfcc,Gj5020,G5020
3052.funcstat,mS,S
1335.mtfcc,G502r0,G5020
3011.li_cor_dac,LItC,LIC
450.namelsad,Census Tract 218,Census Tract 1218
4505.funcstat,***,S
4677.funcstat,***,S
2491.mtfcc,G520,G5020
3868.funcstat,***,S
1873.mtfcc,G020,G5020
3812.li_cor_dac,Boht,Both
2859.funcstat,***,S
4157.funcstat,,S
1189.mtfcc,Gw5020,G5020
4167.funcstat,,S
2412.mtfcc,G500,G5020
3994.mtfcc,G5200,G5020
2416.li_cor_dac,Boh,Both
2814.mtfcc,G5002,G5020
2919.namelsad,Censu sTract 3072.01,Census Tract 3072.01
3209.namelsad,Censs Tract 203.06,Census Tract 203.06
2034.namelsad,CensusT ract 48,Census Tract 48
4279.mtfcc,G5200,G5020
655.mtfcc,G5a020,G5020
3278.li_cor_dac,LCI,LIC
3139.mtfcc,G5002,G5020
