yearvalue(long),statevalue,hai,operativeprocedure,facidone(long),facilitynameone,facidtwo,facilitynametwo,facidthree,facilitynamethree,county,procedurecount(double precision),infectioncount(double precision),sir(double precision),comparison,sirninefivecill(double precision),sirninefiveciul(double precision),notes
2013,Caliqfornia,SSI,Thoraic surgery,140000190,"Kaiser Foundation Hospital, Walnut Creek",.,.,.,.,Contra Cozsta,114.0,1.0,1.51,No Difference,0.04,8.39,~ See Data Dictionary
2013,Calfornia,SSI,Thoracic surgery,930000076,"Kaiser Foundation Hospital, West LA, Los Angeles",.,,***,***,Los Angeles,33.0,0.0,0.0,No Diffeence,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Tohracic surgery,930000290,"Kaiser Foundation Hospitahl, Woodland Hills",.,.,.,s.,Los Angees,20.0,0.0,0.0,NoDifference,0.0,0.93,~ See Data Dictionary
2013,Californoia,SIS,Thoracic surgery,120001444,"Kaweah Delta Medical Center, Visalia",,.,***,.,Tulare,40.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surcgery,930000912,"Keck Hspital of USC, Los Angeles",.,.,.,,Los Angeles,182.0,1.0,0.58,No Difference,0.03,2.87,~ See Data Dictionary
2013,California,SSI,Thoracict surgery,120000342,"Kern Medical Center, Bakersfield",f.,.,.,.,Kerwn,38.0,0.0,0.0,Noe Difference,0.0,0.93,~ See Data Dictinonary
2013,California,SIS,Thoracic surgery,60000040,"LAC+USC Medical Center, Los Angeles",.,***,.,c.,Los Anzgeles,102.0,0.0,0.0,No Diffrence,0.0,5.44,~ See Data Dictionary
1034,Cealifornia,gSSI,Thoracic surgery,60000027,"LAC/Harbor-UCLA Medical Centeer, Torrance",.,.,.,***,Los Angelems,111.0,1.0,1.49,kNo Difference,0.04,8.29,~ See Data Dictionary
1571,California,SI,Thoracic surgery,60000024,La Palma Intercommunity Hospital,.,.,***,.,Orange,20.0,0.0,0.0,No Difference,0.0,0.93,~ Seey Data Dictionary
2013,California,SI,Thoracic surgery,930000047,Lakewood Regional Medical Center,.,,.,***,Lo sAngeles,30.0,0.0,0.0,N Difference,0.0,0.93,~ See Data Dictionary
1337,California,SIS,Thoracic surgery,30000139,Lodi Memorial Hospital,0n30000136,Lodi Memorial Hospital-West,h.,.,San Joaquin,21.0,0.0,0.0,No Diffwerence,0.0,0.93,† See data dictuionary
2013,Caliornia,SSI,Thoracic surgerry,240000027,"Loma Linda UNV Medical Center, Loma Linda",240000025,"Loma Linda UNIV Heart & Surgical Hopital, Redlands",63001294,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Bernardino,160.0,0.0,0.0,No Difference,0.0,2.15,† See data dictionary
2013,Californai,SSI,Thoracic surgery,630012971,Loma Linda University Medical Center - Murrieta,.,,.,.,Riverside,24.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thorcic surgery,50000018,Lompoc Valley Medical Center,r.,.,.,***,Santa Barbara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2409,Califoarnia,SSI,Thoracic suregry,930000095,"Long Beach Memorial Medical Center, Long Beach",.,q.,.,w.,Los Angeles,125.0,0.0,0.0,No Difference,0.0,7.26,~ See Data Dictionary
2013,California,SIS,Thoracic surgery,60000025,Los Alamitos Medical Center,.,.,.,.,Oravnge,43.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1155,Calfiornia,SSI,Tohracic surgery,60000038,"Los Angeles Co Olive View-UCLA Medical Center, Sylmar",***,,,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Clifornia,SSI,Thoracic surgery,50000020,"Los Robles ospital & Medical Center, Thousand Oaks",050000553,"Los Robles Hospital & Medical Center, E , Thousand Oaks",050001468,Thousand Oaks Surgical Hospital,Ventura,64.0,0.0,0.0,No Differencve,0.0,0.93,† Se edata dictionary
1011,California,SSI,Thoracic surgery,70001349,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",.,***,.,.,Santa Clara,88.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1186,California,SI,Thoracic surgery,110000021,"Mad River Community Hospital, Arcata",.,.,,.,Humboldt,20.0,0.0,0.0,No Diffeerence,0.0,0.93,~ See Data Dictoinary
2013,California,SSI,Thoracic surgery,40000111,Madera Community Hospital,.,m.,.,,Madera,20.0,0.0,0.0,No Differetnce,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracci surgery,240000005,Mammoth Hospital,***,w.,.,.,Mono,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionarby
1603,California,SSI,Thoracic surgery,50000021,Marian Regional Medical Cneter,.,.,.,.,Santa Barbara,28.0,0.0,0.0,No Dfference,0.0,0.93,~ See zData Dictionary
2013,California,SI,Thioracic surgery,50000009,"Marian Regional Medical Center, Arroyo Grande",.,.,.,,San Lui sObispo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See aDta Dictionary
2700,California,SSI,Thoracic surgery,110000953,"Marin General Hospital, Greenbrae",***,.,.,.,Marin,28.0,0.0,0.0,No Differenec,0.0,0.93,~ See Data Dictionary
1616,California,SSI,Thoraocic surgery,930000044,Muarina Del Rey Hospital,.,,.,.,Los Angees,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary***
2605,California,SIS,Thoracic surgery,30000121,"Marshall Medical Center (1-Rh), Placerville",m.,***,q.,.,El Dorado,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
3009,California,SuSI,Thoracic usrgery,930000092,Memorial Hospital of Gardena,,.,.,,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data tDictionary
2582,California,SySI,Thoraicc surgery,30000123,"Memorial eMdical Center, Modesto",.,.,.,.,Starnislaus,74.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1983,alifornia,SSI,Thoracic surgery,30000124,"Mercy General Hospital, Sacramento",.,,***,.,Sacramento,80.0,0.0,0.0,No Diference,0.0,0.93,~ See Data Dictionary
2307,Califronia,SSI,Thoracic surgery,120000404,"Mercyz Hospital, Bakersfield",12000c0701,"Mercy Southwest Hospital, Bakersfield",.,.,Kern,24.0,0.0,0.0,No Dfiference,0.0,0.93,† See data dictionary
2013,California,SSI,Thoracic surgery,40000113,Merc yMedical Center Merced,,.,***,.,Merhced,20.0,0.0,0.0,No Diffeernce,0.0,0.93,~ See Data Dictionary
1870,California,SSI,Thoracic surgery,230000010,Mercy Medical Center Redding,v.,.,.,.,Shasta,83.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI***,Thoracic surkgery,30000127,"Mercy San Juan Medical Center, Carmichael",,.,o.,d.,Sacramento,254.0,0.0,0.0,lNo Difference,0.0,3.89,~ See mData Dictionary
2013,California,SSI***,Thoracic surgery,930000096,"Methodist Hospital of Southern CA, Arcadia",***,.,y.,.,Los Angeles,36.0,0.0,0.0,No Differenec,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,220000017,"Mills-Peninsula Medical Center, Burlingame",20000004,"Mills Health Center, San Mateo",,.,San Mateo,62.0,0.0,0.0,No Difference,0.0,0.93,† See data dictionary
2013,California,SSI,Thoracic surgeyr,930000027,"Mission Community Hospital, Panorama",.,.,.,.,Los Aongeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,60000066,Mission Hospitla Laguna Beach,***,.,.,.,Orange,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Califonia,SSI,Thoracic suregry,60000060,"Mission Hospital Regional Medical Center, Mission Viejo",,.,.,.,Ornge,88.0,1.0,0.0,N Difference,0.0,0.93,~ See Data Dictionary
1768,California,SSdI,Throacic surgery,70000145,"Natividad Medical Center, Salinas",,.,***,.,Monterey,20.0,0.0,0.0,No Differenjce,0.0,0.93,~f See Data Dictionary
2810,California,SrSI,Thoracic surgery,110000010,"Northbay Medical Center, Fairfield",***,***,.,.,Solano,47.0,0.0,0.0,No Difference,0.0,0.93,See Data Dictionary
2013,California,SSI,Thoracic surgery,110000378,"Northbay Vacavalley Hospital, Vacaville",.,.,.,***,Solano,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracci surgery,930000111,Northrideg Hospital Medical Center,.,.,.,,Los Angeles,37.0,0.0,0.0,No Diffperence,0.0,0.93,~ See Data Dictionary
2822,California,SnSI,Thoracicsurgery,70000146,"O'connor Hospital, San Jose",s.,.,.,.,Santa Clara,79.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2499,California,SSI,Thoracic surgery,930000105,"Olympia Medical Center, Los Angeles",,.,.,.,Ls Angeles,20.0,0.0,0.0,No Diference,0.0,0.93,~ See Data Dictionary
2167,Califonia,SSI,Thoracic surgery,60000208,"Orange Coast Memorial Medical Centre, Fountain Valley",.,.,***,.,Orange,48.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,230000014,Oroville Hospital,.,.,.,.,Butte,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1984,Califonia,SSI,Thracic surgery,930000057,aPcific Alliance Medical Center,.,.,.,.,Los tAngeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,alifornia,SSeI,Thoracic surgery,930000077,Palmdale Regional Mxedical Center,***,,,p.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,alifornia,ShSI,Thoracic surgery,80000142,"Palomar Health Downtown Campus, Escondido",63001d3873,"Palomar Medical Center, Escondido",.,.,Sa Diego,47.0,0.0,0.0,No Differene,0.0,0.93,† See data dictionary***
2013,Califonria,pSSI,Thoracic surgery,90000145,"Paradise Valley Hospital, National City",a.,.,***,,San Dieigo,20.0,0.0,0.0,No Differene,0.0,0.93,~ See Data Dictionary
2013,California,mSSI,Thoracicn surgery,110000040,"Petaluma Valley Hospital, vPetaluma",.,.,.,.,Sonoma,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2567,Califronia,SSI,Thoracic surgermy,60000062,Placentia Linda Hospital,.,.,***,,Orange,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Dat aDictionary
2013,California,SSI,Throacic surgery,80000147,"Poomerado Hospital, Poway",.,q.,.,.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2940,California,SSI***,Thoracic surgery,930000123,"Pomona Valley Hospital Medical Center, Pomona",.,x.,j.,.,Los Angeles,43.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Toracic surgery,930000099,"Presbyterian Intercommunity Hospital, Whittier",.,.,.,,Los Angeles,83.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2880,Califorina,SSI,Thoracic surgery,930000066,"Providence Holy Cross Medical Center, Mission Hills",.,.,.,.,Los Angeles,74.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,930000157,"Providence Little Company of Mary Medical Center, San Pedro",.,.,.,,Los Angeles,20.0,0.0,0.0,No Diference,0.0,0.93,~ See Data Dictionary
2013,California,xSSI,Thoracic surgery,930000081,"Providence Little Company of Mary Medical Center, Torrance",.,.,.,.,Los Angeles,59.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SIS,Toracic surgery,930000101,"Providence Saint Joseph Medical Center, Burbank",***,.,.,.,Los Angeles,100.0,1.0,2.54,No Differenice,0.06,14.14,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,930000091,"Providence Tarzana Medical Center, Tarzana",.,.,***,l.,Los Angees,47.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,110000041,"Queen of Theo Valley Medical Center, Napa",.,.,.,,Npa,70.0,1.0,0.0,No bDifference,0.0,0.93,~ See Data Dictionary
2013,California,SSyI,Thoracic surgery,80000023,"Rady Children's Hospital, San Diego",.,.,.,.,San Diego,126.0,0.0,0.0,No Difference,0.0,6.62,~ See Data Dictionary
2013,California,ScSI,Thoracic surgery,240000046,Redlands Community Hospital,,.,.,.,San Bernardino,33.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2463,Camlifornia,SIS,Thoracic surgery,110000045,"Redwood Memoripal Hospital, fortuna",.,,.,.,Humboldt,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictinoary
2013,Caliornia,SI,Thoraic surgery,70000133,Regional Medical Center of San Jose,,.,,,Santa Clara,65.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,120000409,Ridgecrest Regional Hospital,.,.,b.,***,Ken,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracc surgery,250000049,Riverside Community Hospital,.,.,***,.,Riverside,73.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SI,Thoracic surgkery,250000050,"Riverside County Regional Medical Center, Moreno Valey",l.,.,.,,Riverside,64.0,0.0,0.0,No ifference,0.0,0.93,~ See Data ictionary
2308,Calfiornia,SSI,Thoracic sugrery,930000162,"Ronald Reagan UCLA Medical Center, Lo sAngeles",.,.,,***,Los Angeles,391.0,1.0,0.25,No Difference,0.01,1.25,~ Se Data Dictionary
2013,California,SSI,Thoracic surgery,60000063,"Saddleback Memorial Medical Center, Laguna Hills",060000046,Saddleback Memorial Medical Center-San Clemente,.,g.,Orangge,156.0,0.0,0.0,No Difference,0.0,8.16,† See adta dictionary
2013,Caifornia,SSI,Thoracic surgery,40000126,"Saint Agnes Medical Center, Fresno",.,.,d.,.,uFresno,104.0,0.0,0.0,No Diffreence,0.0,10.3,~ See Data Dictionary
1257,Califoronia,SSI,Thoarcic surgery,930000128,"Saint Francis Medical Center, Lynwood",.,.,.,.,Los Angeles,66.0,0.0,0.0,No Difference,0.0,0.93,~ Siee Data Dictionary
2013,California,SSI,Thoracic surgery,220000029,"Saint Francis Memorial Hospital, Sna Francisco",.,.,***,.,San Francisco,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,930000100,"Saint Johns Health Center, Santa Monica",,.,.,,Los Angeles,91.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,930000104,"Saint Vincent Medical Center, Los Angeles",.,,.,.,Lo Angeles,50.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Toracic surgery,70000147,Salinas Valley Memorial Hospital,.,.,.,,Monterey,38.0,0.0,0.0,No Difference,0.0,0.93,~ See Davta Dictionary
1373,California,lSSI,Thoacic surgery,240000053,"San Antonio Community Hospital, Upland",.,.,.,,Sa Bernardino,44.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2353,California,SSI,Thoracic surgery,930000125,San Dimas Community Hospital,,,.,.,Los Angeles,20.0,0.0,0.0,No Differevnce,0.0,0.93,~ See Data Dictionary
2013,California,iSSI,Thoracics urgery,220000019,San Francisco General Hospital,.,,.,.,San Francisco,48.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2329,Clifornia,SIS,Thoracic surgery,120000411,"San Joaquin Community Hospital, Bakersfield",.,c.,,s.,eKrn,54.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgry,30000135,"San Joaquinu General Hospital, French Camp",.,.,.,,San Joaquin,29.0,0.0,0.0,No Diference,0.0,0.93,~ See Data Dictionary
2013,Caliofrnia,SSI,Thoracic hsurgery,630013913,San Leandro Hosiptal,q.,.,.,.,Alameda,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionray
2013,California,SSdI,Thoracic usrgery,220000007,eSan Mateo Medical Center,.,.,.,.,Syan Mateo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1944,California,SSI,Thoracic surgery,140000704,San Ramon Regional Medical Center,140000683,San Ramon Regional Medical Center South Building,,.,Contra Costa,20.0,0.0,0.0,No iDfference,0.0,0.93,~ See Data Dictionary
1339,California,nSSI,Thoracic surgery,50000280,Santa Barbara Cottage Hospital,050000022,Cottagek Rehabilitation Hospital at Santa Barbara,n.,.,Santa Barbara,226.0,0.0,0.0,No Difference,0.0,2.16,† See data dictionary
2956,Calicfornia,SSI,Thoracic surgery,70000149,"Santa Clara Valley Medical Center, San Jose",.,,.,.,rSanta Clara,72.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,930000049,"Santa Monica, UCLA Medical Center and Orthopaedic",.,.,.,,oLs Angeles,22.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dicionary
2013,California,SSI,Thoracic surery,140001268,Santa Rosa Memorial Hospital,***,.,,.,oSnoma,140.0,0.0,0.0,No Difference,0.0,7.83,See Data Dictionary
2013,California,SSI,Thoracic surgery,80000022,"Scripps Green Hospital, La Jolla",.,.,r.,.,San Diego,63.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSlI,Thoraci csurgery,80000150,"Scripps Memorial Hospital, Encinitas",r.,.,.,***,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~See Data Dictionary
2013,Califorenia,SSI,Thoracic surgery,80000149,"Scripps Memorial Hospital, La Jolla",***,.,***,.,San Diego,96.0,0.0,0.0,No Differene,0.0,0.93,~ See Data Dictionary
1060,California,SSI,Thoracicsurgery,90000025,"Scripps Mercy Hospital, San Diego",090000016,Scripps Mercy Hospital Chula Vista,.,.,San Diego,94.0,0.0,0.0,No Differnce,0.0,0.93,† See data dictionary
2013,Calcifornia,SSI,Thoracic surgery,220000025,"Sequoia Hospitavl, Redwood City",***,,***,.,San Mateo,21.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Caliefornia,SSI***,Tohracic surgery,220000026,"Seton Mdical Center, Daly City",22000002m8,"Seton Medical Center-Coastside, Moss Beach",.,,San Mateo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,90000021,Sharp Chula Vistqa Medical Center,.,.,.,.,Sa nDiego,97.0,0.0,0.0,oN Difference,0.0,0.93,~ See Data Dictionary
2013,California,rSSI,Thoracic surgery,90000033,hSharp Coronado Hospital and Healthcare Center,z.,.,.,s.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Ditcionary
1313,California,SSI,Thoracic surgery,80001470,"Sharp Mary Birch for Women & Newborns, Sna Diego",e.,.,s.,.,San Diego,20.0,0.0,0.0,zNo Difference,0.0,0.93,~ See Data Dictixonary
2013,California,SSI,Thoracic surgery,80000036,"Sharp Memorial Hospital, San Diego",.,.,,.,San Diego,157.0,0.0,0.0,No Difference,0.0,3.88,~ See Data Dictionary
2013,California,SI,Thoracic surgery,230000016,"Shasta Regional Medical Center, Redding",.,.,.,.,Shasta,33.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictyionary
1709,California,SSI,Thoracic suregry,930000140,Sherman Oaks Hospital,.,.,.,,Los Angelefs,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,230000262,"Sierra Nevada Memorial Holspital, Grass Valley",.,.,.,***,Nevada,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,50000031,"Sierra Vista Regional Medical Center, San Luis Obispo",.,p.,.,.,San Lis Obispo,30.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,50000455,Simi Valley Hospital & Health Care Services,.,***,***,***,Ventura,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1140,California,SSI,Thoracic surgery,30001799,Sonora Regioal Medical Center Campus #1,030000635,Sonora Regional Medical Center Campus #2,q.,.,Tuloumne,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgejry,930000015,Southern California Hospital at Culiver City,.,***,.,.,Los Angeles,24.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictioary
2013,Calfiornia,SSI,Thoracic surgery,250000507,"Southwest Healthcare Systems, Murrieta",250000344,"Southwest Healthcare Systems, Wildomar",.,.,Riversied,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracics urgery,240000103,St Bernardine Medical Center,,.,t.,.,San Bernardino,27.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionay
2333,California,SSeI,Thoracic surgeyr,110000058,"St Helena Hospital, St nHelena",.,.,y.,.,Npaa,50.0,0.0,0.0,No Diffeence,0.0,0.93,~ See Data Dhictionary
2013,California,SSI,Thoacic surgery,50000035,"St John's Regional Medical Center, Oxnard",***,.,d.,,Ventura,70.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionayr
2013,California,SSI,Thoracic surgery,110000067,"St Joseph Hospital, Eureka",.,.,.,***,Humboldt,51.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1767,California,SpSI,Thoracic surgery,60000067,"St Joseph Hospital, Orange",.,.,m.,.,Oarnge,160.0,1.0,0.76,No Difference,0.04,3.75,~ See Data Dictionary
2013,California,SSI,Vaginal hysterectomy,630011745,"Kaiser Foundation Hospitaol, Irvine",***,.,.,.,Orankge,78.0,0.0,0.0,NoDifference,0.0,0.93,~ See Data Dicionary
2013,California,SSI,Thoracic surgery,30000143,St Joseph's Medical Center of Stockton,,,.,.,San Joaquin,135.0,0.0,0.0,No Difference,0.0,5.01,~ See Data Dictionary
2013,Caliornia,SSrI,Thoracic surgery,60000068,"St Jude Medical Center, Fullerton",.,***,.,v.,Orange,47.0,0.0,0.0,No Difference***,0.0,0.93,~ See Data Dictionayr
2013,California,SSI,Thoracic sugrery,240000104,"St Mary Medical Center, Apple Valley",,g.,.,.,San Bernardino,44.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dicitonary
2766,California,SSI,Thoracci surgery,930000103,"St Mary Medical Center, Long Beach",.,.,g.,***,Los Ageles,27.0,0.0,0.0,No Diference,0.0,0.93,~ See aDta Dictionary
2013,tCalifornia,SI,Thoracic surgery,220000030,"St Mary's Medical Center, San Francisco",.,.,.,.,San Francisco,22.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic surgery,140000041,"St Rose Hospital, Hayward",.,.,p.,.,Alaemda,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictinoary
2013,California,SSI,Thoacic surgery,70001357,"Stanford Hospital, Stanford",***,s.,l.,.,Santa Clara,384.0,1.0,0.26,No Difference,0.01,1.26,~ See Data Dictionayr
2013,California,SSI,Thoracic surgery,30000108,"Sutter Amadorw Hospital, Jackson",***,.,.,.,Amador,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data aDictionary
2013,Califonia,SSI***,Thoracic surgery,30000109,"Sutter Auburn Faith Hospital, Auburn",,.,.,e.,Placer,20.0,0.0,0.0,No Difference,0.0,0.93,~ ee Data Dictionary
2133,Caifornia,SI,Thoracic surgery,30000149,"Sutter Davis Hospital, Davis",.,.,.,.,Yolo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1790,California,SSI,Thoracic surgery,140000016,"Sutter Delta Medical Center, Antioch",***,***,.,v.,Contra Costa,22.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SIS,Thoracic surgery,30000151,"Sutter General Hospital, Sacramento",030000112,"Sutter Memorial Hosnpital, Sacramento",***,.,Sacramento,141.0,1.0,1.21,No yDifference,0.03,6.71,† See data dictionary
1559,California,SSI,Thoracic surgery,110000007,Sutter Medical Center o Santa Rosa,.,.,***,.,Sonoma,26.0,0.0,0.0,No Diffeernce,0.0,0.93,~a See Data Dictionary
2013,California,SSI,Thoracic surgery,30000134,Sutter Roseville Medical Center,o.,.,,.,Placer,111.0,1.0,1.83,No Difference,0.05,10.17,~See Data Dictionary
2865,California,SSI,Thoracic surgery,110000068,"Sutter Solano Medical Center, Vallejo",.,.,.,.,Soano,30.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2065,California,SSI,Thoracic surgery,230000265,"Tahoe forest Hoscpital, Truckee",,.,.,***,Nvada,20.0,0.0,0.0,Nzo Difference,0.0,0.93,~ See Data Dictionary
1908,Califbornia,SSI,Thoracic surgery,930000143,"Temple Community Hospital, Los Angeles",.,.,.,***,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data ictionary
2013,Caglifornia,SSI,Thoracic surgeyr,930000127,"Torrance Memorial Medical Center, Torrance",.,,q.,.,Los Angeles,96.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI***,Thoracic surgery,80000152,"Tri-City Medical Center, Oceanside",.,.,.,.,San Diego,54.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SIS,Thoracic surgery,120001467,Tulare Regional Medical Center,h.,.,t.,.,Tulare,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2339,Caolifornia,SSI,Thoracic surgery,50000037,"Twin Cities Community Hospital, Templeton",.,***,.,.,rSan Luis Obispo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Cailfornia,SSI,Thoracic surgery,220000031,"UCSF Medical Center, San Francisco",22000015,"UCSF Medical Center at Mount Zion, San Francisco",r.,.,San Francisco,384.0,1.0,0.34,No Difference,0.02,1.66,† See adta dictionary
2013,Californiga,SSI,Thoracic surgery,930000187,"USC Verdugo Hills Hospital, Glendale",q.,.,.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Californai,SSI,Thoracic surgery,110000070,"kUiah Valley Medical Center/Hospital Drive, Ukiah",.,.,.,.,Mednocino,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1763,California,SSI,Thoracic surgery,30000113,"University of California Davis Medqical Center, Sacramento",.,.,.,,Sacramento,277.0,0.0,0.0,No Difference,0.0,1.24,~ See Data Dictionary
1199,Cailfornia,SI,Thoracic surgery,60000071,"University of California Irvine Medical Center, Orange",n.,.,c.,.,Orange,106.0,0.0,0.0,No Difference,0.0,5.35,~ See Data Dictionary
1691,Caifornia,SSlI,Thoracic surgery,90000154,"Uinversity of California, San Diego Medical Center",090001116***,"UCSD-La Jolla, John M.& Sally B. Thornton Hospital",.,.,San Diego,150.0,1.0,0.73,No eDifference,0.04,3.61,† See data dictionary
2153,Califrnia,SmSI,Thoraxcic surgery,930000129,"Valley Presbyterian Hospital, Van nNuys",***,.,.,.,Los Angeles,36.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Thoracic ksurgery,140000797,"Valleycare Medical Center, Pbleasanton",140000199,"Valley Memorial Hospital, Livermore",.,.,Alameda,36.0,0.0,0.0,No Difference,0.0,0.93,† See data dictionary
2013,California,SSI,Thoracic surgery,50000039,Ventura County Medical Center,630010957,"Ventura County Medical Center, Santa Paula Hospital",k.,,Ventura,23.0,0.0,0.0,No Differenec,0.0,0.93,† See data dictionary
2013,California,SSI***,Thoracic srgery,240000054,"Victor Valley Community Hospital, Victorville",.,.,,.,San Bernardino,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2555,aClifornia,SSI,Thoracic surgery,140000118,"Washington Hospital, Fremont",a.,.,***,***,lAlameda,52.0,0.0,0.0,Noz Difference,0.0,0.93,~ See Data Dicionary
