full_street_name,street_name,street_type,post_direction
OTTER COVE TER,OTTER COVE,TER,NULL
OVERLOOK DR,OVERLOOK,DR,NULL
OWEN ST,OWEN,ST,NULL
OWENS ST,OWENS,ST,NULL
OXFORD ST,OXFORD,ST,NULL
OZBOURN CT,OZBOURN,CT,NULL
PACHECO ST,PACHECO,ST,NULL
PACIFIC AVE,PACIFIC,AVE,NULL
PAGE ST,PAGE,ST,NULL
PAGODA PL,PAGODA,PL,NULL
PALM AVE,PALM,AVE,NULL
PALMETTO AVE,PALMETTO,AVE,NULL
PALO ALTO AVE,PALO ALTO,AVE,NULL
PALOMA AVE,PALOMA,AVE,NULL
PALOS PL,PALOS,PL,NULL
PALOU AVE,PALOU,AVE,NULL
PANAMA ST,PANAMA,ST,NULL
PANORAMA DR,PANORAMA,DR,NULL
PARADISE AVE,PARADISE,AVE,NULL
PARAISO PL,PARAISO,PL,NULL
PARAMOUNT TER,PARAMOUNT,TER,NULL
PARIS ST,PARIS,ST,NULL
PARK BLVD,PARK,BLVD,NULL
PARK HILL AVE,PARK HILL,AVE,NULL
PARK PRESIDIO BLVD,PARK PRESIDIO,BLVD,NULL
PARK PRESIDIO BYPASS DR,PARK PRESIDIO BYPASS,DR,NULL
PARKER AVE,PARKER,AVE,NULL
PARKHURST ALY,PARKHURST,ALY,NULL
PARKRIDGE DR,PARKRIDGE,DR,NULL
PARNASSUS AVE,PARNASSUS,AVE,NULL
PARQUE DR,PARQUE,DR,NULL
PARSONS ST,PARSONS,ST,NULL
PASADENA ST,PASADENA,ST,NULL
PATTEN RD,PATTEN,RD,NULL
PATTERSON ST,PATTERSON,ST,NULL
PATTON CT,PATTON,CT,NULL
PATTON ST,PATTON,ST,NULL
PAUL AVE,PAUL,AVE,NULL
PAULDING ST,PAULDING,ST,NULL
PAYSON ST,PAYSON,ST,NULL
PEABODY ST,PEABODY,ST,NULL
PEARL ST,PEARL,ST,NULL
PEEK LN,PEEK,LN,NULL
PELICAN COVE TER,PELICAN COVE,TER,NULL
PELTON PL,PELTON,PL,NULL
PEMBERTON PL,PEMBERTON,PL,NULL
PENA ST,PENA,ST,NULL
PENINSULA AVE,PENINSULA,AVE,NULL
PENNINGTON ST,PENNINGTON,ST,NULL
PENNSYLVANIA AVE,PENNSYLVANIA,AVE,NULL
PENNY LN,PENNY,LN,NULL
PERALTA AVE,PERALTA,AVE,NULL
PERASTO AVE,PERASTO,AVE,NULL
PEREGO TER,PEREGO,TER,NULL
PERIMETER PATH,PERIMETER,PATH,NULL
PERINE PL,PERINE,PL,NULL
PERRY ST,PERRY,ST,NULL
PERSHING DR,PERSHING,DR,NULL
PERSIA AVE,PERSIA,AVE,NULL
PERU AVE,PERU,AVE,NULL
PETER YORKE WAY,PETER YORKE,WAY,NULL
PETERS AVE,PETERS,AVE,NULL
PETRARCH PL,PETRARCH,PL,NULL
PFEIFFER ST,PFEIFFER,ST,NULL
BRISTOL CT,BRISTOL,CT,NULL
PHELPS ST,PHELPS,ST,NULL
PHOENIX TER,PHOENIX,TER,NULL
PICO AVE,PICO,AVE,NULL
PIEDMONT ST,PIEDMONT,ST,NULL
PIERCE ST,PIERCE,ST,NULL
MAYBECK ST,MAYBECK,ST,NULL
PILGRIM AVE,PILGRIM,AVE,NULL
PINAR LN,PINAR,LN,NULL
PINE ST,PINE,ST,NULL
PINEHURST WAY,PINEHURST,WAY,NULL
PINK ALY,PINK,ALY,NULL
PINO ALY,PINO,ALY,NULL
PINTO AVE,PINTO,AVE,NULL
PIOCHE ST,PIOCHE,ST,NULL
PIPER LOOP,PIPER,LOOP,NULL
PIXLEY ST,PIXLEY,ST,NULL
PIZARRO WAY,PIZARRO,WAY,NULL
PLAZA ST,PLAZA,ST,NULL
PLEASANT ST,PLEASANT,ST,NULL
PLUM ST,PLUM,ST,NULL
PLYMOUTH AVE,PLYMOUTH,AVE,NULL
POINT LOBOS AVE,POINT LOBOS,AVE,NULL
POLARIS WAY,POLARIS,WAY,NULL
POLK ST,POLK,ST,NULL
POLLARD PL,POLLARD,PL,NULL
POLLOCK ST,POLLOCK,ST,NULL
POMONA ST,POMONA,ST,NULL
POND ST,POND,ST,NULL
PONTIAC ST,PONTIAC,ST,NULL
POPE CT,POPE,CT,NULL
POPE RD,POPE,RD,NULL
POPE ST,POPE,ST,NULL
POPLAR ST,POPLAR,ST,NULL
POPPY LN,POPPY,LN,NULL
PORTAL DR,PORTAL,DR,NULL
PORTAL PATH,PORTAL,PATH,NULL
PORTER ST,PORTER,ST,NULL
PORTOLA DR,PORTOLA,DR,NULL
PORTOLA ST,PORTOLA,ST,NULL
POST ST,POST,ST,NULL
POTOMAC ST,POTOMAC,ST,NULL
POTRERO AVE,POTRERO,AVE,NULL
POWELL ST,POWELL,ST,NULL
POWERS AVE,POWERS,AVE,NULL
POWHATTAN AVE,POWHATTAN,AVE,NULL
PRADO ST,PRADO,ST,NULL
PRAGUE ST,PRAGUE,ST,NULL
PRATT PL,PRATT,PL,NULL
PRECITA AVE,PRECITA,AVE,NULL
PRENTISS ST,PRENTISS,ST,NULL
PRESCOTT CT,PRESCOTT,CT,NULL
PRESIDIO AVE,PRESIDIO,AVE,NULL
PRESIDIO BLVD,PRESIDIO,BLVD,NULL
PRESIDIO TER,PRESIDIO,TER,NULL
PRETOR WAY,PRETOR,WAY,NULL
PRIEST ST,PRIEST,ST,NULL
PRINCETON ST,PRINCETON,ST,NULL
PROGRESS ST,PROGRESS,ST,NULL
PROSPECT AVE,PROSPECT,AVE,NULL
PROSPER ST,PROSPER,ST,NULL
PUBLIC PARK,PUBLIC,PARK,NULL
PUEBLO ST,PUEBLO,ST,NULL
PULASKI AVE,PULASKI,AVE,NULL
PUTNAM ST,PUTNAM,ST,NULL
QUANE ST,QUANE,ST,NULL
QUARRY RD,QUARRY,RD,NULL
QUARTZ WAY,QUARTZ,WAY,NULL
QUEBEC AVE,QUEBEC,AVE,NULL
QUESADA AVE,QUESADA,AVE,NULL
QUICKSTEP LN,QUICKSTEP,LN,NULL
QUINCY ST,QUINCY,ST,NULL
QUINT ST,QUINT,ST,NULL
QUINTARA ST,QUINTARA,ST,NULL
R ST,R,ST,NULL
RACCOON DR,RACCOON,DR,NULL
RACINE LN,RACINE,LN,NULL
RADIO TER,RADIO,TER,NULL
RAE AVE,RAE,AVE,NULL
RALEIGH ST,RALEIGH,ST,NULL
RALSTON AVE,RALSTON,AVE,NULL
RALSTON ST,RALSTON,ST,NULL
RAMONA AVE,RAMONA,AVE,NULL
RAMSEL CT,RAMSEL,CT,NULL
RAMSELL ST,RAMSELL,ST,NULL
RANDALL ST,RANDALL,ST,NULL
RANDOLPH ST,RANDOLPH,ST,NULL
RANKIN ST,RANKIN,ST,NULL
RAUSCH ST,RAUSCH,ST,NULL
RAVENWOOD DR,RAVENWOOD,DR,NULL
RAWLES ST,RAWLES,ST,NULL
RAYBURN ST,RAYBURN,ST,NULL
RAYCLIFF TER,RAYCLIFF,TER,NULL
RAYMOND AVE,RAYMOND,AVE,NULL
REARDON RD,REARDON,RD,NULL
REBECCA LN,REBECCA,LN,NULL
RECYCLE RD,RECYCLE,RD,NULL
RECYCLING CENTER ACCESS RD,RECYCLING CENTER ACCESS,RD,NULL
RED LEAF CT,RED LEAF,CT,NULL
RED ROCK WAY,RED ROCK,WAY,NULL
REDDY ST,REDDY,ST,NULL
REDFIELD ALY,REDFIELD,ALY,NULL
REDONDO ST,REDONDO,ST,NULL
REDWOOD ST,REDWOOD,ST,NULL
REED ST,REED,ST,NULL
REEVES CT,REEVES,CT,NULL
REGENT ST,REGENT,ST,NULL
RENO PL,RENO,PL,NULL
REPOSA WAY,REPOSA,WAY,NULL
RESERVOIR ST,RESERVOIR,ST,NULL
RESTANI STWY,RESTANI,STWY,NULL
RESTANI WAY,RESTANI,WAY,NULL
RETIRO WAY,RETIRO,WAY,NULL
REUEL CT,REUEL,CT,NULL
REVERE AVE,REVERE,AVE,NULL
REX AVE,REX,AVE,NULL
REY ST,REY,ST,NULL
RHINE ST,RHINE,ST,NULL
RHODE ISLAND ST,RHODE ISLAND,ST,NULL
RICE ST,RICE,ST,NULL
RICHARD HENRY DANA PL,RICHARD HENRY DANA,PL,NULL
RICHARDS CIR,RICHARDS,CIR,NULL
RICHARDSON AVE,RICHARDSON,AVE,NULL
RICHLAND AVE,RICHLAND,AVE,NULL
RICHTER AVE,RICHTER,AVE,NULL
RICKARD ST,RICKARD,ST,NULL
RICO WAY,RICO,WAY,NULL
RIDGE CT,RIDGE,CT,NULL
RIDGE LN,RIDGE,LN,NULL
RIDGEWOOD AVE,RIDGEWOOD,AVE,NULL
RILEY AVE,RILEY,AVE,NULL
RINCON ST,RINCON,ST,NULL
RINGOLD ST,RINGOLD,ST,NULL
RIO CT,RIO,CT,NULL
RIO VERDE ST,RIO VERDE,ST,NULL
RIPLEY ST,RIPLEY,ST,NULL
RITCH ST,RITCH,ST,NULL
RIVAS AVE,RIVAS,AVE,NULL
RIVERA ST,RIVERA,ST,NULL
RIVERTON DR,RIVERTON,DR,NULL
RIVOLI ST,RIVOLI,ST,NULL
RIZAL ST,RIZAL,ST,NULL
ROACH ST,ROACH,ST,NULL
ROANOKE ST,ROANOKE,ST,NULL
ROBBLEE AVE,ROBBLEE,AVE,NULL
ROBERT C LEVY TUNL,ROBERT C LEVY,TUNL,NULL
ROBERT KIRK LN,ROBERT KIRK,LN,NULL
ROBINHOOD DR,ROBINHOOD,DR,NULL
ROBINSON DR,ROBINSON,DR,NULL
ROBINSON ST,ROBINSON,ST,NULL
ROCK ALY,ROCK,ALY,NULL
ROCKAWAY AVE,ROCKAWAY,AVE,NULL
ROCKDALE DR,ROCKDALE,DR,NULL
ROCKLAND ST,ROCKLAND,ST,NULL
ROCKRIDGE DR,ROCKRIDGE,DR,NULL
ROCKWOOD CT,ROCKWOOD,CT,NULL
ROD RD,ROD,RD,NULL
RODGERS ST,RODGERS,ST,NULL
RODRIGUEZ ST,RODRIGUEZ,ST,NULL
ROEMER WAY,ROEMER,WAY,NULL
ROLPH ST,ROLPH,ST,NULL
ROMAIN ST,ROMAIN,ST,NULL
ROME ST,ROME,ST,NULL
ROMOLO ST,ROMOLO,ST,NULL
RONDEL PL,RONDEL,PL,NULL
ROOSEVELT WAY,ROOSEVELT,WAY,NULL
ROSA PARKS LN,ROSA PARKS,LN,NULL
ROSCOE ST,ROSCOE,ST,NULL
ROSE ST,ROSE,ST,NULL
ROSELLA CT,ROSELLA,CT,NULL
ROSELYN TER,ROSELYN,TER,NULL
ROSEMARY CT,ROSEMARY,CT,NULL
ROSEMONT PL,ROSEMONT,PL,NULL
ROSENKRANZ ST,ROSENKRANZ,ST,NULL
ROSEWOOD DR,ROSEWOOD,DR,NULL
ROSIE LEE LN,ROSIE LEE,LN,NULL
ROSS ALY,ROSS,ALY,NULL
ROSSI AVE,ROSSI,AVE,NULL
ROSSMOOR DR,ROSSMOOR,DR,NULL
ROTTECK ST,ROTTECK,ST,NULL
ROUSSEAU ST,ROUSSEAU,ST,NULL
ROYAL LN,ROYAL,LN,NULL
RUCKMAN AVE,RUCKMAN,AVE,NULL
RUDDEN AVE,RUDDEN,AVE,NULL
RUGER ST,RUGER,ST,NULL
RUSS ST,RUSS,ST,NULL
RUSSELL ST,RUSSELL,ST,NULL
RUSSIA AVE,RUSSIA,AVE,NULL
RUSSIAN HILL PL,RUSSIAN HILL,PL,NULL
RUTH ST,RUTH,ST,NULL
RUTLAND ST,RUTLAND,ST,NULL
RUTLEDGE ST,RUTLEDGE,ST,NULL
SABIN PL,SABIN,PL,NULL
SACRAMENTO ST,SACRAMENTO,ST,NULL
SADDLEBACK DR,SADDLEBACK,DR,NULL
SADOWA ST,SADOWA,ST,NULL
SAFIRA LN,SAFIRA,LN,NULL
SAGAMORE ST,SAGAMORE,ST,NULL
SAINT CHARLES AVE,SAINT CHARLES,AVE,NULL
SAINT CROIX DR,SAINT CROIX,DR,NULL
SAINT ELMO WAY,SAINT ELMO,WAY,NULL
SAINT FRANCIS BLVD,SAINT FRANCIS,BLVD,NULL
SAINT FRANCIS PL,SAINT FRANCIS,PL,NULL
SAINT GEORGE ALY,SAINT GEORGE,ALY,NULL
SAINT GERMAIN AVE,SAINT GERMAIN,AVE,NULL
SAINT JOSEPHS AVE,SAINT JOSEPHS,AVE,NULL
SAINT LOUIS ALY,SAINT LOUIS,ALY,NULL
SAINT MARYS AVE,SAINT MARYS,AVE,NULL
SAL ST,SAL,ST,NULL
SALA TER,SALA,TER,NULL
SALINAS AVE,SALINAS,AVE,NULL
SALMON ST,SALMON,ST,NULL
SAMOSET ST,SAMOSET,ST,NULL
SAMPSON AVE,SAMPSON,AVE,NULL
SAN ALESO AVE,SAN ALESO,AVE,NULL
SAN ANDREAS WAY,SAN ANDREAS,WAY,NULL
SAN ANSELMO AVE,SAN ANSELMO,AVE,NULL
SAN ANTONIO PL,SAN ANTONIO,PL,NULL
SAN BENITO WAY,SAN BENITO,WAY,NULL
SAN BRUNO AVE,SAN BRUNO,AVE,NULL
SAN BRUNO AV OFF RAMP,SAN BRUNO AV OFF,RAMP,NULL
SAN BRUNO AV ON RAMP,SAN BRUNO AV ON,RAMP,NULL
SAN BUENAVENTURA WAY,SAN BUENAVENTURA,WAY,NULL
SAN CARLOS ST,SAN CARLOS,ST,NULL
SAN DIEGO AVE,SAN DIEGO,AVE,NULL
SAN FELIPE AVE,SAN FELIPE,AVE,NULL
SAN FERNANDO WAY,SAN FERNANDO,WAY,NULL
SAN GABRIEL AVE,SAN GABRIEL,AVE,NULL
SAN JACINTO WAY,SAN JACINTO,WAY,NULL
SAN JOSE AVE,SAN JOSE,AVE,NULL
SAN JOSE AV OFF RAMP,SAN JOSE AV OFF,RAMP,NULL
SAN JOSE AV ON RAMP,SAN JOSE AV ON,RAMP,NULL
SAN JUAN AVE,SAN JUAN,AVE,NULL
SAN LEANDRO WAY,SAN LEANDRO,WAY,NULL
SAN LORENZO WAY,SAN LORENZO,WAY,NULL
SAN LUIS AVE,SAN LUIS,AVE,NULL
SAN MARCOS AVE,SAN MARCOS,AVE,NULL
SAN MIGUEL ST,SAN MIGUEL,ST,NULL
SAN PABLO AVE,SAN PABLO,AVE,NULL
SAN RAFAEL WAY,SAN RAFAEL,WAY,NULL
SAN RAMON WAY,SAN RAMON,WAY,NULL
SANCHES ST,SANCHES,ST,NULL
SANCHEZ ST,SANCHEZ,ST,NULL
SANDPIPER COVE WAY,SANDPIPER COVE,WAY,NULL
SANSOME ST,SANSOME,ST,NULL
SANTA ANA AVE,SANTA ANA,AVE,NULL
SANTA BARBARA AVE,SANTA BARBARA,AVE,NULL
SANTA CLARA AVE,SANTA CLARA,AVE,NULL
SANTA CRUZ AVE,SANTA CRUZ,AVE,NULL
SANTA FE AVE,SANTA FE,AVE,NULL
SANTA MARINA ST,SANTA MARINA,ST,NULL
SANTA MONICA WAY,SANTA MONICA,WAY,NULL
SANTA PAULA AVE,SANTA PAULA,AVE,NULL
SANTA RITA AVE,SANTA RITA,AVE,NULL
SANTA ROSA AVE,SANTA ROSA,AVE,NULL
SANTA YNEZ AVE,SANTA YNEZ,AVE,NULL
SANTA YSABEL AVE,SANTA YSABEL,AVE,NULL
SANTIAGO ST,SANTIAGO,ST,NULL
SANTOS ST,SANTOS,ST,NULL
SARGENT ST,SARGENT,ST,NULL
SAROYAN PL,SAROYAN,PL,NULL
SATURN ST,SATURN,ST,NULL
SAUL ST,SAUL,ST,NULL
SAWYER ST,SAWYER,ST,NULL
SCENIC WAY,SCENIC,WAY,NULL
SCHOFIELD CT,SCHOFIELD,CT,NULL
SCHOFIELD RD,SCHOFIELD,RD,NULL
SCHOOL ALY,SCHOOL,ALY,NULL
SCHWERIN ST,SCHWERIN,ST,NULL
SCIENCE CIR,SCIENCE,CIR,NULL
SCOTIA AVE,SCOTIA,AVE,NULL
SCOTLAND ST,SCOTLAND,ST,NULL
SCOTT ALY,SCOTT,ALY,NULL
SCOTT ST,SCOTT,ST,NULL
SEA VIEW TER,SEA VIEW,TER,NULL
SEACLIFF AVE,SEACLIFF,AVE,NULL
SEAL COVE TER,SEAL COVE,TER,NULL
SEAL ROCK DR,SEAL ROCK,DR,NULL
SEARS ST,SEARS,ST,NULL
SEAWELL LN,SEAWELL,LN,NULL
SECOND DR,SECOND,DR,NULL
SECURITY PACIFIC PL,SECURITY PACIFIC,PL,NULL
SELBY ST,SELBY,ST,NULL
SELMA WAY,SELMA,WAY,NULL
SEMINOLE AVE,SEMINOLE,AVE,NULL
SENECA AVE,SENECA,AVE,NULL
SEQUOIA WAY,SEQUOIA,WAY,NULL
SERGEANT JOHN V YOUNG ST,SERGEANT JOHN V YOUNG,ST,NULL
SERRANO DR,SERRANO,DR,NULL
SERVICE ST,SERVICE,ST,NULL
SEVERN ST,SEVERN,ST,NULL
SEVILLE ST,SEVILLE,ST,NULL
SEWARD ST,SEWARD,ST,NULL
SEYMOUR ST,SEYMOUR,ST,NULL
SFGH ACCESS,SFGH ACCESS,NULL,NULL
SHAFTER AVE,SHAFTER,AVE,NULL
SHAFTER CT,SHAFTER,CT,NULL
SHAFTER RD,SHAFTER,RD,NULL
SHAKESPEARE ST,SHAKESPEARE,ST,NULL
SHANNON ST,SHANNON,ST,NULL
SHARON ST,SHARON,ST,NULL
SHARP PL,SHARP,PL,NULL
SHAW ALY,SHAW,ALY,NULL
SHAWNEE AVE,SHAWNEE,AVE,NULL
SHELDON TER,SHELDON,TER,NULL
SHEPHARD PL,SHEPHARD,PL,NULL
SHERIDAN AVE,SHERIDAN,AVE,NULL
SHERIDAN ST,SHERIDAN,ST,NULL
SHERMAN RD,SHERMAN,RD,NULL
SHERMAN ST,SHERMAN,ST,NULL
SHERWOOD CT,SHERWOOD,CT,NULL
SHIELDS ST,SHIELDS,ST,NULL
SHIP ST,SHIP,ST,NULL
SHIPLEY ST,SHIPLEY,ST,NULL
SHORE VIEW AVE,SHORE VIEW,AVE,NULL
SHORT ST,SHORT,ST,NULL
SHOTWELL ST,SHOTWELL,ST,NULL
SHOUP AVE,SHOUP,AVE,NULL
SHRADER ST,SHRADER,ST,NULL
SIBERT LN,SIBERT,LN,NULL
SIBERT LOOP,SIBERT,LOOP,NULL
SIBLEY RD,SIBLEY,RD,NULL
SICKLES AVE,SICKLES,AVE,NULL
SIERRA ST,SIERRA,ST,NULL
SIGNAL RD,SIGNAL,RD,NULL
SILLIMAN ST,SILLIMAN,ST,NULL
SILVER AVE,SILVER,AVE,NULL
SILVERVIEW DR,SILVERVIEW,DR,NULL
SIMONDS LOOP,SIMONDS,LOOP,NULL
INDIES PL,INDIES,PL,NULL
SKYLINE BLVD,SKYLINE,BLVD,NULL
SKYVIEW WAY,SKYVIEW,WAY,NULL
SLOAT BLVD,SLOAT,BLVD,NULL
SMITH LN,SMITH,LN,NULL
SOLA AVE,SOLA,AVE,NULL
SOMERSET ST,SOMERSET,ST,NULL
SONOMA ST,SONOMA,ST,NULL
SOTELO AVE,SOTELO,AVE,NULL
SOULE LN,SOULE,LN,NULL
SOUTH DR,SOUTH,DR,NULL
DUNLIN LN,DUNLIN,LN,NULL
SOUTH GATE RD,SOUTH GATE,RD,NULL
SOUTH HILL BLVD,SOUTH HILL,BLVD,NULL
SOUTH HUGHES LN,SOUTH HUGHES,LN,NULL
SOUTH PARK,SOUTH PARK,NULL,NULL
SOUTH VAN HORN LN,SOUTH VAN HORN,LN,NULL
SOUTH VAN NESS AVE,SOUTH VAN NESS,AVE,NULL
SOUTHARD PL,SOUTHARD,PL,NULL
SOUTHERN HEIGHTS AVE,SOUTHERN HEIGHTS,AVE,NULL
SOUTHWOOD DR,SOUTHWOOD,DR,NULL
SPARROW ST,SPARROW,ST,NULL
SPARTA ST,SPARTA,ST,NULL
SPEAR AVE,SPEAR,AVE,NULL
SPEAR ST,SPEAR,ST,NULL
SPENCER ST,SPENCER,ST,NULL
SPOFFORD ST,SPOFFORD,ST,NULL
SPRECKELS LAKE DR,SPRECKELS LAKE,DR,NULL
SPRING ST,SPRING,ST,NULL
SPRINGFIELD DR,SPRINGFIELD,DR,NULL
SPROULE LN,SPROULE,LN,NULL
SPRUCE ST,SPRUCE,ST,NULL
STANDISH AVE,STANDISH,AVE,NULL
STANFORD ST,STANFORD,ST,NULL
STANFORD HEIGHTS AVE,STANFORD HEIGHTS,AVE,NULL
STANLEY ST,STANLEY,ST,NULL
STANTON ST,STANTON,ST,NULL
STANYAN BLVD,STANYAN,BLVD,NULL
STANYAN ST,STANYAN,ST,NULL
STAPLES AVE,STAPLES,AVE,NULL
ZOE DELL LN,ZOE DELL,LN,NULL
STARK ST,STARK,ST,NULL
STARR KING WAY,STARR KING,WAY,NULL
STARVIEW WAY,STARVIEW,WAY,NULL
STATE DR,STATE,DR,NULL
STATES ST,STATES,ST,NULL
STEINER ST,STEINER,ST,NULL
STERLING ST,STERLING,ST,NULL
STERN GROVE CT,STERN GROVE,CT,NULL
STERNBERG RD,STERNBERG,RD,NULL
STEUART ST,STEUART,ST,NULL
STEUBEN ST,STEUBEN,ST,NULL
STEVELOE PL,STEVELOE,PL,NULL
STEVENSON ST,STEVENSON,ST,NULL
STILL ST,STILL,ST,NULL
STILLINGS AVE,STILLINGS,AVE,NULL
STILLMAN ST,STILLMAN,ST,NULL
STILWELL RD,STILWELL,RD,NULL
STOCKTON ST,STOCKTON,ST,NULL
STOCKTON TUNL,STOCKTON,TUNL,NULL
STONE ST,STONE,ST,NULL
STONECREST DR,STONECREST,DR,NULL
STONEMAN ST,STONEMAN,ST,NULL
STONERIDGE LN,STONERIDGE,LN,NULL
STONEYBROOK AVE,STONEYBROOK,AVE,NULL
STONEYFORD AVE,STONEYFORD,AVE,NULL
STOREY AVE,STOREY,AVE,NULL
STORRIE ST,STORRIE,ST,NULL
STOW LAKE DR,STOW LAKE,DR,NULL
STRATFORD DR,STRATFORD,DR,NULL
STRIPED BASS ST,STRIPED BASS,ST,NULL
STURGEON ST,STURGEON,ST,NULL
SUMMIT ST,SUMMIT,ST,NULL
SUMMIT WAY,SUMMIT,WAY,NULL
SUMNER AVE,SUMNER,AVE,NULL
SUMNER ST,SUMNER,ST,NULL
SUNBEAM LN,SUNBEAM,LN,NULL
SUNGLOW LN,SUNGLOW,LN,NULL
SUNNYDALE AVE,SUNNYDALE,AVE,NULL
SUNNYSIDE TER,SUNNYSIDE,TER,NULL
SUNRISE WAY,SUNRISE,WAY,NULL
SUNSET BLVD,SUNSET,BLVD,NULL
SUNSET BLVD OFF RAMP,SUNSET BLVD OFF,RAMP,NULL
SUNSET BLVD ON RAMP,SUNSET BLVD ON,RAMP,NULL
SUNVIEW DR,SUNVIEW,DR,NULL
SURREY ST,SURREY,ST,NULL
SUSSEX ST,SUSSEX,ST,NULL
SUTRO HEIGHTS AVE,SUTRO HEIGHTS,AVE,NULL
SUTTER ST,SUTTER,ST,NULL
SWEENY ST,SWEENY,ST,NULL
SWISS AVE,SWISS,AVE,NULL
SYCAMORE ST,SYCAMORE,ST,NULL
SYDNEY WAY,SYDNEY,WAY,NULL
SYLVAN DR,SYLVAN,DR,NULL
TABER PL,TABER,PL,NULL
TACOMA ST,TACOMA,ST,NULL
GOLDEN BELL WAY,GOLDEN BELL,WAY,NULL
TALBERT ST,TALBERT,ST,NULL
TAMALPAIS TER,TAMALPAIS,TER,NULL
TAMPA LN,TAMPA,LN,NULL
TANDANG SORA,TANDANG SORA,NULL,NULL
TAPIA DR,TAPIA,DR,NULL
TARA ST,TARA,ST,NULL
TARAVAL ST,TARAVAL,ST,NULL
TAYLOR RD,TAYLOR,RD,NULL
TAYLOR ST,TAYLOR,ST,NULL
TEDDY AVE,TEDDY,AVE,NULL
TEHAMA ST,TEHAMA,ST,NULL
TELEGRAPH PL,TELEGRAPH,PL,NULL
TELEGRAPH HILL BLVD,TELEGRAPH HILL,BLVD,NULL
TEMESCAL TER,TEMESCAL,TER,NULL
TEMPLE ST,TEMPLE,ST,NULL
TENNESSEE ST,TENNESSEE,ST,NULL
TENNY PL,TENNY,PL,NULL
TERESITA BLVD,TERESITA,BLVD,NULL
TERRA VISTA AVE,TERRA VISTA,AVE,NULL
TERRACE DR,TERRACE,DR,NULL
TERRACE WALK,TERRACE,WALK,NULL
TERRY A FRANCOIS BLVD,TERRY A FRANCOIS,BLVD,NULL
TEVIS ST,TEVIS,ST,NULL
TEXAS ST,TEXAS,ST,NULL
THE EMBARCADERO,THE EMBARCADERO,NULL,NULL
THERESA ST,THERESA,ST,NULL
THOMAS AVE,THOMAS,AVE,NULL
THOMAS CT,THOMAS,CT,NULL
THOMAS MELLON CIR,THOMAS MELLON,CIR,NULL
THOMAS MELLON DR,THOMAS MELLON,DR,NULL
THOMAS MORE WAY,THOMAS MORE,WAY,NULL
THOR AVE,THOR,AVE,NULL
THORNBURG RD,THORNBURG,RD,NULL
THORNE WAY,THORNE,WAY,NULL
THORNTON AVE,THORNTON,AVE,NULL
THORP LN,THORP,LN,NULL
THRIFT ST,THRIFT,ST,NULL
TIFFANY AVE,TIFFANY,AVE,NULL
TILLMAN PL,TILLMAN,PL,NULL
TIMOTHY PFLUEGER PL,TIMOTHY PFLUEGER,PL,NULL
TINGLEY ST,TINGLEY,ST,NULL
TIOGA AVE,TIOGA,AVE,NULL
TOCOLOMA AVE,TOCOLOMA,AVE,NULL
TODD ST,TODD,ST,NULL
TOLAND ST,TOLAND,ST,NULL
TOLEDO WAY,TOLEDO,WAY,NULL
TOLL PLAZA TUNNEL,TOLL PLAZA TUNNEL,NULL,NULL
TOMASO CT,TOMASO,CT,NULL
TOMPKINS AVE,TOMPKINS,AVE,NULL
TONQUIN ST,TONQUIN,ST,NULL
TOPAZ WAY,TOPAZ,WAY,NULL
TOPEKA AVE,TOPEKA,AVE,NULL
TORNEY AVE,TORNEY,AVE,NULL
TORRENS CT,TORRENS,CT,NULL
TOUCHARD ST,TOUCHARD,ST,NULL
TOWERSIDE AVE,TOWERSIDE,AVE,NULL
TOWNSEND ST,TOWNSEND,ST,NULL
TOYON LN,TOYON,LN,NULL
TRADER VIC ALY,TRADER VIC,ALY,NULL
TRAINOR ST,TRAINOR,ST,NULL
TRANSBAY HUMP,TRANSBAY HUMP,NULL,NULL
TRANSBAY LOOP,TRANSBAY LOOP,NULL,NULL
TRANSVERSE DR,TRANSVERSE,DR,NULL
TREASURE ISLAND RD,TREASURE ISLAND,RD,NULL
TREASURY PL,TREASURY,PL,NULL
TREAT AVE,TREAT,AVE,NULL
TREAT LN,TREAT,LN,NULL
TREAT WAY,TREAT,WAY,NULL
TRENTON ST,TRENTON,ST,NULL
TRINITY ST,TRINITY,ST,NULL
TROY ALY,TROY,ALY,NULL
TRUBY ST,TRUBY,ST,NULL
TRUETT ST,TRUETT,ST,NULL
TRUMBULL ST,TRUMBULL,ST,NULL
TUBBS ST,TUBBS,ST,NULL
TUCKER AVE,TUCKER,AVE,NULL
TULANE ST,TULANE,ST,NULL
TULARE ST,TULARE,ST,NULL
TULIP ALY,TULIP,ALY,NULL
TUNNEL AVE,TUNNEL,AVE,NULL
TURK BLVD,TURK,BLVD,NULL
TURK ST,TURK,ST,NULL
TURK MURPHY LN,TURK MURPHY,LN,NULL
TURNER TER,TURNER,TER,NULL
TURQUOISE WAY,TURQUOISE,WAY,NULL
TUSCANY ALY,TUSCANY,ALY,NULL
TWIN PEAKS BLVD,TWIN PEAKS,BLVD,NULL
ULLOA ST,ULLOA,ST,NULL
UNDERWOOD AVE,UNDERWOOD,AVE,NULL
UNION ST,UNION,ST,NULL
UNITED NATIONS PLZ,UNITED NATIONS,PLZ,NULL
UNIVERSITY ST,UNIVERSITY,ST,NULL
UNNAMED 009,UNNAMED 009,NULL,NULL
