540.code,74-Im030,74-I030
118.websiteurl,www.blujeacket.k12.ok.us,www.bluejacket.k12.ok.us
106.superintendentsemail,klemons@tserling.k12.ok.us,klemons@sterling.k12.ok.us
482.phone,918) 773-5798,(918) 773-5798
189.code,0-I004,30-I004
166.websiteurl,wwwp.aulsvalleyschools.com,www.paulsvalleyschools.com
79.statevalue,KO,OK
6.websiteurl,ww.bokosheschool.org,www.bokosheschool.org
398.boardpresident,Suzannke Spears,Suzanne Spears
510.statevalue,KO,OK
423.code,26-I001,62-I001
377.fax,(918)336-4238,(918) 336-4238
125.address,136 Evans Ahvenue,136 Evans Avenue
198.phone,(405) 645-211,(405) 645-2411
316.fax,(918) 684-383x8,(918) 684-3838
525.superintendent,Lancbe West,Lance West
492.websiteurl,ww.wvelma-alma.com,www.velma-alma.com
153.address,209 West fLocust,209 West Locust
180.districtname,AMBER-POCASSET               ,AMBER-POCASSET                
100.districtname,TUPELO                        ***,TUPELO                        
368.address,7225 Twinc Hills Road,7225 Twin Hills Road
419.city,Corwder,Crowder
60.superintendentsemail,mcdaniels@muxstangps.org,mcdaniels@mustangps.org
349.countyname,KLAHOMA    ,OKLAHOMA    
345.code,a55-E024,55-E024
166.districtname,PAUL VALLEY                  ,PAULS VALLEY                  
182.boardpresident,Michnelle Shaw,Michelle Shaw
283.countyname,MAYES     c  ,MAYES       
278.code,46-Cy043,46-C043
455.code,65-Ia066,65-I066
129.address,309 E. Peteron,309 E. Peterson
62.phone,(i580) 668-2955,(580) 668-2955
316.superintendentsemail,Mike.cGarde@roughers.net,Mike.Garde@roughers.net
131.countyname,CREEK      ,CREEK       
270.statevalue,K,OK
297.superintendentsemail,jeberts@vpsd.ogr,jeberts@vpsd.org
207.countyname,JEFFRSON   ,JEFFERSON   
28.code,0-I009,06-I009
138.address,453158 East 295 Road,451358 East 295 Road
421.countyname,PITTSBUGR   ,PITTSBURG   
537.superintendent,Chris Smtih,Chris Smith
13.statevalue,nOK,OK
314.districtname,WEBBERS FALLS             s    ,WEBBERS FALLS                 
529.districtname,BERRYHILL                     ***,BERRYHILL                     
504.superintendent,Tom cShroeder,Tom Schroeder
319.code,51-I04j6,51-I046
354.city,Jonse,Jones
282.superintendent,LoriHelton,Lori Helton
292.superintendent,Tanya Stouart,Tanya Stuart
400.superintendent,on Aven,Jon Aven
490.websiteurl,www.comanceh.k12.ok.us,www.comanche.k12.ok.us
235.city,Wilburhton,Wilburton
395.statevalue,OeK,OK
466.superintendent,Alfred Gachse,Alfred Gaches
276.countyname,MARSHAuLL    ,MARSHALL    
540.websiteurl,www.bpsm-ok.org,www.bps-ok.org
335.superintendent,im Lanier,Kim Lanier
141.phone,(918)5 05-1000,(918) 505-1000
115.address,27455 South 43c40 Road,27455 South 4340 Road
81.statevalue,OrK,OK
254.statevalue,K,OK
385.statevalue,KO,OK
551.city,Fort Supplxy,Fort Supply
439.fax,(405 598-2861,(405) 598-2861
292.countyname,MCuCURTAIN   ,MCCURTAIN   
