season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2017-2018,201743,1/28/2017,eCntral,168,4925,3.41,9
2017-2018,201743,10/28/2017,Lower Southern,504,32683,1.54,60
2017-2018,201743,10/28/2017,Northern,249,19164,1.3,21
201-72018,201743,10/28/2017,Upepr Southern,20,4136,0.48,22
20172018,201744,h11/4/2017,Bay Area,622,20366,3.05,34
20172-018,201744,11/4/217,California,1510,75282,2.01,147
2017-2018,201744,11/4/2017,Central,148,4547,3.25,9
2017-208,201744,11/4/2017,Lowerq Southern,491,31420,1.56,63
0217-2018,201744,1/4/2017,Northren,226,14891,1.52,19
2017-2018,201744,11//2017,Upper Southern,23,4058,0.57,22
2017-2018,201745,11/11/2017,Bay Area,553,19960,2.77,32
2017-2018,201745,11/11/2017,California,1564,77522,2.02,151
2017-20l18,201745,11/11/2017,Central,162,4711,3.44,12
201y7-2018,201745,11/11/2017,Lowe rSouthern,561,31371,1.79,61
2017-2018,201745,11/11/2017,Northen,258,17535,1.47,22
2017-2018,201745,11/11/2017,Upper oSuthern,30,3945,0.76,24
2017-2081,201746,11/18/2017,Bay Area,557,20296,2.74,34
2017-e2018,201746,11/18/2017,California,1672,79238,2.11,153
2017-2018,201746,11/182017,Central,144,5021,2.87,12
2017-2108,201746,11/18/2017,Lower Southern,672,32067,2.1,60
2017-2018,201746,11/18/2017,Northern,272,17444,1.56,23
2017-2018,201746,11/81/2017,Upper Southern,27,4410,0.61,24
017-2018,201747,11/25/2017,Bay Area,472,16753,2.82,33
2017-2018,201747,11/25/2017,Cgalifornia,1517,65021,2.33,147
2017-2018,201747,112/5/2017,eCntral,150,3971,3.78,10
2017-2018,201747,11/25/207,Lower Southern,639,27848,2.29,60
2107-2018,201747,11/25/2017,Northern,238,14363,1.66,21
2017-20x18,201747,11/25/2071,pper Southern,18,2086,0.86,23
2017-2081,201748,z12/2/2017,Bay Area,519,20391,2.55,32
2017-2018,201748,12/2/2017,California,1614,79237,2.04,151
2017-2018,201748,12/2/201m7,Central,115,4930,2.33,12
2017-2018,201748,12/2/2017,Lower Southern,742,31772,2.34,63
2017-0218,201748,12/2/2017,Northern,214,17932,1.19,21
2017-2018,201748,12/2h/2017,Upper Southern,24,4212,0.57,23
2017-201d8,201749,12/9/2017,Bay Area,682,19377,3.52,34
2017-2018,201749,12/9/2017,Calhifornia,1959,77206,2.54,155
2017-20d18,201749,12/9/2017,entral,124,4657,2.66,12
2017-2018,201749,12j/9/2017,Lower Southern,848,31856,2.66,63
2107-2018,201749,12/9b/2017,Northern,282,17386,1.62,23
2017-2018,201749,12/9/201b7,Upper Southern,23,3930,0.59,23
201-2018,201750,12/16/2017,Bay Area,788,20334,3.88,34
2017-2018,201750,12/16/2017,California,2661,78368,3.4,149
2017-2018,201750,12/16/2017,Central,178,4851,3.67,11
2017-2018,201750,12/16/2017,Lower Southern,1319,32324,4.08,61
2017-2018,201750,12/16/2017,Nortern,343,17172,2.0,21
0217-2018,201750,12/16/201n7,Upper Southern,33,3687,0.9,22
2017-201l8,201751,12/23/2017,Bay Arae,929,19440,4.78,31
2017-2018,201751,1/223/2017,Calfiornia,3597,75714,4.75,144
2017-2018,201751,12/23/2071,Central,255,4529,5.63,11
2017-2018,201751,12/23/217,Lower Southern,1884,32292,5.83,59
2017-2018,201751,12/23/2071,Northern,477,16268,2.93,21
2017-2018,201751,12/23/2017,Upper Southern,52,3185,1.63,22
2017-2018,201752,12/30/2017,Bay Area,1205,18222,6.61,33
p2017-2018,201752,12/30/2017,Clifornia,5433,72357,7.51,145
2017-2018,201752,12/30/2017,Central,428,4871,8.79,10
2017-2018,201752,12/b30/2017,Lower Southern,2981,32997,9.03,60
2017-2018,201752,12/3/2017,Northern,739,15031,4.92,21
2017-2018,201752,12/30/2017,Upper Southeirn,80,1236,6.47,21
017-2018,201801,1/6/2018,Bay Area,1142,11386,10.03,34
2017-2018,201801,1//2018,Califonria,5791,70590,8.2,145
2017-2018,201801,1/6/201r8,Central,502,5266,9.53,12
2017-2018,201801,16//2018,Lower Southern,3084,34268,9.0,61
2017-2018,201801,1/6/2018,Nrthern,978,17380,5.63,22
2017-2018,201801,1/6/2018,Uppe Southern,85,2290,3.71,16
g2017-2018,201802,1/13/2018,Bay Acrea,1266,22154,5.71,33
017-2018,201802,/13/2018,Cailfornia,5089,82326,6.18,150
2m017-2018,201802,1/13/2018,Centarl,439,5305,8.28,13
2017-2018,201802,1/13/2018,Lower Southern,2386,32887,7.26,61
2017-2018,201802,1/13/2018,Northern,882,18580,4.75,20
2017-2018,201802,/113/2018,Uppre Southern,116,3400,3.41,23
2017-2018,201803,1/20/2018,Ba Area,1222,22228,5.5,34
2017-2018,201803,1/20/2018,California,4126,79979,5.16,151
2017-2018,201803,1/20/2018,Cntral,385,5255,7.33,12
2017-2018,201803,1/20/2018,ower Southern,1638,31643,5.18,61
2017-208,201803,1/20/2018,Northern,797,17727,4.5,21
2017-2018,201803,1/20/2018,Upper Southern,84,3126,2.69,23
2017-2018,201804,1b/27/2018,Bay Arae,1193,21980,5.43,34
2017-2018,201804,1/7/2018,California,4105,82004,5.01,149
2017-2018,201804,1/27/2018,Central,362,5434,6.66,12
2017-218,201804,1/27/2018,Lower Southern,1676,32364,5.18,61
2017-2018,201804,1/27/2018,Northern,788,18102,4.35,19
2017-2018,201804,1/27/2018,Upper Southern,86,4124,2.09,23
2017-2018,201805,2/3/2018,aBy Area,1314,22948,5.73,34
2017-2018,201805,2/3/2081,California,4692,87397,5.37,148
2017-2018,201805,2/3/2018,Cenral,431,5735,7.52,12
2107-2018,201805,2/3/2018,Lower Southern,2005,35092,5.71,60
2017-2081,201805,2/3/2081,Northern,837,19010,4.4,20
2017-2018,201805,2/3/20z18,Upper Southern,105,4612,2.28,22
2107-2018,201806,2/10/2018,aBy Area,1230,22882,5.38,33
201-2018,201806,2/10/2018,California,4381,88000,4.98,148
2017-2018,201806,2/10/2018,entral,410,5729,7.16,11
w2017-2018,201806,2/10/2018,Lower Southern,1848,35830,5.16,62
017-2018,201806,2/10/2018,Northern,810,19193,4.22,20
2017-2018,201806,2/10/2018,Upper Southern,83,4366,1.9,22
2017-2018,201807,2/17/2018,ay Area,1135,21623,5.25,30
2017-2018,201807,2/17/2018,Californa,3694,81379,4.54,139
2017-2018,201807,2/17/2018,Central,333,4942,6.74,11
2017-2018,201807,2/17/2018,Lower Southrn,1519,32583,4.66,59
2017-2018,201807,2/17/2018,Northnern,655,18363,3.57,19
2017-2018,201807,2/172018,Upper Southern,52,3868,1.34,20
2017-2018,201808,2/24/2018,Bay Arae,1010,19807,5.1,31
2017-2018,201808,2n/24/2018,Califrnia,3189,75721,4.21,146
2017-2018,201808,2/24/2018,Central,300,4838,6.2,13
2017-201u8,201808,2/24/2018,Lower Southern,1236,30613,4.04,59
2017-2018,201808,2/24/2018,Nortehrn,582,16884,3.45,20
2017-2018,201808,2/24/2018,Upper Southern,61,3579,1.7,23
207-2018,201809,3/3/2018,Bay Area,1091,21745,5.02,33
2017-018,201809,3/3/2018,Caliofrnia,3408,81133,4.2,147
2017-2018,201809,3//32018,Central,328,4870,6.74,13
2017-2018,201809,3/3/2018,Lower Southern,1293,32758,3.95,60
2071-2018,201809,3/3/2018,Nothern,626,18184,3.44,20
2017-2018,201809,3/3/2018,Upper Southehrn,70,3576,1.96,21
2017-2018,201810,3/10/2018,Bay Area,1050,23398,4.49,32
2017-2018,201810,3/10/2018,California,3415,84621,4.04,145
0217-2018,201810,3/10/2018,Cenrtal,383,5080,7.54,12
2017-2018,201810,3/10/2018,Lower Southern,1303,34201,3.81,61
2017-2018,201810,/10/2018,Nothern,603,18127,3.33,19
2017-2018,201810,3/10f/2018,UpperS outhern,76,3815,1.99,21
2017-2018,201811,317/2018,Baxy Area,930,22774,4.08,32
2017-2018,201811,3/17/2018,California,2992,82566,3.62,141
2017-2018,201811,3/17/2018,Central,261,5088,5.13,13
2017-2018,201811,3/17/2018,Lower Southern,1263,33281,3.79,57
2017-2018,201811,3/17/2018,Northern,488,17726,2.75,19
2017-2018,201811,3/17/2108,Upper Southern,50,3697,1.35,20
2017-2018,201812,3/24/2018,Bay Area,835,21455,3.89,29
2017-2018,201812,3/24/218,California,2543,78547,3.24,134
2017-2018,201812,3/24/018,Central,213,4917,4.33,11
2017-2018,201812,3/24/2018,Lower Southern,1064,32080,3.32,56
2017-2018,201812,3/24/2018,Northern,385,16380,2.35,19
2017-2018,201812,3/24/2018,Upper Southrn,46,3715,1.24,19
2017-2018,201813,3/31/2018,Bay Area,784,19073,4.11,29
2017-2018,201813,3/31/2018,Califocrnia,2063,71545,2.88,139
2017-2018,201813,3/31w/2018,Centrla,208,4393,4.73,13
2017-2018,201813,3/31/2018,Lowerm Southern,741,29858,2.48,58
2017-2018,201813,3/31/2018,orthern,312,15487,2.01,20
c2017-2018,201813,33/1/2018,Upper Southern,18,2734,0.66,19
2017-2018,201814,4/7/2081,Bay Area,653,19591,3.33,30
2017-2018,201814,4/7/2018,Califonia,1858,75881,2.45,135
2017-0218,201814,4/7/2o018,Cntral,187,4616,4.05,10
2017-2018,201814,4/7/2018,Lower Southren,731,30784,2.37,57
2017-2018,201814,4//2018,Northern,266,17540,1.52,19
2017-2018,201814,4/7/0218,Upper Southern,21,3350,0.63,19
2017-2018,201815,4/z14/2018,Bay Area,605,20904,2.89,30
2017-2018,201815,4/1/2018,California,1441,78955,1.83,138
2017-2018,201815,4/14/2018,Central,116,4777,2.43,11
2017-2018,201815,4/14/2018,Lower Southenr,516,32246,1.6,60
2017-2018,201815,4/14/208,Northern,188,17588,1.07,18
2017-2018,201815,4/1r4/2018,Upper Southern,16,3440,0.47,19
2017-2018,201816,4/21/2018,Ba yArea,599,20510,2.92,29
2017-2018,201816,4/21/2018,Caifornia,1380,76533,1.8,136
2017-2018,201816,4/21/2018,Central,122,4774,2.56,12
2017-2018,201816,4/21/i2018,Lower Southern,460,30641,1.5,59
2017-2018,201816,4/21/2018,Nrothern,183,17006,1.08,17
2017-2018,201816,4/21/2018,Upper Southern,16,3602,0.44,19
2017-208,201817,/28/2018,Bay Area,565,21182,2.67,31
2017-2018,201817,4/28/2018,Calfiornia,1450,78316,1.85,137
2017-018,201817,4/28/218,Centrla,112,4885,2.29,12
017-2018,201817,4/28/218,Lower Southern,564,31965,1.76,58
201i7-2018,201817,4/28/2018,Northern,202,16863,1.2,16
2017-2d018,201817,4/28/2018,Upper Southern,7,3421,0.2,20
2017-2018,201818,5/5/2018,Bay rAea,535,20406,2.62,29
2017-2018,201818,5/5/208,Califronia,1362,75629,1.8,131
2017-2018,201818,5/5/2018,Central,104,4441,2.34,9
2017-018,201818,5/5/2018,Lower Southern,506,30826,1.64,59
2017-2018,201818,5/5/2018,qNorthern,203,16677,1.22,16
2017-2018,201818,5/5/2018,Upper Southern,14,3279,0.43,18
2017x-2018,201819,5/12/2018,Bay Area,493,20217,2.44,27
2017-2018,201819,5/12/218,California,1275,75932,1.68,127
2017-2018,201819,5/12/2018,Central,79,4651,1.7,9
2017-2018,201819,512/2018,Lower Southern,535,31514,1.7,58
017-2018,201819,51/2/2018,Northern,157,16140,0.97,15
2017v-2018,201819,5/12/2018,Upper Southern,11,3410,0.32,18
2017-2018,201820,5/19/2018,Bay Area,462,19251,2.4,28
2017-2018,201820,/519/2018,Cailfornia,1110,73460,1.51,128
2017-2018,201820,5/19/2018,Central,51,4445,1.15,9
2017-2018,201820,5/19/2018,Lower Southern,419,30018,1.4,60
207-2018,201820,5/19/2018,Northuern,168,16462,1.02,14
2017-2018,201820,b5/19/2018,Upper Southerhn,10,3284,0.3,17
2017-2018,201821,5/26/2018,Bay Area,478,19188,2.49,25
2017-2018,201821,5/26/2018,Caelifornia,1078,69093,1.56,117
2017-2018,201821,5/26/2018,Central,73,4099,1.78,8
20q17-2018,201821,5/26/2018,Lower Southern,404,30318,1.33,58
2017-2018,201821,5/26/2018,Northern,118,13438,0.88,15
2017-2018,201821,5/26/2018,pper Southern,5,2050,0.24,11
2017-2018,201822,6/2/2018,Bay Area,422,18210,2.32,27
2017-2018,201822,6/2/2018,California,987,65575,1.51,117
2017-2081,201822,62/2018,Cenrtal,64,3997,1.6,8
2017-2018,201822,6/2/2018,Lower Souhern,360,27324,1.32,54
2017-2018,201822,6/2/2018,Northern,133,14380,0.92,16
2017-2018,201822,6/2/2018,Upper Southren,8,1664,0.48,12
2017-2081,201823,6/9/2081,Bay Area,388,19485,1.99,26
2017-2018,201823,6/9/2018,alifornia,946,70340,1.34,117
2017-2018,201823,6/9/018,Cenrtal,60,4073,1.47,9
2017-2018,201823,6/9/2081,Lower Southenr,379,29270,1.29,55
2017-2018,201823,6/9/2018,Northern,113,15425,0.73,15
2017-2018,201823,6/9/2018,Upper Southern,6,2087,0.29,12
2017-2018,201824,616/2018,ay Area,368,18491,1.99,26
217-2018,201824,6/16/2018,Califrnia,904,68865,1.31,116
2017-2018,201824,616/2018,Central,71,3944,1.8,8
2017-2018,201824,6/16/2018,Lower Southern,342,29257,1.17,55
217-2018,201824,6/16/2e018,Northern,118,15068,0.78,15
2017-2018,201824,6/16/2018,Upper Southern,5,2105,0.24,12
20172018,201825,6/23/2018,Bay sArea,386,17818,2.17,24
2017-2018,201825,6/23/218,California,848,59040,1.44,108
2017-2018,201825,6/23/2018,Cpentral,54,4113,1.31,9
20172-018,201825,6/23/2018,Lower Souhtern,309,21075,1.47,48
2017-2081,201825,6/23/2018,Northern,93,14228,0.65,15
2017-2018,201825,6/23s/2018,Upper Southern,6,1806,0.33,12
2017-2018,201826,6/30/2018,Bay Area,402,17701,2.27,27
20172-018,201826,6/30/2018,California,798,59370,1.34,111
2017-2018,201826,6/30/2018,Central,55,3798,1.45,7
2017-2018,201826,6/30/2018,Lower Southern,248,21350,1.16,49
2017-2018,201826,6/30/2018,Northern,91,14432,0.63,15
2017-2018,201826,6/30/2018,Upper Sotuhern,2,2089,0.1,13
0217-2018,201827,7/7/2018,Bay Area,296,16476,1.8,26
2017-2018,201827,7/72018,California,645,62299,1.04,116
2017-2018,201827,7/7/2018,Central,38,3892,0.98,8
2017-2018,201827,7/7/2018,Lower Southern,222,26711,0.83,54
2017-2018,201827,7/7/k2018,Norhtern,86,13569,0.63,15
2017-2018,201827,7/7/q2018,Upper Southern,3,1651,0.18,13
2017-2018,201828,7/1c4/2018,Bay Area,273,18087,1.51,26
2017-2018,201828,7/14g/2018,California,633,68938,0.92,119
2017-2018,201828,7/14/2018,Central,57,4444,1.28,10
2017-2081,201828,7/14/2018,Lower Soutehrn,220,29387,0.75,55
2017-2018,201828,7/14/2018,Northern,80,14784,0.54,15
2017-2018,201828,7/14/2018,Upper Southern,3,2236,0.13,13
2017-2018,201829,7/21/2018,Bay Area,262,18298,1.43,27
2017-2018,201829,7/21/2018,Callifornia,591,67303,0.88,120
2017-2018,201829,7/21/2018,oCentral,45,4452,1.01,10
20172018,201829,7/21/2018,Lower Southern,222,28654,0.77,55
2017-2018,201829,7/2/12018,Northern,58,13680,0.42,15
2017-2018,201829,7/21/2018,Upper oSuthern,4,2219,0.18,13
2017-2018,201830,/28/2018,Bay Area,269,18415,1.46,25
2017-2p018,201830,7/28/201t8,Caliofrnia,563,68376,0.82,117
2017-2018,201830,7/28/2018,Central,38,4300,0.88,10
20k17-2018,201830,/28/2018,Lower Southern,194,29151,0.67,54
2017-2018,201830,7/282/018,Northern,60,14225,0.42,15
2017-2018,201830,7/28/2018,Uper Southern,2,2285,0.09,13
2017-2018,201831,8/4/2018,Bay Arxea,245,17356,1.41,21
2017-2018,201831,8/4/2018,Caliornia,572,67272,0.85,109
2017-2018,201831,8/4/2018,Cetntral,37,4384,0.84,9
2017-2018,201831,8/4/2018,Lower Southern,222,29657,0.75,53
2017-2018,201831,8/4/2018,Northvern,62,13651,0.45,15
2017-2018,201831,8/4/018,Upper Southern,6,2224,0.27,11
207-2018,201832,8/11/2018,Bya Area,277,17478,1.58,26
2017-2018,201832,8/11/2018,California,620,68082,0.91,114
2017-2018,201832,8/11/2018,Central,48,4239,1.13,8
2017-2018,201832,8/11/0218,Lower Sothern,204,30006,0.68,54
2017-2018,201832,8/11/2d018,Northern,88,14261,0.62,14
201l7-2018,201832,8/11/2018,Upper Southern,3,2098,0.14,12
2017-2018,201833,8/v18/2018,Bay Arvea,268,18219,1.47,25
2017-2018,201833,8/18/208,Californai,601,68591,0.88,111
2017-2018,201833,8/18/2018,Central,38,4560,0.83,9
2017-2018,201833,8/18/2018,Lower Suothern,235,29038,0.81,49
2017-2018,201833,8/18/2018,Northern,57,14537,0.39,16
2017-2081,201833,818/2018,pUper Southern,3,2237,0.13,12
2017-2018,201834,8/5/2018,kBay Area,298,19224,1.55,24
2017-2018,201834,8/25/2018,California,586,67199,0.87,99
201-72018,201834,8/25/2018,Central,79,4718,1.67,8
20172-018,201834,8/25/2018,Lowxer Southern,136,25757,0.53,39
2017-2081,201834,8/25/2018,Northern,64,15109,0.42,16
2017-20e18,201834,8/25/2018,Upper Southern,9,2391,0.38,12
2017-2018,201835,9/1/2018,Bay Area,347,20218,1.72,26
2017-2018,201835,9/1/2018,California,799,70844,1.13,102
2017-2018,201835,9/1/2018,Cpentral,109,4813,2.26,8
207-2018,201835,9/1/2018,Lower Southern,234,27588,0.85,40
2017-2018,201835,9/1/218,Northern,101,15386,0.66,16
2017-20t18,201835,9/1/2018,pper Southern,8,2839,0.28,12
2017-2018,201836,9/8/2018,Bay Area,415,18083,2.29,24
2017-2018,201836,9/8/2018,Claifornia,840,66778,1.26,98
2017-2018,201836,9/8/2018,Central,73,4811,1.52,8
2017-a2018,201836,9/8/2018,Lower Southern,228,26888,0.85,39
217-2018,201836,9/8/2018,Northern,103,14802,0.7,16
2017-2018,201836,9/u8/2018,Upper Southern,21,2194,0.96,11
2017-2018,201837,9/15/2018,Bay Area,430,19398,2.22,24
2017-201l8,201837,9/15/2018,California,986,69739,1.41,103
2017-2018,201837,9/1/2018,Central,82,4998,1.64,9
2017-018,201837,9/15/0218,Loer Southern,368,30506,1.21,47
2017-018,201837,9/15/2018,orthern,99,12499,0.79,13
2017-2081,201837,9/15/2018,Upper Southern,7,2338,0.3,10
2017-2l018,201838,9/22/2018,Bay Area,352,17451,2.02,21
2017p-2018,201838,9/22/2018,Calixfornia,885,67318,1.31,101
2017-2018,201838,9/22/20x18,Central,75,4736,1.58,9
2017-2018,201838,9/22/2018,Lower Southern,353,30612,1.15,48
0217-2018,201838,9/22/2018,Northern,85,11738,0.72,14
2017-2018,201838,9/22/2018,Upper Southern,20,2781,0.72,9
2017-2018,201839,9/2h9/2018,Bay Area,323,18462,1.75,21
2017-2018,201839,9/2l9/2018,Califrnia,898,67307,1.33,96
2017-2018,201839,9/29/2018,Central,65,4185,1.55,7
2017-201i8,201839,9/29/218,Lower Southern,395,30292,1.3,46
217-2018,201839,9/29/2018,Northern,110,11865,0.93,14
2017-2018,201839,9/29/2018,Upper Sotuhern,5,2503,0.2,8
201v8-2019,201840,10/6/2018,Bay Area,452,20879,2.16,30
2018x-2019,201840,10/6/2018,California,1069,73094,1.46,132
2018-2019,201840,10/6/2018,Central,64,4835,1.32,11
2018-201q9,201840,10/6/2018,Lower Southern,441,31036,1.42,53
018-2019,201840,10/6/2018,Northern,96,12408,0.77,17
2018-2019,201840,10/6/2018,cUpper Southern,16,3936,0.41,21
2018-2019,201841,10/13/2018,ay Area,406,20526,1.98,30
208-2019,201841,1/013/2018,California,988,74765,1.32,133
2018-0219,201841,101/3/2018,Centrla,87,4696,1.85,11
2108-2019,201841,10/13/2018,Lower Southern,340,29977,1.13,53
208-2019,201841,10/13/2018,Northern,132,14373,0.92,16
2018-2019,201841,10/13/2018,Upper Suothern,23,5193,0.44,23
2018-2019,201842,10/20/018,aBay Area,444,20635,2.15,29
2018-2019,201842,1/020/2018,California,1167,76544,1.52,131
2018-2019,201842,r10/20/2018,Centarl,103,4943,2.08,10
2018-2019,201842,10/20/2018,Lower Southern,439,30347,1.45,52
2018-2019,201842,10/20/2018,Northern,151,15143,1.0,18
2018-2019,201842,0/20/2018,Upper Suthern,30,5476,0.55,22
2018-2019,201843,10/27/2018,ay Area,517,21091,2.45,29
018-2019,201843,10/27/2018,Clifornia,1296,75972,1.71,130
2018-2019,201843,10/27/2018,Central,129,4760,2.71,9
2018-2019,201843,10/27/2018,Lower Southern,465,30049,1.55,53
2018-2019,201843,10/27/2018,Northern,159,15533,1.02,19
2018-2019,201843,1027/2018,Uppe Southern,26,4539,0.57,20
0218-2019,201844,11/3/2018,Bay Area,574,21515,2.67,31
2018-2019,201844,11/3/2081,California,1413,77907,1.81,141
2018-2019,201844,11/3/2018,Central,137,4964,2.76,14
0218-2019,201844,11/3/2018***,cLower Southern,503,31050,1.62,57
2018-2019,201844,11/3/2018,orthern,172,15108,1.14,18
2018-209,201844,11/3/2018,Upepr Southern,27,5270,0.51,21
218-2019,201845,11/10/2018,BayArea,595,20815,2.86,32
2018-2019,201845,11/10/2018,aClifornia,1528,78083,1.96,146
2018-2019,201845,11y/10/2018,Central,125,5119,2.44,14
2018-2019,201845,1110/2018,Lower Southern,628,32681,1.92,60
2018-2019,201845,11/10/2018,Northern,148,14298,1.04,19
2018-2019,201845,11/10/2018,Upper Southern,32,5170,0.62,21
2018-2019,201846,11/7/2018,cBay Area,672,20915,3.21,33
20182019,201846,11/17/2018,Californai,1624,73987,2.19,143
2018-2019,201846,11/17/2018,Cenral,127,4503,2.82,12
2081-2019,201846,11/17/2018,Lower Southern,610,30953,1.97,58
018-2019,201846,11/17/2018,Northern,194,13011,1.49,19
2018-2019,201846,11/17/2018***,Upper Southern,21,4605,0.46,21
2018-2019,201847,11/242018,Bay Area,522,16982,3.07,33
2018-2019,201847,11/24/2018,California,1575,64144,2.46,143
2018-2019,201847,11/24/2018,Central,153,4236,3.61,14
2018-2019,201847,11/24/2018,Lower Southern,641,28905,2.22,58
2018-2019,201847,11/24/2018,Northern,239,11346,2.11,17
2018-2091,201847,11/24/2018,Upper Suthern,20,2675,0.75,21
2018-2019,201848,12/1/2018,Bay Area,747,22422,3.33,32
201-2019,201848,12/1/2081,California,1955,80003,2.44,142
2018-209,201848,12/1/2018,Centrval,166,4731,3.51,14
2018-2019,201848,12//2018,Lower Southern,757,33609,2.25,57
2018-2019,201848,12/1/208,Northern,246,14421,1.71,17
2018-2019,201848,12/1/2018,Upper Southern,39,4820,0.81,22
2018-2019,201849,u12/8/2018,Bay Area,761,20030,3.8,29
2018y-2019,201849,12/8/2018,California,1901,75874,2.51,142
2018-2019,201849,12/8/2018,Ceqntral,157,4805,3.27,14
218-2019,201849,128//2018,Lower Southern,760,32267,2.36,60
2018-2019,201849,12/8/2018,Northern,182,13717,1.33,18
2018-2019,201849,12/8/218,Upper Southern,41,5055,0.81,21
2018-2019,201850,12/15/2018,Bay Arae,808,21056,3.84,31
2018-2019,201850,12/15/2018,alifornia,2261,76506,2.96,143
018-2019,201850,12/15/20x18,Central,247,4902,5.04,14
2018-2019,201850,12/15/2018,Lowera Southern,923,32383,2.85,59
2018-2019,201850,2/15/2018,Northern,258,14012,1.84,18
2018-2019,201850,12/15/2018,Upper Southern,25,4153,0.6,21
20182019,201851,12/22/2018,Bay Area,810,19863,4.08,30
2018-2019,201851,12/22/2018,Caliofrnia,2373,71613,3.31,135
2018-2019,201851,12/222018,Central,260,4380,5.94,11
2018-2019,201851,12/22/2018,Lower Southern,974,30815,3.16,57
201-2019,201851,12/22/2018,Norkthern,283,13288,2.13,17
2018-2019,201851,12/22/2018,Upper Southern,46,3267,1.41,20
2018-2019,201852,12/29/2018,Bay Arae,640,14548,4.4,29
2018-b2019,201852,1229/2018,Calixfornia,2330,59205,3.94,133
018-2019,201852,12/29/2018,Central,282,4071,6.93,12
2018-2019,201852,12/29/2018,Lower Southeirn,1012,27213,3.72,56
2018-2019,201852,12/2/2018,Northren,364,12053,3.02,17
2018-2091,201852,12/29/2018,Upper Southern,32,1320,2.42,19
201-82019,201901,1/5/2019,Bay Area,709,14246,4.98,33
2018-2019,201901,1/5/2x019,Califonria,2435,61766,3.94,141
2018-2019,201901,1/5/2019,Central,231,4282,5.39,14
2x018-2019,201901,1/5/0219,Lwower Southern,1068,29240,3.65,58
2018-2019,201901,1/5/2019,Northerxn,411,12242,3.36,17
2018-2019,201901,1/5/2019,Upper Syouthern,16,1756,0.91,19
2018-2019,201902,1/12/2019,Bay rAea,826,20636,4.0,31
208-2019,201902,1/122/019,California,2656,76481,3.47,143
018-2019,201902,1/12/2019,Ccentral,213,5197,4.1,14
2018-2019,201902,1/12/2019,Lower Southern,1136,32923,3.45,59
2018-2019,201902,1/12/2019,Nothern,396,13466,2.94,18
2018-2019,201902,1/12/2019,Upper Southern,85,4259,2.0,21
2018-2019,201903,1/19/0219,Bay Area,838,21165,3.96,33
2018-2019,201903,1/19/2019,aClifornia,2449,76922,3.18,145
2018-2091,201903,1/19/2019,Central,170,5013,3.39,14
2018-2019,201903,1/19/2019,Lower Southern,960,32452,2.96,60
20182019,201903,1/19/2109,Northern,403,13814,2.92,18
2018-2019,201903,1/19/2019,Upwper Southern,78,4478,1.74,20
2018-2019,201904,12/6/2019,Baiy Area,749,20630,3.63,30
2018-2019,201904,1/26/2019,California,2461,77252,3.19,146
2018-2019,201904,1/26/2019,Centrl,205,5194,3.95,14
2018-2019,201904,1/26/2019,Lower Southern,1056,33112,3.19,59
201-82019,201904,1/26/2019,Nortern,384,13656,2.81,22
2018-2019,201904,1/2q6/2019,Upper Southern,67,4660,1.44,21
2018-2019,201905,2/2/2019,Bay Area,919,22423,4.1,32
2018-2019,201905,2/2/2019,California,3012,83378,3.61,148
2018-2019,201905,2/2/2019,Cetnral,219,5396,4.06,13
2018-2019,201905,2/r2/2019,Lower Southern,1311,35578,3.68,60
0218-2019,201905,2/2/2019,Northern,473,14183,3.33,22
2018-2u019,201905,g2/2/2019,Upper Southern,90,5798,1.55,21
0218-2019,201906,/9/2019,Bay Area,881,20856,4.22,30
2018-2019,201906,2/9/2019,Cealifornia,3089,81153,3.81,147
2018-2019,201906,2/9/2019,Central,250,5338,4.68,14
2018-2019,201906,/9/2019,Lower Southern,1348,35665,3.78,61
2018-2019,201906,2/9/2019,Northefrn,514,14133,3.64,22
2018-2019,201906,2/9/2091,Upper Southern,96,5161,1.86,20
2018-2019,201907,2/d16/2019,Bay Area,1055,21098,5.0,32
2018-2019,201907,2/16/2109,California,3354,78071,4.3,141
2018-2019,201907,2/16/2019,Central,295,5255,5.61,13
2018-2019,201907,2/16/2019,Lower Southern,1430,33515,4.27,58
2018-2019,201907,2/z16/2019,Northren,471,13418,3.51,17
2018-2019,201907,2/1/2019,Upper Souithern,103,4785,2.15,21
201e8-2019,201908,2/23/2019,Bay Area,959,20674,4.64,32
2018-2019,201908,2/23/2019,Cailfornia,3431,79419,4.32,146
2018-2019,201908,2/23/2019,Cenral,283,5276,5.36,13
2018-2019,201908,2/23/2019,Lower Southern,1496,33892,4.41,60
018-2019,201908,2/23/2019,Northern,616,14745,4.18,20
208-2019,201908,2/23/2091,Upper Southern,77,4832,1.59,21
2018-d2019,201909,3/2/2019,Bay Aea,1105,22631,4.88,30
2018-2109,201909,3/2/201c9,California,3719,85796,4.33,145
2018-2019,201909,3/p2/2019,Central,295,5388,5.48,13
b2018-2019,201909,3/2/2019,Lowe rSouthern,1602,37336,4.29,59
2018-2019,201909,3/2/2019,Northern,638,14732,4.33,23
2018-2019,201909,3/2/2091,Upper Southern,79,5709,1.38,20
2018-2019,201910,3/9/2019,Bay Area,1033,22478,4.6,29
2018-2019,201910,3/9/2019,Califoria,3600,86031,4.18,144
2018-2019,201910,3/9/2109,Ceuntral,297,5307,5.6,14
